Rank	Word	Frequency
1	하야	441
2	말	415
3	사람	285
4	나	252
5	생각	223
6	우리	219
7	섯다	196
8	가티	191
9	조선	166
10	그것	165
11	생활	152
12	가지	132
13	소리	127
14	운동	118
15	다시	117
16	사회	110
17	안이	110
18	부인	108
19	하엿다	108
20	눈	103
21	지금	101
22	집	97
23	무엇	93
24	모든	85
25	안해	85
26	자긔	82
27	중국	78
28	기사	77
29	자기	77
30	인간	76
31	문제	75
32	손	74
33	朝鮮	73
34	서서	73
35	하나	73
36	하얏다	71
37	사실	67
38	리하	66
39	대한	64
40	마음	64
41	입	62
42	동안	61
43	무슨	61
44	모양	60
45	계급	58
46	대하	58
47	자식	55
48	머리	55
49	세력	52
50	학범	52
51	까닭	51
52	다만	50
53	어미	50
54	발	49
55	불	49
56	더욱	48
57	낫다	48
58	호랑이	48
59	민중	47
60	다른	47
61	이상	46
62	일본	46
63	그러케	46
64	부터	46
65	미술	46
66	되엿다	45
67	보고	45
68	경제	44
69	보아	43
70	잇슬	43
71	눈물	43
72	서로	42
73	어머니	42
74	녀자	42
75	잡지	41
76	형태	40
77	관계	40
78	또한	40
79	안코	40
80	하니	40
81	분쟁	40
82	시대	39
83	일이	39
84	생산	39
85	가슴	39
86	되얏다	39
87	그대로	38
88	자본주의	38
89	너	38
90	아모	37
91	제호	36
92	발행	36
93	제목	36
94	여긔	36
95	세계	36
96	시작	36
97	개벽	35
98	오늘	35
99	엇더케	35
100	노파	35
101	혁명	34
102	듯이	34
103	서울	34
104	가장	34
105	필연	34
106	중심	33
107	조직	33
108	세상	33
109	張作霖	33
110	바람	33
111	나라	32
112	현재	32
113	물	32
114	엇다	32
115	자신	32
116	이오	31
117	동시	31
118	업슬	31
119	다가	31
120	수가	30
121	정신	30
122	여러	30
123	단체	30
124	해결	29
125	얼골	29
126	꿈	29
127	작가	29
128	中國	28
129	의식	28
130	압헤	28
131	투쟁	28
132	과거	28
133	음악	28
134	이윤	28
135	정부	27
136	제도	27
137	저서	27
138	아버지	27
139	청년	27
140	누구	26
141	사상	26
142	이제	26
143	거리	26
144	것이엇다	26
145	소작인	26
146	잇스	26
147	밥	26
148	얼굴	26
149	運動線	26
