잡지명	개벽 제5호
발행일	
기사제목	淸秋의 逍遙山 (Soyosan Mountain in Clear Autumn)
필자	朴春坡
기사형태	기행문 (Travelogue)

淸秋의 逍遙山
						朴春坡
Autumn! Autumn!! Clear autumn!! Autumn with a bright moon and cool wind! Autumn when the wild geese cry and crickets sing! Autumn when the clouds are white and leaves turn yellow, when everything either bears fruit or turns golden and falls! Ah – Truly, it is the autumn for a man. If one has a sword, it's worth caressing once; if one has a horse, it's worth galloping once. Getting close to the lamp to read books is also a task for a man in autumn, and holding a zither to play with the moon is also something a man in autumn might do. However, if it is autumn, and if you are a man, go to the fields. Go to the mountains. Go to the sea. And shout as loudly as you can, stomp your feet as hard as you can. The exhilarating deeds of a true man begin there and will be tasted – this is my assertion. Autumn fields. Autumn sea. Autumn mountains. Where should I go? Following the crimson maples that everyone loves, there is nowhere else to go but the much-talked-about Soyosan Mountain.

How could there be no companions on a journey? There should be at least two or three companions (携手者). How could there be no belongings for a mountain trip? At the very least, one must carry a short staff (短杖). Just in time, companions <115> were found: the entire staff of Tongdŏk School and all the students. On the dawn of October 13th, when the sky was high and the air crisp, with simple travel gear, I arrived at Nammun Station. Mr. Cho, ever prepared, had already led the staff and 90 innocent children (天眞兒) and occupied the train cars. Expressing my apologies for arriving late, I couldn't lift my embarrassed face and sat alone on a seat in the corner. The kind-hearted teachers repeatedly said "No worries," "Let's enjoy together," grabbed my wrist, and guided me to the land of innocence. All the students, shy because of my presence, sent strange airs with their eyes and mouths. The train rumbled. It picked up speed. It passed Yongsan and Sŏbinggo.

Ah – how delightful! The red sun of Fusang (扶桑紅日) peeked skillfully over the peak of Namhan Mountain and inquired, "Everyone, how was your night?" The innocent guests, who hadn't slept all night, troubled by travel preparations, received a new baptism with the sun's light, their half-smiling faces tinged with peach blossom color. A yellow mist hung heavy, making the distant mountains barely visible, while the black smoke from the waterworks bureau seemed very busy conquering the clear sky, joining forces with the train's smoke. The dawn bell from the temple at Tumukkae awakened people from their deep sleep again, and women carrying water jars and men with smiling faces began to appear one by one from this house and that. Ah – suddenly, the whole area around the Han River is a world of lapis lazuli (琉璃世界). It looks as if a crystal mat (水晶席) has been spread out.

Ah – the morning sun on the river! The river in the morning sun?! The river on a moonlit night. The moon over the river. How does its goodness or badness compare? Perhaps the morning sun on the river is new, and the night moon on the river is old. One belongs to a man, the other to a woman. On such a morning in such a clear autumn, who would not feel refreshed by the great nature of the Han River? Even if one didn't want to like it, what could one do? One's buttocks naturally bounce, and songs come out by themselves.

Ah – how heartless! Suddenly, we part ways with that world. Ah – how lonely! Isn't this the beauty of a fleeting moment (刹那)? No. It is full of feeling (有情) and also eternal. In place of that world, this world exists; in place of that beauty, this beauty appears. The forest of Ch'ŏngnyang Mountain is perhaps more admirable than the red sun over the Han River, and the exchange of human affection is more welcome than the indulgence of nature. How happy my body must have been receiving the red persimmons given with Mr. Sŏ's affection and listening to the educational talk welling up from Mr. Cho's sincerity. Mr. Pak pointed here and there, introducing students, while Mr. Chŏn looked up at Samgak Mountain and smiled faintly.

Passing Ŭijŏngbu, passing Tŏkjŏng, we got off at Tongduch'ŏn at 8:50. Embracing the red sun in our hearts and kicking off the morning dew, we passed the station front, glanced at the town center, and set foot on the newly built road of the Kyŏngwŏn Line. Like butterflies flying in the bright wind, a step dance came naturally. Thanking the farmer reaping hemp for the merit of his labor and praising the village woman picking cotton <116> for the virtue of warm robes (溫袍), while sketching the beauty of the countryside with Mr. Cho, my body had already become part of the countryside. I tried being an angler (釣翁) by the Tongduch'ŏn stream and a woodcutter (樵夫) in Soyosan Mountain. Seeing the village courtyard full of grain (禾黍) and the yellow grass of It'amwŏn bending and straightening (偃仰) in the autumn wind, I felt once again that this was the paradise of freedom. Breaking straight through the 5-ri newly built road, where a clear stream flowed horizontally (橫流), we sharply turned our steps, and this was the entrance to Soyosan Mountain. Kicking rocks and crossing water, stepping further in, the surrounding scenery was truly what could be called another world (別境界). The mountain slopes and peaks were all crimson maples, with green pines and cypresses (靑松蒼栢) dotting circles (圈) here and there, the full mountain of red and green like a folding screen painting (畵屛). Strange rocks (奇岩) seemed about to topple and fall, while grotesque stones (怪石) stood tall (兀) as if piercing (揷) the heavens. The dance of mountain mice on white stones and green moss (白石蒼苔) was truly the joy of freedom, and the swimming of small fish in the clear stream and rocky creek (淸川石溪) was also a sight worth seeing (可觀). Throwing down my staff and sitting on the stone path (石逕), the birdsong and water sounds (鳥歌水聲) were the rustling (搔擾) of Soyo[san], and the dotted red and circled green were the autumn scenery of Soyo[san]. Mr. Cho seemed drunk (醉), and I seemed childlike (어린); we couldn't form proper words (成言) with our mouths, only gesturing (指로 形하야) with our fingers in admiration (嘆賞). After a good while (良久), we turned our steps again and wound our way (逶迤히) deeper in; the further we went, the stranger it became (愈出愈奇), and the clearer and more superb the scenery grew (益加淸勝). <117> People calling Soyo[san] a Little Kŭmgang[san] (小金剛) is indeed not an empty saying (虛言). Far off (遙히), on a towering stone platform (石臺), 70-80 young women (處女) (the Tongdŏk students who went ahead) were gathered, chatting and enjoying themselves (團聚而談樂) – they were clearly fairies (仙娥) on a Jasper Terrace (瑤臺). Following the path, climbing over the layered stone path (層層한 石逕), we ascended – this was Soyosan's famous spot, Wŏnhyo Terrace (元曉臺). Both sides were hundred-foot sheer cliffs (百尺斷崖), and ahead lay a thousand-fathom deep abyss (千丈深淵). A flowing, spraying waterfall (飛流噴瀑) tumbled down the cliff, exactly (恰然히) like a fairy measuring (尺) the bank with white cloth. As if spraying silver pearls (銀珠), as if scattering jade powder (玉屑), a fine mist (細霞) rose and drifted (起逍), while pines bowed (俯) in congratulation (賀) and maples looked up (仰) in praise (頌). Standing momentarily (偶然히 佇立하야) on the windswept (飄然) terrace, our party, deeply feeling (그윽히 늑기는) the past events (往事) of Great Master Wŏnhyo (元曉大師), came to speak again of the Master's spiritual attainment (道通).

Wŏnhyo Terrace is where Great Master Wŏnhyo attained enlightenment (道通處). The Great Master once cultivated the Way (道) at Samnak Temple in Kwach'ŏn with his friends, Dharma Master Ŭisang (義湘法師) and Layman Yun P'il (尹筆居士), but later moved his place of practice (道場) here to Soyosan Mountain. The Great Master secretly made a vow (誓願), saying, "If I pray (祈禱) for one hundred days, I should be able to see (可見) the true image (眞像) of Kwansaeŭm (觀音). If, after praying for one hundred days, I cannot see the true image of Kwansaeŭm, then all things in the myriad worlds are false (虛僞). I will not live meaninglessly (苟苟히). I will surely leap from the thousand-cliff precipice, and my soul and body will be eternally annihilated (永滅)." As vowed, the Great Master prayed day by day with utmost sincerity (至極한 精誠), but as the hundredth day neared, there seemed to be no special miraculous sign (靈驗), and Kwansaeŭm Bodhisattva did not even reveal a shadow (影子부터 不露). At the height of self-lamentation (自嘆), becoming despondent (落望) and lamenting (痛說) that all things were false, he resolutely (決然히) rose and stood decisively (斷然히) at the cliff edge (岸頭). Just as his body was already falling into the void, unknowingly (不知不識), gods supported him (神이 扶하며) and Buddhas protected him (佛이 護하야), and the true image of Kwansaeŭm appeared perfectly (完然히 現露), saying, "Wŏnhyo, Wŏnhyo, why such haste (何其太急고)?" The Great Master suddenly awakened (覺하니) to find his body still standing (依然히) on the terrace, his mind and spirit refreshed (心神이 痛快), able to see through (通見) all things and all principles (萬事千理). Thereupon, he offered a joined-hands bow (合掌禮) to Kwansaeŭm, descended the terrace, built a temple (寺院), and gathered disciples (徒弟); monks (僧侶) from far and near gathered (모히듯) like clouds at the Great Master's gate (門).

Stopping the story of Great Master Wŏnhyo's cultivation here, we descended the terrace again, crossed the stream (溪), and climbed over another stone path. Surrounded by stone walls (四圍石壁) like an iron cylinder (鐵筒然), the exquisite temple within the mountains, Chajae Hermitage (自在菴), came into view. Entering straight in one step, we looked around the temple (一覽), entered Wŏnhyo Cave (元曉窟), drank the Wŏnhyo medicinal water (元曉藥水), and were again dazzled (眩煌) by the Wŏnhyo Waterfall (元曉瀑布). Mingling among the boys and girls (少年少女), breaking off maple branches (楓을 折하며) and turning over stones (石을 轉하며), we admired the view intently (이윽히 玩賞타가) for a while. Then, introduced by a certain monk (和尙), we filled our bellies with temple rice and mountain vegetables (寺飯山菜). Waiting for the evening sun (夕陽), we turned back our steps (步を 回하니). The Soyo[san] paradise (洞天) seemed entirely like our own paradise.

Soyosan is Wŏnhyo's mountain, and Chajae Hermitage is also Wŏnhyo's hermitage. The cave is Wŏnhyo Cave, the waterfall is Wŏnhyo Waterfall. The maples and pines, rocks and stones, all seem to be Wŏnhyo. Ah – venerable Wŏnhyo! Might our entire party not have become Wŏnhyo-ized (元曉化)? <118>

**Summary**

This travelogue by Pak Ch'unp'a describes an autumn excursion to Soyosan Mountain with the staff and students of Tongdŏk School in October (year unspecified, likely 1920s-30s based on magazine). The author poetically depicts the beauty of autumn, the train journey from Seoul (Nammun Station) past the Han River, and the striking scenery of Soyosan with its crimson maples and rocky landscape. A significant portion recounts the legend of the Silla monk Wŏnhyo achieving enlightenment on Wŏnhyo Terrace after a dramatic test of faith. The trip concludes with a visit to Chajae Hermitage, Wŏnhyo Cave, and Wŏnhyo Waterfall, leaving the author deeply impressed by the spirit of the place. For historians, the article offers insights into leisure activities and group travel (school excursions) during the colonial period, including train usage (Kyŏngwŏn Line) and specific destinations popular at the time. The author's nationalistic/masculine framing of autumn and nature appreciation, alongside the detailed recounting of a traditional Korean Buddhist legend, provides a glimpse into cultural sentiments and identity expression within the colonial context.

**Named Entities**

朴春坡	박춘파	Pak Ch'unp'a
同德學校	동덕학교	Tongdŏk Hakkyo (Tongdŏk School)
南門驛	남문역	Nammun Yŏk (Namdaemun Station)
趙先生	조선생	Cho Sŏnsaeng (Mr. Cho)
龍山	용산	Yongsan
西氷庫	서빙고	Sŏbinggo
南漢山	남한산	Namhan San (Namhan Mountain)
漢江	한강	Han Kang (Han River)
淸凉山	청량산	Ch'ŏngnyang San (Ch'ŏngnyang Mountain)
徐先生	서선생	Sŏ Sŏnsaeng (Mr. Sŏ)
朴先生	박선생	Pak Sŏnsaeng (Mr. Pak)
全先生	전선생	Chŏn Sŏnsaeng (Mr. Chŏn)
三角山	삼각산	Samgak San (Samgak Mountain)
議政府	의정부	Ŭijŏngbu
德亭	덕정	Tŏkjŏng
東豆川	동두천	Tongduch'ŏn
京元線	경원선	Kyŏngwŏn Sŏn (Kyŏngwŏn Line)
伊淡原	이담원	It'amwŏn
逍遙山	소요산	Soyosan
元曉臺	원효대	Wŏnhyo Tae (Wŏnhyo Terrace)
元曉大師	원효대사	Wŏnhyo Taesa (Great Master Wŏnhyo)
義湘法師	의상법사	Ŭisang Pŏpsa (Dharma Master Ŭisang)
尹筆居士	윤필거사	Yun P'il Kŏsa (Layman Yun P'il)
觀音	관음	Kwanŭm (Avalokiteśvara)
自在菴	자재암	Chajae Am (Chajae Hermitage)
元曉窟	원효굴	Wŏnhyo Kul (Wŏnhyo Cave)
元曉瀑布	원효폭포	Wŏnhyo P'okp'o (Wŏnhyo Waterfall)

**Glossary**

淸秋	청추	Clear autumn
기럭이	기러기	Wild goose (older spelling)
蟋蟀	실솔	Cricket (Hanja word)
黃落	황락	Leaves turning yellow and falling (Hanja word)
산아이	사나이	Man, manly person (older form/spelling)
劒	검	Sword (Hanja character)
잇스면	있으면	If there is (older spelling)
親하야	친하여	Becoming close to (older spelling/form)
把하야	파하여	Holding, grasping (older spelling/form)
업슬가	없을까	Will there not be? (older spelling)
携手者	휴수자	Companion, person walking hand-in-hand (Hanja word)
업슬가	없을까	Will there not be? (older spelling)
短杖	단장	Short staff or cane (Hanja word)
微明	미명	Dawn, twilight (Hanja word)
行裝	행장	Travel attire, gear (Hanja word)
預備性	예비성	Preparedness (Hanja word)
領率	영솔	To lead, command (Hanja word)
天眞兒	천진아	Innocent child (Hanja word)
낫	낯	Face (older spelling)
안즈니	앉으니	As I sat down (older spelling)
引導	인도	Guidance, leading (Hanja word)
수접은	수줍은	Shy (older spelling/form)
구은다	구른다	It rolls, rumbles (dialectal or older form of 구르다)
扶桑紅日	부상홍일	The red sun of Fusang (mythical land in the east, i.e., the rising sun) (Hanja phrase)
身數	신수	Skillfully, dexterously (older usage/meaning might differ slightly)
洗禮	세례	Baptism (Hanja word, used metaphorically)
黃霧	황무	Yellow mist (Hanja word)
沈沈	침침	Heavy, gloomy, dim (Hanja word)
水道局	수도국	Waterworks Bureau (Hanja word)
奔走	분주	Busy, bustling (Hanja word)
두무깨	두뭇개	Old name for Oksu-dong area near Han River (place name)
曉鐘	효종	Dawn bell (Hanja word)
婦女	부녀	Women (Hanja word)
흐믜	흐뭇이(?)	Perhaps related to 흐뭇하다 (pleased, satisfied) - meaning unclear in context, might be a typo or archaic form. Rendered as 'smiling'.
男子ㅣ	남자가	Man (older particle usage)
琉璃世界	유리세계	World of Lapis Lazuli (Buddhist term for a pure land) (Hanja phrase)
水晶席	수정석	Crystal mat (Hanja phrase)
好否ㅣ	호부ㅣ	Goodness or badness (older particle usage)
如何할가	여하할까	How would it be? (Hanja-based phrase, older form)
계집	계집	Woman (now often considered derogatory, but standard in older texts)
爽快치	상쾌치	Not refreshed (older negative form)
볼기짝	볼기짝	Buttocks (colloquial)
들먹어리며	들먹거리며	Bouncing, bobbing (standard form)
刹那	찰나	Instant, moment (Buddhist term, Hanja word)
有情	유정	Having feeling, sentient (Buddhist term, Hanja word)
代	대	In place of, substitution (Hanja word)
放縱	방종	Indulgence, license (Hanja word)
相交	상교	Mutual exchange, interaction (Hanja word)
敎育談	교육담	Talk about education (Hanja word)
스텍춤	스텝춤(?)	Step dance (likely loan word 'step' + 'ch'um'/dance)
勤勞	근로	Labor, diligence (Hanja word)
功	공	Merit, achievement (Hanja character)
木花	목화	Cotton plant (Hanja word)
村婦	촌부	Village woman (Hanja word)
溫袍	온포	Warm robe (Hanja word)
頌하면서	송하면서	While praising (Hanja word)
田園化	전원화	Becoming part of the countryside (Hanja word)
釣翁	조옹	Old fisherman, angler (Hanja word)
樵夫	초부	Woodcutter (Hanja word)
禾黍	화서	Grain (specifically types like millet) (Hanja word)
滿場	만장	Filling the yard/space (Hanja word)
黃草	황초	Yellow grass (Hanja word)
偃仰	언앙	Bending down and looking up (Hanja word)
直破	직파	Breaking straight through (Hanja word)
橫流	횡류	Flowing horizontally (Hanja word)
거름	걸음	Step, pace (standard form)
쩍거	(onomatopoeia?)	Sound/manner of turning sharply (uncertain meaning)
別境界	별경계	Another world, different realm (Hanja phrase)
靑松蒼栢	청송창백	Green pines and cypresses (Hanja phrase)
圈	권	Circle (Hanja character)
點하야	점하여	Dotting, marking (older form)
滿山紅綠	만산홍록	Whole mountain of red and green (Hanja phrase)
畵屛	화병	Folding screen painting (Hanja word)
奇岩	기암	Strange rocks (Hanja word)
怪石	괴석	Grotesque stones (Hanja word)
兀하야	올하여	Standing tall/alone (based on Hanja 兀)
揷한	삽한	Piercing, inserting (based on Hanja 揷)
白石蒼苔	백석창태	White stones and green moss (Hanja phrase)
石逕	석경	Stone path (Hanja word)
鳥歌水聲	조가수성	Birdsong and water sounds (Hanja phrase)
搔擾	소요	Rustling sound (often means disturbance, but here likely refers to natural sounds, playing on 逍遙 'Soyo')
嘆賞	탄상	Admiration, praise (Hanja word)
良久	양구	For a good while (Hanja word)
逶迤히	逶迤히	Windingly, meanderingly (Hanja word)
愈出愈奇	유출유기	The further one goes, the stranger it becomes (Hanja phrase)
益加淸勝	익가청승	Increasingly clear and superb (scenery) (Hanja phrase)
小金剛	소금강	Little Kŭmgang[san] (referring to the famous scenic mountain) (Hanja word)
虛言	허언	Empty words, falsehood (Hanja word)
遙히	요히	Far off, distantly (Hanja word)
石臺	석대	Stone platform, terrace (Hanja word)
處女	처녀	Young woman, maiden (Hanja word)
團聚而談樂	단취이담락	Gathering together to chat and enjoy (Hanja phrase)
瑤臺	요대	Jasper Terrace (mythological place where immortals/fairies live) (Hanja word)
仙娥	선아	Fairy maiden (Hanja word)
層層한	층층한	Layered, terraced (Hanja word)
百尺斷崖	백척단애	Hundred-foot sheer cliff (Hanja phrase)
千丈深淵	천장심연	Thousand-fathom deep abyss (Hanja phrase)
飛流噴瀑	비류분폭	Flying stream, spraying waterfall (Hanja phrase)
恰然히	흡연히	Exactly, just like (Hanja word)
尺하는	척하는	Measuring (based on Hanja 尺 'ruler')
銀珠	은주	Silver pearls (Hanja word)
玉屑	옥설	Jade powder (Hanja word)
細霞	세하	Fine mist or rosy clouds (Hanja word)
起逍	기소	Rising and drifting/wandering (based on Hanja 起 and 逍)
俯하야	부하여	Bowing down, looking down (older form)
賀하며	하하며	Congratulating (older form)
仰하야	앙하여	Looking up (older form)
頌한다	송한다	Praises (Hanja word)
飄然한	표연한	Windswept, fluttering (Hanja word)
佇立하야	저립하여	Standing still for a while (older form)
往事	왕사	Past events, history (Hanja word)
그윽히	그윽이	Deeply, profoundly (standard form)
늑기는	느끼는	Feeling (older spelling)
道通	도통	Spiritual attainment, enlightenment (Hanja word)
修하다가	수하다가	While cultivating/practicing (Hanja word)
道場	도장	Place of spiritual practice (Hanja word)
更設	갱설	To establish anew, move and set up (Hanja word)
誓願	서원	Vow (Hanja word)
祈禱	기도	Prayer (Hanja word)
眞像	진상	True image, real form (Hanja word)
可見하리라	가견하리라	Will be able to see (Hanja word + future ending)
萬若	만약	If by chance (Hanja word)
靈驗	영험	Miraculous sign, efficacy (Hanja word)
不露	불로	Not revealing (Hanja word)
自嘆	자탄	Self-lamentation (Hanja word)
落望	낙망	Despair, disappointment (Hanja word)
痛說	통설	To lament, speak painfully (Hanja word)
決然히	결연히	Resolutely (Hanja word)
斷然히	단연히	Decisively (Hanja word)
岸頭	안두	Cliff edge, bank head (Hanja word)
不知不識	부지불식	Unknowingly (Hanja phrase)
扶하며	부하며	Supporting (older form)
護하야	호하여	Protecting (older form)
完然히	완연히	Perfectly, completely (Hanja word)
現露	현로	To appear, reveal (Hanja word)
何其太急고	하기태급고	Why such haste? (Classical Chinese phrase)
覺하니	각하니	Upon awakening/realizing (Hanja word)
依然히	의연히	Still, as before (Hanja word)
心神	심신	Mind and spirit (Hanja word)
痛快	통쾌	Refreshing, exhilarating (Hanja word)
萬事千理	만사천리	All things and all principles (Hanja phrase)
通見	통견	To see through, comprehend fully (Hanja word)
合掌禮	합장례	Joined-hands bow (Buddhist gesture) (Hanja phrase)
呈하고	정하고	Presenting, offering (Hanja word)
徒弟	도제	Disciple (Hanja word)
聚하니	취하니	As they gathered (Hanja word)
僧侶ㅣ	승려ㅣ	Monk (older particle usage)
모히듯	모이듯	Like gathering (older spelling)
進하얏더라	진하였더라	Had advanced/entered (older spelling/past perfect ending)
四圍石壁	사위석벽	Surrounding stone walls (Hanja phrase)
鐵筒然	철통연	Like an iron cylinder (Hanja phrase)
妙寺	묘사	Exquisite temple (Hanja word)
一覽	일람	A look around, a glance (Hanja word)
眩煌	현황	Dazzling (Hanja word)
折하며	절하며	Breaking off (branches) (older form)
