**Header Section**
Magazine Title: 개벽 (開闢)
Publication Date: 1921년 04월 01일 (April 1, 1921)
Article Title: 今春各專門學校卒業生氏名(無順) (Names of This Spring's Graduates from Various Specialized Schools (No Order))
Author: None listed
Article Type: 소식 (News/Announcement)

**Body Text Translation**
Names of This Spring's Graduates from Various Specialized Schools (No Order)

Kyŏngsŏng Chŏnsu School (京城專修), 5th Graduating Class
Yi Namgyu, Yi Sangik, Nam T'aeksŏn, Yu Hŭihŭi, Mun Kwisŏn, O Irhyŏng, O Sŏnggŭn, Ch'oe Chŏngmuk, Kim Ŭngmo, Kim Chaegwan, Yu Ch'an, Sin Nakhyŏn, Sŏng Nagyŏng, Pak Yongsŏk, Wŏn Chongŏk, O Chaegak, Im Myŏnggu, Im Chŏlgyu, Yi Chongnak, Yi Sŏngil, Kim Chonguk, Pak Ŭngmu, Yi Sanggak, Yun Sebyŏng, Kim Ch'anggwŏn, Kim Manbong, Yi Chŏnho, Son Hongin

Kyŏngsŏng Medical Specialized School (京城醫專), 5th Graduating Class
Ch'oe Kyŏngha, Kim T'agwŏn, Kim Tonggi, Paek Injе, ? Ch'ŏn'gyŏng, Kim Yŏngjin, Hŏ Igwŏn, Kang Hagyong, Pak Sŭngmok, Chang Yese, Cho T'aejŏng, Yi Sŏksin, Yi Seyun, Yi Sŏngyong, Yi Kyŏngbae, Yi Toje, O Cheho, Kwŏn Kigwan, Kung Ŭn?, O Kit'aek, Chŏng Toran

Sungsil University (崇實大學), 12th Graduating Class
Kim Chŏngsang, Kim Chisu, Kim Ch'angjŏng, Kim T'aesul, Pak Pongjo, Pak T'aejun, Sŏl Myŏnghwa, Song Hŏnyŏng, An Sŭnghwa, U Hoik, Wi Hyejin, ? Kwangsŏk, Ch'oe Tarhyŏng, Hong Sŏngch'ang

Posŏng (普成) Law & Commerce
Law Department (法科), 14th Graduating Class
Pak Kich'un, Yi Tŏksong, Yi Kyŏnggyu, Ko Chaehyŏn, Yun Hŭisŏp, Pak Chehang
Commerce Department (商科), 9th Graduating Class
Yi Tŭgu, Chŏng Chaeuk, Kim Sangok, Pak Wanchu, Kim Tŏkho, Pak Yangnae, Hwang Sŏnyong, Sin Ch'ung'u, Sŏ Sangjŏk, Yu Chisang

Kyŏngsŏng Engineering Specialized School (京城工專), 4th Graduating Class
Pak Ch'angbae, Son Honggil, Min Hansik, Cho Sŏn'gyu, Cho Hanjong, Yu Pongnyŏl, Chin Yŏn?, Kim Taeu, Yi Ch'ang?

Suwŏn Agriculture and Forestry School (水原農林), 2nd Graduating Class
Uto Sumio, Kim Ch'idu, Kim Namsul, Hong Sŭngŏk, Nakata Kameo, Nagai Tokio, Mun Taesu, Yamamoto Kazuya, Im Sŏk

Yŏnhŭi Specialized School (延禧專門)
Kim Hŭiwan, Sŏ Kwangjin, Song Kigye

Ewha Haktang (梨花學堂)
College (大學), 8th Graduating Class
Hong Aesidŏk, Kim Sŏngsil<101>

**Summary**

This article from the April 1, 1921 issue of *Kaebyŏk* magazine lists the names of graduates from various specialized schools (colleges) in Korea that spring. It covers institutions like Kyŏngsŏng Chŏnsu School, Kyŏngsŏng Medical Specialized School, Sungsil University, Posŏng College (Law and Commerce departments), Kyŏngsŏng Engineering Specialized School, Suwŏn Agriculture and Forestry School, Yŏnhŭi Specialized School, and Ewha Haktang. The names are presented without any specific order within each school's list. For historians, this list provides valuable data on the early cohorts of professionally trained Koreans (and some Japanese students like those at Suwŏn) during the colonial period. It documents the individuals graduating from key educational institutions, offering insights into the composition of the emerging Korean intellectual and professional class, including the presence of women graduates from Ewha and the mix of Korean and Japanese names in certain schools, reflecting the structure of colonial education.

**Named Entities**

京城專修	경성전수	Kyŏngsŏng Chŏnsu School
李南圭	이남규	Yi Namgyu
李相益	이상익	Yi Sangik
南澤善	남택선	Nam T'aeksŏn
柳潯熙	유심희	Yu Simhŭi (Note: 潯 might be a variant or error for another character, but based on text provided)
文夔善	문기선	Mun Kwisŏn
吳一衡	오일형	O Irhyŏng
吳成根	오성근	O Sŏnggŭn
崔鼎黙	최정묵	Ch'oe Chŏngmuk
金膺模	김응모	Kim Ŭngmo
金在瓘	김재관	Kim Chaegwan
兪燦	유찬	Yu Ch'an
申洛鉉	신낙현	Sin Nakhyŏn
成樂榮	성낙영	Sŏng Nagyŏng
朴瑢錫	박용석	Pak Yongsŏk
元鍾億	원종억	Wŏn Chongŏk
吳在珏	오재각	O Chaegak
林明玽	임명구	Im Myŏnggu
林浙圭	임절규	Im Chŏlgyu
李鍾洛	이종낙	Yi Chongnak
李誠一	이성일	Yi Sŏngil
金鍾煜	김종욱	Kim Chonguk
朴應茂	박응무	Pak Ŭngmu
李尙珏	이상각	Yi Sanggak
尹世炳	윤세병	Yun Sebyŏng
金昌權	김창권	Kim Ch'anggwŏn
金萬鳳	김만봉	Kim Manbong
李典鎬	이전호	Yi Chŏnho
孫洪人	손홍인	Son Hongin
京城醫專	경성의전	Kyŏngsŏng Medical Specialized School
崔景河	최경하	Ch'oe Kyŏngha
金鐸遠	김탁원	Kim T'agwŏn
金烔璣	김동기	Kim Tonggi (Note: 烔 is unusual, could be 炯)
白麟濟	백인제	Paek Inje
?天慶	?천경	? Ch'ŏn'gyŏng
金永珍	김영진	Kim Yŏngjin
許益元	허익원	Hŏ Igwŏn
姜學龍	강학룡	Kang Hagyong
朴勝木	박승목	Pak Sŭngmok
張禮世	장례세	Chang Yese
趙泰貞	조태정	Cho T'aejŏng
李錫申	이석신	Yi Sŏksin
李世潤	이세윤	Yi Seyun
李星鎔	이성용	Yi Sŏngyong
李慶培	이경배	Yi Kyŏngbae
李道濟	이도제	Yi Toje
吳濟鎬	오제호	O Cheho
權基觀	권기관	Kwŏn Kigwan
弓恩?	궁은?	Kung Ŭn?
吳基澤	오기택	O Kit'aek
鄭道淶	정도래	Chŏng Toran
崇實大學	숭실대학	Sungsil University
金鼎相	김정상	Kim Chŏngsang
金智洙	김지수	Kim Chisu
金昌貞	김창정	Kim Ch'angjŏng
金泰述	김태술	Kim T'aesul
朴鳳祚	박봉조	Pak Pongjo
朴泰俊	박태준	Pak T'aejun
薛命和	설명화	Sŏl Myŏnghwa
宋憲榮	송헌영	Song Hŏnyŏng
安承華	안승화	An Sŭnghwa
禹浩翊	우호익	U Hoik
韋惠珍	위혜진	Wi Hyejin
?光錫	?광석	? Kwangsŏk
崔達亨	최달형	Ch'oe Tarhyŏng
洪性昌	홍성창	Hong Sŏngch'ang
普成	보성	Posŏng (Posŏng College)
法科	법과	Law Department
朴琪錞	박기순	Pak Kisun (Note: 琪 is more common than 琦 for 'Ki')
李德松	이덕송	Yi Tŏksong
李敬珪	이경규	Yi Kyŏnggyu
高在賢	고재현	Ko Chaehyŏn
尹希燮	윤희섭	Yun Hŭisŏp
朴齊恒	박제항	Pak Chehang
商科	상과	Commerce Department
李得雨	이득우	Yi Tŭgu
鄭在旭	정재욱	Chŏng Chaeuk
金相玉	김상옥	Kim Sangok
朴完柱	박완주	Pak Wanchu
金德昊	김덕호	Kim Tŏkho
朴陽來	박양래	Pak Yangnae
黃善瑢	황선용	Hwang Sŏnyong
申忠雨	신충우	Sin Ch'ung'u
徐相績	서상적	Sŏ Sangjŏk
柳志相	유지상	Yu Chisang
京城工專	경성공전	Kyŏngsŏng Engineering Specialized School
朴昌培	박창배	Pak Ch'angbae
孫洪吉	손홍길	Son Honggil
閔漢植	민한식	Min Hansik
趙善奎	조선규	Cho Sŏn'gyu
趙漢宗	조한종	Cho Hanjong
劉復烈	유복렬	Yu Pongnyŏl
陣演?	진연?	Chin Yŏn?
金大羽	김대우	Kim Taeu
李昌?	이창?	Yi Ch'ang?
水原農林	수원농림	Suwŏn Agriculture and Forestry School
宇都 純男	우토 스미오	Uto Sumio (Japanese name)
金致斗	김치두	Kim Ch'idu
金南述	김남술	Kim Namsul
洪升億	홍승억	Hong Sŭngŏk
中田 龜雄	나카타 카메오	Nakata Kameo (Japanese name)
永井 時雄	나가이 토키오	Nagai Tokio (Japanese name)
文大洙	문대수	Mun Taesu
山本 一彌	야마모토 카즈야	Yamamoto Kazuya (Japanese name)
林 小石	임소석	Im Sŏk
延禧專門	연희전문	Yŏnhŭi Specialized School
金熙完	김희완	Kim Hŭiwan
徐洸璡	서광진	Sŏ Kwangjin
宋基桂	송기계	Song Kigye
梨花學堂	이화학당	Ewha Haktang
大學	대학	College (Department)
洪愛施德	홍애시덕	Hong Aesidŏk (Likely a transliterated name, possibly Esther)
金誠實	김성실	Kim Sŏngsil

**Glossary**

今春	금춘	This Spring
各	각	Each, Various
專門學校	전문학교	Specialized School (often translated as College or Technical College in this period)
卒業生	졸업생	Graduate(s)
氏名	씨명	Full Name (older term)
無順	무순	No particular order, random order
第X回	제X회	Xth time (used here for Xth graduating class)
法科	법과	Law Department
商科	상과	Commerce Department
大學	대학	University or College (In the context of Ewha Haktang, likely refers to its college-level course)
農林	농림	Agriculture and Forestry
-e 

---------------------------


잡지명	개벽 제10호
발행일	1921년 04월 01일
기사제목	今春各專門學校卒業生氏名(無順)
기사형태	소식

今春各專門學校卒業生氏名
京城專修 第5回
李南圭, 李相益, 南澤善, 柳潯熙, 文夔善, 吳一衡, 吳成根, 崔鼎黙, 金膺模, 金在瓘, 兪燦, 申洛鉉, 成樂榮, 朴瑢錫, 元鍾億, 吳在珏, 林明玽, 林浙圭, 李鍾洛, 李誠一, 金鍾煜, 朴應茂, 李尙珏, 尹世炳, 金昌權, 金萬鳳, 李典鎬, 孫洪人

京城醫專 第5回
崔景河, 金鐸遠, 金烔璣, 白麟濟, ?天慶, 金永珍, 許益元, 姜學龍, 朴勝木, 張禮世, 趙泰貞, 李錫申, 李世潤, 李星鎔, 李慶培, 李道濟, 吳濟鎬, 權基觀, 弓恩?, 吳基澤, 鄭道淶

崇實大學 第12回
金鼎相, 金智洙, 金昌貞, 金泰述, 朴鳳祚, 朴泰俊, 薛命和, 宋憲榮, 安承華, 禹浩翊, 韋惠珍, ?光錫, 崔達亨, 洪性昌

普成 法律 商業
法科 第14回
朴琪錞, 李德松, 李敬珪, 高在賢, 尹希燮, 朴齊恒
商科 第9回
李得雨, 鄭在旭, 金相玉, 朴完柱, 金德昊, 朴陽來, 黃善瑢, 申忠雨, 徐相績, 柳志相

京城工專 第4回
朴昌培, 孫洪吉, 閔漢植, 趙善奎, 趙漢宗, 劉復烈, 陣演?, 金大羽, 李昌?

水原農林 第2回
宇都 純男, 金致斗, 金南述, 洪升億, 中田 龜雄, 永井 時雄, 文大洙, 山本 一彌, 林 小石

延禧專門
金熙完, 徐洸璡, 宋基桂

梨花學堂
大學 第8回
洪愛施德, 金誠實＜101＞
