잡지명	개벽 제13호
발행일	1921년 07월 01일
기사제목	中樞階級과 社會 (The Central Class and Society)
필자	盧啞
기사형태	논설 (Editorial/Essay)

中樞階級과 社會
						盧啞
古代社會와 中心人物
Just as a nucleus exists in the cells of an organic living being, a nucleus is also present in the formation of society. Whether looking at ancient history or the state of primitive tribes in places like present-day Australia or Africa, the formation of a tribe, which can be called the single cell of society, requires the presence of a central figure, around whom tens, hundreds, or thousands of individuals or families gather. This can also be compared to honeybees; a bee colony forms only when there is a queen bee and is maintained only as long as she is present, but once the queen bee disappears, the entire colony disperses. Considering this in history, the formation of Chinese society cannot be explained without disregarding Yao and Shun, and that of the Korean people cannot be explained without Tangun. Among these, the most fitting example is the Israelite people who wandered in Egypt; they formed a nation with the central figure Moses as the nucleus, laying the foundation for the Jewish state.

Not only is a core central figure necessary for the formation or emergence of society, but a central figure was also necessary for the maintenance and development of society. Figures like Samuel, David, and Solomon for the Israelites were indeed the central figures in maintaining and developing their society. In this manner, while appropriate central figures succeeded one another, that society was well-maintained and prospered, but once such a central figure was lost, the society disintegrated, and the people became dispersed.
History calls those who became central figures in the formation, maintenance, and development of society in this way monarchs or elders. <24>
However, there are different examples, namely Greece and Rome. They relied more on a central class than on a central individual for forming and maintaining society. Although if one pursues this to its extreme, it ultimately traces back to a central figure, it can be said to differ from the Jewish people in that the central figure was influential only by representing the will of the central class.

長成된 社會와 中樞階級
However, in a mature society, especially one influenced by the spirit of the French Revolution where popular rights have developed, a central class, rather than a central individual figure, becomes the nucleus and focal point for the formation and maintenance of that society. The central class of Yi Dynasty Chosŏn was the *yangban*, and the central class of Japan before Meiji was the *bushi* (samurai). However, the one that most clearly displayed the characteristics of a central class was the intelligentsia of Russia from the time after Alexander the Great until before the Revolution. This class succeeded the previous central class, the aristocratic class centered around the imperial family, and became the center of the entire Russian people.

The fate of modern civilized nations also entirely depends on the central class that forms their core. For example, if asked which is the central class of modern Japan and how many members belong to it, one cannot answer as clearly as stating what the Japanese army is and how many soldiers belong to it (because the organization and function of a mature society are extremely complex). However, everyone will faintly acknowledge the distinct existence of a class that guides the direction of the entire Japanese nation's life. In countries with even more developed social organizations like Britain, America, or France, the outline and movement of this central class can be seen even more clearly. Therefore, the politics, religion, education, tastes, and customs of that society all emanate from the will of that class; what is called "public opinion" refers to the common opinion of this class.

Thus, just as a society relying on a central individual figure, exemplified by the Jews, shares its fate with that individual, a society relying on a central class shares its fate with that central class. While the *yangban* class was sound, the entire Korean people were sound, and the nation's fortune prospered; when it became corrupt, the entire people became corrupt, and the nation's fortune declined. While the Roman aristocracy was sound, the great Roman Empire prospered; when it became corrupt,<25> the entire Roman populace became corrupt, and the state disintegrated.
The term "revolution" means changing the central figure or central class. Whether it is deposing a monarch in an autocratic state for a new person to take the throne, replacing the aristocratic class with the common people becoming the center of the state and society, or, more recently, the workers attempting to become the center in place of the capitalist class, it is ultimately just an attempt to change the central class of a society to bring about a new society with new ideals and new systems.

中樞階級의 造成
How does a central figure emerge? It is a great person endowed by nature (talent, physical strength, knowledge, virtue) who, through immense cultivation, achieves a character surpassing the masses of the time and then satisfies the demands of the surrounding people; their birth is indeed accidental. Those called saints or heroes refer to such figures; the Israelite people standing in the ruins of the Temple and pleading for the appearance of the Messiah is a plea for such a heaven-sent central figure.
However, a central class does not necessarily have to rely on heavenly fate; it can be formed and changed by human effort. This power to form a central class is education in its broad sense.
The life's work of Frederick the Great of Prussia (푸르시아) and Peter the Great of Russia (아라사) truly lay in the creation of their countries' central classes; in this respect, their work differs from that of past heroes like Qin Shi Huang (秦始皇), Kublai Khan (忽必烈), or Alexander the Great (亞歷山大王).
What is commonly referred to as the Cultural Movement (文化運動) in our country today could be rephrased as a Central Class Creation Movement.
Fundamentally, why is a central figure or central class necessary? While it might be different when the ideal heavenly kingdom arrives in the future, for the time being, it is impossible to expect all members of a society (be it a state, a religious society, or any other society) to understand the society's ideals and possess the character to participate in the operation of its institutions. Considering this, a group of people is needed to represent, lead, and guide all members of that society. This is not just politically speaking; a central class is needed to represent, guide, and lead in all sectors of human life, such as economic life, religious life, artistic life, education, science, etc. Furthermore,<26> there must be a class that becomes the center of the entire life of a nation, encompassing the life of all these sectors.
For example, the master who guided the political and cultural life of the 20 million Korean people for the past several centuries was the small *yangban* class, perhaps constituting only one-thousandth of the population. And what led and guided the various tribes of ancient Greece to accomplish great civil and military deeds were indeed the small number of "citizens" of Sparta (스팔타), Athens (아덴), Thebes (테베), etc.
What created the central classes of modern nations is, in a word, the knowledgeable class (識者階級), the propertied class (有産階級); this is true for Japan, Britain, and America. This relatively small knowledgeable class and propertied class (though in a broad sense, these two may coincide or overlap) led and guided the relatively large ignorant class (無識階級) and propertyless class (無産階級) to create Japan, Britain, and America.
So, what is the current state of Chosŏn? Since the fall of the *yangban* class, a class capable of replacing it has not yet emerged. Thus, the 20 million people are almost like grains of sand blown by the wind, each trying to be a central figure themselves. There is no so-called social solidarity (社會共同性).
Of course, in Chosŏn, there is a class of 300,000 called Christians (耶蘇敎人). There is a class of one million called Cheondoists (天道敎人). There are other various associations, but these alone cannot become the center of society. Why? Because society is not established solely on religion. Then, what kind of entity is the central class?
To be called the central class of the Korean people, it must be a collective of individuals who possess at least a common ideal regarding the entire national life of Chosŏn, are capable of organizing this life, and are equipped with the character (virtue, knowledge, and physique - 德과 知와 軆) sufficient to take charge of and operate all the institutions of that organization. National life refers to all sectors—political, economic, religious, artistic, social; a common ideal regarding this refers to the spirit that becomes the foundation and soul of life in all these sectors. Only after this spiritual ideal is established first can a sound society be organized; only when society is soundly organized will its quality be good, its development vigorous, and its lifespan long. And once a society is organized, there must be talented individuals to operate all its institutions. Thus, the group of talented individuals who embrace the ideal, which is the blueprint for the new social organization, engage in the great work of organization according to this ideal, and possess the character to operate it completely after<27> organization, is called the central class of society. The work of Frederick the Great of Prussia and Peter the Great of Russia mentioned earlier can be said to be the work of creating such a class.
However, Chosŏn today lacks this class. In other words, there is a lack of a class that shares a common blueprint for future national life, lacks the quality and quantity of talent capable of handling political life, and lacks scholars, industrialists, educators, bankers, religious figures, artists, telegraph technicians, train operators, seafarers, and those who can handle the design and engineering of roads and bridges. National life cannot be managed without such talented people. This is looking at it from the intellectual aspect; those possessing the virtue to be trusted, to work together, or to be entrusted with tasks are probably even fewer than those equipped with intellectual abilities.
On this occasion, I want to emphasize once more to my compatriots that modern national life is not made by one or several central great men, but requires the sufficiency of individuals with character capable of undertaking and operating the various institutions of social organization. To pray today for the appearance of a divine man or a hero who will save the entire nation is truly an anachronistic absurdity. What is sought today are many ordinary people capable of fulfilling their roles (taking charge of a part of society's institutions), definitely not one or two great men. Good politicians, good officials, good merchants and industrialists, good scholars, educators, artists, good religious figures—such a group of talented individuals is truly the lifeblood of the nation.
Right now, among us, who are the politicians capable enough to manage a whole country? How many are there to manage schools like elementary, middle, and high schools, and wield the teacher's pointer there? It would be better not to say.
Then, how do we create this central class that will become the core of national life?
Currently, there are schools in Chosŏn. There are various youth organizations. There are newspapers, magazines, and other various publications, and various gatherings where proselytizing and preaching occur without rest. Students study abroad, coming and going. All this is the central class creation movement. The only question is whether the current efforts are sufficient or not. Indeed, the above are the grand principles and laws for creating the central class, unchanging throughout eternity. All civilized nations<28> sustain themselves through these methods.
However, Chosŏn is currently in an "extraordinary situation." It is in an extraordinary situation where the very life and death of national survival are at stake. Being in such an extraordinary situation, extraordinary methods must be used. In creating the central class, the sole foundation of real strength, one must exert effort ten times if others do once, and a thousand times if others do a hundred, only then can we expect to live like others after 20 or 30 years. Truly, we will be able to survive.

修養同盟과 修學同盟
What is this extraordinary method? It is definitely not some magical method of borrowing power, but an alliance for cultivation (修養) and learning (修學).
Last July, the United States of America added a prohibition clause to its Constitution. This means that among the 100 million people of the United States, over 50 million embraced the idea of prohibition. But how was this result achieved? About 70 years ago from now, a pastor named Matthew started a temperance alliance. One person became two, two became four, growing gradually like this over 70 years to become over 50 million members (if those who died during that time are counted, it would likely be nearly double that).
Besides this, within the Christian church, we see things like Bible Reading Leagues and Prayer Alliances, all achieving great effectiveness.
Seeing such examples, in a society like ours lacking talent, we should start a "Talent Becoming Alliance." Talent refers to:
(1) A person with a spirit of social service and trustworthiness (Virtue - 德行)
(2) A person possessing common sense and also one or more types of academic knowledge or technical skill, having the intellectual ability to participate in one institution of society (politics, economy, education, religion, art, various industries)
(3) A person with health sufficient to carry out their duties
(4) A person with the economic ability, i.e., property, sufficient to support themselves and their family
An individual of character equipped with the above four points. This is something anyone - man or woman - can achieve with continuous effort. Alliance to achieve this respectively is the so-called Cultivation Alliance (修養同盟), Learning Alliance (修學同盟); this is precisely the extraordinary method for dealing with extraordinary times. Hearing it,<29> it might seem too mundane, but truth resides in the mundane. In this way, starting from 1 or 2 people, if we gain 100, 1,000, 2,000 alliance members, and that number reaches just 10,000, our society will become a living society. If this day never comes, our society will have no day to live.
The Cultivation Alliance, Learning Alliance can be rephrased as a National Reconstruction Movement (民族改造運動). It is a movement where each person starts by reconstructing themselves, forms a solid group of reconstructed individuals, makes that group the central class of the entire nation, and thereby gradually reconstructs the entire nation, transforming a powerless nation into a powerful one.

現代社會와 中心人物
Earlier, I stated that a society relying entirely on a single central individual belongs to the unenlightened ancient times when human harmony was undeveloped. However, even in modern times, a central figure is still necessary for social, i.e., group life. The only difference between modern central figures and ancient ones is that in ancient times, the central figure autocratically established and changed laws, whereas in modern times, they become the center according to the laws of that group.
Here, the so-called central figure refers to the person who initiated an idea or project, and the person who inherits it and becomes the axis for the development of that idea or project. Such central figures are invariably present in cooperative group life involving two or more people. Political parties have founders and leaders; churches, companies, schools, youth groups, sports clubs, etc., all require central figures. The reason why organizations in our country, often starting with good objectives, rules, and members, fail to endure and develop, ending anticlimactically (龍頭蛇尾), is because they fail to find the right person for the central figure role. No matter how splendid the objective and how well-organized the rules for executing it, it won't work without a central figure to manage it and guide the comrades. The state is also like this; the enactment of a constitution is not as crucial as the central class and the central figure who becomes the core of this central class, capable of operating it, guiding the entire populace according to its spirit, and thereby achieving its objectives. The Constitution of the Republic of China, being recent, might be theoretically the most perfect among the constitutions of the world's nations, but what prevents it from making that country a perfect state is truly the lack of people. Therefore, although the life of society may lie in law, the life of law also lies in people, and especially<30> in a central figure whose character and insight together embody that law and serve as a model for all people.
Some might say, "In today's world of freedom and equality, what need is there for a central figure? What are these masses guided by him? Don't speak such outdated, stale theories from a bygone era." However, even in Russia, which can be said to have most realized the ideals of freedom and equality today, there is a central class, and there is Lenin (「레닌」), the central figure of that class. In a sense, one could say the Soviets exist because Lenin exists; without Lenin, the Soviets might not exist either.
In Chosŏn, naive theories of freedom and equality are prevalent, greatly hindering social development. Generally, equality refers to the equality of human status or human rights, yet it is mistaken as equality of human ability. It even attempts to disregard the distinction between those who command and those who obey, ignoring the differences in importance and scale of duties in society's various institutions. How can any group life be managed like this? Although the President and a police officer are equal in terms of constitutional civil rights, as long as one holds the office of President and the other the office of police officer, the police officer must obey the President's orders, and the President must command the police officer.
Therefore, just as a central class is necessary for group life (a small society or a state), a central figure is also necessary. It is a very important ethic for the other members to respect and honor the person who founded the group life or project, or the most important figure in that life or project, thereby endowing the central figure with dignity.
Therefore, when intending to create the central class for the entire Korean nation in the future, the most crucial and intelligent thing for our populace to do is first to seek the blueprint for our nation's future path; the way to find this is to find the person who holds this blueprint in their heart, the one who will become the central figure. Then, we must cast off the inherited bad habits of arrogance, jealousy, and exclusion, and follow them with sincerity.
In society, the central figures an individual should obey vary according to the aspect of life: a central figure in politics, a central figure in the church if one holds religious beliefs, and so forth. Choosing appropriate central figures (leaders) in various fields is the greatest wisdom of the populace; a populace that does not know how to do this is a pitiful populace.

結論
In this short essay, I have argued that a nation needs a central class to be its core, that the formation of a class requires a central figure, that the Korean nation currently lacks a central class, and that we must therefore undertake its creation using extraordinary methods, for which it is necessary to find suitable central figures and form alliances for cultivation and learning. However, due to the pressing editorial deadline and haste, I could not fully elaborate my thoughts, and there may be points of ambiguity in the argument. As I gain the favor of this journal, I intend to continue stating my beliefs sequentially, so please do not misunderstand based on seeing only a part. <31>

**Summary**

The author, Noa, argues that societies, ancient and modern, require a core element for stability and progress. While ancient societies often relied on single "central figures" (kings, heroes), mature modern societies depend on a "central class" (中樞階級) – an educated, capable group guiding national life (politics, economy, culture). Citing examples like the *yangban* in Chosŏn or the intelligentsia in Russia, the author laments post-*yangban* Korea's lack of such a class, leading to national weakness and fragmentation ("like sand grains"). He dismisses waiting for a singular hero as anachronistic and calls for the active, urgent creation of a new central class through broad education and moral cultivation, proposing "Cultivation Alliances" and "Learning Alliances" (修養同盟, 修學同盟) where individuals commit to self-improvement (morality, knowledge, health, economic stability) to collectively form this vital core. Even within groups and modern states valuing equality, competent "central figures" (leaders) who embody the group's purpose are still necessary for effective functioning. The article urges Koreans to identify potential leaders, overcome factionalism, and follow them sincerely to build this crucial class.

For historians of colonial Korea, this article is interesting as it reflects a common intellectual concern of the early 1920s: diagnosing Korea's weakness and proposing solutions within the context of Japanese rule. The emphasis on self-strengthening, education (part of the broader "Cultural Movement"), and building a capable elite ("central class") rather than relying on immediate political revolution or charismatic leaders showcases a specific strategy for national survival and eventual progress debated among Korean intellectuals under colonial constraints. The call for "extraordinary methods" due to Korea's "extraordinary situation" underscores the sense of crisis and urgency felt during this period.

**Named Entities**

濠洲	호주	Australia
亞弗利加	아프리카	Africa
中國	중국	China
堯	요	Yao
舜	순	Shun
朝鮮	조선	Chosŏn
檀君	단군	Tangun
埃及	애급	Egypt
이스래엘	이스라엘	Israel
모세	모세	Moses
猶太國	유태국	Jewish state (Judah)
삼우엘	사무엘	Samuel
따윗	다윗	David
솔로몬	솔로몬	Solomon
希臘	희랍	Greece
羅馬	나마	Rome (Note: 羅馬 is typically Roma/Nama, not Lama)
法國	법국	France
李朝	이조	Yi Dynasty
日本	일본	Japan
明治	명치	Meiji
亞歷山大帝	알렉산더대제	Alexander the Great
俄國	아국	Russia
英	영	Britain
米	미	America (USA)
푸르시아	푸르시아	Prussia
푸레데릭大王	프레데릭대왕	Frederick the Great
아라사	아라사	Russia
표틀大帝	표트르대제	Peter the Great
秦始皇	진시황	Qin Shi Huang
忽必烈	홀필렬	Kublai Khan
亞歷山大王	알렉산더왕	Alexander the Great
스팔타	스파르타	Sparta
아덴	아덴	Athens
테베	테베	Thebes
耶蘇敎	야소교	Christianity (specifically Protestantism often)
天道敎	천도교	Cheondoism
北米合衆國	북미합중국	United States of America
매튜	매튜	Matthew (Theobald Mathew, likely)
中華民國	중화민국	Republic of China
레닌	레닌	Lenin

**Glossary**

中樞階級	중추계급	Central class; core leading group
社會	사회	Society
中心人物	중심인물	Central figure; key person
有機軆	유기체	Organism (Older form of 유기체)
蠻族	만족	Barbarian tribe; primitive people
部落	부락	Tribe; village (often used pejoratively later)
團聚	단취	Gather together; assemble
蜜蜂	밀봉	Honeybee (Older spelling/pronunciation)
女王蜂	여왕봉	Queen bee
離散	이산	Disperse; scatter
維持	유지	Maintenance; preservation
發展	발전	Development; progress
繼繼承承	계계승승	Generation after generation; successively
解軆	해체	Disintegrate; dismantle (Older form of 해체)
尊長	존장	Elder; venerable senior
民權	민권	Popular rights; civil rights
兩班	양반	Yangban (traditional ruling class of Chosŏn)
武士	무사	Warrior; samurai
知識階級	지식계급	Intellectual class; intelligentsia
貴族階級	귀족계급	Aristocratic class
運命	운명	Fate; destiny
軍隊	군대	Army; military
數爻	수효	Number; count
儼存	엄존	Distinctly exist; solemnly exist
嗜好	기호	Taste; preference
習尙	습상	Custom; trend
輿論	여론	Public opinion
健全	건전	Sound; healthy
興隆	흥륭	Prosperity; flourishing
衰頹	쇠퇴	Decline; decay
變革	변혁	Revolution; radical change
專制君主國	전제군주국	Autocratic monarchy
平民	평민	Commoner
資本家階級	자본가계급	Capitalist class
勞働者	노동자	Worker; laborer (Older spelling of 노동자)
造成	조성	Creation; formation; building up
天稟	천품	Natural gifts; innate talent
膂力	여력	Physical strength
修養	수양	Cultivation (moral, mental); self-discipline
群衆	군중	Masses; crowd
偶然	우연	Accidental; coincidental
聖人	성인	Saint; sage
英雄	영웅	Hero
廢墟	폐허	Ruins
哀願	애원	Plead; implore
人力	인력	Human effort; manpower
文化運動	문화운동	Cultural Movement
大關節	대관절	Fundamentally; essentially (Older usage)
理想	이상	Ideal
機關	기관	Institution; organ; mechanism
統率	통솔	Command; lead
指導	지도	Guidance; leadership
經濟生活	경제생활	Economic life
藝術生活	예술생활	Artistic life
統括	통괄	Unify; oversee; supervise
主人	주인	Master; owner; main agent
市民	시민	Citizen
識者階級	식자계급	Learned class; knowledgeable class
有産階級	유산계급	Propertied class
無識階級	무식계급	Ignorant class
無産階級	무산계급	Propertiless class; proletariat
沒落	몰락	Downfall; ruin
共同性	공동성	Commonality; shared nature
組織	조직	Organization; structure
人格	인격	Character; personality
魂	혼	Soul; spirit
圖案	도안	Design; plan; blueprint
從事	종사	Engage in; pursue
缺乏	결핍	Lack; deficiency; shortage
德行	덕행	Virtuous conduct; morality
同胞	동포	Compatriots; fellow countrymen
凡人	범인	Ordinary person
料理	요리	Manage; handle (in context); cook (literal)
敎鞭	교편	Teacher's pointer; teaching profession
境遇	경우	Situation; circumstances
關頭	관두	Critical moment; juncture
實力	실력	Real strength; actual power; capability
禁酒	금주	Prohibition (of alcohol); temperance
牧師	목사	Pastor; minister
同盟	동맹	Alliance; league
效力	효력	Effectiveness; efficacy
奏する	주하다	Achieve; produce (effect) (Japanese verb form used in Korean text: 奏하다)
社會奉仕	사회봉사	Social service
信用	신용	Trust; credit
常識	상식	Common sense
學術	학술	Learning; academics; science
技藝	기예	Skill; art; craft
職務	직무	Duty; office; function
遂行	수행	Execution; performance; carrying out
財産	재산	Property; wealth; assets
平凡	평범	Ordinary; mundane; commonplace
改造	개조	Reconstruction; remodeling; reorganization
鞏固	공고	Solid; firm; strong
團體生活	단체생활	Group life; collective life
承	승	Inherit; succeed; receive
中軸	중축	Central axis; pivot
協働	협동	Cooperation; collaboration
政黨	정당	Political party
領袖	영수	Leader (of a party or group)
會社	회사	Company; corporation
俱樂部	구락부	Club (phonetic rendering of 'club')
長壽	장수	Long life; longevity
龍頭蛇尾	용두사미	Start with a bang, end with a whimper (lit. dragon head, snake tail)
運用	운용	Operation; management; application
同志	동지	Comrade; like-minded person
憲法	헌법	Constitution
制定	제정	Enactment; establishment
體現	체현	Embodiment; personification
儀表	의표	Model; example; standard
自由平等	자유평등	Freedom and equality
陳腐	진부	Stale; trite; outdated
沮害	저해	Hinder; obstruct; impede
資格	자격	Qualification; status; right
人權	인권	Human rights
能力	능력	Ability; capability
差別	차별	Distinction; discrimination
命令	명령	Order; command
服從	복종	Obedience; submission
威儀	위의	Dignity; majesty; authority
前路	전로	Path ahead; future course
驕慢	교만	Arrogance; pride
猜忌	시기	Jealousy; suspicion
排擠	배제	Exclusion; ostracism
誠意	성의	Sincerity; good faith
信仰	신앙	Faith; belief
編輯	편집	Editing; compilation
切迫	절박	Urgent; pressing
倉卒	창졸	Haste; hurry
開陳	개진	Express; state; unfold (one's views)
模糊	모호	Vague; ambiguous
厚誼	후의	Kindness; favor; goodwill
所信	소신	Belief; conviction
一斑	일반	A part; a glimpse
-e 

---------------------------


잡지명	개벽 제13호
발행일	1921년 07월 01일
기사제목	中樞階級과 社會
필자	盧啞
기사형태	논설

中樞階級과 社會
						盧啞
古代社會와 中心人物
有機軆인 生物의 細胞에 核이 잇슴과 가티 社會의 形成에도 核이 잇습니다. 古代史를 보던지 現今 濠洲나 亞弗利加 等地의 蠻族의 狀態를 보더라도 社會의 單細胞라 할만한 部落이 形性됨에는 一個의 中心人物이 잇고 그를 中心으로 數十乃至 數百, 數千의 個人 或은 家族이 團聚됨음 要합니다. 이를 또 蜜蜂에 比할 수 잇스니 女王蜂이 잇서야 蜂群이 形成되고 잇는 동안만 유지되다가 一旦에 女王蜂이 업서지면 全蜂群이 離散합니다. 이를 史에 考하건댄 中國民族의 社會의 形成은 堯와 舜을 無視하고 說明할 수 업스며 朝鮮民族의 그것은 檀君이 업시 說明할 수 업습니다. 그 中에도 가장 適例라 할 것은 埃及에 流離하던 이스래엘 民族이니 그네는 모세라는 中心人物을 核으로 하고 一國을 成하야 猶太國의 基礎를 成한 것이외다.
社會의 形成 或은 發生에만 核될 中心人物이 必要한 것이 아니라 社會의 維持와 發展에도 中心人物이 必要하엿나니 이스라엘族에 삼우엘이며 따윗 솔로몬 가튼 이는 實로 그 社會를 維持하고 發展하여 가는데 中心이 된 人物이외다. 이 모양으로 適當한 中心人物이 繼繼承承하는 동안 그 社會는 잘 維持되고 繁昌되지마는 一旦에 이러한 中心人物을 失하면 그 社會는 解軆되고 民族은 流離하게 된 것입니다.
이 모양으로 社會의 形成에나 維持發展에 中心人物이 된 者를 歷史는 君이라 하고 尊長이라 하는 것이외다.＜24＞
그러나 이와 다른 例가 잇스니 即 希臘, 羅馬의 일이외다. 그네는 社會를 形成함에나 維持함에나 中心되는 個人에 依함보다 中心되는 階級에 依함이 만흐니 이것도 그 極을 究하면 畢竟은 中心되는 人物에 歸着한다 할지나 그 中心人物이 그 中心階級의 意思를 代表하고야 有力한 點으로 보아 揂太族과는 다르다 할 것이외다.

長成된 社會와 中樞階級
그러나 長成된 社會, 그 中에도 法國革命의 精神을 바다 民權이 發達된 社會에는 中心人物인 個人보다 中樞階級인 一階級이 그 社會의 形成과 維持의 核이 되고 力點이 되는 것이외다. 李朝의 朝鮮의 中樞階級은 兩半이엇고 明治前의 日本의 中樞階級은 武士엿습니다. 그러나 가장 分明히 中樞階級의 特色을 發揮한 것은 亞歷山大帝以後로 革命 前에 至하는 俄國의 인텔리겐치아(知識階級)외다. 階級은 지난 時代의 中心階級이던 帝室을 中心으로 한 貴族階級의 後를 繼하야 全俄國民族의 中心이 된 것이외다.
現代 文明한 諸國家도 그 運命이 全혀 그 核을 作한 中樞階級에 달렷습니다. 假令 現代 日本의 中樞階級이 이느 것이며 이에 屬한 人員이 몃며치냐 하고 무르면 日本의 軍隊란 어떠한 것이며 이에 屬한 軍人의 數爻는 몃며치다 할 것 가티 分明히는 答할 수 업다 하더라도(長成된 社會는 그 組織과 機能이 甚히 複雜하기 때문에) 누구나 熹微하게나마 日本 全民族의 生活의 方向을 指導하는 一階級의 儼存함을 首肯할 것이외다. 英이나 米나 法가튼 더욱 社會의 組織이 發達한 나라에는 더욱 分明히 이 中樞階級의 輪廓과 運動을 볼 수가 잇는 것이외다. 그럼으로 그 社會의 政治, 宗敎, 敎育, 嗜好, 習尙이 모다 그 階級의 意思에서 發하는 것이니 「輿論」이라 함이 이 階級의 共通한 意見을 指稱함이외다.
이러함으로 揂太를 例示함과 가티 個人인 中心人物에 依하는 社會는 그 個人으로 더불어 運命을 가티 하거니와 中樞階級인 一階級에 依하는 社會는 그 中樞階級으로 더불어 運命을 가티하는 것이외다. 兩班階級이 健全한 동안 朝鮮의 全民族은 健全하며 國運은 興隆하엿고, 그것이 墮落하매 全民族은 墮落하고 國運도 衰頹한 것입니다. 羅馬의 貴族이 健全한 동안 羅馬의 大帝國은 興隆하엿고 그것이 墮落하매＜25＞ 全羅馬의 國民은 墮落하고 國家는 解體된 것입니다.
「革命」이란 말은 中心人物이나 中樞階級을 變革한다는 뜻이니 專制君主國에서 君主를 革하야 新人이 位에 卽하는 것이나 貴族階級을 革하야 平民이 그 國家와 社會의 中心이 되는 것이나 最近에 至하야는 資本家階級을 代하야 勞働者가 中心이 되려하는 것이나 畢竟은 一社會의 中樞階級을 變革하야 新理想 新制度를 가진 新社會를 現出하려함 뿐이외다.

中樞階級의 造成
中心人物은 어떠케 생겻는가. 天稟(才藝, 膂力, 智識, 德行) 잇는 偉人이 絶大한 修養을 싸하 當時의 群衆의 頭上에 超出한 人格을 成한 後에 그 周圍의 人民의 要求를 滿足시킨 者니 그의 出生은 實로 偶然이라 할 것이외다. 聖人이라던지 英雄이란 者는 이러한 人物을 가르침이니 이스라엘 民族이 聖殿의 廢墟에 서서 미새야의 出現을 哀願함이 이 天來의 中心人物을 求함이외다.
그러나 中樞階級은 반듯이 그러케 天運에 依賴할 것이 아니라 人力으로 成할 수도 잇고 變할 수도 잇는 것이니 이 中樞階級 造成의 力은 넓은 意味의 敎育이외다.
푸르시아의 푸레데릭大王, 아라사의 표틀大帝의 一生의 事業은 實로 그 나라의 中樞階級의 造成에 在하엿나니 이 點으로 보아 그네가 過去의 英雄 即 秦始皇이나 忽必烈, 亞歷山大王 等의 事業과 差異한 點이외다.
오늘날 우리나라에서 흔히 말하는 文化運動이라는 것도 말을 고치면 中樞階級 造成運動이라고 할만 합니다.
大關節 中心人物이나 中樞階級의 必要가 웨 잇습니까. 將次 理想的 天國이 臨하면 已여니와 그러치 아니한 동안 一社會(그것이 國家여나, 宗敎社會여나, 其他 무슨 社會여나)의 全員이 다 그 社會의 理想을 理解하고 그 機關의 運轉에 參與할만한 人格을 具하기는 바라지 못할 것이외다. 그러고 본즉 그 社會의 全員을 代表하야, 又는 統率하고 指導하야 나아갈 者의 一團이 必要할 것이외다. 이는 다만 政治的으로 말함이 아니오 經濟生活, 宗敎生活, 藝術生活, 敎育, 科學 等 人類生活의 各 部門에 다 이를 代表하고 指導 統率하는 中樞階級이 必要하며 또 ＜26＞이 各 部門의 生活을 統括한 一民族의 生活 全體에도 그 中心이 될 階級이 잇서야 할 것이외다.
例컨대 지난 數世紀間 2千萬의 朝鮮民族의 政治的, 文化的 生活을 指導한 主人은 그 千分之 一이나 될락말락한 少數의 兩班階級이엇스며 古代 希臘의 諸種族을 統率하고 指導하야 여러가지로 文武의 大事業을 成就한 것은 實로 스팔타, 아덴, 테베 등의 少數 「市民」이외다.
現代諸國의 中樞階級을 造成한 者는 一言으로 말하면 識者階級, 有産階級이니 日도 然하고 英도 然하고 美도 然한 것이외다. 이 比較的 少數의 識者階級과 有産階級이(其實 넓은 意味로 보면 此 二者는 一致하거나 重疊할 것이지마는) 比較的 多數의 無識階級, 無産階級을 率하고 導하야써 日을 作하고 英을 作하고 美를 作한 것이외다.
그런데 現在의 朝鮮은 어떠한 狀態에 存한가. 兩班階級의 沒落以後로 아즉 此를 代할만한 階級이 出現되지 못하엿습니다. 그래서 2千萬이 거의 各各이 스스로 中心人物을 作하야 바람에 날리는 모래알과 갓다고 볼 수 잇습니다. 이른바 社會共同性(Social solidarit)이 업습니다.
