Magazine Title: 개벽 제17호
Publication Date: 1921년 11월 01일
Article Title: 깃븐 보람 (Deep Fulfillment)
Author: 六堂 崔南善 (Yukdang Ch'oe Nam-sŏn)
Article Type: 시 (Poem)

Deep Fulfillment
						Yukdang Ch'oe Nam-sŏn

It is still fresh in the public's memory that Mr. Yuktang Ch'oe Nam-sŏn, who drafted the Korean Declaration of Independence (朝鮮獨立宣言書) and was abruptly imprisoned (囹圄), unexpectedly exited the Kongdŏk-ri Prison gate (孔德里 監獄門) on October 18th in the form of provisional release (假出獄). While imprisoned, aside from the prescribed labor (定規의 役), Mr. Ch'oe never neglected reading and writing, and his research on Korean history (朝鮮史) is said to have greatly advanced (大進) through this opportunity. While we anticipate (豫信) that Mr. Ch'oe's profound thoughts and theories will be conveyed to the general brethren through various forms on various future occasions, we first publish several celebratory poems (詩頌) dedicated to his parents' sixtieth birthdays (壽辰), composed during his imprisonment or immediately after his release.

Composed in Sŏdaemun Prison on Mother's 60th birthday (Hwangap)
A tower (塔) built towards heaven with diligence (勤勞) and purity (貞淑).
Adorned (嚴飾) with tears, engraved (鏤) with love (愛).
Your warm (溫) and radiant (耀燿) self is like the sun (太陽).

From the six (六) branches pulled forth (挻出), each branch is full of flowers (꼿).
Each flower will bear fruit (實), showing its abundance.
May you enjoy (享) and receive (受) sixty (六十) times sixty (六十) years (六十歲).

This body you excellently gave birth to, I have not used well until now.
I tried to make you smile, but my hands disobeyed (어귀도다) my heart (마암).
The delicate (纖弱) hand holding the cup (盞) feels ashamed.

Unexpectedly feeling overjoyed to be able to attend today's joy
Using the individual hairs (毛) of a thousand (千) oxen (牛) that haven't fallen out as a brush (筆).
Though the joyful expression (目皆) cannot compare (不可比擬) to even one tail's (尾) end (末),
I hope your heart's (心) bright mirror will reflect it. <132>

The sea (海) could be drunk dry (可飮盡), Mount T'ae (泰山) could be blown away (可吹盡).
Cultivating (修行) for countless eons (千萬劫), you manifested (示現) on your sixtieth year (六十歲).
There is no way (形喩之道) to depict (描畫) your boundless sunlight (日光).

The frustration of the blocked (阻斷) period is relieved by the openness (開通) of today (今日).
Before you who possess everything, I inherently have nothing to offer.
God knows this and that, here and there.

Composed in Sŏdaemun Prison in celebration of Father's 60th birthday (Suyeon)
All sorts (一切) of venerable (英偉) examples (典型) are gathered (俱備) in one body (一身).
Facing (對立) the mirror polished for sixty years (六十歲),
My foolish (愚騃) and frail (纖弱) appearance (相) is even more clearly revealed (表出).

You dispersed (普利) all the household assets (致得家産) gathered with sweat (勞汗).
Though the first birthday cup (壽杯) received is meager (薄) and cold (冷),
I cannot overcome my gratitude (不勝感激) for your smiling (筦爾) satisfaction (滿足).

You planted for flowers, but I have pulled up (揠) the roots.
Spring may come, but your hair has turned white.
Please become young again. I will tie down (繫留) that day (彼日).

Last July, on Father's birthday in Kyŏngsŏng Prison
Does the heart (마암) rushing (赴嚮) only towards you get blocked by iron bars (鐵柵)?
Is not this joyous day, this celebration (祝筵), even more like an arrow loosed from the bowstring (離弦矢)?
I hope you saw it as soon as your inner eye (心眼) opened.

Filtering the wine fermented (醱酵) in the chest through the heart (心臟),
After boiling it in true sincerity (眞衷), I offer it full in my intention.
As steam (蒸汽) becomes characters (文字), may you live for millennia (千秋萬歲).

Hearing you are returning to youth (還少), how can I not dance?
If it were mere rumor, it would be unknowable,
But faith (信心) surges (湧) spontaneously (自), so I know it must be true.

Shin-yu Year, Ninth Month, Twenty-seventh Day (Nine days after release from prison) <133>

**Summary**

This article from the magazine *Gaebyeok* introduces poems by Ch'oe Nam-sŏn (pen name Yuktang), written during his imprisonment in Sŏdaemun and Kyŏngsŏng prisons or shortly after his provisional release in October 1921. Ch'oe, known for drafting the Korean Declaration of Independence, was jailed for his role in the March 1st Movement. The introduction notes his continued scholarly work on Korean history while incarcerated. The poems themselves are deeply personal, expressing filial piety and regret towards his parents on their sixtieth birthdays (Hwangap and Suyeon). They reflect his confinement, his longing to properly celebrate with his parents, and his hope for their longevity, intertwining personal feelings with the constraints of his situation.

For historians, this article is significant as it provides a glimpse into the personal sentiments and resilience of a major figure of the Korean independence movement during his imprisonment. The poems, written in early 20th-century Korean with its distinctive orthography, offer insight into Ch'oe's state of mind—balancing filial duty, guilt over his inability to fulfill traditional roles due to his activism, and enduring hope, all under the duress of colonial suppression. The mention of his continued research on Korean history even in prison underscores the dedication of intellectuals to national identity during this period.

**Named Entities**

六堂 崔南善	육당 최남선	Yukdang Ch'oe Nam-sŏn
朝鮮獨立宣言書	조선독립선언서	Korean Declaration of Independence
孔德里 監獄	공덕리 감옥	Kongdŏk-ri Prison
셔대문감옥	서대문감옥	Sŏdaemun Prison
경셩감옥	경성감옥	Kyŏngsŏng Prison (Seoul Prison)

**Glossary**

깃븐	깊은	Deep (older spelling of 깊은)
보람	보람	Fulfillment, reward, worth
草하고	초하고	Drafting (Hanja: 草, draft + Hada verb form)
伋히	급히	Hurriedly, abruptly (older form/Hanja usage)
囹圄	영어	Imprisonment (Hanja term)
뜻밧게	뜻밖에	Unexpectedly (older spelling)
假出獄	가출옥	Provisional release from prison (Hanja term)
尙新한	상신한	Still new, fresh (in memory) (Hanja: 尙新)
定規	정규	Prescribed, regular (Hanja term)
役	역	Labor, service, duty (Hanja term)
不怠	불태	Not neglecting, diligent (Hanja: 不怠)
朝鮮史	조선사	Korean History (Hanja term)
硏究	연구	Research (Hanja term)
其步	기보	His steps, his progress (Hanja: 其步)
大進	대진	Great progress, advancement (Hanja: 大進)
豫信	예신	Anticipate, believe beforehand (Hanja: 豫信)
壽辰	수진	Birthday (honorific, usually for elders) (Hanja term)
詩頌	시송	Celebratory poem, ode (Hanja term)
揭記	게기	To publish, to record (Hanja: 揭記)
환갑날	환갑날	60th birthday (Hwangap)
셔대문감옥	서대문감옥	Sŏdaemun Prison (older spelling of 서대문)
부즈런과	부지런과	With diligence (older spelling)
깨끗	깨끗	Purity, cleanness
싸흐신	쌓으신	Built, piled up (older spelling/form of 쌓으신)
울흠	울음	Tears, weeping (older spelling)
드림하고	꾸미고	Adorning, decorating (archaic verb '드림하다')
아로삭여	아로새겨	Engraved (older spelling/form of 아로새기어)
다사코	따사롭고	Warm (older adjective form related to 따사롭다)
빗나신	빛나시는	Shining, radiant (older spelling/form of 빛나시는)
빼내신	빼내신	Pulled out, extracted
여섯	여섯	Six
가지	가지	Branch
꼿	꽃	Flower (older spelling)
열음매쳐	열매 맺어	Bearing fruit (older spelling/form of 열매 맺어)
탐스럼	탐스러움	Abundance, richness (older noun form)
예순해	예순 해	Sixty years (age)
곱	곱	Times (as in multiplication)
누려	누려	Enjoying (life, blessings)
바드십소셔	받으십시오	Please receive (honorific, older supplicative ending)
잘나하	잘 낳아	Having given birth well (older spelling/form)
마암	마음	Heart, mind (older spelling)
어귀도다	어긋나는도다	Disobeys, goes against (older form of 어긋나다 + exclamatory ending)
잔(盞)	잔	Cup (Hanja: 盞)
간여린	가녀린	Delicate, slender (older spelling)
붓그럽도소이다	부끄럽습니다	Feels ashamed (older spelling/form of 부끄럽다 + formal ending)
뫼시고	모시고	Attending, serving (honorific)
늣거워셔	즐거워서	Being happy, joyous (older form/spelling, related to 즐겁다, archaic 늣겁다)
즈믄	즈믄	Thousand (archaic native Korean number)
소의	소의	Ox's (older possessive form)
알알	알알	Each grain, individually (used here for hairs)
달치	닳지	Wear out, fall out (negative form, older spelling of 닳지)
붓(筆)	붓	Brush (Hanja: 筆)
눈추리	눈초리	Expression in the eyes, glance (older spelling)
셥	섭	Tail (archaic, possibly dialectal or specific usage context)
끗	끝	End (older spelling)
못비기나	비기지 못하나	Cannot compare (older spelling/form of 비기다 + negative + connective)
님의	임의	Your (referring to parents, honorific '임')
빗최실가	비추실까	Will it reflect? (older spelling/form of 비추다 + honorific + speculative ending)
합내다	합니다	Do, am (formal ending, older form)
한뫼	한뫼	Great mountain (likely T'aesan, 泰山; '한' meaning great/large + '뫼' archaic for mountain)
잘누리	오랜 세월	Countless eons (Hanja: 千萬劫 meaning 'thousand myriad kalpas', rendered phonetically/archaically)
나타내샤	나타내시어	Manifesting, appearing (honorific, older form)
해ㅅ빗츤	햇빛은	Sunlight (older spelling with ㅅ genitive marker)
그려낼줄	그려낼 줄	Way to depict/draw (older spelling)
막힌	막힌	Blocked, obstructed
답답함이	답답함이	Frustration, stuffiness
트인	트인	Opened, cleared
압헤	앞에	Before, in front of (older spelling)
이뎌것	이것 저것	This and that (older form)
이리뎌리	이리저리	Here and there (older form)
아버님	아버님	Father (honorific)
슈연	수연	60th birthday celebration for father (Hanja: 壽筵)
기림	기림	Praise, celebration (noun form of 기리다)
거룩한	거룩한	Venerable, holy
온갓	온갖	All sorts of
본새	본새	Example, model, appearance
가초셧네	갖추셨네	Possesses, is equipped with (older spelling/form of 갖추다 + honorific past)
닥가노신	닦아 놓으신	Polished (older spelling/form of 닦다 + 놓다 auxiliary + honorific)
