Magazine Title: 개벽 제22호
Publication Date: 1922년 04월 01일
Article Title: 十三萬圓의 債權을 放棄한 博川의 義商 故 邊龍珏氏 (The Righteous Merchant of Pakch'ŏn, the Late Mr. Pyŏn Yonggak, Who Forgave Debts Amounting to 130,000 Won)
Author: 一記者 (One Reporter)
Article Type: 소식 (News/Report)

The Righteous Merchant of Pakch'ŏn, the Late Mr. Pyŏn Yonggak, Who Forgave Debts Amounting to 130,000 Won
						By One Reporter

In Ŭiju, North P'yŏngan Province, there was Im Kwaksan, known as the "Man of Broad Learning and Virtue" (博物君子), who early on engaged in commerce with China and achieved an indelible great name in the history of Korean trade, a fact acknowledged by many. However, possessing wisdom and skill comparable to this Mr. Im, residing in a pivotal region of Western Korea, skillfully trading and practicing benevolence, there was a great, righteous, and wealthy merchant whom we cannot ignore: the subject of this piece, the late Mr. Pyŏn Yonggak of Pakch'ŏn. Born in the Kapsul year (1874), fourth month, he studied Chinese classics from an early age, passed the preliminary civil service examination (進士) in the Kap'o year (1894), and from the Chŏngyu year (1897) at age 24, began business as a commodities broker (物産客主), amassing a fortune of tens of thousands. In the Pyŏngo year (1906), he became one of the founders of the private Pangmyŏng School (私立博明學校), contributing much effort and money. Around the Sinhae (1911) and Imja (1912) years, however, many affairs went against his wishes, especially the mining venture started around the Pyŏngo year (1906) which did not go according to plan, leading to a situation where the general state of his family assets became unfavorable. He then voluntarily undertook a decisive, righteous liquidation, throwing everything into one last gamble (乾坤一擲), and spent his remaining days in honest poverty before departing this world in the autumn of the Ŭlma year (乙卬 - likely a typo, see notes), having just completed his 54th year.

Never mind today's Korea where foreigners come and go and trains rattle along; even in the old Korea where this was not the case, where were the famous trading centers of our country? They were said to be (1) Kanggyŏng, (2) Wŏnsan, (3) Pakch'ŏn, these three locations being the most prominent. He conducted brokerage and trade businesses in Pakch'ŏn, one of these three locations, and generally dealt with the wealthiest individuals in Korea's key areas. It would not be an exaggeration to say that not only the fish, seaweed, and rice commonly handled by commodity brokers, but also copper from Kapsan and cotton from Hwanghae Province entirely passed through his hands for collection and distribution. Particularly, his judgment of goods and his trustworthiness with people set him apart from others; his word was his bond (lit. his word was money), his hand was the scale, and the price he named was the set price.

Pyŏn Yonggak

In the year he suffered an unexpected, disastrous failure due to unrecovered loans and the poor performance of his mining business, examining his account books reveals he had claims (credits) amounting to 131,541 Wŏn 69 chŏn, and debts (liabilities) of 36,730 Wŏn 94 chŏn. If he had taken measures to settle the debts with these claims, not only would he have avoided failure, but he would have retained a huge sum of over 94,000 Wŏn, enough to live out his remaining years quite comfortably by local standards. However, he did not do so. Instead, he sold off all his land and buildings to fully repay his debts and simply burned and abandoned the claims worth over 130,000 Wŏn. When some among his close friends, not understanding his intention, criticized his recklessness, he simply said, "Either way, I am a man facing failure. If I were now to try and collect all those debts, I could not do so without inflicting the same kind of disastrous failure I experienced upon many people (over 130 households). I cannot bear to do such a thing." Such was the integrity and flawlessness of his heart.

Having abandoned claims worth over 130,000 Wŏn, he had no house to live in and no daily necessities. It is heard that for about two years afterwards, he lived in considerable hardship before falling into his final sleep. Due to financial difficulties (though other reasons were not absent, the main cause is said to be financial hardship), another pitiful event was that his direct son, P'unghyŏn, recently took his own life in Sinanju. Alas! There should be rewards for those who give, and glory returning to the righteous, yet he alone received none. While praising Mr. Pyŏn's righteous deed, I earnestly request that those among the people of Pakch'ŏn who had direct or indirect connections with Mr. Pyŏn give this matter some thought. <102>

**Summary**

This article eulogizes Pyŏn Yonggak, a formerly wealthy merchant from Pakch'ŏn in North P'yŏngan Province, Korea. Born in 1874, he amassed a fortune through commodity brokerage but faced financial ruin due to bad loans and a failed mining venture around 1911-1912. Despite having enough credits (131,541 Won) to cover his debts (36,730 Won) and retain a substantial sum, Pyŏn chose to sell his assets to pay his creditors and forgave all debts owed to him (over 130,000 Won) to spare over 130 debtor families from ruin. He lived his last years in poverty and died sometime before the article's publication in 1922 (the text mentions age 54 and the year 'Ŭlma', creating a chronological inconsistency). The article laments his family's subsequent hardship, including his son's suicide due to poverty, and calls for recognition of Pyŏn's righteousness. For colonial history, the article provides insight into the Korean merchant class, regional trade hubs (Pakch'ŏn, Kanggyŏng, Wŏnsan), common commodities (copper, cotton, fish, rice), the risks of business ventures like mining, and the impact of economic shifts in early colonial Korea. It highlights traditional Confucian values like righteousness (義) influencing economic decisions, even amidst hardship, and implicitly critiques the lack of social support or recognition for such acts.

**Named Entities**

林郭山	임곽산	Im Kwaksan
中國	중국	Chungguk
朝鮮	조선	Chosŏn
西鮮	서선	Sŏsŏn (Western Korea)
博川	박천	Pakch'ŏn
邊龍珏	변용각	Pyŏn Yonggak
平北	평북	P'yŏngbuk (North P'yŏngan Province)
義州	의주	Ŭiju
博明學校	박명학교	Pangmyŏng Hakkyo (Pangmyŏng School)
江景	강경	Kanggyŏng
元山	원산	Wŏnsan
甲山	갑산	Kapsan
黃海	황해	Hwanghae (Yellow Sea / Hwanghae Province)
風現	풍현	P'unghyŏn
新安州	신안주	Sinanju

**Glossary**

개벽	개벽	Creation; The Beginning (Magazine Name: refers to the opening of a new world/era)
博物君子	박물군자	Man of broad learning and virtue
일즉이	일찍이	Early on; From early times (Older spelling/form of 일찍이)
썩지	썩지	To rot; decay (here figurative: imperishable, indelible)
잇서	있어	To be; exist (Older spelling of 있어)
만흔	많은	Many; numerous (Older spelling of 많은)
對할 만한	대할 만한	Comparable to; worthy of facing
睿智	예지	Wisdom; foresight
手腕	수완	Skill; ability; acumen
要樞	요추	Pivot; key point; hub
交易	교역	Trade; commerce
慈惠	자혜	Benevolence; charity
不問에 付치	불문에 부치	To leave unquestioned; to ignore; to pass over
義商	의상	Righteous merchant
豪商	호상	Wealthy merchant; magnate
잇셧스니	있었으니	There was (Older spelling/form of 있었으니)
卽	즉	Namely; that is
漢學	한학	Chinese Classics; Sinology
修하고	수하고	To study; cultivate
되엿스며	되었으며	Became (Older spelling of 되었으며)
物産客主	물산객주	Commodities broker; commission merchant (dealing in local products)
累萬	누만	Tens of thousands
致하얏스며	치하였으며	To attain; achieve; amass (Older form of 치했으며 or 이룩했으며)
周旋	주선	Arrangement; good offices; mediation (here implies effort/fundraising)
行하얏스며	행하였으며	To do; perform; carry out (Older form of 행했으며)
至하야는	지하여는	Reaching; arriving at (a time or state)
違하고	위하고	To go against; violate
特히	특히	Especially; particularly
鑛業	광업	Mining industry
其計에 不入하야	기계에 불입하여	Not going according to plan (lit. did not enter the calculation)
大勢	대세	General trend; overall situation
乾坤一擲	건곤일척	Risking everything on a single throw; all-or-nothing gamble
淸算	청산	Liquidation; settlement (of accounts/debts)
斷行	단행	Decisive action; carrying something out resolutely
淸貧	청빈	Honest poverty
日月을 送하다가	일월을 송하다가	Spending one's days (lit. sending off sun and moon)
棄하엿다	기하였다	To abandon; discard; give up (here: died, left the world) (Older form of 기했다)
왓다갓다	왔다갔다	Coming and going (Older spelling)
드르럭 드르럭	덜그럭 덜그럭	Rattling sound (onomatopoeia) (Older spelling)
업고	없고	Not having; without (Older spelling of 없고)
녯날	옛날	Old days; ancient times (Older spelling of 옛날)
어대이엿는가	어디였는가	Where was...? (Older spelling/form of 어디이었는가)
最著하다	최저하다	Most prominent; most notable
中介	중개	Brokerage; mediation
行하야	행하여	To do; perform; conduct
樞要地	추요지	Key location; important place
巨富	거부	Extremely wealthy person; tycoon
大槪	대개	Generally; mostly
去來	거래	Transaction; dealing; business
通有한	통유한	Commonly possessed/handled; generally available
魚藿	어곽	Fish and seaweed/greens (represents marine products)
勿論	물론	Of course; needless to say
全部	전부	Entirety; whole; all
經하야	경하여	To pass through; via
集散되엇다	집산되었다	To be collected and distributed
過言	과언	Exaggeration
觀察	관찰	Observation; examination; judgment
信用	신용	Trust; credit; reputation
與他自別하야	여타자별하여	Being distinct from others; setting oneself apart
곳	곧	Precisely; namely; is (Older usage/spelling, often equivalent to modern 이다 or 바로)
定價	정가	Set price; fixed price
貸金	대금	Loan; loaned money
不回收	불회수	Non-recovery; failure to collect
不如意	불여의	Not going as one wishes; unsatisfactory
慘敗	참패	Disastrous defeat; crushing failure
當하던	당하던	Encountering; facing; suffering
帳簿	장부	Account book; ledger
考하면	고하면	If one considers; examines
債權	채권	Claim; credit; right to claim payment
債務	채무	Debt; liability
淸帳	청장	Clearing accounts; settling debts
策	책	Plan; measure; strategy
取한다 하면	취한다 하면	If one takes (a measure)
失敗	실패	Failure
勿論	물론	Of course; needless to say
殘하야	잔하여	Leaving a remainder; having left over
地方	지방	Region; locality; countryside
浩浩蕩蕩히	호호탕탕히	Vast and boundless; magnanimously; very comfortably
餘生	여생	Remaining life
不爲하고	불위하고	Not doing; refraining from
放賣	방매	Selling off
畢償	필상	Complete repayment
燒却	소각	Incineration; burning up
放棄	방기	Abandonment; renunciation; giving up
親友	친우	Close friend
或	혹	Some; perhaps; or
不解하는 者	불해하는 자	One who does not understand
無謀	무모	Recklessness; rashness
