**Header Section:**
Magazine Title: 開闢 (Gaebyeok)
Publication Date: 1922년 07월 10일 (July 10, 1922)
Article Title: 最後까지 驀進하리라 (We Shall Charge Ahead Until the Very End)
Author: Unspecified
Article Type: 사고·편집후기 (Notice/Editorial Postscript)

**Body Text Translation:**
We Shall Charge Ahead Until the Very End

Two years have already passed since 『Gaebyeok』 (開闢) came into the world. Now, with this issue, we publish our 2nd-anniversary commemorative issue.

Looking back, the summer of Gyeongsin (庚申, 1920) when this magazine was founded was exactly the year following Gimi (己未, 1919) when our national movement erupted. It was also a time when, along with the outcome of the Great War, social movements were rising up like bees within various countries. The 3000-ri Land of Hibiscus (三千里의 槿域 - Korea) was solely tense with an atmosphere of struggle, and the 1.7 billion masses [of the world] were entangled only by the passion of desire. It was to add a calculation to this tide of overturning fortune (翻覆의 洪運) and to cast a stone into the vortex of rebuilding (再造의 卷渦) that we created a kind of press organization – this was the birth of this magazine.

Alas! How could it be an easy task to uphold one firm principle and complete a kind of enterprise? This is even more so when working as a person of Joseon (朝鮮) within the land of Joseon, and furthermore, it is particularly so when managing not just any enterprise, but a press organization – and among those, not a newspaper (which mainly appeals to the reader's curiosity), but a magazine. In this sense, although the period we have passed through was a short term of merely 730 days, the oppression from authority (權力으로부터 오는 逼迫) and the difficulties arising from finances (財政으로부터 생기는 困難) that we faced were excessive enough to be comparable to those received throughout a long period of a thousand years. Moreover, when we think also of the oppression and difficulties received by the many colleagues who arose around the same time as us, we cannot but engrave an even deeper resentment onto our bones.

However, today, in July of Imsul (壬戌, 1922), deeply considering our circumstances, we cannot help but feel as though we have climbed over many cliffs and long valleys (斷崖長谷) and finally ascended to stand upon a 10,000-foot watershed ridge (萬尺 分水嶺上). Looking out at the path ahead from here, we still cannot help but feel uncertain (茫然한 感); yet, turning back to look at the path we have already trod, we also cannot help but feel a sense of pleasure (愉快한 感).

However, at this point, a few things occur to us. First, as those who have ascended to stand upon the 10,000-foot ridge, just as we have the joy of appreciating the elegant taste (雅趣) of the light clouds and gentle wind (淡雲輕風) that come and go at will, so too must we possess the readiness (覺悟) to face the curse (呪咀) of the storms (暴風狂雨) that arise without warning. Second, as our relationship to human society (人族社會) becomes clearer, our duty (責務) to prepare and advance becomes even more serious (重大). We only declare on this occasion that, using the bitter experiences (쓴 經驗) we tasted early on as a mirror (거울) and cautioning ourselves (自警하야) with the heavy responsibilities (重任) laid on the path ahead, we shall simply charge ahead (驀進함) until the very end like fighters for justice (正義의 鬪手).<1>

**Summary**

This editorial marks the second anniversary of the magazine *Gaebyeok*. It reflects on its founding in 1920 amidst the heightened nationalism following the 1919 March First Movement and global post-WWI changes. The piece emphasizes the extreme difficulties faced over two years, including pressure from authorities (likely the Japanese colonial government) and financial hardship, shared by other Korean publications. Despite these struggles, symbolized as scaling treacherous mountains, the editors express a sense of accomplishment upon reaching this milestone, comparing it to a watershed moment. They acknowledge future uncertainties but reaffirm their commitment to push forward, guided by past experiences and a sense of growing responsibility, fighting for justice until the end.

For historians, the article offers a valuable glimpse into the challenging environment for Korean nationalist intellectuals and cultural producers under Japanese rule. The explicit mention of "oppression from authority" and financial difficulties, alongside the reference to the post-March First Movement atmosphere and the shared struggles of "colleagues," highlights the precarious existence of Korean-language publications striving to maintain a nationalist or critical stance. The determined, almost defiant tone ("charge ahead until the very end") reflects the resilience and ideological commitment driving such cultural resistance efforts in the 1920s.

**Named Entities**

開闢	개벽	Gaebyeok
庚申	경신	Gyeongsin (1920)
己未	기미	Gimi (1919)
朝鮮	조선	Joseon (Korea)
壬戌	임술	Imsul (1922)

**Glossary**

最後	최후	Final, last
驀進하다	맥진하다	To charge ahead, rush forward vigorously
於焉	어언	Before long, already (archaic adverb)
本號	본호	This issue (of a publication)
創刊	창간	First publication, launch issue
回想컨대	회상컨대	Looking back, recalling (older conjugational ending '-컨대')
本誌	본지	This magazine (formal)
正히	정히	Exactly, truly (older spelling of 바로, 정말로)
民族運動	민족운동	National movement
勃發되던	발발되던	(Which) broke out, erupted (passive form)
翌年	익년	The following year
共히	공히	Together with (older spelling/form of 함께)
蜂起하다	봉기하다	To rise up like bees, swarm (uprising)
當時	당시	At that time
三千里	삼천리	3,000 ri (metaphorical term for Korea)
槿域	근역	Land of Hibiscus (Mu Gung Hwa) (poetic/metaphorical term for Korea)
奮鬪	분투	Struggle, strenuous effort
緊張되엇고	긴장되엇고	Was tensed, was strained (older spelling '엇')
大衆	대중	The masses, the public
欲求	욕구	Desire, want, craving
情熱	정열	Passion, fervor
翻覆	번복	Overturning, reversal
洪運	홍운	Great fortune, tide of destiny
一算	일산	One calculation; one part/element
添하고	첨하고	Adding (Hanja-based verb 添하다)
再造	재조	Rebuilding, reconstruction
卷渦	권와	Whirlpool, vortex (used metaphorically)
一石을 投하리라	일석을 투하리라	Will cast a stone (idiomatic for making a contribution/impact)
言論機關	언론기관	Press organization, media outlet
做出하니	주출하니	Created, produced (archaic Hanja verb 做出하다)
是가 即	시가 즉	This is none other than (archaic demonstrative 是 + 即)
一個斷斷의	일개단단의	Of one single firm/resolute (Hanja phrase)
主義	주의	Principle, '-ism', ideology
護持하야	호지하여	Protecting and maintaining (Hanja verb 護持하다)
事業	사업	Undertaking, enterprise, project, business
完成함이	완성함이	Completing (nominalized verb)
엇지	엇지	How...? (interrogative, older spelling of 어찌)
容易한	용이한	Easy
內地	내지	Mainland; here refers to Korea itself (as opposed to overseas)
新聞	신문	Newspaper
好奇心	호기심	Curiosity
訴하는	소하는	Appealing to
雜誌	잡지	Magazine
經營할	경영할	To manage, operate (when managing...)
別로	별로	Particularly, especially (older spelling)
經過한	경과한	(Which) passed, elapsed
그間	그간	That period, meanwhile
不過하는	불과하는	Being merely, only
權力	권력	Power, authority
逼迫	핍박	Oppression, persecution
財政	재정	Finances
困難	곤란	Difficulty, hardship
밧을	밧을	(Which one) would receive (older spelling/form of 받을)
相伴하기까지의	상반하기까지의	To the extent of being comparable to, accompanying
過大한	과대한	Excessive, too large
前後하야	전후하여	Around the same time, before and after
同業者	동업자	Colleague, person in the same business/trade
바든 바	바든 바	That which was received (older spelling/form of 받은 바)
아울너	아울너	Together with, along with (older spelling of 아울러)
一層	일층	Even more, further(more)
深刻한	심각한	Serious, severe, profound
怨恨	원한	Resentment, grudge
뼈에 색이지	뼈에 새기지	Engrave on the bones (idiom: feel deeply/unforgettably)
그윽히	그윽히	Deeply, quietly, profoundly (often implies deep thought or feeling)
境域	경역	Situation, circumstances, realm
斷崖長谷	단애장곡	Cliffs and long valleys (metaphor for hardship)
攀越하야	반월하여	Climbing over (Hanja verb 攀越하다)
萬尺	만척	10,000 feet (metaphor for very high)
分水嶺上	분수령상	On the watershed divide/ridge
登立함과 如한	등립함과 여한	Like having ascended and stood upon (archaic 如하다 for 같다)
茫然한	망연한	Blank, vacant, uncertain
도리켜 보면	도리켜 보면	Looking back (older spelling of 돌이켜 보면)
愉快한	유쾌한	Pleasant, delightful, cheerful
地點	지점	Point, spot, location
두어가지	두어가지	A few things (older spelling of 두어 가지)
嶺上	영상	On the ridge/peak
者이라	자이라	Is a person who... (copula + 者)
去來에 任하는	거래에 임하는	Left to the coming and going of (맡기는)
淡雲輕風	담운경풍	Light clouds and gentle wind (idiomatic: serene conditions)
雅趣	아취	Elegant taste, refined charm
感賞할	감상할	To appreciate, admire
喜悅	희열	Joy, delight
가티	가티	Like, as (older spelling of 같이)
때업시	때업시	Without time, anytime, unexpectedly (older spelling of 때없이)
暴風狂雨	폭풍광우	Violent wind and mad rain; fierce storm
呪咀	주저	Curse, malediction
