잡지명	개벽 제27호
발행일	1922년 09월 01일
기사제목	沙漠안에 情熱(續) (Passion in the Desert (Continued))
필자	발삭(作), 卞榮魯(譯) (Balzac (Author), Pyŏn Yŏng-no (Translator))
기사형태	소설 (Novel/Fiction)

Passion in the Desert
						Balzac (Author), Pyŏn Yŏng-no (Translator)
"You are quite insistent, aren't you?"
The Frenchman said with a slight smile.
He summoned the courage to stroke the leopard's ears. And he patted the leopard's belly and scratched its head vigorously.
Seeing his success (in calming the leopard), he (the soldier) carefully examined the leopard's skull, wondering where he could stab it with the dagger he held to kill it instantly. However, realizing the skull was extremely hard and the chance of success (in killing it) was slim, the soldier shuddered.
The Turkish Queen of the desert showed a deeply kind and courteous attitude toward her servant. Turning her head and stretching her neck long, she expressed her pleasure towards the soldier with her calm warmth. This suddenly made the soldier think of stabbing the barbaric Queen's neck with the dagger he held and killing her. However, seeing the leopard come under his feet, lie down gracefully, and look up at him with an expression overflowing with boundless goodwill (towards the soldier) and affection, despite its naturally cruel and fierce nature, he withdrew the blade.
The poor Provençal man ate some palm fruits, leaned against a tree, and looked alternately afar at the desert and at his fearsome companion of uncertain goodwill, wondering if anyone would come to rescue him.
The leopard watched where the palm fruits fell. Each time the soldier picked one down, the leopard rolled its eyes suspiciously, distrustfully. The leopard eyed the Frenchman up <56> and down with almost merchant-like judgment. In any case, it observed everything in a way not harmful to the soldier. When the soldier finished his meager meal, the leopard licked the soldier's boots clean with its powerful, rough tongue, meticulously removing even the dust caught in the crevices of the boots.
"Hmph, but when you get hungry!"
The Frenchman thought. Despite his body trembling like an aspen tree, weighed down by such fearful thoughts, the soldier examined the leopard's physique with a kind of curiosity. Indeed, the leopard was an exceptionally splendid specimen even among its kind. It stood three ch'ŏk (尺 - approx. 90cm) tall, and was four ch'ŏk (approx. 120cm) long excluding the tail. Its powerful weapon, the tail, was nearly three ch'ŏk long and round like a large club. Its head was as large as a lioness's, remarkably showing fierceness and skill. In truth, though wrapped in the cold cruelty of a tiger, its face also bore a vague resemblance to that of a sensual woman. This lonely queen of the desert resembled Emperor Nero drunk with excitement; having drunk her fill of blood, she seemed ready to play in her excitement. The soldier walked back and forth around the area. The leopard let him do so, content merely to follow the soldier with its eyes. Like an Angora cat larger than a truly loyal dog, it watched its master's (the soldier's) every move with its eyes only.
The soldier saw the remains of the horse he had ridden lying near the spring. The leopard had dragged it there and eaten almost a third of it. The sight allowed the soldier to guess everything. It was easy to explain why the leopard had gone somewhere and not woken the soldier. This first stroke of good fortune gave the soldier enough courage to think of somehow surviving. The soldier entertained the wild hope of continuing to get along well with the leopard by stroking it nicely.
Thus, the soldier returned to where the leopard was. The soldier was indescribably happy to see the leopard wag its tail with almost imperceptible movements, pleased at his return. At that time, the soldier sat down beside the leopard without any fear, pulling its ears, holding its paws, rolling it around, and even tapping its soft, warm ribs. The leopard let the soldier do whatever he wanted. When the soldier <57> touched its front paw, it gently and carefully retracted its claws.
The Frenchman was about to stab the leopard's abdomen with his dagger to kill it, but on one hand, he feared he might also die in the leopard's final struggle before its death, and on the other hand, there was remorse stemming from respect for an animal that had done him no harm, so he stopped trying to kill it. The soldier felt as if he had met a friend in the vast, boundless desert. He unconsciously thought of "Minnyŏn," his first lover – associating her with the leopard because "Minnyŏn" was so jealous that, even while the soldier loved her, he had always feared the blade of her knife which constantly threatened him.
Taking a hint from such memories of the past, he made the leopard respond to the name "Minnyŏn." The soldier's fear lessened. He praised his lover's (the leopard's) swiftness, sleek slenderness, and softness. By evening, the soldier had already grown accustomed to his dangerous situation. He almost perceived the pain of such hardship as pleasure. He had tamed the leopard to the point where it would look up at him when the soldier called "Minnyŏn."
When the sun set, "Minnyŏn" (the leopard, of course) cried out several times, deeply and sorrowfully. "Hmph, my lover is well-tamed. Now she's saying her evening prayers." The joyful Frenchman thought this. However, this mental pleasure only arose when he saw the leopard's calm and elegant form. "Come here, my beautiful fair-haired beauty. I shall let you sleep first," the Frenchman said to the leopard. He measured the strength of his legs, intending to run off as soon as the leopard fell asleep and find another place to spend the night.
The soldier impatiently waited for the time to make his escape, and when the time came (arrived), he immediately ran swiftly towards the Nile. But before he got far, he heard the leopard chasing behind him. The sound of the leopard's breathing, like sawing, was more frightening than the sound of its running.
"Ah, this leopard truly loves me. Perhaps this young lady has never seen anyone before. It is my honor to receive her first love." <58> The soldier thought. At that moment, the soldier fell into a fearsome quicksand pit from which no one could escape. Helplessly caught in the quicksand, he cried out in panic. Instantly, the leopard gripped the soldier's collar with its teeth, pulled itself up forcefully, and magically dragged the soldier out of the dreadful grip of the quicksand.
"Ah—Minnyŏn—" the soldier cried out, embracing the leopard fervently. "Whatever happens, let us never be parted through life and death! This is no joke. Engrave it on your heart!" The soldier turned back.
From then on, the desolate desert seemed to have the scent of a household. The desert contained at least an existence one could talk with—whose fierceness had been tempered by a human. Though the soldier himself could not explain the reason for such a strange bond forming, the soldier slept peacefully under the leopard's protection.
Waking after sleeping for some time, he found "Minnyŏn" was gone. So the soldier climbed up a hill. He spotted the leopard far away, running towards him. "Minnyŏn" arrived, her mouth smeared with blood. Receiving the embrace of her lover, the soldier, she was so happy that she purred incessantly (the sound cats or tigers make to express their pleasure). Her eyes were filled with weariness. She looked at the Provençal man with eyes even more courteous and affectionate than during the day. The Provençal man spoke as one would to a well-tamed animal.
"Ah, Mademoiselle— You are a beautiful woman, aren't you? Look! Aren't we living a proud life worth showing off to others? Isn't that so? Are you ashamed? What did you eat just now? Did you eat an Arabian? You did, didn't you? That doesn't matter. They are no different from animals like yourself. But please don't eat Frenchmen. Then I won't love you anymore!"
The leopard played like a dog utterly devoted to its master. Rolling around, letting itself be kicked, being knocked over. Sometimes, after voluntarily bothering the soldier, it would raise its two front paws slightly and make a gesture as if begging for forgiveness.
They spent several days in this state. This companionship <59> allowed the Provençal man to taste the indescribable sublime beauty of the desert. He was surrounded by the constant alternation of terror, anxiety, and calm warmth, by abundant food, and by the leopard he could not let his guard down around. His life was full of changes and contrasts.
The silence of the desert showed all its secrets to the soldier and enveloped him in its illusory beauty. The soldier discovered sights unimaginable in the civilized world amidst the rising and setting sun. His heart trembled with joy when he heard the flapping wings of the birds that visited so rarely, or saw the multicolored, diverse, wandering clouds disappearing. At night, he studied the strange phenomena created by the moonlight on the sea of sand moving in waves due to the Simoon (sandstorm). He lived an Oriental life. He marveled at its incomparable luxury. Besides that, the soldier occasionally experienced the fiery mists arising from desert storms, the sand glowing red-hot like iron, and the "death-bearing clouds" that seemed to scorch people to death. And so, he must have joyfully welcomed the night, when freshness that heals all scorching pains flowed down from the stars, listening to their imaginary music. At that time, the silence of the desert unfolded all its dreamlike treasures before him. He spent time without reminiscing about anything, comparing his present life with his past life.
In the end, the soldier's affection for the leopard reached such an extreme that mere caressing was not enough; "some expression of affection" became necessary.
Whether restrained by the soldier's strong will, or because there was enough food to plunder in the desert, somehow the leopard respected the man's life. Seeing the leopard completely tamed, the soldier swept away his fearful heart.
The soldier wasted much of his time sleeping. However, like a spider watching everything within its web, he could not help but watch if rescuers might pass over the desert horizon. He tore his inner shirt to make a flag and hung it on a palm tree from which he had cut the branch tips.
Fearing the flag might <60> not flutter when passersby looked around the desert, he tied a small stick diagonally to his homemade flag to keep it from folding.
Disappointed by the lack of passersby despite his anxious wait, the French officer's daily routine became playing with the leopard all day. He became familiar with the many variations in the tiger's voice and the complexity of its eye expressions. He also admired the dazzling colors created as the rose-colored spots on its brilliant golden coat reflected each other. Even when he grabbed its tail-hair to count the beautiful decorations on its tail—the fine ring-shaped spots—that glittered like jewels in the sunlight, the leopard showed no anger at all. Seeing its soft, fine contours, its snow-white belly fur, and its elegantly held head, the soldier's heart felt fresh joy. But especially watching the leopard's light, youthfully unrestrained movements was an endless, limitless pleasure for him. The beauty of its movements when jumping, climbing somewhere, washing, grooming its fur, crouching down, or standing up suddenly intoxicated the soldier's eyes.
No matter how quickly it stood up, no matter how slippery the rock it stood on was, when the soldier called "Minnyŏn!", it stopped ever so quickly, ever so agilely.
One day, when the sun shone brightly in the mid-heaven, a large bird floated by in the sky. The Frenchman ignored the leopard and watched the bird-guest. After a few minutes, the slighted Turkish Queen of the desert (the leopard, of course) roared deeply, hurtfully.
"Oh dear? You're jealous!" the soldier cried out, seeing the leopard's eyes becoming fierce again.
While the soldier admired the leopard's curvaceous silhouette, the large bird flew away.
"How her physique overflowed with youthfulness and charm! Like a beautiful woman, she was lovely! The yellow fur on her back harmonized delicately with the white fur of her ribs and belly. The descending sunlight made its golden color and reddish spots shine against each other as if burning. Her charm was indescribable."
The man and the tiger looked at each other with meaningful eyes, as if seeking some understanding. When her lover stroked her head, her (the leopard's) eyes flashed like lightning, then finally closed tightly.
"She (the leopard) has a soul too!!" The Frenchman cried out, seeing the chastity of the Queen of the desert, yellow like sand, white like sand, lonely like sand. <61>

"I have read well your defense regarding your beast. But how did the relationship between the two (the leopard and the soldier), who understood each other so well and were so close, end?" she asked.
"Yes, as you well know, it too, like other grand passions, ended due to a misunderstanding. Once one side begins to suspect the other of infidelity, no explanation or defense is of any use. It ends only with mutual arrogance, conflict, and stubbornness."
"Even so, couldn't a single word or expression at some moment resolve all misunderstandings like melting ice? But please, hurry and finish your story."
"That is very difficult to do. You will understand, of course. That old rascal (the leopard's former lover) drank the last glass of Champagne and, trusting me completely, confided his frightening story to me."
'He said, "I don't know if I hurt her (the leopard), but anyway, she got thoroughly angry, turned sharply, and though she didn't bite very hard, she bit my leg with her sharp teeth. So, thinking, 'Oh, you're going to eat me,' I stabbed her neck with the dagger I had. I saw her die, rolling over and over, letting out a heartbreaking sound that seemed to freeze my heart instantly, but even then, no anger was visible in her eyes! I would have given up this entire world! I would have given up even my Red Cross medal, which I possess now though I hadn't earned it then - if only I could have restored her dying life for just one minute!! I truly felt as if I had murdered a living person. The soldiers passing by saw the flag I had hung on the palm tree and came to rescue me, and they found me engulfed in endless tears."'
'"Look here. I wandered around fighting in Germany, Spain, Russia, and various regions of France, but I have never seen a place as beautiful as the desert." After a moment's silence, the old soldier began speaking again.'
' "What did you feel there (in the desert)?" I asked.'
' "Ah! Look here, young man! That simply cannot be put into words. Besides constantly worrying about my palm tree and my leopard, I will be forever, forever wrapped in sorrow for them. In the desert? As you know, everything is there, and nothing is there."'
' "What? Please explain—"'
' "Yes, it is God's domain without humans," the old soldier said as if finding it unbearable....(End)...<62>

**Summary**

This text is a Korean translation of Honoré de Balzac's short story "A Passion in the Desert," published in the magazine *Kaebyŏk* in 1922. It recounts the tale of a French soldier lost in the Egyptian desert after Napoleon's campaign, who forms an intense, complex, and ultimately tragic bond with a wild female leopard he nicknames "Minnyŏn" after a former lover. The soldier experiences awe at the desert's sublime beauty and terror from his predicament, oscillating between affection for the leopard and fear of its wild nature, until a perceived betrayal leads him to kill her, an act he deeply regrets. For historians, the piece is interesting as an early example of Western literature translation into Korean during the colonial period, published in a significant nationalist magazine (*Kaebyŏk*). The translation style itself, using older Korean orthography and vocabulary blended with attempts to render French literary sensibility (like addressing the leopard as "Mademoiselle" or "fair-haired beauty"), reflects the cultural negotiation and linguistic development occurring at the time.

**Named Entities**

佛蘭西	프랑스	France
푸로봉쓰사람	프로방스 사람	Provençal person (person from Provence)
土耳其	터키	Turkey (used metaphorically for the leopard)
나일江	나일강	Nile River
미년	미년	Minnyŏn (Nickname given to the leopard)
아레비아사람	아라비아 사람	Arabian person
獨逸	독일	Germany
西班牙	스페인	Spain
露西亞	러시아	Russia

**Glossary**

豹범	표범	Leopard/Panther
바득바득	바득바득	Insistently, persistently (onomatopoeia)
만적어릴	만지작거릴	To fiddle with, touch repeatedly (older spelling/form)
몸서리를 쳣다	몸서리를 쳤다	Shuddered (older past tense form)
慇懃한	은근한	Attentive, courteous, subtle
靜溫한	정온한	Calm and warm, gentle
蠻暴한	만폭한	Barbaric, violent
獰猛함	영맹함	Fierceness, ferocity
棕櫚實	종려실	Palm fruit, dates
依支하여	의지하여	Leaning on, relying on (older form)
同侔	동모	Companion, comrade (archaic term)
疑訝해서	의아해서	Being suspicious, doubtful (older form)
치색이고 내리색이어	치훑어보고 내리훑어보아	Looked up and down (older/dialectal phrasing)
長靴	장화	Boots
몬지	먼지	Dust (older spelling)
體軀	체구	Physique, build
種子	종자	Seed, species, breed (here means specimen/type)
棍棒	곤봉	Club, cudgel
彷佛하엿다	방불하였다	Resembled closely (older conjugation)
殘骸	잔해	Remains, wreckage, carcass
撫摩하야	무마하여	By stroking, petting, placating (older form/spelling)
끄두르고	끄르고	Untying, here likely means 'pulling' or 'tugging' (ears) - possible older form or typo for 끄덩이 (lump/mass -> pulling?) or a non-standard verb. Context suggests manipulation/pulling.
갈비때	갈빗대	Ribs (older spelling)
오모르치엇다	오므렸다	Drew in, retracted (older spelling/conjugation)
뉘우침	뉘우침	Remorse, repentance
업시	없이	Without (older spelling)
嫉妬心	질투심	Jealousy
威嚇하든	위협하던	Threatening (older form)
賞讚하엿다	상찬하였다	Praised, admired (older form)
哀傷的으로	애상적으로	Sorrowfully, mournfully
逃亡질	도망질	Act of escaping (colloquial/older form)
쪼차옴	쫓아옴	Chasing (older spelling)
모래수렁	모래수렁	Quicksand
驚惶하여	경황하여	In panic, flustered (older form of 경황(驚惶)중에 - amidst panic)
칼라께	칼라께	Collar (likely loanword 'collar' + particle 께 - non-standard/archaic)
擁抱하엿다	옹포하였다	Embraced (older form)
銘心해라	명심해라	Engrave on your heart, remember well
넉발이 되엇다	넉바탕이 되었다(?)	Was smeared/covered (archaic/idiomatic expression, uncertain exact modern equivalent, context suggests covered in blood)
倦怠	권태	Weariness, boredom, ennui
貴孃	귀양	Madam, Milady (archaic respectful term for a young woman)
當身	당신	You (formal/archaic)
只今	지금	Now (older spelling using obsolete vowel)
잣바트려지기도	자빠뜨려지기도	Being knocked over (older spelling/form)
崇嚴美	숭엄미	Sublime beauty
交次됨	교차됨	Alternation, crossing
圍繞	위요	Surrounded
變幻	변환	Change, transformation, metamorphosis
靜黙	정묵	Silence (variant of 정적(靜寂))
幻美	환미	Illusory beauty, phantom beauty
沙風	사풍	Sand wind, sandstorm (Simoon)
波狀으로	파상으로	In waves, wave-like
華奢無比함	화사무비함	Incomparable luxury/splendor
時艱	시간	Time, hours (archaic/literary term for time)
虛費하엿다	허비하였다	Wasted (older conjugation)
蜘蛛	주치	Spider (older reading/variant of 거미)
綱	강	Net, web (here spider's web)
窺	규	Peek, spy, watch secretly
가장귀	가지	Branch tip (older/dialectal term for branch end)
빗그러 매여	비스듬히 매어	Tied slantwise, diagonally
戱弄지거리	희롱지거리	Playing, teasing, fooling around (older form)
벳댁이	배때기	Belly (colloquial/older form)
醉하게 하엿다	취하게 하였다	Intoxicated, made drunk (older causative form)
滑	활	Slippery (Hanja character used directly)
敏捷하게	민첩하게	Agilely, nimbly
冷待	냉대	Cold treatment, snub
咆哮하엿다	포효하였다	Roared (older conjugation)
妬忌	투기	Jealousy, envy
嬌態	교태	Charming demeanor, coquetry
뗄리케트하게	델리케이트하게	Delicately (loanword 'delicate' + adverbial ending)
名狀할 수 업섯다	명상할 수 없었다	Indescribable (older spelling/form; 名狀 means 'to describe shape/form')
諒解	양해	Understanding, consent
靈魂	영혼	Soul, spirit
貞淑함	정숙함	Chastity, virtue, modesty
辯解	변해	Explanation, excuse, defense
親접든	친접하던	Was close to, intimate with (older form)
不貞	부정	Infidelity, unfaithfulness
疑心하기	의심하기	To suspect
傲慢	오만	Arrogance, haughtiness
爭鬪	쟁투	Conflict, fight, strife
固執	고집	Stubbornness, obstinacy
氷釋할	빙석할	To melt away (like ice), resolve (misunderstandings)
잡놈	잡놈	Rascal, scoundrel, lowlife (derogatory)
쇔펜酒	샴페인주	Champagne wine
뭅듸다	물었습니다	Bit (older/dialectal verb ending)
목아지를	목을	Neck (목아지 is slightly colloquial/crude)
心藏	심장	Heart (older spelling/Hanja usage)
悲痛한	비통한	Heartbreaking, grievous
듸굴듸굴	데굴데굴	Rolling over and over (onomatopoeia, older spelling)
赤十字勳章	적십자훈장	Red Cross medal/decoration
挽回	만회	Recovery, restoration
-e 

---------------------------


잡지명	개벽 제27호
발행일	1922년 09월 01일
기사제목	沙漠안에 情熱(續)
필자	발삭(作), 卞榮魯(譯)
기사형태	소설

沙漠안에 情熱
						발삭(作), 卞榮魯(譯)
「네가 바득바득 조르는 구나」
그 佛蘭西 사람은 빙글에 웃으며 말햇다.
그는 그 豹범의 귀를 만적어릴 勇氣를 내엿다. 그리고 그 豹범의 배르 쓰다듬고 그의 머리를 몹시 긁어 주엇다.
그는(兵士) 自己가 成功(그 범을 달래는 것의)함을 보고 自己가 가젓든 短刀의 끗으로 어대를 찌르면 곳 죽일 수가 잇슬가 생각하면서 그 豹범의 頭骨을 똑똑어려 보앗다. 그러나 그 두골이 甚히 단단하야 그 兵士는 成功할(죽이는 일의) 可望이 적음을 알고 몸서리를 쳣다.
그 沙漠의 土耳其 女王은 自己의 종에게 深切하고도 慇懃한 態度를 보엿다. 自己의 고개를 돌고 목을 길게 늘여 自己의 靜溫한 것으로 自己가 그 兵士에게 對한 喜悅을 表示하엿다. 그것이 그 兵士로 하여곰 그 蠻暴한 女王의 목을 가젓든 短刀로 찔러 죽여버리겟다는 생각을  갑작스러이 하게 하엿다. 그러나 그 豹범이 自己 발미테 와서 姿態잇게 누어서 自然的으로 殘暴하고 獰猛함을 不拘하고 限업는 好意(그 兵士에게 對한)와 愛情이 넘치는 表情으로 自己를 치어다 봄을 보고는 칼날을 거두엇다.
그 可憐한 푸로봉쓰사람은 苦干의 棕櫚實을 먹고 나무에 依支하여 서서 自己를 救援할 사람이 오지나 안는가 하고 멀리 沙漠과 不可確信의 好意를 가지고 잇는 두려운 同侔를 번갈아 가며 바라다 보앗다.
그 豹범은 그 棕櫚實이 떨어지는 곳을 바라보앗다. 그 兵士가 한個式 따내릴 때마다 그 豹범은 疑訝해서 못미더하는 눈을 굴렷다. 그 豹범은 그 佛蘭西사람을＜56＞거진 商賈的 裁智로 치색이고 내리색이어 보앗다. 어찌하엿든 모든 것을 그 兵士에게 해롭지 안케 觀察하엿다. 그 兵士가 그 변변치 못한 食事를 마치엇슬 때에 그 豹범은 그 兵士의 長靴를 그의 힘잇고 거칠거칠한 혀ㅅ바닥으로 싹싹 할고 매우 才緻스럽게 그 장화의 틈서리에 끼인 몬지까지라도 업시하엿다.
「흥, 그러나 네가 시장할 때에는!」
그 佛蘭西사람은 생각하엿다. 그런 두려운 생각에 눌리어 몸이 사시나무 떨리듯함을 不拘하고 그 兵士는 一種의 好奇心으로 그 豹범의 體軀를 삷혀 보앗다. 確實히 그 豹범은 제 種族가운대서도 特別히 華麗한 種子이엇다. 高가 3尺이오 꼬랑지 除하고 長이 4尺이나 되엇다. 그 偉力잇는 武器인 꼬랑지는 거진 3尺이나 되게 기다란데 큰 棍棒가티 둥굴엇다. 그 머리는 암獅子의 것 만치나 큰데 精悍하고 熟練함이 두드러지게 나타낫다. 事實로 호랑이의 그 冷酷한 殘忍性에 싸혀잇스나 그 얼굴은 亦是 한 肉感的의 女子의 것과 朦朧한 類似點이 잇섯다. 이 외로운 沙漠의 女王은 醉興에 겨운 네로皇帝와 彷佛하엿다. 피를 배불리 먹고 제 興에 겨워 놀려하엿다. 그 兵士는 오르락 나리락 周圍를 건일엇다. 그 豹범은 그러케 하도록 내버려 두엇다. 다만 그 兵士를 눈으로만 따르는 것에 滿足하얏다. 眞實한 忠犬보다도 큰 앵고라 猫가티 自己 主人(兵士)의 一動一靜을 눈으로만 보삷혓다.
그 兵士는 그 샘(泉)가에 自己가 타고 오든 말의 殘骸가 노혀 잇는 것을 보앗다. 그것은 그 豹범이 거기까지 끌고 왓는데 거진 3分의 1이나 뜨더 먹엇섯다. 그 光景이 그 兵士로 하여곰 모든 것을 짐작하게 하엿다. 그 豹범이 어대를 가서 그 兵士의 잠을 일깨우치지 안핫든 까닭은 說明하기 쉬운 일이엇다. 그 好運의 初 一段이 그 兵士로 하여곰 어떠케든지 살아나갈 생각을 할만치 勇氣를 내이게 하엿다. 그 兵士는 그 豹범을 잘 撫摩하야 그와 잘 親交를 繼續하여 보리라는 狂妄的 希望을 품엇다.
그리하야 그 兵士는 그 豹범 잇는대로 돌아갓다. 그 兵士는 그 豹범이 自己가 옴을 보고 반가워서 꼬랑지를 거진 보이지 안흘만한 動作으로 흔드는 것을 보고 말할 수 업시 깃거웟다. 그때에 그 兵士는 아모 두려워함 업시 그 豹범겨테 안저서 그의 귀도 끄두르고 발목도 쥐여보고 데굴데굴 굴려도 보며 그 軟하고 따뜻한 갈비때를 툭툭 때려도 보앗다. 그 豹범은 그 兵士가 무엇을 하든지 가만 내버려 두엇다. 그 兵士가＜57＞ 제 압발을 건드릴 때에는 얌젼하고 操心스럽게 발톱을 오모르치엇다.
그 佛蘭西사람은 곳 그 豹범의 腹部를 短刀로 질러서 죽이려 하엿스나 一面으로 그 豹범이 絶命하기 前에 마즈막 긔쓰는 바람에 自己 亦是 죽게 될는지 모르고 또 다른 一面으로는 自己한테 아모 危害를 끼치지 아니한 動物에 대한 敬意로 말미암아 나오는 뉘우침도 잇서서  죽이려든 것을 中止하엿다. 그 兵士는 茫茫하여 邊際가 업는 沙漠 가운대서 한 親友를 맛난 것 가티나 생각하엿다. 그는 無意識하게 「미년」이란 自己의 처음 戀人을 생각하엿다.-「미년」이란 女子가 그러케 嫉妬心이 만하서 그 兵士는 三 자기가 그 女子를 사랑하든 사이에도 恒常 自己를 威嚇하든 그 女子의 칼날을 두려워 하엿섯다는 聯想으로.
그러한 지난 날의 記憶에 暗示를 어더 가지고 그는 그 豹범을 「미년」이란 이름에 應하게 하엿다. 그 兵士의 두려움은 적어젓다. 그는 自己戀人(豹범)의 날내이고 멥시잇게 가녈피고 보들어움을 賞讚하엿다. 저녁 때가 되어서는 그 兵士는 自己의 危險한 處地에 벌서 親親하게 되엇다. 그는 그러한 難境의 苦痛을 거의 快樂으로 알게 되엇다. 그 兵士가 「미년」하고 소리를 지를면 그를 치어다 볼만큼 그 豹범을 길들여 노핫다.
