**Header Section:**
Magazine Title: 개벽 제28호(1부)
Publication Date: 1922년 10월 01일
Article Title: 新澙縣出稼中에서 犧牲된 /〓同胞의 遺族을 찻고 (Sacrificed While Working Away from Home in Niigata Prefecture / Searching for the Bereaved Family of Our Compatriot)
Author: 密陽에서 起瀍 (Ki Ch'an from Miryang)
Article Type: 문예기타 (Literary Miscellaneous)

**Body Text Translation:**
Sacrificed While Working Away from Home in Niigata Prefecture /〓Searching for the Bereaved Family of Our Compatriot

						From Ki Ch'an in Miryang

Dear X. When I was leaving, you had something to say about whether things would stay as they were or if there would be a move. How have things turned out these days? Since leaving Seoul once and heading south, I've moved almost morning and evening—to Masan, then Tongnae, Tongnae to Pusan, Pusan to Miryang—but nowhere have I found anything refreshing. The sight of young people withering and falling, the sight of foreign tribes prospering arrogantly, is even more severe when witnessing the actual conditions south of Seoul than when treading any other soil in Chosŏn. Among these, the appearance of the collapsing farming villages and the gaunt forms of the old men and young children, as if mourning the fate of those villagers, are truly unbearable to look at directly.

Dear X. Still, we—or rather, the many writers, talkers, thinkers, and schemers similar to us—whenever we gather, we chatter day and night about the construction of a new culture, the securing of the right to live, and what not. But what can be done? The vast majority of our compatriots, even before they can comprehend terms like 'new culture' or 'right to live,' are already being trampled by those who trample, and destroyed by those who destroy.

X. Thinking like this, there is no end to what I could say. Let's leave everything for when we meet face-to-face, and here I will only tell the story of searching for the bereaved family of our compatriot—Mr. Pak Chin-yŏl—who was sacrificed while working away from home in Niigata Prefecture. But Brother, I write this letter crying. If possible, please read this letter crying as well.

X. As you know, my reason for coming to the Kyŏngnam region this time was solely to seek out the farming villages of this area, one after another, and to dig into the circumstances of some dreadful facts, whether open or hidden, within them. However, this is not something that can be accomplished in the short period of a week or two. It is something that cannot be done unless one investigates continuously for at least several years. With this in mind first, on the 11th, I visited a village called "Mŏngaesil," about ten *ri* from Miryang Town, a village of only one hundred sixty households <100> which had sent out over seventy laborers to Japan. On the following day, the 12th, I visited a village called Mich'on, about thirty *ri* from Miryang Town. This village is where the home family of Mr. Pak Chin-yŏl is located—the one said to have been abused at the Shin'etsu Electric Power Company's construction site in Niigata Prefecture, and whose manner of death is unknown, whether he drowned, starved, or was murdered by those wicked fellows.

X. Accompanied by a fine young man from Miryang Town, I left Miryang Castle's east gate at 2 PM on the 12th. After crossing the river three times, we arrived at Mich'on at 5:30 PM. At the village schoolhouse (書堂), we asked a boy wearing a *kangkŏn* (headband) and *kwan* (hat) for directions and the two of us stopped by the house of Mr. Pak Sŏng-yŏl, the elder brother of the late Mr. Pak Chin-yŏl. However, the master of the house, Mr. Pak, happened to be away in Miryang Town on business, and his son, a young gentleman, received us. When we stated the purpose of our visit and asked about the circumstances surrounding it, an old man wearing a *kat* (traditional hat) and *turumagi* (overcoat) and a middle-aged man just returning from the fields came. This middle-aged man was Pak Su-yŏl, who said that he had escaped from the Shin'etsu construction site in Niigata Prefecture together with his cousin Chin-yŏl, entered the mountains, became lost, and on the sixth day, his older cousin Chin-yŏl starved to death in the Iwagwan mountains, while he alone barely managed to return alive. Indeed, the shadow of starvation had not yet faded from his face. The appearance at that time, shown in a separate photograph, is still quite visible. As if saying, "This is truly a chance to fully express my burning feelings," he recounted the entire story from beginning to end for over an hour. Summarizing his account: "Lured by the sweet words and deceitful tricks of a Japanese man named Uehara, I, along with my cousin Chin-yŏl and about eighty other companions, left Pusan and arrived at the construction site in Niigata Prefecture after four days and nights last spring, on the 29th day of the 3rd lunar month. How could we not be utterly disappointed? In the contract signed at the time of recruitment, the working hours of eight hours suddenly changed to fifteen hours, the mention of using electric machinery changed to digging mountains and quarrying stone, and the actual daily income of one *wŏn* and ten *chŏn* changed to less than seventy *chŏn*. Furthermore, fearing potential escapes, they confined us in gloomy prison cells at night, and even on payday at the end of each month, we couldn't see a single penny (they forced us to save, saying we would run away if given money). Around the main gate of the site, dozens of bicycle patrols were conducted to watch all movement outside, and if unfortunately caught by those fellows' eyes, one would be sent to the criminal affairs staff within that group, stabbed with knives, and hung upside down. No matter how I thought about it, it felt like being dead rather than alive. Moreover, my cousin Chin-yŏl, being someone who had originally <101> never done such tough work, became increasingly gaunt day by day. Whenever we met, he would talk about our hometown and leak his intention to do something like this. Thus, at twilight on the 4th day of the 6th lunar month, we brothers risked our lives in a desperate gamble and escaped that dreadful den of a construction site. Thinking only that we would be killed if caught by those fellows' eyes, we just kept crawling deeper into the trackless mountains, trying only to avoid them.
Ah, what is this? We spent that night, and went through the entire next day, but the end of the mountain was nowhere in sight; it was just bamboo forests and miscellaneous trees. Looking ahead was vast emptiness, and looking back was the same. On the fifth day of this, we barely discovered a small house in a mountain valley, but when my cousin looked at the doorplate, he said it was the house of an employee of the Shin'etsu Company. Even in our state of utter exhaustion, our hearts leaped at the mention of that company, and we again fled into the mountains, taking a completely unknown path, just thinking that if we could get far away from those fellows' workplace, we might survive. But what could we do? On the morning of the seventh day, my cousin first sank down beside a rock, saying, 'I can't go any further now. There's nothing left but to die! You are still better off than me, so if by some luck you can preserve your life, go back and at least deliver the news of this shameful death to our relatives in our hometown.' How do you think my heart felt upon hearing these words?
(Caption under picture: Pak Chin-yŏl, who starved to death in the mountains)

'Brother—' I just sank down right there. I hadn't realized it until then, but once I sat down, my body, soaked by the deep mountain dew all night, began to tremble violently. No matter how I tried to endure it, my chin kept quivering uncontrollably, and I couldn't do anything about it. At this time, my cousin embraced my trembling body <102> and just kept saying, 'You must live. You must live.' The morning sun rises. It shone warmly through the trees onto the bodies of us brothers. My whole body felt like it was melting. My cousin gently released his embrace on me and just collapsed. Suddenly, I had a strange feeling and called out 'Brother, Brother' repeatedly, but alas, there was no answer anymore. His eye sockets took on an unusually blue hue, and I don't know where they gathered from, but bluebottle flies came buzzing around. Even in such a trackless deep mountain, those kinds of things exist. I had no thoughts. After letting out a sigh, I don't know what happened to me. Feeling my body was extremely hot, I came to my senses and saw my cousin's corpse lying there as it was. The slanting evening sun shone warmly down on my body, and suddenly my mind seemed to clear. 'I have no choice but to find a way to live,' I thought. Covering my cousin's cold body with a couple of types of wood, I headed towards the valley visible below. With the determination to survive until death, sometimes lying down, sometimes getting up, sometimes walking, sometimes stopping, by fortune or misfortune, on the third day after leaving my cousin, I found a mountain cottage and barely managed to survive thanks to the aid of the house's owner. I found out later that this was the very house my cousin and I had found earlier. Several days later, accompanied by police officers from the Nagano Prefectural Police Station, which had jurisdiction over the area, we searched for my cousin's body for three days and three nights, but ultimately failed to achieve our goal, and I have returned alone like this." He seemed to regret, even now, not being able to die together with his brother.
(Caption under picture: Pak Su-yŏl, who was rescued in the mountains)

Dear X. Where else in this world could there be such a sad fact, and who else could <103> be in such a heartbreaking situation? Ah, Brother, whose fault is this ultimately? It must be the fault of being born Korean, and among Koreans, the fault of being born without money.

Dear X. The facts are grave, but this letter is becoming too long. I will add a few more words about Mr. Chin-yŏl and then close.
The Mr. Pak Chin-yŏl in question (36 years old this year) had studied Chinese classics early on but had achieved little. Consequently, he became a person who couldn't do either writing or work satisfactorily. He already had a family, having a daughter and a son. As his son had already reached the age of eleven, he worried day and night about the boy's education and supporting his family. However, there was no farmland available for tenant farming there, and although his elder brother had a house, it was also not prosperous. As a last resort, he planned to go to Japan, and that is how things turned out, they say.

X. I spent the night there as dusk fell, listening to the circumstances of the farming village throughout the night with the brothers of that village. Early the next day, while leaving the village, I encountered Mr. Sŏng-yŏl, Chin-yŏl's elder brother, who was returning from the town. Being the elder brother of the deceased, he was very moved and grateful to meet me, but suddenly he began to weep, emphatically stating that even though it was the account of his cousin Su-yŏl, there were inevitably points of doubt, and that the cause of his younger brother's death was surely not that simple. He insisted there must be an inside story, but the means to investigate were vague. He considered the so-called correspondence from the deceased mentioned in a certain newspaper article to be stranger than anything. I merely recorded the words from this side and that side truthfully, and being in a hurry to return to my company (office), I promptly left that place and came to Miryang Town. Now, I will add an excerpt from a personal letter sent by the late Mr. Chin-yŏl to his elder brother upon his initial arrival in Japan, and then lay down my pen.

(Previous part omitted) Your younger brother, while away from home, is managing to sleep and eat for now. Leaving Pusan on the 26th of last month, I arrived safely in Niigata Prefecture, Japan, after four days and nights. The distance is over six thousand *ri*. Arriving in a foreign country for the first time, the blue mountains and flowing waters are like those of my homeland, but thinking of home, I cannot settle my melancholy feelings. Nevertheless, I have no choice but to work here for some months or years and return after obtaining even a few tens of *wŏn*. Please understand this, and I hope that you, brother, will take care of the family affairs in any way possible. There is more to say, but the paper is short, so I cannot write everything. (Latter part omitted).<104>
<100-104>

**Summary**

The article, written as a letter by Ki Ch'an from Miryang, details his search for the family of Pak Chin-yŏl, a Korean man who died while working in Niigata Prefecture, Japan. The author interviews Pak Chin-yŏl's cousin, Pak Su-yŏl, who escaped with him from harsh forced labor conditions at the Shin'etsu Electric Power Company. Su-yŏl recounts their harrowing escape, Chin-yŏl's death from starvation in the mountains, and his own rescue. The article highlights the exploitative contract terms, brutal treatment, and confinement faced by Korean laborers. Chin-yŏl's older brother expresses suspicion about the official cause of death. The piece concludes with an excerpt from Chin-yŏl's letter home, revealing his hope to earn money for his family. For historians, this article provides a poignant first-hand account of the deceptive recruitment practices, horrific conditions of forced labor endured by Koreans in Japan during the colonial period, and the desperation driving impoverished farmers to seek work abroad. It starkly illustrates the human cost of Japanese industrial projects and colonial exploitation, as well as the grief and suspicion left behind for the families.

**Named Entities**
新澙縣	니가타현	Niigata Prefecture
密陽	밀양	Miryang
起瀍	기찬	Ki Ch'an
X兄	X형	X Hyŏng (Brother X)
서울	서울	Seoul
馬山	마산	Masan
東萊	동래	Tongnae
釜山	부산	Pusan
朝鮮	조선	Chosŏn
朴珍烈	박진열	Pak Chin-yŏl
慶南	경남	Kyŏngnam (South Kyŏngsang Province)
「멍애실」	멍애실	Mŏngaesil
日本	일본	Japan
美村	미촌	Mich'on
信越電力會社	신에쓰 전력회사	Shin'etsu Electric Power Company
朴性烈	박성열	Pak Sŏng-yŏl
朴壽烈	박수열	Pak Su-yŏl
上原某	우에하라 모	Uehara (Japanese name, '某' means 'so-and-so')
岩管山	이와관산	Iwagwan Mountain (Reading uncertain)
長野縣	나가노현	Nagano Prefecture

**Glossary**
出稼	출가	Working away from home (older term)
犧牲된	희생된	Sacrificed
遺族	유족	Bereaved family
찻고	찾고	Searching for (older spelling of 찾고)
나던그	떠나던 그때	At the time of leaving (older spelling/phrasing)
移宇	이우	Moving house/residence (likely archaic term for 이사)
日間	일간	These days
어	어찌	How/why (older spelling)
업나이다	없나이다	There is none (formal, older form of 없습니다)
	꼴	Appearance/state/sight (colloquial/slightly older form)
히	떵떵히	Arrogantly/prosperously
살저가는	살쪄가는	Growing fat/prospering (older spelling)
	땅	Land/ground (older spelling)
尤甚	우심	Even more severe
쓸어저가는	쓰러져가는	Collapsing/falling down (older spelling)
吊喪	조상	Mourning/condoling
穉子	치자	Young children
앙상한	앙상한	Gaunt/emaciated
正視	정시	Looking directly at
글쟁이	글쟁이	Writer (slightly dismissive nuance possible)
말쟁이	말쟁이	Talker (slightly dismissive nuance possible)
쟁이	꾀쟁이	Schemer/clever person (slightly dismissive nuance possible)
들지요	떠들지요	Chatter/make noise (polite ending)
同胞	동포	Compatriot
多大數	대다수	Vast majority (older form)
이위	이따위	This kind of (often derogatory)
術語	술어	Technical term/jargon
了解	이해	Understanding (older form, now usually 이해)
先하야벌서	앞서 벌써	Already before (older phrasing)
蹂躪	유린	Trampling/violating
敗滅	패멸	Ruin/destruction
面對	면대	Meeting face-to-face
便紙	편지	Letter (older spelling)
한	또한	Also
비집어내고저함이외다	비집어내고자 함이외다	It is the intention to delve into/dig out (formal, older construction)
몃해	몇 해	Several years (older spelling)
繼續的	계속적	Continuous
探索	탐색	Search/investigation (older form, now usually 탐색)
渡日勞働者	도일 노동자	Laborer who went to Japan
距하기	거하기	Being distant by (Hanja based verb form)
翌	익	The next (day)
져죽엇는지	빠져 죽었는지	Whether drowned (older spelling)
虐使	학대	Abuse/mistreatment (older term, now usually 학대)
갓쓰고	갓 쓰고	Wearing a kat (traditional hat)
作容	작용	Action/function (here likely means 'out on business' or 'working')
令子	영자	Son (honorific, older term)
來意	내의	Purpose of visit
先後의 事情	선후의 사정	Circumstances from beginning to end
일터으로	일터로	From the workplace (older spelling)
從兄	종형	Older male cousin (father's brother's son)
脫走	탈주	Escape/desertion
餓死	아사	Death from starvation
艱辛히	간신히	Barely/with difficulty
生還	생환	Returning alive
顔面	안면	Face
饑餓	기아	Starvation/hunger
陰影	음영	Shadow/gloom
寫眞	사진	Photograph (older Hanja form)
貌習	모습	Appearance (older form)
所懷	소회	Thoughts/feelings
亘하야	걸쳐	Spanning/over (Hanja based verb form)
間自初至終	간 자초지종	The whole story from beginning to end
其略	기략	Its summary/gist
誘惑	유혹	Temptation/lure
爲始한	위시한	Including/starting with
晝夜	주야	Day and night
客春	객춘	Last spring (literary/older term)
陰	음	Lunar (calendar)
失望千萬	실망천만	Extreme disappointment
募集	모집	Recruitment
契約書	계약서	Contract
勞働時間	노동 시간	Working hours
電力機械	전력 기계	Electric machinery
鑿山採石	착산 채석	Digging mountains and quarrying stone
實收	실수	Actual income/receipts
未滿	미만	Less than
突變	돌변	Sudden change
萬一	만일	If by chance/just in case
陰沈한	음침한	Gloomy/dank
監房	감방	Prison cell
拘束	구속	Confinement/restraint
每月末日	매월 말일	End of every month
計算日	계산일	Accounting day/payday
求景	구경	Seeing/spectating (older usage for 'getting to see')
强制	강제	Compulsion/force
貯金	저금	Savings/deposit
周園	주위	Surroundings (older form, now 주위)
自轉車	자전거	Bicycle (older term)
巡廻	순회	Patrol/rounds
看守	간수	Guard/watch
不幸	불행	Misfortune/unluckily
組內	조내	Within the group/unit
刑事部員	형사 부원	Criminal affairs staff/detective member
廻送	회송	Sending back/transferring
리우고	찔리우고	Being stabbed (passive, older spelling)
각구루	거꾸로	Upside down (older spelling)
억세인	억센	Tough/strong (older spelling)
槁枯	고고	Withered/emaciated
故鄕	고향	Hometown
넷이약이	옛이야기	Old stories/stories of home (dialectal/older form)
如此如此	여차여차	This and that/such and such
漏洩	누설	Leak/disclosure
黃昏	황혼	Dusk/twilight
九死一生	구사일생	Narrow escape from death (lit. nine deaths, one life)
暗窟	암굴	Dark cave/den
人迹	인적	Human trace/footprints
竹林	죽림	Bamboo forest
雜木	잡목	Miscellaneous trees/undergrowth
漠然	막연	Vague/vast/uncertain
門牌	문패	Doorplate
會社員	회사원	Company employee
氣盡脉盡	기진맥진	Completely exhausted
하여	뜨끔하여	Feeling a pang/startled (older spelling)
암모르는	아무 모르는	Completely unknown (older spelling)
가다라낫습니다	달아났습니다	Ran away (older spelling/form)
바위겨테	바위 곁에	Beside the rock (older spelling)
주저안지시며	주저앉으시며	Sinking down (honorific, older spelling)
幸혀라도	행여라도	Perchance/if by some chance (older form)
面目	면목	Face/honor/dignity
저즌	젖은	Wet (older spelling)
리가를 始作하며	떨리기 시작하며	Starting to tremble (older spelling/phrasing)
턱춤이자	턱춤이 자꾸	Chin kept quivering (older spelling/phrasing)
안으시며	끌어안으시며	Embracing (older spelling)
슬며시	슬며시	Gently/quietly/stealthily
쓸어저눕습니다	쓰러져 눕습니다	Collapses and lies down (older spelling)
連呼	연호	Calling out repeatedly
對答	대답	Answer/response
눈자위	눈자위	Eye socket area
푸른빗	푸른 빛	Blue color/light (older spelling)
우더니	띠우더니	Taking on/showing (color) (older spelling)
푸른파리	푸른 파리	Bluebottle fly
왕왕	왕왕	Buzzing sound (onomatopoeia)
深山	심산	Deep mountains
그위	그따위	That sort of thing (often derogatory, older spelling)
屍體	시체	Corpse/dead body
夕陽	석양	Evening sun/setting sun
하게	따끈하게	Warmly (older spelling)
灑落	쇄락	Clear-headed/refreshed (formal/literary)
道理	도리	Way/method/means
찬몸	찬 몸	Cold body
골	골짜기	Valley (short form)
或臥或起且步且止	혹와혹기차보차지	Sometimes lying, sometimes rising, sometimes walking, sometimes stopping (Classical Chinese phrase)
苟存	구존	Barely managing to survive (literary)
救護	구호	Rescue/aid/relief
管轄	관할	Jurisdiction
畢竟	필경	After all/in the end
未達	미달	Not achieved/unfulfilled
悔恨	회한	Regret/remorse
탓	탓	Fault/reason/blame
室家	실가	Wife and family/household (older term)
하서	따라서	Therefore/following that (older spelling)
子息	자식	Child/offspring
敎育	교육	Education
扶養	부양	Support/maintenance (of family)
晝宵焦慮	주야초려	Worrying day and night (literary)
小作	소작	Tenant farming
田土	전토	Farmland (older term)
豊裕	풍유	Abundance/prosperity (older form of 풍요)
最後	최후	Last/final
一計	일계	A plan/scheme
欣感	흔감	Feeling delighted and moved
느울며	느껴 울며	Feeling emotional and crying (older spelling/phrasing)
從弟	종제	Younger male cousin (father's brother's son)
疑訝	의아	Doubt/suspicion
不無	불무	Not non-existent/present
死因	사인	Cause of death
單純	단순	Simple
內幕	내막	Inside story/hidden details
調査	조사	Investigation/survey
漠然	막연	Vague/obscure
某紙	모지	A certain newspaper/paper
所謂	소위	So-called
通信	통신	Correspondence/communication/letter
歸社	귀사	Returning to the company/office
急하야	급하여	Being urgent/in a hurry (older spelling)
親信書	친신서	Personal letter (from someone close)
附記	부기	Adding a note/postscript
前畧	전략	Previous part omitted
舍弟	사제	Younger brother (humble term used in letters)
客裡	객리	While away from home/abroad (literary)
眠食姑保	면식고보	Managing to sleep and eat for now (Classical Chinese phrase)
無享히	무양히	Safely/without incident (older form of 무사히)
里數	이수	Distance in ri (unit of distance)
鬱鬱	울울	Melancholy/gloomy
懷抱	회포	Feelings/emotions/thoughts held inside
-e 

---------------------------


잡지명	개벽 제28호(1부)
발행일	1922년 10월 01일
기사제목	新澙縣出稼中에서 犧牲된
필자	密陽에서 起瀍
기사형태	문예기타

新澙縣出稼中에서 犧牲된/〓同胞의 遺族을 찻고

						密陽에서 起瀍
X兄님. 제가 나던그에 이대로인가 移宇하실 말슴이 계시더니 日間에 어되엇나이, 저는 한번서울을 나 南下한 以後로는 馬山으로 東萊, 東萊釜山, 釜山으로 密陽에, 거의 아츰저녁으로 移宇를 行하오나 한곳이나마나 시원한무엇은 업나이다. 靑年人士들의 시들어넘어진, 異國族屬들의 히살저가는 은 朝鮮의 어느을 밟을 보다도 서울 以南의 實況을 目擊할에 尤甚하오며 그 中에도 다-쓸어저가는 農村의 貌樣과 그 村中들의 運命을 吊喪하는 듯한 老夫穉子의 앙상한 形態는 참말로 正視 할수가업나이다.
