잡지명	개벽 제31호
발행일	1923년 01월 01일
기사제목	새로 開拓되는 「童話」에 關하야, 特히 少年 以外의 一般 큰 이에게 (Regarding the Newly Pioneered "Children's Story," Especially for General Adults Beyond Boys)
필자	小波 (Sop'a)
기사형태	논설 (Editorial/Essay)

Regarding the Newly Pioneered "Children's Story," Especially for General Adults Beyond Boys
						Sop'a
What is a Children's Story (童話, Tonghwa)?—General Understanding of Children's Stories—Should Only Boys Read Children's Stories?—Excavation of Traditional Children's Stories—What is Hoped for from Local Youth, Especially Teachers, Youth Associations, and Literary Departments—Other Miscellaneous Thoughts

The recent phenomenon where two or three collections of children's stories have been published among us, and various magazines are competing to publish children's stories, is a greatly pleasing trend.
Looking at the current situation, just as the children's story itself possesses an infinitely wide world, our children's story art, which has just begun to bud, also has a very promising future.
On this occasion, although it is my humble opinion, I felt the need to write down some very general miscellaneous thoughts regarding children's stories before starting to write, as planned, about various issues concerning the study of children's stories as concretely as possible from the next issue, or the one after that at the latest. This is because I know that, aside from a portion of the knowledgeable (識者), the general public still lacks understanding of children's stories. It's because I haven't forgotten that years ago, in a certain Seoul newspaper, there was even a reporter who, when writing about a children's story play (童話劇), barely managed to put the character 童 (Tong, child) above 活劇 (Hwalgeuk, action drama)—commonly seen as action serials or Western action films—writing it as 童活劇 (Tonghwalgeuk, child action drama) (it wasn't a printing misprint; even the vernacular script was entirely in 활 (hwal) characters).<18>

It needs no further mention here that in any ethnicity, nation, or for all of world humanity, all new ideas and new projects always originate in the minds of new figures and are realized by their hands, and that these new people are invariably nurtured from the world of boyhood.

The children's story is an important facet and the most essential food (食物) for the spiritual life of that boy—the child. Just as art is absolutely necessary as an element of our humanistic cultivation in the culturally evolved modern era, the children's story is demanded as an element of human life for the modern child.

The 童 (Tong) in 童話 (Tonghwa) means child (兒童), and 話 (Hwa) means story (說話), so 童話 means children's stories, or stories for children. Conventionally, among our folk, stories told to children are often called "old tales" (옛날 이약이), but that is because children's stories, especially unbound by time and place, generally begin with "Once upon a time" (옛날 옛적), making it easy to understand children's stories as "old tales." However, by no means are only old tales children's stories; thus, simply calling them "stories" (이약이) would be appropriate. (Regarding the etymology of "이약이," there is an interesting story, but I will write about it in detail next time.)
To speak more specifically about what this children's story is, one must state its nature by presenting the form and content of the children's story, trace its origin and path of development, establish distinctions between children's stories and other similar things, and further, observing children's stories from a purely scientific standpoint, one must delve into the classification of children's stories and conduct comparative research. Of course, I will write about this sequentially next time, but from a general perspective, it would be good enough for now to understand that children's stories are things like the commonly known "The Sun and the Moon," "Hŭngbu and Nolbu," "K'ongjwi P'atchwi," "The Hare's Liver (T'okkiŭi kan)," etc.

The benefits that children's stories provide to children are by no means limited to just two or three. Looking only at the points effective for education, besides rapidly developing their emotional sentiment (情意) and sharpening their intellectual judgment (理智), they cultivate virtue (德性) through numerous moral elements, enriching sympathy (同情心) and chivalry (義俠心) towards others. Furthermore, through children's stories containing various supernatural and trans-human elements, they even build the foundation for religious faith. Truly, their effect is great. However, such lessons and benefits are what educators,<19> religious figures, and other leaders besides children—users of children's stories—talk about; by no means is instruction alone the primary purpose of the children's story. (I intend to elaborate on this later as well.)
Moreover, the reason children themselves seek children's stories is definitely not to acquire knowledge, nor is it to seek self-cultivation; it is almost an instinctive, natural desire. Just as a newborn desires mother's milk, a child desires children's stories. Just as mother's milk is the sole food (食物) that nurtures the infant's life, the children's story is the most precious spiritual food (精神的 食物) for the child.
The reason why children's stories exist everywhere, in every era, and increasingly expand their world is truly because they are instinctively and naturally desired (欲求) as indispensable spiritual nourishment (精神的 食料) for the lives of children worldwide. Behold! Though the materials of the content handled differ due to climate, geography, and customs, see how flowers consistently bloom in the world of children's stories in any civilized nation or any primitive tribe.

The children's story, which from ancient times was treated merely as a single narrative—a single story—has progressed in modern times to the point where it is thought that "the children's story is what an artist who has not lost their childlikeness (아동성), returning once more to the child's heart, appeals to the reader through the unique expressive style of the children's story about some inspiration—or perhaps an ideal born from reflection on real life."
Therefore, the ideas and world manifested in children's stories created by the brush of artists, at least in modern times, can also be seen as the author's world of ideals. Although there are points to criticize for being difficult for general children, reading the children's stories of England's Oscar Wilde and Belgium's (白義耳) Maeterlinck (메―렐링) further reinforces this thought.

If art is the refined representation of life, then the children's story is a splendid, complete art.

The audience (or reader) of the children's story is, of course, the child.
However, does this mean it is entirely unrelated (沒關係) to those other than children—youth, adults, the elderly, i.e., general grown-ups? Regarding this point, what I wrote in the previous sections may have already cast some explanatory hints, but I feel I must write a few more words.
In reality, in Chosŏn, upon seeing just the character 童 (Tong) in children's story, almost everyone except for a portion of the knowledgeable has simply paid no attention. It's not that the somewhat popularly read Hŭngbu chŏn, Pyŏlchubu chŏn, or Pak Ch'ŏnnam chŏn <20> are not children's stories, but that was because profit-seeking booksellers randomly strung together inappropriate phrases, creating them in their so-called novel style, crowning them with the title of ancient novels, and selling them cheaply. The content of the books themselves had long lost the qualification of children's stories, and those who subscribed to read them did not read them knowing they were children's stories, but read them as ancient novels. This is because, until now, none of us were seen studying children's stories, and no one introduced or explained children's stories to the general public, leading to a truly ignorant lack of understanding regarding children's stories.
As mentioned in the preceding section, if the children's story is something where an artist, one among humanity who has not lost their eternal childlikeness (영원한 아동성), returns to the child's heart and appeals to the reader about some inspiration—perhaps some feeling arising from reflecting on real life—then that inspiration, that reflection, must be the inspiration and reflection of everyone in the world. No, through that work, everyone must receive the baptism of inspiration, and through that work, everyone must reflect on their own individual lives.
A certain Western philosopher (哲人) is said to have stated:
"The urgent task of the modern era lies in having children, in turn, educate their parents." It is a reasonable statement. It is a reasonable statement that is utterly unforgettable. When general grown-ups pay attention to children and frequently draw near them, it ultimately becomes self-reflection and education for themselves.
We must all preserve the "eternal childlikeness" (영원한 아동성) we possess within this world of children, and furthermore, we must refine it. We must strive to frequently return to that clean, that beautiful and clear homeland—the child's heart.
The child's heart! Truly, in the world we live in, nothing spreads its wings as freely as the heart of childhood, nor is anything as pure. However, as our age increases, we gradually begin to lose it, and instead, we gain various experiences and consequently acquire various complex knowledge. But if we only gain that experience and knowledge, what can be done with it? Experience itself is not useless, nor is knowledge useless. However, merely increasing only those things is certainly not something to be proud of as a beautiful life. Moreover, if during the increase of that experience and knowledge, on the other hand, that pure, that clean emotion has vanished,<21> what shall we do? That person, even if they are a possessor of cold, withered (枯) and frozen (凍) knowledge, would still be a fallen person in terms of life.
Ah! We must always, constantly return to the innocent old home garden (故園)—the world of childhood—and borrow the purity of heart.
"Seeing a beautiful flower and exclaiming, 'Ah, beautiful!' and rushing towards it without reason—I not only find the child endearing, but it seems to me that there is a deep meaning there."
So said Mr. Ogawa (小川), a Japanese children's story writer. Indeed. The world of the child is truly an indescribably beautiful paradise of poetry and, at the same time, like an unpeekable, solemn (崇嚴) kingdom of secrets.

This beautiful paradise, this solemn kingdom! Everyone in the world passes through there.
And just as everyone has a hometown where they were born, and just as the scenery and all the events of that hometown are never forgotten, everyone passes through that childhood era, that world, once, and likewise, can never forget all the events of that time.
Whether one becomes 30, 40, or even 70 or 80 years old, for however long, people will not forget the paradise of their younger days and will yearn for it. The heart that yearns for it is the heart that longs for undefiled purity and infinite freedom. Reflection on real life, aspiration towards ideals, love and hope for young friends and the future life will emerge from this heart. Moreover, children's stories will be widely and sincerely read with this heart, and the creation of children's stories will also produce sincere works from such a state of mind.
Ah, the art of the children's story! Who among all grown-ups would dislike encountering it?

In the sense described above, children's stories should by no means be read only by boys and girls based on age standards, but should be read together by the wide, wide humanity. The author, too, always writes not just stories given by adults (大人) to small children (小兒), but writes "children's stories" for the "eternal childlikeness" possessed by humanity.
Thus, the only way we can enter the warm home garden (故園) of childhood that we long for and yearn for throughout our lives is solely through children's art, and the children's story is an <22> important facet of children's art. Only in this world of children's stories can children and general grown-ups "clump together as one," and only in this world does not even the slightest distinction exist between the soul of the adult and the soul of the child.
I hope that the general public will turn their attention to children's stories with a little more understanding and a more sincere attitude.

The only children's story collections published in Chosŏn are Mr. Han Sŏk-wŏn's (韓錫源) "Nun kkot" (Snow Flower), Mr. O Ch'ŏn-sŏk's (吳天錫) "Kŭmbangul" (Gold Bell), and my translation, "Sarangŭi Sŏnmul" (Gift of Love). Besides these, Mr. Chu Yo-byŏn (朱耀變) in Shanghai (上海) has also put his pen to children's stories.
I earnestly hope that more colleagues who study and create children's stories will increase.

It is somewhat regrettable that even though we now have a few children's story collections and children's stories published in magazines, they are mostly translations (譯) of foreign children's stories, and creations of our own children's stories are not seen. However, there is no need to be discouraged. Like other literature, children's stories will inevitably have a period of importation, and perhaps it is the proper sequence for us, who have just picked up the hoe (鍬), rather than rushing into creation, to, on the one hand, excavate our traditional children's stories (古來童話) and, on the other hand, import foreign children's stories to broaden the world of children's stories and enrich the material.

More important and essential than importing foreign children's stories—the excavation of traditional children's stories that will become the foundation for the stage of our children's stories—is more difficult than anything else. This is truly the most difficult of difficult tasks (難中의 難事).
The Grimm's Fairy Tales collection from Germany (독일), said to be a treasure (重寶) in the world of children's literature, was reportedly collected by the Brothers Grimm (그리므 형제) through immense hardship, traveling through regions for a long period of over 50 years. In Japan (일본), during the Meiji era, the Ministry of Education (文部省), in order to compile Japan's unique traditional children's stories, ordered the authorities of each prefecture (府縣) nationwide to have their respective elementary schools collect the children's stories orally transmitted in their respective regions, past and present, but they did not succeed. Recently, they again attempted to collect folk songs (俚謠) and children's stories, but reportedly could not achieve it due to government budget cuts.
Looking at such examples from others, one can guess how difficult the collection of traditional children's stories is.
Moreover, we, who cannot rely on a government or ministry of education,<23> must undertake this task with our own strength, even if it takes 100 years for what took others 50 years.
Despite this being the most difficult of difficult tasks, the sincerity of Kaebyŏk Publishing (開闢社) in accepting this intention and readily undertaking the effort to collect traditional children's stories this time is infinitely appreciated. And I also wish to express my gratitude to all the applicants who are assisting in the excavation of children's stories by responding to this meaningful task.
Before long, their manuscripts will come to me. And I eagerly anticipate being able to obtain many jewel-like (寶玉) children's stories from among them with a joyful heart.

However, I do not think we will see satisfactory results from this first endeavor alone. I know that following this first experience, such opportunities must arise continuously. I hope that all magazines, if possible, will establish this collection section, and newspapers too, as it is something achievable with perhaps 2 columns daily; if they undertake this work, the effect will be great.
But what I place the most hope in are the youth residing in various regions. Teachers working in schools everywhere, members of literary departments in various youth associations, even bank clerks, financial cooperative staff, and township office (面役所) employees—it's something you can do in your spare time. If you search and dig them out, respond to prize competitions, send them to magazine companies, or publish them in newspapers, much harvest can be reaped with not much effort.
We must, through our individual cooperation, unearth our jewel-like (寶玉) children's stories that are second to none; otherwise, our children's stories will remain buried forever, never seeing the day of excavation.
Again and again, I entrust this task to everyone residing in the regions.

The famous children's story known as "The Monkey's Live Liver" (猿의 生膽), which is translated in various European countries as a Japanese children's story, is actually not originally Japanese but was translated from a Chosŏn children's story, merely changing the hare (톡기) of the Chosŏn Pyŏlchubu tale into a monkey. (Looking at the Tongguk T'ongsa (東國通史),<24> it seems to be originally from Chosŏn, but there is also the thought that perhaps it came from India (인도); however, it is not yet clear.) Besides that, "The Man with the Wen" (혹쟁이) (the story where a man with a wen sold it to a goblin (독갑이), and the next day another man with a wen went to sell his but came back with two wens attached) also went from Chosŏn to Japan. Interestingly, this story of the man with the wen exists in various countries like Germany, Italy (이태리), and France (불란서), but it is said that in the Western version, the wen is not on the face but on the back (背), transforming it into a story about a hunchback (꼽추), which is also interesting. In addition, the children's story "The Bird with the Broken Back" in the old Japanese book, Uji Shūi Monogatari (宇治拾遺物語), is clearly a translation (譯) of Chosŏn's "Hŭngbu Nolbu."

Children's stories truly possess an endlessly wide world. Consequently, research related to them also involves various fields.
Generally, there are said to be three aspects to children's story research: 1. Research from a psychological aspect, 2. Research from an artistic aspect, 3. Research from a folklore (전설학적) aspect. Regardless of the validity of this theory, it is a fact that the field of research is extremely vast (廣漠).
I feel very deeply that it is utterly difficult for one person's strength alone to achieve complete research. I wish that even one more colleague would join, and if possible, it would be good to form some kind of association. Then, the power of promotion for the popularization (보급) of children's stories would arise, and new paths would open for children's education and guidance of youth. And the children's story itself would grow rapidly.
If that happens, it seems it wouldn't be difficult to be able to show the general public children's story plays like the famous "The Blue Bird" or "Hannele's Ascension."

In any case, I think that if things continue in the current state, the future of children's stories is very promising. Now, let me try writing about matters concerning the study of children's stories, one issue at a time... (November 15th)<25>
<18-25>

**Summary**

Sop'a argues passionately for the recognition and promotion of *tonghwa* (children's stories) in 1920s Korea. He defines *tonghwa* not just as tales for children but as a vital form of art and spiritual nourishment essential for both children's development (fostering emotion, intellect, morality) and adults' self-reflection, allowing them to reconnect with their "eternal childlikeness." He laments the general public's lack of understanding and urges adults to engage with *tonghwa*. Critically, Sop'a calls for the urgent collection and preservation of traditional Korean folk tales (古來童話), comparing the task's difficulty to the Grimm brothers' efforts and highlighting the recent initiative by Kaebyŏk Publishing. He notes instances where Korean tales have been adopted and altered in Japan and elsewhere, stressing the need to establish a foundation for authentic Korean children's literature, even if it initially involves translating foreign works. For colonial history, the article is significant as it reflects a burgeoning awareness of children's literature as a modern cultural field and emphasizes the preservation of indigenous Korean narratives ("our jewel-like children's stories") amidst cultural pressures, framing it as a national cultural project undertaken by Koreans themselves ("with our own strength").

**Named Entities**

小波	소파	Sop'a
서울	서울	Seoul
童話	동화	Tonghwa (Children's Story - contextually treated like a named concept)
韓錫源	한석원	Han Sŏk-wŏn
吳天錫	오천석	O Ch'ŏn-sŏk
上海	상해	Shanghai
朱耀變	주요변	Chu Yo-byŏn
독일	독일	Togil (Germany)
그리므 형제	그리므 형제	Kŭrimŭ hyŏngje (Grimm Brothers)
일본	일본	Ilbon (Japan)
文部省	문부성	Munbusŏng (Ministry of Education [Japan])
開闢社	개벽사	Kaebyŏk Publishing
面役所	면역소	Myŏnyŏkso (Township Office)
英國	영국	Yŏngguk (England)
白義耳	백의이	Paegŭi'i (Likely Belgium)
메―렐링	메렐링	Me―relling (Maeterlinck)
小川	오가와	Ogawa
東國	동국	Tongguk (Eastern Country, referring to Korea)
인도	인도	Indo (India)
이태리	이태리	It'aeri (Italy)
불란서	불란서	Pullansŏ (France)
宇治拾遺物語	우지습유물어	Uji Shūi Monogatari

**Glossary**

童話	동화	Children's story; fairytale
開拓	개척	Pioneering; cultivating
少年	소년	Boy; youth
以外	이외	Other than; except for; besides
一般	일반	General; common; public
큰 이	큰 이	Adult (lit. 'big person', older usage)
논설	논설	Editorial; discourse; essay
理解	이해	Understanding
發掘	발굴	Excavation; discovery (of old tales)
地方	지방	Local region; countryside
雜感	잡감	Miscellaneous thoughts; random impressions
誤植	오식	Misprint; typographical error
食物	식물	Food; provisions (here often metaphorically 'spiritual food')
精神生活	정신생활	Spiritual life; mental life
緊	긴	Urgent; essential
說話	설화	Tale; narrative; story
옛날 이약이	옛날 이야기	Old tale; story from long ago (older spelling '이약이')
情意	정의	Feeling and intention; sentiment; emotion
理智	이지	Reason; intellect
明敏	명민	Sharpness; quick-wittedness; sagacity
德性	덕성	Virtue; morality
同情心	동정심	Sympathy; compassion
義俠心	의협심	Chivalry; sense of justice
超自然	초자연	Supernatural
超人類的	초인류적	Trans-human; superhuman
信仰	신앙	Faith; belief (religious)
本能的	본능적	Instinctive
欲求	욕구	Desire; wish; craving
料	료	Material; fee; (here contextually) nourishment
未開民族	미개민족	Undeveloped peoples; primitive tribes
藝術家	예술가	Artist
아동성	아동성	Childlikeness; childlike nature
現實生活	현실생활	Real life; actual life
冠	관	Crown; cap (here figurative, 'title')
哲人	철인	Philosopher; sage
注意	주의	Attention; notice
故園	고원	Old garden; homeland (metaphor for childhood)
崇嚴	숭엄	Sublime; solemn; august
心境	심경	State of mind; frame of mind
大人	대인	Adult; grown-up
小兒	소아	Small child; infant
譯	역	Translation
古來童話	고래동화	Traditional children's stories; ancient folk tales
難事	난사	Difficult matter; hard task
重寶	중보	Valuable treasure
長歲月	장세월	Long time; long years
纂集	찬집	Compilation; editing
府縣	부현	Prefecture (administrative division in Japan)
當局	당국	The authorities concerned
俚謠	이요	Folk song; popular ballad
豫算	예산	Budget; estimate
不關	불관	Regardless of; despite
應募者	응모자	Applicant; entrant (to a competition)
諸氏	제씨	Gentlemen; Messrs.; Everyone (address term)
寶玉	보옥	Jewel; gem (often figurative)
猿	원	Monkey; ape
生膽	생담	Live liver/gallbladder
譯	역	Translation
꼽추	꼽추	Hunchback
廣漠	광막	Vast; extensive; boundless
心理學的	심리학적	Psychological
傳說學的	전설학적	Related to legend studies; folkloristic
會合	회합	Meeting; gathering; association
普及	보급	Diffusion; spread; popularization
-e 

---------------------------


잡지명	개벽 제31호
발행일	1923년 01월 01일
기사제목	새로 開拓되는 「童話」에 關하야, 特히 少年 以外의 一般 큰 이에게
필자	小波
기사형태	논설

새로 開拓되는 「童話」에 關하야, 特히 少年 以外의 一般 큰 이에게
						小波
童話란 무엇인가―童話에 對한 一般의 理解―童話는 少年만 읽을 것인가―古來童話의 發掘―地方 靑年 特히 敎師, 靑年會, 文藝部에 바라는 일―其他의 雜感

昨今 우리에게서 2, 3의 동화집이 발간되고 각종의 잡지도 다투어 동화를 게재하게 된 새 현상은 크게 깃븐 경향이다.
지금의 이 형세로 보면 동화 그것이 무한히 넓은 세계를 가지고 잇는 것인 만큼 새로 엄돗기 시작한 우리의 동화 예술도 그 장래가 대단유망하게 되엇다.
이 기회에 拙見이나마 동화연구에 관한 여러 가지 문제를 되도록 구체적으로 다음 號나 느즈면 그 다음 號부터 쓰기로 한 바 이제 그것을 쓰기 시작하기 전에 극히 대체로의 동화에 관한 雜感을 몃가지 써야 할 필요를 나는 느낀다. 그것은 아즉까지도 일부 識者를 除한 外의 일반이 넘우나 동화에 대한 이해가 업는 것을 아는 까닭이다. 年前에 서울 某紙에 童話극이라고 쓸 話字를 활동사진의 連續活劇이나 泰西活劇이라고 흔히 보든 活劇 우에 간신히 童자를 씨워서 童活劇이라고(인쇄의 誤植이 아니다. 언문까지 全文에 활字로 잇섯다.) 써노흔 記者까지 잇섯든 것을 닛지 안는 까닭이다.＜18＞

한 민족에 잇서서나 한 국가에 잇서서나 또는 세계인류에 잇서서나 모든 새 사상 새 사업은 항상 새 인물의 두뇌에서 생기고 또 그 손으로 되는 것이며 그 新人은 반듯이 소년의 세계에서 길리워 나오는 것임은 여긔 다시 쓸 것이 업슬 것이다.

동화는 그 소년―아동의 정신생활의 중요한 일부면이고 最緊한 食物이다. 문화적으로 진화한 현대에 잇서서는 우리네의 인간적 교양의 일요소로 예술이 절대적으로 필요한 것과 가티 현대의 아동에게는 그 인간적 생활의 요소로 동화가 요구되는 것이다.

童話의 童은 兒童이란 童이요 話는 說話이니 童話라는 것은 兒童의 說話, 또는 兒童을 위하야의 說話이다. 종래에 우리 민간에서는 흔히 아동에게 들려주는 이약이를 『옛날 이약이』라 하나 그것은 동화는 특히 시대와 처소의 구속을 밧지 아니하고 대개 그 初頭가 『옛날 옛적』으로 시작되는 고로 동화라면 『옛날 이약이』로 알기 쉽게 된 까닭이나 결코 옛날 이약 만이 동화가 아닌 즉 다만 『이약이』라고 하는 것이 可合할 것이다.(『이약이』의 어원에 관하야는 흥미잇는 이약이가 잇스나 그것은 다음에 자세 쓰기로 한다.)
이 동화라는 어떤 것인가 함에 대하야는 좀더 상세히 말하자면 동화의 형식과 내용을 들어 그 성질을 말하고 그 기원과 발달의 경로를 차저서 동화와 다른 유사한 것과의 구별을 세우고 더 일보 나아가서 순 과학적 입장에서 동화를 관찰하자면 동화의 분류에까지 들어가 그 비교연구를 행하지 아니하면 안될 것인즉 그것은 물론 다음 번에 차례를 밟아 쓰겟거니와 대체의 견지로 보아 아즉 동화라는 것은 누구나 아는 바 「해와 달」 「흥부와 놀부」 「콩쥐 팟쥐」 「별주부(톡긔의 간)」 등과 가튼 것이라고만 알아두어도 조흘 것이다.

동화가 아동에게 주는 이익은 결코 2, 3에 止하는 것이 아니니 다만 교육상으로 유효한 점으로만 본대도 동화에 의하야 그 情意의 계발을 속히 하고 理智의 판단을 明敏히 할 뿐 外라 허다한 도덕적 요소에 의하야 덕성을 길러서 他에 대한 동정심, 의협심을 풍부케 하고 또는 種種의 초자연 초인류적 요소를 포함한 동화에 의하야 종교적 신앙의 기초까지 지어주는 등 실로 그 효력이 위대한 것이다. 그러나 此等 교훈, 유익은 世의 교육자＜19＞ 또는 종교가 등 아동 이외에 지도자의 동화 이용가의 운운하는 바이며 결코 교훈 뿐만이 동화의 정면의 목적인 것은 아니다.(이것도 후에 상술코저 한다.)
그리고 아동 자신이 동화를 구하는 것은 결코 지식을 구하기 위함도 아니요 수양을 구하기 위함도 아니고 거의 본능적인 자연의 욕구일다. 生兒가 모유를 욕구하는 것과 가티 아동은 동화를 욕구하는 것이라. 모유가 유아의 생명을 기르는 유일한 食物인 것과 꼭 가티 동화는 아동에게 가장 귀중한 정신적 食物인 것이다.
동화가 어느 시대 어느 곳에 던지 업는 곳이 업고 갈스록 더 그 세상을 넓혀가는 所以는 실로 세계전반 아동의 생활에 불가결할 정신적 食料로 본능적, 자연으로 欲求되는 까닭이다. 보라, 풍토·기후·풍속의 관계로 취급된 내용의 재료는 다르되 如何한 문명국에나 如何한 미개민족에게나 동화의 세계에는 한결가티 꼿이 피어잇는 ²ƒ을 보라.

고대로부터 다만 한 설화―한 이약이로만 취급되어 오던 동화는 근세에 니르러 『동화는 아동성을 닐치 아니한 예술가가 다시 아동의 마음에 돌아와서 어떤 감격―혹은 현실생활의 반성에서 생긴 이상―을 동화의 독특한 표현방식을 빌어 식자에게 호소하는 것이라.』고 생각하게까지 진보되어 왓다.
그럼으로 적어도 근세에 니르러 예술가의 붓으로 창작된 동화에 나타난 사상과 세계는 작자의 이상의 세계라고도 볼 수 잇는 것이다. 일반 아동에게 난해한 점으로 비난할 점은 잇스나, 영국 오스카 - 와일드의 동화와 白義耳메―렐링의 동화를 닑으면 더욱 이 생각을 두텁게 한다.

예술은 인생의 세련된 재현이라 하면 동화는 훌륭한 완전한 예술이다.

동화의 상대(또는 독자)는 물론 아동이다.
그러나 그러타고 아동 이외의 청년 장년 노인―즉 일반 큰 이에게는 전혀 沒관계일 것인가... 이 점에 관하야는 前項 또 前項에 쓴 것이 이미 어느 설명적 암시를 던젓스리라고 생각하나 다시 몃 마듸 써야 할 것 갓다.
사실로 조선서는 동화라는 동자만 보고 벌서 일부 식자 이외의 거의 일반은 본테만테해버려 왓다. 다소 민간에 닑혀진 흥부전이나 또는 별주부전이나 朴天男傳＜20＞등이 동화 아닌 것은 아니나 그것은 영리를 위하는 책장사가 당치도 안흔 문구를 함부로 늘어노하 그네의 소위 소설체로 맨들어 고대소설이라는 冠을 씨워 염가로 방매한 까닭이요 책의 내용 그것도 동화의 자격을 닐흔 지 오래엿고 그것을 구독하는 사람도 동화로 알고 얽은 것이 아니고 고대소설로 읽은 것이엇섯다. 그것은 이때까지의 우리는 아모도, 동화를 연구하는 이가 보이지 안핫고 이모도 동화를 들어 일반에게 보여주거나 설명해준 이가 업서서 실로 무식하게까지 동화에 대한 이해를 가지지 못한 까닭이다.
前項에 말한 바와 가티 동화는 영원한 아동성을 닐치 아니한 인류 중의 1인인 예술가가 다시 아동의 마음에 돌아와 어느 감격―혹은 현실의 생활을 반성하는 데서 생기는 어느 느낌을 독자에게 호소하는 것이면 그 감격, 그 반성은 세상 모든 사람들의 감격, 반성이 아니면 아니될 것이다. 아니, 그 작품에 의하야 누구나 감격의 세례를 밧지 아니하면 아니될 것이요, 또는 그 작품에 의하야 누구나 다 자기 각자의 생활을 반성하지 안흐면 안될 것이다.
서양의 어느 哲人은
『현대의 急務는 아동으로써 돌이어 그 부모를 교육시키는데 잇다.』고 까지 하얏다 한다. 有理한 말이다. 암만 하여도 니처지지 안는 有理한 말이다. 일반의 큰 이가 아동에게 注意를 쏘으게 되고 또 자조 접근하는 것은 결국 자기 자신의 반성이 되는 것이요 또 교육이 되는 것이다.
우리는 누구나 가지고 잇는 『영원한 아동성』을 이 아동의 세계에서 保持해 가지 안흐면 안될 것이요 또 나아가 세련해가지 아니하면 아니된다.  우리는 자조 그 께끗한 그 곱고 맑은 고향―아동의 마음에 돌아가기에 힘쓰지 아니하면 아니된다.
아동의 마음! 참으로 우리가 사는 세상에서 아동시대의 마음처럼 자유로 날개를 펴는 것도 업도, 또 순결한 것도 업다. 그러나 우리는 연령이 늘어갈스록 그것을 차츰차츰 닐허버리기 시작하고 그 대신 여러 가지 경험을 갓게 되고 딸하서 여러 가지 복잡한 지식을 갓게 된다. 그러나 그 경험과 지식만을 갓는다 하면 그것으로 무엇을 하랴, 경험 그것이 무익한 것이 아니요 지식이 무익한 것도 아니다. 그러나 그것만이 늘어간다는 것은 결코 아름다운 인생으로서의 자랑할 것은 못되는 것이다. 더구나 그 경험 그 지식이 느는 동안에 한편으로 그 순결한 그 깨끗한 감정이 소멸되엇다 하면＜21＞ 우리는 어쩌랴... 그 사람은 설사 냉랭한 말르(枯)고 언(凍) 지식의 소유자일망정 인생으로서는 역시 타락한 자일 것이다.
아아 우리는 항상 시시로 천진난만하든 옛-故園―아동의 세계―에 돌아가 마음의 순결을 빌지 아니하면 아니된다.
『아름다운 꼿을 보고 아아 곱다! 하고 이유 업시 달겨드는 어린이가 나는 귀여울 뿐 아니라 거긔에 깁흔 의미가 잇는 줄로 나에게는 생각됩니다.』
하고 일본의 동화작자 小川씨는 말하엿다. 과연일다. 전혀 아동의 세계는 어떠케 형용할 수 업는 아름다운 시의 낙원이며 동시에 어떠케 엿볼 수 업는 崇嚴한 비밀의 왕국도 갓다.

이 아름다운 낙원, 崇嚴한 왕국! 거긔를 세상 인류는 누구나 지나온다.
그리고 어느 누구던지 인생은 모다 자기가 출생한 고향이 잇는 것과 가티 또 그 고향의 경치와 모든 일이 영구히 니처지지 안는 것 꼭 가티 인생은 누구나 한차례씩 그 아동의 시대 그 세계를 지나오고 또 그 때의 모든 일을 영구히 닛지 못한다.
