잡지명	개벽 제32호
발행일	1923년 02월 01일
기사제목	歌劇의 起源과 그 發達, (前號 「歌劇」의 이약이의 繼續으로 本號에 完結햇다.) (The Origin and Development of Opera, (Continued from the previous issue's discussion of "Opera", concluding in this issue.))
필자	洪蘭坡
기사형태	문예평론 (Literary Criticism/Arts Review)

The Origin and Development of Opera,
						Hong Nanp'a
II. The Origin and Development of Opera
Last month, I spoke about what opera generally is. Next, I intend to briefly talk about the origin and development of opera.
Fundamentally, since humans are emotional animals, whenever we feel something, we want to cry, laugh, sing, or dance. This is precisely human instinct, and opera can also be called the voice of human instinct.
Viewed under the strict interpretation of modern people, whether it can be called opera or not is questionable, but in any case, music in ancient Greece was a synthesis of poetry, music, and dance. Thus, one person composed the lyrics, sang the lyrics, and also danced. Looking at it this way, Greek music can be called primitive opera. Also, in the Middle Ages, there were instances where music was added to mystery plays, but because the method was not harmony but rather a mixture, far from aiding the effect of the drama, it actually reached the point of ruining it. Then, in the 16th century, as the Renaissance movement arose and all kinds of scholarship and art were about to be reformed, music also sought to return to the Greek era and create a pure fusion under the classical spirit. Thus, the first cry for musical innovation erupted in Italy.
The new movement at this time was guided by the principle that "music must aid poetry." In other words, it meant that music must assist the emotions expressed by the lyrics.<9>
Opera is truly the flower of the Renaissance. A musician named Caccini studied Greek tragedy, which included chorus, added the form of the medieval mystery play to it, and created something close to opera. Not only that, but it was also this person who devised a type of aria (咏嘆調). At that time, in the city of Florence, a composer named Peri emerged and, based on the libretto by a person named Rinuccini, composed "Euridice," after which the name "opera" was first attached to it. From that time, the form where the chorus was for many people, the aria for one person, and the recitative (宣敘調) for dialogue first emerged as opera.
After that, great opera composers like Monteverdi and also Scarlatti emerged one after another, and finally, around the 17th century, opera seria (正歌劇) developed greatly, reaching a stage almost identical to what exists today. Thus, in the 18th century, Italy held supremacy in opera, but even then, comic opera (喜歌劇) had not developed much and did not reach an independent stage, merely being performed during intermissions.
However, opera began to be exported from Italy abroad around the end of the 17th century, starting with Germany. Then it spread to France, England, and other countries, gradually becoming a shared property of the world. Meanwhile, in late 17th-century Germany, opera flourished in places like Hamburg, blossoming beautifully as stage art, and types of comic opera also followed suit and became popular. However, until the end of the 18th century, the various states of Germany merely welcomed the splendor of opera and emphasized only the technique of melody, without producing anything that could be called a masterpiece.
However, the most remarkable phenomenon in the development of opera in the 17th century can be said to be the appearance of the aria. Although the recitative is musical, it is ultimately not far from the tone of ordinary conversation, so the possibility of exhibiting genuine musical effect was slight. In contrast, the aria allowed the musical effect of opera to be fully displayed. For that reason, the history of opera development before the appearance of the aria inevitably had the appearance of a history of recitative development.
In other words, music before Gluck was, in its form, still incapable of expressing dramatic changes, making it difficult to form a close relationship with drama. But when the sonata form—(I will speak of musical forms later)—emerged during Gluck's time, this new form gave<10> new life to opera, and the overtures of his operas were generally composed in a simple sonata form.
After the national literature movement by figures like Lessing arose in Germany, a great master emerged in opera as well, abandoning the splendid Italian-style music and completely renewing its face, striving for genuine dramatic expression.
These two people were Gluck and Mozart. Gluck, making Paris his base for reform, rejected flamboyant Italian music while simultaneously initiating expressive opera that was truthful, pure, and simple. His masterpiece, the three-act "Orfeo ed Euridice" (오포이스), blew fresh air into the music scene of the time with its melodic simplicity and natural recitative. He stated, "Just as shadow aids color, music must aid poetry," and realized this spirit in his musical compositions. Furthermore, Mozart, influenced by Gluck, released works with much more dramatic content compared to the conventional Italian-style opera, but unlike Gluck, he was not as poetic and was even more musical. Mozart's escape from the scope of national music, making the music of various countries his own to create world-class opera, truly proves his greatness. His music of love and beauty eventually caused German music to lose the natural form like Gluck's and run to the extreme of technique.
After that, in the early 19th century in Germany, a musician named Weber emerged and composed fresh opera that embraced the Romantic ideas of the time. Weber's opera selected easy-to-understand material, contained fervent emotion, and was expressed with melodies like folk songs and the powerful force of instruments, making it a kind of popular opera.
However, when these influences entered Italy, they instead produced dreadful adverse results. The development of Mozart's vocal forms provided Italian opera composers with a golden opportunity to display the singers' abilities. Thus, in order to please the singers, and even more so to attract the favor of the audience, they were preoccupied with achieving effects purely as music—especially vocal music—rather than aiming for the effects of opera as drama. Consequently, their arias merely boasted technical difficulty in singing, giving the impression that the entire opera was nothing more than a succession of numerous large vocal pieces. In other words, it became vocal gymnastics for the singers. Rossini's work "The Barber of Seville" (세비리아의 이발사) is a good example of this.
This detrimental trend held considerable<11> sway not only in Italy but also in Germany. Thus, for some time after Mozart, artistic development in opera could not be seen either in Italy or Germany. Fortunately, however, in France, Italian-style opera was not welcomed, and efforts were focused solely on achieving dramatic effect. As a result, even a composer like Rossini was greatly influenced by this during his stay in France, leading him to produce relatively dramatic works.
If one were to look for Mozart's successor in France, one cannot fail to mention Cherubini. Although his name is almost forgotten today, he could be called the sole master of the French music scene at that time.
Along with the aforementioned Weber, the one who gave great influence to the early Wagner can be said to be Meyerbeer; he was a musician who inherited Rossini's musical style and perfected the French grand opera style. On the one hand, embodying the spirit of Romanticism, he used meaningful narratives as material, while on the other hand, adopting the rich musical style of Italian opera, he displayed his musical talent freely in vocal music, orchestral music, and even in dance, which is a formal element of grand opera. However, overconfident in his musical talent and hasty in seeking fame, his works merely exerted effort on enthusiastic choruses and large-scale stage aspects. It could be said that Meyerbeer's opera was the fruit obtained when the spirit of Romanticism and the form of Italian opera, two incompatible things, achieved a superficial compromise.
As mentioned above, the European music scene was preoccupied with pursuing mere formal splendor until a great master named Wagner emerged, upon which Germany became the monarch of the entire European music scene.

III. The Creation of New Music Drama and Modern Opera
Wagner's birth marked a new epoch in the world of opera. Born in 1813, the opera revolutionary Wagner combined the paths of Gluck and Weber, seeking to return opera to its instinctive status and create the highest ideal, the "art of the future." The fact that he referred to his own works not as opera but as "music drama" (樂劇), that is, "Musikdrama," is profoundly significant. He intended to use music as the "underline" for poetry. That is, he intended to place the foundation in the libretto (script) and use music as its auxiliary organ.
His thinking, so to speak, was based on the spirit of Gluck,<12> aiming to fundamentally create a new, genuine opera. In other words, it was an attempt to return to the spirit of the Renaissance, that is, the spirit of Greece, and once again restore opera to nature. Therefore, he sought materials from myths and legends himself, intending to construct extremely grand stage art.
With this thought, he attempted a new style of organization in the music drama "Tristan und Isolde" (트리스탄과 이솔떼), and by the time of "Der Ring des Nibelungen" (니뻬르겐의 指環), he made his stance even clearer. However, viewed with an impartial eye, Wagner's ideals were not entirely realized in his music dramas. His method of musical expression, while certainly systematic, cannot help but feel excessively rule-bound.
Wagner himself strove to ground the empty music of the time, return it to nature, and forge a deep connection with the fundamental spirit of life, but the lifeblood of his work lies in the symphony used in the orchestra, not in the poetry. Nor does it lie in the point where poetry and music connect. In other words, although he based it on the libretto and added music to it, the librettos he wrote are difficult to claim as having the highest value as poetry.
Strictly speaking, rather than calling him a person who marked a new era, it would be more appropriate to call him a person who, in the mid-19th century, gave the final brilliance to the Romantic musical style.
Wagner's influence, irrespective of domestic or foreign boundaries, was immense. Thus, after his death, only operas imitating him were produced in Germany. However, the only one who followed in his footsteps yet still displayed original talent after his death was Strauss. The opera "Salome" (사로메) may be called his representative work.
Among Wagner's famous operas are "Tannhäuser" (탄호이제르), "Lohengrin" (로헹그린), "Tristan und Isolde" (트리스탄과 이솔떼), and among the works of composers influenced by him, Verdi's (베르듸) "Rigoletto" (리고레트), "Aida" (아이다), Gounod's (꾸-노) "Faust" (파우스트), Bizet's (삐제) "Carmen" (카멘), and Strauss's (슈트라우스) "Salome" (사로메) are the most renowned.
As for later composers, their number is countless, a host of talents (濟濟多士). However, even listing just the names of composers who held the most important positions, possessed great musical talent, and cannot be omitted from the history of opera would leave no time (不遑). But when speaking of modern opera, one absolutely cannot leave out the following three great masters; they are people who walked into territories of original creation and created new worlds of brilliance. Introducing<13> their works, among the most famous are:
Debussy (떼쀼시) Works:
"Pelléas et Mélisande" (뻬레아와 메리산드)
"Le Martyre de saint Sébastien" (성세바스틔안의 순교)
Strauss (슈트라우스) Works:
"Salome" (사로메)
"Elektra" (엘렉트라)
Puccini (푸치니) Works:
"La Bohème" (라, 뽀엠)
"Tosca" (토스카)
"Madama Butterfly" (胡蝶美人)
This is roughly the list. To say a word about the works of these three great composers: Debussy's music treads territory previously unopened by predecessors; unconstrained by form, it possesses entirely impressionistic and poetic characteristics. And Strauss, in contrast to Debussy's complete originality, displayed his own genius as Wagner's successor. However, his music, while revolutionary, deserves special mention (特筆) for its achievement in developing "program music" (表題樂)—(I will speak of this again later)—to its peak. Next, Puccini's opera, though not introverted like Debussy's, nor stimulating like Strauss's, is rich in elements of beautiful novelty, which conversely makes it welcomed by more people than the former two. There is nothing particularly novel about the style of his opera, but his melodies possess an original magic, and he also strove greatly to display dramatic mood.
The seven great works by the three composers listed above can be called the masterpiece operas of the modern world. If a person studying opera first compares and studies the content and form of these seven pieces to discover the characteristics of each composer, I believe they will surely gain some understanding.

IV. For the Student of Opera
Next, I would like to say a word for the person studying opera. The study of opera naturally divides into two directions: one is production, meaning composition and libretto writing, and the other is appreciation (賞翫), meaning the savoring of existing works. However, I will now briefly discuss only the method for studying the latter.
There are the following three methods for studying opera. First is the study of the libretto; second is the study of the musical score; third is the study of the stage. The study of the libretto means examining what<14> content the grand work possesses, what kind of libretto it is composed of, and what the author strove to express; to consider these things, one cannot but dissect the libretto. However, studying aspects such as what the opera's overture (序樂) is like, what methods are employed for solos and choruses, and what the organization of the orchestra (관현악) is like requires direct examination of the musical score itself. Next, one realizes that even for the same musical piece, the feeling is very different when looking at the score, when singing it alone, or when hearing it performed on stage. Needless to say, when the stage is splendid, the sentiment obtained there is intense. Therefore, in addition to dissecting and examining the libretto and musical score, one must directly observe the opera's stage aspects and gain profound impressions from the various phenomena performed there.
Viewed from this reasoning, there has yet to be an opera worthy of the name in our country, and even if one wants to study opera, the materials cannot be obtained. When I think that this miserable situation cannot but continue for several more years, I cannot help but feel my heart ache and my spirits sink. However, even though practical study regarding the stage is difficult, I firmly believe there is definitely a need for us to at least acquire preliminary knowledge about opera, such as historical study of opera, biographical study of composers, or its relationship with other sister arts.
Finally, for readers interested in music, I would like to mention books necessary for the study of opera.
A. Regarding General Music
Grove's (끄로브) "Dictionary of Music and Musicians," 5 volumes (English)
Krehbiel's (끄레빌) "How to Listen to Music" (English)
Tanabe Hisao's (田邊尙雄) "Lectures on Western Music" (西洋音樂講話) (Japanese)
Tōgi Tetteki's (東儀鐵笛) "Comprehensive Guide to Music" (音樂通解) (Japanese)
Komatsu Hosuke's (小松輔耕) "Knowledge of Western Music" (西洋音樂の知識) (Japanese)
Maeda Mitsuo's (前田三男) "Common Sense of Music" (音樂の常識) (Japanese)
B. Opera History and Criticism Books
Elson's (엘슨) "A Critical History of Opera" (歌劇史) (English)<15>
Apthorp's (앱솔프) "The Opera Past and Present" (過去 及 現在의 歌劇) (English)
Gilman's (낄만) "Aspects of Modern Opera" (近代歌劇瞥見) (English)
Ōtaguro Motoo's (太田黑元雄) "Grand View of Opera" (歌劇大觀) (Japanese)
Shibata Tamaki (柴田環) (Presently Ms. Miura Tamaki (三浦環女史))'s "Opera of the World" (sekai no opera 世界のオペラ) (Japanese)
Gilman's (낄만) "Music of To-morrow" (明日의 音樂) (English)
Carter's (카-타) "The New Spirit in Drama and Art" (戱曲 及 藝術에 대한 新精神) (English)

The reason I came to write this article is less for specialists—(though I also lack specialized research)—and more to disseminate common knowledge about music to ordinary people. Thus, although it doesn't necessarily have to be just opera, the first topic I started discussing is this "Story of Opera." I tried to write as popularly as possible, but looking back after writing, there is an undeniable feeling that it is too complicated and leans towards the specialized. I also mention to the readers that I referred heavily to Mr. Kobayashi Aiyu's (小林愛雄) "Modern Opera" (현대의 가극) when writing this article. Starting next issue, I plan to begin the "Story of Orchestral Music," so I conclude the story of opera here and wash my brush¤.
-(Night of January 8, 1923)-<16>
<9-16>

**Summary**

Hong Nanp'a provides a history of Western opera, tracing its origins from ancient Greek synthesized art forms and medieval mystery plays through the Renaissance innovations in Italy (Caccini, Peri, Monteverdi, Scarlatti). He discusses the development of aria and recitative, the rise of opera seria and comic opera, its spread to Germany, France, and England, and key figures like Gluck (emphasizing music serving drama), Mozart (elevating musicality), Weber (Romantic German opera), Rossini (vocal virtuosity), Meyerbeer (French grand opera), and culminating in Wagner's revolutionary "music drama" concept. The article concludes by mentioning post-Wagnerian composers like Strauss, Debussy, and Puccini as modern masters and offers advice and reading materials for aspiring opera students in Korea, lamenting the lack of local opera performances and resources. From a historical perspective, this article is significant as it reflects the efforts of Korean intellectuals like Hong Nanp'a during the colonial period to introduce and educate the public on Western high culture. His concluding lament about the absence of opera stages and study materials in Korea underscores the cultural limitations and aspirations under Japanese rule.

**Named Entities**

洪蘭坡	홍난파	Hong Nanp'a
희랍	희랍	Greece
이태리	이태리	Italy
카치니	카치니	Caccini
피렌체	피렌체	Florence
페리	페리	Peri
리느치니	리누치니	Rinuccini
유리띄체	유리디체	Euridice (Opera title)
몬트벨듸	몬테베르디	Monteverdi
스칼라틔	스칼라티	Scarlatti
독일	독일	Germany
불, 영 諸國	불영 제국	France, England, and other countries
함부륵그	함부르크	Hamburg
끌룩크	글루크	Gluck
모싸트	모차르트	Mozart
렛싱	레싱	Lessing
파리	파리	Paris
오포이스	오르페오	Orfeo (Opera title, refers likely to Gluck's Orfeo ed Euridice)
웹베르	베버	Weber
로시니	로시니	Rossini
세비리아의 이발사	세비야의 이발사	The Barber of Seville (Opera title)
불란서	프랑스	France
케루삐니	케루비니	Cherubini
왁네르	바그너	Wagner
마이어뻬-어	마이어베어	Meyerbeer
歐洲樂壇	구주악단	European music scene
트리스탄과 이솔떼	트리스탄과 이졸데	Tristan und Isolde (Opera title)
니뻬르겐의 指環	니벨룽의 반지	Der Ring des Nibelungen (Opera title)
슈트라우스	슈트라우스	Strauss
사로메	살로메	Salome (Opera title)
탄호이제르	탄호이저	Tannhäuser (Opera title)
로헹그린	로엔그린	Lohengrin (Opera title)
베르듸	베르디	Verdi
리고레트	리골레토	Rigoletto (Opera title)
아이다	아이다	Aida (Opera title)
꾸-노	구노	Gounod
파우스트	파우스트	Faust (Opera title)
삐제	비제	Bizet
카멘	카르멘	Carmen (Opera title)
떼쀼시	드뷔시	Debussy
뻬레아와 메리산드	펠레아스와 멜리장드	Pelléas et Mélisande (Opera title)
성세바스틔안의 순교	성 세바스티아누스의 순교	Le Martyre de saint Sébastien (Work title)
엘렉트라	엘렉트라	Elektra (Opera title)
푸치니	푸치니	Puccini
라, 뽀엠	라 보엠	La Bohème (Opera title)
토스카	토스카	Tosca (Opera title)
胡蝶美人	호접미인	Madama Butterfly (Opera title, lit. Butterfly Beauty)
끄로브	그로브	Grove
끄레빌	크레빌	Krehbiel
田邊尙雄	다나베 히사오	Tanabe Hisao
東儀鐵笛	도기 데쓰테키	Tōgi Tetteki
小松輔耕	고마쓰 호스케	Komatsu Hōsuke
前田三男	마에다 미쓰오	Maeda Mitsuo
엘슨	엘슨	Elson
앱솔프	압소프	Apthorp
낄만	길먼	Gilman
太田黑元雄	오타구로 모토오	Ōtaguro Motoo
柴田環	시바타 다마키	Shibata Tamaki
三浦環女史	미우라 다마키 여사	Ms. Miura Tamaki
카-타	카터	Carter
小林愛雄	고바야시 아이유	Kobayashi Aiyu

**Glossary**

歌劇	가극	Opera
起源	기원	Origin
發達	발달	Development
이약이	이야기	Story, talk (Older spelling of 이야기)
繼續	계속	Continuation
本號	본호	This issue (of a magazine)
完結	완결	Conclusion
前月	전월	Last month
밋	및	And, as well as (Older spelling/form of 및)
본시	본시	Originally, fundamentally
십고	싶고	Wanting to (do) (Older spelling of 싶고)
-외다	-ㅂ니다/-습니다	Polite declarative sentence ending (Older form)
往昔	왕석	Ancient times, old days
희랍	희랍	Greece (Older phonetic transcription)
總括物	총괄물	Synthesis, aggregate
作하다	작하다	To compose, make
唱하다	창하다	To sing
中世	중세	Middle Ages
神祕劇	신비극	Mystery play
加하다	가하다	To add
效果	효과	Effect
助하다	조하다	To help, aid (Older usage, now more often 돕다)
돌이어	도리어	Rather, instead (Older spelling of 도리어)
壤하다	파괴하다	To destroy, ruin (Using 壤 for 파괴)
즈음	즈음	Around the time when
歸復하다	귀복하다	To return to, revert
純一	순일	Pure, unmixed
融合	융합	Fusion, merging
作出하다	작출하다	To create, produce
如斯히	여사히	Thus, like this (Archaic form)
革新	혁신	Innovation, reform
發發하다	발발하다	To break out, erupt
방침	방침	Policy, principle, course of action
助力하다	조력하다	To assist, aid
咏嘆調	영탄조	Aria (lit. 'lamenting tune')
編出하다	편출하다	To devise, create, compile
비롯오	비로소	For the first time, only then (Older spelling of 비로소)
宣敘調	선서조	Recitative (lit. 'declaratory narrative tune')
속출하다	속출하다	To emerge one after another
드듸어	드디어	Finally, eventually (Older spelling of 드디어)
正歌劇	정가극	Opera Seria (lit. 'proper opera')
경지	경지	Stage, level, state
패권	패권	Supremacy, hegemony
喜歌劇	희가극	Comic opera, Opera Buffa (lit. 'joyful opera')
幕間	막간	Intermission, between acts
연출되다	연출되다	To be performed, staged
盛하다	성하다	To flourish, be prosperous
接踵하다	접종하다	To follow one after another
華美	화미	Splendor, magnificence
선율	선율	Melody
기교	기교	Technique, skill
대작	대작	Masterpiece, great work
현저한	현저한	Remarkable, noticeable, distinct
相距	상거	Distance between
근소함	근소함	Being small, slightness
恰然히	흡연히	Just like, as if (Archaic form)
觀	관	View, appearance
不無하다	불무하다	Not without, to have some
樂式	악식	Musical form
至하다	지하다	To reach, arrive at
與하다	여하다	To give, bestow (Archaic form, 주다)
序曲	서곡	Overture
總히	총히	Generally, wholly (Older form of 총)
棄하다	기하다	To abandon, discard
면목을 일신하다	면목을 일신하다	To completely change face, renew appearance
表情的	표정적	Expressive
순일한	순일한	Pure, unmixed
간소함	간소함	Simplicity
악단	악단	Music world, musical circles
大吹하다	대취하다	To blow greatly, strongly promote
음영	음영	Shadow, shading
악곡	악곡	Musical piece, composition
自家	자가	One's own
맨들어서	만들어서	Making (Older spelling of 만들어서)
이윽고	이윽고	Soon, before long
失하다	실하다	To lose
走하다	주하다	To run towards, incline towards
樂家	악가	Musician, composer
포용하다	포용하다	To embrace, contain
열렬한	열렬한	Ardent, fervent
정감	정감	Emotion, feeling
민요	민요	Folk song
力强한	역강한	Powerful, strong
釀出하다	양출하다	To brew, bring about, cause (often negative results)
惡結果	악결과	Bad result, adverse consequence
능력	능력	Ability, capability
발양하다	발양하다	To display, demonstrate
惹引하다	야인하다	To attract, draw
급급하다	급급하다	To be preoccupied with, absorbed in
딸하서	따라서	Consequently, therefore (Older spelling of 따라서)
창법	창법	Singing technique
連續하다	연속하다	To connect, link in succession
노핫슴	놓았음	Having placed/arranged (Older spelling/form)
軆操	체조	Gymnastics, exercises
惡風調	악풍조	Bad trend, detrimental tendency
점유하다	점유하다	To occupy, possess
滯佛	체불	Staying in France
劃하다	획하다	To mark (an epoch), delimit
行方	행방	Direction, path taken
歸復케 하다	귀복케 하다	To cause to return to
未來藝術	미래예술	Art of the future
樂劇	악극	Music drama (Wagner's term)
Under Line	언더라인	Underline (English loanword used as is)
補助機關	보조기관	Auxiliary organ/body
逆上하다	역상하다	To go back against the current, trace back
樣式	양식	Style, mode, form
旗色	기색	Stance, position (lit. flag color)
鮮明히	선명히	Clearly, distinctly
組織的	조직적	Systematic
넘우나	너무나	Excessively, too (Older spelling of 너무나)
規則的	규칙적	Regular, rule-bound
늣기다	느끼다	To feel (Older spelling of 느끼다)
空虛	공허	Emptiness, hollowness
地面上	지면상	On the ground surface
附하다	부하다	To attach, affix
深切한	심절한	Deep, profound, earnest
交涉	교섭	Connection, relation, negotiation
맷기	맺기	Forming, establishing (a relationship) (Older spelling of 맺기)
詩歌	시가	Poetry and song, verse
歿後	몰후	After death
獨創的	독창적	Original, creative
才能	재능	Talent, ability
오즉	오직	Only, merely (Older spelling of 오직)
影響	영향	Influence
名高한	명고한	Famous, renowned
헤아리다	헤아리다	To count, reckon
濟濟多士	제제다사	A host of talents, many talented people (Idiom)
빼여 노흘 수 업는	빼어 놓을 수 없는	Cannot be omitted/excluded (Older spelling/form)
不遑하다	불황하다	To have no time/leisure for (Archaic)
下記	하기	The following (lit. below-written)
大家	대가	Great master, authority
光輝	광휘	Brilliance, radiance
前人未開	전인미개	Unexplored/untouched by predecessors
境域	경역	Territory, realm, domain
步하다	보하다	To walk, tread
拘束되다	구속되다	To be bound, restricted
全然	전연	Completely, entirely (Older spelling of 전혀)
印象的	인상적	Impressionistic
詩歌的	시가적	Poetic
特質	특질	Special quality, characteristic
有하다	유하다	To possess, have
後繼者	후계자	Successor
天才	천재	Genius
發揮하다	발휘하다	To display, exhibit
革命的	혁명적	Revolutionary
表題樂	표제악	Program music
絕頂	절정	Peak, climax
功績	공적	Achievement, merit
特筆하다	특필하다	To make special mention of
內面的	내면적	Introverted, internal
刺戟的	자극적	Stimulating, provocative
美麗한	미려한	Beautiful, graceful
新趣	신취	Novelty, new interest/charm
要素	요소	Element, factor
豊富한	풍부한	Abundant, rich
電子	전자	The former
萬人	만인	All people, everyone
歡迎되다	환영되다	To be welcomed
別로이	별로이	Particularly, specially (Older form of 별로)
新奇하다	신기하다	Novel, strange, marvelous
魔力	마력	Magic power, charm
氣分	기분	Mood, feeling, atmosphere
爲先	위선	First of all, primarily
깨닷는	깨닫는	Realizing, perceiving (Older spelling of 깨닫는)
밋습니다	믿습니다	Believe (Older spelling of 믿습니다)
硏究者	연구자	Researcher, student
爲하야	위하여	For the sake of (Older spelling of 위하여)
方向	방향	Direction
區別되다	구별되다	To be distinguished, differentiated
製作	제작	Production, manufacturing, composition
作曲作歌	작곡작가	Composition and libretto writing
賞翫	상완	Appreciation, enjoyment (of art)
旣成品	기성품	Ready-made goods, existing works
吟味	음미	Savoring, appreciating
後者	후자	The latter
就하야서만	취하여서만	Only concerning, only regarding (Older form)
方法	방법	Method
樂曲	악곡	Musical composition, piece of music
무대	무대	Stage
解剖하다	해부하다	To dissect, analyze
構成되다	구성되다	To be composed, constituted
考察하다	고찰하다	To consider, examine
不可不	불가불	Cannot but, inevitably
獨唱	독창	Solo singing
合唱	합창	Chorus, choral singing
場合	경우	Case, occasion
方式	방식	Method, way, style
此物	기물	Itself, the thing itself
口唱하다	구창하다	To sing aloud
相違되다	상위되다	To differ, be different
强烈한	강렬한	Intense, strong
諸般	제반	Various, all sorts of
現象	현상	Phenomenon
理由	이유	Reason
비참한	비참한	Miserable, wretched
繼續하다	계속하다	To continue
맥맥하다	맥맥하다	To be desolate, feel heavy-hearted
實地	실지	Actual place, practice
豫備知識	예비지식	Preliminary knowledge
歷史的	역사적	Historical
人物的	인물적	Biographical
諸他	제타	Various others
姉妹藝術	자매예술	Sister arts
關係	관계	Relation, connection
確實히	확실히	Certainly, surely
最後	최후	Last, final
專門家	전문가	Specialist, expert
普通人	보통인	Ordinary person
常識	상식	Common sense, general knowledge
普及하다	보급하다	To disseminate, spread
第一着手	제일착수	First step, first undertaking
通俗的	통속적	Popular, common
及其	급기	And others (Older phrase)
써노코 보니	써놓고 보니	Looking back after writing
煩雜하다	번잡하다	Complicated, troublesome
不無합니다	불무합니다	Not without, there is some (Polite form)
參照하다	참조하다	To refer to, consult
아울러	아울러	Additionally, at the same time
붓을 씻다	붓을 씻다	To wash one's brush (Idiom for finishing writing)
-e 

---------------------------


잡지명	개벽 제32호
발행일	1923년 02월 01일
기사제목	歌劇의 起源과 그 發達, (前號 「歌劇」의 이약이의 繼續으로 本號에 完結햇다.)
필자	洪蘭坡
기사형태	문예평론

歌劇의 起源과 그 發達,
						洪蘭坡
二. 歌劇의 起源과 밋 발달
前月에 가극이란 대체로 어떠한 것임을 말하엿습니다. 다음으로는 가극의 기원과 밋 그 발달에 대하야 간단히 말하랴 합니다.
본시 인간이란 것은 감정동물이 된 이상에는 무엇에던지 느낌이 잇는 때는 울고도 십고 웃고도 십고, 또는 노래하고도 십고 춤추고도 십흔 것이외다. 이것은 곳 인간의 본능인 동시에 가극이란 인간 본능의 聲이라고도 할 것이외다.
현대인의 엄중한 해석 하에서 볼진대, 가극이라 할는지 아니할는지는 의문이지마는 하여간 往昔 희랍의 음악이란 것은 시가와 음악과 무도의 총괄물이엇습니다. 그리하야 한 사람이 가사를 作하고 가사를 唱하고 또는 무용하엿섯습니다. 그리고 보면 희랍의 음악은 곳 원시적 가극이라고 할 것이외다. 또 중세에도 신비극 중에 음악을 加한 일이 잇섯지마는 그 방법이 화합이 아니오, 혼합이엇던 까닭에 극의 효과를 助하기는 고사하고 돌이어 坡壤하기에 이르럿던 것이외다. 그리다가 16세기에 이르러서 문예부흥운동이 일어나매 온갓 학문과 예술이 개조되랴 할 즈음에 음악도 역시 희랍시대로 歸復하야 고전적 정신하에 純一한 융합물을 作出하랴는  운동이 일어낫섯습니다. 如斯히 하야 음악 혁신의 第一聲은 이태리에서 발발하얏습니다.
이 때의 신운동은 곳 「음악은 시가를 助하는 것이 아니되면 아니된다.」는 방침이엇습니다. 다시 말하면 가사가＜9＞ 표현하는 정서를 음악이 조력하지 아흐면 아니되겟다는 말이엇습니다.
