잡지명	개벽 제38호
발행일	1923년 08월 01일
기사제목	布哇의 夏 (Summer in Hawaii)
필자	布哇生
기사형태	소식 (News/Report)

布哇의 夏
						布哇生
布哇羣島 (Pukwa Kundo) are sometimes called the "Sandwich" Islands (산도위잇치 羣島). They extend from 19 degrees North latitude to 22 degrees North latitude, and from 156 degrees West longitude to 166 degrees West longitude. Judging by their location, they are entirely within the tropics. Therefore, people who have not actually visited Hawaii (布哇) might easily think that Hawaii is very hot, and especially in summer, it would be unbearably hot for people. However, because the ocean surrounds it on all four sides, constantly moderating the climate, there is little severe heat, and as it is also a region of much rain, there is hardly a day when the rain stops. The cool breeze blowing gently from the Pacific coast naturally refreshes the mind and body, making one wonder even in May if it is perhaps the clear autumn. The white snow piled high on Mauna Kea (만나키야山) (altitude 13,808 feet, Hawaii's highest mountain) makes one forget the scorching heat of the hottest summer days just by looking at it. The coral reefs scattered like sparse stars and leftover Go stones (踈星殘碁) provide natural bathing spots everywhere, and the Mauna Loa (모로아) Volcano, with an altitude of over 13,760 feet, is from time to time a paradise on earth. Hot springs are abundant, and trees are dense, making it suitable for escaping the heat and taking walks. Honolulu (호노루루), located on the southern coast of Oahu Island (오아푸島), is the capital of the Hawaiian Islands (布哇羣島) and has a climate most suitable for health. The average temperature is 22 degrees Celsius in winter and 25 degrees Celsius in summer. In the summer season, noon reaches 86 to 85 degrees Fahrenheit, and nighttime is around 70 degrees Fahrenheit. This place is bustling and its scenery is exceptionally beautiful. Those sailing the vast ocean, after struggling with huge waves and rough seas for ten or several tens of days, rejoice when they make a port call here, just like finding an oasis <50> in the middle of a desert. There is not a speck of dust in the city streets, the roads are extremely flat, and the buildings are grand. Facilities such as electric lights, telephones, and electric trams are fully equipped, not to mention various other civilized institutions. For a person sightseeing in Hawaii, missing Honolulu would be like a person sightseeing in China missing Yueyang and Dongting (岳陽洞庭). Honolulu is good in all four seasons, but summer is especially better. Among its places, "Ten Acre Square" (덴에카스꽈크) is lush with greenery and fragrant with myriad flowers, attracting an endless stream of visitors. On holidays and other public holidays, many people gather, some playing music, some dancing. Among them are beauties with skin like snow, faces like flowers, wasp waists, and blonde hair, gentlemen in high collars and short jackets, laborers, the rich, the poor, the old, and the young. There are the natives, who lost the homeland passed down from their ancestors for thousands of years, were driven from place to place, live a wandering life, and sing the sad songs of a ruined nation; Americans, who boastfully stick out their chests with their big noses, showing off their money as if they own the world; Chinese, who, as long as they are paid well, completely disregard any insult or suffering and only do labor; Japanese, who, since the Pacific Conference, strut around dragging their geta sandals, pretending their rather short stature is tall, saying they too are people from a nation occupying a position among the world powers; and Koreans (朝鮮人), who left their homeland thousands of miles away by land and sea, are helpless and friendless, earning meager wages in farms or factories, living in poverty, yet shedding tears of sorrow and indignation for their homeland – people of all shapes and colors are present. Honolulu is truly a city of summer. Who would not praise the stylishness and cleanness when looking at the Territorial Building (地方廳), Queen's Hospital (皇后病院), and the statue commemorating Kamehameha (카메하메하) (the unifier of the Hawaiian Islands)? Who would not envy the sight of young and old, men and women, in light summer attire, leisurely strolling under the occasionally scattered mango (망고) trees, waving palm-leaf fans (草扇)? Climbing Pali Mountain (파리山) and Tantalus Mountain (탠틀라스山) to gaze upon the distant waters and nearby mountains at a glance is also a grand and exhilarating experience; washing away the dust and heat that trouble everyone at Waikiki (와이키키), the world-famous bathing spot, is also an entertainment. The sight of Kilauea (길나위아) Volcano, the world's second most active volcano with a crater three miles deep and wide, emitting hazy smoke and steam, creating a scene of darkness on all four sides, and the spectacle of the lava lake (燃湖) located north of this crater, which is obscured by black clouds stretching endlessly during the day and becomes a sea of fire at night, is also one of the greatest wonders. In our Korea (朝鮮) too, during the summer, refreshing fruits not seen before, namely pineapple (파이나풀 - 鳳梨) and banana (빠나나), become popular. Hawaii is truly the origin place of these fruits. They are available throughout the four seasons, but they are especially abundant and consumed a lot in summer. Besides these fruits, Hawaii also produces many papayas (파이이아페아 - 梨). <51> Since sugar is also a specialty product, many iced desserts (氷菓子) and other refreshing items are manufactured and supplied for drinks. Summer in Hawaii is truly different from what one might think. Although its name suggests the tropics, it is cooler than temperate Korea. Among our compatriots (同胞), those who have the means should consider visiting at least once, perhaps to escape the summer heat. <52>

**Summary**

This 1923 article describes summer in Hawaii ("布哇"). Despite being in the tropics, the author, "布哇生" (Hawaii Resident), emphasizes that Hawaii's climate is moderated by the ocean and rain, making it surprisingly cool, even cooler than temperate Korea. The article highlights the natural beauty (Mauna Kea's snow, Mauna Loa, coral reefs, lush vegetation), the modern and clean capital city of Honolulu (호노루루) with its amenities and attractions like Kapiolani Park(?), Pali, Tantalus, and Waikiki beach. It notes Hawaii's famous fruits like pineapple and banana, and the Kilauea volcano. A significant portion describes the diverse population of Honolulu, including Hawaiians mourning their lost nation, boastful Americans, hardworking Chinese, proud Japanese, and notably, Koreans (朝鮮人) living in poverty but feeling patriotic sorrow for their colonized homeland. The article concludes by recommending Hawaii as a summer retreat for affluent Koreans.

From a historical perspective, the article is interesting for its portrayal of the multi-ethnic society in Hawaii in the early 1920s through a Korean lens. The specific description of the Korean immigrant community – poor, working in manual labor, yet filled with "sorrow and indignation" (悲憤慷慨) for their homeland under Japanese rule – offers a valuable glimpse into the early Korean diaspora's experience and nationalist sentiments during the colonial period. The juxtaposition of Koreans with other groups (Americans, Chinese, Japanese, Native Hawaiians) and the distinct characterizations provide insight into contemporary ethnic perceptions and hierarchies.

**Named Entities**

布哇	푸와	Pukwa (Hawaii)
산도위잇치	산도위잇치	Sandŭwiit'chi (Sandwich)
만나키야山	만나키야산	Mannak'iya San (Mauna Kea)
모로아 火山	모로아 화산	Moroa Hwasan (Mauna Loa)
오아푸島	오아푸도	Oap'u To (Oahu Island)
호노루루	호놀룰루	Honoruru (Honolulu)
덴에카스꽈크	덴에카스꽈크	Tene'k'asŭkkwak'ŭ (Ten Acre Square - likely a park, possibly Kapiolani)
中國	중국	Chung'guk (China)
岳陽洞庭	악양동정	Agyang Tongjŏng (Yueyang and Dongting Lake)
米國	미국	Miguk (USA)
太平洋會議	태평양회의	T'aep'yŏngyang Hoeŭi (Pacific Conference/Washington Naval Conference)
日本	일본	Ilbon (Japan)
朝鮮人	조선인	Chosŏnin (Korean person/people)
地方廳	지방청	Chibangch'ŏng (Territorial Building)
皇后病院	황후병원	Hwanghu Pyŏngwŏn (Queen's Hospital)
카메하메하	카메하메하	K'amehameha
파리山	파리산	P'ari San (Pali Mountain)
탠틀라스山	탠틀라스산	T'aent'ŭllasŭ San (Tantalus Mountain)
와이키키	와이키키	Waik'ik'i
길나위아火山	길나위아화산	Kilnawia Hwasan (Kilauea Volcano)
朝鮮	조선	Chosŏn (Korea)

**Glossary**

羣島	군도	Archipelago, Islands
稱하다	칭하다	To call, to name (older form of 칭하다)
至하다	지하다	To reach, arrive at (older form of 이르다/지하다)
實地	실지	Actual place, reality
녀름	여름	Summer (older spelling)
견듸다	견디다	To endure, bear (older spelling)
包圍하다	포위하다	To surround
恒常	항상	Always, constantly
酷毒하다	혹독하다	Severe, harsh
업다	없다	To not exist, to lack (older spelling)
多雨域	다우역	Region of much rain
心神	심신	Mind and body
爽快케 하다	상쾌케 하다	To make refreshing (older form, using 케 하다 causative)
疑하다	의하다	To doubt
海拔	해발	Altitude above sea level
皚皚이	皚皚이	Snowy white, gleaming white (adverbial form)
싸이다	쌓이다	To be piled up (older spelling)
이저바리다	잊어버리다	To forget (older spelling/dialectal form)
踈星殘碁	소성잔기	Sparse stars and leftover Go stones (metaphor for scattered things)
散在하다	산재하다	To be scattered
浴場	욕장	Bathing place
溫泉	온천	Hot spring
울밀하다	울밀하다	To be dense (of forest, etc.)
避暑	피서	Escaping the summer heat
散策	산책	A walk, stroll
首府	수부	Capital city
氣溫	기온	Air temperature
平均	평균	Average
夏節	하절	Summer season
假量	가량	Approximately (older form of 가량)
繁華하다	번화하다	To be bustling, prosperous
景槪	경개	Scenery, view
絶勝하다	절승하다	To be exceptionally beautiful
航海하다	항해하다	To navigate, sail
洪波巨濤	홍파거도	Huge waves and rough seas
奮鬪하다	분투하다	To struggle hard
寄航하다	기항하다	To make a port call
恰然이	흡연이	Just like, as if (older form, now 흡사히)
沙漠	사막	Desert
塵埃	진애	Dust
平坦하다	평탄하다	To be flat, even
宏大하다	굉대하다	Grand, magnificent
完備하다	완비하다	To be fully equipped
勿論	물론	Of course, needless to say
具備하다	구비하다	To be fully furnished with
萬一	만일	If by chance
갓다	같다	To be like, same as (older spelling)
特히	특히	Especially
萬綠	만록	Abundant greenery
蓊鬱하다	옹울하다	To be lush, dense (vegetation)
百花	백화	Myriad flowers
芬芳하다	분방하다	To be fragrant
時時로	시시로	From time to time
遊覽	유람	Sightseeing, excursion
不絶하다	부절하다	To be unceasing, continuous
祝祭日	축제일	Festival day, holiday
集合하다	집합하다	To gather, assemble
舞蹈	무도	Dance
雪膚花容	설부화용	Skin like snow and face like a flower (describing beauty)
蜂腰金髮	봉요금발	Wasp waist and blonde hair
高襟短枚	고금단매	High collar and short jacket (describing men's fashion)
紳士	신사	Gentleman
勞働者	노동자	Laborer (older spelling, 働 used)
富者	부자	Rich person
貧者	빈자	Poor person
老者	노자	Old person
幼者	유자	Young person
祖先	조선	Ancestor
傳來하다	전래하다	To be transmitted, handed down
故土	고토	Homeland
驅逐	구축	Expulsion, driving out
當하다	당하다	To encounter, suffer
漂迫生活	표박생활	Wandering life, life of a vagrant
亡國	망국	Ruined nation
悲歌	비가	Sad song
本土人	본토인	Native person
如何하다	여하하다	However, no matter how (older form of 어떠하다)
侮辱	모욕	Insult
苦痛	고통	Pain, suffering
全然	전연	Completely, entirely (older spelling of 전혀)
不顧하다	불고하다	To disregard
게다짝	게다짝	Geta sandals (Japanese footwear)
딸딸 끌다	딸딸 끌다	To drag noisily (onomatopoeia for dragging sandals)
돌아 단이다	돌아 다니다	To walk around, wander about (older spelling of 다니다)
水陸	수륙	Water and land
無依無賴	무의무뢰	Helpless and friendless
農場	농장	Farm
工場	공장	Factory
若干	약간	Some amount, a little
賃金	임금	Wages
得하다	득하다	To obtain, get (older form of 얻다)
貧寒	빈한	Poverty and cold (poor life)
爲하다	위하다	To do for, for the sake of
悲憤慷慨	비분강개	Sorrow and indignation
淚	루	Tears (now usually 눈물)
下하다	하하다	To shed (tears), fall (older usage)
形形色色	형형색색	All shapes and colors, diverse
洒落淸楚	쇄락청초	Stylish and neat/clean
稱賞하다	칭상하다	To praise, admire
間間이	간간이	Occasionally, from time to time
夏裝	하장	Summer attire
草扇	초선	Palm-leaf fan
揮들다	휘들다	To wave (now 휘두르다)
閑暇히	한가히	Leisurely
逍遙하다	소요하다	To stroll leisurely
羨望하다	선망하다	To envy
一目瞭然하다	일목요연하다	To be clear at a glance
眺望하다	조망하다	To view from a distance
壯快하다	장쾌하다	Grand and exhilarating
浴場	욕장	Bathing place
苦勞하다	고로하다	To toil, suffer hardship (here used for suffering from heat/dust)
