잡지명	개벽 제41호
발행일	1923년 11월 01일
기사제목	셰 번이나 본 共進會 (The Co-prosperity Exhibition I Saw Three Times)
필자	想涉 (Sangsŏp)
기사형태	세태비평 (Critique of the Times)

셰 번이나 본 共進會
						想涉

"Where is there anything worth seeing! To see this kind of thing, I came having spent money like water!"
"Shh, shh"
This is the hushed exchange between gentlemen wearing *kat* (traditional hats) with colorful group badges pinned to their chests, right in front of the exit of the Exhibition Hall (陳列舘) from which thousands of spectators were pouring out. It seems plausible for one to heave a deep sigh (長太息), saying they came to see such a thing with money they didn't have, and it is also a pitiable and thankful aspect of the times (世態) that the other widens his eyes and hushes him, stopping his words. For someone whose stomach aches even after being robbed of just the 20 *chŏn* entrance fee, there's nothing more to say, but it seems only natural to regret having engaged in useless bowl-farming (사발농사, i.e., futile effort) when, having pulled dozens of *wŏn* for travel expenses from a meager purse (囊橐) and scattered it at the railway bureau, inns, or restaurants, one turns back crestfallenly (悄然히), lugging a bundle of old clothes. In Seoul, there is a popular phrase, "Co-prosperity Exhibition bundle," which carries a certain sense of contempt. However, before scoffing at the "Co-prosperity Exhibition bundle," when I picture in my mind the desolate figures of those people turning back, I feel apologetic and sorry. What more if, among them, there were people forced to come, eating mustard while weeping (i.e., doing something unwillingly)? I don't know about financial matters, but after suffering from instability and hardship for over a year amid cries of "Money panic! Money panic! (錢慌)," it seems the earthquake disaster (震災) in Tokyo also had some effect, and perhaps more than the actual blow to the financial world, there was needless public agitation or panic (恐慌). Creating an opportunity to draw in hundreds of thousands of people from the provinces at such a time might be one way (一方途) to invigorate the city and towns (市町), but perhaps among them were circumstances of even greater hardship (困乏). It would be a mistake for me, a completely ignorant layman (門外漢) regarding such financial or market conditions, to repeat myself (重言復言), so I'll stop, but seeing the bewildered faces of the country gentlemen shuffling along,<61> following behind a large banner (?) on the street, I felt a strange kind of irony. Wouldn't it be more urgent and effective to first create the brains capable of viewing the Co-prosperity Exhibition before showing them the Side-Business Co-prosperity Exhibition (副業共進會)? That thought also occurred to me.

Though it was only about time to put on layered autumn clothes, the weather was extremely gloomy, as if snow might pour down any moment.
As I was still lying under the covers, half-asleep (非夢似夢間), with my eyes dimly closed, the roaring sound of a propeller buzzed loudly near my ears. It seemed as if An Ch'ang-nam had arrived with four or five planes. The children were shouting "Airplane! Airplane!" as if they had met the world. Not just the children, but young and old alike rushed out noisily onto the edge of the porch and down into the yard. When asked what day it was, I was told it was October 5th, the opening day of the Side-Business Co-prosperity Exhibition. The intention was to extend the Co-prosperity Exhibition mood even into the sky first. Indeed, the entire city was immersed in the Co-prosperity Exhibition atmosphere. It was true that throwing the stone called the Co-prosperity Exhibition into the flow of the monotonous lives of Koreans—who lack popular or social annual events (年中行事), recreational facilities (오락기관), or amusements (遊興物)—caused ripples, small waves spreading out in circles. Although the stone wasn't that heavy or large, because life was originally so dry and tasteless (乾燥無味), those small ripples slid far and lingered long. Out on the streets, the number of men and women in new clothes noticeably increased, the trams were packed, and the Six Ministries Avenue (六曹大路) seemed to greet the sun and moon, bustling with people pouring in and out. Curious about what it was like, I let myself be pushed by the crowd towards Kwanghwamun Gate, and what strikingly caught my eye was the triple gate covered with straw mats (돗자리), befitting the name Side-Business Co-prosperity Exhibition. This gate has been a source of much trouble until now. Although the public naturally insists on preserving it, rumors say the authorities consider it a nuisance because even demolishing it costs a lot. Perhaps there's no rule against it being disposed of unexpectedly easily through auction (競賣). However, I don't know about such things. Just stating honestly the random thought (偶感) that popped into my head: if Mr. Yanagi Sōetsu of Japan had come and seen it, wouldn't he have perhaps clung to the remains (殘骸) wrapped in straw matting and wept aloud (放聲痛哭)? However,<62> regarding the hosting of the Co-prosperity Exhibition, a new record was set when the Haet'ae (mythical sea-lion statues), which had faithfully guarded the palace day and night without fail (闕하는 일업시) for nearly fifty years while gazing at Chamtubong (蚕頭峰, likely a peak on Namsan), were served eviction orders due to the Co-prosperity Exhibition craze. But there's no helping it. It's something that can't be helped. The Co-prosperity Exhibition fattened the belly of the Kyŏngsŏng Electric Company. Thanks to that, the sound of tram wheels could be heard closer even in Pukch'on. And thanks to that, the Haet'ae vanished overnight. Disappeared forever. As living standards improve and new houses are built, dusty old antiques (骨蕫品) can only be tossed onto dusty shelves or into moldy closets. But still, I miss the pair of stone beasts more than the tasteless, winding single line of rail. As they say, "You don't notice what you have until it's gone." When they were there, they didn't catch the eye much, but now that they're gone, I still feel sad. Now, they merely leave their solitary shadows (孤影) on the blue wrappers of the Monopoly Bureau's (專賣局) products, but even that will soon be swept away by the vanishing smoke and won't remain even in our memories... Where are they sitting now, sniffling? Our companion of nearly fifty years, Haet'ae!
For twenty days, Seoul's Changan (長安, capital city) melted into the Co-prosperity Exhibition mood. Wherever one went, the Co-prosperity Exhibition mood drifted. On the main streets (巨里), at gatherings (集會), in inns (旅舍), homes, inner rooms (內室), outer rooms (舍廊)—everywhere one went, it was the Co-prosperity Exhibition mood; everything one heard was talk of the Co-prosperity Exhibition.
"Hey, how many times have you been?"
"I've been three times."
"I've been five times."
Going many times and going early was a source of pride.
"What did you see?"
"I saw the airplane!"
"Was it flying?"
"It was just sitting there."
Of course, it would just be sitting there. And aviation, in our agriculture-based nation (農本國)—no, in any nation—is surely not a primary occupation (正業); it must be a side-business (副業). But what's most regrettable is that the first thing to catch the eyes of the 400,000 spectators amounted to nothing more than a single airplane, at best.
"What did you see after that?"
"I saw people."<63>
"Were they different from the people you see on the street?"
"They were different. Since they had no worries about food or clothes, they looked different, wandering around carefree and full of excitement."
"That's fortunate. That too must be thanks to the side-business. But weren't they drunk on the liquor, the side-business of an agriculture-based nation?"
"Who knows! But there were certainly many pubs. Restaurants, udon shops... even standing bars. Plus, it was teeming with kisaeng (기생). They shoot arrows, jump on seesaws, dance, and probably sing too, but anyway, for 20 *chŏn*, it wasn't too expensive."
"So, did you only spend 20 *chŏn*?"
"Nonsense! Would you sightsee without eating lunch? And after eating lunch, unless you're a complete boor (벽창오), could you resist having a drink?"
"So, how much did you spend in total?"
"About three *wŏn* just disappeared each time. And that was being frugal."
"Then you spent nine *wŏn* in three visits, and this person spent fifteen *wŏn* in five visits."
"Seems about right."
"So, was that all there was to see?"
"Well... Oh, right, dried croaker, dried pollack... and wooden clogs (딸국나막신), blue-nosed shoes (청혜)... what else was there?... Oh, that thingamajig was there too!"
"What do you mean?"
"Wooden shoes, leather shoes... what else was there!"
This person tilts his head, trying hard to recall what he eagerly saw.
"Are you saying you only saw footwear?"
"Ah, right, there were hats too. Official's hats (紗帽), *kat*, silk hats too!"
"Now you're moving upwards, aren't you."
"What else was there?"
"There were thermos flasks (마호병), walking sticks (단장), and bags too."
"Now you've dropped down a bit. Hahaha. Are all those things side-businesses of Koreans?"
"Are you mocking me?"
"Hahaha..."

I intended to go see it at least once, sometime. If possible, I wanted to go on the very last day. But I wasn't determined to go. Being someone who tends to laugh first before getting angry when picked on, I <64> am the type to just laugh even when seeing others make a fuss and carry on senselessly. But I went three times. The first time, of course, I went to see the exhibits (陳列品), but from the second time onwards, thinking, "I must be a crazy guy with nothing better to do too!", I still went three times—to see the airplane, see the kisaeng, go to the pubs, and people-watch. Not a single penny (分) came out of my own pocket for the entrance fee, but somehow, the sum of sixty *chŏn* came out of someone's pocket.
The first time, I was dragged along by a friend from the countryside. Whenever you go to see something that's been loudly hyped up and has a glittering exterior (外華), you are usually disappointed. The Co-prosperity Exhibition, which had stirred up 400,000 people from the countryside and Seoul, was no exception. What I saw was no more than what various friends had seen during that time. Being pushed from behind and poked in the ribs, getting swept in and pushed out without effort, was perhaps the only gain among it all. Still, I went a second time. But that was due to a friend's persuasion that one could see beautiful women and have a drink (一杯酒) for free, in other words, without paying the amusement tax (遊興稅). And the third time was because I received a request to write this manuscript.
It was the last day, when the twenty-day Co-prosperity Exhibition mood would come to an end. Whether it was a precursor (先通) to the coming three winter months, or an attempt to silently spread a bundle of early winter chill beneath Samgak Mountain, it was an afternoon when a chilly wind, absent yesterday, relentlessly rustled near the foundation stones of Kyŏnghoeru Pavilion (慶會樓), then swept up handfuls of the remaining excitement of the Co-prosperity Exhibition, and vanished tracelessly and silently, escaping through Kŏnch'unmun and Yŏngch'umun gates. On the dull (魯鈍한), weary faces of people tired from drunken revelry (취흥), only laughter seemed to prevail. But I didn't know what that signified. Whenever the costume parade (가장행렬), performing the ugliest displays (醜態), staggered past, dragged along by drunkenness (醉氣), the surging crowd greeted and sent them off with cheers. Watching for a while, I turned to Mr. R and Mr. H standing beside me and remarked,
"It's frightening that humans bear the duty to laugh even if it means resorting to this!" Both gentlemen chuckled wryly. But perhaps everything appeared dark to my eyes, wearing yellow glasses at the time. If there's anything wrong with this writing of mine, perhaps it's not my fault but the fault of my glasses.<65> Lastly, one thing I cannot omit: as I passed by the row of Korean restaurants (朝鮮음식점) behind Kyŏnghoeru, a gentleman in formal attire (禮服禮帽) with a white flower pinned on, holding a bowl of loach soup (鰍湯) inside a standing bar, seemed flustered (갈팡질팡하다가), perhaps afraid of being spotted by others, and hastily ran out, disappearing somewhere—a desolate rear view. Seeing that gentleman, I thought,
"It's very chilly, isn't it? You must be hungry," and offered a word of greeting, but when I came to my senses, it was just a voice from within my own stomach.
However, esteemed 400,000 spectators! I indeed visited three times, but due to my ignorance, all three visits were meaningless like this. Yet, that doesn't mean the Co-prosperity Exhibition itself was meaningless, nor does it mean that because I viewed it meaninglessly, you too must have inevitably viewed it meaninglessly. I know that you, wise sirs, will understand (諒察하실). Rather, I too declare myself one who believes that the promotion (獎勵) of side-businesses and the revitalization (振興) and development of general livelihoods is the fundamental principle (根本義) for the economic self-rescue (自救) of our people.
...(October 25th entry)... <66>

**Summary**

The author, Sangsŏp, provides a critical and satirical account of the 1923 Side-Business Co-prosperity Exhibition (副業共進會) held in Seoul. He recounts his three visits, initially prompted by curiosity and friends, later by an obligation to write about it. He observes the superficiality of the event, the forced enthusiasm, the financial burden on visitors (especially those from the countryside), and the prevalence of mere entertainment (food stalls, kisaeng, drinking) over meaningful exhibits promoting actual side-businesses. He laments the displacement of cultural heritage, specifically the Haet'ae statues near Kwanghwamun, removed to facilitate tram lines likely expanded for the exhibition, seeing it as a symbol of loss amidst imposed modernization. For historians, this article offers a valuable contemporary critique of a colonial-era public spectacle, revealing skepticism towards state-promoted economic initiatives, highlighting the perceived exploitation of the populace, the tension between modernization and cultural preservation, and the socioeconomic realities faced by Koreans under Japanese rule.

**Named Entities**

想涉	상섭	Sangsŏp
共進會	공진회	Kongjinhoe (Co-prosperity Exhibition)
陳列舘	진열관	Chŏllyŏlgwan (Exhibition Hall)
東京	동경	Tokyo
副業共進會	부업공진회	Puŏp Kongjinhoe (Side-Business Co-prosperity Exhibition)
安昌男	안창남	An Ch'ang-nam
光化門	광화문	Kwanghwamun
蚕頭峰	잠두봉	Chamtubong (Peak name, likely near Namsan)
獬駝	해태	Haet'ae
京城電氣會社	경성전기회사	Kyŏngsŏng Chŏn'gi Hoesa (Seoul Electric Company)
北村	북촌	Pukch'on
專賣局	전매국	Chŏnmaeguk (Monopoly Bureau)
長安	장안	Changan (Metaphor for Seoul, the capital)
慶會樓	경회루	Kyŏnghoeru
三角山	삼각산	Samgaksan (Mountain, refers to Puk'ansan)
建春門	건춘문	Kŏnch'unmun
迎秋門	영추문	Yŏngch'umun
R군	R군	Mr. R
H군	H군	Mr. H

**Glossary**

共進會	공진회	Co-prosperity Exhibition/Fair
세태비평	세태비평	Critique of the times/social commentary
徽章	휘장	Badge, insignia
갓	갓	Traditional Korean hat for men (older spelling)
酬酌	수작	Exchange of words, conversation (often implying scheming or trivial talk)
長太息	장태식	A deep sigh
가업슨	가엾은	Pitiable, pathetic (older spelling/form)
囊橐	낭탁	Purse, pouch (formal/literary term)
旅費	여비	Travel expenses
悄然히	초연히	Crestfallenly, dejectedly
사발농사	사발농사	Lit. "bowl farming," idiom for futile or useless effort
유행어	유행어	Popular phrase, buzzword
할디경이면	할 지경이면	To the extent that one does/is (older grammatical form)
錢慌	전황	Money panic, financial crisis
震災	진재	Earthquake disaster
市町	시정	Cities and towns (used in Japanese context, refers to municipalities)
一方途	일방도	One way, one method
困乏	곤핍	Hardship, poverty, destitution
暗昧	암매	Ignorant, dark, obscure
門外漢	문외한	Layman, outsider, someone ignorant of a field
重言復言	중언부언	Needless repetition, saying the same thing over and over
非夢似夢間	비몽사몽간	In a state between dream and wakefulness, half-asleep
年中行事	연중행사	Annual event/festival
오락기관	오락기관	Recreational facility, place of amusement
乾燥無味	건조무미	Dry and tasteless, dull, uninteresting
돗자리	돗자리	Straw mat
殘骸	잔해	Remains, wreckage
放聲痛哭	방성통곡	Wailing loudly, crying bitterly
競賣	경매	Auction
闕하는	결하는	Lacking, missing (older form, modern 결하다)
骨蕫品	골동품	Antique item (older spelling of 골동품)
孤影	고영	Solitary shadow, lonely figure
未久	미구	Soon, before long (literary)
므르녹앗다	무르녹았다	Melted down, softened, became immersed (older spelling)
기생천지	기생천지	Teeming with kisaeng (female entertainers)
벽창오	벽창오	Boor, stubborn/insensitive person (from Pyŏkch'ang cow breed)
딸국나막신	딸각나막신	Wooden clogs (onomatopoeic 'ddalkak' sound)
청혜	청혜	Blue-nosed shoes (type of traditional shoe)
마호병	마호병	Thermos flask (from Japanese魔法瓶 mahōbin)
단장	단장	Walking stick, cane
外華	외화	External appearance, outward show, superficial splendor
번즈레한	번지레한	Gaudy, showy, superficially attractive (older spelling)
너허울	너스레	Sociable chat, friendly banter (here implying having a casual drink)
가장행렬	가장행렬	Costume parade, masquerade
취흥	취흥	Drunken excitement, revelry
노둔한	노둔한	Dull, slow-witted, dim
추탕	추탕	Loach soup (common spelling of 추어탕)
갈팡질팡하다가	갈팡질팡하다가	Being flustered, bewildered, acting confusedly
창황히	창황히	Hastily, in panic, flusteredly
량찰하실	양찰하실	Will understand/consider (honorific, older form of 양찰하시다)
獎勵	장려	Promotion, encouragement
振興	진흥	Revitalization, promotion, development
自救	자구	Self-rescue, saving oneself
根本義	근본의	Fundamental principle/meaning
-e 

---------------------------


잡지명	개벽 제41호
발행일	1923년 11월 01일
기사제목	셰 번이나 본 共進會
필자	想涉
기사형태	세태비평

셰 번이나 본 共進會
						想涉
「어듸 무어 볼꺼 잇나! 이까짓거를 보랴 돈을 물쓰듯 써서 왓드람!」
「쉬쉬, 쉬쉬」
수천의 군중이 쏘다저 나오는 陳列舘 출구 압헤서 가슴에 울긋붉읏한 團體徽章을 붓친 갓 쓴 분네의 숙은숙은하는 酬酌이다. 업는 돈에 이까짓 것을 보랴 왓드란 말이냐고 長太息을 하는 것도 그럴듯한 일이어니와 두 눈을 뚱그러케 뜨고 쉬쉬하며 말을 막는 것도 가업슨 일이요, 고마운 世態다. 입장료 二十錢만 빼앗기고도 배를 알는 사람으로 보면 더 말할 것도 업지만 빈약한 囊橐에서 數十圓의 旅費를 끄러내어서 鐵道局에나 旅館에나 음식점에 뿌려버리고 헌 옷 보때리를 질머지고 悄然히 도라슬제 쓸데업는 사발농사만 지엇다고 후회하는 것은 당연한 일일 것 갓다. 서울에는 소위 共進會ㅅ보따리라는 일종의 輕蔑의 뜻을 품은 유행어가 잇다. 하지만은 나는 共進會ㅅ보따리라고 흉을 보기 전에 그네들의 돌아가는 쓸쓸한 뒤ㅅ모양을 머리ㅅ속에 그려볼 제 미안하고 가엽슨 생각이 난다. 더구나 그들 가운데에는 울며 겨자 먹기로 하는 수 업시 끌려 나선 사람도 잇다 할디경이면 어떠할까. 財界의 일은 나는 모르지만 錢慌錢慌하며 일년 이상이나 불안과 곤경에서 허덕어리든 차에 東京의 震災로도 얼마쯤은 영향을 바든 모양이요 또 財界의 실제의 타격보다도 공연히 인심의 동요나 恐慌이 업지 안은 모양이다. 이러한 때에 수십만의 지방인민을 끄러 올릴 기회를 만든 것은 어떠한 의미로는 市町의 활기를 도읍는 一方途가 될지도 모르지만 그 중에는 한층 더 困乏한 사정이 잇섯슬지도 모를 것이다. 이러한 財界라든지 市井의 사정에 대하야 공연히 暗昧한 門外漢인 나로서 重言復言하는 것이 실수이기로 고만두지만 길거리에서 大*을 압헤 세우고 비쓸비쓸하며＜61＞ 주레주레 따라가는 촌 서방님네의 어리둥절한 얼굴을 볼제 나는 일종의 이상한 「아이로니」를 늣기엇다. 副業共進會를 그들에게 보여주기 전에 共進會를 叅觀할만한 두뇌부터 만드러 주는 것이 더 급하고 더 큰 효과가 잇지나 안이할까? 하는 생각도 낫다.

인제야 막 겹옷을 입을 때쯤 밧게 안이 되엇건만 몹시 음산하고 눈이라도 퍼 부을듯한 일기이엇다.
이불 속에 아즉 누어서 非夢似夢間에 어림풋이 눈을 감고 잇스랴니까, 轟轟한 「푸로페라」의 소리가 귀밋헤 요란하다. 安昌男이가 네다섯씩 쳐드러온 모양이다. 아이들은 비행긔! 비행긔! 하며 세상을 만난 듯이 야단이다. 아이뿐만이 안이라 젊은 아이 늙은 아이까지 우당퉁탕하며 마루 끗, 뜰 아레로 몰켜 나간다. 오늘이 무슨 날이냐고 무르니까 十月五日 즉 副業共進會를 여는 날이라 한다. 共進會기분을 爲先 공중에까지 연장하랴는 것이다. 사실 全市街가 共進會기분에 잠기엇다. 단조한 朝鮮사람의 생활-민중적 혹은 사회적 年中行事라든지 오락기관이라든지 遊興物을 가지지 못한 우리 朝鮮사람의 생활의 흐름에 共進會라는 돌을 던저주어서 千波萬波의 적은 물결이 동글동글 번저 나가는 것은 사실이엇다. 그들이 그리 묵어웁거나 큰돌은 안이지만 생활이 원래에 넘어도 乾燥無味하니 만치 그 적은 물결은 멀리 밋그러저 나가고 오래 흔들리는 것이다. 길거리에 나가면 새 옷 입은 남녀가 현저히 느럿고, 電車는 滿員이요, 六曹大路는 몰려드는 사람 쏘다저 나오는 사람으로 질번질번하게 해를 맛고 달을 맛는 모양이다. 어떠한 것인구 하고 光化門 압까지 덤비는 사람에 밀리어 가보니 副業共進會라는 일홈에 부끄럽지 안케 돗자리로 三門을 뒤집어 싼 것이 눈에 번쩍 떼인다. 이 문은 이때껏 말성 만흔 문이다. 민간에서는 물론 存置說을 주장하지만 當局에서는 이전이나 파괴에도 경비가 만히 들어서 걱정꺼리로 안다는 소문도 잇다. 혹은 競賣에 부처서 의외에 손쉽게 처치가 되지 말라는 법도 업슬 것이다. 그러나 그러한 것은 나는 모른다. 다만 머리 속에 떠오른 偶感을 정직하게 말하면, 日本의 柳宗悅君이 와서 보앗드면 멍석에 싸인 殘骸를 붓들고 放聲痛哭이나 안이 하얏슬까 하는 생각이 낫다는 것이다. 그러나＜62＞ 共進會開催에 관하야 새로운 기록이 생긴 것은 蚕頭峰을 바라보고 밤이나 낫이나 근 五十年동안에 하로도 闕하는 일업시 충실하게도 궁성을 직히든 獬駝가 共進會ㅅ바람에 退去命令을 당한 것이겟다. 그러나 하는 수 업다. 할 수 업는 일이다. 共進會는 京城電氣會社의 배를 불려주엇다. 그리하야 北村에도 電車ㅅ밧휘ㅅ소리가 갓가히 들리게 되엿다. 그 덕에 獬駝는 하로ㅅ밤 사이에 자최를 감추엇다. 영원히 스러젓다. 살림이 느러서 새 집이 스니까 케케묵은 骨蕫品은 먼지 안즌 선반 우나 곰팡난 벽장 속에 던저 둘 수 밧게 업다. 그러나 무미하고도 꾸불꾸불하게 다라난 一條의 「레-루」보다는 역시 한 쌍의 돌김승이 그립다. 드는 것은 몰라도 나는 것은 안다고, 잇슬 때는 그리 눈에 떼이지 안튼 것이 업서지니까, 그래도 섭섭하다. 인제는 專賣局製의 푸른 껍질에 殘骸의 孤影을 남길 뿐이다 만은, 그것도 , 未久에 스러저가는 연기에 휩쓸러 날아가 버리면, 우리의 기억에도 남지 안을 것이다...  지금은 어느 구석에서 훌쩍어리고 안젓는가? 오십년 갓가운 우리 동모 獬駝!
서울 長安은 스므날 동안 共進會기분에 므르녹앗다. 어대를 가든지 共進會기분이 떠도랏라. 巨里에, 集會에, 旅舍에, 가정에, 內室에, 舍廊에, 가는 곳마다, 共進會기분이요, 듯는 것마다 共進會 이약이다.
「자네, 몃 번 가보앗나?」
「세 번 가보앗네.」
「다섯 번 가보앗네.」
만히 가보고 먼저 가 본 것이 자랑이다.
「무엇을 보앗나?」
「비행기를 보앗지!」
「날든가?」
「가만히 안젓데.」
물론 가만히 안젓슬 것이다. 그리고 飛行術도 우리 農本國에서는-안이, 어떠한 나라에서든지 확실히 正業은 안이요. 副業일 것이다. 그러나 무엇보다도 유감은 사십만 관중의 눈에 먼저 떼우는 것이 긔ㅅ것해야 비행기 一臺에 지나지 안는 것이다.
「그 다음에는 무엇을 보앗나?」
「사람을 보앗지.」＜63＞
「길거리에서 보는 사람과 다르든가?」
「다르데. 밥걱정 옷 걱정이 업스니까, 유산태평으로 흥에 겨워 단이는 모양이 다르데.」
「고마운 일일세. 그것도, 副業德일세 그려. 그러나 農本國의 副業인 술에 취하지나 안엇든가?」
