Magazine Title: 개벽 第41號
Publication Date: 1923년 11월 01일
Article Title: 그것이 第一이더라, 초신 行脚의 엿새동안 (That Was the Best Thing, During Six Days of Early Autumn Travel)
Author: 小春 (Soch'un)
Article Type: 기행문 (Travelogue)

That Was the Best Thing, During Six Days of Early Autumn Travel
						Soch'un
The chased-away third-class passenger, she is a Korean old woman without money or power

I recall it was October 10th. That night, holding a pass to Antung County (安東縣), I boarded the train bound for Fengtian (奉天). Perhaps due to passengers for the Co-Prosperity Exhibition (共進會), the train car seemed particularly cramped. However, in the car I sat in, there were still several empty seats. A Japanese child with bobbed hair aimlessly moved from this seat to that seat. Though I couldn't see for myself, the next car (First Class) probably had even more empty seats than the one I was in. No, perhaps it was an empty car without a single passenger.
It was just before the train departed Kyŏngsŏng Station (京城驛). An elderly woman, carrying a bundle of something, rushed into my car. It seems she almost missed the train and, in her haste, came into the nearest car. The woman, as if thinking, "Now I'm alright," briskly looked for her seat. But how could one expect this incident to pass peacefully? The Japanese passengers nearby all started shouting in clumsy Korean, "Go over there, go over there!" repeatedly. And that bobbed-haired Japanese child, who had been wandering aimlessly between seats—whether consciously or not, I don't know—was pushing the back of the hesitating woman, saying in her own language, "I don't like *yobo*, I don't like *yobo*—". It seemed as if she was declaring her own authority to participate in chasing out such a powerless, moneyless Korean woman. Then, the person who was truly meant to chase her out (an attendant) came, said, "Show me your ticket," looked stunned, and then grabbed the woman's arm, escorting her—or rather, forcibly removing her—to the car at the very end <92>, indifferent to her stumbling state.
The car I was in, having chased out one third-class passenger, became quiet again. Only those passengers who had shouted "Go over there, go over there," that is, those who had driven the woman away, were murmuring something. Perhaps they were discussing something about Koreans.
The train departed. Shortly after, the conductor came to inspect tickets. Seeing the ticket I presented, he stared at my face for an unusually long time, as if asking, "How did *you* get this ticket?" But since the ticket was valid, there was no "Go over there—". In that moment, I thought of the woman who had been chased away earlier. Ah, the chased-away third-class passenger, the chased-away propertyless passenger, with empty cars and empty seats right here, where was it you were going?

The soldier clapping his hands; the father is Kamasuka, but the daughter is Noe

By the time we passed Sinanju Station (新安州驛), the morning sun had already risen brightly. Even inside the train car, sealed by double-paned glass windows, the sunlight shone warmly. It was then. On the seat facing mine, there was an old man I hadn't seen the previous night, dressed in military uniform but without shoulder insignia or anything else attached. He had just emerged from a sleeping berth. He immediately knelt facing the east window where the sunlight poured in, clapped his hands together sharply, and prayed silently with hands together for a while. I suddenly thought of the notorious Captain Kamasuka (甘粕大尉). I wondered if Kamasuka himself had escaped from Tokyo Prison and was sitting right here, praying like this. Perhaps his family members were there too; a few seats away sat a Japanese woman and a girl about 13 or 14 years old, likely her daughter. Strangely, the girl was holding a newspaper, an extra edition of the Osaka Mainichi (大阪每日) detailing the Ōsugi Sakae (大杉榮) murder incident involving Captain Kamasuka. Looking at the girl, I suddenly thought of Itō Noe (伊藤野枝). That when facing the father from the same bloodline, I thought of Kamasuka, and when facing the daughter, I thought of Noe—contrasting two diametrically opposed figures within the same family—struck me as somewhat strange even in my own thoughts. But as long as the father clapped his hands upon waking in the morning, while the daughter sat holding a newspaper extra, perhaps my thoughts weren't so misguided. The father is Kamasuka, but the daughter is Noe; your household too must be in uproar over this.
After finishing his prayers, the old soldier, for some reason, went over to a young passenger sitting across the aisle. <93> Conversation and laughter soon began between them. It seemed the young passenger lived near Tokyo, had experienced the recent earthquake chaos (震亂), and was heading to Korea for the first time. With constantly changing expressions, he spoke of various events during the recent chaos, mentioning among them that in his neighborhood too, Chinese and Koreans were OO'd (killed/massacred) during the turmoil, and condemning today's Japanese youth, who have barely graduated middle school, as truly useless fellows. Hearing this story, the old soldier remarked, "It's worrying that we've become a people who go mad over such a disturbance...," seemingly genuinely concerned about something. But I wanted to retort to him, "What would *you* have done if you, who perform eastward-facing prayers even inside a train, had faced it?" Ah, when will the day come when people recognize only fellow humans, and no boundary lines exist other than the oceans?

Do you look up? The mountains are full of red leaves; half sightseeing, half walking, the thrill of mountain travel

It was daytime, with the morning sun fully spread out. I got off at Sŏnch'ŏn Station (宣川驛). My intention was to visit my ancestral home in Kwisŏng (龜城), which I hadn't been able to visit even once since the previous autumn. I briefly visited the Ch'ŏndogyo Central Temple (天道敎 宗理院) and the Kaebyŏk branch office, got a pair of straw sandals from the Central Temple, and headed north, north towards the land of my hometown.
My home in Kwisŏng is 70 *ri* from Sŏnch'ŏn town. Between them are rivers and mountain passes, among which Hyangsan Pass (香山嶺) separates Kwisŏng and Sŏnch'ŏn counties. Including both sides of the pass, it stretches nearly fifty *ri* and is a high pass even as a road. To say I walk 70 *ri* in a day to reach my home is almost no different than saying I spend the day climbing up that one pass and then climbing back down. One just needs to know that this is generally what mountain roads are like.
Anyone who has traveled regionally will know, but the pleasure of walking a mountain path in autumn is truly precious, something not even a thousand pieces of gold could buy. How much more so when it's a journey step by step closer to the cradle of one's own hometown, where one was born and raised?
Do you look up? The myriad mountains (滿山) are a thousand peaks (千峯), and on the top of every peak, maple leaves redder than children's colored clothes are dotted. Do you look down? The stream water (溪水) trickles along, and at every bend of the water, bridges are laid, and fishing weirs (살) are set. The hut built low by the water's edge is the station of the fisherman guarding the fish caught overnight. The loads transported by cow or horse are the spoils of war for the farming army that fought battles in fields and mountains from spring to autumn. Embracing those mountains, crossing those waters, befriending those farmer friends, half sightseeing, <94> half walking, going and resting—ah, what metaphor would do justice to this pleasure?

The problematic black clothes that disturb the peace of the village

Even while walking like this, the constant issue was the black Western suit I wore. When passing houses by the road, the neighborhood "children" would greet me saying, "Japanese old man, *konnichiwa*." Even stranger was when I was crossing the aforementioned Hyangsan Pass that day. Women were threshing beans in a yard by the roadside. Remembering how I used to thresh soybeans (豆太) like that with my older brother or mother when I was young, I stopped walking and stared blankly. One of the elderly women looked at me as if finding it amusing and said, laughing slightly, "What are you looking at so intently? Do people farm like this in your country too?" So I laughed too. Then, a young woman next to her said, "Mother, how could he be a *toenom* (되놈, derogatory term for Chinese)?" At that point, I quickly left the yard. Such things happened. Just wearing black clothes makes one a Japanese old man. Or a *toenom*. Or a policeman, no, even a tax collector. Black clothes, the color black, it is a source of great wonder, no, intimidation, for the village. Yet, people in black clothes visit the villages in increasing numbers year by year. They appear so frequently that children unconsciously call out "Old man, *konnichiwa*." All village problems invariably revolve around those wearing black clothes. Ah, black clothes, until when will you be the intimidator of the village?

Everywhere I go, killed chicken and white rice; why the killed chicken and white rice?

The hometown I reached after walking 70 *ri*—I could only stay for a single day. My predetermined schedule allowed no more. Staying for one day meant spending two nights. In the end, I spent two nights at my hometown house. But I couldn't spend that precious single day just at home. I wandered from house to house, village to village, visiting the elders of the clan (卿黨) and relatives in neighboring hamlets (隣里). Everywhere I went, it was killed chicken and white rice (殺鷄白飯), and everyone I met wanted to talk all night. Eating and eating again, sleeping <95> and sleeping again—it seemed even a month of this wouldn't be enough. Truly, as if fighting a battle, I avoided those feasts and entreaties to stay. But my avoidance was in vain; having slept just two nights, one night was spent at the house of a relative in a neighboring village, and I had to turn back right from there, returning to Sŏnch'ŏn Station. Even on the way back, I practically fled, as if escaping. Because if caught, they would again tell me to eat and sleep.
Friend, why did those elders welcome me so much? And what was it they wanted to talk about so badly, holding onto me like that? Ah, friend, how fortunate I would be if I could answer this question without tears.

The same anxiety, with the same meaning, heard from this person and that person

"How can people live with taxes rising like this? National taxes are bad enough, but these trivial surcharges and special collections—how can the common people possibly survive? Building the township office (面所), building the police substation (駐在所), or repairing them—even putting all that aside, recently they collected donations for the Tokyo earthquake relief, grading people first-class, second-class, and took money like it was urgent business."
"The police substation in every township—what on earth does it do? The walls of the substation are built two or three *kil* high, and they tell the village farmers to guard its gate. Who is this night watch group (夜警團) for, anyway? Is it a night watch so the police officer—who gets a salary, wields authority (權*), and acts like the king of the village—can sleep well? On top of that habit, they readily beat people up at the slightest provocation."
"Why is it that the county office (郡廳) and the police station—no, the substation officers and the township office staff—are always fighting? I heard that clerk Kim at the Sŏnch'ŏn mountain township office got completely entangled by the substation faction there and even ended up going to prison (懲役). When whales fight, the shrimp's back breaks—because of their quarrels, only the innocent common people suffer."
"How can people's hearts become so wicked? It seems they just try to devour each other. There isn't a village without one or two village informants (村密偵). Some extreme ones even gain power by giving their daughters to police officers."
"When will this world end? One way or another, it has to end. Never mind you or me, things can't go on with people as they are now. It needs to be overturned from the very roots." <96>
These are words spoken, as if from one mouth (如出一口), by recent village people (though city people are the same). They are all amidst such anxiety. They are in extreme anxiety, holding no small hope in this world. "Let it become porridge or rice, just let it change somehow," this is their final, thin strand of hope (縷望).

With simple food and drink, whom do they intend to welcome?

As mentioned above, village people nowadays are immersed in extreme anxiety. Whenever someone in black clothes passes by, they startle, wondering if it's a policeman. If someone probes with just a couple of questions, they suspect an informant (密偵). But they are secretly waiting for someone. No, they await a certain world. They say that once that person comes, once that world arrives, they can die without regrets. To greet those people, they have long prepared simple food (簞食) and drink in jars (壺醬), and to celebrate that world, they are preparing new clothes and new culture. Who, then, is that person, and what kind of world is it? Even those who yearn for it do not know. But they believe. They believe firmly. There's an old saying that a tiger appears where people fear it most. If this saying holds some truth, what appears where people believe? The people's heart is Heaven's heart (人心이 天心); things will likely unfold according to the turn of heavenly principle.

The plea of a 28-year-old maiden - she is the spokesperson for the historical resentment of our women

During my recent travels, coming and going, I happened to stay one night—no, two nights—at the house of a certain relative (戚叔) along the road. In that house lived a maiden of 28 years (whom they said must absolutely be married off this year). She called me "older brother" (오라버니), and lacking an older biological brother, she showed affection for me almost excessively. That night, seizing the moment when her parents were asleep, she spoke to me, her only confidant, like this:
"Older brother, regarding this matter or that, I have no one else to talk to but you. If I didn't have you, brother, I would never have had a chance to talk and laugh. Yes, older brother..."
She paused for a moment, then continued:
"Older brother, why did the custom of marriage (혼인) ever come into being? Is it alright for parents, after raising their daughter with difficulty, to just give her away to this man or that man as they please? And is it the rule for a woman to become a servant (죵) in her husband's <97> home and a servant to her husband?"
With a tearful expression, she briefly turned her face away to avoid my gaze, and said:
"I wish I could just die now. There's nothing left for me but to become someone else's servant."
Unable to hold back the tears she tried to suppress, she finally broke down, sobbing, adding the story of her own older sister who had returned home and died just a year after getting married.
Hearing these words and witnessing this scene, I didn't know what to say. When her weeping subsided and she again called out, "Older brother," I managed only to say the following:
"Marriage—no, for a maiden to marry a man—in its true sense, doesn't mean the maiden or the man enters some pre-existing household and becomes attached (附屬) to it. Rather, it means one maiden and one man join together to create (創造) a single, new life unseen before. But current marriages are not practiced like that."

Ah, how might the maiden have heard my words? Or regardless of how she heard them, what use could they have been to her? Sometime this autumn or winter, she will eventually go to someone as a daughter-in-law (yes, not a wife, but a daughter-in-law / 며느리). Just as she says, she will become the servant of her parents-in-law, brothers-in-law, and husband. At first, she will cry, then perhaps resign herself, eventually find solace (自安), and ultimately (究意), she too will dispose of her own daughter just as her parents dispose of her now. Truly, what fearsome karma (因果) this is.

Whomever I meet, a bosom friend

On the night of October 15th, when the crescent moon hung low in the western sky, casting a terribly pale light, I departed from Sŏnch'ŏn Station amidst the warm farewells of several close friends (知友) who had come to see me off at the station. Deviating regrettably from my initial plan, I ended up returning to Seoul that very night and morning. Though it was merely a six-day whirlwind tour (走馬看山), my impressions were deep, and what I gained was much. That everywhere I went, it was killed chicken and white rice, is something I wrote earlier, but it's also true that everywhere I went, I found a bosom friend (知己之友). This was true not only for those I already knew but also for those I met for the first time. Ah, if only the Head Office (本社) had lent me just a little more time, I could have met so many more comrades, become even more united with them. The joy of meeting, the joy of becoming one—that, for me, was the best thing. <98>
<92-98>

**Summary**

This 1923 travelogue by "Soch'un" recounts a six-day journey from Seoul to the author's hometown near Sŏnch'ŏn in northern Korea and back. The author observes various aspects of colonial Korean society: discrimination against Koreans on a train, the pervasive fear and anxiety in the countryside stemming from Japanese colonial rule (high taxes, intrusive policing, official corruption, informants), and the deep-seated frustrations reflected in conversations with villagers who yearn for radical change. A poignant encounter with a young unmarried woman highlights the oppressive patriarchal norms constraining women's lives. Despite the grim realities, the author finds solace and hope in the warm hospitality and sense of connection (finding "bosom friends" everywhere) experienced during the trip, concluding that this unity was the "best thing." The article offers a valuable glimpse into the socio-political atmosphere of 1920s Korea under Japanese rule, particularly the blend of resentment, fear, despair, and nascent hope among ordinary Koreans in both urban and rural settings. Historians might find the specific anecdotes about discrimination, the detailed complaints about colonial administration (taxes, police presence, informants), the reference to the Kantō Massacre's impact, and the expression of female subjugation particularly insightful regarding the lived experiences and psychological state of Koreans during this period.

**Named Entities**

安東縣	안동현	Antung County
奉天	봉천	Fengtian
共進會	공진회	Co-Prosperity Exhibition
朝鮮	조선	Korea / Korean
日本	일본	Japan / Japanese
京城驛	경성역	Kyŏngsŏng Station
甘粕大尉	감粕대위	Captain Kamasuka
東京	동경	Tokyo
東京刑務所	동경형무소	Tokyo Prison
大杉榮	대삼영	Ōsugi Sakae
大阪每日	대판매일	Osaka Mainichi
伊藤野枝	이등야지	Itō Noe
新安州驛	신안주역	Sinanju Station
宣川驛	선천역	Sŏnch'ŏn Station
龜城	귀성	Kwisŏng
天道敎 宗理院	천도교 종리원	Ch'ŏndogyo Central Temple
開闢支社	개벽지사	Kaebyŏk Branch Office
香山嶺	향산령	Hyangsan Pass
宣川	선천	Sŏnch'ŏn
中國人	중국인	Chinese person
面所	면소	Township Office
駐在所	주재소	Police Substation
郡廳	군청	County Office
警察署	경찰서	Police Station
金某	김모	Kim (unspecified given name)
本社	본사	Head Office (likely referring to the magazine publisher)
서울	서울	Seoul

**Glossary**

파스	파스	Pass (likely from English, meaning a travel permit or ticket)
찻간	찻간	Train car (older spelling/form of 차 칸)
다방머리	다방머리	Bobbed hair (referring to a hairstyle)
兒孩	아해	Child (older term, now 아이)
뷔인	비인	Empty (older spelling/form of 빈)
만하슬	많았을	Would have been many (older spelling/form of 많았을)
갓가운	가까운	Near (older spelling/form of 가까운)
듯키	듯이	As if (older spelling/form of 듯이)
차젓다	찾았다	Looked for, found (older spelling/form of 찾았다)
겻헤	곁에	Beside, nearby (older spelling/form of 곁에)
잇든	있던	Who were there (older spelling/form of 있던)
連해	연해	Repeatedly (older form of 연하여)
업시	없이	Without (older spelling/form of 없이)
어름어름하고	어름어름하고	Hesitatingly (older form)
잇는	있는	Being (older spelling/form of 있는)
잇섯다	있었다	Was/were (older spelling/form of 있었다)
맛치	마치	Just like, as if (older spelling/form of 마치)
십헛다	싶었다	Seemed, felt like (older spelling/form of 싶었다)
팔댁이	팔때기	Arm (colloquial/dialectal form of 팔)
잇글고	이끌고	Leading, dragging (older spelling/form of 이끌고)
업처질 듯	엎처질 듯	As if about to stumble/fall (older spelling/form of 엎어질 듯)
끗헤	끝에	At the end (older spelling/form of 끝에)
솔살거릴	속살거릴	To murmur, whisper (older form of 속삭거릴)
공논	공론	Discussion, public discourse
엇더케	어떻게	How (older spelling/form of 어떻게)
낫섯다	나섰다	Came to mind, arose (older spelling/form of 나섰다)
쪼끼여가는	쫓겨가는	Being chased away (older spelling/form of 쫓겨가는)
無産客	무산객	Propertyless person/passenger
어대엇넌고	어디였는고	Where was it? (older interrogative form)
뵈지도 안튼	뵈지도 않던	Was not even seen (older spelling/form of 보이지도 않던)
꿀어안는다	꿇어앉는다	Kneels down (older spelling/form of 꿇어앉는다)
니약이	이야기	Story, talk (older spelling/form of 이야기)
듯던	듣던	Who heard (older spelling/form of 듣던)
者	자	Person, you (archaic pronoun)
엇지	어찌	How, what (older form)
나렷다	내렸다	Got off (older spelling/form of 내렸다)
차자볼가	찾아볼까	Shall I try visiting/finding (older spelling/form of 찾아볼까)
켜레	켤레	Pair (counter for shoes, socks)
어더	얻어	Getting, obtaining (older spelling/form of 얻어)
것는다	걷는다	Walks (older spelling of 걷는다, though pronunciation implies '걷는다')
놉흔	높은	High (older spelling/form of 높은)
안팟글	안팎을	Inside and outside (older spelling/form of 안팎을)
넷	네	Your (possessive, older form, now 네 or 너의)
搖籃	요람	Cradle
점치여 잇고	점치여 있고	Are dotted, speckled (older form of 점찍혀 있고 or 점쳐 있고)
질니여 잇다	질려 있다	Are set up, installed (referring to fishing weirs)
직히는	지키는	Guarding, watching (older spelling/form of 지키는)
옴겨가는	옮겨가는	Moving, transporting (older spelling/form of 옮겨가는)
벗하야써	벗하여서	Befriending, as friends (older form of 벗하여서)
形喩	형유	Metaphor, figurative description
조흘가	좋을까	Would it be good? (older spelling/form of 좋을까)
령감이상	영감 이상	Old man (Japanese influenced term '이상' likely misheard 'o-jii-san' or similar, used alongside Korean '영감')
コンニチハ	곤니치와	Konnichiwa (Japanese greeting)
웃어우네	우스워하네	Finds it amusing/funny (dialectal/older form)
님자네	임자네	Your (possessive, familiar/dialectal form)
오마니두	어머니도	Mother, too (dialectal/older affectionate form)
어듸	어디	Where (older spelling/form of 어디)
되놈	되놈	Derogatory term for a Chinese person
세리	세리	Tax collector
威嚇	위하	Intimidation, threat
자조	자주	Frequently (older spelling/form of 자주)
轉輾	전전	Revolving, turning around
하루밤	하룻밤	One night (older spelling/form of 하룻밤)
잇틀	이틀	Two days
업섯다	없었다	Was not, did not exist (older spelling/form of 없었다)
卿黨	경당	Clan, extended family group
隣里	인리	Neighboring village/hamlet
붓잡아가며	붙잡아가며	Holding onto, detaining (older spelling/form of 붙잡아가며)
밧게	밖에	Only, outside of (older spelling/form of 밖에)
마럿다	말았다	Ended up doing, stopped (older spelling/form of 말았다)
웨	왜	Why (older spelling/form of 왜)
놉하가서야	높아가서야	Rising so high (older spelling/form of 높아 가서야)
시시한	시시한	Trivial, insignificant
백성	백성	The common people, subjects
짓느니	짓느니	Building this, building that (listing action)
성화가티	성화같이	Like urgent business, pressingly
바더갓겟지	받아갔겠지	Must have taken/received (older spelling/form of 받아갔겠지)
길	길	Measure of length (approx. height of a person)
쌋고	쌓고	Piling up, building (older spelling/form of 쌓고)
하라겟다	하라겠다	Orders/tells (someone) to do (older form)
權*	권*	Authority, power (likely 권세 or 권력 intended, character obscured/omitted)
두다려	두드려	Beating, hitting (older spelling/form of 두드려)
주것다	죽였다	Killed (implies severe beating, older form)
싸홈질	싸움질	Fighting, quarreling
올키여서	얽히어서	Becoming entangled/implicated (older spelling/form of 얽히어서)
懲役	징역	Imprisonment with hard labor
낫브게	나쁘게	Badly, wickedly (older spelling/form of 나쁘게)
업허야	엎어야	Must overturn (older spelling/form of 엎어야)
如出一口	여출일구	As if from one mouth (unanimously)
縷望	누망	A thin strand of hope, faint hope
곱집어	곱씹어	To chew over, to ask probingly (older spelling/form of 곱씹어)
져퍼한다	저어한다	To fear, be apprehensive (older form of 저어하다)
隱隱히	은은히	Secretly, implicitly, vaguely
맛기	맞기	To greet, welcome (older spelling/form of 맞이하기)
簞食壺醬	단사호장	Simple food (basket of rice) and drink (jar of sauce/wine); representing simple provisions or welcome
엇더한	어떠한	What kind of (older spelling/form of 어떠한)
엇지된	어찌된	What kind of, how it came to be (older form)
밋는다	믿는다	Believes (older spelling/form of 믿는다)
實말	실말	True word, truth (older form of 실말)
人心이 天心	인심이 천심	The people's heart is Heaven's heart (proverb)
오라버니	오라버니	Older brother (term used by females)
밧게는	밖에는	Other than, except for (older spelling/form of 밖에는)
업슴니다	없습니다	There is not (older spelling/form of 없습니다)
옵바	오빠	Older brother (term used by females, slightly more common than 오라버니)
헴들만큼	힘들만큼	To the point of difficulty (older spelling/form of 힘들만큼)
길너서는	길러서는	After raising (older spelling/form of 길러서는)
싀집	시집	Husband's home, marriage (for a woman) (older spelling)
죵	종	Servant, slave
늣겨 울엇다	느껴 울었다	Sobbed, wept emotionally (older spelling/form of 느껴 울었다)
안해	아내	Wife
며느리	며느리	Daughter-in-law
自安	자안	To comfort oneself, find solace
究意	구의	Ultimately, in the end
因果	인과	Karma, cause and effect
끔즉하게도	끔찍하게도	Terribly, dreadfully (older spelling/form of 끔찍하게도)
빗	빛	Light (older spelling/form of 빛)
흘니든	흘리던	Which was shedding/casting (older spelling/form of 흘리던)
따수한	따스한	Warm (older spelling/form of 따스한)
走馬看山	주마간산	Looking at flowers while riding a horse (idiom for a cursory glance/whirlwind tour)
어듬	얻음	Gain, acquisition (older spelling/form of 얻음)
써노흔	써놓은	Having written down (older spelling/form of 써놓은)
깁븜	기쁨	Joy, happiness (older spelling/form of 기쁨)
-e 

---------------------------


잡지명	개벽 제41호
발행일	1923년 11월 01일
기사제목	그것이 第一이더라, 초신 行脚의 엿새동안
필자	小春
기사형태	기행문

그것이 第一이더라, 초신 行脚의 엿새동안
						小春
쬬겨가는 三等客, 그는 돈 업고 권력 업는 朝鮮人老婦

10月 10日이라 기억된다. 그날 밤이다, 나는 安東縣까지 가는 파스를 가지고, 奉天行 열차를 탓다. 共進會의 손님 탓인지, 찻간은 각별하게 좁흔 모양이엿다. 그러나 내가 안즌 찻간에는, 뷔인 의자가 얼마라도 잇다. 다방머리 日本兒孩가, 슴슴하게도 이 의자에서 저 의자에 오고 가고 하엿다. 가 보진 못하엿스나, 그 다음 찻간(1等室)에는, 내가 안즌 간보다 뷔인 의자가 더 만하슬 것이다. 아니, 아조 한 사람의 승객도 태우지 아니한 空車이엿슬는지도 모른다.
차가 京城驛을 떠나기 바로 전이다. 무엇인지 한아름의 짐을 안은 늙은 부인 한 이, 나 잇는 간으로 뛰여 드러왓다. 아마 차시간을 노칠뻔 노칠뻔하게 와서 급한 마음에 爲先 갓가운 대로 드러오노란 것이 그러케 된 모양이다. 그 부인은 「이제는 되엿다」하는 듯키, 휘적휘적 자기의 안즐 자리를 차젓다. 그러나 이 일이 엇지 무사키를 바랄 수가 잇스리요, 겻헤잇든 日本人 승객들은 모다 서트른 朝鮮말로 「저리가 저리가」를 連해 부르는대, 무단히 이 의자로 저 의자에 오락가락하던 그 다방머리 日本兒孩는, 무슨 의식이 잇서 그러는지 업시 그러는지는 모르거니와, 자기 나라의 말로 「요보는 실쿠나, 요보는 실어-」하면서, 어름어름하고 잇는 그 부인의 뒤잔등을 밀고 잇섯다. 그 모양이 맛치, 그와 가튼 돈 업고 힘 업는 朝鮮부녀를 쪼차내이는 데는 자기도 한 목 참여할 權能이 잇다고 聲言하는 듯 십헛다. 그런대, 이 부인은 정말로 쪼차내일 사람(給仕)은 왓다, 「차표 보아」 하더니, 그는 데문보하고 그 부인의 팔댁이를 잇글고, 업처질 듯 업처질 듯 하는 그의 정경이야 알을 바가 잇스랴, 저＜92＞ 끗헤 차의 간으로 압송하는 셈이엿다.
三等客 한 사람을 쪼차보낸, 나 안즌 찻간은, 또 다시 고요하엿다. 「저리가 저리가」하던, 즉 그 여인을 쪼차내던 승객 그들이, 무엇이라고 솔살거릴 뿐이엿다. 아마 朝鮮사람에 대한 무슨 공논을 한 것이겟지.
차는 떠낫다. 얼마 안해서 車掌의 차표검사가 잇섯다. 내가 내여주는 차표를 보고는, 이상하게도 한참이나 나의 얼골을 처다본다. 마치 네가 엇더케 「이 표를 가젓느냐」하는 듯 십헛다. 그러나 표가 표이라 「저리가-」하는 말은 업섯다. 나는 그 순간에 앗가 쪼기여 가든 그 부인네 생각이 낫섯다. 아아 쪼끼여가는 三等客, 쪼끼여가는 無産客, 뷔인 間, 뷔인 자리가 여긔에 잇는대, 그대의 가는 곳이 어대엇넌고.

손바닥을 딱딱 치는 軍人, 아비는 甘粕인데 딸은 野枝

新安州驛을 지낼 때에는 벌서 아츰해가 환하게 떠섯다. 두 겹이나 되는 琉璃로 封鎖된 車室안에도 그 해볏만은 땃듯하게 듸리쪼엿다. 이 때이다. 내가 안즌 마조 편 의자에는, 어제 밤에는 뵈지도 안튼, 군복은 입엇스나 肩章도 아모 것도 달지 아니한 늙은이 한 분이 잇섯다. 지금, 막, 침대 속으로 튀여나온 것이엿다. 그는, 곳, 햇볏 몰녀드는 동편 창을 향하야 꿀어안는다, 손바닥을 딱딱 치면서, 한참이나 合掌黙禱를 한다. 나는 문득 문제의 甘粕大尉를 생각하엿다. 甘粕 그가 바로 東京刑務所를 탈출하야, 지금 이 자리에 안저, 이러케 합장하는 것이나 아닌가 십헛다. 그의 가족인지, 두어 개의 의자를 隔한 저 한편에는 日本부인 한 사람과 그의 딸가튼 13,4歲쯤 된 처녀 한 사람이 잇섯다. 이상하게도 그 처녀는 신문 한 장을 들고 잇는대, 그 신문은 甘粕大尉의 大杉榮慘殺事件을 詳報한 大阪每日의 號外이엇섯다. 그 처녀를 볼 때에는 문득, 伊藤野枝가 연상되엿다, 가튼 혈통을 가진 부녀에 잇서, 그 아비를 대할 때엔 甘粕을 생각하고, 그 딸을 대할 때엔 野枝를 생각한 것, 즉 정반대의 두 사람을 한 혈통의 부녀에게 대비한 것, 내 스스로의 생각에도 일종의 奇異를 느꼇다. 그러나 그 아비가 아츰에 일어나 손바닥을 울리는 一面에, 그 딸이 신문 호외를 들고 안젓는 한에는, 내의 생각도 그러케 잘못된 것은 아니겟지. 아비는 甘粕인대 딸은 野枝, 당신네들의 집안도 일로하야 야단이라지.
