잡지명	개벽 제43호
발행일	1924년 01월 01일
기사제목	歸路 (The Way Home)
필자	金石松
기사형태	시 (Poem)

歸路
						金石松

I, on the road where the North Wind pierces the flesh,
On the mountain path where tree after tree stands stark naked,
Treading on the faint light of the setting winter sun,
Every day around this time, I pass this way,
After finishing the meal-earning chore—which I hate doing but must volunteer for—
With hurried steps.

I, instead of cursing the light (光明),
Enjoy the darkness that others dislike.
No matter how good the daytime may be said to be,
It only binds my life.
Seeking the night of freedom, my home where I am my own master,
In order to commit what the world calls sin,
I hasten my steps every day—around this time.

However, sometimes, like today,
I stop my hurried steps and sink down onto the dry grass,
To listen to the sermon, which sounds like mockery,
Of a small bird sitting alone on a bare tree branch.

...There is no one in the world as fickle as a human.
Why wear clothes, why eat food? Those painful things,
You enjoy doing them, so whose fault do you blame?
Take off your mask! When you meet your own kind, do not shake hands.
Do not be friendly with others; be friendly only with yourself.
Discard the habit of lying.
Face (體面), System (制度), Morality (道德), Law (法律)—all these are your<223> finest lies....

...And, now in your heart,
The coming of the dark night—a time of freedom for you—
You may regard it as boundless, good fortune, but,
If that longed-for night were to last forever without dawning,
You would eventually plead for the coming of the hated daytime....

...Just as the attachment to life (生) arises from knowing that death (死) will come,
If there were no death (死), a boredom more terrifying than death would come to life (生)....

Right!, a fickle creature, man is an animal born to be fickle.
I can only answer this way.
Fickleness means the dynamism (躍動) of life (生), the flux (流轉) of all things (萬有),
I am about to get sick (生病) from not being able to be fickle.

There are those in the world who speak of heaven (천당).
But I desire hell (지옥).
If I have any consciousness after death,
I dislike a heaven like the workplace of life (生時), where only the spirits of pseudo-humans (似而非人), mechanically bowing and scraping like mummies (木乃伊) before God (上帝), are gathered!
To hell (지옥), where all the evil spirits (惡鬼) gather,
Who groaned in the painful hell even during life (生時),
Guilty of expressing human nature, crying out for freedom—
Assault (毆打), Arson (放火), Murder (殺人), Robbery (强盜), Adultery (姦淫), Rebellion (反抗),
I intend to go.

If I have any consciousness after death,
I intend to try shouting and running around as I please.
-(November 11th)-<224>
<223-224>

**Summary**

The poem "Gwiro" (The Way Home) by Kim Sŏk-song expresses a deep sense of weariness and alienation from the routines and hypocrisies of daily life, symbolized by the hated "meal-earning chore." The speaker finds solace and freedom only in the darkness of night, rejecting societal norms, morality, and law as mere "lies." Paradoxically, the speaker acknowledges human fickleness, recognizing that constant darkness or even an idealized heaven would become unbearable. Ultimately, the poem embraces this contradiction and culminates in a defiant desire for hell, seen not as punishment but as a realm of authentic, unrestrained existence, populated by those who rebelled against earthly constraints, in contrast to a sterile, subservient heaven. For historians, the poem is revealing of the profound existential angst and disillusionment potentially felt by intellectuals during the Japanese colonial period. The rejection of societal structures ("Face, System, Morality, Law") and the embrace of "sin" and "hell" can be interpreted as a coded critique of oppressive societal or colonial conditions, portraying a yearning for radical freedom and authenticity in a world perceived as fundamentally false and constraining.

**Named Entities**

金石松	김석송	Kim Sŏk-song

**Glossary**

北風	북풍	North Wind
어이는	에이는	Piercing (older spelling)
벍어벗은	벌거벗은	Naked, bare (older spelling)
빗	빛	Light (older spelling)
이만때이면	이맘때면	Around this time (older spelling/form)
하기실흔	하기 싫은	Unwilling to do, hateful to do (older spelling/form)
自請	자청	Volunteering for oneself
맛친뒤이면	마친 뒤면	After finishing (older spelling/form)
거름으로	걸음으로	With steps (older spelling)
光明	광명	Light, brightness
咀呪	저주	Curse
암흑	암흑	Darkness
질긴다	즐긴다	Enjoys (dialectal or older form of 즐기다)
낫동안	낮 동안	Daytime
좃타할지라도	좋다 할지라도	Even if it is good (older spelling)
차저서	찾아서	Seeking, looking for (older spelling)
짓기위하야	짓기 위하여	In order to commit/do (older spelling/form)
이따금이따금	이따금 이따금	Sometimes, occasionally
가티	같이	Like, as (older spelling)
말른풀우에	마른 풀 위에	On top of the dry grass (older spelling/form)
안기도	앉기도	Also sit down (older spelling)
호올로	홀로	Alone
안진	앉은	Sitting (older spelling)
갓기도한	같기도 한	Seems like, resembles (older spelling/form)
說敎	설교	Sermon
듯기	듣기	Listening, to listen (older spelling)
업다	없다	There is not, does not exist (older spelling)
끼리맛나거든	끼리 만나거든	If you meet among yourselves (older spelling/form)
말어라	말아라	Do not (older form)
그짓말	거짓말	Lie (older spelling)
내어바려라	내어 버려라	Throw away, cast off (older spelling/form)
體面	체면	Face, social standing
制度	제도	System, institution
道德	도덕	Morality
法律	법률	Law
上等	상등	First-class, finest
업시	없이	Without (older spelling)
조흔	좋은	Good (older spelling)
여기리라	여기리라	Will regard as
만은	만은	But, however (conjunction)
새이지안코	새지 않고	Without dawning (older spelling/form)
잇다하면	있다 하면	If it exists (older spelling/form)
마츰내	마침내	Finally, eventually (older spelling)
낫	낮	Daytime
애원하리라	애원하리라	Will plead, will implore
死	사	Death
生	생	Life
알음으로	앎으로	By knowing (older spelling)
애착	애착	Attachment
생기는 것가티	생기는 것같이	Just as it arises (older spelling/form)
권태	권태	Boredom, ennui
변덕쨍이다	변덕쟁이다	Is a fickle person (older spelling)
밧게는	밖에는	Except for, other than (older spelling)
躍動	약동	Dynamism, vibrant movement
萬有	만유	All things, the universe
流轉	유전	Flux, transmigration, constant change
부리지 못하야	부리지 못하여	Unable to be fickle / unable to exercise (whim) (older spelling/form)
생病	생병	Becoming ill (生 can mean 'get'/'acquire')
날지경이다	날 지경이다	Am about to get sick, on the verge of getting sick
천당	천당	Heaven
지옥	지옥	Hell
의식	의식	Consciousness
기계적으로	기계적으로	Mechanically
木乃伊	목내이	Mummy (using phonetically similar Hanja)
上帝	상제	God, Supreme Being
굽실거리기만하는	굽실거리기만 하는	Only bowing and scraping
似而非人	사이비인	Pseudo-human, fake person
모힌	모인	Gathered (older spelling)
生時	생시	During life, lifetime
밥버리터	밥벌이터	Place of earning a living ('meal-earning place')
실타	싫다	Dislike, do not want (older spelling)
毆打	구타	Assault, beating
