Magazine Title: 개벽 제47호
Publication Date: 1924년 05월 01일
Article Title: 文壇放語 (Casual Talk on the Literary World)
Author: 月灘
Article Type: 문예평론 (Literary Criticism)

文壇放語 (Casual Talk on the Literary World)
						月灘 (Wŏlt'an)
Tohyang's (稻香) writing is full of sentiment and emotion. Once one encounters his style, it evokes feelings of deep impression. However, one cannot deny that his technique (技巧) is inferior compared to Pinghŏ's (憑虛). When he takes up his pen and rushes onto the manuscript paper, is this what they call "flowing like a torrent for a thousand *li*"? But what about the loss incurred due to such hasty composition (速作)? If this is Tohyang's weakness (病통), is it just a small ailment?

Tongin's (東仁) writing is concise and forceful (簡勁). It has a unique charm (妙味) of its own. Especially in psychological description (心理描寫), he is currently second to none. Sangsŏp (想涉) once reviewed his *When He Barely Opens His Eyes* (『눈을 겨우 뜰 때』), saying that not only was its outline (輪廓) dim (朦朧), but it seemed held together by weak thread (弱한 실). However, this is Sangsŏp's misjudgment (誤評); whatever other flaws (欠) it might have, the outline is not like that. Whatever the case, it does not seem held together by double thread (겹실). I think it is held together by neat, white, soft silk thread (明紬실). Furthermore, the prose woven with the Northern Provincial dialect (北道方言) is beautiful.

Pinghŏ's (憑虛) writing is delicate, exquisite, rich, and glamorous (纖妙濃艶). His words draw the reader's soul, causing it to drift into a gentle realm of temptation (溫柔의 魔鄕). The intricacy of his description (描寫의 巧緻) - he has already achieved a mature, unique style (一家). However, there are superfluous words (贅言), and his talent exceeds his substance (才-實에 過하다).

Sangsŏp's (想涉) writing is plain, labored, and difficult (樸訥苦澁). Recently, he persistently wields his brush with a clear and lucid style (명쾌한 筆致). Within his labored difficulty, there was a unique kind of "strength" (『힘』). However, in his light and clever recent works (近作), one cannot see that strong "strength". Originally, his tedious and repetitive (冗漫重複) prose harmonized with difficulty and darkness (暗黑), but it is difficult for it to harmonize (諧調되기) with clarity, lightness, and cleverness (明快輕妙).

Kijin's (基鎭) essays (隨筆) have no equal (匹儔) nowadays. *Ruins of the Heart* (『마음의 廢墟』), *Pilgrimage of Tears* (『눈물의 巡禮』), "Promenade Sentimental" are his masterpieces (傑筆). His writing, refined (洗鍊듼) to the utmost degree, is like strung jewels (珠玉). The aching lamentation (痛哭) of his soul, painful to the point of fainting (昏絶 되도록), seems to pierce (사모치는 듯 하다) the highest heavens (九霄). I- have never cried reading someone else's writing before. However, reading *Ruins of the Heart*, how many times (몃 번인고) did I hold back tears (눈물을 먹음엇다)? His strong soul, his true soul, is capable (能히) of making people cry. I<138> want to see a novel written by this person's hand. I want to see a novel written by Kijin's hand.

Ch'unwŏn's (春園) writing cannot find its faded (시그 지낸) old form (舊容) of days past. The delicate, beautiful, graceful, and elegant (纖麗美雅) description found in *To Children* (『어린이에게』) and *The Heartless* (『無情』) cannot be seen in *Ka* (『嘉』) or *Hŏsaengjŏn* (『許生傳』). It is mediocre description (平平한 描寫) and unstimulating prose (刺戟 업는 문장). Is it because of old age (老大한 까닭이냐), or because of maturity (圓熟한 까닭이냐)? However, the creative works (創作) that have come out ceaselessly within the past year or so include the long novels *The Pioneer* (『先導者』), *Hŏsaengjŏn* (『許生傳』), and *The Gold Cross* (『金十字架』). Is this what they call "becoming more vigorous with age" (老當益壯)? One cannot help but be surprised (놀라지 안을 수 업다) by his energy (정력). However, I want to read more excellent works. I do not wish for mere excessive production (濫作만은).

Literary magazines (文藝雜誌)- none have published more than 10 issues. *Ch'angjo* (創造) published 9 issues. *P'yehŏ* (廢墟) published 2 issues. *Paekcho* (白潮) published 3 issues. *P'yehŏ Ihu* (廢墟以後) published 1 issue. *Kŭmsŏng* (金星) published 2 issues. Is it that the times are unfavorable (時-利치 안이 함이냐)? Is it that people's plans are not sincere (人의 謀- 忠치 못함이냐)? Closing my eyes on a quiet night (靜夜) and thinking, I toss and turn (轄輾反側), smile faintly and sadly (微悲笑), and merely (애오라지) feel stifled (膈譩할 뿐이다) in my heart (胸懷).

It has been 5 or 6 years since Sangch'un (常春) passed away (逝한지), and 3 years since Namgung (南宮) departed. Oh, sorrowful (설어라)! If those two talents (才士) had been allowed to have (하얏든들) 15 more years of life (壽命), perhaps they might have tensed (긴장케 하얏슬는지도) the atmosphere (공기) of this stagnant and slack (沈滯弛緩) literary world, even just a little.
Facing these difficult times (어려운 때), the thought of those who have already gone to the land of no return is most poignant (절실하다).

The lack of vitality (無活氣) in the poetry circle (詩壇)- has never been worse than now (이제보다 더 심함이 업다). We cannot see Yohan's (요한) poems, cannot hear Nojak's (露雀) poems, cannot see Sanghwa's (相和) poems, and Hoewŏl (懷月) is also the same.
These four gentlemen (4氏) are the leading champions (屈指의 驍將) of the poetry circle and the focal point (集点) of close attention (注視). Gentlemen (公等), are you already old (벌서 늙엇는가) though your ages (春秋) have not yet passed 30? Is your spirit discouraged (意氣-沮喪함이냐)? Or is it that you write much (作함이 만흐나) but deliberately (짐짓) do not publish (발표치 안이 함이냐)?

Ubo (牛步), Sunsŏng (瞬星), Sangat'ap (象牙塔) - where have the gentlemen (諸氏) who were once outstanding among their peers (鐵中의 錚錚이든) gone now (어대로 갓느냐)? Since *Ch'erŭk'assu* (『체르캇수』), there has been no news (音容) of them; since *Iron Mask* (『무쇠탈』), their trace (形影) has been lonely (적막하다). The masterpieces (名曲) of Sangat'ap (象牙塔) stopped long ago, and the Kingdom of <139> Earth (土의 王國) - where is it now (而今에 安在哉오)? Gentlemen (公等), why was your coming (來함이) so slow (더듸며), and your going (去함이) so fast (빠르뇨)? Rising like comets (彗星), you disappeared like shooting stars (流火).
And not just them. Where did Kim Hwan (金煥) go, where did Yi Il (李一) go, Yubang (唯邦), Kŭg'ung (克熊), Paengnam (白南), Hyŏnch'ŏl (玄哲) - there is utterly nowhere (茫然하다) to ask about them all (아울러). Ah- is this lonely literary world in the state described as "The wind and moon south of the river have been idle for many years" (江南風月閑多年)?

Poetry (詩)- is desolate (蕭條하고), and novels are also not prospering (繁榮치 못하지만은), but the fate (운명) of the theater world (劇壇) is even worse.
Hyŏnch'ŏl (玄哲) and Paengnam (白南) are silent (寂寂然), there is no sound (소리가 업고), and among playwrights (戱曲作者), only Unjŏng (雲汀) alone (외로히) guards the isolated castle (孤城).

Although it's not that I only now (이제야) realized anew (새삼스럽게) the lack of common sense (無常識) of bookstores (書肆), I cannot help but burst out laughing (腰折하지 안을 수 업다) at how thoroughly brazen (晏然이 철저한 데는) they are. An advertisement (광고) for *Hamlet* (『하믈레드』) translated (譯) by Hyŏnch'ŏl (玄哲) called it a "Literary Novel, Hamlet" (『文藝小說 하믈레트』). Isn't that too much (甚하지 안이하냐)? Tsk tsk (咄咄)! The translator (譯者)- should naturally (맛당이) negotiate (交涉하야) with the bookstore and get it corrected (訂正해 낼 것이다).

In this fallen (零落) and unfortunate (不遇) literary world, the only one who has met the trend of the times (時勢을 맛난) is No Ch'unsŏng (盧春城). With one stroke of the brush (一筆揮之), *Rebellion* (『反抗』) came out (나매), followed by reprint after reprint (重版 又 重版). Is this what they call making a fortune in the literary world (文壇成金)? No Ch'unsŏng, the lucky child (幸運兒) who made a fortune at one stroke (一攫千金), has again published splendid works such as *Flames of Love* (『사랑의 불꼿』) and *Eternal Dream* (『永遠의 夢想』), enough to make adolescent girls dreaming of love (懷春處女) yearn (애태을 만한). Don't be surprised (놀라지 마라)! *Flames of Love* alone went through 7 or 8 printings, breaking a record (기록을 돌파하얏다) unprecedented in the history (古未曾有) of the Chosŏn publishing world (朝鮮出版界). Seeing this, bookstores eager for profit (營利에 汲汲한 書肆) are trying to corner the market (판을 막으랴 하니) by imitating (模倣하야) *Flames of Love* with endless "Love" "Love" titles; this (이곳) is the advanced later form (진보된 後身) of the *Precious Letter Collection* (珠玉尺牘) genre. Do the times benefit (利롭게 함이냐) Ch'unsŏng, or does Ch'unsŏng, having realization (깨다름이 잇서), skillfully manipulate (籠絡함이냐) the times? From now on (以後란), how about writing (씀이 如何오) by imitating (모방하야) "Shall I sleep with you, or take 5,000 koku?" (『君と寢ようか五千石取ろか』)? We cannot help but feel pity (애닯어 하지 안을 수 업다) for our Ch'unsŏng.

Nowadays (요사이), poems are occasionally (間間이) published (실린다) in the Arts/Literature section (文藝欄) of the newly launched (새로히 創刊던) *Sidae Ilbo* (時代日報). Looking at them (보면은), many are unspeakably absurd (言語道斷) to be called poetry (詩). It seems they publish them with far too little selection (넘우도 選擇이 업시 실는 것 갓다) regarding poetry. Especially in the *Sidae Ilbo*, which is said to have many prominent literary figures (文人들로 손꼽는 이가 만타 하는)! I hope for reconsideration (一考를 바란다) from those in charge (當局한 이에).<140>

**Summary**

The author, Wŏlt'an, critiques several prominent contemporary Korean writers (Tohyang, Kim Tong-in, Hyŏn Chin-gŏn, Yŏm Sang-sŏp, Kim Kijin, Yi Kwang-su) on their style, strengths, and weaknesses. He laments the short lifespan of literary magazines, the inactivity of established poets and writers (including those associated with *Sangat'ap*), and the desolate state of the drama scene. He criticizes the commercialism exemplified by No Ch'unsŏng's popular success and the lack of critical standards in newspaper literary sections like the *Sidae Ilbo*. The article provides valuable insight into the Korean literary scene in 1924 under Japanese rule. Historians might find interest in the specific critiques of famous authors, the documented struggles of literary publishing, the lament for lost or inactive talent (potentially due to political or economic pressures), and the tension noted between artistic merit and popular commercial success in the colonial context.

**Named Entities**

稻香	도향	Tohyang
憑虛	빙허	Pinghŏ (Hyŏn Chin-gŏn)
東仁	동인	Tongin (Kim Tong-in)
想涉	상섭	Sangsŏp (Yŏm Sang-sŏp)
北道	북도	Pukto (Northern Provinces)
基鎭	기진	Kijin (Kim Kijin)
春園	춘원	Ch'unwŏn (Yi Kwang-su)
創造	창조	Ch'angjo (Magazine)
廢墟	폐허	P'yehŏ (Magazine)
白潮	백조	Paekcho (Magazine)
廢墟以後	폐허이후	P'yehŏ Ihu (Magazine)
金星	금성	Kŭmsŏng (Magazine)
常春	상춘	Sangch'un (O Sang-sun)
南宮	남궁	Namgung (Namgung Pyŏk)
요한	요한	Yohan (Kim Ŏk)
露雀	로작	Nojak (Chu Yo-han)
相和	상화	Sanghwa (Yi Sang-hwa)
懷月	회월	Hoewŏl (Pak Yŏng-hŭi)
牛步	우보	Ubo (Hwang Sŏk-u)
瞬星	순성	Sunsŏng (Yang Chu-dong)
象牙塔	상아탑	Sangat'ap (Ivory Tower - group/movement/publication)
玄哲	현철	Hyŏnch'ŏl (Kim U-jin)
金煥	김환	Kim Hwan
李一	이일	Yi Il
唯邦	유방	Yubang
克熊	극웅	Kŭg'ung
白南	백남	Paengnam (Pak Sŭng-hŭi)
雲汀	운정	Unjŏng (Kim Un-jŏng)
盧春城	노춘성	No Ch'unsŏng
朝鮮	조선	Chosŏn (Korea)
時代日報	시대일보	Sidae Ilbo (Newspaper)
江南	강남	Kangnam (South of the River - idiomatically, a place of leisure/inactivity)

**Glossary**

文壇放語	문단방어	Casual talk/remarks on the literary world
技巧	기교	Technique, skill
比하야	비하여	Compared to (older form of 비하여)
업다	없다	Not exist, be absent (older spelling of 없다)
一瀉千里	일사천리	Flowing like water for 1000 li (idiom: fluent, rapid writing)
速作	속작	Rapid composition
일허 버리는	잃어버리는	Losing (older spelling of 잃어버리는)
엇지	어찌	How, why (older spelling of 어찌)
病통	병통	Fault, weakness, ailment
簡勁	간경	Concise and forceful
隨一	수일	Number one, the best
일즉	일찍	Early, previously (older spelling of 일찍)
評하야	평하여	Commenting that (older form of 평하여)
輪廓	윤곽	Outline, contour
朦朧	몽롱	Dim, hazy
붓드러 매논	붙들어 매놓은	Tied up (older spelling/form)
갓다	같다	Like, as (older spelling of 같다)
誤評	오평	Misjudgment, wrong evaluation
欠	흠	Flaw, defect
그러치 안타	그렇지 않다	Is not so (older spelling/form)
산듯하고	산뜻하고	Neat, fresh, crisp (older spelling of 산뜻하고)
하연	하얀	White (older spelling of 하얀)
보드라운	부드러운	Soft (older spelling of 부드러운)
明紬실	명주실	Silk thread
짜노흔	짜놓은	Woven (older spelling/form of 짜놓은)
纖妙濃艶	섬묘농염	Delicate, exquisite, rich, and glamorous
魂	혼	Soul, spirit
낄어	끌어	Drawing, pulling (older spelling of 끌어)
溫柔	온유	Gentle and tender
魔鄕	마향	Bewitching place, realm of temptation
飄蕩케 한다	표탕케 한다	Makes one drift or wander
巧緻	교치	Skillful and intricate
圓熟	원숙	Mature, perfected
一家를 成하얏다	일가를 성하였다	Has formed/achieved a unique style/school (older form)
贅言	췌언	Superfluous words, redundancy
才-實에 過하다	재-실에 과하다	Talent exceeds substance
樸訥苦澁	박눌고삽	Simple, plain, labored, and difficult/astringent
强仍히	강잉히	Persistently, forcibly (older form/spelling of 강잉히)
筆致	필치	Writing style, touch
冗漫重複	용만중복	Tedious, diffuse, and repetitive
諧調되기	해조되기	To be harmonized
隨筆	수필	Essay, miscellaneous writing
匹儔	필주	Equal, peer
傑筆	걸필	Masterpiece (of writing)
洗鍊듼	세련된	Refined (older spelling of 세련된)
珠玉	주옥	Jewels, gems (metaphor for fine writing)
꿰여 논	꿰어 놓은	Strung together (older spelling of 꿰어 놓은)
昏絶 되도록	혼절되도록	To the point of fainting
쓰린	쓰린	Aching, painful (emotionally)
痛哭	통곡	Wailing, bitter lamentation
九霄	구소	Ninth heaven, highest sky
사모치는 듯 하다	사무치는 듯 하다	Seems to pierce deeply (older spelling of 사무치는)
젹이 업섯다	적이 없었다	Have never (done something) (older spelling of 적이 없었다)
몃 번인고	몇 번인고	How many times (older spelling/form of 몇 번인가)
먹음엇다	머금었다	Held back (tears) (older spelling of 머금었다)
能히	능히	Capably, able to
십다	싶다	Want to (older spelling of 싶다)
시그 지낸	시들게 지낸(?)	Faded, withered (interpretation based on context; spelling unclear)
舊容	구용	Old appearance, former state
차질 수 업다	찾을 수 없다	Cannot find (older spelling of 찾을 수 없다)
纖麗美雅	섬려미아	Delicate, beautiful, graceful, elegant
平平한	평평한	Flat, mediocre, commonplace
刺戟	자극	Stimulation, excitement, provocation
老大한	노대한	Aged, old
老當益壯	노당익장	Becoming more vigorous with age (idiom)
정력	정력	Energy, vigor
濫作	남작	Excessive production (of literary works), writing too much/too quickly
바라지 안는다	바라지 않는다	Do not wish for (older spelling/form)
時-利치 안이 함이냐	시-리치 아니 함이냐	Is it that the times are unfavorable? (older form)
人의 謀- 忠치 못함이냐	인의 모- 충치 못함이냐	Is it that people's plans are not faithful/sincere? (older form)
靜夜	정야	Quiet night
轄輾反側	할전반측	Tossing and turning unable to sleep (idiom)
微悲笑	미비소	Faintly sad smile
애오라지	애오라지	Only, merely, barely
胸懷	흉회	One's heart, mind, feelings
膈譩할 뿐이다	격의할 뿐이다	Just feels stifled, uncomfortable, oppressed
逝한지	서한지	Since (someone) passed away
설어라	설워라	Oh, sorrowful! (older exclamation form of 서럽다)
才士	재사	Talented person, gifted scholar
하야금	하여금	Letting, making (someone do something) (causative particle)
壽命	수명	Lifespan
갓게 하얏든들	갖게 하였던들	If (they) had been allowed to have (older conditional form)
沈滯弛緩	침체이완	Stagnation and slackness
긴장케 하얏슬는지도	긴장케 하였을는지도	Might have made tense (older conjectural form)
詩壇	시단	Poetry circle, poetry world
無活氣	무활기	Lack of vitality, lifelessness
屈指	굴지	Leading, prominent (literally: finger-bending to count)
驍將	효장	Brave general, champion, leading figure
公等	공등	You gentlemen (plural, formal, archaic)
春秋	춘추	Age (formal term, lit. spring and autumn)
벌서	벌써	Already (older spelling of 벌써)
늙엇는가	늙었는가	Have (you) grown old? (older spelling)
意氣-沮喪함이냐	의기-저상함이냐	Is (your) spirit discouraged/dejected?
作함이 만흐나	작함이 많으나	Though (you) write/create much (older form/spelling)
짐짓	짐짓	Intentionally, deliberately, pretendingly
발표치 안이 함이냐	발표치 아니 함이냐	Is it that (you) do not publish? (older negative question form)
鐵中의 錚錚	철중의 쟁쟁	Outstanding among peers (idiom: clang among iron)
이든	이던	Who were (older retrospective suffix)
諸氏	제씨	Gentlemen (plural, formal)
어대로 갓느냐	어디로 갔느냐	Where have (they) gone? (older spelling of 어디로)
音容	음용	News, tidings (lit. voice and appearance)
알 곳이 업고	알 곳이 없고	There is no way to know (older spelling)
形影	형영	Trace, sign (lit. form and shadow)
적막하다	적막하다	Lonely, desolate, silent
名曲	명곡	Masterpiece (usually music, here applied to poetry/literature)
끄친지	그친지	Since stopping/ceasing (older spelling of 그친지)
오래엿고	오래였고	It has been long, and... (older spelling of 오래였고)
而今에 安在哉오	이금에 안재재오	Where are they now? (Classical Chinese phrase)
來함이	옴이	Coming (noun form from 오다, older spelling/form)
더듸며	더디며	Slow, and... (older spelling of 더디며)
去함이	감이	Going (noun form from 가다, older spelling/form)
빠르뇨	빠르뇨	Fast? (older interrogative ending)
彗星	혜성	Comet
가티	같이	Like, as (older spelling of 같이)
流火	유화	Shooting star, meteor
스러지도다	사라지도다	Disappear! (older literary/exclamatory form)
茫然하다	망연하다	Vast and unknown, blank, absent-minded
江南風月閑多年	강남풍월한다년	The wind and moon south of the river have been idle many years (idiom/quote implying inactivity)
格인가	격인가	Is it the situation/case?
蕭條하고	소조하고	Desolate, bleak, deserted
繁榮치 못하지만은	번영치 못하지만은	Does not prosper, but... (older negative form)
劇壇	극단	Theater world, drama circle
寂寂然	적적연	Silently, quietly, desolately
오즉	오직	Only (older spelling of 오직)
戱曲作者	희곡작가	Playwright
외로히	외로이	Alone, solitarily (older spelling of 외로이)
孤城	고성	Isolated castle (metaphor for a solitary position)
직힐 뿐	지킬 뿐	Only guards/defends (older spelling of 지킬)
書肆	서사	Bookstore, bookshop
無常識	무상식	Lack of common sense
넘우도	너무도	Too much, excessively (older spelling of 너무도)
晏然	안연	Calmly, placidly (here implies brazenness, nonchalance)
腰折	요절	Burst out laughing, double over (idiomatic usage?)
咄咄	돌돌	Tsk tsk, tut tut (sound/exclamation of disapproval or amazement)
맛당이	마땅히	Naturally, properly, deservedly (older spelling of 마땅히)
交涉하야	교섭하여	Negotiating, dealing with (older form of 교섭하여)
訂正하다	정정하다	To correct, rectify
零落	영락	Decline, fall, ruin
不遇	불우	Misfortune, adversity, lack of recognition
時勢	시세	The trend of the times, current situation
一筆揮之	일필휘지	With one stroke of the brush (idiom: writing quickly and effortlessly)
나매	나매	As it came out, upon emerging (older conjunctive ending)
重版 又 重版	중판 우 중판	Reprint after reprint
文壇成金	문단성금	Making a fortune in the literary world (likely coined term)
一攫千金	일확천금	Making a fortune at one stroke (idiom)
幸運兒	행운아	Lucky person, child of fortune
懷春處女	회춘처녀	Adolescent girl dreaming of love (lit. spring-harboring maiden)
애태을 만한	애태울 만한	Enough to make anxious/yearn (older spelling of 애태울)
