Magazine Title: 개벽 제50호
Publication Date: 1924-08-01
Article Title: 京城의 藩屛인 高陽郡 (Koyang County, Protective Screen of Kyŏngsŏng)
Author: Not specified
Article Type: 소식 (News/Information)

Koyang County, Protective Screen of Kyŏngsŏng

This county was originally Koguryŏ's Talŭlsŏng-hyŏn. After undergoing several changes thereafter, it was first called Koyang-hyŏn in the 13th year of Yi Dynasty's King T'aejong, was elevated to a county (Gun) in the 2nd year of King Sŏngjong, and further, at the time of the prefecture and county mergers and abolitions in the 13th year of Taishō (1924), it incorporated 8 myeon from Kyŏngsŏng Prefecture and 1 myeon from Yangju County, establishing its districts with 12 myeon: Yonggang, Yŏnhŭi, Ŭnp'yŏng, Sindo, Wŏndang, Chido, Chung, Songp'o, Pyŏktche, present-day Sungin, [*do] (Yeouido), and Hanji. (Its old names are Kobong, Haeng, Kaebaek, Uwang, Wangbong, Tŏkyang).

Its area is 29 square ri; its breadth* is 10 ri east to west and 7 ri north to south. Its borders meet Yangju to the northeast, P'aju to the west, and face Sihŭng County and Kimpo County across the Han River to the south. Regarding topography, besides Pukhansan Mountain soaring in the north, hills undulate everywhere, but the 8 myeon adjacent to the Han River coast are convenient for irrigation, suitable for farming, and also have the convenience of water transport, though avoiding flood damage each year is not infrequent. The number of households is 24,360 (Koreans 13,673, Japanese 612, Foreigners 75), and the population is 124,176 (Koreans 121,603, Japanese 2,304, Foreigners 269). By occupation, farmers are the most numerous, followed by industry and commerce.

As this county is adjacent to Kyŏngsŏng Prefecture, various institutions are relatively well-equipped. Primary educational institutions include Chosŏn University, Yŏnhŭi College, 6 public common schools, 4 elementary schools (for Japanese), 11 private schools, and a public agricultural school. Also present are the Kyŏnggi Province Seedling Farm, the Kyŏnggi Province Sericulture Seed Production Center from Imperial Grant Land (恩賜授産京畿道蠶種製造所), the Government-General of Korea Industrial Promotion Model Farm [*do] Horticulture Branch (朝鮮總督府勸業模範場*島園藝支場), the Central Experiment Station Brewing Experiment Station, the Forestry Experiment Station, the Kyŏngsŏng Water Supply Source Police Box, and others. Famous spots include Uidong (also known as Aeng'undong) and Ogari, renowned domestically and internationally as cherry blossom 명소 (famous places); Ch'ŏngnyangni with its pleasant green shade; Chŏngnŭngni and Nokpan-ri, famous places for medicinal water; Sech'ŏmjŏng, pleasant for its water and rocks; Pukhansan; Sŏngbuktong; besides these, [*do] (Yeouido) (also known as Chŏjado), Yulto, Kongdŏk-ri, Sŏgang, Nogosan, Chin'gwansa Temple, Yŏngdosa Temple, Chŏngt'osa Temple, and Pongwŏnsa Temple are the most prominent. As for historic sites, Haengju Fortress (with the victory monument of General Kwŏn Yul), one of the three great victory sites during the Imjin War, and Pyŏktche Station, where Yi Yosong suffered defeat, are famous. Furthermore, on Taejasan Mountain, there is the tomb of the loyal Koryŏ subject General Ch'oe Yŏng and the tomb of Lady Kul, a palace lady of the Sungjŏng era. Because grass reportedly still does not grow on Ch'oe Yŏng's tomb, it is called Chŏktchung (Red Mound); the line from Tongch'angju's poem, "高陽餘古墓 春草不敢生" (In Koyang, on the remaining old tomb, spring grass dares not grow), refers precisely to this. <75>

**Summary**

This 1924 article describes Koyang County, located adjacent to Kyŏngsŏng (Seoul), detailing its history, geography, administration (12 myeon), demographics (population breakdown by Koreans, Japanese, foreigners), economy (mostly agriculture), educational institutions (including Chosŏn University and Yŏnhŭi College), various governmental/research facilities (agricultural, forestry, brewing stations), and notable scenic spots and historical sites like Haengju Fortress and Ch'oe Yŏng's tomb. From a colonial history perspective, the article is interesting for its demographic data showing Japanese and foreign populations, the mention of Japanese colonial institutions like the Government-General's Model Farm and elementary schools likely for Japanese children alongside Korean schools, and the reference to "Imperial Grant Land" (恩賜授産) for a sericulture center, reflecting Japanese colonial economic and administrative presence integrated into the description of the county. Historians might find the detailed list of institutions, population statistics, and the description of Koyang's role relative to the colonial capital Kyŏngsŏng useful.

**Named Entities**

京城	경성	Kyŏngsŏng
高陽郡	고양군	Koyang-gun
高句麗	고구려	Koguryŏ
達乙省縣	달을성현	Talŭlsŏng-hyŏn
李朝	이조	Yi Dynasty
太宗	태종	T'aejong
成宗	성종	Sŏngjong
大正	대정	Taishō
京城府	경성부	Kyŏngsŏng Prefecture
楊州郡	양주군	Yangju-gun
龍江	용강	Yonggang
延禧	연희	Yŏnhŭi
恩平	은평	Ŭnp'yŏng
神道	신도	Sindo
元堂	원당	Wŏndang
知道	지도	Chido
中	중	Chung
松浦	송포	Songp'o
碧蹄	벽제	Pyŏktche
崇仁	숭인	Sungin
*島	*도	[*do] (likely Yeouido)
漢芝	한지	Hanji
高峰	고봉	Kobong
幸	행	Haeng
皆伯	개백	Kaebaek
遇王	우왕	Uwang
王峯	왕봉	Wangbong
德陽	덕양	Tŏkyang
楊州	양주	Yangju
坡州	파주	P'aju
漢江	한강	Han River
始興郡	시흥군	Sihŭng-gun
金浦郡	김포군	Kimpo-gun
北漢山	북한산	Pukhansan
朝鮮大學	조선대학	Chosŏn University
延禧專門學校	연희전문학교	Yŏnhŭi College
京畿道	경기도	Kyŏnggi Province
京畿道種苗場	경기도종묘장	Kyŏnggi-do Chongmyojang (Kyŏnggi Province Seedling Farm)
恩賜授産京畿道蠶種製造所	은사수산경기도잠종제조소	Ǔnsa Susan Kyŏnggi-do Chamjong Chejoso
朝鮮總督府勸業模範場*島園藝支場	조선총독부권업모범장*도원예지장	Chōsen Sōtokufu Kwŏnŏp Mobŏmjang [*do] Wŏnye Chijang
中央試驗所	중앙시험소	Chungang Sihŏmso (Central Experiment Station)
釀造試驗場	양조시험장	Nyangjo Sihŏmjang (Brewing Experiment Station)
林業試驗場	임업시험장	Imŏp Sihŏmjang (Forestry Experiment Station)
京城水道水源池派出所	경성수도수원지파출소	Kyŏngsŏng Sudo Suwŏnji P'ach'ulso (Kyŏngsŏng Water Supply Source Police Box)
牛耳洞	우이동	Uidong
櫻雲洞	앵운동	Aeng'undong
五加里	오가리	Ogari
淸凉里	청량리	Ch'ŏngnyangni
貞陵里	정릉리	Chŏngnŭngni
綠磻里	녹반리	Nokpan-ri
洗釰亭	세검정	Sech'ŏmjŏng
城北洞	성북동	Sŏngbuktong
楮子島	저자도	Chŏjado (Old name for Yeouido)
栗島	율도	Yulto
孔德里	공덕리	Kongdŏk-ri
西江	서강	Sŏgang
老姑山	노고산	Nogosan
津寬寺	진관사	Chin'gwansa
永道寺	영도사	Yŏngdosa
淨土寺	정토사	Chŏngt'osa
奉元寺	봉원사	Pongwŏnsa
幸州城	행주성	Haengju Fortress
權慄	권율	Kwŏn Yul
碧蹄驛	벽제역	Pyŏktche Station
李如松	이여송	Yi Yosong
大慈山	대자산	Taejasan
崔瑩	최영	Ch'oe Yŏng
崇禎宮人 屈氏	숭정궁인 굴씨	Sungjŏng Kungin Kul Ssi (Palace Lady Kul of the Sungjŏng era)
東滄洲	동창주	Tongch'angju

**Glossary**

藩屛	번병	Protective screen; barrier (referring to Goyang's location relative to Seoul)
屢度	누도	Several times; repeatedly
經하야	경하여	Passing through; via (Older form of 경하여)
칭하다가	칭하다가	Being called; named as
府郡廢合	부군폐합	Prefecture and county mergers and abolitions
편입하야	편입하여	Incorporating; annexing (Older form of 편입하여)
정하얏다	정하였다	Decided; established (Older form of 정하였다)
古號	고호	Old name(s)
方里	방리	Square ri (a traditional unit of area)
疆界	강계	Boundary; border
隔하야	격하여	Across; separated by (Older form of 격하여)
지세	지세	Topography; terrain
聾出한	용출한	Soaring; protruding (Likely a typo for 聳出한)
기복하얏스나	기복하였으나	Undulate; rise and fall (Older form of 기복하였으나)
灌漑	관개	Irrigation
適宜하고	적의하고	Being suitable; appropriate
水運	수운	Water transport
不少하다	부소하다	Not infrequent; considerable
戶口	호구	Number of households
朝人	조인	Korean(s) (Term used during the colonial period)
日人	일인	Japanese person/people (Term used during the colonial period)
其次는	기차는	Next is; followed by
