Magazine Title: 개벽 제52호
Publication Date: 1924년 10월 01일
Article Title: 「資本的 經畧의 好機」 (A Good Opportunity for Capitalist Strategy)
Author: Not specified
Article Type: 논설 (Editorial/Op-ed)

"A Good Opportunity for Capitalist Strategy"
Kiminyŏn! There was a drought in the past Kiminyŏn (1919), and now, in this Kapcha year (1924), there is a drought again. At that time, Sŏsŏn (Western Korea) was the most severe, but this time, Samnam (the three southern provinces) is the most severe.
Since the autumn harvest has not yet been done, it's impossible to know the exact details, but according to general estimation, compared to an average year's farming, Chŏnbuk (North Chŏlla) is expected to see about a 40% decrease, Ch'ungnam (South Ch'ungch'ŏng) and Kyŏngbuk (North Kyŏngsang) about a 30% decrease, and through all the other provinces, an average decrease of about 25% is predicted. Calculated just for rice, this amounts to a decrease of approximately 3 million *sŏk* or more. — (An average year's rice production for all of Chosŏn is about 15 million *sŏk*).

An average 25% reduction in harvest—a farming household that harvested 20 *sŏk* will harvest 15 *sŏk*. Thinking like this, this year's drought might not seem like such a problem. As Governor-General Saitō stated, "Everyone is making a fuss as if there's great damage from this year's drought, but in reality, it is minor," one might conclude.
However, what is the actual situation for farming households regarding this? As one can generally imagine, the poor people of our farming villages, even in normal times when the year's harvest is not an issue, have about 60% of their income taken by landlords. Besides that, they pay taxes, perform corvée labor, cover household expenses, and ultimately find it difficult to retain even half a year's worth of food grain. For farming households with lingering debt (宿債), the day of threshing becomes the day of bankruptcy. Regardless of whether the year's harvest is bountiful or poor, they have long been standing on the brink of starvation <1>, so even if the degree of the unexpected drought is merely a minor 25% (a 25% reduction itself is not minor, but let's say it's minor as they claim), for those already suffering from a man-made drought, no, a famine caused by the system, it is adding frost to snow, a fatal blow. In other words, if someone normally eats rice gruel for breakfast and rice for dinner, even if 25% is deducted from their usual food supply, they could survive by eating rice gruel for both breakfast and dinner. But for those who normally live on rice gruel for breakfast and rice gruel for dinner, if about 25% is deducted from their sustenance, they will have no choice but to starve to death.

According to recent statistics, out of Chosŏn's total of over 2.7 million farming households (population over 14 million), there are over 99,000 landlord households living well without lifting a finger, over 530,000 self-cultivating farmer households, and over 2.7 million tenant farmer households (including those who are both tenants and self-cultivators). This means that 16,000-odd households [mistake in the original number compared to the preceding figures, likely meant a larger subset of the 2.7M tenant farmers] encompassing 5.6 million poor people will fall into dire straits where they cannot even boil gruel water. Look! What do the swelling bands of beggars everywhere truly signify, and what does the report of 450,000 poor people in the Kimje region of Chŏnbuk eating only one meal a day explain? If it is like this already in early autumn, what will the clamor of this famine truly be like by the time winter passes and the lean spring of next year arrives?
Nevertheless, the so-called governing authorities say that this drought is actually minor, and regarding this, there is nothing more to consider other than having landlords and local offices arrange some degree of assistance. Later, only after Administrative Superintendent Shimooka personally observed the southern Korean region is there word that water conservancy projects will finally be initiated. Their only real concern is, "Even during the Kiminyŏn drought, 3 million *sŏk* of rice <2> were shipped out to Japan proper; how many million *sŏk* of rice should be sent to Japan during this year's drought?" Another concern is to use today, when food (in other words, money) is dear and people are cheap, to push forward their inherent hidden agenda—the capitalist strategy—even more vigorously, whether through water conservancy, railways, money-lending, or any other means. Look! What did Fujii Kantarō, the great king of paddy field management (the sole method of land strategy in Chosŏn) in Chosŏn today, say? Through some Japanese-language newspaper, he stated:
"A time of drought like this is precisely a good opportunity to promote water conservancy projects. We intend to follow the authorities' policy to the end, overcome all difficulties, and expand ever more!" etc., etc. Well—what truly is their scheme?
It is a time like this. In times like these, the have-nots become further entangled in the chains of the haves. In times like these, the capitalist class can more easily expand its power, and they do so under the many fine-sounding names of relief, charity, new project plans, and so forth.

Even if chased by a tiger, keep your wits about you, they say. Especially in difficult times like these, we, the populace, need to open our eyes wide. Are our current hardships caused simply by a famine of heavenly making, or by a famine of human (systemic) making? Does the true path to escaping this difficulty lie in looking up to the relief provided by the propertied class or the governing authorities who support them, or does it lie in urging the fundamental awakening of the populace itself? Whatever we do, we must first obtain the correct answer to such questions. Countermeasures for the famine are a matter for afterwards. <3>

**Summary**

This 1924 editorial from *Kaebyŏk* magazine discusses a severe drought hitting southern Korea, arguing that while officials downplay its severity (claiming only a 25% average crop reduction), it's a devastating blow to tenant farmers already impoverished by landlords and systemic exploitation. The author criticizes the government's minimal response and highlights the cynical view of Japanese capitalists, exemplified by Fujii Kantarō, who see the drought as a "good opportunity" to advance their "capitalist strategy" (water projects, land acquisition, etc.) while food is scarce and labor cheap. The article concludes by urging the Korean populace to recognize the systemic, man-made nature of their suffering, rather than just blaming nature, and to find solutions through collective awakening rather than relying on relief from the ruling class or capitalists. From a historical perspective, the article is significant for its sharp critique of Japanese colonial economic policy, exposing the perception of natural disasters as opportunities for capitalistic expansion and resource extraction (rice exports despite famine). It vividly portrays the dire socio-economic conditions of Korean tenant farmers under colonial rule and reflects a burgeoning nationalist consciousness calling for self-awareness and resistance against systemic exploitation disguised as development or aid.

**Named Entities**

己未年	기미년	Kiminyŏn (1919)
甲子	갑자	Kapcha (1924)
西鮮	서선	Sŏsŏn (Western Korea)
三南	삼남	Samnam (Three Southern Provinces: Ch'ungch'ŏng, Chŏlla, Kyŏngsang)
全北	전북	Chŏnbuk (North Chŏlla Province)
忠南	충남	Ch'ungnam (South Ch'ungch'ŏng Province)
慶北	경북	Kyŏngbuk (North Kyŏngsang Province)
朝鮮	조선	Chosŏn (Korea)
齊藤總督	제등총독	Saitō Sōtoku (Saitō Makoto, Governor-General)
下岡 政務摠監	하강 정무총감	Shimooka Seimu Sōkan (Shimooka Chūji, Administrative Superintendent)
日本	일본	Ilbon (Japan)
金堤	김제	Kimje
藤井寬太郞	등정관태랑	Fujii Kantarō

**Glossary**

經畧	경략	Strategy, management plan (often military or economic)
가뭄	가뭄	Drought
秋收	추수	Autumn harvest
仔細히	자세히	In detail (older spelling of 자세히)
平年	평년	Average year, normal year
農事	농사	Farming, agriculture
約	약	Approximately
割	할	Percentage unit (e.g., 4割 = 40%)
減收	감수	Decrease in harvest/yield
米穀	미곡	Rice grain
石	석	Sŏk (unit of volume, approx. 180 liters)
農家	농가	Farming household
旱魃	한발	Drought
輕微	경미	Minor, slight
實際	실제	Reality, actual situation
景狀	경장	State of affairs, situation
農村	농촌	Farming village
細民	세민	Poor people, commoners
年事	연사	Year's farming, annual harvest condition
所得	소득	Income
地主	지주	Landlord
稅金	세금	Taxes
夫役	부역	Corvée labor, compulsory labor service
結局	결국	Ultimately, in the end
農糧	농량	Food grain, provisions
즉음밋빗 (宿債)	묵은빚 (숙채)	Old debt, lingering debt (宿債 is Hanja for 'old debt', 즉음밋빗 is an older vernacular spelling/pronunciation)
打穀	타곡	Threshing (grain)
破産	파산	Bankruptcy
豊凶	풍흉	Good harvest or bad harvest
不關	불관	Regardless of
飢餓	기아	Starvation, hunger
人爲	인위	Man-made, artificial
制度	제도	System, institution
飢饉	기근	Famine
雪上加霜	설상가상	Adding frost to snow (idiom: making a bad situation worse)
致命患	치명환	Fatal blow, deadly affliction
朝飯 夕粥	조반 석죽	Rice for breakfast, gruel for dinner (implying a decent standard of living)
延命	연명	Sustain life, prolong life
統計	통계	Statistics
戶	호	Household (counter)
自作農	자작농	Self-cultivating farmer, owner-farmer
小作農	소작농	Tenant farmer
窮境	궁경	Dire straits, extreme poverty
乞人	걸인	Beggar
爲政當局	위정당국	Governing authorities
周旋	주선	Arrangement, good offices, mediation
水利事業	수리사업	Water conservancy project, irrigation project
니르키다	일으키다	To start, initiate, cause (older spelling of 일으키다)
唯一	유일	Only, sole
用心	용심	Concern, mind, intention (here implies hidden motive)
內地	내지	Mainland (referring to Japan proper from Korea)
移出	이출	Export, ship out
貴하다	귀하다	To be precious, valuable, dear
賤하다	천하다	To be lowly, cheap, base
鐵道	철도	Railway
放債	방채	Money-lending
固有	고유	Inherent, intrinsic
腹案	복안	Hidden plan, secret intention
資本的	자본적	Capitalistic
層	층	Layer, level, degree (used here as 'more', 'further')
힘것	힘껏	With all one's strength (older spelling of 힘껏)
水田	수전	Paddy field, rice paddy
經營	경영	Management, administration
促進	촉진	Promotion, acceleration
好機	호기	Good opportunity
方針	방침	Policy, course of action
쪼차서	쫓아서	Following, pursuing (older spelling of 쫓아서)
萬難	만난	All difficulties
排하다	배하다	To exclude, push aside, overcome
益益	익익	More and more, increasingly
伸展	신전	Expansion, extension
作定	작정	Intention, plan, determination
作策	작책	Scheme, plot, strategy
업는 사람	없는 사람	Person who has nothing, the have-not (older spelling of 없는)
사슬	사슬	Chains, shackles
얼키우다	얽히우다	To become entangled (passive form of 얽다, older spelling)
資本級	자본급	Capitalist class
容易히	용이히	Easily
勢力	세력	Power, influence
펼치다	펼치다	To spread, unfold, exert
救濟	구제	Relief, aid
慈善	자선	Charity
美名	미명	Fine-sounding name, pretext
범	범	Tiger
물녀가도	물려가도	Even if bitten and dragged away (older spelling of 물려가도)
精神	정신	Spirit, mind, consciousness
民衆	민중	The populace, the masses
單純한	단순한	Simple
天爲	천위	Act of Heaven, natural cause
因하다	인하다	To be caused by, due to
根本的	근본적	Fundamental
覺悟	각오	Awakening, realization, resolution
促하다	촉하다	To urge, press, hasten
正答	정답	Correct answer
어더야 한다	얻어야 한다	Must obtain, must get (older spelling of 얻어야)
對策	대책	Countermeasure, plan
然後事	연후사	A matter for afterwards, something to be dealt with later
-e 

---------------------------


잡지명	개벽 제52호
발행일	1924년 10월 01일
기사제목	「資本的 經畧의 好機」
기사형태	논설

「資本的 經畧의 好機」
己未!, 지난 己未年에 가뭄이 들더니, 今年 甲子에, 또, 가물이 들엇다. 그 때에는 西鮮이 第一 甚하더니, 이번에는 三南이 第一 甚하다.
