**Header Section:**
Magazine Title: 개벽 第五十四號
Publication Date: 1924년 12월 01일
Article Title: 咸南列邑大觀, 咸南 首府인 咸興郡 (A Grand View of Hamnam's Towns: Hamhŭng County, the Capital of Hamnam)
Article Type: 소식 (News/Report)

**Body Text Translation:**
A Grand View of Hamnam's Towns: Hamhŭng County, the Capital of Hamnam

If one climbs Moranbong Peak and looks out over the entire view of P'yŏngyang, the rivers, mountains, pavilions, and city streets are all bright, beautiful, and splendid, like a lightly made-up beauty holding fully bloomed flower branches and smiling gently in the spring breeze. Unconsciously, affection naturally attaches, love arises, and one feels unable to leave even if intending to. However, if one climbs Pallyongsan Mountain and looks out over the entire view of Hamhŭng, vast fields and imposing mountains spread out indistinctly in all directions, like the unpredictable transformations of wind and clouds from a deep forest where tigers roar and a great marsh where dragons hide. Its vastness and loftiness cannot be captured and described in words. Hamhŭng is truly the magnificent capital of Hamnam. No, in some respects, it is the magnificent capital of Chosŏn. The poem by Master Kim Ch'anghyŏp (金昌協), "Heaven made Hamhŭng magnificent in the north, lush and auspicious energy in old Namyang. Green mountains all embrace the famous pavilion, emerald waters wind through the long market town..." eloquently describes the scenic beauty of Hamhŭng. This Hamhŭng is located in the central, slightly southern part of Hamgyŏngnam-do, bordered by Hongwŏn County to the east, Chŏngp'yŏng County to the southwest, facing the vast blue sea to the southeast, partially bordering Yŏngwŏn County of P'yŏngannam-do to the west, and bordering Changjin and Sinhŭng Counties to the north. It is the location of the Hamnam provincial office. Its breadth is about 15 *ri* 18 *chō* north-south, about 7 *ri* 18 *chō* east-west, with a total area reaching about 116 square *ri*. Geographically, the east, west, and north sides consist of undulating mountains (Nangnim Mountain Range) with little flat land, but the southwest is a vast plain, forming the so-called Hamhŭng Plain, whose area indeed reaches 28 square *ri*. The land is also fertile. Within the county, the Sŏngch'ŏn River (originating from Hwap'a-ryŏng Pass in Kapsan), Yŏwich'ŏn Stream, and Horyŏn River flow through, facilitating irrigation. The coastline extends for 14 *ri*, featuring the anchorages of Sŏhojin and T'oejo Bay. Notable islands include the two islands of Taejin and Sojin. Hamhŭng, possessing such geographical features, has historically been a strategic stronghold of the northern frontier (北關) with a rich history. It is the site where the Okchŏ tribes were active in ancient times, becoming the Hyŏnt'o Commandery <72> during the Han Dynasty, Namokchŏ of Koguryŏ, Nanhai Prefecture of Parhae, Hallanjŏn of the Jurchen, and Hallan Circuit (合懶路) of the Jin Dynasty. During the reign of King Yejong of Koryŏ, it temporarily became the Hamju Grand Protectorate (咸州大都 護府) (after Yun Kwan defeated the Jurchen and acquired this land), then became the Halan Prefecture (哈蘭府) under the Yuan Dynasty before being annexed to Ssangsong (Yŏnghŭng). During King Kongmin's reign, it was recovered and variously administered as a *chijusa* (知州事), *manhobu* (萬戶府), or *mok* (牧) (Yi T'aejo fought the Yuan and recovered the land). The county's old names are Hamju, Hamp'yŏng, and Hamsan. It began to be called Hamhŭng from the 16th year of King T'aejong of the Yi Dynasty, and the governor's main camp (監司의 本營) was also established from that time. Since then, there have been numerous changes. During the county consolidation (郡廢合) in Taishō 3 (1914), the area north of Kap'yŏng-myŏn was ceded to Sinhŭng County, and Sŏt'oeho-myŏn of former Hongwŏn County was merged with Hamhŭng-myŏn and 18 other *myŏn* to form the current Hamhŭng County. It comprises a total of 20 *myŏn*, 395 *tong* and *ri*, with a total household count of 26,069 (1,385 Japanese, 84 other foreigners) and a population of 159,480 (4,558 Japanese, 274 other foreigners).

Transportation is convenient by both land and water. On land, first and second-class roads within the county extend over 320 *ri*, allowing for oxcarts, horse carts, and automobiles. Moreover, the so-called Hamgyŏng Line, the main artery of northern Chosŏn, runs longitudinally north and south, with the station located at the eastern end of the town. To the south, it connects to Wŏnsan (77 *ri*) and Kyŏngsŏng (approx. 217 *ri*), and to the east, it connects to T'oejo (19 *ri*). Furthermore, the line from T'oejo to Yanghwa Market in Pukch'ŏng was opened on October 11th of this year, marking a new era in Hamhŭng's transportation. In addition, a forestry railway managed by Japan's Imperial Coal Company (帝國炭業株式會社), with a capital of 20 million won, runs along the Sŏngch'ŏn River northwest to Oro-ri (9 *ri*). There are plans to lay several hundred *ri* of railway through Changjin County to Huch'ang County in P'yŏnganbuk-do, eventually crossing the Amnok River to reach Fengtian, the center of South Manchuria. This line is crucial not only for the Hamhŭng economy but for the entire economy of northern Chosŏn. Furthermore, by sea, via Sŏhojin (about 30 *ri* by land), the only seaport here, there are frequent steamships traveling north to Vladivostok (浦鹽) and south to Pusan and other ports. Thus, it stands at a vital junction accessible by both land and sea (though the question of in whose hands this advantage lies is a separate matter). The area of cultivated land is 10,385 *chŏng* 1 *tan* of paddy fields (畓) and 25,177 *chŏng* 9 *tan* of dry fields (田). The harvested agricultural products amount to over 105,000 *sŏk* of rice, 15,000 *sŏk* of barley, 35,000 *sŏk* of soybeans, 11,000 *sŏk* of adzuki beans, 67,800 *sŏk* of millet, and over 877,700 *sŏk* of barnyard millet (稗). By-products include over 3,200 *sŏk* of silkworm cocoons, over 3 million *kwan* of vegetables, 40,000 *kwan* of fruit, and over 15,000 head of cattle. Hamhŭng cattle and Hamhŭng pears have long been particularly famous. Next, fishery products are also noteworthy. Among them, pollock (명태) production reaches an annual value of 190,000 won. Mackerel (鯖) and flounder (鰈) are also abundant. Mineral resources are plentiful, including various ores, but currently, they are under the direct management of the Government-General and essentially in a sealed state, so there is nothing worth recording about their production <73> for now. However, coal from Kap'yŏng-myŏn, managed by Japan's Imperial Coal Company, reaches an annual output exceeding 50,000 tons. Among the aforementioned products, exports include about 35,000 *sŏk* of rice, 20,000 *sŏk* of soybeans, 50,000 *kwan* of salted mackerel, and around 300 packs (駄) of pollock. The market transaction of cattle amounts to about 50,000 head annually, with a value reaching the large sum of about 280,000 won. The people's primary occupation is generally agriculture, with commerce and industry as secondary pursuits. However, in Hamhŭng city, 1,637 households engage in commerce, accounting for over 30% of all households. Next are about 660 farming households and about 460 industrial households. This place is the only major market in the province. Market days are held on the 2nd and 7th days of the lunar month (음 27일), with tens of thousands of people attending each market. The diligence and activity of women coming out to the market are truly astonishing. Market transactions are also prosperous. During peak times, sales of rice and soybeans in a single market day reach over 40,000 won. Especially in autumn, the trade of salt and cotton flourishes, with sales reaching 560,000 won, and other miscellaneous goods amount to no less than 40,000 won. However, the people of Hamhŭng are generally diligent and thrifty. Even merchants have little vanity for quick riches and follow a path of steady progress. Therefore, although their shops appear extremely modest externally, their substance is generally solid. They have not yet lost commercial power to foreigners, and even today, amidst severe fluctuations in the financial world, they maintain a stable livelihood. Financial institutions include the Puksŏn Commercial Bank (北鮮상업은행) (capital 500,000 won, President Kim Sŭnghwan (金昇煥), Manager Yi Myŏng'u (李明雨)), managed purely by Koreans, as well as a branch of the Chosŏn Siksan Bank (殖銀), and the Hamhŭng and Hamsŏng Financial Associations (咸興 咸城 兩 금융조합), which dominate the entire Hamhŭng economy. (In Taishō 11 (1922), total loans were 4,067,424 won, total deposits 1,206,166 won). Additionally, the Oriental Development Company (東拓) branch office, the Hamhŭng Trust Company (咸興信託會社), etc., wield their usual high-interest predatory claws, exploiting the lifeblood (膏血) of Koreans. Other companies include 3 in civil engineering, 3 in commerce, 1 in transportation, 1 in electricity, and 1 in construction (築業), but most are managed by Japanese. In terms of education, on the Korean side, there is 1 Higher Common School, 9 Public Common Schools, 1 Private Common School, 1 each of Public Commercial, Agricultural, and Normal Schools, <74> 16 general schools (一般學校), 3 religious schools, 2 private kindergartens, and besides these, 80 *sŏdang* (書堂). On the Japanese side, there are 2 Public Elementary Schools and 1 Public Practical Girls' High School. Among these, Yŏngsaeng School (永生學校) is the only private middle school in northern Chosŏn. It was established by the Canadian Presbyterian Mission (기독교 加奈陀 장로회) in 1906. Its performance has been good since then, but unfortunately, in February 1923, the school building suffered a fire disaster (8인의 災에 罹하야 - likely typo for 火災, 'fire disaster') and was completely burned down. A new school building is under construction at the foot of Unhŭng-ri Mountain and will be completed soon (currently using the Sinch'ang-ri church temporarily). Preparations are underway to change it to the standard designated school (指定學校). Current staff include the principal, a Westerner named Mr. Ye (芮詩 - likely Ross or similar), Academic Dean Mr. Cho Tonghun (趙東薰), and about 10 other teachers. There are over 200 students across four grades, and 147 graduates. Furthermore, students studying abroad number 71 in Japan, 1 in the United States, 2 in China, and 69 in various places within Chosŏn, totaling 143, all attending middle school or higher.

Regarding religion, Christianity has relatively more influence, followed by Ch'ŏndogyo (天道敎). For Christianity, there are the Chungha and Sinch'ang churches, with over 200 baptized members and 1,647 other adherents. Affiliated enterprises include the Yŏngsaeng Boys' and Girls' Schools and Chehye Hospital (濟惠病院), run by the mission board, and the Yŏngsin Elementary School (永信小學校), run purely by Koreans. Prominent figures at the Chungha-ri church include Pastor Kim Kwangp'yo (金光票) and Elders Han Yŏngho (韓泳鎬) and Hong Kijin (洪基鎭). At the Sinch'ang-ri church, Elders Ch'oe Yŏnghak (崔榮學) and Mo Hakpok (毛鶴福) are influential. As for Ch'ŏndogyo, about 20 years ago, Messrs. Chŏng Unbong (鄭雲鳳), Yi Kiwan (李岐玩), and Han T'aesam (韓泰三) pioneered its introduction to Hamhŭng. Subsequently, Messrs. Hong Sŏngun (洪聖運), Chu Tohwan (朱道煥), Yi Suil (李洙馹), Kim Hongsu (金弘洙), Mun Ch'ŏlmo (文哲謨), and others spread the faith from Hamhŭng to various parts of Hamnam. As a result, it once reached tens of thousands of households, leading to the Kabo Peasant Revolution (甲午革命亂 - likely refers to Donghak influence), the Kapchin Reform Movement (甲辰改革運動), and the March First Movement (己未民族運動) (naturally involving many sacrifices of life and property), continuing to this day. Currently, there are 3,032 believers and 9 parish centers (宗理院). Key figures include leaders (道師) Yi Kiwan and Hong Sŏngun, as well as Messrs. Mun Ch'ŏlmo, Yi Suil, Chu Tohwan, Hong Inp'yo (洪寅杓), Chu Yŏnggon (朱永坤), Paek Nakryong (白洛龍), and younger members like Yi Myŏngdo (李明道), Pak Tochun (朴道中), Ch'oe Kip'il (崔基弼), Ch'oe Chuŏn (崔周彦), and others. This year, a two-story lecture hall was newly built attached to the Hamhŭng Ch'ŏndogyo Center (咸興宗理院), expanding the existing lecture institute (講習所). Additionally, a lecture institute was established at the Chubuk-myŏn Center (州北面 宗理院), educating several hundred male and female students with very good results.

Civic organizations include the Hamhŭng Youth Association (咸興靑年會), the ideological group Uin Association (愚人會), and the newly emerged Ch'ilch'il Association (七七會) (approx. 20 members), Labor Fraternal Association (勞働동문회), etc., but being in the early stages of revitalization or establishment, they currently lack significant influence. However, Messrs. Yi Suŭl (李秀乙), Kim Yŏng'u (金泳雨) (from Hongwŏn), Kim Hun (金勳) (from Taegu), etc., can be called fighters for their cause (主義의 투사). Besides them, young men like Messrs. Ŏm Sŭnggi (嚴承基), Chŏng Kyuhoe (鄭奎會), To Yongho (都容浩), Ra (羅), etc., exert considerable influence within the Youth Association.

Next, famous sites and historical relics include Pallyongsan Mountain (盤龍山), Pongung Shrine (本宮), Kyŏnghŭngjŏn Hall (慶興殿), Kuju Temple (歸州寺), Toksŏdang Hall (讀書堂), Ch'imadae Terrace (馳馬臺), Kyŏkkujŏng Pavilion (擊毬亭), King Chinhŭng's Monument (眞興王碑), Kugyŏngdae Pavilion (龜景臺), Chŏnghwa Mausoleum (定和陵), Manse Bridge (萬歲橋), etc., but these will be left for a future occasion and are omitted here. <75>

**Summary**

This 1924 article provides a detailed overview of Hamhŭng, the provincial capital of Hamgyŏngnam-do, praising its geographical setting, historical significance, and economic vitality. It describes the city's administration, transportation infrastructure (including railways planned by Japanese companies), agricultural and fishery outputs, thriving markets, financial institutions (both Korean and Japanese), educational facilities (including missionary schools), religious landscape (Christianity and Ch'ŏndogyo), and nascent civic organizations. The author contrasts Hamhŭng's rugged grandeur with P'yŏngyang's delicate beauty and highlights the diligence and thriftiness of its people. From a colonial history perspective, the article is revealing in its descriptions of Japanese economic penetration (Imperial Coal Company, Oriental Development Company, Japanese-run businesses, railway expansion plans), the co-existence of Korean and Japanese administrative and financial structures, the role of foreign missionaries in education (Canadian Presbyterian Mission's Yŏngsaeng School), and the mention of nationalist movements linked to Ch'ŏndogyo (March First Movement). Historians might find the detailed statistics on population (including Japanese residents), economy, education, and the portrayal of social dynamics (like women in markets, contrasting Korean thrift with Japanese capital) valuable for understanding regional life and the complexities of Korean society under Japanese rule.

**Named Entities**

咸南	함남	Hamnam
咸興郡	함흥군	Hamhŭng County
牧丹峯	목단봉	Moranbong Peak
平壤	평양	P'yŏngyang
盤龍山	반룡산	Pallyongsan Mountain
咸興	함흥	Hamhŭng
朝鮮	조선	Chosŏn
金昌協	김창협	Kim Ch'anghyŏp
咸鏡南道	함경남도	Hamgyŏngnam-do
洪原郡	홍원군	Hongwŏn County
定平郡	정평군	Chŏngp'yŏng County
平南	평남	P'yŏngnam (P'yŏngan[nam-do])
寧遠郡	영원군	Yŏngwŏn County
長津郡	장진군	Changjin County
新興郡	신흥군	Sinhŭng County
狼林山脈	낭림산맥	Nangnim Mountain Range
咸興平野	함흥평야	Hamhŭng Plain
城川江	성천강	Sŏngch'ŏn River
甲山	갑산	Kapsan
樺坡嶺	화파령	Hwap'a-ryŏng Pass
汝渭川	여위천	Yŏwich'ŏn Stream
瑚璉江	호련강	Horyŏn River
西湖津	서호진	Sŏhojin Port
退潮灣	퇴조만	T'oejo Bay
大陳島	대진도	Taejin Island
小陳島	소진도	Sojin Island
沃沮	옥저	Okchŏ
漢	한	Han Dynasty
玄菟郡	현도군	Hyŏnt'o Commandery
高句麗	고구려	Koguryŏ
南沃沮	남옥저	Namokchŏ
渤海	발해	Parhae
南海府	남해부	Nanhai Prefecture
女眞	여진	Jurchen
曷懶甸	갈라전	Hallanjŏn
金	금	Jin Dynasty
合懶路	합라로	Hallan Circuit (Hamna-ro)
高麗	고려	Koryŏ
睿宗	예종	King Yejong
咸州大都護府	함주대도호부	Hamju Grand Protectorate
尹瓘	윤관	Yun Kwan
元	원	Yuan Dynasty
哈蘭府	합란부	Haran Prefecture (Harlan-bu)
雙城	쌍성	Ssangsŏng
永興	영흥	Yŏnghŭng
恭愍	공민	King Kongmin
李太祖	이태조	Yi T'aejo (Founder of Chosŏn)
咸州	함주	Hamju
咸平	함평	Hamp'yŏng
咸山	함산	Hamsan
太宗	태종	King T'aejong
大正三年	대정3년	Taishō 3 (1914)
加平面	가평면	Kap'yŏng-myŏn
咸興面	함흥면	Hamhŭng-myŏn
元洪郡	원홍군	Former Hongwŏn County (likely typo for 舊洪原郡 or just 洪原郡)
西退湖面	서퇴호면	Sŏt'oeho-myŏn
咸鏡線	함경선	Hamgyŏng Line
元山	원산	Wŏnsan
京城	경성	Kyŏngsŏng (Seoul)
退潮	퇴조	T'oejo
北靑	북청	Pukch'ŏng
陽化場	양화장	Yanghwa Market
帝國炭業株式會社	제국탄업주식회사	Imperial Coal Company
五老里	오로리	Oro-ri
平北	평북	P'yŏngbuk (P'yŏngan[buk-do])
厚昌郡	후창군	Huch'ang County
鴨綠江	압록강	Amnok River (Yalu River)
南滿洲	남만주	South Manchuria
奉天	봉천	Fengtian (Mukden)
浦鹽	포염	P'oyŏm (Vladivostok)
釜山	부산	Pusan
總督府	총독부	Government-General
咸興牛	함흥우	Hamhŭng Cattle
咸興梨	함흥리	Hamhŭng Pear
北鮮商業銀行	북선상업은행	Puksŏn Commercial Bank
金昇煥	김승환	Kim Sŭnghwan
李明雨	이명우	Yi Myŏng'u
殖銀	식은	Chosŏn Siksan Bank (abbreviation)
咸興金融組合	함흥금융조합	Hamhŭng Financial Association
咸城金融組合	함성금융조합	Hamsŏng Financial Association
東拓	동척	Oriental Development Company (abbreviation Tōtaku)
咸興信託會社	함흥신탁회사	Hamhŭng Trust Company
高等普通學校	고등보통학교	Higher Common School
公立普通學校	공립보통학교	Public Common School
私立普通學校	사립보통학교	Private Common School
公立商業學校	공립상업학교	Public Commercial School
公立農業學校	공립농업학교	Public Agricultural School
公立師範學校	공립사범학교	Public Normal School
一般學校	일반학교	General School
宗敎學校	종교학교	Religious School
私立幼稚園	사립유치원	Private Kindergarten
書堂	서당	Sŏdang (traditional village school)
公立小學校	공립소학교	Public Elementary School (for Japanese)
公立實科高女校	공립실과고녀교	Public Practical Girls' High School (for Japanese)
永生學校	영생학교	Yŏngsaeng School
基督敎	기독교	Christianity
加奈陀 長老會	가나다 장로회	Canadian Presbyterian Mission
雲興里	운흥리	Unhŭng-ri
新昌里	신창리	Sinch'ang-ri
芮詩	예시	Mr. Ye (Likely Ross or similar Western name)
趙東薰	조동훈	Cho Tonghun
日本	일본	Japan
美國	미국	United States
中國	중국	China
中荷里禮拜堂	중하리예배당	Chungha-ri Church
新昌里禮拜堂	신창리예배당	Sinch'ang-ri Church
濟惠病院	제혜병원	Chehye Hospital
永信小學校	영신소학교	Yŏngsin Elementary School
金光票	김광표	Kim Kwangp'yo
韓泳鎬	한영호	Han Yŏngho
洪基鎭	홍기진	Hong Kijin
崔榮學	최영학	Ch'oe Yŏnghak
毛鶴福	모학복	Mo Hakpok
天道敎	천도교	Ch'ŏndogyo
鄭雲鳳	정운봉	Chŏng Unbong
李岐玩	이기완	Yi Kiwan
韓泰三	한태삼	Han T'aesam
洪聖運	홍성운	Hong Sŏngun
朱道煥	주도환	Chu Tohwan
李洙馹	이수일	Yi Suil
金弘洙	김홍수	Kim Hongsu
文哲謨	문철모	Mun Ch'ŏlmo
甲午革命亂	갑오혁명란	Kabo Revolution Turmoil (likely referring to Donghak Peasant Revolution influence)
甲辰改革運動	갑진개혁운동	Kapchin Reform Movement
己未民族運動	기미민족운동	March First Movement (Kimi National Movement)
宗理院	종리원	Chongniwŏn (Ch'ŏndogyo Parish Center)
洪寅杓	홍인표	Hong Inp'yo
朱永坤	주영곤	Chu Yŏnggon
白洛龍	백낙룡	Paek Nakryong
李明道	이명도	Yi Myŏngdo
朴道中	박도중	Pak Tochun
崔基弼	최기필	Ch'oe Kip'il
崔周彦	최주언	Ch'oe Chuŏn
咸興宗理院	함흥종리원	Hamhŭng Ch'ŏndogyo Center
州北面 宗理院	주북면 종리원	Chubuk-myŏn Ch'ŏndogyo Center
咸興靑年會	함흥청년회	Hamhŭng Youth Association
愚人會	우인회	Uin Association
七七會	칠칠회	Ch'ilch'il Association
勞働同門會	노동동문회	Labor Fraternal Association
李秀乙	이수을	Yi Suŭl
金泳雨	김영우	Kim Yŏng'u (from Hongwŏn)
金勳	김훈	Kim Hun (from Taegu)
大邱	대구	Taegu
嚴承基	엄승기	Ŏm Sŭnggi
鄭奎會	정규회	Chŏng Kyuhoe
都容浩	도용호	To Yongho
羅氏	나씨	Mr. Ra
本宮	본궁	Pongung Shrine
慶興殿	경흥전	Kyŏnghŭngjŏn Hall
歸州寺	귀주사	Kuju Temple
讀書堂	독서당	Toksŏdang Hall
馳馬臺	치마대	Ch'imadae Terrace
擊毬亭	격구정	Kyŏkkujŏng Pavilion
眞興王碑	진흥왕비	King Chinhŭng's Monument
龜景臺	구경대	Kugyŏngdae Pavilion
定和陵	정화릉	Chŏnghwa Mausoleum
萬歲橋	만세교	Manse Bridge

**Glossary**

列邑	열읍	Various towns or counties
首府	수부	Capital city
全景	전경	Panoramic view, full view
明媚華麗	명미화려	Bright, beautiful, and splendid
淡粧	담장	Light makeup
不識不知	부지부지	Unconsciously, unknowingly
盤龍山	반룡산	Pallyongsan Mountain (Name of a mountain)
四圍	사위	Four surroundings, all around
大野壯山	대야장산	Vast fields and imposing mountains
渺渺茫茫	묘묘망망	Vast and indistinct, boundless
難測	난측	Difficult to predict or fathom
高遠	고원	High and distant, lofty
形勝	형승	Scenic beauty, topography
沿革	연혁	History, development
遺地	유지	Remaining land, historical site
稍南方	초남방	Slightly southern part
廣哀	광애	Breadth (likely older or regional term for 폭 or 너비)
町	정	Unit of length (approx. 109m) or area (approx. 0.99 ha)
方里	방리	Square *ri* (unit of area, 1 *ri* ≈ 393m)
地勢	지세	Topography, geographical features
貫流	관류	To flow through
灌漑	관개	Irrigation
沿	연	Along
亙	긍	To span, extend over
淀泊地	정박지	Anchorage
島嶼	도서	Islands
北關	북관	Northern frontier region of Korea
重鎭	중진	Strategic stronghold
戶口	호구	Number of households
便	편	Convenience, means (of transport)
縱貫	종관	To run through longitudinally
劃	획	To mark, delimit (as in 'mark an era')
此外	차외	Besides this, in addition
沿하야	연하야	Along (older form of 연하여)
將來	장래	Future
遠히	원히	Far away (older spelling of 멀리)
此	차	This
尙又	상우	Furthermore, additionally
海路	해로	Sea route
唯一	유일	Only, sole
海口	해구	Seaport, harbor
頻繁	빈번	Frequent
何人	하인	Who, what person
手中	수중	In the hands (of)
別問題	별문제	Separate issue, different matter
頃	경	Obsolete unit of area (used with 町, 畓, 田) - refers to 町 here
町	정	Unit of area (approx. 0.99 ha)
石	석	Sŏk (unit of volume, approx. 180 liters)
貫	관	Kwan (unit of weight, approx. 3.75 kg)
頭	두	Head (counter for cattle)
自來	자래	Traditionally, since the past
著名	저명	Famous, well-known
次	차	Next
特記	특기	To specially note
水産物	수산물	Marine products, seafood
年産額	연산액	Annual production value
鑛産	광산	Mineral products
諸鑛	제광	Various ores/minerals
目下	목하	Currently, at present
封鎖	봉쇄	Blockade, sealed off
姑無	고무	For the time being, none
噸	톤	Ton (unit of weight)
然而	연이나	However, nevertheless
移出品	이출품	Exported goods
駄	태	Pack, bundle (unit for goods like dried fish)
內外	내외	Approximately, around
取引	거래	Transaction, trade
年額	연액	Annual amount
巨額	거액	Large sum of money
職業	직업	Occupation
大槪	대개	Generally, mostly
主	주	Main, primary
副業	부업	Secondary occupation, side job
全戶數	전호수	Total number of households
强	강	Strong, slightly more than
市日	시일	Market day
每市	매시	Every market (day)
出市者	출시자	Market-goer
可驚	가경	Surprising, astonishing
殷富	은부	Prosperous, wealthy
最盛時	최성시	Peak time, busiest period
賣高	매고	Sales amount
秋季	추계	Autumn season
雜品	잡품	Miscellaneous goods
不下	불하	Not less than
一般	일반	General, common
勤勉	근면	Diligent, hardworking
貯蓄	저축	Saving, thrift
一攫千金	일확천금	Making a fortune overnight
虛榮心	허영심	Vanity
少	소	Few, little
健實	건실	Sound, solid, steady
漸進	점진	Gradual progress
外觀	외관	External appearance
極히	극히	Extremely
貧弱	빈약	Poor, meager
內容	내용	Content, substance
充實	충실	Substantial, solid
아즉까지	아직까지	Until now, still (older spelling)
商權	상권	Commercial power/rights
被奪	피탈	To be seized, taken away
財界	재계	Financial world
變動	변동	Fluctuation, change
激甚	격심	Severe, intense
安全	안전	Safe, stable
純	순	Pure, solely
頭取	두취	President (of a bank)
支配人	지배인	Manager
總高	총고	Total amount
高利的	고리적	High-interest (usurious)
魔手	마수	Evil hands, clutches
弄	롱	To wield, manipulate, play with
膏血	고혈	Lifeblood (lit. fat and blood)
搾取	착취	Exploitation
土木業	토목업	Civil engineering business
築業	축업	Construction business (likely)
側	측	Side (as in 'Korean side', 'Japanese side')
其外	기외	Besides that, other
兩	양	Both
爾來	이래	Since then
成績	성적	Results, performance
良好	양호	Good, satisfactory
不幸	불행	Unfortunately
校舍	교사	School building
罹	리	To suffer from, incur
全燒	전소	Completely burned down
山麓	산록	Foot of a mountain
新築	신축	Newly built
未久	미구	Soon, before long
竣工	준공	Completion (of construction)
例	례	Usual, standard (as in 指定學校, designated school)
諸般	제반	Various, all sorts
手續	수속	Procedures, formalities
準備	준비	Preparation
敎員	교원	Teacher, faculty member
生徒	생도	Student, pupil
通	통	Through, across (as in 4학년을 통하야 - across 4 grades)
卒業生	졸업생	Graduate
尙又	상우	Furthermore, additionally
留學生	유학생	Student studying abroad
客地	객지	Foreign land, place away from home
各地	각지	Various places
合計	합계	Total sum
比較	비교	Relatively, comparatively
勢力	세력	Influence, power
禮拜堂	예배당	Church, chapel
洗禮敎人	세례교인	Baptized member
其外	기외	Other than that, besides
信徒	신도	Believer, adherent
附屬事業	부속사업	Affiliated enterprise/project
宣敎會	선교회	Missionary society/board
有力	유력	Influential, prominent
距今	거금	From now (referring to the past), ago
先驅	선구	Pioneer
入咸	입함	Entering Hamhŭng
布德	포덕	To propagate faith/virtue
結果	결과	Result, consequence
一時	일시	At one time, temporarily
至	지	To reach, arrive at
今日	금일	Today, present day
主要人物	주요인물	Key figure, important person
道師	도사	Leader (in Ch'ŏndogyo)
諸氏	제씨	Messrs., various people (honorific)
始	시	Beginning with, starting from
靑年	청년	Youth, young person
講堂	강당	Lecture hall
擴張	확장	Expansion
講習所	강습소	Lecture institute, training center
男女學生	남녀학생	Male and female students
敎養	교양	Education, cultivation
甚	심	Very, extremely
民間團體	민간단체	Civic organization
主義團體	주의단체	Ideological group
新興	신흥	Newly rising, emerging
會員	회원	Member
勞働	노동	Labor
