**Header Section:**
Magazine Title: 개벽 第五十四號
Publication Date: 1924년 12월 01일
Article Title: 咸南列邑大觀, 山長水長한 長津郡 (Grand View of Hamnam Towns, Changjin County with Long Mountains and Long Rivers)
Author: Not Specified
Article Type: 소식 (News/Report)

**Body Text Translation:**
Among the counties of Hamgyŏngnam Province, Changjin County (長津郡) has the longest rivers and mountains, the largest area (over 331 square *ri*), and the sparsest population (while Wŏnsan has 64,151 people per square *ri*, this county has only 133). This county is located in the high mountainous region of the northwest end of Hamgyŏngnam Province; it is long north-to-south and short east-to-west. Within its borders lie high mountain ranges exceeding 2,000 *ch'ŏk* (feet) in elevation, such as Ch'ongjŏn Pass (葱田嶺, elevation 2,066 *ch'ŏk*), Adŭk Pass (牙得嶺, 2,214), Koam Mountain (姑岩山, 2,049), Yŏnhwa Mountain (蓮花山, 2,355), and Paek Mountain (白山, 2,077), which are branches of the Paektu Mountain range. The Changjin River (長津江), over 660 *ri* long, rises in Sinnam Subcounty (新南面) and flows northwards into the Yalu River (鴨綠江). Everywhere there are treasures of dense, great forests untouched by axes for ages (千古斧鉞이 未入한). To the east, it borders P'ungsan (豊山) and Sinhŭng (新興) counties; to the west, it neighbors Kanggye County (江界郡) of P'yŏnganbuk Province; to the north, it touches Samsu County (三水郡) and Huch'ang County (厚昌郡) of P'yŏnganbuk Province; and to the south, it faces Hamhŭng County (咸興郡) and Nyŏngwŏn County (寧遠郡) of P'yŏnganbuk Province.

Because it is a high mountainous area, the climate is extremely cold, with frost and snow usually falling in July and August, causing much damage to agricultural products. The number of households is 7,582 (91 Japanese, 9 Chinese), and the population is 46,220 (186 Japanese, 9 Chinese), whose occupation is mostly slash-and-burn farming (화전농). The most important products are potatoes (馬鈴薯) at 16.4 million *kwan* and oats (燕麥, 귀리) at 170,000 *sŏk*. <77> Among these, the potatoes are of the P'oyŏm variety (浦鹽種), known throughout the province for being high in starch (15-18%), large, and tasty (味佳). Special agricultural products include opium poppies (罌粟) at over 140 *kwan* and honey (蜂蜜) at over 3,420 *kwan*; such products are hard to find in other counties. Instead, rice (米), barley (麥), and millet (粟) are as precious as jade (옥과 가티 귀하고), and for fruits, they only know the names of wild pears (山梨, 돌배). Furthermore, most of the residents are people who migrated from the Hamhŭng (咸興) and Sinhŭng (新興) regions due to difficulties in livelihood, intending to practice slash-and-burn farming. Therefore, their customs, language, houses, systems, and everything else are like those of Hamhŭng and Sinhŭng counties. Also, since many people migrated from Kanggye (江界), customs of P'yŏnganbuk Province (平北) are occasionally present. However, due to inconvenient transportation and backward culture, many aspects are close to unenlightened (몽매에 近하다).

However, recently, automobiles travel up to the county seat (읍), and a forestry railroad has opened up to Oro-ri (五老里), making transportation relatively convenient. But the power of the Japanese, who exploit the profits of Koreans, has already invaded even these potato mountains, establishing a so-called starch company (전분회사) with the huge sum of 500,000 *wŏn*, manufacturing and exporting 100,000 *kwan* of starch annually. Also, there is commotion about the imminent opening of a forestry railroad with a capital of 20 million *wŏn* to take away the inexhaustible treasures of the forests. Besides these, wild wolfberries and elms (杞楡) are also exported to Gifu Prefecture (岐阜縣) by a Japanese association (일본인조합). How would the brothers in the valleys (峽中형제들), still full from their oat meals (귀리밥), know about this?

As for education, besides the usual elementary school (보통학교), there are only a few village schools (서당) in the mountain villages. Regarding religion, Christianity and Ch'ŏndogyo (천도교) have found their way into various places (*lit. entered some temple*). Among them, Ch'ŏndogyo has spread even to the mountains and has considerable influence. Messrs. Ch'oe Kuk-hwan (崔國煥), Kim Chŏng-ho (金貞鎬), and Chŏn Yang-sin (全양신) are said to be devout followers of that religion, working hard in various fields.

Finally, let's briefly mention the history (沿革) and conclude. This county, about 250 years ago, in the 8th year of King Hyŏnjong (顯宗) of the Yi Dynasty (李朝), established a fort (堡) in Kujil-li (舊津里) of Chungnam Subcounty (中南面), also known as Kujin (舊鎭), calling it Changjinse (長津細) or Ch'ŏngsan Ch'aek (靑山柵). In the 9th year of King Chŏngjo (正宗), it moved to Kuŭp-ri (舊邑里) and became a *chin* (鎭, military camp). Twelve years later, a Tokchin Tohobu (獨鎭都護府, Independent Commandery) was established. In the 15th year of King Sunjo (純祖), a part of Samsu County (三水郡) was added, and it became Changjin Prefecture (長津府), moving to the current county seat (現邑). In the first year of Kŏnyang (建陽 元年) under Emperor Yi T'aehwang (李太皇 - Gojong), it was transferred to P'yŏnganbuk Province (平北) and became a county (郡). The following year, it returned to this province (本道 - Hamgyŏngnam). In the 3rd year of Taishō (大正 3년, 1914), during administrative reorganization, Tongsan Subcounty (東上面) was detached and attached to Sinhŭng (新興), and furthermore, subcounties (*myŏn*) were merged and reorganized from 10 to 7, reaching the present day. The history is roughly like this. Other than that, there are few notable scenic spots or historic sites (명소고적) worth mentioning.

But don't be surprised! In these Changjin mountains where people live only on potatoes and oats, there is Cho Chŏng-yun (趙鼎允), the wealthiest man in Hamnam (咸南), no, one of the prominent rich men in all of Chosŏn (조선)! It is said that he is currently living it up in Kyŏngsŏng (京城, Seoul), residing in a magnificent mansion (고대광실) with numerous beautiful concubines (成川美妾). <78>

**Summary**

This article describes Changjin County in Hamgyŏngnam Province as a vast, mountainous, and sparsely populated region known for its harsh climate, potato and oat cultivation (mainly by slash-and-burn farmers who migrated from other areas), and large untouched forests. Despite recent improvements in transportation like automobiles and a forestry railroad reaching Oro-ri, the article highlights the penetration of Japanese economic interests, specifically a large starch factory exploiting local potatoes and plans for a major forestry railroad to extract timber resources, alongside exports of wild plants. The local population is portrayed as culturally backward with limited education (basic schools and some traditional *sŏdang*), while Ch'ŏndogyo has gained influence. The article briefly traces the county's administrative history and concludes with a striking contrast: the presence of Cho Chŏng-yun, one of Korea's wealthiest men (originally from this impoverished region), living luxuriously in Seoul.

From a historical perspective, the article is interesting for its depiction of colonial economic exploitation extending into remote areas like Changjin, focusing on resource extraction (starch, timber, wild plants) by Japanese capital and organizations. It also sheds light on internal migration patterns within Korea due to economic hardship, the persistence of traditional farming methods (slash-and-burn), the low level of modern infrastructure and education in peripheral regions, the spread of new religious movements like Ch'ŏndogyo, and the stark social contrast between the impoverished local populace and a wealthy Korean elite figure residing in the colonial capital.

**Named Entities**

咸鏡南道	함경남도	Hamgyŏngnam-do
長津郡	장진군	Changjin County
元山	원산	Wŏnsan
白頭山	백두산	Paektu Mountain
葱田嶺	총전령	Ch'ongjŏn Pass
牙得嶺	아득령	Adŭk Pass
姑岩山	고암산	Koam Mountain
蓮花山	연화산	Yŏnhwa Mountain
白山	백산	Paek Mountain
長津江	장진강	Changjin River
鴨綠江	압록강	Amnokkang (Yalu River)
新南面	신남면	Sinnam Subcounty (Sinnam-myŏn)
豊山	풍산	P'ungsan County
新興	신흥	Sinhŭng County
平北	평북	P'yŏngbuk (P'yŏnganbuk Province)
江界郡	강계군	Kanggye County
三水郡	삼수군	Samsu County
厚昌郡	후창군	Huch'ang County
咸興郡	함흥군	Hamhŭng County
寧遠郡	녕원군	Nyŏngwŏn County
日本	일본	Japan (implied by 일본인)
中國	중국	China (implied by 중국인)
五老里	오로리	Oro-ri
전분회사	전분회사	Starch company (Japanese-owned)
岐阜縣	기후현	Gifu Prefecture
일본인조합	일본인조합	Japanese association
朝鮮	조선	Chosŏn (Korea)
기독교	기독교	Christianity
천도교	천도교	Ch'ŏndogyo
崔國煥	최국환	Ch'oe Kuk-hwan
金貞鎬	김정호	Kim Chŏng-ho
全양신	전양신	Chŏn Yang-sin
李朝	이조	Yi Dynasty
顯宗	현종	King Hyŏnjong
中南面	중남면	Chungnam Subcounty (Chungnam-myŏn)
舊津里	구진리	Kujil-li
舊鎭	구진	Kujin
長津細	장진세	Changjinse
靑山柵	청산책	Ch'ŏngsan Ch'aek
正宗	정조	King Chŏngjo
舊邑里	구읍리	Kuŭp-ri
鎭	진	Chin (Military Camp/Garrison Town)
獨鎭都護府	독진도호부	Tokchin Tohobu (Independent Commandery)
純祖	순조	King Sunjo
長津府	장진부	Changjin Prefecture
現邑	현읍	Current County Seat
李太皇	이태황	Emperor Yi T'aehwang (Gojong)
建陽	건양	Kŏnyang (era name)
大正	대정	Taishō (era name)
東上面	동상면	Tongsang Subcounty (Tongsang-myŏn)
咸南	함남	Hamnam (Hamgyŏngnam Province)
趙鼎允	조정윤	Cho Chŏng-yun
京城	경성	Kyŏngsŏng (Seoul)

**Glossary**

水長山長	수장산장	(Having) long rivers and long mountains; describes vast, rugged terrain.
方里	방리	Square *ri* (a traditional unit of area, approx. 0.154 sq miles or 0.399 sq km).
稀	희	Sparse, rare.
幹脉	간맥	Main range (of mountains); branch脉.
斧鉞	부월	Axes (斧) and battle-axes (鉞); signifies logging or deforestation.
未入	미입	Not yet entered.
鬱密	울밀	Dense, thick (usually referring to forests).
화전농	화전농	Slash-and-burn farming/farmer.
馬鈴薯	마령서	Potato (Hanja representation).
燕麥	연맥	Oats (Hanja representation). 귀리 is the native Korean word.
浦鹽種	포염종	P'oyŏm variety (a type of potato, likely named after a place or characteristic).
味佳	미가	Good taste, tasty.
罌粟	앵속	Opium poppy.
蜂蜜	봉밀	Honey.
옥과 가티	옥과 같이	Like jade; meaning very precious or rare. (Older spelling of 같이).
山梨	산리	Wild pear (Hanja). 돌배 is the native Korean word.
몽매	몽매	Ignorance, unenlightenment.
삼림철도	삼림철도	Forestry railroad.
전분회사	전분회사	Starch company.
무진장	무진장	Inexhaustible supply, boundless treasure.
杞楡	기유	Wolfberry (杞) and Elm (楡). Refers to wild plants.
峽中	협중	In the valley(s).
귀리밥	귀리밥	Cooked oats, oat meal.
보통학교	보통학교	Elementary school (colonial era term).
서당	서당	Traditional village school teaching basic literacy and classics.
천도교	천도교	Chondoism, an indigenous Korean religion.
沿革	연혁	History, historical development.
堡	보	Fort, fortress.
鎭	진	Garrison, military camp town.
都護府	도호부	Protectorate-General headquarters (historical administrative/military unit).
現邑	현읍	Current county seat/township.
移屬	이속	To transfer jurisdiction/affiliation.
행정정리	행정정리	Administrative reorganization.
명소고적	명소고적	Famous spots and historic sites.
고대광실	고대광실	Magnificent mansion, palatial residence.
成川美妾	성천미첩	Numerous beautiful concubines (idiomatic expression).
떵떵거리다	떵떵거리다	To live ostentatiously, to swagger, to live it up.
잇다	있다	To be, exist (older spelling).
갓고	같고	Being the same as (older spelling of 같고).
잇슬	있을	Will be, there are (older spelling of 있을).
업다	없다	To not be, not exist (older spelling of 없다).
마외다	마시오	Do not (imperative ending, older/dialectal form of -마시오).
잇는 걸을	있는 것을	The fact that there is (older spelling/grammar).
논단다	논다고 한다	It is said that (he/they) play/live it up (older reported speech form).
-e 

---------------------------


잡지명	개벽 제54호
발행일	1924년 12월 01일
기사제목	咸南列邑大觀, 山長水長한 長津郡
기사형태	소식

咸南列邑大觀, 山長水長한 長津郡
