Magazine Title: 개벽 제55호
Publication Date: 1925년 01월 01일
Article Title: 南信北通 (News from South and North)
Author: Ilgwansaeng (一貫生) [Anju]; Kim Ch'un'gang (金春岡) [Wŏnsan]; Kim Hyŏnggŭn (金亨根) [Kaesŏng]
Article Type: 소식 (News/Dispatches)

南信北通 (News from South and North)
Anju Communication
Ilgwansaeng (一貫生)

If someone were to ask about the state of thought among the youth of Anju, one could undoubtedly answer that the youth of Anju are those possessing a certain ideology characteristic of a transitional period, like new sprouts in winter who have yet to savor what social movements truly are. However, even among the youth who embraced certain past ideologies, a tendency towards gradual change has recently become quite apparent. Now, let me show the classification of Anju youth by ideology as of the end of the past Kapcha year (1924), roughly as follows:

One. A certain number of ideological youth.
One. Approximately 60 masquerading-non-ideological youth (like a portion of certain youth association members, those who make noise about fasting for some cause).
One. Approximately 10 masquerading youth (those who outwardly speak of public benefit or some ideology but inwardly advocate for their own full stomachs and some kind of accommodation).
One. Approximately 15 fawning youth (those who hastily initiate welcomes for certain distinguished guests or farewells for certain heads of criminal affairs departments through advertisements or circulars at the slightest provocation; those who become attendants to the propertied class, fearing only that they might not protect them enough).
One. Approximately 10 name-seeking youth (those involved as something in some preparatory committee or as promoters of some company, such that a foot-long name card cannot list all their titles; those who consequently end up with a dragon's head but a snake's tail).
One. Approximately 5 bat-like youth (those who appear as sympathizers of the officials when near the government and as sympathizers of the people when among the populace).
One. Approximately 20 youth living as if dreaming or dead (those dreaming of making a fortune overnight without labor; those indulging in amusement with prostitutes left and right; those who think high-interest moneylending is all there is; those craving office, campaigning headlong hoping to become some council member).
One. Approximately 80 unaffiliated youth (youth and laborers who have yet to keenly taste the flavor of humanity).

Then who will bring the light of rebirth to the ideological world of Anju youth? Undoubtedly, we must place our hopes in the ideological youth or the unaffiliated youth. On the occasion of the new Ŭlch'uk year (1925), I earnestly hope that the buds of new life among Anju youth will quickly sprout.

Wŏnsan Short Critique
Kim Ch'un'gang (金春岡)

Originally, the Wŏnsan prefectural authorities have been so cold towards what they call Wŏnsan-ri, where Koreans reside, that there is hardly any need to speak of it anew now. However, regarding the prefectural administration towards Wŏnsan Koreans, although various facilities like land reclamation from the sea, a clinic charging actual costs, road issues, and others currently exist, the disparity between Korean residential areas and Japanese residential areas is too severe to be overlooked. Do the prefectural authorities know that the voices of criticism and attack from the general prefectural populace are loud? I request, if you hear such complaints, how about showing even a little sign of being moved?

It is also necessary to upgrade the Commercial School in Wŏnsan from the current 3-year system to a 5-year system. Although one might say this is not directly related to Wŏnsan since it is a Provincial School, the majority of entering students are children of Wŏnsan residents. That is, Wŏnsan is where the interests are closely connected. Therefore, this goal of upgrading should also be achieved through the efforts of the Wŏnsan populace. It is indeed an immediate issue for Wŏnsan that cannot be neglected.

This may seem like old news, but it's so ridiculous that I'll jot down a few words. A certain gentleman, Mr. OOO, said to be a teacher at a certain high school in Kyŏngsŏng (Seoul), came to his wife's family home in Wŏnsan during this summer vacation. When his wife's family, despite their difficult circumstances, bought and sent a block of ice because their granddaughter's husband had arrived, that gentleman supposedly refused to eat it, asking if he should eat something sent by laborers. Hehe, this gentleman is truly a *yangban* (aristocrat).

Regarding the inadvisability of relocating the clinic charging actual costs, Messrs. Kim X-sik of the Wŏnsan Youth Association, XX Su of the Labor Association, and others spoke to Prefectural Governor Niwa.<119> Niwa's response was reportedly that it was unavoidable and done so only for the time being. It is difficult to guess how long "for the time being" will last. Rather, in this critic's opinion, entrusting the management to a public organization like the Wŏnsan Youth Association seems like it would be a good policy for the prefecture and would reduce the populace's complaints.

It is utterly shameful that in Wŏnsan, where there is a population of over twenty thousand consisting solely of us Koreans, there isn't a single school of higher level. We should educate our own children with our own hands, without expecting anything from anyone else. How about the twenty thousand brethren uniting as one body and striving to establish one school of higher level?

The Wŏnsan Labor Association established a simple eatery last winter for fellow laborers exposed to the wind and sleeping under the dew. Now that they've settled accounts this year, there was reportedly some loss, leading a few people to criticize them. Since it was established for those who labor, isn't it the usual state of affairs that it wouldn't turn a profit? Also, since the association already established this facility, despite the losses, they decided to improve its scale compared to before and focus even more on kindness and diligence. This is indeed a thankful enterprise for the general fellow laborers.

Kaesŏng's Current State from an Ideological Perspective
Kim Hyŏnggŭn (金亨根)

If one were to evaluate Kaesŏng, which hears itself called a somewhat safe zone economically, from an ideological perspective, it's regrettable but one can only say it is 'zero'. Ideological life, needless to say, gives life-giving sweet rain to us who are drying up day by day; in other words, it combines the individual psychologies of all people and shows the target direction and path forward.

So, what is the state of Kaesŏng's ideological world? Kaesŏng, first awakened from its deep slumber by the sounds of "Manse!" (Hurrah!) 7 years ago, seemed poised to create some ideological waves, organizing social movement bodies and pretending to do this and that, making quite a commotion. But what could be done when Kaesŏng couldn't shed its smelly conservatism and the individualistic thinking arising from petty merchant-ism? Thus, the grand plans for 100 years, proclaimed with soaring spirits, all returned to emptiness. Recently, it has reached a state where, without any guiding shore, it drifts aimlessly like a rudderless, compassless ship on a vast, boundless ocean, tossed about by the blowing wind and crashing waves – this is the current ideological world of Kaesŏng. In this great society of Kaesŏng, where everything wanders in a midday nap, stagnating and further stagnating, there isn't a single ideologue or person of character capable of leadership. Even the Youth Association is utterly powerless, serving as nothing more than an after-meal chat room for the bourgeoisie, a worn-out chess board. Is this not Kaesŏng's lamentable point, something those with blood cannot calmly overlook? As the ideological world is thus 'zero', the rampancy (*) of various organizations is severe, and demons freely appear and disappear on the great road to suicide. Is this not a Kaesŏng of walking corpses? Because everything is like this, it has become excluded from all movements. Even Korea's special police, with their extremely sensitive nerves, have attached the term "Special Safe Zone" to it. Eventually, even the worthy and unworthy sorts from religious organizations have started bragging (*)!

Ah! Among the over 100,000 masses of Kaesŏng, you young people with red courage and some thought! Let's rise up! Let's stir up a new spirit in the new year! The abundant future of the new Korea and the new world to come rest solely with the youth. And let us not be mere talkers without action. You people with money! Let's stop playing the role of pseudo-gentlemen wearing false masks with just a few pennies! Let's also donate money that is nominally contributed! And starting this year, let's shed our rotten masks and live a truly human life! Reckless behavior (*) is not the duty of life. Young people! And people with purpose! Arise! Let's move! Thus, this year, let's accomplish all the long-pending tasks, build a proper Youth Hall to use as a public meeting place, and avoid smelling the dirty stench of Western friends. Let's also revive the various associations with a fresh new spirit and become a solid, single bloc! This, I believe, is the only way to revive and awaken the ideologically dying Kaesŏng. <120>

**Summary**

These three dispatches from Anju, Wŏnsan, and Kaesŏng in early 1925 paint a picture of Korean society under Japanese rule, focusing on the state of youth ideology and social issues. The Anju piece categorizes local youth by their perceived ideological engagement, ranging from committed activists to opportunists and the apathetic, expressing hope for genuine change from the dedicated or unaffiliated groups. The Wŏnsan critique highlights administrative neglect by Japanese authorities towards Korean residents, particularly the disparity in facilities compared to Japanese areas, and calls for upgrading the local commercial school and establishing a Korean-funded higher-level school. It also includes anecdotes criticizing elitism and commends the Labor Association's efforts. The Kaesŏng piece laments the city's ideological stagnation, conservatism, and lack of leadership, contrasting its economic stability with intellectual apathy, and issues a fervent call for youth and intellectuals to awaken, unite, shed pretense, and actively build a better future, including constructing a Youth Hall.

Historians might find these articles particularly interesting for their contemporary social commentary. The detailed classification of youth types in Anju offers insight into the perceived spectrum of political and social consciousness among young Koreans. The Wŏnsan piece provides direct evidence of Korean grievances against discriminatory colonial administration and highlights community efforts towards self-reliance in education and social welfare (like the Labor Association's eatery). The Kaesŏng article reflects the frustration of intellectuals with perceived apathy and conservatism in some segments of Korean society, even within a context of broader national consciousness (referencing the 1919 movement), and underscores the internal calls for revitalization and action directed at the Korean community itself. The explicit mention of the "Special Safe Zone" designation by police in Kaesŏng is also revealing.

**Named Entities**

安州	안주	Anju
甲子年	갑자년	Kapcha Year (1924)
乙丑	을축	Ŭlch'uk Year (1925)
元山	원산	Wŏnsan
金春岡	김춘강	Kim Ch'un'gang
元山府	원산부	Wŏnsan Prefecture
元山里	원산리	Wŏnsan-ri
朝鮮人	조선인	Chosŏnin (Koreans)
日本人	일본인	Ilbonin (Japanese)
商業學校	상업학교	Commercial School
道立學校	도립학교	Provincial School
京城	경성	Kyŏngsŏng (Seoul)
高等學校	고등학교	High School
元山靑年會	원산청년회	Wŏnsan Youth Association
金*植	김*식	Kim X-sik
勞動會	노동회	Labor Association
**洙	**수	XX Su
丹羽府尹	단우부윤	Niwa Prefectural Governor
開城	개성	Kaesŏng
金亨根	김형근	Kim Hyŏnggŭn
萬歲聲	만세성	Mansesŏng (Sounds of "Manse!" / Hurrah!)
朝鮮	조선	Chosŏn (Korea)
西洋	서양	Sŏyang (The West)
青年會舘	청년회관	Youth Hall
公會堂	공회당	Public Meeting Hall

**Glossary**

如何	여하	How; what state
過渡期	과도기	Transitional period
某主義	모주의	A certain ideology/principle
吟味치 못한	음미치 못한	Have not yet savored/appreciated (Older form: 못한, modern 못 한)
抱負하엿다는	포부하였다는	Claimed to embrace aspirations (Older form: 하엿다, modern 하였다)
傾向	경향	Tendency; trend
畧如左	약여좌	Roughly as follows (Hanja phrase)
主義的	주의적	Ideological
假面非的	가면비적	Masquerading-non-ideological (Lit. Mask-Non type)
禁食	금식	Fasting
假面的	가면적	Masquerading (Lit. Mask type)
公益	공익	Public benefit/interest
充腹	충복	Filling one's own stomach
走拘的	주구적	Fawning; sycophantic (Lit. Running dog type)
高賓	고빈	Distinguished guest
刑事部長	형사부장	Head of Criminal Affairs Department
奔走히	분주히	Busily; hastily
有産者	유산자	Propertied class; bourgeoisie
惟恐不及	유공불급	Fearing only that one might not be able to do enough (Hanja phrase)
釣名的	조명적	Name-seeking (Lit. Fishing for fame type)
期成會	기성회	Preparatory committee
發起人	발기인	Promoter; initiator
尺輻	척폭	One foot width (used metaphorically for size)
名剌	명자	Name card (Older term/Hanja for 명함)
龍頭蛇尾	용두사미	Dragon's head, snake's tail (anticlimax; starting strong but ending weak)
*蝠的	박쥐적	Bat-like ( opportunistic, switching sides - * likely 蝙)
官邊	관변	Government side; near officials
民間	민간	Among the people; private sector
有志	유지	Sympathizer; volunteer; influential person
*生夢死的	취생몽사적	Living as if drunk or dreaming, dying as if dreaming (complacent, unaware - * likely 醉)
不勞自得	불로자득	Gaining without labor
一攫千金	일확천금	Making a fortune overnight
左右狹娼	좌우협창	Having prostitutes left and right
遊興	유흥	Amusement; entertainment (often implying decadent pleasures)
高利貸金	고리대금	High-interest moneylending; usury
協議員	협의원	Council member
沒頭運動	몰두운동	Headlong campaign; lobbying intensely
仕宦慾者	사환욕자	One craving government office
無所屬	무소속	Unaffiliated; independent
人間味	인간미	Human touch; humanity
切實히	절실히	Keenly; acutely; earnestly
勞動者	노동자	Laborer; worker
再生	재생	Rebirth; regeneration
光明	광명	Light; brightness
企待치	기대치	To expect; place hopes on (Older form: 企待하다, modern 기대하다)
切望한다	절망한다	To earnestly hope/desire
短評	단평	Short critique; brief commentary
當局者	당국자	Authorities; person in charge
居住하는	거주하는	Residing; living
彼所稱	피소칭	What they call; so-called
冷情하니까	냉정하니까	Because they are cold/indifferent
새삼스럽게	새삼스럽게	Anew; freshly; once again (often implying redundancy)
府行政	부행정	Prefectural administration
海面埋立	해면매립	Land reclamation from the sea
實費 診察所	실비 진찰소	Clinic charging actual costs
諸般施設	제반시설	Various facilities
居住地	거주지	Residential area
差別	차별	Discrimination; differentiation
黙過치 못하겟다	묵과치 못하겠다	Cannot overlook; cannot ignore (Older form: 못하겟다, modern 못 하겠다)
批難攻擊	비난공격	Criticism and attack
請컨대	청컨대	I request; please (Older form)
不平	불평	Complaint; dissatisfaction
聞하거던	문하거든	If you hear (Older form: -거든)
죠곰이라도	조금이라도	Even a little (Older spelling: 죠곰, modern 조금)
動하는 빗	동하는 빛	Sign of being moved (빛 often used for 'sign' or 'color/appearance')
엇덜가	어떨까	How about...? (Older spelling/form)
現行	현행	Current; existing
昇格함도	승격함도	Upgrading (is also)
此는	차는	This is (Older pronoun form 此)
直接	직접	Directly
過言	과언	Exaggeration
入學生徒	입학생도	Entering students
大部分	대부분	Majority; most part
在住者	재주자	Resident
子弟	자제	Children; sons and daughters
利害關係	이해관계	Interests; stakes
密接으로	밀접으로	Closely; intimately
努力에 依하야	노력에 의하여	Through effort (Older particle use 依하야)
達成하여야 하겟다	달성하여야 하겠다	Must achieve
當面의 問題	당면의 문제	Immediate issue; pressing problem
閑却치 못할	한각치 못할	Cannot be neglected/ignored (Older form: 못할, modern 못 할)
舊聞	구문	Old news
웃으운	우스운	Funny; ridiculous (Older spelling)
두어 字	두어 자	A few words/characters
그적그려	끄적거려	To jot down; scribble (Older spelling/form)
敎諭	교유	Teacher (esp. secondary school)
兩班	양반	Yangban (traditional gentry/aristocracy); here used somewhat sarcastically for 'gentleman'
夏期休暇	하기휴가	Summer vacation
妻家	처가	Wife's family home
妻外家	처외가	Wife's family (synonym for 처가)
外孫女婿	외손녀서	Granddaughter's husband (from maternal side)
困難한 形便	곤란한 형편	Difficult circumstances
어름(氷)	얼음	Ice (Older spelling 어름, Hanja 氷 provided)
絶對로	절대로	Absolutely
참말	참말	Truly; really
移轉의 不可	이전의 불가	Inadvisability of relocation
所答	소답	Response; answer
不得已	부득이	Unavoidable; inevitable
當分間	당분간	For the time being; for a while
推測키 難하다	추측키 난하다	Difficult to guess/surmise (Older form: -키 難하다)
短評者	단평자	Critic; commentator (the author of the short critique)
公共團軆	공공단체	Public organization/body (Older spelling 團軆)
委任經營	위임경영	Entrusted management
得策	득책	Good policy; wise measure
减할 듯	감할 듯	Seems likely to reduce (Older form: 減하다)
民衆	민중	The masses; populace
高等程度	고등정도	Higher level/grade
羞恥스러운	수치스러운	Shameful; disgraceful
바랄 것 업시	바랄 것 없이	Without expecting anything
子弟의 敎育	자제의 교육	Education of children
宜當하다	의당하다	Is proper; is natural; should
一軆로	일체로	As one body; unitedly (Older spelling 軆)
奮鬪하야	분투하여	By striving/struggling hard (Older form: 하야)
設함이 엇덜넌지	설함이 어떨는지	How about establishing...? (Older form/spelling)
風찬露宿	풍찬노숙	Eating in the wind and sleeping in the dew (enduring hardships)
勞動同務	노동동무	Fellow laborers/comrades
爲하야	위하여	For the sake of (Older form: 하야)
昨年 冬브터	작년 겨울부터	Since last winter (Older spelling 브터)
筒易食堂	간이식당	Simple eatery (筒易 likely means 簡易)
決算	결산	Settlement of accounts
多少의 損害	다소의 손해	Some loss/damage
少數의 批難	소수의 비난	Criticism from a few
利益을 브지 못할 것	이익을 보지 못할 것	That it wouldn't see profit (Older spelling 브다 for 보다)
依例의 茶飯事	의례의 다반사	Commonplace occurrence; everyday affair
旣是	기시	Already; since it was already
機關	기관	Institution; facility; organization
規模도 刷新하고	규모도 쇄신하고	Improve the scale and
親切叶嚀	친절정녕	Kindness and diligence/earnestness (叶嚀 likely means 丁寧)
主로 하기로	주로 하기로	Decided to focus on
지참	정참/진참	Truly; indeed (dialectal or older form, possibly related to 참으로)
感謝한 事業	감사한 사업	Thankful enterprise/work
思想上으로본	사상상으로 본	Viewed from an ideological perspective
現狀	현상	Current state/situation
經濟上으로	경제상으로	Economically
安全地帶	안전지대	Safe zone
評價	평가	Evaluation; assessment
섭섭한 말	섭섭한 말	Regrettable words; sorry to say
ㅇ이라고	영이라고	As 'zero'
思想的 生活	사상적 생활	Ideological life
生氣로운 甘雨	생기로운 감우	Life-giving sweet rain
各個心理	개개심리	Individual psychology
合하야	합하여	Combining; uniting (Older form: 하야)
갈 方向의 目標	갈 방향의 목표	Target direction to go
進路	진로	Path; course
보어주는 것	보여주는 것	Thing that shows (Older spelling 보어주다)
7年 前	칠년 전	7 years ago (referring to 1919 from 1925)
깁흔 잠	깊은 잠	Deep sleep (Older spelling 깁흔)
비로소 깨인	비로소 깨인	First awakened
波動	파동	Wave; fluctuation; stir
일으켜 볼 양으로	일으켜 볼 양으로	With the intention of trying to create/stir up
社會의 運動機關	사회의 운동기관	Social movement organization
組織	조직	Organization; organize
무엇도 하는 쳬	무엇도 하는 체	Pretending to do something
제법 떠들석	제법 떠들썩	Quite noisy/bustling
냄새나는 保守性	냄새나는 보수성	Smelly conservatism
小利商人主義	소리상인주의	Petty merchant-ism; focus on small profits
個人的 思想	개인적 사상	Individualistic thought
버리지 못하엿는데야 엇지하랴	버리지 못하였는데야 어찌하랴	Since they couldn't abandon it, what could be done? (Older form: 못하엿는데야)
氣高萬丈하게	기고만장하게	With soaring spirits; arrogantly
100年의 大策	백년의 대책	Grand plan for 100 years
虛空에 돌아가고	허공에 돌아가고	Returned to emptiness
近者에 至하야	근자에 이르러	Recently; lately (Older phrase 至하야)
主湖가 업시	주호가 없이	Without a shore/anchor (likely 洲湖 or similar, meaning destination/goal; Older spelling 업시)
가업는 넓다란 大洋	가없는 넓다란 대양	Boundless, vast ocean (Older spelling 가업는)
배돗도 업고	뱃돛도 없고	Without even a ship's sail (Older spelling/form 배돗)
羅針盤도 업시	나침반도 없이	Without even a compass
제멋대로	제멋대로	As one pleases; arbitrarily
沈滯 又 沈滯된	침체 우 침체된	Stagnated and further stagnated (又 = 또, again)
크나큰 社會	크나큰 사회	Great/large society
指導할 만한	지도할 만한	Capable of leading/guiding
思想家	사상가	Ideologue; thinker
人格者	인격자	Person of character
靑年會	청년회	Youth Association
無氣力하기 짝이 업서	무기력하기 짝이 없어	Utterly powerless/lethargic (Older spelling 업서)
「쁠조아」의 食後 閑談所	부르주아의 식후 한담소	Bourgeoisie's after-meal chat place (쁠조아 = Bourgeois)
딱먹은 장긔판	다 떨어진 장기판	Worn-out chess (janggi) board
痛嘆處	통탄처	Lamentable point/situation
피잇는 者	피 끓는 자	Person with boiling blood (passionate person; Older spelling 잇는)
晏然 黙過할 바리요	안연 묵과할 바이리요	Is it something to be calmly overlooked? (Older form 바리요)
ㅇ인지라	영인지라	Since it is zero
各 機關의 跋*가 甚하고	각 기관의 발호가 심하고	Rampancy/influence (* likely 扈) of various organizations is severe
自盡大道上에	자진대도상에	On the great road to suicide
