잡지명	개벽 제56호
발행일	1925년 02월 01일
기사제목	南信北通 (South News, North Communication)
기사형태	문예기타 (Literary Miscellany)

南信北通
送年會 席上의 片片
江界支社 李元行
It was the night of the 29th day of the 12th lunar month, year Kabja (甲子 - 1924). In consultation with the local Chosŏn, Tonga, and Sidae newspaper branch offices, we connected with local figures of influence within the town to hold a year-end party (送年會). Following the opening remarks from the organizers and a piece of advice from County Magistrate Yi Chongŭn (李鍾殷), who stated, "It is right for people to cast off superficial lives and strive for lives of truth," there was an exchange of opinions among the attendees, which was essentially as follows:

One. Regarding favorable aspects of Kanggye, everyone agreed on the dazzling brilliance of the electric lights, which were previously absent.

Two. Regarding sorrowful aspects of Kanggye, everyone agreed on the instability of the general populace's livelihood, namely the issue of starvation among the poor (細民).

Three. Regarding grievances, there was the unkindness of government officials towards the people, the inequality in human life, the high-interest moneylending by capitalists, and the issue of local factionalism/entrenchment (地方제固*) within the youth circles.

Furthermore, regarding requests for Kanggye: first, the establishment of a high school; second, the establishment of a kindergarten; third, the liberation from the *hyŏpho* system (狹戶制 - narrow household system; Mr. Ch'un* (春*) discussed the *hyŏpho* system in the P'yŏngan North Province issue (平北道號)); fourth, the promotion of the Youth Training Association (靑年修養會); fifth, the cessation of persecuting good villagers under the guise of cracking down on so-called malcontent Koreans (不逞鮮人); and sixth, the establishment of a public hall and a personal affairs consultation office. The issue raised with the most fervor at this gathering was the establishment of a high school (高普校 - abbreviation for 高等普通學校). Finally, the event concluded with some side entertainment that was utterly delightful and thrilling.

開城漫言
븕엉이
In Kaesŏng, the superstition-crazed individuals who fancy themselves as so-called "influentials" (有志) fooled the citizens and rebuilt the Guan Yu Temple (關王廟), acting wildly as if some blessing would fall upon them. Then, police inspectors and county magistrates of the Great Japanese Empire took turns kneeling and prostrating themselves there. At this year's New Year frenzy festival according to the lunar calendar, perhaps they will offer mugwort or cups – this is truly the second Poch'ŏn'gyo (普天敎) of government-civilian cooperation.

As the lunar New Year begins, the women of Songdo (松都 - Kaesŏng), wearing their *ssŭgaech'ima* (씨개치마 - head coverings/shawls), are swept along like a tide towards the Guan Yu Temple (*羽廟), the product of the madness of unemployed idlers (白手不汗黨). Oh, pitiful people of this ruined nation! Who do you believe Guan Yu (*羽) to be? Among them, the most pathetic sight is the slack-jawed loafers drooling as they rush forward.

The number of morphine ("mohi" - 모히) addicts who feel pleasure in piercing their own bodies with their own hands has reached the astonishing figure of over 350 in the Songdo area alone, yet the police turn a blind eye, fostering and nurturing it. Oh, socially conscious figures of Kaesŏng! What do you intend to do about these fearsome self-harming ghosts (*頃剌身鬼)?...

The Koryŏ Youth Association (高麗靑年) has still not settled the accounts for the donations received during last year's flood relief efforts, just dithering about. Are they waiting for another flood this year? Isn't this incomprehensible?

There are quite a number of students commuting to Kyŏngsŏng (Seoul) from both Korean and Japanese communities. While Japanese students study on the train, our students, regardless of gender, waste precious time by idly chattering and giggling. It seems the general bad reputation is considerable, saying their characteristic trait is putting on airs just to catch a whiff of the opposite sex. From now on, I hope for your sake that you pay attention, focus on your studies, and exercise caution so that such talk ceases.

The *Kaesŏng Minbo* (開城民報 - Kaesŏng People's News) (a weekly newspaper), which was rumored to be coming out, was finally published last month under the editorship of the former head of the *Sisa P'yŏngnon* (時事評論 - Current Affairs Review) branch, Mr. Sin Kongnyang (申公良). In any case, let's see the next issue.

中等學校設立의 必要-父兄諸氏에게 檄하노라
元山支社 春岡
To the parents and elders (父兄諸氏) of Wŏnsan! If we, the Korean people of Wŏnsan, possess life,<72> what is the principle and method to find that life, develop it fully, achieve a beautiful hope for Wŏnsan in the future, and form a complete society for the Korean populace of Wŏnsan? I fear there is likely no other way than the two characters "education" (敎育).

In the future, when attempting to reform the social system for Koreans in Wŏnsan, when planning to develop the economy for Koreans in Wŏnsan, when seeking to develop the natural resources of Wŏnsan, when discussing the production of goods in Wŏnsan, with whom indeed shall we speak frankly (肝膽을 披*)? Shall we consult and discuss with the youth of Wŏnsan who have learned nothing, cannot read, cannot write, and do not know how to make a living? If we die, then so be it, but otherwise, we cannot but establish a middle school (中等學校) capable of nurturing the key figures of Wŏnsan.

Though it may sound repetitive, isn't the path to finding the life of us Wŏnsan Koreans and displaying the value of the fine people of Wŏnsan found in establishing a middle school? Ah - the establishment of a middle school, will this not become the issue that determines the life or death of our Wŏnsan Korean populace?

Are we Wŏnsan Korean people not poor? However, if only the fervor and strength for establishing a middle school in Wŏnsan are thorough, I am confident that all hope and vitality will arise from here.

That there isn't a single middle school for our Korean side in Wŏnsan is also greatly related to carving out the destiny of our children residing in Wŏnsan. Look! When spring comes after finishing elementary school, they want to receive middle school education in their hometown, but there is none, so what can they do? Unavoidably, they shoulder their backpacks and head towards Kyŏngsŏng or other regions, only to, by some cruel trick of fate, fail the entrance exams or lack tuition fees, lamenting their future misfortune, and return home dejectedly (넉* 超然이). Seeing these dozens of children, who would begrudge a single drop of sympathetic tear? If one has no tears, that's one thing, but if one has a heart, please quickly establish a middle school.

Should we leave the establishment of a middle school, an educational institution for our children in Wŏnsan, solely to the Government-General authorities? Should we, like the Christians say, rely on foreign missionaries? Parents and elders! To put it in a word, we should trust no one but ourselves; we must carve out our own destiny. In other words, the school to educate our children must be built with our own hands.

非基督新聞雜誌는 멀리하라고
安州一聞生
It is said that at a recent Christian Bible study meeting (査經會) held in Anju, a certain Western pastor from P'yŏngyang came and, while advertising the launch of a magazine called *New Life* (新生命), remarked that our Christian believers must read not only the Old and New Testaments but also the *Christian News* (基督申報), *Pilgrim's Progress* (犬路程歷 - likely 天路歷程), and *New Life*, and that it is better to stay as far away as possible from things like *Gaebyeok* (開闢) magazine or other non-Christian newspapers. If this is just a rumor, it's no wonder, but if it is fact, I wonder if he isn't an overly sensitive, neurotic person. Furthermore, seeing that among the audience present when he made such remarks, there wasn't a single word or half-phrase of questioning, it must have been the audience's psychology at the time that, accustomed as they are to nodding yes and bowing their heads in silence if a Western pastor speaks, even if he calls a deer a horse (指鹿謂馬), they truly believed that *Gaebyeok* magazine or other general newspapers were major obstacles on the path to finding the Way to Heaven (天路). Needless to say, I can only consider it fortunate if his words turn out to be rumor rather than an actual slip of the tongue (實言의 失言).

瑞山의 怪消息
Was it last November? At a lecture meeting held by the Sŏsan Youth Association (瑞山靑年會) in South Ch'ungch'ŏng Province, speaker Mr. An Pyŏngsam (安秉三), under the title "Thought of Misconception and Thought of Right Conception" (錯覺의 思想과 正覺의 思想), was passionately denouncing the corruption of old moral ideas. He pointed to the critical phrase about Confucius, "wandering about helplessly like a dog from a house of mourning" (累累若喪家之狗), and vehemently discussed how eager Confucius was to secure a position, however humiliatingly. Hearing this, some 40-odd Confucian scholars (儒者) from that place, including Yu Kŭnt'ae (柳根泰) and Kim Chaegil (金在吉), not only issued a "Denunciation Statement against Mr. An" but also campaigned to obstruct his travel. Today, the great trend of the world has already passed the revolutionary period and is entering institutional reform, yet these people are making denunciations and whatnot over an issue concerning Confucius – what a detestable and pitiful bunch they are. Haha. <73>
<72-73>

**Summary**

This collection of reports from various Korean regions in early 1925 highlights pressing local concerns under Japanese colonial rule. Issues range from infrastructure development (electrification in Kanggye) and economic hardship (poverty, high interest rates) to social problems (morphine addiction in Kaesŏng, official indifference) and cultural clashes (criticism of Confucian scholars in Sŏsan, missionary views on secular media in Anju). A recurring and fervent theme is the demand for education, specifically the establishment of Korean-run middle and high schools (Kanggye, Wŏnsan), seen as crucial for community development, youth opportunity, and self-reliance. The article reflects a society grappling with modernization, colonial constraints, social ills, and the assertion of Korean identity, particularly through education and community action. Historians might find the diverse local perspectives on colonial administration, social issues like addiction and poverty, the emphasis on self-help for education, and the documented tensions between traditionalists, modernizers, and colonial/foreign influences particularly valuable.

**Named Entities**

江界	강계	Kanggye
李元行	이원행	Yi Wŏnhaeng
朝鮮	조선	Chosŏn (Newspaper)
東亞	동아	Tonga (Newspaper)
時代	시대	Sidae (Newspaper)
李鍾殷	이종은	Yi Chongŭn
平北道號	평북도호	P'yŏngbuktoho (P'yŏngan North Province Issue/Publication)
春*君	춘*군	Ch'un*gun (Mr. Ch'un*)
開城	개성	Kaesŏng
關王廟	관왕묘	Kwanwangmyo (Guan Yu Temple)
大日本帝國	대일본제국	Tae Ilbon Cheguk (Great Japanese Empire)
普天敎	보천교	Poch'ŏn'gyo
松都	송도	Songdo (Kaesŏng)
*羽廟	*우묘	*Umyo (Guan Yu Temple)
*羽	*우	*U (Guan Yu)
高麗靑年	고려청년	Koryŏ Ch'ŏngnyŏn (Koryŏ Youth Association)
京城	경성	Kyŏngsŏng (Seoul)
開城民報	개성민보	Kaesŏng Minbo (Kaesŏng People's News)
時事評論	시사평론	Sisa P'yŏngnon (Current Affairs Review)
申公良	신공량	Sin Kongnyang
元山	원산	Wŏnsan
春岡	춘강	Ch'un'gang
總督府	총독부	Ch'ongdokpu (Government-General)
安州	안주	Anju
基督敎	기독교	Kidokkyo (Christianity)
平壤	평양	P'yŏngyang
新生命	신생명	Sinsaengmyŏng (New Life Magazine)
基督申報	기독신보	Kidok Sinbo (Christian News)
開闢	개벽	Kaebyŏk
瑞山	서산	Sŏsan
忠南	충남	Ch'ungnam (South Ch'ungch'ŏng Province)
瑞山靑年會	서산청년회	Sŏsan Ch'ŏngnyŏnhoe (Sŏsan Youth Association)
安秉三	안병삼	An Pyŏngsam
孔子	공자	Kongja (Confucius)
柳根泰	유근태	Yu Kŭnt'ae
金在吉	김재길	Kim Chaegil

**Glossary**

支社	지사	Branch office
有志	유지	Influential person, person of high repute
送年會	송년회	Year-end party
開催	개최	To hold (an event)
開會辭	개회사	Opening remarks
郡守	군수	County Magistrate
假面的	가면적	Superficial, masked
圖함이 可하다	도함이 가하다	It is right to strive for/plan (Older grammatical form)
電燈	전등	Electric light
휘화찬란함	휘황찬란함	Dazzling brilliance (Older spelling: 휘화찬란함)
一致하얏구요	일치하였고요	Reached an agreement/consensus (Older spelling/form)
悲感	비감	Sorrow, grief
細民	세민	Poor people, commoners
饑餓	기아	Starvation, hunger
不平	불평	Complaint, grievance
官公吏	관공리	Government officials
高利貨金	고리화금	High-interest moneylending (likely 고리대금)
靑年界	청년계	Youth circles/community
地方제固*問題	지방제고*문제	Issue of local factionalism/entrenchment (Meaning inferred; character missing/unclear)
高等學校	고등학교	High School (specifically 高等普通學校 in colonial context)
幼稚園	유치원	Kindergarten
狹戶制	협호제	Narrow Household System (Specific local regulation, precise meaning unclear from context)
解放	해방	Liberation, release
靑年修養會	청년수양회	Youth Training Association
振興	진흥	Promotion, encouragement
不逞鮮人	불령선인	Malcontent/rebellious Koreans (Derogatory term used by Japanese authorities)
取締	취체	Crackdown, control, regulation
迫害	박해	Persecution
公會堂	공회당	Public hall
人事相談所	인사상담소	Personal Affairs Consultation Office
設置	설치	Establishment, installation
高調	고조	High tone, strong emphasis, fervor
高普校	고보교	High School (Abbreviation for 高等普通學校)
奇絶快絶	기절쾌절	Utterly delightful and thrilling
餘興	여흥	Side entertainment, amusement
漫言	만언	Rambling talk, idle chatter
迷信狂	미신광	Superstition fanatic
愚弄	우롱	To fool, make fun of
妄動發狂	망동발광	Reckless action, frenzy
警部	경부	Police Inspector (Japanese rank)
꿀어 업듸엿섯다	꿇어 엎드렸었다	Knelt and prostrated (Older spelling/form)
陰曆	음력	Lunar calendar
씨개치마	쓰개치마	Women's head covering or shawl (Older spelling)
白手不汗黨	백수불한당	Unemployed idler, hooligan
可憐	가련	Pitiful, pathetic
놈팽이	놈팡이	Loafer, good-for-nothing (Colloquial, derogatory)
모히	모히	Morphine (Likely phonetic rendering)
中毒者	중독자	Addict
達하듸	달하되	Reaches, amounts to (Older spelling/form)
視面不見	시면불견	To turn a blind eye (Classical Chinese phrase)
助長養成	조장양성	To foster and nurture (negatively)
*頃剌身鬼	*경랄신귀	Self-harming ghosts (Meaning inferred, possibly related to addicts' appearance/actions; character missing/unclear)
水害救濟	수해구제	Flood relief
義捐金	의연금	Donation money
收支決算	수지결산	Settlement of accounts, financial statement
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
通學生	통학생	Commuting student
鮮日人	선일인	Koreans and Japanese
莫論	막론	Regardless of
浪費	낭비	Waste (of time, money etc.)
異性	이성	Opposite sex
맵시	맵시	Stylish appearance, charm (Older spelling: 맵사)
惡評	악평	Bad reputation, criticism
如干안인 모양이다	여간 아닌 모양이다	Seems considerable, not insignificant (Older spelling: 여간안인)
謹愼	근신	Prudence, caution, self-restraint
檄하노라	격하노라	To issue a call to action, proclaim (檄文: written appeal)
父兄諸氏	부형제씨	Parents and elders (Respectful term)
生命	생명	Life
洽足히	흡족히	Satisfactorily, fully (Older spelling)
道理	도리	Principle, way, reason
他道	타도	Other way, alternative path
業슬 듯 함니다	없을 듯 합니다	Seems there is no... (Older spelling/form)
改革	개혁	Reform
經濟	경제	Economy
開拓	개척	Develop, cultivate, pioneer
物貨	물화	Goods, commodities
生産	생산	Production
肝膽을 披*	간담을 피*	To speak frankly (披瀝 - 피력) (Character missing)
議하며 論할가	의하며 논할까	Shall we discuss and debate? (Older form)
中堅人物	중견인물	Key figure, backbone personnel
養할만한	양할만한	Capable of nurturing/raising
設할 수 업슴니다	설할 수 없습니다	Cannot establish (Older spelling/form)
價値	가치	Value
發揮	발휘	Display, demonstrate
死活	사활	Life or death
가난뱅이	가난뱅이	Poor person (Colloquial)
熱誠	열성	Fervor, enthusiasm
活力	활력	Vitality, energy
子弟	자제	Children, sons and daughters
運命	운명	Destiny, fate
奈何오	내하오	What can be done? How can it be helped? (Archaic)
不得已	부득이	Unavoidably, inevitably
笈을 負하고	급을 부하고	To shoulder one's backpack (for study/travel)
惡戱	악희	Cruel trick, prank
無學費	무학비	Lack of tuition fees
悲觀	비관	Pessimism, lamentation
넉* 超然이	넉* 초연히	Dejectedly, spiritlessly (넉/魂 - soul) (Character missing)
歸家	귀가	Returning home
一滴	일적	A single drop
同情淚	동정루	Tear of sympathy
惜할 者有하리오	석할 자 유하리오	Who would begrudge...? (Archaic literary form)
已어니와	이어니와	That being the case... / If that's all... (Older form)
當局	당국	The authorities
耶蘇敎人	야소교인	Christian (Older term for 예수교인)
宣敎師	선교사	Missionary
一言而蔽之	일언이폐지	To put it in a word, in short (Classical Chinese phrase)
這般	차반	Recently
査經會	사경회	Bible study meeting
牧師	목사	Pastor
創刊	창간	Launch (of a publication)
廣告	광고	Advertisement
信者	신자	Believer
新舊約	신구약	Old and New Testaments
勿論	물론	Of course, needless to say
반다시	반드시	Surely, certainly (Older spelling)
밧게	밖에	Outside of, other than (Older spelling)
되도록	되도록	As much as possible
멀니	멀리	Far away (Older spelling)
風說	풍설	Rumor
無怪	무괴	No wonder
感受性的	감수성적	Sensitive
神經過敏者	신경과민자	Neurotic person
發할	발할	To utter, make (a statement)
當席	당석	On that occasion, at that seat
同叅	동참	To participate together
聽衆	청중	Audience
一言半辭	일언반사	A single word or half-phrase
質疑	질의	Questioning, inquiry
無한	무한	Non-existent (Older form)
指鹿謂馬	지록위마	To call a deer a horse (deliberate misrepresentation)
唯唯 黙頭	유유 묵두	To only say 'yes, yes' and bow one's head (obediently)
果然	과연	Indeed, truly
天路	천로	Way to Heaven (often refers to Pilgrim's Progress)
歷程	역정	Journey, process
障碍	장애	Obstacle, hindrance
當時	당시	At that time
心理	심리	Psychology
實言	실언	Actual words, true statement
失言	실언	Slip of the tongue, gaffe
幸	행	Fortunately
怪消息	괴소식	Strange news, bizarre tidbit
講演會	강연회	Lecture meeting
演士	연사	Speaker, lecturer
