Magazine Title: 開闢 제57호
Publication Date: 1925년 03월 01일
Article Title: 喜悲交集의 敎育界의 昔今 (The Past and Present of the Educational World, a Mixture of Joy and Sorrow)
Article Type: 논설 (Editorial)

The Past and Present of the Educational World, a Mixture of Joy and Sorrow

1. The Origins of New Education in Chosŏn
As we all know, the previous educational system of our Chosŏn maintained the Sŏnggyun'gwan and the Four Schools (Sahak: East, West, South, Central) in Kyŏngsŏng, placed Hyanggyo (county schools) in each prefecture and county, and Sŏdang (village schools) in each village and hamlet. The general sequence was to enter the Hyanggyo from the Sŏdang, the Sahak from the Hyanggyo, and from the Sahak again into the Sŏnggyun'gwan to learn the highest level of scholarship. As the times changed, the civil service examination system (Kwagŏ) was abolished at the end of the 502nd year of the Founding [of the Joseon Dynasty, i.e., 1894], and in the following year, Ŭlmi [1895], the government of the time (the Kim Hong-jip cabinet), along with reforming general national administration, established a new educational system, founding elementary schools, middle schools, normal schools, foreign language schools, and other schools. This was the beginning of Chosŏn's new education and, at the same time, a pivotal moment marking a major transformation in national thought. However, the people of the time did not understand this school education well, and the government authorities, changing day and night, also lacked the sincerity to operate it, so it did not see particular dissemination. Then, during the Russo-Japanese War (Illo Chŏnyŏk) period of Kwangmu 8-9 [1904-1905], as the fate of the peninsula was becoming precarious, it experienced rapid development like a swift wind and sudden thunder (Indeed, looking at the educational world around the 4th year of Yung'hŭi [1910], just before the annexation, excluding government and public schools such as common schools, high schools, foreign language schools, higher girls' schools, and vocational schools, there were over 2,000 private schools established purely by the private sector – showing an average of about one school per *myŏn* [township]. This allows us to gauge how vigorous the trend of new education was at the time). But the time was already late, and the newly burgeoning national education, despite its flourishing, could not save the great house from its final collapse.

2. Abolition and Reform of the Educational Origins!
When Japan and Korea merged in the 4th year of Yung'hŭi [1910] and the Government-General of Chosŏn was established, among the immediate overhaul of all systems, the education system, in particular, was deemed a fundamental issue that could not be established lightly. <51> After agonizing over it for a full year, the Chosŏn Education Ordinance (朝鮮敎育令) was announced in August of the following year [1911], and the ordinances for various schools and miscellaneous regulations were announced in October of the same year, to be implemented from November. With this, the independent origins of Chosŏn education were severed, and a new origin of Japanese-made education, aimed at fostering loyal subjects for the Great Japanese Empire (大日本帝國), replaced it.
According to the explicit statements of the Government-General authorities at the time, "The education of Koreans from now on, based on the Imperial Rescript on Education (敎育勅語), takes fostering loyal subjects as its fundamental principle, exerting effort in the cultivation of virtue (德性) and the dissemination of the Japanese language, imparting knowledge and skills essential for daily life, and striving to simplify the school system and standards." To rephrase this once more: The education of Koreans from now on has its fundamental principle in remodeling the thoughts and feelings of existing Chosŏn people to assimilate them into purely Japanese people. Special emphasis is placed on cultivating subservience (the character to obediently follow the rule of the Government-General – officially mandated virtue) and the study of the Japanese language. On the other hand, it provides the knowledge and skills suitable for becoming clerks in *myŏn*, *pu*, *kun*, *to*, and courts, industrial technicians, common school teachers, medical practitioners, and other subordinate staff in government/public offices and companies. Accordingly, the school system and standards are made extremely simple, establishing 4-year common schools, 4-year boys' higher common schools, 3-year girls' higher common schools, and a few specialized schools (專修學校) as the highest institutions. As for vocational education institutions, simple agriculture, simple industry, simple commerce, and simple fisheries schools were established, focusing solely on the four characters "simple and basic" (簡易卑近). Except for a few independent schools, all were attached to public common schools.
The authorities, who would only smile with determination after picking up and eating even a fallen grain of rice themselves, separately enacted the Private School Regulations (私立學校規則) in March of Taishō 4 [1915]. This required private schools wishing to provide general education, vocational education, or specialized education to determine their respective curricula according to the regulations concerning the corresponding government/public schools and also stipulated the qualifications for their teachers. As a result, private schools thereafter had no choice but to either voluntarily change their structure to become common schools or higher common schools, or else close their doors – they were forced to choose one of the two. In this way, purely private schools were essentially completely annihilated (全滅).

3. One Student per 12 Households
After several years passed like this, looking into the Chosŏn educational world as of the summer of Taishō 7 [1918] (the year before Kim'i [1919]), throughout all of Chosŏn, there were 462 common schools with over 87,000 students. There were 6 government higher common schools (one each in Kyŏngsŏng, P'yŏngyang, Taegu, Hamhŭng, plus one girls' higher common school each in Kyŏngsŏng and P'yŏngyang) with over 2,100 students. There were 10 private higher common schools (Yangjŏng, Paejae, Posŏng, Hwimun, Sungmyŏng, Chinmyŏng in Kyŏngsŏng; Hosudon, <52> Songdo in Kaesŏng; Kwangsŏng in P'yŏngyang; Tongnae High Common School in Tongnae, etc.) with over 2,000 students. There were 88 vocational schools (agriculture, commerce, industry, fisheries as of October of the same year) with over 3,900 students. For specialized schools, there were 4 government schools (Kyŏngsŏng Specialized School [likely Kyŏngsŏng Pŏphak Chŏnmun Hakkyo, Law School], Kyŏngsŏng Medical Specialized School [Kyŏngsŏng Ŭijŏn], Kyŏngsŏng Technical Specialized School [Kyŏngsŏng Kongjŏn], Suwŏn Agriculture and Forestry Specialized School) with over 500 students, and 3 private schools (Yŏnhŭi, Severance [세부란스], Posŏng Specialized School) with over 200 students. Besides these, as of the end of June of the same year, there were 809 other private schools counting over 100,000 students.
Summing the above, in Taishō 7, the total number of schools in Chosŏn for the education of Koreans was 1,382, with approximately 200,000 students. Comparing this to the number of Korean households at the end of the same year, which was over 3,139,000 (population over 16,697,000), it calculates to approximately one student sent out per 12 households.

1. Revision of the Education System
March of Taishō 8 [1919] passed. An indescribable change occurred in the thoughts and feelings of the Chosŏn people, and when this change manifested in the educational sphere, it became a passion for learning, summarized as "We must first know." From Sŏdang and lecture centers (講習所) to elementary schools, middle schools, and specialized schools, everywhere burst with people wanting to learn. Even the new authorities of the Government-General, who proclaimed a so-called "Cultural Policy," could not resist the tide of the situation and decided to revise the existing educational policy somewhat. In November of Taishō 9 [1920], they first stipulated that the common school term (previously 4 years) would be 6 years in principle, and that a supplementary course (補習科) of up to 2 years could be added to higher common schools. Then, in February of Taishō 11 [1922], the Chosŏn Education Ordinance was promulgated again, implementing revisions across the entire school system. Concurrently, new regulations were established for Government-General schools, public school ordinances (for Japanese), common schools, higher common schools, and girls' higher common schools. Also, it was stipulated that in special circumstances, Koreans could enter elementary schools (小学校), middle schools (中学校), and higher girls' schools (高等女學校) [schools primarily for Japanese], just as Japanese could enter common schools (普通學校), higher common schools (高等普通學校), and girls' higher common schools (女子高等普通學校) [schools primarily for Koreans]. For vocational education, specialized education, university education, and its preparatory education, co-education (共學) of Japanese and Koreans was made the principle. Vocational schools were to follow the Vocational School Ordinance and relevant regulations of the Ministry of Education (文部省令). Specialized education, university education, and its preparatory education were to follow the Specialized School Ordinance or the University Ordinance. Regarding universities, for the time being, only their preparatory courses (豫科) would be established, and the higher school (高等学校) system of mainland Japan would not be adopted for the time being. As for teacher training, whereas previously there were only normal courses attached to the boys' and girls' higher common schools in Kyŏngsŏng and P'yŏngyang, this time, one government normal school was specially established in Kyŏngsŏng and one public normal school in each province, <53> allowing teacher training to be conducted independently, albeit at an elementary level.

2. General Devotion to Education
However, this pertains to the educational system. The zeal and effort of the general Chosŏn populace towards education after Taishō 8 [1919] were truly astonishing. Not to mention the fervor for fundraising campaigns (財團期成運動) for various middle schools and specialized schools, and for establishing public schools in one's own region, it is common knowledge that the establishment of day/night lecture centers (晝夜學의 講習所) or improved Sŏdang (改良書堂), run centering around individual volunteers or local youth groups, has made a great contribution to the eradication of illiteracy (文盲退治) in Chosŏn.

3. One Student per 7 Households
Now, looking at this with numbers, as of the end of May last year [1924], there were 1,087 public common schools with over 361,000 students. There were 16 government higher common schools (since Kim'i [1919], one new school each was established in Chŏnju, Kyŏngsŏng [presumably another one], Sinŭiju, Kwangju, Tongnae, Kyŏngsŏng [North Hamgyong Province], Haeju, Kongju, Ch'ŏngju, Ch'unch'ŏn) with 5,740 students. There were 13 private higher common schools (since Kim'i, Chungang, Koch'ang, Ihwa, Chŏng'ŭi Higher Common Schools underwent reorganization) with over 5,900 students. For specialized schools, there were 6 government-established schools (since Kim'i, Kyŏngsŏng Imperial University Preparatory Course [京城帝國大學豫科] and Kyŏngsŏng Higher Commercial School [京城高等商業學敎] (mainly for Japanese) were newly added) with over 500 students, and 3 private schools with over 500 students. There were 60 government/public vocational schools with over 6,400 students, and 14 normal schools with over 1,500 students. Other private schools numbered 753 (of which 299 belonged to the management of foreign missionaries) with over 100,000 students. Calculating the total, as of the end of May last year, the total number of schools educating Koreans within Chosŏn was 1,952 (an increase of over 400 schools since Kim'i), with a total student population of approximately 480,000. Comparing this student number to the total number of Korean households at the end of last year, over 3,300,000, it calculates to approximately one student sent out per 7 households (before Kim'i, it was 1 student per 12 households).

1. The Problem of Japanese-Korean Co-education
A major issue for Koreans in the current education of Chosŏn, especially in specialized education, is the so-called Japanese-Korean co-education (日鮮人共學). That is, this "Japanese-Korean co-education" was something the Government-General authorities initiated back in April of Taishō 5 [1916] by almost borrowing a few specialized schools intended for Korean enrollment, in order to provide specialized education to the children of Japanese residents in Chosŏn. Since Taishō 8 [1919], <54> under the banner of abolishing discrimination between Japanese and Koreans, the principle of co-education for vocational specialized schools and university preparatory courses was established. From then on, the enrollment of Japanese students in various specialized schools increased dramatically. As of the end of May last year, looking at the breakdown of Japanese and Korean students in each specialized school: University Preparatory Course had 124 Japanese and 44 Koreans; Kyŏngsŏng Medical Specialized School (Kyŏngsŏng Ŭijŏn) had 199 Japanese and 198 Koreans; Kyŏngsŏng Higher Technical School (Kyŏngsŏng Kogon) had 83 Japanese and 44 Koreans; Kyŏngsŏng Higher Commercial School (Kyŏngsŏng Kosang) had 214 Japanese and 29 Koreans; Suwŏn Higher Agriculture and Forestry School had 143 Japanese and 63 Koreans. Only Kyŏngsŏng Law School (京城法學) had solely Korean students, numbering 179. Summing this up, there were 785 Japanese students and 532 Korean students, putting Japanese students in a position of occupying nearly two-thirds of the total student body. Especially in recent years, Japanese students coming over from mainland Japan are being admitted, and it seems the day is not far off (if things continue this way) when the few specialized schools currently existing in Chosŏn will become exclusively for Japanese use. This phenomenon was not so evident even under the Government-General's education policy before Taishō 8 – in other words, it is a product of the post-Saitō "benevolent administration" (善政). Is this the subtle flavor of "Impartial Benevolence" (一視同仁), "Abolition of Discrimination" (差別撤廢), and "Cultural Policy" (文化政策)?

2. The Fundamental Problem of the Educational World
There is much to say about Chosŏn education before and after Taishō 8 [1919]. However, due to space limitations, I will abbreviate and say one final word. In the last 5 or 6 years, the wealth (富力) of the Chosŏn populace has decreased daily. Although the desire for education is as high as Mount T'aesan, circumstances are such that more schools cannot be built, and children cannot be further educated. Furthermore, even after completing studies, the path to livelihood is uncertain (漠然). The presence or absence of educational fervor is no longer the issue; the immediate fate facing the majority of the populace is that they lack the strength to pursue education even if they want to. If this world continues as it is, the situation for common school students is still unknown, but from the middle school level upwards, the number of students seems likely to gradually decrease, and the day may not be far off when only the children of a few wealthy families pass through the school gates. When will the time come for education truly for the masses, making each and every person among the masses prosperous? <55>

**Summary**

This 1925 editorial traces the evolution of Korean education from the traditional Joseon system through the early modern reforms, the dramatic expansion before Japanese annexation, and the subsequent imposition of a colonial education system by the Government-General. It details the Japanese policy aimed at assimilation, suppressing private Korean initiatives while promoting Japanese language and loyalty. The article notes a surge in Korean demand for education after the 1919 March First Movement, leading to superficial reforms under the "Cultural Policy," but highlights the increasing dominance of Japanese students in higher/specialized education through the "co-education" policy. Finally, it laments the growing economic hardship preventing the Korean masses from accessing education, questioning the future viability of education for ordinary Koreans despite their strong desire for it.

For historians, this article is significant as a contemporary Korean critique of Japanese colonial education policy. It reveals the explicit assimilationist goals (creating "loyal subjects," promoting Japanese language, cultivating "subservience"), the methods used to control education (suppressing private schools, simplifying curricula for Koreans), the impact of the March First Movement on policy (concessions like extended school years but also strategic co-option like "co-education"), and the stark socio-economic realities limiting Korean access despite increased demand. The statistics provided on school/student numbers and the revealing breakdown of Japanese vs. Korean students in specialized schools offer concrete data on the effects of colonial policies. The final pessimistic outlook reflects the deep-seated concerns about cultural survival and social mobility under colonial rule.

**Named Entities**

朝鮮	조선	Chosŏn
京城	경성	Kyŏngsŏng
成均舘	성균관	Sŏnggyun'gwan
東學	동학	Tonghak (Refers to Eastern School of the Four Schools)
西學	서학	Sŏhak (Refers to Western School of the Four Schools)
南學	남학	Namhak (Refers to Southern School of the Four Schools)
中學	중학	Chunghak (Refers to Central School of the Four Schools)
四學	사학	Sahak (The Four Schools)
鄕校	향교	Hyanggyo
書堂	서당	Sŏdang
金宏集	김홍집	Kim Hong-jip
乙未	을미	Ŭlmi (Year 1895)
光武	광무	Kwangmu (Era name, 1897-1907)
日露	일로	Illo (Japan-Russia)
半島	반도	Pando (Peninsula, i.e., Korea)
隆熙	융희	Yung'hŭi (Era name, 1907-1910)
日韓	일한	Ilhan (Japan-Korea)
朝鮮總督府	조선총독부	Chosŏn Ch'ongdokpu (Government-General of Chosŏn)
大日本帝國	대일본제국	Tae Ilbon Cheguk (Great Japanese Empire)
日本	일본	Ilbon (Japan)
大正	대정	Taejŏng (Taishō era, 1912-1926)
平壤	평양	P'yŏngyang
大邱	대구	Taegu
咸興	함흥	Hamhŭng
養正	양정	Yangjŏng (Yangjeong School)
培材	배재	Paejae (Pai Chai School)
普成	보성	Posŏng (Bosung School)
徽文	휘문	Hwimun (Whimoon School)
淑明	숙명	Sungmyŏng (Sookmyung School)
進明	진명	Chinmyŏng (Jinmyeong School)
開城	개성	Kaesŏng
好壽敦	호수돈	Hosudon (Holston Girls' School)
松都	송도	Songdo (Songdo Higher Common School)
光成	광성	Kwangsŏng (Kwangsung School)
東萊	동래	Tongnae
京城專修	경성전수	Kyŏngsŏng Chŏnsu (Kyŏngsŏng Specialized School, likely Law)
京城醫專	경성의전	Kyŏngsŏng Ŭijŏn (Kyŏngsŏng Medical Specialized School)
京城工專	경성공전	Kyŏngsŏng Kongjŏn (Kyŏngsŏng Technical Specialized School)
水原農林專門學校	수원농림전문학교	Suwŏn Nongnim Chŏnmun Hakkyo (Suwŏn Agriculture and Forestry Specialized School)
延禧	연희	Yŏnhŭi (Yonhi College)
세부란스	세브란스	Sebŭransŭ (Severance Union Medical College)
普成專門學校	보성전문학교	Posŏng Chŏnmun Hakkyo (Bosung Specialized School)
己未	기미	Kim'i (Year 1919)
文部省	문부성	Munbusŏng (Ministry of Education, Japan - Mombushō)
全州	전주	Chŏnju
新義州	신의주	Sinŭiju
光州	광주	Kwangju
鏡城	경성	Kyŏngsŏng (Kyongsong, North Hamgyong)
海州	해주	Haeju
公州	공주	Kongju
淸州	청주	Ch'ŏngju
春川	춘천	Ch'unch'ŏn
中央	중앙	Chungang (Chungang School)
高敞	고창	Koch'ang (Gochang Higher Common School)
梨花	이화	Ihwa (Ewha School)
正義	정의	Chŏng'ŭi (Chongui Girls' Higher Common School)
京城帝國大學豫科	경성제국대학예과	Kyŏngsŏng Cheguk Taehak Yekwa (Keijō Imperial University Preparatory Course)
京城高等商業學敎	경성고등상업학교	Kyŏngsŏng Kodŭng Sang'ŏp Hakkyo (Keijō Higher Commercial School)
京城高工	경성고공	Kyŏngsŏng Kogong (Kyŏngsŏng Higher Technical School)
京城高商	경성고상	Kyŏngsŏng Kosang (Kyŏngsŏng Higher Commercial School)
水原高等農林	수원고등농림	Suwŏn Kodŭng Nongnim (Suwŏn Higher Agriculture and Forestry School)
京城法學	경성법학	Kyŏngsŏng Pŏphak (Kyŏngsŏng Law School)
齋藤	제등	Saitō (Governor-General Saitō Makoto)
泰山	태산	T'aesan (Mount Tai / Figurative: Great mountain)

**Glossary**

淵源	연원	Origin, source
가티	같이	Like, as (Older spelling of 같이)
制度	제도	System
科擧	과거	Gwagŏ (Joseon civil service examination)
廢止	폐지	Abolition
翌年	익년	The following year
當時	당시	At that time
베풀어	베풀어	To establish, set up, bestow
刱始	창시	Beginning, start, foundation
同時	동시	At the same time
契機	계기	Opportunity, turning point, moment
人民	인민	The people
朝暮	조모	Morning and evening; frequently, constantly
更迭	경질	Change, replacement (of personnel)
當局	당국	The authorities
誠意	성의	Sincerity
缺하야	결하여	Lacking (Older grammatical form of 결하여)
普及	보급	Dissemination, spread
밋처	미처	Reaching, arriving at (Older spelling of 미쳐)
命運	명운	Fate, destiny
岌嶪	급업	Precarious, perilous
疾風迅雷	질풍신뢰	Swift wind and sudden thunder; extremely fast/rapid
發展	발전	Development
卽	즉	That is, namely
倂合	병합	Annexation, merger
隆熙	융희	Yung'hŭi (Korean era name 1907-1910)
旺盛	왕성	Vigorous, flourishing
可察	가찰	Can be observed, gauged
모쳐럼	모처럼	After much effort, finally (Older spelling of 모처럼)
蔚興	울흥	Flourishing, thriving
왈카닥	왈칵	Suddenly, abruptly (onomatopoeia for collapsing)
너머지는	넘어지는	Falling down, collapsing
最后	최후	The end, final moment
救치	구하지	Save (Older negative ending form of 구하다)
마럿다	말았다	Ended up not being able to (Older spelling/form of 말았다)
合邦	합방	Annexation, merger (Japan-Korea)
設置	설치	Establishment
卽時	즉시	Immediately
萬般	만반	All kinds, various
뒤고치는	뜯어고치는	Overhauling, fixing thoroughly (Seems like 뜯어고치는)
輕忽히	경홀히	Lightly, carelessly
끙끙이를 대이다가	끙끙앓다가	To agonize over, struggle with (Idiomatic phrase)
翌年	익년	The following year
發表	발표	Announcement, publication
實施	실시	Implementation
自在	자재	Independent, autonomous
中絶	중절	Interruption, cessation
代하엿다	대신하였다	Replaced (Older form of 대신하였다)
勅語	칙어	Imperial Rescript
御趣旨	어취지	Imperial will/intention (Japanese honorific term)
基하야	기하여	Based on (Older form of 기하다)
忠良	충량	Loyal and good
養成	양성	Fostering, cultivation
本義	본의	Fundamental principle, true meaning
德性	덕성	Virtue, moral character
涵養	함양	Cultivation, fostering (of character, virtue)
致力	치력	Devotion of effort
普及	보급	Dissemination, spread
必須	필수	Essential, necessary
知識技能	지식기능	Knowledge and skills
授하며	주며	Giving, imparting (授 = 줄 수)
系統	계통	System, lineage
程度	정도	Degree, level, standard
簡約	간약	Simple, brief
푸러	풀어	Unraveling, explaining (Older spelling of 풀어)
在來	재래	Conventional, existing
變造	변조	Alteration, modification, fabrication
純然	순연	Purely, entirely
同化	동화	Assimilation
從順性	종순성	Subservience, compliance
官制德性	관제덕성	Officially manufactured virtue
全力	전력	All one's energy/effort
可할	가할	Suitable, possible (Older form related to 가능하다)
屬僚	속료	Subordinate official, staff
딸라	따라	According to, following (Older spelling of 따라)
至極히	지극히	Extremely
簡略	간략	Simple, brief
專修學校	전수학교	Specialized school (post-secondary, below university)
機關	기관	Institution, organization
簡易	간이	Simple, easy
卑近	비근	Lowly, basic, commonplace
爲主	위주	Main focus, principle
除한 外에는	제외하고는	Except for
付設	부설	Attached (to an institution)
떠러진	떨어진	Fallen
주어먹고서야	주워먹고서야	Only after picking up and eating
制定	제정	Enactment, establishment
當該	당해	Relevant, corresponding
準據	준거	To be based on, conform to
各其	각기	Each, respectively
課程	과정	Curriculum
資格	자격	Qualification
結果	결과	Result, consequence
一自以後	일자이후	Henceforth, from that point on
自進	자진	Voluntarily
組織	조직	Organization, structure
變更	변경	Change, alteration
아느면	않으면	Or else, if not (Older spelling of 않으면)
取치 아니치 못하게 되엿다	취하지 않을 수 없게 되었다	Was forced to take/choose
純然	순연	Purely, genuinely
全滅	전멸	Complete destruction, annihilation
녀름	여름	Summer (Older spelling)
뒤져보면	뒤져보면	If one searches through
通하야	통하여	Throughout (Older spelling of 통하여)
生徒	생도	Student
外에	외에	Besides, in addition to
仝年	동년	The same year
現在	현재	Present time, as of
算하엿다	산하였다	Counted, calculated (Older form)
總計	총계	Grand total
戶數	호수	Number of households
人口	인구	Population
對比하면	대비하면	If compared to
내서운	내세운	Put forth, produced (Older spelling of 내세운)
修正	수정	Revision, modification
變動	변동	Change, fluctuation
方面	방면	Aspect, field, direction
爲先	우선	First of all (Older usage/spelling)
알어야	알아야	Must know (Older spelling of 알아야)
學問熱	학문열	Passion for learning
講習所	강습소	Lecture center, training institute
업시	없이	Without (Older spelling of 없이)
모도가	모두가	Everyone, all (Older spelling of 모두가)
툭 터지게 되매	봇물 터지듯 하매	As it burst forth like a flood
標榜	표방	Advocacy, proclamation
多少間	다소간	Somewhat, to some extent
改正	개정	Revision, amendment
되야	되어	Becoming (Older spelling of 되어)
修業年限	수업연한	Length of study, school term
從來	종래	Conventionally, previously
箇年	개년	Years (Counter)
原則	원칙	Principle
補習科	보습과	Supplementary course
亙한	걸친	Spanning, concerning (亙 = 걸칠 긍)
行함과 가티	행함과 같이	Concurrent with carrying out
並其	병기	And its...
採用	채용	Adoption, employment
師範敎育	사범교육	Teacher training education
不過	불과	Merely, only
今番	금번	This time
獨立	독립	Independent
驚嘆	경탄	Astonishment, admiration
財團	재단	Foundation (financial)
期成運動	기성운동	Fundraising campaign for establishment
盡瘁	진췌	Utmost effort, devotion (archaic)
晝夜學	주야학	Day and night school/classes
改良書堂	개량서당	Improved village school
文盲退治	문맹퇴치	Eradication of illiteracy
奇功	기공	Remarkable achievement
統算	통산	Total calculation
增	증	Increase
共學	공학	Co-education (here specifically Japanese-Korean)
居住	거주	Residence
子弟	자제	Children
借用	차용	Borrowing
差別	차별	Discrimination
撤廢	철폐	Abolition
激增	격증	Sharp increase
學生別	학생별	Breakdown by student type
但	단	However, only
占하는	차지하는	Occupying
形勢	형세	Situation, circumstances
內地	내지	Mainland (referring to Japan proper)
밧는 바	받는 바	As they are accepting
現存	현존	Currently existing
몃	몇	A few, several (Older spelling of 몇)
못가리운 듯 십다	못 갈 듯싶다	Seems unlikely to go beyond (a few years)
現象	현상	Phenomenon
善政	선정	Benevolent administration/rule
一視同仁	일시동인	Impartial benevolence (idiom, often used politically)
文化政策	문화정책	Cultural Policy (Term for Japan's revised colonial policy post-1919)
妙味	묘미	Subtle charm, finesse, interesting aspect
略하고	생략하고	Omitting, abbreviating
最后	최후	Final
一言	일언	One word
最近	최근	Recently
以來	이래	Since
民衆	민중	The masses, the populace
富力	부력	Wealth, economic power
日減	일감	Decreasing day by day
形便	형편	Circumstances, situation
工夫	공부	Study, learning
漠然	막연	Vague, uncertain
有無	유무	Presence or absence
어느듯	어느덧	Before one knows it, unnoticed (Older spelling of 어느덧)
當面	당면	Facing, immediate
運命	운명	Fate, destiny
有産家	유산가	Wealthy family, propertied class
子息	자식	Children, offspring
드나들	드나들	To frequent, go in and out
아늘 듯 십다	않을 듯싶다	Seems unlikely (Older form)
福되게	복되게	Prosperous, blessed
-e 

---------------------------


잡지명	개벽 제57호
발행일	1925년 03월 01일
기사제목	喜悲交集의 敎育界의 昔今
기사형태	논설

喜悲交集의 敎育界의 昔今
1. 朝鮮新敎育의 淵源
