Magazine Title: 개벽 제61호
Publication Date: 1925년 07월 01일
Article Title: 社會日誌 (Social Diary)
Article Type: 소식 (News)

社會日誌
(Social Diary)
From May 15th
To June 15th

【May 15th】 Japanese textile workers in Shanghai turned violent, firing on police officers, resulting in over 10 injuries. Simultaneously, various factories were closed, and Japanese textile workers in Qingdao also went on strike and engaged in stone-throwing battles.

【May 16th】 China's Feng Yuxiang concentrated troops in the Zhangbei County area. In Germany, a volcano erupted, causing over 60 deaths and injuries. The Italian Fascist Party issued a nationwide directive ordering participation in the Volunteer Corps.

【May 17th】 A major fire broke out in P'yŏngyang, causing 50,000 to 60,000 wŏn in damage. China's tariff increase is decided to be implemented after the Nine-Power conference. At the Confucius Temple in Songdŏk-ri, Pakch'ŏn-myŏn, Pakch'ŏn County, there was a clash between an armed group and police; 3 members of the armed group were killed in action. In North Kando, fellow Korean Mr. O Chun-bin was brutally murdered by Chinese police. <66>

【May 18th】 The Shanghai strike riots grew increasingly dangerous. The U.S. House Committee Chairman proposed selecting Hawaii as the world's largest base. The British and French envoys declared British-French agreement on the security treaty. In Wiwŏn County, an armed group of over 30 members mobilized.

【May 19th】 A major rebellion by Turks suddenly broke out in Persia. The U.S. government issued a joint note to nine debtor nations. In Chongno, P'yŏngyang, several thousand farmers caused a major disturbance due to the Yŏngsimdan gift fraud incident. Our company's editor, Mr. Yi Ton-hwa, traveled to the Xingjing area for an inspection tour of South Manchuria.

【May 20th】 The three-power banks agreed to suspend financing to Worker-Peasant Russia (Soviet Union). The Worker-Peasant Russian cabinet was re-elected. Russian Army Commander Frunze asserted Russia's inability to disarm. Due to the mobilization of armed groups in the Ch'osan, Ch'angsŏng, and Pyŏktong areas, disturbances occurred everywhere. In the Musan region, a mounted bandit group invaded, causing a major disturbance; 4 civilians abducted by the bandits were killed or injured by pursuing police gunfire.

【May 21st】 The Chairman of the U.S. Foreign Affairs Committee gave a speech <67> stating there is no need to recognize the political organization of Worker-Peasant Russia. The U.S. Tribune newspaper advocated for Philippine independence. In T'aech'ŏn, an armed group of 8 members mobilized, collecting over 300 wŏn in military funds and simultaneously setting fire to 3 civilian houses.

【May 22nd】 The Koryŏ Communist Party headquarters moved to Such'ŏng, Mau, and established a new communist school. The German Social Democratic Party rejected a motion to impeach the government.

【May 23rd】 In the Kaech'ŏn region of South P'yŏngan Province, strong winds blew away over 30 civilian houses. Japan's General Fukuda was targeted in another assassination attempt in Fukuoka City. The Kantō Business Promotion Stock [Company], initiated by the Buddhist Association here for the relief of proletarian compatriots in Kangnŭng, was blocked by strong pressure from the educational authorities who stated it could not use temple funds, leading to a follow-up meeting.

【May 24th】 Japan's Kansai region suffered immense damage due to another strong earthquake. An agreement was reached between China's Zhang Zuolin and Feng Yuxiang. In Japan's Yamanashi Prefecture, a bridge collapsed, causing 60 students to fall into the river. The Kangnŭng High Common School Establishment Alliance and the Agricultural School Establishment Alliance merged, changing their name to the Middle School Rapid Establishment Alliance. <68>

【May 25th】 A tsunami occurred on Japan's Minato Coast. The Italian Chamber of Deputies passed the Bill for the Prohibition of Secret Societies. Fengtian Provincial Governor Wang Yongjiang ordered county governors to strictly control the leasing of land to Koreans. Ch'ŏngsong County Andŏk Substation policeman Pak Wŏn-sŏ beat the innocent civilian Kim Ch'il-sŏng to death.

【May 26th】 Ch'a Kyŏng-sŏk of Poch'ŏn-gyo entered the capital (Seoul) and held secret talks with the Police Affairs Bureau Director. Zhang Zuolin met with Regent Duan. The damage from the Kansai earthquake in Japan resulted in over 2,000 casualties and losses exceeding 180 million yen.

【May 27th】 Unseasonal white snow fell in Tŏkch'ŏn. The Chinese Nationalist Party declared a severance of ties with the Regency government. The trial opened for 9 individuals arrested for the red flag procession on Chongno during the Mass Activists' Conference.

【May 28th】 The British House of Commons passed the finance bill. 500 Japanese residents in the U.S. lost their right to naturalization. In P'anmyŏn, Ch'osan County, an armed group of 30 members invaded, setting fire to the township office and police substation; 3 civilians were murdered. In Nyŏngbyŏn County, an armed group mobilized and took military funds.

【May 29th】 The <69> All-Chosŏn Tennis Tournament, hosted by the Chosŏn Sports Association, was held.

【May 30th】 A revolution broke out in Mexico. The Allied Ambassadors' Conference demanded Germany dismantle its military installations. The Weapons/Military Committee passed a resolution banning the use of poison gas in wartime. The Government-General of Chosŏn abolished the opium monopoly system and entrusted supervision and control to the police authorities. In Shanghai, 4 Chinese students were shot dead by British soldiers.

【May 31st】 French casualties in the Moroccan War reached 1,000. An agreement was reached between Britain and France regarding the note to Germany. The 4th Art Exhibition hosted by the Government-General of Chosŏn opened. At the Songhyŏn reclamation(?) site factory in Inch'ŏn Prefecture, a hill collapsed, tragically killing 4 workers. The Japanese Metropolitan Police searched the Dankakai group implicated in the assassination plot against Prime Minister Katō, confiscating numerous weapons. In Ch'osan, there was a clash between an armed group and police, resulting in the death of one group member. Qingdao Chinese officials shot dead 3 strike instigators.

【June 1st】 The Shanghai strike spread to Fengtian. The British Home Secretary gave a speech forbidding entry to Communist Party members. Japan's <70> new political party, the New Politics Club (Shinsei Club), held its inauguration ceremony. Over 200 laborers at the Inch'ŏn reclamation(?) work site went on strike due to grievances over worker injuries and deaths. The Taedong Police Station(?) arrested 13 youths on suspicion of violating the Publication Law. The Shanghai strike deepened further, with telephone operators and drivers also striking; martial law was declared throughout Shanghai.

【June 2nd】 All shops in Shanghai decided to strike. The Allied Ambassadors' Conference approved the withdrawal from Cologne. The dispute between Japanese and Koreans at the Chinnamp'o Grain Cooperative continued, with the Korean side submitting a letter of protest and resolution to the Japanese side. In Shanghai, fighting broke out between students and volunteer soldiers, leading to the arrest of several hundred. The Chinese Ministry of Foreign Affairs lodged a strong protest regarding the Shanghai student shooting incident.

【June 3rd】 The anti-foreign turmoil in Shanghai worsened, leading to the declaration of martial law throughout the city. The Fengtian strike also expanded. Of the 9 individuals involved in the Kyŏngsŏng (Seoul) Chongno Red Flag incident, 4 were sentenced to 8 months and 5 to 6 months.

【June 4th】 The anti-foreign movement in Shanghai escalated into urban warfare, with clashes between student groups and volunteer corps resulting in several hundred captures. <71> The Beijing Diplomatic Corps protested again regarding the Shanghai student shooting incident. Chinese students in Japan were also roused by the Shanghai incident. The number of striking workers in Shanghai reached 100,000.

【June 5th】 The Beijing Student Conference resolved to sever economic ties with Japan and Britain. Chinese people in Shanghai organized a "Massacre Response" group (?). On the same day, all Chinese-owned banks closed. A major fire broke out in Hokkaido, Japan, burning down over 700 houses. In Taesudong, Komyŏn(?), Ch'osan, an armed group shot dead 3 members of a family. Armed groups also mobilized again in Kanggye and Unsan.

【June 6th】 Due to the worsening anti-foreign movement in Beijing, martial law was proclaimed. The All-Chosŏn Women's Tennis Tournament, hosted by the Tong-a Ilbo, was held in Kyŏngsŏng. Mr. Pak Kwi-sŏn returned home after touring Germany and various countries in Europe and America. Over 400 laborers on the Chaeryŏng River embankment construction project dispersed and returned home due to wage issues. Riots also broke out in Zhenjiang, China. Beijing's Regent Duan issued an emergency order for crisis relief to the nation regarding Shanghai.

【June 7th】 An emperor assassination plot was discovered in Spain, leading to the arrest of 14 implicated individuals. The Guangdong government in China declared <72> its rejection of Communism. A major violent incident involving middle school students occurred in Sŏdaemun-jŏng, Kyŏngsŏng, causing a disturbance.

【June 8th】 The Allied Ambassadors stationed in Germany delivered the disarmament note to Germany.

【June 9th】 The Yunnan and Guangxi armies in China commenced hostilities. The anti-foreign movement in Shanghai became nationwide. On the Amnok River (Yalu River), there was a clash between Sino-Japanese police forces, resulting in 2 Korean boatmen being thrown into the river.

【June 10th】 In Yŏnggwang County, South Chŏlla Province, a ferry boat capsized, causing over 30 people to drown. The Koryŏ Communist Party reformed to collaborate with the Far Eastern Communist Party. The International Labour Conference resolved to ban the trafficking of women and children. Britain and France reached an agreement on the security treaty. In Fukuoka, Japan, a brawl occurred between over 400 Japanese and Korean laborers, resulting in many casualties. 50,000 Chinese female students in Hangzhou, China, went on strike as part of the anti-foreign movement. 100,000 people participated in the "Avenge Humiliation" rally in Beijing. An armed group mobilized in Changnim-myŏn(?), T'aech'ŏn County, causing a disturbance.

【June 11th】 Japan allocated one million yen in next year's budget for the suppression of dangerous thoughts. It was announced that the Anglo-German-French Three-Power Treaty would be concluded <73> if Germany consented. Mr. Sin Hŭng-u and Mr. Yu Ŏk-kyŏm departed for the Christian Youth Conference in Hawaii.

【June 12th】 The Beijing General Chamber of Commerce held a meeting and resolved to sever economic ties with Japan and Britain. The Beijing National Assembly resolved to abrogate treaties with Japan and Britain.

【June 13th】 The Japanese and British consulates in Jiujiang, China, were set fire to and destroyed by demonstrating Chinese anti-foreign crowds. Japanese textile mills in Shanghai were completely wiped out as all Chinese workers went on strike. Japan recognized the naturalization of Koreans residing in Manchuria into China. The Greek cabinet resigned en masse. An armed group mobilized in Wiwŏn County, causing a disturbance.

【June 14th】 Public opinion surged in China, declaring that even the calamity of war would not be permitted against foreign powers. An agreement for the suppression of Korean armed groups was concluded between the Government-General of Chosŏn and Fengtian Province.

【June 15th】 China's Regent Duan declared non-interference by the military and police in the student groups' demonstration movements. A large anti-foreign demonstration procession involving 100,000 people took place in Beijing. 70 representatives of various countries in Beijing demanded that the government issue a declaration of war. <74>
<66-74>

**Summary**

This "Social Diary" from Kaebyŏk magazine chronicles significant events from mid-May to mid-June 1925, covering domestic Korean affairs and international news impacting East Asia. Key themes include widespread labor strikes and anti-foreign movements in China (especially Shanghai and Beijing, triggered by foreign actions), political maneuvering involving Chinese warlords (Feng Yuxiang, Zhang Zuolin, Duan Qirui) and international powers (Britain, France, US, Japan, Soviet Union), diplomatic negotiations concerning security pacts and disarmament, natural disasters (fires, earthquakes, floods), and social unrest. Within Korea, it reports numerous instances of armed Korean resistance groups clashing with authorities in northern provinces, social disturbances like farmer protests and student violence, economic hardships leading to strikes, cultural events like sports tournaments and art exhibitions, and actions by the Japanese colonial government, including suppressing dissent, controlling land ownership for Koreans in Manchuria, and abolishing the opium monopoly.

For historians, this diary offers a valuable contemporary snapshot of the turbulent atmosphere in East Asia during 1925, particularly the interconnectedness of events in China, Japan, and colonial Korea. It vividly documents the persistent Korean armed struggle against Japanese rule, the growing social and labor unrest within both Korea and China, the brutal realities of colonial policing (e.g., the killing of Kim Ch'il-sŏng), and the complex diplomatic landscape involving major world powers in the region. The mention of the Koryŏ Communist Party's activities and collaborations, alongside the suppression of ideologies ("thought control") by Japan, highlights the burgeoning leftist movements and the colonial response.

**Named Entities**

上海	상하이	Shanghai
日本	일본	Japan
靑島	칭다오	Qingdao
中國	중국	China
馮玉祥	펑위샹	Feng Yuxiang
張北縣	장베이현	Zhangbei County
獨逸	독일	Germany
伊國粹黨	이국수당	Italian Fascist Party
平壤	평양	P'yŏngyang
博川郡	박천군	Pakch'ŏn County
博川面	박천면	Pakch'ŏn-myŏn
松德里	송덕리	Songdŏk-ri
孔子廟	공자묘	Confucius Temple
武裝團	무장단	Armed Group (Recurring entity type, listed once)
北間島	북간도	Puk Kando (North Jiandao)
吳俊彬	오준빈	O Chun-bin
米國	미국	United States
布哇	포와	Hawaii
英佛	영불	Britain and France
渭原郡	위원군	Wiwŏn County
波斯	파사	Persia
土國人	토국인	Turks
本社	본사	Our Company (Kaebyŏk)
李敦化	이돈화	Yi Ton-hwa
南滿洲	남만주	South Manchuria
興京	싱징	Xingjing
勞農露國	노농로국	Worker-Peasant Russia (Soviet Union)
프룬제	프룬제	Frunze
楚山	초산	Ch'osan
昌城	창성	Ch'angsŏng
碧潼	벽동	Pyŏktong
茂山	무산	Musan
馬賊團	마적단	Mounted Bandit Group
米外交委員長	미외교위원장	Chairman of the U.S. Foreign Affairs Committee
트리뷴紙	트리뷴지	Tribune newspaper
比律賓	비율빈	Philippines
泰川	태천	T'aech'ŏn
高麗共産黨	고려공산당	Koryŏ Communist Party
水淸	수청	Such'ŏng
馬隅	마우	Mau
獨逸社會黨	독일사회당	German Social Democratic Party
平南	평남	South P'yŏngan Province
价川	개천	Kaech'ŏn
福田大將	후쿠다 대장	General Fukuda
福岡市	후쿠오카시	Fukuoka City
江陵	강릉	Kangnŭng
佛敎會	불교회	Buddhist Association
關東勸業株式	관동권업주식	Kantō Business Promotion Stock [Company]
學務當局	학무당국	Educational Affairs Authorities
日本	일본	Japan
關西地方	간사이 지방	Kansai Region
張作霖	장쭤린	Zhang Zuolin
山梨縣	야마나시현	Yamanashi Prefecture
江陵高普期成同盟	강릉고보 기성동맹	Kangnŭng High Common School Establishment Alliance
農校期成同盟	농교 기성동맹	Agricultural School Establishment Alliance
中等學校速成同盟	중등학교 속성동맹	Middle School Rapid Establishment Alliance
湊海岸	미나토 해안	Minato Coast
伊國下院	이국하원	Italian Chamber of Deputies
奉天省	펑톈성	Fengtian Province
王泳江	왕융장	Wang Yongjiang
朝鮮人	조선인	Koreans
靑松郡	청송군	Ch'ŏngsong County
安德駐在所	안덕주재소	Andŏk Substation
朴元緖	박원서	Pak Wŏn-sŏ
金七星	김칠성	Kim Ch'il-sŏng
普天敎	보천교	Poch'ŏn-gyo
車京錫	차경석	Ch'a Kyŏng-sŏk
警務局長	경무국장	Police Affairs Bureau Director
段執政	돤즈정	Regent Duan (Duan Qirui)
德川	덕천	Tŏkch'ŏn
中國民黨	중국민당	Chinese Nationalist Party (Kuomintang)
鍾路	종로	Chongno
赤旗行列	적기행렬	Red Flag Procession
英國 下院	영국 하원	British House of Commons
在米日人	재미일인	Japanese residents in the U.S.
楚山郡	초산군	Ch'osan County
板面	판면	P'anmyŏn
寧邊郡	영변군	Nyŏngbyŏn County
朝鮮軆育會	조선체육회	Chosŏn Sports Association
墨國	묵국	Mexico
聯合國大使會議	연합국대사회의	Allied Ambassadors' Conference
武器軍事委員會	무기군사위원회	Weapons/Military Committee
朝鮮總督府	조선총독부	Government-General of Chosŏn
阿片	아편	Opium
警務當局	경무당국	Police Authorities
英國軍兵	영국군병	British soldiers
모로코	모로코	Morocco
佛軍	불군	French Army
美展	미전	Art Exhibition
仁川府	인천부	Inch'ŏn Prefecture
松峴	송현	Songhyŏn
田埋等工場	전매등공장	Chŏnmae-dŭng Factory (?) / Reclamation Site Factory (?)
團大化會	단대화회	Dankakai
加藤首相	가토수상	Prime Minister Katō
靑島中國官	칭다오 중국관	Qingdao Chinese officials
奉天	펑톈	Fengtian
英國內相	영국내상	British Home Secretary
共産黨員	공산당원	Communist Party members
新政俱樂部	신정구락부	New Politics Club (Shinsei Club)
仁川埋等工事	인천매등공사	Inch'ŏn Reclamation(?) Work
大同署	대동서	Taedong Police Station (?)
鎭南浦	진남포	Chinnamp'o
穀物組合	곡물조합	Grain Cooperative
日人	일인	Japanese person
朝鮮人側	조선인측	Korean side
日人側	일인측	Japanese side
中國外交部	중국외교부	Chinese Ministry of Foreign Affairs
義勇兵	의용병	Volunteer soldier
京城	경성	Kyŏngsŏng (Seoul)
北京	베이징	Beijing
學生團	학생단	Student group
義勇隊	의용대	Volunteer corps
北京外交團	베이징 외교단	Beijing Diplomatic Corps
在日中國留學生	재일 중국 유학생	Chinese students in Japan
日英 兩國	일영 양국	Japan and Britain
虐殺會	학살회	Massacre Response Group (?)
北海道	홋카이도	Hokkaido
古面	고면	Komyŏn
大水洞	대수동	Taesudong
江界	강계	Kanggye
雲山	운산	Unsan
東亞日報	동아일보	Tong-a Ilbo
朴歸善	박귀선	Pak Kwi-sŏn
歐米各國	구미각국	European and American countries
載寧江	재령강	Chaeryŏng River
鎭江	전장	Zhenjiang
國民	국민	Nation/People
西班牙	서반아	Spain
廣東政府	광동정부	Guangdong Government
西大門町	서대문정	Sŏdaemun-jŏng (in Kyŏngsŏng/Seoul)
京中學生	경중학생	Kyŏngsŏng Middle School Students
駐獨聯合國大使	주독연합국대사	Allied Ambassadors stationed in Germany
雲南	윈난	Yunnan
廣西軍	광시군	Guangxi Army
鴨綠江	압록강	Amnok River (Yalu River)
中日警官隊	중일경관대	Sino-Japanese police forces
朝鮮人船夫	조선인선부	Korean boatmen
全南	전남	South Chŏlla Province
靈光郡	영광군	Yŏnggwang County
*東共産黨	극동공산당	Far Eastern Communist Party
國際勞働會議	국제노동회의	International Labour Conference
福岡	후쿠오카	Fukuoka
日鮮人夫	일선인부	Japanese and Korean laborers
杭州	항저우	Hangzhou
中國女學生	중국여학생	Chinese female students
北京雪辱大會	베이징 설욕대회	Beijing "Avenge Humiliation" Rally
泰川郡	태천군	T'aech'ŏn County
長林面	장림면	Changnim-myŏn
英獨佛 三國條約	영독불 삼국조약	Anglo-German-French Three-Power Treaty
市哇基督敎靑年大會	하와이 기독교청년대회	Hawaii Christian Youth Conference
申興雨	신흥우	Sin Hŭng-u
兪億兼	유억겸	Yu Ŏk-kyŏm
北京總商會	베이징 총상회	Beijing General Chamber of Commerce
北京國民大會	베이징 국민대회	Beijing National Assembly
對日英條約	대일영조약	Treaties with Japan and Britain
九江	주장	Jiujiang
英國領事舘	영국영사관	British Consulate
希臘內閣	희랍내각	Greek Cabinet
奉天省間	봉천성간	Between Fengtian Province
朝鮮武裝團	조선무장단	Korean Armed Group
警察	경찰	Police

**Glossary**

日誌	일지	Diary, journal
職工	직공	Worker, laborer (factory worker)
暴動	폭동	Riot, uprising
罷業	파업	Strike (labor strike)
石戰	석전	Stone-throwing fight
國粹黨	국수당	Nationalist party (here referring to Italian Fascists)
義勇團	의용단	Volunteer corps
火災	화재	Fire incident
損害	손해	Damage, loss
關稅引上	관세인상	Tariff increase
武裝團	무장단	Armed group/band
慘殺	참살	Brutal murder, massacre
險惡化	험악화	Worsening, becoming critical/dangerous
根據地	근거지	Base, stronghold
保障條約	보장조약	Security treaty
叛亂	반란	Rebellion, revolt
通牒	통첩	Diplomatic note, formal communication
詐欺	사기	Fraud, scam
騷動	소동	Disturbance, commotion, unrest
視察	시찰	Inspection tour
金融停止	금융정지	Financial freeze, suspension of financing
軍縮	군축	Disarmament, arms reduction
馬賊團	마적단	Mounted bandit group
侵入	침입	Invasion, intrusion
拉去	납거	Abduction, kidnapping (older term: 납치)
承認	승인	Recognition, approval
演說	연설	Speech, address
獨立	독립	Independence
軍資募集	군자모집	Military fund raising
衝火	충화	Arson, setting fire (deliberately)
共産學校	공산학교	Communist school
彈劾案	탄핵안	Impeachment motion/bill
否決	부결	Rejection, voting down
强風	강풍	Strong wind
狙擊	저격	Sniping, assassination attempt
無産同胞	무산동포	Proletarian compatriots
救濟	구제	Relief, aid
勸業株式	권업주식	Business promotion stock company
寺刹資金	사찰자금	Temple funds
學務當局	학무당국	Educational affairs authorities
强壓	강압	Strong pressure, coercion
善後會議	선후회의	Meeting to handle the aftermath, follow-up meeting
强震	강진	Strong earthquake
協定	협정	Agreement, pact
墜落	추락	Fall, crash
期成同盟	기성동맹	Alliance for realization/establishment
合倂	합병	Merger, amalgamation (Modern: 합병)
海溢	해일	Tsunami, tidal wave flooding
秘密結社	비밀결사	Secret society
可決	가결	Passage, approval (of a bill)
土地貸付	토지대부	Land lending/leasing
取締	취체	Control, crackdown, regulation (Japanese loanword usage, Modern: 단속)
巡査	순사	Policeman (lower rank, Japanese colonial era term)
良民	양민	Good/innocent citizen
打殺	타살	Beating to death
入京	입경	Entering the capital (Seoul or Tokyo)
密議	밀의	Secret discussion/conference
執政	집정	Regent, Chief Executive
震災	진재	Earthquake disaster
人命死傷	인명사상	Casualties (lit. human life deaths and injuries)
絶緣	절연	Severance of ties/relations
赤旗行列	적기행렬	Red flag procession/parade
檢擧	검거	Arrest, roundup
公判	공판	Public trial
財政案	재정안	Finance bill, budget bill
歸化權	귀화권	Right of naturalization
喪失	상실	Loss, forfeiture
面所	면소	Township office (면사무소)
駐在所	주재소	Police substation (colonial era term)
軍資金	군자금	Military funds, war chest
軆育會	체육회	Sports association (older Hanja 體 for 체)
開催	개최	Holding, hosting (an event)
勃發	발발	Outbreak (of war, revolution)
軍備撤廢	군비철폐	Dismantlement of military preparedness, disarmament
强要	강요	Coercion, forcing
毒藥使用	독약사용	Use of poison/poison gas
專賣制	전매제	Monopoly system
廢止	폐지	Abolition
一任	일임	Entrusting entirely
銃殺	총살	Execution by firing squad, shooting dead
死傷	사상	Casualties (deaths and injuries)
美展	미전	Art exhibition (abbreviation of 미술전람회)
崩壞	붕괴	Collapse (Modern: 붕괴)
勞働者	노동자	Worker, laborer (older Hanja 働 for 동)
慘死	참사	Tragic death
暗殺	암살	Assassination
連累	연루	Implication, involvement in a crime
搜索	수색	Search, raid (Modern: 수색)
凶器	흉기	Deadly weapon
沒收	몰수	Confiscation
煽動者	선동자	Instigator, agitator
波及	파급	Spread, ripple effect
內相	내상	Minister of the Interior, Home Secretary
發會式	발회식	Inauguration ceremony
人夫	인부	Laborer, coolie
苦痛	고통	Pain, suffering; here used for grievance/hardship
嫌疑	혐의	Suspicion
交換手	교환수	Telephone operator
運轉手	운전수	Driver (vehicle operator)
戒嚴令	계엄령	Martial law
紛撓	분요	Dispute, trouble, disturbance (less common today)
