Magazine Title:	개벽 제70호
Publication Date:	1926년 06월 01일
Article Title:	煩惱者의 感傷語(隨筆) -눈물 만흔 이에게- (Sentimental Words of the Anguished (Essay) -To those with many tears-)
Author:	懷月 (Hoe Wŏl)
Article Type:	논설 (Editorial/Argumentative Essay)

Sentimental Words of the Anguished
						Hoe Wŏl

While exchanging a few words with a close friend, the beautiful spring season that had just arrived seemed to pass by, and spring ended just like that. And the splendid early summer begins to cover the sun-scorched earth with lush green shade, ripening and flowing. Summer has arrived, when all the leaves sway languidly, all the tree branches sway gracefully, and the thousand songs of ten thousand birds harmonize. Nature has now entered its period of activity, its golden age. However, this land where humans live is deathly quiet. Even the sound of breathing is barely audible. The only desolate land is this land where we live. Then, have all the people living on our land died? No. That leaden wave (鉛波) surging in crowds on the street—those are our people. Yet, it is deathly quiet. Then, are they sleeping people? No. Don't you occasionally hear sharp sounds faintly from that puddle? Then, are they mummies symbolizing eternal silence? No. They are children of the era who must pioneer only the present reality. Anyone, go closer and examine their faces! The traces of two streams of tears, still remaining, have not yet disappeared. Then why did they cry?

Tears!
Humans possess passion hotter than the sun and great strength capable of shattering the earth. But on the other hand, there is helplessness like a mayfly<1> and tears like a child's. Tears come from sorrow (悲哀). Sorrow is the passive resistance that arises when one's full strength and passion cannot be expressed freely, when one's life and freedom cannot be united, and when the mental desire to realize one's own potential is suppressed and trampled by a greater force—this is grief.

Ah! How much have humans in this world immersed themselves in this passive resistance? Ah! How much have we wandered in this passive resistance? If we cannot do it, we cry. If we cannot go, we also weep. We weep even without love, and we weep even when we cannot live. It was all just weeping.
In this way, whenever we became unable to do anything with our own abilities due to passive resistance, we always cried. Thus, this weeping has become like a habit, carried as the weapon of all the weak. The weak only had tears. Therefore, children cry more than adults, and women cry more than men. Weak nations have more tears than strong nations, the ruled have more tears than rulers, and the oppressed have more tears than the free.

Therefore, rather than defining tears as passive resistance, let's define them as the misfortune of life. Yes. Tears are by no means resistance; they represent life's misfortune. Therefore, the unfortunate have many tears. Consequently, those with many tears are unfortunate people. They are weak people. They are people without resistance. They are incapable people. They know nothing but tears. It is just like children who cry at the slightest provocation. For children, crying is their weapon and their success. This is because no other ability has progressed. However, as children age and gradually grow, their tears lessen, and new strategies, courage, and reason develop for their lives. Thus, they pioneer their future with their own hands.

Yes! Those who intend to pioneer the future must not cry. Those who intend to make the present reality happy must not cry. Those who fight against reality for their own lives must not cry.
Instead of weeping, let those who strive to grasp new happiness fight against that object called misfortune until the very end! Let's fight until we achieve victory!<2>

Yes. We fight now. The weak dry their tears and struggle against the strong. Women dry their tears, break free from slavish life onto the line of liberation, and move. They stir. They shake things up. The ruled class struggles against the ruling class, the unfree and laborers against the capitalists, the proletariat against the bourgeoisie.

Yes. The tears of the world's weak humans have now all ceased. The world does not cry. Tears are the reason for misfortune. We must not cry over misfortune. We must fight with happiness and seize that happiness. If the unfortunate only cry, they will become ever more unfortunate. If the slave only cries, they will become more unfortunate, and if the weak only cry, they too will become more unfortunate. The wisest person does not cry. Therefore, only the most incapable and foolish people have many tears. Eyes blurred with tears cannot see objects clearly. Therefore, those who cry always wander in confusion (迷路). Consequently, foolish artists wandering in foolish confusion praise these tears. They sing songs describing teardrops as like gold beads or silver drops. However, we must not become foolish and incapable readers like foolish and incapable artists. Let us just become one of the wise populace pioneering reality.

Look! Those with ears will hear the eternal cry of resentment from youths who, despairing of the world, commit suicide. When they fail to solve their pressing immediate livelihood and instead futilely try to grasp the true form (正軆) of distant, enduring illusions of past and present, and their strength falls short, they commit suicide. It is like a person in reality trying to see a ghost (幽靈), failing, despairing, and committing suicide. When the free love of young men, unable to break free from convention (因襲) and tradition, cannot reach a happy ending and is subjected to the control of convention and tradition, they cannot endure the sanctions and commit suicide. But look! If finding the best path always means committing suicide because one cannot endure the oppression of such irrational and unfree societies or family systems, then this suicide will remain as humanity's eternal misfortune, never disappearing, and many youths will always be sacrificed.

No. People suffering in such unfortunate lives, such unfortunate environments, must find the cause and transform that cause. All such misfortune must fight against that convention, that system, that oppression, achieve final victory, and pioneer a free life.<3>
We cannot but unite and move for this struggle. Let us go there.

However, there are people in the world who neither weep nor shed tears but cry inwardly. Such a person's weeping is not an unconscious sobbing (沒意識的 呼泣) like that of one who cries aloud. Rather, because the force of the tears that would burst outward explodes internally, the reactionary force, instead of bursting out, ignites a fire in the person's head with accelerated momentum; this is generally called agony or suffering (苦痛). Anyone who has cried will know the taste of those tears. The Russian poet Nekrasov (넥과소푸), in his poem "Salt Song" (鹽歌), said that taste was salty; the so-called "How salt the tear!" is that. Suffering begins from the salty taste of tears. Suffering is born only when one knows the taste of tears. Just as all the weak weep, all those who have wept suffer.

Therefore, the incapable saying that life is a sea of suffering (苦海) was created from the wisdom of all the weak. No. That saying was created by the wisdom of the powerful, rather than the wisdom of the weak. This is because the ruling function of all powerful people can only be exercised when the powerless suffer. Therefore, if the suffering masses awaken and escape from this suffering, it is a fact that the privileged class will fall. Their suffering is caused by the privileged class. Therefore, if the sufferer conquers suffering, it means eradicating the cause of that suffering. Therefore, the privileged class, to prevent their awakening, created the category that life is a sea of suffering, meaning everyone is bound to have a suffering environment.

However, life is not a sea of suffering. Life is conquest, struggle, and happiness. Life is endlessly struggling for justice, conquering untruth for the sake of truth, driving away misfortune, and seeking happiness.
Life is freedom. Life is not just 'something', but 'everything'. It is everything. However, people cannot help but suffer for their livelihood, and freedom is lost through oppression, so hunger, slaughter, suicide, abuse, exile, execution... organize this society. How could this society not be suffering! However, life is freedom and everything, but it is not a life with the distorted truth that comfort exists only for the rulers, or happiness exists only for the capitalists. It is not a universe confined to such a narrow scope.<4> Then why do we, deviating from the vast truth, suffer in such a narrow hell?
It is because the standard of this society lies with the privileged class, and it is organized so that comfort and happiness exist only for the ruling class. Therefore, all the powerless, propertyless, weak masses outside of that naturally suffer in the abyss due to the exploitation of their energy.
Thus, the unfortunate masses, having possessed an environment of suffering for a long time and grown up within that environment, come to accept it with submission and patience, as if the suffering were a matter of pride they deserved. Furthermore, propaganda claiming great glory for those who endure passively has even been depicted most poetically by the pens of bourgeois (쁘르즈와) writers for hire. Their philosophy was such, and their religion was such. The great cry of the privileged class, shouting that 'what exists in this reality' is the truth, regardless of whether weak nations or the propertyless class suffer, is to us a contradiction, an error, discontent, and falsehood.
However, as long as that is not the truth of humanity, one cannot endure such suffering limitlessly and passively forever.

We must find a new realm from this suffering. To find this realm, we must resurrect our extinguished status, personality, and vitality. Thereby, the battlefront of struggle begins, and the victory of new truth will come.

The suffering person has no words. While the crying person makes sounds, the suffering person remains silent. And they try their utmost to escape that suffering as best they can. They cannot sleep at night, do not go out onto the streets much during the day, try to analyze the suffering, and think about countermeasures. However, just because it is not expressed outwardly does not mean it is powerless like tears. It is merely not visible on the outside, like water boiling in a large cauldron; fiery red suffering surges within the person's body. At any moment, the steam of suffering will explode the thick iron lid and burst out with a thunderous roar into the wide world, onto the free plains. However, in that process, there is a period of silence, and during that silence, one passes through the borderland called melancholy (憂鬱). In the silence of the suffering person, heavy,<5> heavy melancholy settles. Thus, on the face of the sufferer, a lifeless, lonely, yellow, withered flower blooms. This melancholy, using itself as a divergence point, has two further paths: one is doubt (懷疑), and the other is disappointment (失望). The melancholic person doubts everything. This is because nothing is truth to them. They doubt everything. This is because everything is a falsehood with no relation to their life. All civilization, all culture, all rules offer no benefit to the melancholic. Therefore, they doubt everything. Rather, those things threaten the melancholic's life. Therefore, the melancholic curses everything. They deny philosophy, deny religion, view the violence of reality with hostility, and strive to grasp a greater truth. The so-called melancholic Hamlet's (함케트) cry, "There are more things in heaven and earth, Horatio (호레시요), than are dreamt of in your philosophy," is also that.
Yes. You had philosophy, but it failed to resolve the truth of life; it pointlessly denied reality and tried to force the life of reality into an unfree category. You had religion, proclaiming the ideal of human love and claiming to save the souls of the pitiful, but it failed to find true human love; the unity of the powerful oppressed and abused the ruled, and it failed to save those who starved to death on the streets. Thus, it was realized that their philosophy and their religion were not only useless for the melancholic's life but were rather objects of enjoyment for the privileged. Until firmly finding all these untruths of this reality, the melancholic doubts in this manner in the process.

However, doubt alone is not effective in negating everything. There are two paths branching from doubt: one is active effort, and the other is passive consumption. Active effort means finding the truth from this doubt and advancing fiercely towards that truth. But passive consumption means having all one's energy drained by such doubt, eventually leading to disappointment and despair; the result is only degeneration (頹廢). We don't know how many people in the world pass through this doubt and reach this degeneration. But few pass through this doubt to find the truth and advance fiercely. Therefore, doubt is that dangerous, and doubt is that advantageous. Let us doubt rather than be complacent. But we must not degenerate. Through this doubt, let us grasp the truth of our lives!<6>

However, everyone is disappointed. All philosophers who sought reality are disappointed. Writers who try to depict human life are disappointed. Religion is disappointed, and all of life is disappointed. This is because real life is made so violent that we cannot live it as our ideal or live it joyfully. He who fights this violence and achieves the victory of happiness is truly a fighter (鬪士). But those who remained merely in doubt were conquered by that violent system and helplessly wasted their efforts defending that system, while they themselves fell into a deep pit, wasting their lives merely in indulgence and debauchery, making the depiction of only that a function of literature; that is the so-called escape from reality. Everything is escape. Religion that denies reality and speaks of spirits is an escape from reality; the idealistic interpretation of poor philosophers is an escape from reality; the pleasure-seeking literature (享樂文藝) of writers who depict the exaggeration of life's suffering without speaking its truth is also escape.

How much have we lived such lives of escape? But eternal escape is eternal destruction. A people of escape will leave behind descendants of escape.
Ah! Escape! How frightening an escape! Where is the final destination? A pit of self-destruction? The den of decadence (데카당)? An opium-smoking cave (阿片빠는 洞窟)? Escape is destruction. Fierce advance is life (生命).

Life is truth and permanence. How much have we allowed this life to rot within suffering, sorrow, doubt, and melancholy? Life has decayed. Life has dried up; life has suffocated. Yet, watching our own lives burn away to embers, have we still not realized the fear?
Where there is no life, there is no living; where there is no truth, there is no living; where there is no living, there is no happiness; where there is no happiness, there is no human life; thus, where there is no life, there is only destruction.
How hard do all living beings in this universe strive to actively unfold their lives? All evolution in the biological world aims to make this life more complete.
All worms, all trees, each have spines, toxins, poisonous liquids, protective colors to defend against external infringement and unfold their own lives.<7>
Resistance for life is the instinct of human life. When this instinct is lost, there is only ruin. Let us fulfill our biological responsibility by unfolding this life!
Tears, suffering, melancholy—all these agonizing elements existed solely for the new unfolding and dynamism of our lives.
Therefore, let us fight for this life! Life! Life!
Yet, as our life rots and withers away on one side, why do we not recognize it? No matter how small the matter, no matter how trivial, if it helps our life live more fully, we must not neglect it even slightly.

Let us fight to see the new unfolding of life!
While writing this, how much more have the leaves hanging from the ends of the swaying summer trees already grown!
Summer trees, growing vigorously moment by moment to spread their lives, fill this land.
But why has our life, which fills this land, dried up?
It is not so. No one can stop the growth of life. Doesn't the smiling flower of the pink emerge even from beneath the feet of a violent giant, and doesn't the daphne flower bloom even from the cracks of stubborn rocks?
Who can stop the growth of life? No one can stop it.
Let us grow vigorously without worry! (May 1926) -End-<8>

**Summary**

The author, Hoe Wŏl, argues passionately against passive sorrow, represented by tears, which he defines as a sign of weakness, misfortune, and the weapon of the oppressed (children, women, weak nations, the ruled, the proletariat). He urges readers, particularly the "anguished" and those "with many tears," to abandon weeping and instead engage in active struggle against the sources of their suffering—oppression, societal constraints, injustice, and the privileged classes who benefit from their pain. He contrasts passive "escape" (including philosophical idealism, religion focusing on the afterlife, and decadent art) with active "advance" towards reclaiming life, truth, and freedom. Life itself is presented as an inherent force striving for growth and unfolding, which must be fought for against all odds.

From a historical perspective, this essay is interesting as it reflects the intense frustration and desire for agency among Koreans under Japanese colonial rule. While avoiding direct political critique (likely due to censorship), the author uses strong metaphors of struggle (weak vs. strong, ruled vs. ruler, proletariat vs. bourgeoisie), suffering, and the need for collective action ("unite and move") to advocate for resistance and societal transformation. The call to abandon passive tears for active struggle resonated with nationalist and potentially socialist sentiments of the time, urging Koreans to actively shape their destiny rather than passively endure hardship.

**Named Entities**

露西亞	노서아	Russia
넥과소푸	넥과소푸	Nekrasov
함케트	함케트	Hamlet
호레시요	호레시요	Horatio

**Glossary**

煩惱者	번뇌자	Anguished person
感傷語	감상어	Sentimental words
隨筆	수필	Essay
눈물 만흔 이에게	눈물 많은 이에게	To the one with many tears (older spelling '만흔')
녀름	여름	Summer (older spelling)
우흐로	위로	Upwards, onto (older spelling/form)
안이다	아니다	Is not (older spelling/form)
鉛波	연파	Leaden wave (metaphor for crowds)
悲哀	비애	Sorrow, grief
消極的 反抗	소극적 반항	Passive resistance
산애	사내	Man, male (older term)
만타	많다	Many, much (older spelling/form)
被支配者	피지배자	The ruled, the dominated
壓迫人	압박인	Oppressed person (lit. oppression-person)
武器	무기	Weapon
푸로레타리아	프롤레타리아	Proletariat (loan word, older transliteration)
쁘르즈와	부르주아	Bourgeoisie (loan word, older transliteration)
끗처버렷다	그쳐버렸다	Has stopped, has ceased (older spelling/form)
물象	물상	Things, objects (phenomena)
迷路	미로	Maze, labyrinth (metaphor for confusion)
藝術家	예술가	Artist
正軆	정체	True form, true nature
幽靈	유령	Ghost, phantom
因襲	인습	Convention, old customs
밧는	받는	Receiving, undergoing (older spelling)
苦痛	고통	Suffering, agony, pain
沒意識的 呼泣	무의식적 호읍	Unconscious sobbing
넥과소푸	넥과소푸	Nekrasov (transliteration)
鹽歌	염가	Salt Song (Poem Title)
짜다고	짜다고	(That it is) salty (older spelling)
苦海	고해	Sea of suffering (Buddhist concept often used metaphorically)
特權階級	특권계급	Privileged class
撲滅	박멸	Eradicate, exterminate
畸形的 眞理	기형적 진리	Deformed truth
搾取	착취	Exploitation
屈從	굴종	Submission, subservience
忍耐	인내	Patience, endurance
策語	책어	Propaganda, cunning words (lit. scheme-word)
矛盾	모순	Contradiction
錯誤	착오	Error, mistake
虛僞	허위	Falsehood, untruth
憂鬱	우울	Melancholy, depression
懷疑	회의	Doubt, skepticism
失望	실망	Disappointment, despair
함케트	함케트	Hamlet (transliteration)
호레시요	호레시요	Horatio (transliteration)
頹廢	퇴폐	Degeneration, decadence
鬪士	투사	Fighter, warrior
享樂文藝	향락문예	Hedonistic literature, pleasure-seeking literature
逃避	도피	Escape, evasion
데카당	데카당	Decadent (loan word)
阿片	아편	Opium
猛進	맹진	Fierce advance, rush forward
生命	생명	Life, life force
枯渴	고갈	Drying up, exhaustion
窒息	질식	Suffocation, asphyxiation
刺針	자침	Sting, spine
毒素	독소	Toxin
毒液	독액	Poisonous liquid
保護色	보호색	Protective coloration
本能	본능	Instinct
枯渴하엿든가	고갈하였던가	Has it dried up? (older conjugation/spelling)
-e 

---------------------------


잡지명	개벽 제70호
발행일	1926년 06월 01일
기사제목	煩惱者의 感傷語(隨筆) -눈물 만흔 이에게-
필자	懷月
기사형태	논설

煩惱者의 感傷語
						懷月
친한 친구와 이야기 몃 마듸 하는 동안에 모처럼 왓든 아름다운 봄철이 지내간 것처럼 봄은 가버리고 말엇다. 그리고 화려한 첫 녀름은 무르녹아 흐르는 綠陰을 볏헤 타는 大地 우흐로 덥허오기 시작한다. 모든 입새가 흐느적거리며 모든 나무가지가 거드러 거릴제 만가지 새들의 쳔가지 노래가락이 바야흐로 어우러지는 녀름이 왓다. 自然 속은 지금으로부터 活動期에 이르럿스며 黃金時代에 이르럿다. 그러나 인간이 사는 이 땅 우에는 죽은 듯이 고요하다. 숨쉬는 소리조차 잘 들리지 안는다. 寂寞한 땅은 오즉 우리가 사는 이 땅 뿐이다. 그러면 우리 땅 우에 사는 사람은 다 죽고 말엇느냐? 안이다. 저-거리에서 뭉게뭉게 밀려단이는 鉛波가 그것이 우리들의 사람이다. 그런데도 죽은 듯이 고요하다. 그러면 그들은 잠자고 잇는 사람이냐? 안이다. 때때로 날카로운 소리가 그윽히 저 웅덩이로부터 들리지 안느냐? 그러면 그들은 영원한 沈黙을 表象하는 木乃伊냐? 안이다. 그들은 現實만을 開拓할 時代兒인 것이다. 누구든지 갓가이 가서 그들의 얼굴을 살피여 보아라! 아즉도 痕跡이 남어 잇는 두 줄기의 눈물의 자최가 아즉 것 사러지지 안엇다. 그러면 엇지해서 그들은 울엇든가?
눈물!
太陽보다도 뜨거운 情熱과 地球를 깨트릴만한 큰 힘이 인간에게는 잇는 것이다. 그러나 그 반면에는 하로사리처럼＜1＞ 無能한 것과 어린애처럼 눈물이 잇다. 눈물은 悲哀로부터 나오는 것이다. 悲哀라는 것은 자기의 모든 힘과 情熱이 마음것 表出되지 못하며 자기의 생활과 自由가 合一되지 못하야 자기자신의 可能化하려는 心的 要求가 그 이상가는 힘에 눌리우며 짓발힐 때에 생기는 消極的 反抗이 이 슬품이다.
아! 이 世界에 人間들이 그 얼마나 이 消極的 反抗에 沒頭하엿든가? 아! 얼마나 우리들은 이 消極的 反抗에서 헤매엿든가? 할 수 업스면 운다. 갈 수 업서도 울음을 운다. 사랑이 업서도 울음을 울고 살 수가 업서도 울음을 운다. 모다가 울음뿐이엿다.
이러케 消極的 反抗으로 무엇이든지 自己能力으로써 할 수 업게 될 때마다 늘 울어왓다. 그럼으로써 이 울음은 한 習慣처럼 모든 弱者의 武器로써 가지고 왓다. 弱한 자에게는 다만 울음만이 잇섯다. 그런 고로 어른보다도 어린이에게 울음이 만코 산애보다도 女子들에게 울음이 만타. 强한 나라보다 弱한 나라에 울음이 만코 權力者보다는 被支配者에게 울음이 만으며 自由人보다도 壓迫人에게 울음이 만타.
그런 고로 울음이라는 것은 消極的 反抗이라는 것 보다는 찰아리 人生의 不幸이라고 定義하자. 그러타. 울음이라는 것은 결코 反抗이 안이라 인생의 불행을 表象한 것이다. 그럼으로 不幸한 사람에게는 울음이 만타. 따라서 울음이 만흔 사람은 불행한 사람이다. 弱한 사람이다. 反抗이 업는 사람이다. 無能한 사람이다. 그들은 울음 이외에는 아모 것도 알지 못한다. 그것은 맛치 어린애들이 걸핏하면 우는 것과 갓다. 어린이들은 우는 것이 그들 무기이며 성공이다. 그 외에는 아모러한 능력이 進步되지 못하엿든 까닭이다. 그러나 어린이들이 나희가 먹고 漸漸 成長할수록 울음이 적어지며 새로운 計策과 勇氣와 理智가 그의 生活을 위해서 發達한다. 그리해서 그들은 그들의 손으로 그들의 將來를 開拓한다.
그러타! 將來를 開拓하려는 사람은 울어서는 안이된다. 現實을 幸福케 하려는 사람들은 울어서는 안이된다. 自己의 生活을 위해서 현실과 싸우는 사람이 울어서는 안이된다.
다만 새로운 幸福을 잡으려고 努力하는 사람들은 울음을 우는 대신에 그 不幸이라는 對象하고 최후까지 싸와 보자! 勝利를 어들 때까지 싸와 보자!＜2＞
그러타. 우리는 지금 싸운다. 약한 자는 눈물를 거두고 强한 자와 鬪爭한다. 女子들은 울음을 거두고 奴隷的 生活에서 解放線上으로 뛰여나와 運動한다. 움즉인다. 잡어 흔든다. 被支配階級은 支配階級과 無自由人과 勞働者는 資本主와 푸로레타리아는 쁘르즈와와 鬪爭한다.
그러타. 世界의 弱한 인간의 울음은 이제 다 끗처버렷다. 世界은 울지 안는다. 울음은 不幸한 까닭이다. 우리는 불행을 울어서는 안이된다. 幸福과 싸와서 그 행복을 잡어야 한다. 不幸한 사람이 울기만 하면 더욱더욱 不幸할 뿐이다. 奴隷가 울기만 하면 더욱 불행할 것이며 弱者가 울기만 하야도 더욱 불행할 것이다. 가장 賢明한 사람은 울지 안는다. 그런 故로 가장 無能하고 어리석은 사람뿐이 울음이 만타. 눈물이 어린 눈은 物象을 잘 보지 못한다. 그런 고로 우는 사람은 늘 迷路에서 허매인다. 따라서 어리석은 迷路에서 허매이는 藝術家들은 이 눈물을 讚頌한다. 눈물 방울이 金구슬가트니 銀방울가트니하고 이 눈물을 노래로 써서 부른다. 그러나 우리는 어리석고 무능한 藝術家와 가티 어리석고 無能한 讀者가 되여서는 아니된다. 다만 우리는 現實을 開拓하는 지혜로운 民衆에 한 사람이 되자.
보아라! 世上을 悲觀하고 自己의 生命을 自殺하는 靑春의 영원한 怨恨의 부르지짐을 귀잇는 이는 들을 것이라. 目前에 切迫한 자기의 생활을 해결하지 못하면서 요원한 古今의 長久한 幻像의 正軆를 헛되이 차지려다가 自己의 힘이 밋치지 못하는 때 그는 自殺하게 된다. 그것은 현실에 잇는 사람이 幽靈을 보려다가 못보와서 절망하고 自殺하는 것이나 갓다. 因襲과 傳統에서 버서나지 못한 男子靑年의 自由스런 戀愛가 最終까지 幸福스러운 지경에 못가고 因襲傳統에 支配를 바더서 그들은 制裁를 견듸지 못하여서 自殺한다. 그러나 보아라! 어느 때던지 그 不合理 不自由한 社會 或 家庭制度 壓迫에 견듸지 못해서 자살하는 것으로써 最上의 길을 찻는다 하면 이러케 자살하는 것은 人類의 永遠한 不幸으로써 업서지지 안코 남어잇서 늘 만흔 靑年들은 犧牲할 것이다.
안이다. 이러케 不幸한 생활 이러케 불행한 環境에서 괴로움을 밧는 사람들은 한 가지 그 원인을 차저서 그 原因을 變革케 하지 안으면 안이된다. 모든 이러한 不幸은 다만 그 因襲과 그 制度가 그 壓迫과 鬪爭하야 최후의 勝利를 어더서 자유스러운 生活을 開拓하지 안으면 아니된다.＜3＞
우리는 이 鬪爭을 위해서 團結하며 움죽이지 안을 수 업는 것이다. 우리는 그리로 나가자.

그러나 世上에는 울지도 안코 눈물도 흘리지 안으나 마음속으로 우는 사람이 잇다. 그 사람은 우는 사람처럼 沒意識的 呼泣은 아니다. 다만 그는 밧그로 터저 나올 울움의 세력이 內在的으로 터지는 것임으로 밧그로 터저 버릴 그 힘이 터지지 못하는 대신으로 그 反動的 勢力을 加速度로 사람의 머리 속에 불을 부치는 것이니 이것이 일반으로 말하는 고민 혹은 苦痛인 것이다. 울음을 울어본 사람은 그 눈물의 맛(味)을 알 것이다. 그 눈물의 맛을 露西亞의 詩人 넥과소푸는 그의 詩 『鹽歌』에서 보면 그 맛이 짜다고 하엿스니 所謂 How salt the tear! 가 그것이다. 그 눈물의 짠맛으로부터 苦痛이 시작되는 것이다. 눈물에 맛을 아는 때에 苦痛은 비로소 出生한다. 모든 약한 者가 울음을 우는 것과 가티 모든 울음 울든 者가 苦痛한다.
그럼으로 人生은 苦海라는 한 無能한 말이 모든 弱者의 智慧로부터 만들어 진 것이다. 아니다. 그 말은 弱者의 知慧보다도 權力者의 知慧가 만들어 낸 것이다. 모든 權力者의 支配的 機能이 無權力者가 고통하는 때에만 發揮할 수 잇는 까닭이다. 그럼으로 苦痛하는 民衆이 自覺하고 이 고통으로부터 脫出할 것 가트면 特權階級이 沒落될 것이 事實이다. 그들의 고통은 特權階級이 原因한 까닭이다. 그럼으로 苦痛者의 苦痛을 征服한다 하면 그것은 그 苦痛의 원인을 撲滅케 할 것이다. 그럼으로 特權階級은 그들의 自覺을 업게 하기 위해서 人生은 苦海라는 말로써 사람을 누구든지 苦痛하는 環境을 갓는 法이라는 範疇를 만들어 낸 것이다.
그러나 인생은 苦海가 아니다. 인생은 征服이며 鬪爭이며 幸福이다. 인생은 끈힘업시 正義를 위해서 鬪爭하며 眞理를 위해서 진리 안인 것을 征服하는 것이며 不幸을 물니치며 幸福을 찻는 것이다.
人生은 自由이다. 人生은 Some thing이 만이라 Every thing이다. 모든 것이다. 그러나 사람은 生活, 위해서 苦痛하지 아니치 못하며 壓迫으로써 自由를 상실케 되니 飢餓, 殺戮, 自殺, 虐待, 放逐, 死刑... 등이 이 社會를 組織하엿스니 이 사회가 엇지 고통이 아니랴! 그러나 人生은 自由이며 모든 것이나 支配者에게만 안락이 잇는 것이 아니며 資本主에게만 幸福이 잇스라는 畸形的 眞理를 가진 人生은 아니다. 그러케 狹少한 範圍를 가진＜4＞ 宇宙는 안이다. 그러면 엇지해서 우리는 廣大한 眞理에 버서나서 이러케 협소한 地獄에서 고통하는가?
