**Header Section:**
Magazine Title: 개벽 신간 제1호
Publication Date: 1934년 11월 01일
Article Title: 財界時評 東一銀行과 和信 (Financial World Commentary: Tongil Bank and Hwasin)
Author: 江村凡夫
Article Type: 논설 (Editorial/Opinion Piece)

**Body Text Translation:**

Financial World Commentary: Tongil Bank and Hwasin
						By Kang Ch'onpŏmbu

Resignation of President Min and the Future Outlook for Tongil Bank

Regarding Tongil Bank today, anyone would recognize its existence as our financial institution that has left a long history and considerable contribution to the Korean financial world, and knows its origins and achievements. Therefore, there is no need to dwell on its origins or past changes, so I will only touch upon them briefly and try to look at the present and future prospects.
As everyone knows, Tongil Bank is the successor to Hanil Bank, which for over 30 years left considerable achievements for the Korean economic world and our financial circles. When did this Hanil Bank change its name to Tongil Bank? It was after its merger with Hoso Bank (perhaps about 5 years ago). Its capital, which was 2.5 million won, became 5 million won after the merger with Hoso Bank. During the Hanil Bank era, along with Hansŏng and Haedong Banks, it formed a tripod stance (鼎足의 勢) in the Korean financial world, truly becoming the exclusive institution of the Chongno merchant community, or rather, the Pukch'on merchant district. Later, after Hanil Bank became affiliated with the Chŏksan Ŭnhaeng (Colonial Industrial Bank, 殖銀) due to loans it received, Haedong and Tongil became rivals, striving for Korean finance. However, whether due to the impact of the worldwide financial downturn and the aftermath of the international financial panic, resulting in sluggish performance, or due to managerial mistakes (?), fixed loans reached a huge amount, and recovery was difficult, reaching a point where it became necessary to arrange everything through loans. Thus, not long after the merger with Hoso Bank, it began restructuring by borrowing 2.51 million won at low interest from the Bank of Chōsen (朝鮮銀行). This became the "pretext" (빌미) for problems arising in the Tongil kingdom. Tongil Bank, whose foundation was laid by Korean hands, seeds sown there, and cultivated by Korean hands, concealed all its traditional traces and revealed its form as a different entity. Of course, Tongil Bank is still strictly dominated by the two major factions, the Min family line (Hanil line) and the Sŏng family line (Hoso line), but in addition, the influence of the Bank of Chōsen, which provided the loan (especially as a bank with supervisory powers<79>), came to control its internal and external affairs. Thus, on February 25th of this spring, Mr. Ichikawa Shinjiro (市川眞次郞), considered part of the Bank of Chōsen system, initially joined the bank under the pretext of a request, but within less than a month, on April 25th, at an extraordinary general meeting of shareholders, he was appointed as the bank's managing director as planned. This, so to speak, is the fundamental reason why the Korean management entity lost its entire form and an abnormal situation was inserted. In this way, the lending bank sought to seize absolute authority of interference by directly placing personnel from its own system into the bank. While this cannot be said to be unreasonable from the lender's perspective, when observed from another angle, it cannot but be considered an unusual event for the previously straightforward bank. For us who had viewed it as our financial institution, albeit weak, that still showed spirit in the Korean banking world, we cannot help but feel a sense of desolation. In any case, one question we currently have is, even assuming the bank had to take out loans due to its depleted funds, why didn't the Min or Sŏng factions invest funds in some form to plug the hole? Of course, there were various complications and interests, and perhaps the environmental circumstances did not permit it, but had they transcended interests and overcome the various environmental encroachments, this amount of capital would likely have been sufficient even for the Min faction alone. It is also true that with the announcement of the New Banking Ordinance, the bank, with capital less than 3 million won, was in a situation where it had to increase its capital. However, if it had chosen the capital increase method through absorption and merger, avoiding various expenses, and had carried out a standalone capital increase of one or two million won, perhaps today's result might not have occurred. According to what is heard, there was controversy on this point even at the extraordinary general meeting of shareholders. It is said that there were various unreasonable aspects to Hanil's acquisition of Hoso. Since the truth of this is unknown, it is difficult to comment simply, but it is incomprehensible why Hanil took such action when there was no particular reason why it had to absorb and merge with Hoso.

Furthermore, what is the reason why Mr. Min Taesik (閔大植), the head of Tongil Bank, which had been under the absolute control of the Min family for many years like their private bank, is now resolutely resigning not only from the position of president but also as a regular director? Regarding this, apart from the person himself, it is impossible to pinpoint the true intention, but given that the bank has the feel of being a Min family bank and that Mr. Min Taesik, like the patriarch of the Min family line, had to step down from his own bank, which he dedicated his full efforts to and treated as his own, there must be significant reasons behind it. However, this is also not the place to discuss it yet (I intend to write about it on another occasion later), so I will leave it for now and merely introduce one or two rumors circulating in public, leaving the interpretation to the reader's discretion.
The fact that Tongil Bank President Min Taesik resolutely resigned from the presidency on the occasion of the bank's general meeting on July 25th caused quite a shock in the financial world at the time. Consequently, various speculations and discussions arose centered around this issue. Here are a couple of the important ones:

1.  After Hanil and Hoso merged, things proceeded smoothly for a short while, but as time passed, confrontation between the two factions gradually emerged.<80> Directors against directors, employees against employees, shareholders against shareholders – they became divided and confronted each other, with the balance of power between the two forces becoming implicitly serious, reaching a state where things could not continue as they were. Therefore, President Min Taesik, who orchestrated this merger, had no choice but to take responsibility. Furthermore, the fact that performance, which hadn't been relatively poor, deteriorated after the merger to the point where a loan of 2.5 million won became necessary, even if attributed to general trends, was a responsibility the president himself had to bear. It seems he decided to resign resolutely, feeling responsible due to shareholder criticism.
2.  From the perspective that a bank receiving loans should economize on all expenses to aid repayment, there was no need for a presidency system that doesn't handle practical affairs. Following the wishes of the supervisory authorities and the lending bank to change the articles of incorporation and adopt a managing director system (專務制) focused on practical work, the useless figurehead presidency system was abolished, inevitably leading to President Min's resignation.
3.  Considering the general trend in the banking world, the long-rumored consolidation of ordinary banks was seen as inevitable. As preparatory work for this, there was an implicit intention not only to change the organizational structure of ordinary banks within the sphere of influence of special banks but also to have successors connected through a single lineage grasp real power within those banks, so they could respond to a merger order upon command. Therefore, Hansŏng Bank from Chŏksan Bank (殖銀) and Tongil Bank from the Bank of Chōsen (朝鮮銀行) were to some extent undergoing such preliminary arrangements. The expression of such hopes at this juncture led to President Min's resignation.

Roughly, the aforementioned factors intertwined, bringing the abnormality of Tongil Bank to the surface. Now that Mr. Min Taesik, who has the deepest ties to Tongil Bank, has resigned as president and the managing director system is adopted, it is expected that the current Managing Director, Sŏng Nak-hŏn (成樂憲), will reign. It is keenly watched how he will handle matters and reform the bank's affairs going forward. However, speaking frankly here, regardless of who the managing director is, whether it is Mr. Sŏng or another individual, given Tongil Bank's current situation, even with dozens of managing directors, it seems an undeniable fact that the background of the Bank of Chōsen and the strategic maneuvers of Managing Director Ichikawa, who has received internal orders for the Bank of Chōsen's policy, will dictate the future of the bank. Even if Mr. Ichikawa personally finds certain coercive actions unbearable, if an order comes from the lending bank, Mr. Ichikawa will have no choice but to forcefully implement them. Therefore, the future progress and policy direction of Tongil Bank are matters of our concern and subjects for close observation.

Reviewing the Contents of the Hwasin Chain Stores, Seen as Monopolizing Popularity

Hwasin Department Store—When one mentions Hwasin Department Store (和信百貨店), everyone proudly speaks of it as the only department store managed by Korean hands, and we cannot but celebrate that it at least saves face representing the desolate Korean commercial world. Hwasin Department Store, as everyone knows, originated from Hwasin Trading Company (和信商會), a jewelry and crafts store managed by Sin T'aehwa (申泰和). Following the trends of the times, Mr. Sin created the form of a department store and managed it. Four years ago,<81> Pak Hŭngsik (朴興植), unable to recover 560,000 won lent to Mr. Sin against promissory notes, agreed to joint management at the earnest request of Mr. Sin and the advice of others. Initially, Messrs. Sin and Pak formed the foundation, incorporating several dozen other shareholders to create a joint-stock company. Eventually, Mr. Sin handed over the entire management rights to Mr. Pak and withdrew, after which it became Mr. Pak's possession. Then, Mr. Pak, desiring to become the foremost figure in the commercial world, competed with the Tōa Department Store (東亞百貨店) managed by Ch'oe Nam (崔楠) next door, which is now Hwasin's East Building (東舘), and eventually acquired it, laying the foundation for today. In any case, Pak Hŭngsik took the lead, guiding minor shareholders to achieve today's prosperity (?). Whatever the internal relationships and circumstances, the result of painstaking management is that, at least superficially, it stands shoulder-to-shoulder with the four or five large department stores in Namch'on (South Village, i.e., the Japanese district). Amidst this, Mr. Pak, aiming to spread his commercial influence throughout Korea, planned 1,000 "chain stores" (첸스투어 - likely 'chain store'), a concept that had been popular in the United States (米國) for some time. He engaged in extensive fundraising efforts, initially negotiating for a 5 million won loan from the Bank of Chōsen, which ended unsuccessfully. For a time, there was no news, but starting this year, rumors resurfaced. Recently, the planning was completed, and announcements recruiting applicants for chain stores across Korea were published in newspapers. According to reports, the number of applicants exceeded an astonishing 3,000 by the July 15th deadline. The store is reportedly screening these applicants. Looking at the distribution by province:
Kyŏnggi 277, Ch'ungbuk 176, Ch'ungnam 250, Chŏnbuk 196, Chŏnnam 215, Kyŏngbuk 221, Kyŏngnam 215, Hwanghae 253, P'yŏngnam 221, P'yŏngbuk 252, Kangwŏn 229, Hamnam 300, Hambuk 235.
Approximately this many applicants exist. Seeing this, we cannot help but congratulate and rejoice that the store has completed such a grand plan to prevent infringement by others, expand its own commercial power, and simultaneously exclude or prevent the influence of others, thereby firmly grasping hegemony as a department store. However, this is merely unconditional celebration based only on superficial facts without examining the content or having a firm opinion. Upon closer examination, we should reject this plan rather than welcome it.
Let's state the reasons. For Hwasin to establish 1,000 chain stores, it needs at least 5 million won or more in capital to supply goods to those 1,000 stores. That is, it requires working capital more than five times Hwasin's current capital. So, where did they pull this enormous sum from, like the proverb "the navel is bigger than the belly"? After failing with the Bank of Chōsen, they reportedly negotiated dozens of times with the Chŏksan Bank (殖銀) and secured the necessary funds from there. However, this huge loan was not based on credit or Mr. Pak's personal assets alone. A condition for permitting the 1,000 chain stores is that the individuals running the chain stores must provide real estate as collateral, sufficient to cover the value of goods received (商品法來額). That is, the loan is reportedly granted on the condition that Hwasin re-collateralizes the land received as collateral<82> to Chŏksan Bank. Then, the land provided as collateral by the 1,000 chain store applicants will be re-collateralized to Chŏksan Bank. Since collateral appraisal is typically 50-60% of the market value, the real estate must be worth over 5 million won even at that valuation for them to lend 5 million won. This means the collateral land received by Hwasin from the 1,000 chain stores would have a market value exceeding 10 million won. Consequently, people in the provinces wishing to run a chain store provide their owned land to Hwasin at half its value. Hwasin then uses this to receive a loan from Chŏksan Bank, supposedly adding a certain interest rate. In reality, the market value of the real estate provided by the chain store operators going to Chŏksan Bank would likely correspond to 13 to 15 million won. Even if commerce thrives through this, allowing them to reclaim their land and make a profit, which could be attributed to Hwasin's virtue (德), considering the current commercial tactics and strategies of Koreans, succeeding without being crushed by others' influence and preventing the commercial power of Chinese or others while reaping profits is more foolish than "seeking fish from a tree" (緣木求魚의 愚). If they fail even once, they will have no choice but to lament to the heavens after having pushed forward their "rice bowl" (밥그릇 - livelihood/assets) at half price. Even if there is some small profit, what is so remarkable about that?
Therefore, while we do not spare our praise for Mr. Pak's bold ambition (?) and recklessness, and marvel at the susceptibility of provincial merchants who, influenced by new trends, rush into things attracted by unfamiliar new terms, we want to strongly condemn the fact that this plan amounts to nothing more than transferring the rights to over 10 million won worth of land belonging to 1,000 Korean people to Chŏksan Bank. We pity the foolishness of handing over one's livelihood at half price, moreover into the hands of others, to fatten the belly of Chŏksan Bank, and cannot cease our regret and sympathy. No matter how ignorant society is, no matter how dull the public eye may be in our society, we cannot stand idly by watching Hwasin's actions, which, lacking deep consideration or foolproof strategies (萬全의 術*), born of shortsightedness (短念淺思), could potentially poison society and harm fellow countrymen. We cannot ignore the potential for thousands of families, tens of thousands of beggars (乞人*), appearing before our eyes. Both the planners and the thousands of applicants rushing in without knowing the plan's details must pay very deep attention (深深注意) at this juncture.<83>

**Summary**

This editorial critiques two major developments in the Korean financial and commercial world under Japanese rule. First, it examines the recent changes at Tongil Bank, particularly the resignation of President Min Taesik and the increased influence of the Japanese Bank of Chōsen following a large loan, lamenting the loss of Korean control over a historically Korean institution. Second, it scrutinizes the ambitious plan by Pak Hŭngsik of Hwasin Department Store to establish 1,000 chain stores across Korea, warning that the financing structure, involving loans from the Japanese Chŏksan Bank secured by collateral provided by the Korean chain store operators at undervalued rates, poses a significant risk of dispossession for these operators if the venture fails. The author expresses deep concern over the potential negative consequences for the Korean economy and individuals involved.

For historians, this article offers valuable insights into the precarious state of Korean-owned banks under pressure from Japanese colonial financial institutions (Bank of Chōsen, Chŏksan Bank) and regulatory changes (New Banking Ordinance). It also documents the emergence of Korean entrepreneurship (Hwasin Department Store) attempting large-scale, modern business models like chain stores, while simultaneously highlighting the potential pitfalls and exploitative aspects of accessing capital through colonial structures. The explicit critique of both Korean management decisions (at Tongil) and potentially reckless expansion (by Hwasin), framed within a nationalist concern for Korean assets, is particularly revealing.

**Named Entities**

東一銀行	동일은행	Tongil Ŭnhaeng
和信	화신	Hwasin
江村凡夫	강촌범부	Kang Ch'onpŏmbu
朝鮮人	조선인	Korean people
韓一銀行	한일은행	Hanil Ŭnhaeng
湖西銀行	호서은행	Hoso Ŭnhaeng
漢城	한성	Hansŏng (referring to Hansŏng Bank)
海東	해동	Haedong (referring to Haedong Bank)
鍾路商界	종로상계	Chongno Commercial Circle
北村商街	북촌상가	Pukch'on Merchant District
殖銀	식은	Chŏksan Ŭnhaeng (Colonial Industrial Bank)
朝鮮銀行	조선은행	Chosŏn Ŭnhaeng (Bank of Chōsen)
市川眞次郞	시천진차랑	Ichikawa Shinjiro
閔氏系	민씨계	Min Family Line/Faction
成氏系	성씨계	Sŏng Family Line/Faction
閔大植	민대식	Min Taesik
成樂憲	성낙헌	Sŏng Nak-hŏn
和信百貨店	화신백화점	Hwasin Department Store
朝鮮	조선	Chosŏn (Korea)
申泰和	신태화	Sin T'aehwa
和信商會	화신상회	Hwasin Trading Company
朴興植	박흥식	Pak Hŭngsik
崔楠	최남	Ch'oe Nam
東亞百貨店	동아백화점	Tonga Department Store (Tōa Hyakkaten)
南村	남촌	Namch'on ("South Village", Japanese residential/commercial area in Seoul)
米國	미국	Miguk (United States)
京畿	경기	Kyŏnggi (Province)
忠北	충북	Ch'ungbuk (Province)
忠南	충남	Ch'ungnam (Province)
全北	전북	Chŏnbuk (Province)
全南	전남	Chŏnnam (Province)
慶北	경북	Kyŏngbuk (Province)
慶南	경남	Kyŏngnam (Province)
黃海	황해	Hwanghae (Province)
平南	평남	P'yŏngnam (Province)
平北	평북	P'yŏngbuk (Province)
江原	강원	Kangwŏn (Province)
咸南	함남	Hamnam (Province)
咸北	함북	Hambuk (Province)

**Glossary**

財界時評	재계시평	Financial world commentary
頭取	두취	Bank president (older term)
辭任	사임	Resignation
今後	금후	Hereafter, future
展望	전망	Outlook, prospect
金融界	금융계	Financial world/circles
장구한	장구한	Long (duration)
공헌	공헌	Contribution
유래	유래	Origin, history
변천	변천	Changes, developments
呶呶할	노노할	To chatter, babble, speak tediously (older usage)
後身	후신	Successor entity
개명	개명	Name change
합병	합병	Merger
당시	당시	At that time
倂稱하야	병칭하야	Being called together, mentioned in the same breath (older spelling/form of 병칭하여)
鼎足의 勢	정족지세	Tripod stance, situation where three rivals balance each other
전속기관	전속기관	Exclusive institution
殖銀圈內	식은권내	Within the sphere of influence of the Chŏksan Bank
쌍벽	쌍벽	Pair of rivals, two great rivals
진력하얏든	진력하였든	Had striven, had devoted efforts (older spelling/form of 진력하였던)
恐慌餘波	공황여파	Aftermath of a financial panic/crisis
업적	업적	Achievements, performance
부진하얏든	부진하였든	Had been sluggish/poor (older spelling/form of 부진하였던)
실책	실책	Mistake, mismanagement
固定貸附	고정대부	Fixed loans (non-liquid loans)
거액	거액	Large sum/amount
회수	회수	Recovery, collection (of loans)
융자	융자	Loan, financing
低資	저자	Low-interest funds/capital
빌미	빌미	Pretext, excuse, cause (of trouble)
터를 닥거	터를 닦아	Prepared the ground, laid the foundation (older spelling/form of 터를 닦아)
북도더	북돋아	Encouraged, fostered, raised (older spelling/form of 북돋아)
길너 가든	길러 가던	Had been raising/cultivating (older spelling/form of 길러 가던)
자최	자취	Traces, vestiges
形骸	형해	Form, body, outward appearance (often implying emptiness)
감독권	감독권	Supervisory authority/right
帝制	제제	To control imperially, dominate
부탁	부탁	Request
臨時株主總會	임시주주총회	Extraordinary general meeting of shareholders
常務	상무	Managing Director
경영주체	경영주체	Management entity/subject
전모	전모	The whole picture, entirety
일코	잃고	Losing (older spelling/form of 잃고)
변태적	변태적	Abnormal, irregular
장악	장악	Seize control, grasp
仝行	동행	The said bank (archaic usage, lit. 'same bank')
仝계통	동계통	The said system/lineage (archaic usage)
이변	이변	Unusual event, incident
빈약하나마	빈약하나마	Although poor/weak
기염을 토하던	기염을 토하던	Had been showing spirit/vigor
적막한 감	적막한 감	Feeling of desolation/loneliness
자금고갈	자금고갈	Depletion of funds
구녁	구녁	Hole, deficit (colloquial/older form of 구멍)
層折과 이해	층절과 이해	Complications and interests
不許	불허	Not permit, disallow
돌파하엿스면	돌파하였으면	If had broken through/overcome (older spelling/form of 돌파하였으면)
新銀行令	신은행령	New Banking Ordinance
증자	증자	Capital increase
흡수합동	흡수합동	Absorption and merger
費用	비용	Expenses, costs
내이지 안코	내지 않고	Without paying/incurring (older spelling/form of 내지 않고)
단독증자	단독증자	Standalone capital increase
論難	논난	Controversy, dispute
영입	영입	Recruiting, bringing in
自家	자가	One's own family/house
用達銀行	용달은행	Bank for one's private use, personal bank
頭領	두령	Head, leader
取締役	취체역	Director (of a company)
斷然	단연	Resolutely, firmly
裡面	이면	Behind the scenes, the inside story
道聽道說	도청도설	Hearsay, rumors picked up on the street
衝動	충동	Shock, impulse
說往說來	설왕설래	Arguments back and forth, discussion
合倂	합병	Merger (alternative Hanja for 합병)
重役	중역	Executive, director
行員	행원	Bank employee
株主	주주	Shareholder
分裂對峙	분열대치	Division and confrontation
伯仲	백중	Being evenly matched
심각화	심각화	Becoming serious/grave
合同工作	합동공작	Merger work/maneuvering
불량하지 안튼	불량하지 않던	Which was not poor/bad (older spelling/form of 불량하지 않던)
株主功駁	주주공박	Shareholder criticism/attack
늣겨	느껴	Feeling (older spelling/form of 느껴)
定欸	정관	Articles of incorporation (older term/Hanja)
專務制	전무제	Managing Director system
無用의 長物	무용지물	Useless thing, white elephant
喧籍되든	훤자되든	Had been rumored/talked about noisily (older spelling/form of 회자되던)
普通銀行合同	보통은행합동	Consolidation of ordinary banks
필연적	필연적	Inevitable
豫備憑慫	예비빙촉	Preliminary arrangements/persuasion (obscure term)
군림	군림	Reign, rule over
쇄신	쇄신	Reform, renovation
圖할지	도할지	Whether will plan/attempt (older spelling/form of 도모할지)
頗히	파히	Quite, considerably
기탄업시	기탄없이	Frankly, without reserve
如此하고서는	여차하고서는	Being like this, in this state (older form)
背景	배경	Background
內命	내명	Internal order/command
左右	좌우	Control, influence (lit. left and right)
엄폐	엄폐	Concealment
강박한	강박한	Coercive, forceful
融銀	융은	Lending bank (abbreviation)
瞠目注視	당목주지	To watch intently with wide eyes
連鎖店	연쇄점	Chain store
內容檢討	내용검토	Content review/examination
百貨店	백화점	Department store
面치례	면치례	Saving face
慶賀	경하	Celebration, congratulation
金融細工販賣店	금은세공판매점	Gold and silver craft store
時代風潮	시대풍조	Trends of the times
手形擔保	수형담보	Promissory note collateral
圈內	권내	Within the sphere/circle of influence
掌中物	장중물	Object in one's palm, something under one's complete control
東舘	동관	East Building
隔墻	격장	Neighboring wall, next door
群小株主	군소주주	Minor shareholders
盛運	성운	Prosperity, good fortune
억개를 견주어	어깨를 견주어	Standing shoulder-to-shoulder, competing on equal footing
「첸스투어」	체인스토어	Chain store (phonetic transcription)
資金運動	자금운동	Fundraising activities
不成功	불성공	Unsuccessful
再燃	재연	Resurgence, rekindling
討劃	토획	Plan, scheme (older term for 계획)
志願者	지원자	Applicant
締切	체절	Deadline (older term for 마감)
勿驚	물경	Astonishingly, surprisingly (lit. do not be surprised)
詮衡	전형	Screening, selection (of applicants)
道別所數	도별소수	Number by province (likely 所在數 - number located)
排際	배제	Exclusion, elimination
宏大한	굉대한	Grand, vast
宛然히	완연히	Clearly, evidently, as if
制覇權	제패권	Hegemony, supremacy
贊賀	찬하	Praise and congratulate
詳考	상고	Detailed examination/consideration
供給	공급	Supply
俗言	속언	Proverb, common saying
막대한	막대한	Immense, vast
수십 차	수십 차	Dozens of times
商品法來額	상품거래액	Value of goods transactions (likely meaning)
不動産	부동산	Real estate
재담보	재담보	Re-collateralization
시가	시가	Market price/value
능히	능히	Sufficiently, capably
提供	제공	Provision, offering
利率	이율	Interest rate
첨부	첨부	Attachment, addition
實殖銀	실식은	In reality, the Chŏksan Bank
興旺	흥왕	Prosperity, thriving
차저내고	찾아내고	Reclaiming, finding back (older spelling/form of 찾아내고)
緣木求魚의 愚	연목구어지우	The folly of seeking fish from a tree (idiom for impossible task)
一朝	일조	In a single morning, suddenly, if one day
밥그릇	밥그릇	Rice bowl (metaphor for livelihood, assets)
仰天탄식	앙천탄식	Looking up to the heavens and sighing/lamenting
多小	다소	Some amount, somewhat (older form of 다소)
雄圖	웅도	Grand ambition/plan
만용	만용	Recklessness, rash courage
三歎을 不惜하며	삼탄불석하며	Not sparing threefold sighs (expressing deep regret/praise)
홀여	홀려	Being bewitched/charmed by (older spelling/form of 홀려)
덤비는	덤비는	Rushing into, pouncing on
感受性	감수성	Susceptibility, sensitivity
痛擊	통격	Strong criticism, denunciation
맷겨서	맡겨서	Entrusting (older spelling/form of 맡겨서)
배를 불이는	배를 불리는	Fattening the belly (profiting oneself)
愚劣	우렬	Foolishness, stupidity
연민	연민	Pity, compassion
愛惜同情不巳	애석동정불사	Unceasing regret and sympathy
몽매하고	몽매하고	Ignorant, unenlightened
世眼	세안	Public eye, world's view
무되다는	무디다는	Is dull/insensitive (older spelling/form of 무디다는)
深遠한 염려	심원한 염려	Deep consideration/worry
萬全의 術*	만전지술	Foolproof plan/method (術* likely 術策 or similar)
短念淺思	단념천사	Shortsightedness and shallow thinking
毒하고	독하고	Poisoning, harming
擧措	거조	Actions, conduct
乞人*	걸인	Beggar (人* likely a typo or archaic form for 人)
深深注意	심심주의	Deep attention/caution


---------------------------


잡지명	개벽 신간 제1호
발행일	1934년 11월 01일
기사제목	財界時評 東一銀行과 和信
필자	江村凡夫
기사형태	논설

財界時評 東一銀行과 和信
						江村凡夫
閔頭取辭任과 東一銀行의 今後 展望

現今 東一銀行으로 논하면 朝鮮人 金融界에 잇서서 장구한 역사와 상당한 공헌을 남긴 우리의 금융기관으로 누구나 그 존재를 인식할 것이며 그 유래와 그 공적을 알 것임으로 그 유래나 과거의 변천을 呶呶할 필요가 없기 때문에 그것은 오직 개략에 끄치고 현재와 장래나 전망하야 보랴고 한다.
