Magazine Title: 개벽 신간 제1호
Publication Date: 1934년 11월 01일
Article Title: 百人百話 (100 People, 100 Stories / Various Stories about Various People)
Author: N/A
Article Type: 소식 (News/Tidings)

One Hundred People, One Hundred Stories

Lieutenant Colonel Yi Ryang of the Manchukuo Army stayed at the Chosŏn Hotel during his return to Kyŏngsŏng (Seoul). Thinking of the days he used to lodge at the XXX Labor Lodging House, he must feel deeply moved (感慨無量).

Kim X-in recently suffered the loss of his mother, and Yu Chin-o has now lost his father. This autumn is truly a time of mourning for novelists (小說家 蒙喪之秋).

Yi Ki-yŏng, famous for his emaciated physique (瘦瘠), earning nicknames like "Professor of Thinness University" or "Malnourski" (말너스키), and whose slender wrists slipped in and out of handcuffs (명꽁이 時計 - slang for 手錠 'handcuffs') while imprisoned, becoming a topic of discussion among the guards, has been arrested (檢擧) again in connection with a certain incident. Though his body may be confined (不自由), his wrists seem always free.

Literary critic Paek Ch'ŏl's name, containing 'iron' (鐵), was unlucky (不吉), leading him to 'sightsee iron bars' (鐵窓 - prison), or so a friend joked (戱言). But perhaps, since his surname is Paek (白 - white/clear), he might also be acquitted/released without charge (白放).

Kim Tong-hwan seems to regard Na Hye-sŏk as an angel or fairy (天使仙女), repeatedly milking her story like chewing on crab bones (뼉다구를 게먹드시), reheating it two or three times (再湯三湯) in every issue of Samch'ŏlli Magazine (三千里誌). At this rate, even after Ms. Na's death (死後), Mr. Kim Tong-hwan will likely lay claim to her white bones (白骨).

Samch'ŏlli Magazine (三千里誌) published a detailed account of the expenses for the memorial service (追悼會) for Sŏhae Ch'oe Hak-song. If only they had also published a detailed accounting of the condolence money (賻儀金) expenditures from the funeral, the public rumors would likely die down.

Some people are curious about the outcome of Pak Hŭi-do's defamation (名譽毁損) lawsuit against the Chungang Ilbo and occasionally ask how it was resolved (歸決). However, inquiries at a certain place (某處) reveal that the matter (事宜) is still pending at the prosecutor's office (檢事局) and has not reached any conclusion (何等 段落).

Minse An Chae-hong, whose whereabouts had been unknown (杳然) since his release from prison (出監), made a public reappearance (街頭進出) via posters announcing his review (檢閱) of the *Collected Works of Chŏng Tasan* (丁茶山遺集) published by Sin Chosŏn Sa. More recently, he has been traveling (巡廻) around the Yŏsu area searching for the historic sites (遺跡) of Yi Ch'ungmu-gong (Admiral Yi Sun-sin) and publishing his travelogue serially in the Chosŏn Ilbo. The autumn wind rises, the wild goose flies south (秋風起兮鴻南飛).

In Ch'ŏndogyo, there are four 'Rin's (麟): namely Ch'oe Rin, Yi Chong-nin, Im Rin, and Sŏl Rin. However, they are not the four 'Lenins' (네린) of Russia (露西亞), but four Korean 'Rin's.

If one were to compile a "Biographies of Figures" (人物列傳) section for a study called "Numerical Chosŏn Research" (數字朝鮮硏究), the following people must certainly be included (入參): Yi Il, Kim Il-sŏn, Kim Il-dae, Yu Il-sŏn, O Il-yŏng, Ko Il-ch'ŏng, Kim Il-yŏp, Yi Pyŏng-sam, O Sam-ju, Yi Ch'un-sam, Yi Kun-o, Kwŏn O-sŏl, Ch'oe Yuk-tang, Pak Ch'il-yang, Pak P'ar-yang, Kim P'al-bong, Kim Yŏng-p'al, Kim Yang-p'al (Ch'ŏndogyo), Kim Chin-gu, Cho Wan-gu, Cho X-gu, Ch'a Sip-paek, Hyŏn Paek-un, Ch'ŏn Il-ch'ŏng (female official, 女官), Ch'ŏn XX, Ch'ae Man-sik, Ch'oe X-man, Ch'a Man-jae, Yi Sŭng-man (Syngman Rhee), Han Man-hae (Han Yong-un?), XX Un, Yu Man-gyŏm, Yu Ŏk-kyŏm, etc.

If a fortune teller based on the Four Pillars (四柱쟁이) were to select figures based on the Heavenly Stems and Earthly Branches (天干地支), they might pick: Yi Kap-sŏng, Yi Kap-ki, Kim Kap-sun, Yi Kap-su, Yi Ŭl, Yi Ŭr-u (X牛 likely 乙雨), Kim Ŭl-han, Yi Pyŏng-sam, Yi Pyŏng-X, Min Pyŏng-X, X Pyŏng-ju, Chŏng Hong-gyo, Chŏng Ch'il-sŏng, Chŏn Mu-gil, Pang Mu-gil, Kim Ki-sun (female teacher, 女敎員), Min Kyŏng-hwi, Kim Kyŏng-sŏng (Ch'ŏndogyo), Sin Il-yong, Sin Sŏk-chŏng, Sin T'ae-ik, Sin Hŭng-u, Sin Chŏng-ŏn, Sin Myŏng-gyun, Sin Albert, No Cha-yŏng, Yu Chin-o, Yu In-ik, Chŏng In-bo, Yi X-chin, etc., etc.

If Yi Yŏ-sŏng had been born during the Imjin (壬辰) War period, he would surely have been treated considerably well, assumed to be a brother of the Ming generals (明將) Li Rusong (李如松), Li Rubai (李如栢), Li Rumei (李如梅), Li Ruzhang (李如樟), Li Ruwu (李如梧), Li Ruzhen (李如楨), etc. And even if Yun Ch'i-ho did not set foot (投足) in the official world (官界), if he were in Kyŏngsŏng, he would be the Kyŏngsŏng Prefect (京城府尹), and if in Kaesŏng, the Kaesŏng Prefect (開城府尹), so his official fortune (官福) is abundant everywhere (到處多).

Among the various 'shadows' (諸影) Sŏgyŏng, Songyŏng, Muyŏng, Yuyŏng, Songyŏng was XX [obscured, likely arrested/died], leaving three cold shadows (寒三影) on the autumn moonlit rivers and mountains (秋月江山). Among the 'steps' (步) Ubo, Hoengbo, Xbo, Ilbo, Ubo ('Ox Step') unfortunately fell first (不幸 先倒), so what will become of the 'infantry formation' (步兵陣) in the literary world (文壇) henceforth?

Kim Ŭl-han was reportedly confined to his sickbed (病席) for a long time, but recently he has recovered considerably (快復), is going out somewhat, and also had a precious son (玉童子). For Mr. Kim, who experienced two joys (兩喜) simultaneously with the blowing of the autumn wind (金風一吹), we offer this notice (一視).

A few years ago, after Hyŏn Chin-gŏn moved outside Ch'angŭimun Gate (彰義門 外) and established his 'Apple Orchard Study' (능금밧 文閣), Yi Ki-yŏng subsequently (隨X) moved nearby. Recently, Yi Kwang-su is said to be building a new 'culture house' (文化住宅) near Sorim Temple (小林寺). It seems Se'gŏmjŏng (Pavilion for Washing Swords, 洗劍亭) will henceforth turn into Se'yŏnjŏng (Pavilion for Washing Inkstones, 洗硯亭).

It's quite a set of three contrasts (好個의 三對照) that Yu Chin-t'ae, who is illiterate (目不識丁), is in charge of the Chosŏn Education Association (朝鮮敎育會); Yu Ŏk-kyŏm, who acts without distinguishing right from wrong (是不XX - likely 是非不辨), serves as Vice President of the Chosŏn Sports Association (朝鮮體育會); and Yi In, who wears Western clothes (身着洋服), serves as President of the Association for the Promotion of Korean Products (朝鮮物産獎勵會).

Cho Man-sik's durumagi coat (두루액이) isn't short, his lower legs are long. Pak Hŭi-do's eyes aren't small, his face is large. Son Chŏng-gyu X's son isn't late, his grandson is late. Ch'oe Ŭn-hŭi X(?) seeing a son-in-law isn't late, seeing a husband was late.<117>
<116-117>

**Summary**

This article is a compilation of short news items and gossip concerning various Korean public figures in late 1934, primarily writers, intellectuals, and community leaders. It covers personal events like births and deaths in families (Kim X-in, Yu Chin-o, Kim Ŭl-han), arrests and legal troubles (Yi Ki-yŏng, Paek Ch'ŏl, Pak Hŭi-do), travels and publications (An Chae-hong, Kim Tong-hwan), organizational activities (Ch'ŏndogyo, Chosŏn Education/Sports/Product Promotion Associations), and movements within the literary scene (relocations near Se'gŏmjŏng). Many items involve wordplay based on the figures' names. For colonial history, this piece offers insights into the social milieu of the Korean elite, showing their interconnectedness, their engagement with both traditional and modern culture, and the background presence of Japanese surveillance and control (evidenced by arrests and discussion of prison). The mention of figures like An Chae-hong (nationalist activist), Yi Kwang-su (prominent writer, later collaborator), Yi Sŭng-man (future president), and Cho Man-sik (nationalist leader) alongside literary gossip provides a snapshot of the complex landscape of Korean society under colonial rule.

**Named Entities**

李亮	이량	Yi Ryang
만주국	만주국	Manchukuo
조선호텔	조선호텔	Chosŏn Hotel
XXX勞働宿泊所	XXX노동숙박소	XXX Labor Lodging House
金X仁	김X인	Kim X-in
兪鎭午	유진오	Yu Chin-o
李箕永	이기영	Yi Ki-yŏng
白鐵	백철	Paek Ch'ŏl
金東煥	김동환	Kim Tong-hwan
羅惠錫	나혜석	Na Hye-sŏk
三千里誌	삼천리 지	Samch'ŏlli Magazine
曙海 崔鶴松	서해 최학송	Sŏhae Ch'oe Hak-song
朴熙道	박희도	Pak Hŭi-do
中央日報	중앙일보	Chungang Ilbo
檢事局	검사국	Prosecutor's Office
民世 安在鴻	민세 안재홍	Minse An Chae-hong
新朝鮮社	신조선사	Sin Chosŏn Sa
丁茶山	정다산	Chŏng Tasan (Chŏng Yag-yong)
麗水	여수	Yŏsu
李忠武公	이충무공	Yi Ch'ungmu-gong (Yi Sun-sin)
조선일보	조선일보	Chosŏn Ilbo
天道敎	천도교	Ch'ŏndogyo
崔麟	최린	Ch'oe Rin
李鍾麟	이종린	Yi Chong-nin
林麟	임린	Im Rin
薛麟	설린	Sŏl Rin
露西亞	로서아	Rŏsia (Russia)
조선	조선	Chosŏn (Korea)
李一	이일	Yi Il
金一善	김일선	Kim Il-sŏn
金一大	김일대	Kim Il-dae
柳一宣	유일선	Yu Il-sŏn
吳一英	오일영	O Il-yŏng
高一淸	고일청	Ko Il-ch'ŏng
金一葉	김일엽	Kim Il-yŏp
李丙三	이병삼	Yi Pyŏng-sam
吳三住	오삼주	O Sam-ju
李春三	이춘삼	Yi Ch'un-sam
李君五	이군오	Yi Kun-o
權五卨	권오설	Kwŏn O-sŏl
崔六堂	최육당	Ch'oe Yuk-tang
朴七陽	박칠양	Pak Ch'il-yang
朴八陽	박팔양	Pak P'ar-yang
金八峰	김팔봉	Kim P'al-bong
金永八	김영팔	Kim Yŏng-p'al
金陽八	김양팔	Kim Yang-p'al
金振九	김진구	Kim Chin-gu
趙宛九	조완구	Cho Wan-gu
趙X九	조X구	Cho X-gu
車十百	차십백	Ch'a Sip-paek
玄百運	현백운	Hyŏn Paek-un
千一淸	천일청	Ch'ŏn Il-ch'ŏng
千XX	천XX	Ch'ŏn XX
蔡萬植	채만식	Ch'ae Man-sik
崔X萬	최X만	Ch'oe X-man
車萬載	차만재	Ch'a Man-jae
李承萬	이승만	Yi Sŭng-man
韓萬海	한만해	Han Man-hae
XX雲	XX운	XX Un
兪萬兼	유만겸	Yu Man-gyŏm
兪億兼	유억겸	Yu Ŏk-kyŏm
李甲成	이갑성	Yi Kap-sŏng
李甲基	이갑기	Yi Kap-ki
金甲淳	김갑순	Kim Kap-sun
李甲洙	이갑수	Yi Kap-su
李乙	이을	Yi Ŭl
李乙雨	이을우	Yi Ŭr-u
金乙漢	김을한	Kim Ŭl-han
李丙X	이병X	Yi Pyŏng-X
閔丙X	민병X	Min Pyŏng-X
X丙疇	X병주	X Pyŏng-ju
丁洪敎	정홍교	Chŏng Hong-gyo
丁七星	정칠성	Chŏng Ch'il-sŏng
全戊吉	전무길	Chŏn Mu-gil
方戊吉	방무길	Pang Mu-gil
金己順	김기순	Kim Ki-sun
閔庚輝	민경휘	Min Kyŏng-hwi
金庚成	김경성	Kim Kyŏng-sŏng
辛日鎔	신일용	Sin Il-yong
辛夕汀	신석정	Sin Sŏk-chŏng
申泰翊	신태익	Sin T'ae-ik
申興雨	신흥우	Sin Hŭng-u
申鼎言	신정언	Sin Chŏng-ŏn
申明均	신명균	Sin Myŏng-gyun
申알베트	신알베트	Sin Albert
盧子泳	노자영	No Cha-yŏng
劉寅翊	유인익	Yu In-ik
鄭寅普	정인보	Chŏng In-bo
李X辰	이X진	Yi X-chin
李如星	이여성	Yi Yŏ-sŏng
壬辰	임진	Imjin
明將	명장	Ming General
李如松	이여송	Li Rusong
李如栢	이여백	Li Rubai
李如梅	이여매	Li Rumei
李如樟	이여장	Li Ruzhang
李如梧	이여오	Li Ruwu
李如楨	이여정	Li Ruzhen
尹致昊	윤치호	Yun Ch'i-ho
京城	경성	Kyŏngsŏng
京城府尹	경성부윤	Kyŏngsŏng Prefect
開城	개성	Kaesŏng
開城府尹	개성부윤	Kaesŏng Prefect
夕影	석영	Sŏgyŏng
宋影	송영	Songyŏng
無影	무영	Muyŏng
幽影	유영	Yuyŏng
諸影	제영	Cheyŏng
牛步	우보	Ubo
橫步	횡보	Hoengbo
X步	X보	Xbo
一步	일보	Ilbo
文壇	문단	Mundan
玄鎭健	현진건	Hyŏn Chin-gŏn
彰義門 外	창의문 외	Outside Ch'angŭimun Gate
李光洙	이광수	Yi Kwang-su
小林寺	소림사	Sorim Temple
洗劍亭	세검정	Se'gŏmjŏng
洗硯亭	세연정	Se'yŏnjŏng
兪鎭泰	유진태	Yu Chin-t'ae
朝鮮敎育會	조선교육회	Chosŏn Education Association
朝鮮體育會	조선체육회	Chosŏn Sports Association
李仁	이인	Yi In
朝鮮物産獎勵會	조선물산장려회	Association for the Promotion of Korean Products
曹晩植	조만식	Cho Man-sik
孫貞圭X	손정규X	Son Chŏng-gyu X
崔恩姬X	최은희X	Ch'oe Ŭn-hŭi X

**Glossary**

歸京	귀경	Returning to the capital (Kyŏngsŏng/Seoul)
體流하얏다	체류하였다	Stayed, resided (older verb ending -얏다 for -였다)
感慨無量	감개무량	Deeply moved, filled with emotion
母親喪	모친상	Loss of one's mother
父親喪	부친상	Loss of one's father
蒙喪	몽상	To suffer a bereavement
瘦瘠	쇠척	Emaciated, thin
別名	별명	Nickname
收監	수감	Imprisonment
手錠	수정	Handcuffs
명꽁이 時計	명꽁이 시계	Slang for handcuffs (lit. 'bright empty watch')
檢擧	검거	Arrest
不自由	부자유	Not free, confined
鐵窓	철창	Iron bars (of a prison window), prison
不吉	불길	Unlucky, inauspicious
戱言	희언	Joke, jest
白放	백방	Acquittal, release without charge
天使仙女	천사선녀	Angel or fairy maiden
뼉다구	뼉다구	Bone (dialect/older form of 뼈다귀)
再湯三湯	재탕삼탕	Reheating two or three times; rehashing old material
死後	사후	After death
白骨	백골	White bones, skeletal remains
追悼會	추도회	Memorial service
賻儀金	부의금	Condolence money
名譽毁損	명예훼손	Defamation, libel, slander
歸決	귀결	Conclusion, resolution
事宜	사의	Circumstances, details of a matter
檢事局	검사국	Prosecutor's office (older term)
何等 段落	하등 단락	Any sort of conclusion/stage
出監	출감	Release from prison
杳然	요연	Distant and indistinct, unknown (whereabouts)
檢閱	검열	Review, inspection, censorship
街頭進出	가두진출	Advancing onto the streets; making a public appearance/debut
遺跡	유적	Historic site, ruin
巡廻	순회	To tour, travel around
天道敎	천도교	Cheondogyo (Korean religion)
露西亞	로서아	Russia (older transliteration)
數字朝鮮硏究	수자조선연구	Numerical Chosŏn Research (likely a hypothetical study name)
人物列傳	인물열전	Biographies of Figures
入參	입참	To participate, be included
四柱쟁이	사주쟁이	Fortune teller (using the Four Pillars of Destiny)
天干地支	천간지지	Heavenly Stems and Earthly Branches
官界	관계	The world of officialdom, government service
投足	투족	To set foot in, enter
官福	관복	Fortune related to holding public office
到處多	도처다	Abundant everywhere
秋月江山	추월강산	Autumn moon over rivers and mountains; scenic autumn landscape
步兵陣	보병진	Infantry formation (used metaphorically for writers group)
文壇	문단	The literary world, literary circles
病席	병석	Sickbed
快復	쾌복	Recovery (from illness) (same meaning as modern 회복)
玉童子	옥동자	Precious son (lit. jade boy)
兩喜	양희	Two joys, double happiness
金風	금풍	Autumn wind (lit. metal wind, from Five Elements theory)
文化住宅	문화주택	"Culture House" (type of modern dwelling in early 20c Korea/Japan)
目不識丁	목불식정	Unable to recognize the character '丁'; illiterate
