잡지명	개벽 신간 제2호
발행일	1934년 12월 01일
기사제목	黃公의 奇蹟(漫筆) (The Miracle of Hwanggong (Random Notes))
필자	尹白南
기사형태	문예기타 (Literary Miscellany)

The Miracle of Hwanggong (Random Notes)
						Yun Paengnam
×
A Western dog, with ears drooping long like banana leaves and short, reddish-black fur gleaming like smooth velvet, followed me closely all the way from the front of Donggwan. When we reached the gate of our house in Kwonnong-dong, it boldly darted inside as if it were its own home.

This was the beginning of the miracle of this multicolored Western dog.

My wife, a person who held no interest whatsoever in dogs, was surprisingly delighted upon seeing Hwanggong (黃公) – Hwanggong was the name I temporarily gave the dog.

"Where did this dog come from? Goodness, look how long its ears are!" she exclaimed, running out to the edge of the *maru* (wooden floor/porch) and stroking the dog's back.

This fellow Hwanggong, this rascal, was incredibly clever. With just one glance at a person's face, it instantly knew whether that person liked dogs, disliked them, or was indifferent – neither liking nor disliking them.

How could I make such an assertion? Well, when it first darted into the house, upon seeing my wife, it wagged its tail, seeking affection and friendliness. But just then, the *ŏmŏm* (housemaid), who had returned from an errand to the side-dish shop, appeared. Seeing her, the dog stealthily crawled under the *maru*. Witnessing this scene, my wife too remarked,

"How did that rascal know the *ŏmŏm* dislikes dogs, crawling under there like that?"

And she even chuckled heartily.

×
However, I thought it was just because the *ŏmŏm*'s appearance was untidy and her face stern, making her look scary.<46> But far from it! A little later, when a *pangmul changsa* (peddler) – nowadays, peddlers carry their bags on the side where they part their hair – came in, the dog barked and charged as if a great enemy had invaded. That's not all. When neighborhood children occasionally came over, it would wag its tail and playfully approach some children, while adopting a cold, indifferent attitude towards others. When I asked the children individually, it perfectly matched whether they liked or disliked dogs.

This was Hwanggong's second miracle.

◇
Hwanggong became a member of our family.

However, one exasperating thing was that it always came up onto the *maru* to sleep.

My wife, having a neurotic obsession with cleanliness, would exclaim whenever she saw the spot where the dog had slept after it went down,

"We have to get rid of that wretched dog or give it to someone! It's so dirty, this is terrible!"

And she would have the *maru* wiped two or three times, especially in that spot. Every time this happened, the *ŏmŏm* would glare and curse.

"Look, it slept up here again today! I won't give it any food!"

The *ŏmŏm* refrained from saying she would hit it. Why? Because once, angry about something, she had been hitting Hwanggong and received quite a scolding from me. After that, she couldn't even think of hitting the dog, let alone say such words.

From that day, Hwanggong began to perform its third miracle.

It would lick the spot where it had slept on the *maru* with its own mouth, making it clean. Of course, licking it with its tongue wouldn't necessarily make it perfectly clean, but anyway, it was clear enough that Hwanggong's effort was intended to clean its sleeping spot and avoid the *ŏmŏm*'s curses.

The *ŏmŏm*, upon discovering this, changed her attitude towards Hwanggong significantly from that day. And looking at my wife, she said,

"*Manim* (Madam), I'm scared of that dog, I can't stay at this house. How on earth does it understand human words so well, honestly?"

And she would gaze intently at Hwanggong.

"Don't talk crazy. How much could it possibly understand? And even if it does understand, so what? Who's saying anything?"

Thus, I brushed off the *ŏmŏm*'s words with laughter, but the *ŏmŏm* insisted,

"No, really. It must have gotten old and become a real sly fox (*nŭnggurŏngi*). Who knows what change it will undergo next? Either that dog disappears, or I have to leave this house."

Then, what miracle was this? Hwanggong went outside around lunchtime that day and never came back. Three days passed since it left, and it still hadn't returned.

This was the final miracle Hwanggong showed me.
(End) <47>

**Summary**

The article recounts the author's experience with a stray dog named Hwanggong that followed him home. The dog demonstrates remarkable intelligence and sensitivity, discerning people's feelings towards it, which the author terms "miracles." It understands the maid's dislike, differentiates between children, and even attempts to clean its sleeping spot on the porch after the maid complains. This uncanny understanding frightens the maid, who declares either she or the dog must leave. Miraculously, the dog disappears that very day and never returns. From a historical perspective, the article offers a glimpse into urban middle-class life in 1930s Korea, including interactions within the household (master, wife, maid), attitudes towards animals, and prevailing superstitions or sensitivities, particularly the maid's fear of the dog's almost human-like intelligence, possibly reflecting anxieties of the era.

**Named Entities**

黃公	황공	Hwanggong
尹白南	윤백남	Yun Paengnam
동관앞	동관앞	Front of Donggwan
권농동	권농동	Kwonnong-dong

**Glossary**

漫筆	만필	Random notes; essay; jotting
양개	양개	Western dog (older term)
동관	동관	Likely refers to the Dongdaemun (East Gate) area of Seoul
권농동	권농동	Kwonnong-dong (a neighborhood name in Seoul)
황공	黃公	Hwanggong (name given to the dog, lit. "Yellow Duke/Sir")
안해	아내	Wife (older term/spelling)
갓지아니한	갖지 아니한	Not having; not possessing (older spelling/form)
부친	붙인	Attached; gave (as in a name) (older spelling uses '부치다' for '붙이다')
펄	퍽	Very; quite (older spelling)
씨다듬어주엇다	쓰다듬어주었다	Stroked; petted (older spelling)
요놈	이놈	This fellow; this rascal (colloquial)
처다보면은	쳐다보면은	If one looks up at (older spelling)
아하는지	좋아하는지	Whether one likes (older spelling/form of 좋아하다)
싫여하는지	싫어하는지	Whether one dislikes (older spelling)
실치도	싫지도	Not even disliking (older spelling)
아는놈이다	아는 놈이다	Is a fellow who knows (grammatically older sentence ending form)
나리느냐하면	내리느냐 하면	If you ask why I conclude (older spelling)
드니마는	들더니마는	Upon entering; as soon as it entered (older connective form)
마츰	마침	Just then; coincidentally (older spelling)
나갓던	나갔던	Who had gone out (older spelling)
어멈	어멈	Housemaid; housekeeper (often refers to an older female servant)
마르미트	마루 밑	Under the wooden floor/porch (older spelling)
버리지안는가	버리지 않는가	Doesn't it throw away/abandon? (rhetorical, here meaning 'hid') (older spelling)
싫혀허는줄	싫어하는 줄	That (she) dislikes (older spelling)
기어들어가우	기어들어갔을까	Why did it crawl in? (older interrogative ending)
하엿다	하였다	Did (older spelling of 하였다)
꼬락선이	꼬락서니	Appearance; state (often slightly derogatory) (older spelling)
험상구저서	험상궂어서	Being stern-faced; grim-looking (older spelling)
그랫느니라	그랬느니라	It was so; That's why it was (older explanatory ending)
햇더니	했더니	I had said/thought, but... (older spelling)
방물장사	방물장수	Peddler (esp. of small goods like cosmetics, accessories) (장사 used for 장수)
들엇다	들었다	Carried (older spelling)
짓고	짖고	Barking (older spelling of 짖다)
내다럿다	내달았다	Ran out; charged (older spelling)
동내	동네	Neighborhood (older spelling)
어는	어느	Which; some (older spelling)
꽁지	꼬리	Tail (꽁지 is often used for short tails, but here used for 꼬리)
히롱	희롱	Teasing; playing (older spelling)
무러보면	물어보면	If one asks (older spelling)
영낙없이	영락없이	Without fail; surely (older spelling)
들어맛는다	들어맞는다	Fits perfectly; corresponds exactly (older spelling)
말엇다	말았다	Became; ended up being (older form of -고 말았다)
질색할일	질색할 일	Detestable thing; exasperating matter
나려간자리	내려간 자리	Spot where (it) went down from
걸내질	걸레질	Mopping; wiping with a cloth (older spelling)
마닥	마다	Every time (older spelling)
흙이고	흘기고	Glaring; looking sideways disapprovingly
안줄테니	안 줄 테니	Since I won't give (food)
삼갓다	삼갔다	Refrained from; avoided (older spelling)
꾸지람	꾸지람	Scolding; rebuke
못할뿐아니라	못할 뿐 아니라	Not only cannot do
세ㅅ재	셋째	Third (older spelling with ㅅ)
피우기시작하엿다	피우기 시작하였다	Began to display/perform (older spelling)
재입으로	제 입으로	With its own mouth
할터서	핥아서	By licking (older spelling)
말ㅅ정이	말짱히	Completely; cleanly (older spelling with ㅅ)
만드러놋는다	만들어 놓는다	Makes and leaves (in that state) (older spelling)
무론	물론	Of course (older spelling)
할른다고	핥는다고	Just because (it) licks (older spelling)
업지마는	없지마는	Although there isn't (older spelling)
진자리	진자리	Dirtied spot; messy spot (from '질다' - to be messy/damp)
해놔서	해놓아서	Having done it (and left it that way) (older spelling)
면하자는	면하자는	Intending to avoid
알수가잇다	알 수가 있다	Can know (older spelling)
마님	마님	Madam; Mistress (term of address for the female head of household)
못잇겟습니다	못 있겠습니다	I cannot stay (older spelling)
알어드러요	알아들어요	Understands (older spelling)
