Magazine Title: 개벽 신간 제3호
Publication Date: 1935-01-01
Article Title: 百人百話 (One Hundred People, One Hundred Stories)
Article Type: 소식 (News/Tidbits)

**Body Text Translation:**

One Hundred People, One Hundred Stories

In the old days, during the reign of King Chungjong (中宗朝), Chang Sunson Chang Chŏngsŭng was called the "Pig-Headed Prime Minister" because his head looked like a pig's. Similarly, Mr. Kim Tohong of Hwimun High Common School (徽文高普) is nicknamed "Truly a Piglet (꼭 豚也不)" among the school staff because he is both fat and dark-skinned. The meaning is that he is truly no different from a pig. It's a bit rude to publish his nickname in print, but since the new year is the Year of the Pig (亥年), I mention it especially as a blessing for Mr. Kim.

Speaking of pigs, it seems the great monk Muhak Taesa (無學大師) in the old days also had a face like a pig. When Yi T'aejo (李太祖) held his accession banquet (登極宴), he told all the meritorious retainers that since it was a very joyous day, they should disregard the distinctions between ruler and subject and joke freely. Pointing to Muhak Taesa, he said, "Your face looks like a pig's." Muhak, playing dumb, replied, "Your Majesty's face just looks like a person's." When T'aejo said again, "Saying a face looks like a pig's is an insult, but isn't saying it looks like a person's a bit bland?" Muhak replied, "It is because a person appears in the eyes of a person, and a pig appears in the eyes of a pig." T'aejo was so taken aback that he couldn't say anything and just let out a laugh (一笑). All the ministers also laughed (一笑), and the hall bloomed with the flowers of laughter.

Mr. Pak Sŭngjin, who used to be at our company (本社), was also quite chubby, and during his time here, the staff teased him as the "Second Pang Chŏnghwan." For some reason, Mr. Pak says that if he dreams of Mr. Pang, he invariably gets sick and his head aches for several days (몃칠식).

It's common to joke that people with the surname Yun (尹) are cows (소). Mr. Yun Ch'iho (尹致昊), having had many social connections since his youth (少時), heard the cow joke so often that his ears became accustomed to it. He developed the notion that the Yun family must be cows, and he says that when he sees a cow on the street, it feels more familiar than other animals, and he feels a particular urge to love it. This is written based on a story he told at some banquet.

When the painter O Iryŏng (吳一英) was in middle school, he heard the history teacher talk about Pyŏlsŏng Puwŏn'gun (鱉城府院君). Thinking that Pyŏlsŏng (鱉城) referred to his own surname O (吳), he was quite pleased. A classmate noticed his expression and asked, "Are you also a descendant of Pyŏlsŏng?" He answered, "Yes, indeed." From then on, his nickname became "Descendant of Pyŏlsŏng (鱉城子孫)." Even now, friends who know him greet him by asking, "Is the Descendant of Pyŏlsŏng well (平安)?" and he absolutely hates it.

The late poet Namgung Pyŏk (南宮壁) had a poor relationship (誼) with his father, Namgung Hun (南宮薰), due to clashes in principles (主義) and thought (思想), and they lived separately (父子各居). When someone asked Pyŏk about his father's well-being, Pyŏk reportedly gave a curt reply (코대답), saying, "It's been a long time since that old man and I cut ties, so I wouldn't know."

However, Mr. Hong Myŏnghŭi (洪命熹) and his son, Mr. Hong Kimun (洪起文), are the complete opposite. They understand each other in all aspects. Although ethically they are father and son, their affection is like that of close friends (親故). They talk about anything without reservation (기탄없이), not only smoking facing each other (맛대고) but also asking each other for cigarettes when one runs out (달내서). If the Hong father and son and the Namgung father and son were combined and averaged out for balance, it seems there would be neither excess nor deficiency (過不及).

Previously, the brothers Chu Yohan (朱耀翰) and Chu Yosŏp (朱耀燮) were both at the Tonga Ilbo (東亞日報) for a time. Recently, the brothers Ham Sanghun (咸尙勳) and Ham Taehun (咸大勳) have come to be at the Chosŏn Ilbo (朝鮮日報). The three sisters (?) Hwang Sindŏk (黃信德), Hwang Aesidŏk (黃愛施德), and Hwang Indŏk (黃仁德) are managing Chungang Poyuk (中央保育). Also, the brothers Kim Pokchin (金復鎭) and Kim Kijin (金基鎭) are managing the magazine "Ch'ŏngnyŏn Chosŏn (靑年朝鮮)." One could say, "Your family's brothers are truly formidable (可謂君家兄弟不可當)." At the start of the new year, it would be even more fun if they held a <98> "Brothers' Group Friendship Meeting (兄弟組懇親會)" at a place like the Brother's Ch'ut'ang (loach soup) restaurant outside Tongdaemun (東大門).

Everyone knows that Ch'unwŏn Yi Kwangsu (春園 李光洙) built a new house in Hongjiri (弘智里) outside Ch'angŭimun (彰義門) and moved there. However, according to recent stories from people in that neighborhood, strangely, in the middle of the night, a lightly made-up beautiful young woman (淡粧美貌) appears on his house site and sings solo (獨唱) in a clear, resonant voice (청랑한 목소리). Whether a mountain fairy (仙女) from Samgaksan (三角山), as that place is originally a mysterious fairyland (仙境), descends (下降) to sing solo out of admiration (愛慕) for the poet, or if the neighbors misheard the sound of records (레코드) coming from his house and are spreading rumors, is unknown, but strange news (珍消息) is strange news.

When Mr. Yŏ Unhyŏng (呂運亨) enters a public bath, suddenly popping sounds (뽕뽕소리) are heard from the tub, and bubbles rise. People who don't know might easily think he is farting (방구 뀌다) in the water. But in fact, when he was in Taejŏn Prison (太田監獄), he suffered severely from hemorrhoids (치질) and had surgery, which resulted in two openings (兩穴) in his anus (肛門). Therefore, when he enters a bath, just like water entering a water dropper (연적), water goes in one side, and air rushes out (쏘다저 나오다) the other, causing that sound!

Mr. Kim Changhwan (金章煥) of the Tonga Ilbo (東亞日報), following the unique last wish (遺言) of his wife, donated the 1,000 won (圜) received from life insurance to his wife's alma mater (母校), Kaesŏng Hosudŏn Girls' High Common School (開城好壽敦女高普), requesting it be used to supplement the school expenses of students studying under hardship (苦學). Among donations, this is a tearful one. To the young women students of that school! Even if you cannot erect a bronze statue (銅像) for Mrs. Kim, how about holding a candidate recommendation vote (候補者 推薦投票) for her successor, so that Mr. Kim Changhwan may quickly escape (速免) the lamentation of a long night's cold pillow (長夜寒枕 叩益之嘆)?

Mr. An Chaehong (安在鴻) busily heads towards Hwangŭmjŏng (黃金町) every morning. Those who don't know might easily misunderstand (誤解) that he is commuting to some company. But in fact, he goes to the Sin Chosŏnsa (新朝鮮社) to proofread (校正) and study (研究) the Yŏyudangjip (與猶堂集) written by Chŏng Tasan (丁茶山), which the company is publishing. That's why he diligently goes there every day.

Mr. Cho Pyŏngok (趙炳玉) seems very busy with gold mining these days, and the results are said to be good too. Having lost heart (失意) at the Chosŏn Ilbo (朝鮮日報), does he dream of making a comeback (捲土重來) and managing a newspaper again? We offer advance congratulations (爲之預祝).

According to the statistics from the newly implemented (新施) income tax survey, there are about 400,000 (?) taxpayers in Kyŏngsŏng Prefecture (京城府) with incomes over 100,000 won. Among them, the highest payer is Mr. Kim Yŏnsu (金年洙), reportedly paying 70 won more than Mr. Min Taesik (閔大植). If this is true, Mr. Kim undoubtedly (無違) becomes Korea's wealthiest man (甲富) in one leap.

Mr. Pak Yŏngch'ŏl (朴榮喆) not only distinctively has the address 144, phone number 144, and car number 144, but his business card (名刺) is also special. On the front, it says "Pak So-and-so (朴某), President (頭取) of Chosŏn Sangŏp Bank (朝鮮商業銀行)." On the back, it lists: Councillor (參議) of the Central Council (中樞院) of the Government-General of Chosŏn (朝鮮總督府), Special Member (特別議員) of the Kyŏngsŏng Chamber of Commerce and Industry (京城府商工會議所), Director (取締役) of the Chosŏn Rice Storage Co., Ltd. (朝鮮米穀倉庫株式會社), Director (取締役) of the Chosŏn Railway Co., Ltd. (朝鮮鐵道株式會社), Director (取締役) of the Chosŏn Brewery Co., Ltd. (朝鮮麥酒株式會社), Residence: 144 Soggyŏk-tong (昭格洞), Kyŏngsŏng Prefecture (京城府). This should be enough qualification for his business card to be the executive director (專務取締役) of a rare business card exhibition (珍名刺展覽會). However, compared to the business card of Ye Chongsŏk (芮宗錫), which has 14 or 15 lines of endorsements (裏書), it might still seem somewhat inferior (還有遜色).

At Mr. Han Sangŏk's (韓相億) house, they send their pet dog (飼犬) to a military dog (軍用犬) school, commuting daily. The monthly tuition is a whopping 15 won. In the house of a Baron (男爵), even a dog's fate (팔자) is a good fate!! <99>
<98-99>

**Summary**

This article from 1935 is a collection of short anecdotes and gossip about various prominent Korean figures of the time, including intellectuals, writers, artists, businessmen, and former officials. It touches upon their physical appearances, personal habits, family relationships (both harmonious and strained), professional activities (journalism, business, art, academia), wealth, and social standing, often presented with a humorous or slightly critical tone. For historians, the article offers interesting glimpses into the social dynamics, personal lives, and even the economic stratification within the Korean elite during the Japanese colonial period. It reveals details about social networks, attitudes towards family and tradition, engagement with modern institutions (like newspapers, schools, companies), and the ways individuals navigated their public and private lives under colonial rule, providing color beyond official records.

**Named Entities**

中宗朝	중종조	Chungjongjo
張順孫 張正承	장순손 장정승	Chang Sunson Chang Chŏngsŭng
徽文高普	휘문고보	Hwimun Kobo (Hwimun High Common School)
金道奉	김도봉	Kim Tohong
無學大師	무학대사	Muhak Taesa
李太祖	이태조	Yi T'aejo
本社	본사	Pon'sa (Our Company/This Company - referring to Kaebyŏk)
朴勝進	박승진	Pak Sŭngjin
方定煥	방정환	Pang Chŏnghwan
尹致昊	윤치호	Yun Ch'iho
吳一英	오일영	O Iryŏng
鱉城府院君	별성부원군	Pyŏlsŏng Puwŏn'gun
鱉城	별성	Pyŏlsŏng
南宮壁	남궁벽	Namgung Pyŏk
南宮薰	남궁훈	Namgung Hun
洪命熹	홍명희	Hong Myŏnghŭi
洪起文	홍기문	Hong Kimun
朱耀翰	주요한	Chu Yohan
朱耀燮	주요섭	Chu Yosŏp
東亞日報	동아일보	Tonga Ilbo
咸尙勳	함상훈	Ham Sanghun
咸大勳	함대훈	Ham Taehun
朝鮮日報	조선일보	Chosŏn Ilbo
黃信德	황신덕	Hwang Sindŏk
黃愛施德	황애시덕	Hwang Aesidŏk
黃仁德	황인덕	Hwang Indŏk
中央保育	중앙보육	Chungang Poyuk (Central Childcare/Nursery)
金復鎭	김복진	Kim Pokchin
金基鎭	김기진	Kim Kijin
靑年朝鮮	청년조선	Ch'ŏngnyŏn Chosŏn (Youth Korea magazine)
東大門	동대문	Tongdaemun
春園 李光洙	춘원 이광수	Ch'unwŏn Yi Kwangsu
彰義門	창의문	Ch'angŭimun
弘智里	홍지리	Hongjiri
三角山	삼각산	Samgaksan
呂運亨	여운형	Yŏ Unhyŏng
太田監獄	태전감옥	Taejŏn Kamok (Taejŏn Prison)
金章煥	김장환	Kim Changhwan
開城好壽敦女高普	개성호수돈여고보	Kaesŏng Hosudŏn Yŏgobo (Kaesong Holston Girls' High Common School)
安在鴻	안재홍	An Chaehong
黃金町	황금정	Hwangŭmjŏng (Koganechō - district in Seoul)
新朝鮮社	신조선사	Sin Chosŏnsa (New Korea Company)
丁茶山	정다산	Chŏng Tasan (pen name of Chŏng Yagyong)
與猶堂集	여유당집	Yŏyudangjip (Collected Works of Yŏyudang)
趙炳玉	조병옥	Cho Pyŏngok
金年洙	김연수	Kim Yŏnsu
閔大植	민대식	Min Taesik
朴榮喆	박영철	Pak Yŏngch'ŏl
朝鮮商業銀行	조선상업은행	Chosŏn Sangŏp Ŭnhaeng (Chosŏn Commercial Bank)
朝鮮總督府 中樞院	조선총독부 중추원	Chosŏn Ch'ongdokpu Chungch'uwŏn (Central Council of the Government-General of Chosŏn)
京城府商工會議所	경성부상공회의소	Kyŏngsŏngbu Sanggong Hoŭiso (Keijō Chamber of Commerce and Industry)
朝鮮米穀倉庫株式會社	조선미곡창고주식회사	Chosŏn Migok Ch'anggo Chusik Hoesa (Chosŏn Rice Storage Co., Ltd.)
朝鮮鐵道株式會社	조선철도주식회사	Chosŏn Ch'ŏldo Chusik Hoesa (Chosŏn Railway Co., Ltd.)
朝鮮麥酒株式會社	조선맥주주식회사	Chosŏn Maekchu Chusik Hoesa (Chosŏn Brewery Co., Ltd.)
京城府	경성부	Kyŏngsŏngbu (Keijō Prefecture/Seoul)
昭格洞	소격동	Soggyŏk-tong
芮宗錫	예종석	Ye Chongsŏk
韓相億	한상억	Han Sangŏk

**Glossary**

도야지	돼지	Pig (Older form/dialectal variant of 돼지)
政承	정승	High Minister, Prime Minister (Joseon Dynasty title)
비대하다	비대하다	To be fat, corpulent
별명	별명	Nickname
낫스니 말이지	났으니 말이지	Speaking of which (Older spelling of 났으니)
얼골	얼굴	Face (Older spelling of 얼굴)
登極宴	등극연	Accession banquet
시침이를 떼다	시치미를 떼다	To feign ignorance, play innocent (Older spelling of 시치미)
승겁지 안으냐	싱겁지 않으냐	Isn't it bland/tasteless? (Older spelling/form of 싱겁다)
뵈다	보이다	To be seen, appear (Common older form)
本社	본사	This company, our company (Refers to the magazine publisher, 개벽사)
퉁퉁하다	퉁퉁하다	To be chubby, plump
조롱하다	조롱하다	To ridicule, mock, tease
몸살	몸살	Sickness from fatigue or stress
몃칠식	며칠씩	For several days each time (Older spelling of 며칠씩)
少時	소시	Youth, young days
만히	많이	Many, much (Older spelling of 많이)
드럿던지	들었던지	Whether one heard (Older spelling of 들었던지)
익다	익다	To become accustomed to
유달리	유달리	Particularly, especially
이약이	이야기	Story, talk (Older spelling of 이야기)
듯고	듣고	Hearing (Older spelling of 듣고)
기색	기색	Facial expression, look, sign
질색하다	질색하다	To hate intensely, abhor
主義	주의	Principle, doctrine, -ism
思想	사상	Thought, ideology
충돌	충돌	Clash, conflict
誼	의	Friendship, relationship, bond
부친	부친	Father (honorific)
코대답	코대답	Curt reply, snort of an answer
기탄없이	기탄없이	Without reserve, frankly
맛대다	맞대다	To face each other (Older spelling of 맞대다)
달내서	달래서	Asking for, wheedling (Older spelling of 달래서)
벽두	벽두	Beginning (esp. of the year)
추탕집	추탕집	Restaurant specializing in loach soup (ch'ut'ang)
가옥	가옥	House, residence
신건축하다	신건축하다	To newly build
淡粧美貌	담장미모	Lightly made-up beauty
청랑하다	청랑하다	Clear and resonant (voice)
독창	독창	Solo singing
仙境	선경	Fairyland, enchanted land
仙女	선녀	Fairy, celestial maiden
애모하다	애모하다	To love and long for, admire
下降	하강	Descent, coming down
레코드	레코드	Record (phonograph)
전하다	전하다	To convey, transmit (rumors)
珍消息	진소식	Rare/curious news or tidbit
별안간	별안간	Suddenly, unexpectedly
뽕뽕소리	뽕뽕소리	Popping/bubbling sound (onomatopoeia)
물방울	물방울	Water drop, bubble
방구(를) 뀌다	방귀(를) 뀌다	To fart, pass gas (Older spelling of 방귀)
치질	치질	Hemorrhoids
항문	항문	Anus
兩穴	양혈	Two holes/openings
연적	연적	Water dropper (for inkstone)
쏘다저 나오다	쏟아져 나오다	To pour out, gush out (Older spelling)
영별하다	영별하다	Special, particular, unusual (Older form/dialectal)
유언	유언	Last will, dying wish
모교	모교	Alma mater
고학하다	고학하다	To study under hardship, work one's way through school
동상	동상	Bronze statue
후보자	후보자	Candidate
추천투표	추천투표	Recommendation vote
장야한침	장야한침	Long night's cold pillow (idiom for loneliness, esp. widowhood)
叩益之嘆	고익지탄	Lamentation for help/comfort (Classical Chinese phrase)
속면케 함	속면케 함	Enabling to quickly escape/avoid
분주하다	분주하다	To be busy
오해하다	오해하다	To misunderstand
교정	교정	Proofreading
연구	연구	Research, study
실의하다	실의하다	To be disappointed, lose heart
捲土重來	권토중래	To make a comeback after defeat (Idiom: 'roll up the earth and come again')
爲之預祝	위지예축	To offer advance congratulations (Classical Chinese phrase)
新施	신시	Newly implemented/enforced
소득세	소득세	Income tax
통계	통계	Statistics
최고부담자	최고부담자	Highest payer/burden bearer
갑부	갑부	Wealthiest person, tycoon
無違	무위	Without doubt, surely (Classical Chinese term)
名刺	명자	Business card (Japanese borrowing 'meishi', read in Korean as 'myŏngja')
頭取	두취	President, head (esp. of a bank; Japanese borrowing 'tōdori', read in Korean as 'tuch'wi')
中樞院參議	중추원참의	Councillor of the Central Council
商工會議所	상공회의소	Chamber of Commerce and Industry
特別議員	특별의원	Special member/delegate
米穀倉庫	미곡창고	Rice storage warehouse
株式會社	주식회사	Joint-stock company, corporation
取締役	취체역	Director (of a company; Japanese borrowing 'torishimariyaku', read in Korean as 'ch'wich'eyŏk')
裏書	이서	Endorsement (on the back of a document)
遜色	손색	Inferiority, unfavorable comparison
飼犬	사견	Pet dog, kept dog
軍用犬	군용견	Military dog
男爵	남작	Baron
팔자	팔자	Fate, fortune, destiny


---------------------------


잡지명	개벽 신간 제3호
발행일	1935년 01월 01일
기사제목	百人百話
기사형태	소식

百人百話
옛날 中宗朝時에 張順孫
張正承은 머리가 도야지 같이 생긴 까닭에 猪頭政承이라고 하엿다더니 徽文高普 金道奉씨는 몸이 비대하고도 검은 까닭에 학교직원간에 『꼭 豚也不』이라고 별명을 지였다. 그 의미는 꼭 도야지와 다름이 없다는 말이엿다. 그의 별명을 지면에까지 발표하는 것은 조곰 실례이지만은 신년이 亥年이니 특히 氏의 축복 겸하야 한 말 한다.

