잡지명	개벽 신간 제3호
발행일	1935년 01월 01일
기사제목	“골키”의 文學的報告에 關聯하야 (Regarding Gorky's Literary Report)
필자	懷月
기사형태	문예평론 (Literary Criticism)

“골키”의 文學的報告에 關聯하야=「이에 對한 나의 感想一二」=
						懷月
一 (Section 1)

From August 18th to September 1st last year, for two weeks, a Writers' Congress was held in Russia (露國). The writers each presented reports concerning their literature. Among them, what drew my attention was the report concerning literature by the old literary master Maxim Gorky. The theme of this report was "Literature, Society, and Today's Literature," discussing the fundamentals of Soviet literature and pointing out today's phenomena, as well as expressing Gorky's own aspirations regarding literature.

Maxim Gorky is now an old literary master over sixty. Since the Tsarist era, with his sound, profound writing style and thought, his literary fame was high not only in the Russian literary world but also to the extent that he could not be omitted from world literature. He was, more than anyone, a writer of pure realism (純事實主義), and most of his masterpieces belong to the Tsarist era, with three or four novels also published in recent years.

Early on, Lenin, wishing to utilize his extraordinary talent (非凡한 才技), not only requested countless times through letters that he write for his organization's journal but also urged him ideologically many times, yet his presence, like a great rock (巨石), was not easily swayed (動搖). Although his novels took the lives of the poor (貧民層) or workers (勞動者) as their main theme, he was not a communist. He was merely a realist (리애리스트) who depicted facts as they were. <1>

When he entered the country from abroad, the welcome he received from the new government was immense, and the celebration for his sixtieth birthday was also so grand that its like could not be seen in other countries. The heart of this old literary master was truly filled with deep emotion, but what did he think amidst the new atmosphere he saw and heard?

Thinking about his life like this, I could not help but pay attention to this old literary master's literary theory. I intend to examine what kind of lesson he imparted amidst the youth of the spirited "new generation."

二 (Section 2)

In his report, he spoke of the origin of culture, analyzed the characteristics of 19th and 20th-century European literature, accordingly pointed out the phenomena of his own country's literature, and therefore presented the necessary assertion for the direction his country's literature must advance. The discussion of 19th and 20th-century European literature is beyond the scope here. What I intend to write concerns his fundamentals regarding literature and his future aspirations.

He placed the basis of human culture at the same point as all materialist (唯物論者) critics. He sought the "fundamental beginning of culture that transforms the upright animal into a human" in the labor process (勞動過程). Therefore, he provides examples regarding all inventions and fantasies of primitive humans.

-"They fantasized about accelerating movement on the ground. The folktale (民話) of the 'thousand-league boots,' the desire to swim faster than flowing water while riding a horse led to the invention of the oar (사ㅅ대) and sail (돗), and the will to kill enemies and fierce beasts became the motive for the invention of the throwing stone, bow, arrow, etc."=

In other words, while stating that the desires of life are the motive for invention, he also said that the origin of so-called "folktales" also arose from the labor process. That is, stories born from the constant wish of primitive people for how to produce more with less energy, and how to make large production possible with less labor, are what are called "folktales," "myths" (神話), or "legends" (傳說). He demonstrated that stories cursing all the enemies, fierce beasts, and natural terrors surrounding humans and elevating the heroic temperament of humans arose from encouraging human life and uplifting its spirit. Consequently, the indomitable (不撓不屈) human and their heroic spirit in such times formed the essence of religion (宗敎)- "He favored the opinion that religious thought did not arise from contemplation of natural phenomena but occurred on the ground of social struggle"- saying, "God is not a fantastical existence, but a very realistic form armed with the demands of various labors; God was the leader of various occupations, a teacher or helper of humans. God was the progressive artistic generalization of labor," thus concluding that "mythology is, therefore, phenomenal at its root." Of course, <2> such research shares the same conclusions as the identical research by materialists and scientists commonly seen in the famous works of Hossensteyn (호센쉬타인) or Fritsche (후리체).

Viewed this way, Gorky's research on the origin of culture is based on purely materialistic scientific theory, and such a conclusion led him to classify the process of history into various class stages (階級的階段) and to study culture by assigning it to each stage.

=The statement that "The social and cultural growth of humans develops properly only when the hand teaches the head, and then the hand, having become wiser, again powerfully aids the development of the brain" is a formalization of the above point. It signifies not only that human social and cultural growth lies in the labor process but also that the hand of production influences the human brain. This differs from the cultural view of general idealists (觀念論者), who claim that the brain first taught the hand. However, the fact that the brain, enlightened by production, then teaches the human hand signifies the mutual relationship (交互關係) of things. Thus, he demonstrated that the development of a group, a people, a race all reflect this basis. Accordingly, he stated that culture—including art and literature within it—originates from useful desires arising from the production process.

三 (Section 3)

="We must understand that in ancient times, the oral artistic creation (口碑的藝術創作) of the working people was the sole organizer of their experience, the concretization of thought borrowing form (形象), and the encourager of the 'energy' of collective labor," he stated.

This is, of course, a fact everyone acknowledges equally. What remains a question among these is the statement about expressing thought by borrowing form. While this is truth and fact, sometimes in modern art, as a definite scope problem, there are times when an abundance of thought reveals a lack of form, and times when phenomena become the theme, leading to a lack of thought. When the interaction of these goes to an extreme, it can cause great confusion in artistic matters. If one of the two goes to an extreme, its scope gradually narrows, becoming rigid or decadent. The dissolution of RAPP (랍푸) also occurred because, among its various causes, things like its dictatorial and restrictive nature became fetters (桎梏) to the development of its own literature. Regarding this, Gorky merely hinted here. He only emphasized the free development of literature along with his country's liberating social policies.

He gave an example indirectly (迂回하야), touching upon the liberation of capitalist culture, which had been suffocating under feudal consciousness, and its individuality. Furthermore, he insisted that in his own country, the talent of complete individuality <3> should naturally be displayed without reservation.

And next, Gorky had complaints about his country's creative writers. He pointed out that writers do not know how to see reality and cannot depict it completely. In other words - "They only talked about the intellectual development of workers and factories, and the emotional process of the eternal private owner's transformation into the collectivist 'Kolkhoz' farmer, depicting it clumsily (拙劣하게)," he began his argument, implicitly suggesting that their observational perspective was fixed, not progressing, and narrow. He endorsed the idea that literature's task is to skillfully depict the emotional process of change in people's lives rather than just the ideological process.

="All of us still don't know how to see reality," he cried out, pointing out that writers ignore the various real scenes of the developed nature and life of his country and their technical clumsiness (拙劣함).

四 (Section 4)

In his heart, this is Gorky's attitude towards his country's critics (批評家). This was also a matter noisily debated in Korea (朝鮮) for a while. The reason is not so much to directly learn Gorky's attitude towards critics now, but because it makes us think deeply. Although Gorky's country's living conditions and our social circumstances are entirely different, the essence of the critique seems worth referencing. Specifically, he keenly pointed out that criticism has fallen into a state of stagnation (停頓狀態), is limited by the critics' perspective (眼目), and therefore flows into formulaic tendencies (公式的傾向). He pointed out that in their critiques, inevitably seeking to secure their own leading critical position, they always try to proceed with the critical and philosophical thoughts of Marx, Engels, and Lenin, using the same quotations every time, but a great rigidity (固定牲) has arisen here.

"In our country and our work, there are many things that Marx or Engels did not foresee (豫見)," he said, arguing that critics failed to see the development into a broader (廣範) domain, always attempting to approach things with the formulas of past seniors. He refuted the critics, saying they did not know that while their lives were becoming like this, there were enormous changes and new horizons in their emotions as well. In other words - "Critique almost entirely did not depart from the various facts arising from direct observation of the storm-like progress of life concerning the evaluation of 'Rema' character and human interrelations," Gorky pointed out, noting that critics armed only with formulas merely tell writers, "This is not right. Why? Because our teachers said this and that," without focusing on reality at all, only following past formulas. Therefore, Gorky tried to establish a new standard of criticism, saying, "This is not right. Why? Because all the facts of reality contradict the writer's expression."

"Our doctrine is - not dogma, but a guide (指圖) <4> for action," Gorky cried out, commenting that Engels' dialectical (辨證法的) thought could be understood in various ways.

For this reason, Gorky characterized the criticism of his country's critics as insufficiently active, lacking flexibility (柔軟性), and lacking life. He argued that critics should indicate the shortest path (捷徑) to writers, teaching them how to achieve great harvests with the least energy and effort. Gorky scathingly denounced (痛罵) critics for being satisfied merely with "pretending to be leaders" and even named such a tendency the "sickness of the age." He analyzed this as a petty-bourgeois temperament and also as the "result of the decline, powerlessness, and poverty of individualism," externally resembling festering boils like the heroes of capitalist reality such as Ebert (에-벨트), Noske (노스케), Hitler (히트러), and their types, denouncing their useless heroism.

The gradually narrowing (挾窄) review circles and leading critics of his country reduced the scope of literature under a dictatorial (獨裁的) temperament, and consequently, extreme "ideological infusion" (意識注入) declared the disarmament of writers' technique. Therefore, those responsible were criticized, leading even to the dissolution of RAPP.

Finally, I wish to examine the aspiration (抱負) of the old master Gorky. He emphasizes, first and foremost, the expulsion (追出) of this petty-bourgeois nature from the literary world. And he affirmed "creation based on the constant development of the most valuable individual abilities of humans for the great happiness of living on Earth." That is, not only should anyone with talent (才能) be allowed to fully display their aptitude (才分), but such talented writers should be produced. He mentioned that his country's union had 1,500 members, meaning there were 1,500 writers. However, as Gorky himself said, these 1,500 writers cannot all be called genius artists. He imagined about 50 genius artists among them. Furthermore, considering the superior ones among them to be four or five was likely Gorky's reasonable calculation. Then, among them, there would be writers irrelevant to reality or clumsy in organizing material, and the remaining people would include union candidates. In such a situation, what does the union, the organization of writers, do? Gorky said that it must be mentioned that these young writers should be guided to some extent, meaning it should become an educational institution for nurturing (養成) artists. Viewed this way, it shows a significantly different progress and tendency compared to the past mission of their union. In other words, in the past, the individual's group was thoroughly restrictive, dictatorial, and formulaic, but now, the goal is to liberate the individuality that was in shackles (桎梏) within this group, allowing development according to each person's freest aptitude, and this new group of people, while aiming for the benefit of literature, is intended to have significance as a single literary educational institution. <5>

**Summary**

This article by Hoewŏl summarizes and comments on Maxim Gorky's report delivered at the Soviet Writers' Congress in 1934. Hoewŏl highlights Gorky's materialist view that culture originates from labor, his critique of contemporary Soviet writers for failing to grasp and depict the changing reality (especially the emotional transformations) adequately, and his sharp criticism of literary critics for relying on rigid dogma and past formulas (Marx, Engels, Lenin) instead of engaging with present reality. Gorky advocated for nurturing individual talent within the Writers' Union, transforming it into an educational body rather than a restrictive one. From a historian's perspective, this article is interesting as it shows a Korean intellectual in the colonial period closely following and analyzing major Soviet cultural events and debates. It reflects the transmission of Marxist and Soviet literary theories (like realism, materialism, critique of formalism) into Korea and reveals anxieties about dogmatic criticism and the need for artistic freedom and authentic depiction of reality, issues likely resonant within the constrained Korean literary scene under Japanese rule.

**Named Entities**

막심골키	막심 골키	Maxim Gorky
懷月	회월	Hoewŏl
露國	노국	Russia / Soviet Union
레닌	레닌	Lenin
맑스	맑스	Marx
엥겔스	엥겔스	Engels
호센쉬타인	호센슈타인	Hossensteyn (likely Hausenstein)
후리체	프리체	Fritsche (likely Vladimir Friche)
랍푸	랍프	RAPP (Russian Association of Proletarian Writers)
朝鮮	조선	Chosŏn
에-벨트	에베르트	Ebert
노스케	노스케	Noske
히트러	히틀러	Hitler
歐洲	구주	Europe

**Glossary**

文學的報告	문학적 보고	Literary report
關聯하야	관련하여	Regarding (Older form of -하여)
開催하였었다	개최하였었다	Was held (Older past perfective ending -었었다)
注目	주목	Attention
老文豪	노문호	Old literary master
健實	건실	Sound; solid; robust
深刻	심각	Profound; serious
筆致	필치	Writing style; stroke
純事實主義	순사실주의	Pure Realism
非凡	비범	Extraordinary
才技	재기	Talent; skill
機關紙	기관지	Organization's newspaper/journal
執筆	집필	Writing (for publication)
動搖	동요	Shaking; wavering; being swayed
貧民層	빈민층	Poor class; the poor
勞動者	노동자	Worker; laborer
描出	묘출	Depiction; portrayal
零圍氣	분위기	Atmosphere (Modern Korean uses 분위기(雰圍氣))
삷히여	살펴	To examine; look into (Older spelling/form of 살펴)
論文	논문	Thesis; report; paper
起源	기원	Origin
唯物論者	유물론자	Materialist
勞動過程	노동과정	Labor process
民話	민화	Folktale
神話	신화	Mythology
傳說	전설	Legend
不撓不屈	불요불굴	Indomitable; unyielding
宗敎	종교	Religion
階級的階段	계급적 단계	Class stage
觀念論者	관념론자	Idealist
交互關係	교호관계	Mutual relationship; interaction
口碑的藝術創作	구비적 예술 창작	Oral artistic creation
形象	형상	Form; image; shape
確當	확당	Appropriate; proper
桎梏	질곡	Fetters; shackles
迂回	우회	Detour; roundabout way
拙劣	졸렬	Clumsy; poor; unskilled
批評家	비평가	Critic
停頓狀態	정돈상태	State of stagnation
眼目	안목	Discerning eye; perspective
局限	국한	Limitation; confinement
公式的傾向	공식적 경향	Formulaic tendency
固定牲	고정성	Fixedness; rigidity (Modern Korean uses 고정성(固定性))
豫見	예견	Foresight; prediction
廣範	광범	Wide-ranging; extensive
辨證法的	변증법적	Dialectical
柔軟性	유연성	Flexibility
捷徑	첩경	Shortcut
痛罵	통매	Scathing criticism; denunciation
挾窄	협착	Narrowing; constriction
獨裁的	독재적	Dictatorial
意識注入	의식주입	Ideological injection/infusion
抱負	포부	Aspiration; ambition
追出	추출	Expulsion; driving out
才分	재분	Talent; aptitude
養成	양성	Nurturing; training; fostering


---------------------------


잡지명	개벽 신간 제3호
발행일	1935년 01월 01일
기사제목	“골키”의 文學的報告에 關聯하야
필자	懷月
기사형태	문예평론

“골키”의 文學的報告에 關聯하야=「이에 對한 나의 感想一二」=
						懷月
一
昨年八月十八日붙어 九月一日까지 二週日동안 露國에서는 作家大會를 開催하였었다. 作家를은 各各 自己들의 文學에 關한 報告를 하였다. 그中에 나의 注目을 끄는 것은 老文豪「막심골키」의 文學에 關한 報告이었다. 이 報告의 論題는 「文學과 社會와 今日의 文學」이라는 것으로서 「쏘베트」文學의 基本을 論하며 또한 今日의 現象을 指摘할뿐만이 아니라 「골키」自身의 文學에 關한 抱負를 發表하엿든 것이다.
「막심·골키」는 지금 六十이넘은 老文豪로서 帝政時代터 그의 健實하고 深刻한 筆致와 思想으로 露國文壇뿐이아니라 世界文學에서 그를 빼지못할만치 그의 文名이 높었었다. 그는 누구보다도 純事實主義의 作家이였으며 그의 作品은 大部分의 名作이 帝政時代에 屬하였으며 近年에도 三四篇의 長篇等이 있다.
일즉이 「레닌」이 그의 非凡한 才技를 利用코자 數없이 書簡으로서 自己機關紙에 執筆하기를 請할뿐만이 아니라 思想的으로도 많이 勸한바가 있었으나 巨石과 같은 그의 存在는 그리 쉬웁게 動搖되지 않었다. 그의 小說이 貧民層 或은 勞動者의 生活을 主題로 하였으나 그는 「컴뮤니스트」는 아니였다. 다만 事實을 그대로 描出하는 「리애리스트」이엿든 것이다.＜1＞
그가 國外에서 入國하게될때에 新政府가 그를 歡迎함은 컷섰으며 또그의 六十歲의 祝賀도 다른나라에서 그 類例를 볼수없을만치 盛大하엿다. 이 老文豪의 心境은 實로 感慨無量하엿거니와 그는 보고듯는 새로운 零圍氣에서 무엇을 생각하엿든가.
나는 이러한 그의 一生을 생각하면서 이 老文豪의 文學論에 注意하지 않을수없엇다. 그는 氣分橫溢하는 「뉴쩐 너래슌」의 靑年틈에 끼여서 어떠한 敎訓을 던지여 주엇는지 삷히여 보려는 것이다.
二
그는 그의 報告論文에서 文化의 起源을 말하며 十九世紀 二十世紀의 歐洲文學의 特質를 分析하며 따러서 自國文學의 現象을 指摘하며 그러므로 必然的 自國文學의 前進해야할 主張을 發表하였다. 十九世紀及二十世紀의 歐洲文學을 이곳에서 論外로한다. 내가 쓰려는 것은 그의 文學에 對한 基本과 그의 將次의 抱負에 關聯해서 論코자하는바이다.
그는 人類의 文化基本으 모든 唯物論者외 批評家들과과 同一한 地點에 세웟다. 「直立의 動物을 人間으로 轉化시키는 文化의 基礎的인 端初」를 勞動過程에서 찾으려고하였다. 그러므로 原始人의 모든 發明 모든 空想도 모는 發明에 關해서 例證한다.
-「地上에서 運動의 催進에 關해서 空想햇다. 「千里長靴」의 民話, 말(馬)을 타고서 흐르는 물보다도 빨리헤염질처 가고십흔데로붙어 사ㅅ대(櫓)와 돗(帆)을 發明하엿고 敵과 猛戰을 죽일려는 意志는 임이 投石具, 弓, 矢等의 發明의 動機가 된 것이다.」=
말하자면 生活의 慾望이 發明의 動機임을 말하엿거니와 所謂「民話」의 起源도 勞動過程에서 생긴것이라고 하니 卽 原始人들이 어떻게하면 적은 精力으로 生産을 많이하며 또한 많은 生産을하되 적은 勞動으로 可能할까하는 不絶의 起源에서 생긴 이야기가 卽「民話」니 「神話」니 或은 「傳說」이라고한다고 말하였다. 人間의 四圍를 둘너싼 모든 敵과 猛戰과 自然의 恐怖等으 呪咀하며 人間의 英雄的氣質를 高調한 이야기는 人間의 生活를 獎勵하며 그 氣分을 高揚케하는데로붙어 나옴을 證明하였으며 따라서 이러한 時代에 不撓不屈하는 人間과 그 英雄的 精神으로 宗敎의 本質를 삼었으니-「宗敎的思惟가 自然現象의 觀照에서 發生한 것이 아니라 社會的투쟁의 地盤우에서 發生한것이라는 意見을 有利하게 한것이라」고 하야-「神은 幻想的存在가아니며 이것저것의 勞動要求로서 武裝한 아조 現實的인 形相이며 神은 이것저것의 職業의 頭目, 人間의 敎師或은 與力者이였다 神은 勞動의 進步的 藝術的槪括였다」고 하야 그러므로 神話는 그 根本에서는 現象的이라」고 結論하였다. 勿論＜2＞ 이러한 硏究는 「호센쉬타인」이나 「후리체」等의 名著에서 흔히 볼수잇는 唯物論者, 科學者들의 同一한 硏究와 또한 同一한 結論이다.
이것으로 본다면 「골키」는 文化起源에 關한 硏究가 純唯物的科學論에 立脚한 것이니 이러한 結論은 그로하여금 歷史의 過程을 各各 階級的階段으로 分類하고 文化를 그 各階段에 分屬해서 硏究하게되였다.
=「人間의 社會文化的 成長해서 硏究이 正當히 發達하려면 손이 머리를 가르치고 그다음으로 賢明하게된 손이 또다시 强力으로 頭腦의 發達를 援助하는때뿐이라」고 한말이 卽 우에서 한말을 公式化 한것이니 人間의 社會的文化的成長이 勞動過程에 있을뿐만 아니라 生産의 손(手)이면서 사람의 頭腦에 影響을 주는 것을 말하야 一般觀念論者의 文化觀과 相異한 點도 卽 이것이니 觀念論者는 맨처음으로 頭腦가 손을 가르첫다고 하는 點이다. 그러나 生産에서 啓蒙된 頭腦가 다시사람의 손을 가르친다는 것은 卽 事物의 交互關係를 意味하는 것이다 이리하야 한 集團이 民族이 種族의 發展이 모다 이곳에서 反映된 基本인 것을 그는 例證한 것이다. 따러서 文化-그 中의 藝術이나 文學도 다 生産過程에서 생기는 有用한 所望에서 基因함을 말하였다.
三
=「일즉이 古代에서 勤勞民의 口碑的藝術創作은 그들의 經驗이 唯一한 組織者이며 形象을 비러가지고 思想의 具體化며 集團勞動의 「에네르기」皷舞者이였다. 우리는 이것을 理解하지않으면 아니된다」고 하였다.
이것은 勿論 누구나 한가지로 認定하는 事實이다. 그中에도 아즉도 問題되여있는 것은 形象을 비러가지고 思想을 表現한다는 말이니 이것이 眞理며 事實이면서도 때때로는 現代藝術에서 確當한 範圍問題로서 思想이 많어서 形象의 缺乏을 나타내는 때도잇고 現象이 主題가되여 思想이 缺乏되는 때도있다. 이것의 交互關係가 아조 極端으로 갈때에는 藝術上問題에 大混亂을 일으키는 일이있다. 兩者中에 하나가 極端으로 가게되면 그 範圍는 漸漸 좁아지며 硬固하거나 或은 頹廢하고 마는 것이다. 「랍푸」의 解體도 그 여러 가지 原因中에 獨裁性拘束性類의 것이 自體의 文學發達上 桎梏으로 된까닭에 解體하고 마른 것이다. 이에 關해서 「골키」는 이곳에서는 다만 暗示에 머무르고 말었다. 다만 自國의 解放的社會政策과 아울러 文學의 自由的 發展을 力說할뿐이였다.
그는 그 例를 迂回하야 封建的意識에 짓눌리여서 窒息狀態에잇든 資本主義的文化의 解放과 그 個性에 論及하였다. 더구나 그는 自國에서는 맛당이 完全한 個＜3＞性의 才質를 遺憾없이 發揮할 것을 主張하였다.
