Rank	Word	Frequency
1	하야	658
2	우리	306
3	사람	206
4	나	181
5	안이	168
6	말	160
7	世界	123
8	기사	100
9	가티	99
10	自己	86
11	하니	85
12	무엇	76
13	하나	75
14	吾人	73
15	開闢	72
16	小說	70
17	또한	68
18	리하	68
19	朝鮮	66
20	가지	65
21	今日	64
22	하엿다	61
23	社會	59
24	生活	57
25	하리	56
26	하얏다	53
27	이나	52
28	제호	51
29	섯다	51
30	잡지	50
31	개벽	50
32	발행	50
33	제목	50
34	형태	50
35	소리	50
36	過去	50
37	人類	49
38	重植	48
39	人生	47
40	다시	46
41	코저	46
42	하라	45
43	惠淑	45
44	이오	44
45	事件	44
46	보고	43
47	東昊	43
48	눈	42
49	問題	41
50	서로	40
51	로부터	39
52	如何	39
53	勿論	39
54	敎育	38
55	무슨	37
56	宇宙	37
57	事實	37
58	로써	36
59	어머니	36
60	人物	36
61	害毒	36
62	先生	36
63	太陽	36
64	레나	35
65	손	34
66	世上	34
67	關係	34
68	딸아	33
69	그것	33
70	靑年	33
71	幸福	32
72	生覺	32
73	方法	32
74	집	31
75	努力	31
76	다만	31
77	모든	30
78	將來	30
79	意味	30
80	마련	30
81	필자	29
82	이치	29
83	잇스	29
84	活動	28
85	時代	28
86	以上	28
87	생각	28
88	硏究	28
89	利用	28
90	인사	27
91	사랑	27
92	人民	27
93	思想	27
94	당신	27
95	이외	26
96	더욱	26
97	마음	26
98	只今	26
99	自我	26
100	얼마나	25
