Rank	Word	Frequency
1	하야	808
2	나	160
3	말	152
4	사람	151
5	우리	136
6	하엿다	134
7	하나	117
8	하니	106
9	自己	95
10	가티	95
11	一善	90
12	農業	82
13	기사	80
14	이나	79
15	그것	79
16	이외	68
17	생각	67
18	土地	66
19	朝鮮	65
20	가지	58
21	다시	57
22	섯다	56
23	今日	50
24	生活	48
25	勞働	47
26	무엇	45
27	地方	45
28	무슨	44
29	눈	44
30	事實	44
31	以上	44
32	마는	43
33	집	43
34	하얏다	42
35	公園	42
36	農業勞働	42
37	잡지	40
38	개벽	40
39	제호	40
40	발행	40
41	제목	40
42	형태	40
43	原因	39
44	必要	38
45	보고	38
46	소리	38
47	問題	37
48	습니	37
49	勿論	36
50	女子	36
51	發達	36
52	로써	36
53	모든	35
54	時間	34
55	如何	34
56	가장	34
57	어찌	34
58	얼굴	34
59	필자	33
60	로부터	33
61	라인	33
62	學校	32
63	都市	32
64	增加	32
65	이오	32
66	境遇	32
67	平民	31
68	어대	30
69	다른	30
70	로서	30
71	朝鮮人	30
72	地主	30
73	農民	30
74	始作	29
75	또한	29
76	더욱	28
77	關係	28
78	여러분	28
79	비록	28
80	自然	28
81	美術	28
82	마음	27
83	부터	26
84	나이	26
85	리하	26
86	藝術	26
87	經營	26
88	다만	25
89	족음	25
90	바다	25
91	불	25
92	나무	25
93	小作人	25
94	經濟的	25
95	農業勞働者	25
96	制度	24
97	同一	24
98	서서	24
99	日本人	24
100	하노	24
101	彼等	24
102	兵士	24
103	學生	23
104	일이	23
105	하엿스	23
106	世上	23
107	當時	23
108	물	23
109	危險	23
110	잇슬	22
111	그러케	22
112	發見	22
113	거긔	22
114	수가	22
115	매우	22
116	코저	22
117	賣買	22
118	잇스	21
119	大學	21
120	世界	21
121	市街	21
122	理由	21
123	누구	21
124	自由	21
125	時代	21
126	손	21
127	一般	21
128	여러	21
129	보아	21
130	당신	20
131	하든	20
132	처음	20
133	素月	20
134	平壤	20
135	活動	20
136	동안	20
137	結果	20
138	不利益	20
139	나라	19
140	까닭	19
141	大槪	19
142	內容	19
143	多數	19
144	勞働者	19
145	아모	19
146	困難	19
147	저서	19
148	靑年	19
149	獨逸	19
150	高句麗	19
151	自然性	19
152	사이	18
153	午後	18
154	各種	18
155	現在	18
156	成功	18
157	너	18
158	서로	18
159	보이	18
160	苦痛	18
161	光一	18
162	오늘	17
163	全部	17
164	商工業	17
165	멀리	17
166	반듯이	17
167	그때	17
168	衝動	17
169	不可不	17
170	거리	17
171	兄弟	17
172	國王	17
173	事業	17
174	天井	17
175	不能	17
176	눈물	17
177	佛蘭西	16
178	男女	16
179	重要	16
180	有名	16
181	이면	16
182	한가지	16
183	하리	16
184	炎熱	16
185	時期	16
186	變化	16
187	南方	16
188	過去	16
189	只今	16
190	讀者	16
191	가슴	16
192	얼마	16
193	압헤	16
194	고개	16
195	將來	16
196	當地	16
197	講演	16
198	人生	16
199	一層	16
200	京城	16
201	特色	16
202	硏究	16
203	꿈	16
204	서나	16
205	不平均	16
206	다가	15
207	人口	15
208	亦是	15
209	工夫	15
210	社會	15
211	方法	15
212	다리	15
213	하얏슴	15
214	보기	15
215	利益	15
216	一時	15
217	그늘	15
218	연못	15
219	電燈	15
220	金海	15
221	하얏나	14
222	하얏스	14
223	父母	14
224	第一	14
225	얼마나	14
226	이제	14
227	크게	14
228	精神	14
229	影響	14
230	觀察	14
231	繼續	14
232	한울	14
233	그대로	14
234	발	14
235	낫다	14
236	이란	14
237	여긔	14
238	日本	14
239	說明	14
240	中國	14
241	注意	14
242	性質	14
243	傳來	14
244	適用	14
245	農業者	14
246	舜臣	14
247	이름	13
248	中心	13
249	여름	13
250	잡고	13
251	돌이	13
252	所謂	13
253	利用	13
254	建築	13
255	要求	13
256	人間	13
257	사랑	13
258	바람	13
259	되엇습니	13
260	안흐	13
261	듯이	13
262	開城	13
263	意味	13
264	亭子	13
265	타고	13
266	바이	13
267	第回	13
268	實際	13
269	吾人	13
270	其他	13
271	程度	13
272	移住	13
273	와싱톤	13
274	統營	13
275	日軍	13
276	마치	12
277	만일	12
278	모양	12
279	普通	12
280	相當	12
281	길이	12
282	元來	12
283	一定	12
284	漸次	12
285	地位	12
286	料理店	12
287	果然	12
288	完全	12
289	事情	12
290	가트	12
291	때문	12
292	가면	12
293	永遠	12
294	以外	12
295	買收	12
296	小農民	12
297	效果	12
298	하얏	11
299	準備	11
300	敎育	11
301	組織	11
302	男子	11
303	思想	11
304	異常	11
305	左右	11
306	容易	11
307	勢力	11
308	理性	11
309	노래	11
310	한번	11
311	어떠케	11
312	하랴	11
313	主催	11
314	暴利	11
315	權利	11
316	萬圓	11
317	佛敎	11
318	條件	11
319	기도	11
320	안흘	11
321	안핫	11
322	이요	11
323	狀態	11
324	生産	11
325	童話	11
326	리엘	11
327	觀念	11
328	紳士	11
329	不便	11
330	米價	11
331	面積	11
332	社會的	11
333	自然的	11
334	下級農民	11
335	지금	11
336	馬克	11
337	하자	10
338	英國	10
339	政治	10
340	發表	10
341	大端	10
342	간다	10
343	일가	10
344	만하	10
345	입	10
346	經驗	10
347	愉快	10
348	一種	10
349	自體	10
350	한참	10
351	어서	10
352	대로	10
353	먼저	10
354	한지	10
355	거름	10
356	機會	10
357	警察署	10
358	料理	10
359	特別	10
360	分明	10
361	레트	10
362	로오	10
363	가운	10
364	大正	10
365	設備	10
366	方面	10
367	그네	10
368	表現	10
369	所有	10
370	인제	10
371	西域	10
372	文化	10
373	附近	10
374	아츰	10
375	머리	10
376	가을	10
377	八角亭	10
378	熱心	10
379	하엿슴	10
380	土地兼倂	10
381	現像	10
382	小作契約	10
383	政策	10
384	父親	10
385	伯林	10
386	美人	10
387	沙漠	10
388	彼女	10
389	이지	9
390	되엇슬	9
391	上海	9
392	到着	9
393	米國	9
394	近日	9
395	케하	9
396	學者	9
397	推測	9
398	最後	9
399	運動	9
400	努力	9
