잡지명	별건곤  
발행일	1932년 06월 01일  
기사제목	懸賞問題 (Prize Question)  
기사형태	사고·편집후기 (Article Editorial)  

Prize Question  
What is the answer to "선사습무조해니살람은 얼야겟!"? This is a phrase that jumbles the word "말하마듸" (malhamade) and if you rearrange it correctly, it forms a prize question. Please write your answer in five characters or less and send it in.  

Prizes  
Special Prize: 1 person, Artistic Clock  
Secondary Prize: 99 persons, Magazine Issue  

Regulations  
◇ Please write your answer on a postcard-sized paper and clearly write your name and address.  
◇ An issue of the magazine must be cut out and attached (the one from this month's issue).  
◇ Write "Gyeongseong Gaepiksha Byeolgeun-gon Prize World" on the envelope.  
◇ Write "Manuscript Inside" on the envelope and attach a 2-jeon stamp to the corner of the envelope.  
◇ If possible, send multiple entries from one person in a single envelope for convenience and to save on postage. However, make sure that for each entry, a separate copy of the magazine must be attached.  

Announcement of Last Month's Prize  

Question  
As for living Koreans, the person I admire most is:  
The man I admire most:  
The woman I admire most:  
There were 75,091 respondents to this question, and they admired various people. Therefore, the results will not be announced, much to our regret.  

Winners' Names  

Special Prize: Nam Sun-gye (南淳杰) Gyeongbuk Andong-gun Ilchul-myeon Gwangyeon-ri  
Normal Prize:  
Kwon Hee-dae, Daejeon  
Lee Yun-bok, Seokju  
Kim Su-chang, Mokpo  
Lee Ui-bok, Danheung  
Kim Wan-geun, Sangju  
Kim Gwi-dong, Suncheon  
Shin Chun-gang, Naeseong  
Kim Bong-gyeok, Gyeongju  
Kang Wan-gil, Anju  
Kim Nam-yong, Gyeongseong  
Song Chang-bok, Gando  
Hwang Yun-seop, Seonju  
Hyeon Gae-gyeon, Namhae  
Heo Nam-sun, Hongcheon  
Jang Un-yong, Sinui-ju  
Kang Pan-bong, Hamyang  
Lee Heung-jong, Gyeongseong  
Kim Jeom-ryong, Kaeseong  
Bae Chang-gye, Wooncheon  
Lee Jae-joo, Tongyeong  
Jang Jae-seon, Hwae-ryang  
Kim Heung-sun, Kaeseong  
Bang Ui-hwan, Sinui-ju  
Lee Hyeong-je, Jeongpyeong  
Oh Yu-hed, Ikseong  
Seo Rin-deok, Daegu  
Park Yu-hyeon, Daegu  
Jeong Heo-sang, Seosan  
Shin Jik-goon, Jangryeong  
Lee Gun-hyeok, Yeonbyeon  
Kim Eung-bae, Gyeongseong  
Lim Hyoseon, Hwangcheon  
Han Gi-hak, Myeong-san  
Lee Jung-kyu, Ikseong  
Kim Bong-ui, Changwon  
Choi Deok-geon, Yangpyeong  
Lee Myeong-gyeok, Myeong-san  
Kim Jang-ha, Uiju  
Lee Woorong, Gyeongseong  
Ra In-kyu, Incheon  
Kim Jong-geun, Yeon-an  
Kang Dae-hyeong, Sincheon  
Lee Bong-sik, Hwangcheon  
Jang Deok-jun, Suan  
Lee Young-sil, Busan  
Kim Hong-beom, Seonju  
Shin Baek-won, Myeong-san  
Kim Yu-jeong, Gyeongseong  
Park Sang-gyeong, Tongnyeong  
Lee Byeong-mo, Suncheon  
Lee In-ho, Anju  
Shim Hee-cheol, Chungju  
Lee Tae-jik, Danheung  
Kang Bong-gi, Naju  
Chi Heon, Daejeon  
Jeong Yeong-je, Tongnyeong  
Jang Seok-won, Yonggang  
Choi Heo-su, Dongnae  
Hong Bong-je, Junggang  
Kim Bong-yoon, Daedong  
Lee In-bae, Jaeneung  
Cha Yun-o, Gyeongju  
Lee Ik-hyeon, Jinwi  
Jeon Dae-seok, Wonju  
Yoon Jong-eun, Ingeul  
Lee Jumeok, Tongchun  
Hwang Geum-ryong, Andong  
Lee Yun-ryong, Andong  
Ham Yeon-su, Daegu  
Lee Jae-hong, Gyeongseong  
Kim Seung-ha, Andong County  
Ryu Yong-pil, Gochang  
Heo Yeonkyo, Goyang  
Chi Mok-gyeong, Junghwa  
Hong Gyeong-bok, Yeongcheon  
Jang Heung-yeop, Yeongbyeon  
Kim Chang-hyeon, Daegu  
Ha Dong-yeop, Gwangyang  
Kang Yu-cheol, Yeon-an  
Yoon Seong-hak, Uichang  
Jeong Dong-sil, Pyeongyang  
Oh Joo-hyeong, Jinju  
Lee Duk-do, Daenin  
Sin Heung-san, Jeonghyeon  
Jang Dong-geun, Cheongyang  
Seo Jong-geun, Daegu  
Lee Jong-ki, Jeonju  
Lee Oh-seong, Yeon-an  
Jo Byeong-sook, Anseong  
Choi Geun-hak, Gyeongseong  
Lee Moon-yeong, Geumjeong  
Ra Uuin, Myeong-san  
Lim Seok-sin, Songhwa  
Ryu Joong-he, Jeonju  
Kang Seong-geun, Jeongju  
Kim Chang-hwan, Sincheon  
Lee Yeong-hyeon, Tangjin  
Lee Jung-gun, Anak  
Kim Nam-jik, Chungju<60>  
<60>  

**Summary**  

This article presents a prize question for readers of the magazine and recounts the responses received for a previous query regarding admired figures among the Korean populace, revealing a large response rate of over 75,000 participants. The article highlights the interest and engagement of the population in cultural figures during that time, albeit unable to announce specific names due to the variety of responses. This reflects a moment in Korean colonial history where public opinion and admiration were tracked and possibly influenced by the prevailing societal conditions under colonial rule.

**Named Entities**  

Nam Sun-gye	南淳杰  
Kwon Hee-dae	권희대  
Lee Yun-bok	이윤복  
Kim Su-chang	김수창  
Lee Ui-bok	이의복  
Kim Wan-geun	김완근  
Kim Gwi-dong	김귀동  
Shin Chun-gang	신춘강  
Kim Bong-gyeok	김봉겸  
Kang Wan-gil	강완길  
Kim Nam-yong	김남용  
Song Chang-bok	송창복  
Hwang Yun-seop	황윤섭  
Hyeon Gae-gyeon	현개견  
Heo Nam-sun	허남순  
Jang Un-yong	장운용  
Kang Pan-bong	강판봉  
Lee Heung-jong	이흥종  
Kim Jeom-ryong	김점룡  
Bae Chang-gye	배창계  
Lee Jae-joo	이재주  
Jang Jae-seon	장재선  
Kim Heung-sun	김흥순  
Bang Ui-hwan	방의환  
Lee Hyeong-je	이형제  
Oh Yu-hed	오유헬드  
Seo Rin-deok	서린덕  
Park Yu-hyeon	박유현  
Jeong Heo-sang	정허상  
Shin Jik-goon	신직군  
Lee Gun-hyeok	이건혁  
Kim Eung-bae	김응배  
Lim Hyoseon	림효선  
Han Gi-hak	한기학  
Lee Jung-kyu	이정규  
Kim Bong-ui	김봉의  
Choi Deok-geon	최덕건  
Lee Myeong-gyeok	이명겸  
Kim Jang-ha	김장하  
Lee Woorong	이우롱  
Ra In-kyu	라인규  
Kim Jong-geun	김종근  
Kang Dae-hyeong	강대형  
Lee Bong-sik	이봉식  
Jang Deok-jun	장덕준  
Lee Young-sil	이영실  
Kim Hong-beom	김홍범  
Shin Baek-won	신백원  
Kim Yu-jeong	김유정  
Park Sang-gyeong	박상경  
Lee Byeong-mo	이병모  
Lee In-ho	이인호  
Shim Hee-cheol	심희철  
Lee Tae-jik	이태직  
Kang Bong-gi	강봉기  
Chi Heon	치현  
Jeong Yeong-je	정영제  
Jang Seok-won	장석원  
Choi Heo-su	최허수  
Hong Bong-je	홍봉제  
Kim Bong-yoon	김봉윤  
Lee In-bae	이인배  
Cha Yun-o	차윤오  
Lee Ik-hyeon	이익현  
Jeon Dae-seok	전대석  
Yoon Jong-eun	윤종은  
Lee Jumeok	이주먹  
Hwang Geum-ryong	황금룡  
Lee Yun-ryong	이윤룡  
Ham Yeon-su	함연수  
Lee Jae-hong	이재홍  
Kim Seung-ha	김승하  
Ryu Yong-pil	류용필  
Heo Yeonkyo	허연교  
Chi Mok-gyeong	치목경  
Hong Gyeong-bok	홍경복  
Jang Heung-yeop	장흥엽  
Kim Chang-hyeon	김창현  
Lee Yeong-hyeon	이영현  
Lee Jung-gun	이정건  
Kim Nam-jik	김남직  
Lee Gyeong-seong	이경성  

**Glossary**  

懸賞問題	현상문제	Prize question  
賞品	상품	Prize  
發表	발표	Announcement  
問題	문제	Question  
응모	응모	Entry  
특등	특등	Special grade  
특외	특외	Secondary grade  
규정	규정	Regulation  
엽서	엽서	Postcard  
제출하다	제출하다	To submit  
삭가하다	삭가하다	To cut out  
인증증	인증증	Certificate  
서명	서명	Signature  
참가	참가	Participation  
차저	차저	Immediately  
편리하다	편리하다	To be convenient  
절약하다	절약하다	To save


---------------------------


잡지명	별건곤 제52호
발행일	1932년 06월 01일
기사제목	懸賞問題
기사형태	사고·편집후기

懸賞問題
선사습무조해니살람은 얼야겟!이것은 말하마듸를 뒤석거노흔것이니 바로차저노흐면 현상문제가 됩니다 그대답을 다섯자 이내로 써 보내시오

賞品
特等 一人 美術時計
特外九十九人 雜誌冊一

規定
◇엽서만한조회에다 대답을 쓰시되 그해자긔의 주소성명을 히 쓸 것.
◇이페-지귀통이에 잇는 독자증 반듯이(今月號의 것을) 오려부칠 것.
◇피봉에는 반듯이 京城開闢社別乾坤懸賞界라고 쓸 것.
◇피봉에는 原稿在中이라쓰고 봉투주둥이의한귀퉁이를 가위로비면 二전우표를 부처서 올수잇습니다.
◇되도록한봉투안에 여러사람의 것을 너어보내시면 피차간에 편리하고 우표갑을 절약할수잇습니다. 그러나 반듯이 한사람대답에하나씩 독자증을 오혀부쳐됩니다.

前月號懸賞發表

問題
현재에 사라잇는조선사람으로
내가 제一숭배하는 男性
내가 제一숭배하는 女性
이문제에 대하야 응모하신분이 七萬五千九十一인대 숭배하는분도 각인각색이엿습니다 그럼으로 미안하오나 발표치안키로 하엿습니다.

當選者氏名

特賞 南淳杰 慶北安東郡一直面光淵里
―普通賞―
權熙臺 堤川
李允福 朔州
金壽昌 木浦
李義伯 端興
金完根 尙州
金貴童 順天
申春江 並川
金鳳珏  龜城
康萬吉 安州
金南容 京城
宋昌福 間島
黃允燮 宣川
玄龜健 南海
許南舜 洪川
章雲溶 新義州
姜判鳳 咸陽
李興鍾 京城
金点龍 開城
裵昌奎 文川
李再柱 統營
張在先 淮陽
金興順 開城
方義煥 新義州
李亨濟 定平
吳禹鶴 益山
徐麟得 大邱
朴禹鉉 大邱
鄭和相 善山
申植均 長連
李君赫 寧邊
金應培 京城
林孝善 奉天
韓騎鶴 孟山
李鍾九 益山
金鳳儀 昌原
崔德根 楊平
李明珏 孟山
金長河 義州
李五龍 京城
羅仁圭 仁川
金鍾根 延安
姜達興 信川
李奉植 奉天
張得俊 遂安
李英實 釜山
金弘範 宣川
申白元 孟山
金祐禎 京城
朴尙京 統營
李炳模 順天
李麟鎬 安州
沈希哲 忠州
李泰植 端興
姜奉奇 羅州
池憲 大田
鄭英祚 統營
張錫瑗 龍岡
崔禾壽 東萊
洪鳳濟 中江鎭
金鳳雲 大同
李寅培 載寧
車雲五 龜城
李益憲 振威
全敦錫 元山
尹鍾殷 殷栗
李주먹 通川
黃今龍 仁川
李雲龍 安東
咸演洙 大邱
李最弘 龜城
金承河 安東縣
柳龍弼 高敞
許琓  高陽
池莫卿 中和
洪景杓 漣川
張興燁 寧邊
金昌鉉 大邱
河東燁 廣梁
康禹哲 延安
尹成學 義城
鄭東實 保寧
吳周亨 晉州
李德道 戴寧
辛興善 井邑
張同根 靑陽
徐鍾根 大邱
李鍾基 全州
李吳星 延安
趙炳淑 安城
崔根學 京城
李文永 金堤
羅愚隱 孟山
林錫信 松禾
柳重赫 載寧
康聖根 定州
金昌煥 信川
李榮憲 唐津
李重坤 安岳
金南植 忠州＜60＞
＜60＞
