별건곤 제9호
1927년 10월 01일
放送劇, 엇던 舞臺監督의 이약이 全一幕, 劇硏究會第7回放送臺本 (Radio Play, A Certain Stage Director's Story, One Act, Drama Research Group 7th Radio Script)
金永八(作) (Kim Yeong-pal (Author))
희곡·시나리오 (Play/Scenario)

Characters              Roles

Director Lee           Shim Hun

Mother             Lee Gyeong-son

Park Yeong-suk           Yu Il-chun

Choe Byeong-hwan           Choe Seung-il

Innkeeper Old Woman     Kim Yeong-pal

The time is late spring. The stage is behind a certain inn. Sound effect: wind.

Mother   Who is that student?
Yeong-suk   (Blushes.)
Director Lee      Uh, that?! (Hesitates.)
Mother   Is that student also a theater person?
Director Lee      No—
Mother   No? (Looks Yeong-suk up and down.)
Director Lee      Yes, she is my friend.
Mother   (Glances sideways, averting her eyes) Oh—a friend.
Director Lee      Ah, Yeong-suk, this is my mother. Please greet her.
Yeong-suk   Yes—(Her voice barely audible, she bows her head, embarrassed.)
Mother   Yes, hello—oh my, how bright her face is. And how old are you this year?
Yeong-suk   Nineteen years old.
Mother   Nineteen years old? Oh my, how lovely her voice is.
Yeong-suk   (Keeps her head down, saying nothing.)
- Silence -
Director Lee      Mother.
Mother   Yes. <123>
Director Lee      By the way, what brings you all the way to Seoul so suddenly?
Mother   I wanted to see you, whom I haven't seen in ages, and also, I'm planning to go to Wonsan by train tonight.
Director Lee      Wonsan?
Mother   Yes.
Director Lee      Why Wonsan?
Mother   (As if dumbfounded) You wander around day and night, so how would you know anything? But to be so ignorant, is that how an unfilial son behaves?
Director Lee      What are you talking about?
Mother   Don't you ever think of your father?
Director Lee      Are you talking about my deceased father?
Mother   Yes.
Director Lee      Since it's a time when even living people struggle to make a living, is it so strange that I don't think about my deceased father?
Mother   (Cannot speak.)
Director Lee      So, you're saying you're going to visit Father's gravesite?
Mother   That's right. You are you, and I am me, so you may have forgotten, but I can never forget your father before I die.
Director Lee      (Thinks for a while) I suppose so.
Mother   By the way, child, as you know, this seems like my last time. After this visit, I don't think I'll be able to go again— (Sheds tears silently.) —So, as a last time, I had to go, but I have no funds. I thought, what would happen if I came to my son, but now that I'm here, it's even worse, so I can't even bring myself to speak.
Director Lee      (Shows sympathy to his mother.)
Mother   (Sighs.)
Director Lee      These days I'm so broke that the inn is telling me to leave. It's been four months since I paid them—well, why don't you go to Gye-dong (桂洞) and talk to Aunt. Surely they have money there.
Mother   How can I go there and say such a thing?
Director Lee      Then what are you going to do?
Mother   Well, should I go?
(The three sit in silence. Then, Mother stands up, looks around the room, thinks for a moment, and seems to make up her mind.)
Mother   Then, I'll be back.
Director Lee      Where are you going? To Gye-dong?
Mother   Well. Student, stay here and play. Okay.
Yeong-suk   (Stands up and bows silently.)
Mother exits. <124>
Director Lee      Yeong-suk, the most disgusting thing is humanity. To think of not cherishing you, who think of the dead and love people like me who are dying—and to think of betraying Choe, such a wonderful person, even though he loves you—even though opium addicts sell their houses, land, wives, and children before selling themselves, the humanity that cannot swallow the sun and smash the earth with its fist seems cowardly and disgusting. That they cannot shake this universe.
Yeong-suk   Why are you so excited by yourself?
Director Lee      No. Society has given me stimulants.
Yeong-suk   Then the new society we desire won't be like that, right? The society that is coming—
Director Lee      Which day? What day of the week? No, no. The hopes that women have are useless. If we don't create it ourselves, it's useless. (Suddenly shouting) Heh heh, I seem very excited right now; I've been rude, haven't I?
Yeong-suk   No. It doesn't matter much.
Director Lee      My mother thinks of her husband, her beloved from the old days, and always visits his gravesite.
Yeong-suk   Aren't you going to the gravesite, Director Lee?
Director Lee      Visit the gravesite? No, not at all. Look at this body. Look at this physique. I should be resenting the father who made such an unfortunate [being]! What am I grateful for that I should visit his gravesite? My father gave me this ungrateful world. A hideous society. That's why I became an actor, to show myself to people. I’m sending the world up. That's why I only see you as a friend. Also, I will live alone for the rest of my life, fearing that I might give birth to another disabled person with a small physique like me.
Yeong-suk   Why do you say such difficult and incomprehensible things sometimes?
Director Lee      No. Isn't that a natural thing to say? Even if a war breaks out and the enemy invades, I don't have the physique to hold a rifle to defend against it.
Yeong-suk   Even so—when the time comes—
Director Lee      Will it? Even for this disabled person—anyway, human life is dramatic, so maybe.
Yeong-suk   That's right. But it also differs from person to person, doesn't it?
Director Lee      That's a valid point. Of course, it will be. But I unhesitatingly see this society as a stage, and all the people moving within it as actors. Therefore, our lives can be seen as dramatic. How do you feel about that, Yeong-suk?
Yeong-suk   Me? But I want to leave this stage. Because on this stage called society, I can never escape the name of woman.
Director Lee      Why is that?
Yeong-suk   Because there is class. Because there is contempt. Because there is abuse.
Director Lee      So, you're saying you're denying reality? Right, right.
Yeong-suk   But is that useful?
Director Lee      Suddenly the level has dropped sharply, why is that? Heh heh heh. But the time to become strong has come.
Yeong-suk   Do you think so?
Director Lee      Yes, it has. Do you know the trends in world theater right now?
Yeong-suk   I'm completely ignorant in that area.
Director Lee      If you don't know the moving, great stage of the world, isn't that something to be ashamed of?
Yeong-suk   I'm not ashamed. It's because society has made me so.
Director Lee      But—
Yeong-suk   Then I'll learn from you. Teach me. How are the activities of the world's famous actors?
Director Lee      Haha, it's very difficult to answer if you ask so directly. But doesn't the newspaper tell you well? Lately, Chinese theater, for example, is shaking the whole world more than anything else, and isn't it being shaken? When I think about this, I desperately want to gather actors and go out and do theater.
Yeong-suk   I want to do it too. I want to become a great actress.
Director Lee      Really?
Yeong-suk   Yes. Why? Don't I have the qualifications to stand on stage?
Director Lee      No, not at all. What qualifications are needed? Anyone can do it if they have a strong will and firm ideology to stand on stage. Lenin, the great man of Russia, said: theory is method, and unity is weapon. But the time for theory has passed, hasn't it? No, rather than passed, I only have petty thoughts like love affairs. So, I have no choice but to gather actors and go to the stage. If you, Yeong-suk, also step on the stage, that would be good too. If you step on the stage with your true heart.
Yeong-suk   Yes—I understand what you're saying now. I'll step on it. I'll become a shining, great actress on the stage, like Zara Leander (Zarah Leander).
Director Lee      Is that so? Then I'll become Karl Liebknecht. <126> Then, Yeong-suk, hurry up and put on makeup. Get dressed, and I'm already doing my makeup. The actors will come too. We don't need tools. Because it's in our hearts?
(At this moment, friend Choe Byeong-hwan appears.)
Choe      Hey—Director.
Director Lee      It's been a long time. Choe, is that you?
Choe      (Bows his head awkwardly.) Is it okay to come in?
Director Lee      Come on in.
Choe      So, how have you been? Sleeping well these days?
Director Lee      So so, how about you?
Choe      Me? Me too, what can I do. By the way, what are you researching these days?
Director Lee      I need to eat.
Yeong-suk   Does food necessarily come with research?
Director Lee      Yes, for me, and not just me, everyone's research material is food. But when I don't have to worry about food, society will already have changed. Therefore, rather than researching, we must first do the work to not have to worry about food.
Choe      (Jokingly) Everyone recognizes you, Lee, what's going on? Not that, but listening to your story right now, it seems like you are a *ddadda* (따따)?
Director Lee      (Laughing) People call me a *ddadda* (따따)? I don't know if the people who recognize me are *ddadda* (따따), but I'm not a *ddadda* (따따). It's not that I don't have the feelings of a *ddadda* (따따). But I'm not a *ddadda* (따따). I can see myself as a *ddadda* (따따) who hates *ddadda* (따따), but I'm not a *ddadda* (따따) of the *ddadda* (따따) group. - Yeong-suk, what do you think of me? Do you see me as a *ddadda* (따따)?
Yeong-suk   I can't understand the nature of *ddadda* (따따) well. But if you're not a *ddadda* (따따), then you're not.
Director Lee      Your answer is like a *ddadda* (따따).
Yeong-suk   (Laughs at the same time.)
Choe
Choe      So, if you have to eat to do research?
Director Lee      Then I have to move my limbs without rest.
Choe      Until now, have you been sitting still and eating?
Director Lee      Not really. I've been moving my arms and legs without rest since I was young, but the movements from then until yesterday were only bowing down without raising my head, but from today's labor, if we raise our heads and move our arms and legs, we will rightfully earn food from it and, if we don't pay it back rightfully, we'll only be able to earn food. People who don't know me might laugh when they hear me, but they can't help but laugh. <127>
Hehe, nonsense.
Innkeeper (Entering, dragging her shoes and tapping her tobacco pouch against a stone) Hey, is Director Lee here?
Director Lee      (Ignoring her) I have to eat.
Innkeeper   Hey, Director Lee.
Director Lee      So I'll either find food or work.
Innkeeper   Hey, Director Lee. (Louder.)
Director Lee      There's no way such happiness will come to me—Hey—I'll have to go out and get lunch from someone. The inn won't even give me a room, let alone food, that crazy wife of the innkeeper. But they have to eat to live too.
Choe      (Putting his hand to his mouth and pointing to the innkeeper) Shh—
Innkeeper   Director Lee—
Director Lee      Yes—
Innkeeper   Yes, what is it? If you're a decent person, shouldn't you have some shame?
