Magazine Title	별건곤 제1호
Publication Date	1926년 11월 01일
Article Title	海洋中에 잇는 人魚는 美女인가 動物인가?, 아름다운 傳說에서 자미잇는 科學으로 (Is the Mermaid in the Ocean a Beautiful Woman or an Animal? From Beautiful Legends to Interesting Science)
Author	金滄海
Article Type	잡저 (Miscellaneous writing/Essay)

Is the Mermaid in the Ocean a Beautiful Woman or an Animal? From Beautiful Legends to Interesting Science
						By Kim Ch'anghae

One, The Mermaid Beautified in Legend
Since ancient times, the mermaid has been seen as a wondrous thing, and consequently, people's curiosity about mermaids grew immeasurably. From that curiosity, many legends and beautiful imaginative flowers began to bloom. This is not only true for the East, nor only for the West; wherever the sea flows on this earth, beautiful legends of mermaids are told on quiet moonlit nights, passing from woman to man, to child—interesting stories or tearful laments about mermaids.

In Chosŏn too, there are many stories about mermaids. Some say that heavenly maidens came down to the sea to bathe, and a certain human man hid the clothes of the last maiden about to leave, forcing her to live with humans. Eventually, overcome with longing for her home, she secretly jumped into the sea without her husband knowing and became a mermaid. Others say that a peerlessly rare beauty, lamenting her husband's heartlessness, entered the sea and became a mermaid, coming out onto the longed-for land on moonlit nights. Therefore, it is said that each drop of a mermaid's tears became a pearl. Sea pearls are called mermaid tears, and the roar of the sea (海嘯 - haeso) is said to be the mermaid's lament or anger. The Harmsworth Encyclopaedia states, "There is a legend that the appearance of a mermaid is a harbinger of a storm." It also says, "Exquisite blue seaweed found in tropical seas is called the mermaid's wine cup, and there are two other types of seaweed: one called the Mermaid's (女人魚) wine cup, and the other<122> the Merman's (男仁魚) brush," supposedly "a shaving brush (Shaving Drwah [sic])."

Two, The Mermaid Drawn by Poets
Furthermore, in the poetry collection of the English poet Mr. Tennyson, there are also poems about mermaids; one can see two kinds: "The Mermaid" and "The Merman." One sings of the female mermaid, and the other sings of the male mermaid. These songs express a longing for the free and beautiful ocean life of mermaids. Without translating the entire lengthy poems, a representative example of this song of longing can be seen in the first stanza at the beginning of the poem:
"Who would be / A merman bold / Sitting alone / Singing alone / Under the sea, / With a crown of gold / On a throne?" is the gist. The song of the female mermaid is also similar: "Who would sit on a throne / Combing her golden hair with the color of pearl / Sitting alone?" They freely jump and roam over the endless blue sea, laughing joyfully and singing beautiful songs all day long, exchanging sweet kisses of love—such optimistic and splendid poetry he wrote.
Did the mermaid's singing voice stir the hearts of all poets so?

Three, Japanese Legends
Japanese people also have generally similar legends:
"During the Kōnin era (弘仁年), a mermaid was caught in a fisherman's net in Lake Biwa (琶琵湖) in Ōmi Province (近江). Even after three days passed, it was still not dead. There was a benevolent person in that village who bought the mermaid for three kanmon (貫文) of coins and released it back into the lake. Three years later, in July, while visiting a neighboring village for sightseeing, he met a girl of seventeen or eighteen on the way. Her exquisite beauty was indescribable (不可形言). The beautiful girl gave him something wrapped in silk from her bosom. Accepting it without much thought, the moment he looked back to see the girl, she had vanished. After returning home, he unfolded the object and found it was a beautiful jade weighing fifteen don (錢) [approx. 56g]. The jade's color was grayish. He merely played with it as a curiosity. Later, playing around, he held it to his ear and the jade spoke. Therefore, the jade could predict events two or three days in advance. It is said someone bought it for several hundred gold pieces. This was an act of gratitude (報恩). Even now, it is said that if someone from Shinshū (信州) obtains such a jade, they consider it a family treasure. Et cetera—" such a legend also exists.

Four, What Does a Mermaid Look Like?
An old book states: "--Its shape is like a child, neither fish nor human, its name unknown, etc. etc. Now also found in the middle of the Three Seas and Great Oceans. Head like a woman, below the body of a fish,<123> scales like a deer, light black color. Tail seems forked (似*尾有岐 - *illegible character before 尾?), both fins have webbed feet (蹀 - chŏp, likely means webbed appendages/flippers?), like hands but no legs. Seen when violent storms are about to arrive. Fishermen, though catching it in their nets, strangely do not capture it, etc. etc." Also, the mermaid of legend is described as "Shape like a woman, human body above the waist, fish tail below the waist." From this, we can understand what a mermaid is. The upper part, the torso, is like a human's shape, and the lower part is like a fish's. This mermaid is not the kind of imaginary beautiful woman found in legends. Rather, the mermaid is a marine animal belonging to the order Sirenia among mammals.

Five, Mermaids Hold Their Young and Nurse Them
The female mermaid nurses her young (색기 - saekki, offspring). When nursing, she has the habit of holding her young with her forelimbs (i.e., pectoral fins - 胸鰭) and revealing her upper body above the waves. Because of this, she began to be called the so-called "mermaid" (人魚 - inŏ). The imaginary legends passed down from ancient times are certainly unbelievable. Therefore, descriptions like "red skirt and bare shoulders (紅裳雙袒)," "disheveled topknot (髻鬣亂)," or "red mane behind (*後에 紅鬣)" are nothing but falsehoods.
Also, the term "mermaid" (人魚) is by no means exclusive to the East; in the West too, this animal is commonly called "Mermaids," a word with the same meaning.
Mermaids generally inhabit calm areas near ocean coasts or in rivers near estuaries. They have a very gentle nature and live by eating aquatic plants growing in the water. Also, the claim that mermaids come ashore at night is also nothing but a fabrication.

Six, Types of Mermaids
Scientifically speaking, there are only the following two types of mermaids living on Earth today.
The first scientific name is Manatus, commonly called Manatee in English. Within this genus, there are also three species: Manatus latirostris (M. Latic-stris), Manatus inunguis (M. iumnguis), and Manatus senegalensis (M. senegalensis). Among these, the first inhabits the coast of North Florida (北후모리터); the so-called Florida Manatee's reproduction is protected in the United States, and its cultivation is also being planned. The next one inhabits the Atlantic coast of Central America (중미) and Mexico (멕시코), and the last one inhabits the coasts of Africa (아푸리카) and the Indian Ocean (인도양).
The second genus's scientific name is Halicore, and its common English name is Dugong. There are also two species within this Dugong genus: one is Halicore dugong (H.dugong), inhabiting Africa, the Red Sea (紅海), India, Malay (馬來), and the southwest seas of Japan (日本) (Ryūkyū - 琉球 region); the other is Halicore australis (H. Auslralis),<124> inhabiting the coast of Australia (오스튜라리아).
The difference between the Manatee and Dugong lies not just in internal anatomical differences such as tooth structure, skull shape, and number of vertebrae, but also in distinct external features.
Besides these two types, there was one other kind of mermaid, called Rytina (Bbvtina should be Rhytina). This one was larger than the former two types, reaching a body length of 20 to 25 feet, and inhabited the vicinity of Bering Island (뻬링크島) and Copper Island (콥바島 - K'opba Island, likely referring to Copper Island/Ostrov Mednyy) in the Bering Sea (뻬링크海). It was discovered in the winter of 1741 when the famous Russian naval explorer Bering, along with the German naturalist Steller, was exploring the coast of North American Alaska (北米 아라스카). On their return journey, they encountered headwinds and were forced to drift to the Bering Island region. However, relatively recently (around 1768), this "Rytina" became extinct.

Eight, Mermaid Meat
It has been said since ancient times that those who eat mermaid meat can live long lives. In any case, mermaid meat is actually said to be very delicious. While other meats are generally unremarkable in taste, anyone who eats this immediately recognizes its deliciousness. Not only the American Manatee, but the mermaid inhabiting Japan's Ryūkyū (琉球) region is said to have particularly delicious meat. The reason for the extinction of the aforementioned Bering Sea "Rytina" was also due to its delicious taste. Mermaid meat is white in color, and its taste and smell are superior even compared to beef or pork.

Nine, The Mermaid and the Utility of its Body
The mermaid's skin is about an inch thick, so when dried, it can become a very sturdy board. Therefore, natives along the Red Sea coast once used it to roof their houses. They also made shields from it to defend against bullets. Also, beneath its skin lies excellent fat. This fat layer has an average thickness of one and a half inches. This fat is of very good quality, and the oil made from it is not prone to becoming turbid (溷濁) and also lacks any foul odor or taste, making it very importantly used for medicinal purposes.
Furthermore, mermaid bones have little marrow; bones like the spine and ribs are large in shape, dense in texture, and heavy in specific gravity. Crucially, they lack soft marrow, so they are used as a substitute for ivory. Some old books claim mermaid bone, called "Bezoar" (베이심레루 - beisimreru, likely a transliteration attempt at 'bezoar' or a similar term, possibly misunderstood), is highly effective as an antidote (解毒藥) or a miraculous medicine (妙藥) for stopping bloody stools (下血), but the truth of this is somewhat unclear. (As this is becoming too long, I will end it here.)<125>

**Summary**

This 1926 article by Kim Ch'anghae contrasts romantic folklore about mermaids from Korea, Japan, and the West with the scientific understanding of the time. It dismisses legends of mermaids as beautiful women or transformed humans, identifying them instead as marine mammals belonging to the order Sirenia (specifically Manatees and Dugongs). The author details their appearance, nursing behavior, habitats, and different species, including the recently extinct Steller's Sea Cow (Rhytina). The article concludes by discussing the practical uses of mermaid (Sirenian) meat, skin, fat, and bones, noting their reported deliciousness, durability, high-quality oil, and use as an ivory substitute, while casting doubt on older medicinal claims. For historians, the article is interesting as it showcases the introduction and popularization of Western scientific taxonomy and zoology (Sirenia, Manatus, Dugong, species classifications) in colonial Korea, directly juxtaposing it with traditional East Asian and Western myths. It also reflects an early awareness of species extinction (Steller's Sea Cow) and a pragmatic view of animals as resources, common during that era.

**Named Entities**

金滄海	김창해	Kim Ch'anghae
조선	조선	Chosŏn
함스워드 百科全書	함스워드 백과전서	Harmsworth Encyclopaedia
테니손	테니손	Tennyson
일본	일본	Ilbon
弘仁年	홍인년	Kōnin era
近江	근강	Kŭngang (Ōmi Province)
琶琵湖	파파호	P'ap'aho (Lake Biwa)
錢三貫文	전삼관문	Samgwanmun (Three kanmon)
信州	신주	Sinju (Shinshū Province)
마나터스	마나터스	Manatus (Manatee)
마나터스 라틔로 스튜리스	마나터스 라티로스트리스	Manatus latirostris
마나터스 이닝까스	마나터스 이눙구이스	Manatus inunguis
마나터스 세네갸렌시스	마나터스 세네갈렌시스	Manatus senegalensis
北후모리터	북플로리다	North Florida
미국	미국	United States
중미	중미	Central America
멕시코	멕시코	Mexico
아푸리카	아프리카	Africa
인도양	인도양	Indian Ocean
하리코레	하리코레	Halicore (Dugong)
듀공	듀공	Dugong
하리코레듀공	하리코레듀공	Halicore dugong
紅海	홍해	Red Sea
印度	인도	India
馬來	마래	Malay
日本 서남해	일본 서남해	Japan southwest seas
琉球	류큐	Ryuk'yu (Ryūkyū)
하리코레 오스튜라리스	하리코레 오스트랄리스	Halicore australis
오스튜라리아	오스트랄리아	Australia
리틔나	리티나	Rytina (Rhytina)
뻬링크海	베링해	Bering Sea
뻬링크島	베링섬	Bering Island
콥바島	콥바섬	K'opba Island (Copper Island)
露國	노국	Russia
베링크	베링	Bering
스데레르	스텔레르	Steller
北米	북미	North America
아라스카	알래스카	Alaska

**Glossary**

잇는	있는	Being, existing (Older spelling of 있는)
업시	없이	Without (Older spelling of 없이)
갓섯다	갔었다	Went (Older spelling/form of 갔었다)
만흔	많은	Many, much (Older spelling of 많은)
안이며	아니며	Is not (Older spelling/form of 아니며)
우의	위의	On top of, above (Older spelling of 위의)
나려와서	내려와서	Coming down (Older spelling of 내려와서)
엇더한	어떠한	Some kind of, certain (Older spelling of 어떠한)
사나희	사나이	Man, male (Older spelling of 사나이)
가티	같이	Like, together with (Older spelling of 같이)
나종에는	나중에는	Later, eventually (Older spelling of 나중에는)
몰내	몰래	Secretly (Older spelling of 몰래)
드러가서	들어가서	Entering (Older spelling of 들어가서)
되엿다고도	되었다고도	Became (Older spelling/form of 되었다고도)
모다	모두	All, entirely (Older spelling/form of 모두)
하엿스며	하였으며	Did and... (Older spelling/form of 하였으며)
잇스니	있으니	There is/are, so... (Older spelling of 있으니)
한아는	하나는	One is (Older spelling/form of 하나는)
안엇다	않았다	Did not (Older spelling/form of 않았다)
맛낫다	만났다	Met (Older spelling of 만났다)
바더가지고	받아가지고	Receiving and... (Older spelling of 받아가지고)
마럿다	말았다	Ended up doing, stopped (Older spelling/form of 말았다)
어드면	얻으면	If one obtains/gets (Older spelling of 얻으면)
색기	새끼	Offspring, young (animal)
젓먹일	젖먹일	To nurse, to breastfeed (Older spelling of 젖먹일)
업슴으로	없으므로	Because there is not (Older spelling of 없으므로)
둑거움	두꺼움	Thickness (Older spelling of 두꺼움)
집웅	지붕	Roof (Older spelling of 지붕)
밋헤	밑에	Under, below (Older spelling of 밑에)
좃코	좋고	Good and... (Older spelling of 좋고)
염예	염려	Worry, concern (Older spelling of 염려)
뻬링크	베링	Bering (Older transliteration)
하소연	하소연	Complaint, appeal, lament
진주	진주	Pearl
해소	海嘯	Roar of the sea, tidal bore, sometimes tsunami
전조	前兆	Omen, harbinger
동경	憧憬	Longing, yearning
망	網	Net (fishing net)
형언	形言	To describe in words
완롱	玩弄	Playing with, trifling with
예언	預言	Prophecy, prediction
보은	報恩	Repaying kindness, gratitude
포유류	哺乳類	Mammals
해우류	海牛類	Sirenia (sea cows)
자	雌	Female (animal)
전지	前肢	Forelimb
흉기	胸鰭	Pectoral fin
파상	波上	Above the waves
서식	棲息	Inhabit, live
상륙	上陸	Landing, coming ashore
척추	脊椎	Vertebrae, spine
체대	體大	Large body size
체장	體長	Body length
탐험가	探險家	Explorer
귀로	歸路	Return journey, way back
표류	漂流	Drifting, adrift
멸종	滅種	Extinction
미미	美味	Delicious taste
우수	優秀	Superior, excellent
피부	皮膚	Skin
건조	乾燥	Dryness, desiccation
견고	堅固	Solid, firm, sturdy
판	板	Board, plank
토인	土人	Native, indigenous person
지방	脂肪	Fat, grease
혼탁	溷濁	Turbidity, muddiness
악취악미	惡臭惡味	Foul odor and foul taste
약용	藥用	Medicinal use
골	骨	Bone
척량늑골	脊梁肋骨	Spine and ribs
골수	骨髓	Bone marrow
상아	象牙	Ivory
대용품	代用品	Substitute
해독약	解毒藥	Antidote
신효	神效	Miraculous effect
하혈	下血	Bloody stools, rectal bleeding
묘약	妙藥	Miraculous medicine
진위	眞僞	Truth or falsehood, authenticity


---------------------------


잡지명	별건곤 제1호
발행일	1926년 11월 01일
기사제목	海洋中에 잇는 人魚는 美女인가 動物인가?, 아름다운 傳說에서 자미잇는 科學으로
필자	金滄海
기사형태	잡저

海洋中에 잇는 人魚는 美女인가 動物인가?, 아름다운 傳說에서 자미잇는 科學으로
						金滄海
一, 傳說에서 美化한 人魚
오래된 옛날로부터 인어는 한 신기한 것으 보게 되며 따라서 인어에 대한 사람들의 호기심은 말할 수 업시 커갓섯다. 그 호기심으로부터 만흔 전설과 아름다운 상상의 꼿이 피기 시작하엿다. 그것은 동양 뿐 만이 안이며 또한 서양 뿐 만이 안이라 바다가 흐르는 땅이면 이 지구 우의 어느 곳을 물론하고 인어의 아름다운 전설을 고요한 달밤에 여자의 입에서 남자로 아동으로 이러케 인어의 자미로운 이야기 혹은 눈물겨운 하소연을 이야기한다.
조선에서도 이 인어에 대한 이야기가 만흐니 혹은 말하기를 한울로부터 선녀들이 바다에 나려와서 목욕을 하는 때 엇더한 인간의 한 사나희가 마지막을 나가려는 선녀의 옷을 감추어서 하는 수업시 인간과 가티 살다가 나종에는 고향이 그리운 끗헤 남편 몰내 바다로 뛰여 드러가서 인어가 되엿다고도 하며 혹은 絶世의 稀有한 미인이 남편의 無情을 비탄하든 끗헤 바다로 드러가서 인어가 되여 달밤이면 그리운 육지로 나온다고도 한다. 그럼으로 인어의 눈물의 방울방울은 모다 진주가 되엿다 한다. 바다의 진주는 인어의 눈물이라고들 하며 海嘯는 인어의 비탄 或 분노라구도 한다. 함스워드 百科全書에 보면 『인어가 나타나면 폭풍우의 前兆라는 전설이 잇다한다』고 하엿스며 또한 『熱海에서 발견되는 絶妙한 靑海草는 인어의 酒盃라구도 하며 또 다른 二種의 해초가 잇스니 한아는 女人魚(Mermaids)의 酒盃라 하며 한아는＜122＞ 남인어(Merman)의 솔 『면도하는데 쓰는 비누솔(Shaving Drwah)이라』고 한다.

二, 詩人이 그린 人魚
더욱이 영국 시인인 테니손 氏의 시집 중에서 보면 역시 인어에 대한 시가 잇스며 그것은 (The Mermaip 와 The merman 의 두 가지를 볼 수 잇다. 한아는 여인어를 노래한 것이고 한아는 남인어를 노래한 것이다. 그 노래에는 한가지 인어의 자유스럽고 아름다운 해양의 생활을 동경의 노래로 부른 것이니 그 長時를 다 번역할 것 업시 대표로써 그 동경의 노래를 보면 詩頭에 잇는 第一聯에
「누가 왕위 우에 金으로 만든 왕관을 쓰고 바다 밋헤 고요히 홀로 안저 잇는 용감한 남인어가 되고 십흐냐』는 것이다. 여인어의 노래에도 역시 『누가 왕위 우에 안저서 진주의 빗으로 황금의 머리를 빗스며 외로이 안저 잇는 어엽분 여인어가 되고 십흐냐』는 것이니 그들은 한업시 끗업시 푸른 바다 우로 뛰여 도라단이며 즐거이 웃고 아름다운 노래를 온종일 부르다가 서로 달듸단 사랑의 키쓰를 주고 밧는다는 낙천적의 화려한 시를 쓴 것이다.
인어의 노래 소리는 그와 가티 모든 시인의 心懷를 흔들엇슬까?

三, 日本 사람들의 傳說
일본 사람들도 대개는 비슷한 전설을 가지고 잇스니
