Magazine Title: 삼천리 제1호
Publication Date: 1929년 06월 12일
Article Title: 썩은 胡桃 (Rotten Walnut)
Author: 廉想涉
Article Type: 소설 (Novel/Fiction)

썩은 胡桃
						廉想涉
一
It was Chin'ha's second time visiting Mr. Ryang's house.
Last summer, he had run into Mr. Ryang on the streetcar after 3 or 4 years, and Mr. Ryang insisted they get off together for lunch. Chin'ha was dragged along to some Chinese restaurant after getting off near Sŏdaemun. Mr. Ryang’s scholarly demeanor was the same as ever, but considering his usually frugal ways, treating Chin'ha to such a meal was quite a gesture. Chin'ha surmised this was partly due to their bond as sworn brothers since childhood, and partly out of residual affection from having provided Chin'ha with some financial support for his studies for a time. Indeed, Chin'ha felt inwardly apologetic for not having sought out Mr. Ryang, his former benefactor and sworn elder brother, for so long, and for having remained indifferent even after Mr. Ryang had moved to Seoul. Yet somehow, the word "hyungnim" (elder brother) didn't come out as easily as it used to. Putting that aside, what startled Chin'ha was Mr. Ryang's constant stream of praise for *gongch'ŏjuŭi* (共妻主義 - wife-sharing ideology). It was astonishing that Mr. Ryang, who had been known as a stubborn traditional scholar (골생원님) since his elementary school teaching days, who later immersed himself in Chinese classics (漢學) while teaching in his rural hometown, and who was now a Chinese classics teacher at XX High School in Seoul, would praise wife-sharing. Korean society might have changed in 3 or 4 years, but Chin'ha thought it unlikely he'd find someone who had changed as much as Mr. Ryang.

"Even now, the system of wife-sharing is actually practiced in Tibet (西藏), and I hear remnants of such customs persist in certain Western religious sects. I believe this was the primitive state of humanity, and it aligns with innate human nature (人類本然生). Anyway, looking at a simple example, in a world advocating for communal systems, is there any reason to reject wife-sharing ideology? Of course, I don't say this viewing women as mere objects (物質視), but just from the standpoint of opening up the secrecy of sexual acts (性的行爲), I believe it would actually be better morally. In other words, I think it could save humanity from various sexually unnatural pathologies and sins arising from secrecy... If polygyny (多妻主義) is practically acknowledged, what makes polyandry (多夫主義) immoral? Think about it— what if our society, like primitive societies, had women holding the power of control (支配權)?..."
Mr. Ryang rambled on like this, seeking Chin'ha's agreement. At first, Chin'ha wondered, "Has this fellow gone mad? Or has studying too much affected his mind?" He was reluctant to engage seriously and just listened with a chuckle.
"Hyungnim, you must be rambling nonsense. Perhaps seeing the moral laxity in society these days has driven you to such extreme reactionary thoughts?" Chin'ha didn't try to delve deep into theory or refute him. But Mr. Ryang, seemingly taking offense, continued in his calm, soft tone,
"My dear fellow, do you think I'm speaking idly? I thought someone like you, enlightened with new knowledge, would agree with me to some extent, but you're merely a product of this societal environment, just another so-called modern intellectual..."
His words turned condescending. Still, Chin'ha thought Mr. Ryang might be testing him or perhaps suffering from some personal anguish. As Chin'ha tried to change the subject, Mr. Ryang, who had been sitting silently for a moment, quickly cut him off,
"Ah, by the way, I married Kwibun in the meantime—" he said, his face showing some embarrassment.
"Yes— I already heard about that..." Chin'ha started, trying to cut the conversation short, but feeling bad about Mr. Ryang's awkwardness, added,
"...What does it matter anyway? I thought it turned out well," he offered a meaningless smile. Mr. Ryang just nodded silently.
"Anyway, come visit sometime. We shouldn't be so distant!" Mr. Ryang smiled back, wrinkles forming on his dark face that seemed like only skin remained.
About a week later, one night, Chin'ha, genuinely curious, followed the directions and went to Mr. Ryang's house. This was his first visit since Mr. Ryang came to Seoul – or rather, since Mr. Ryang married Kwibun. That day, Mr. Ryang didn't talk much about wife-sharing, and they spent the time reminiscing about their days in Nonsan before parting. <48> Yet, Mr. Ryang, the advocate of wife-sharing, hadn't even called out Kwibun, the woman who had almost become engaged to Chin'ha and was now his wife, to meet Chin'ha. In truth, Chin'ha hadn't gone to see Kwibun, and it would have been rather distressing if Mr. Ryang had called her out to sit before Chin'ha. Nevertheless, it was amusing that Mr. Ryang, the proponent of wife-sharing, kept his wife hidden.
...A year later, today, Chin'ha came looking for this house where the Kwibun of old now lived, for the second time.

二
Mr. Ryang was not home. Chin'ha had called the school during the day and heard Mr. Ryang had been absent due to illness, so he assumed he would surely be home. But from inside, a woman's voice – presumably the wife's – called out,
"Who is it? He's not in."
Chin'ha hesitated slightly. If the lady of the house was alone, he thought there was no need to meet her this late at night.
"I heard he wasn't well; has he gone out somewhere?" he asked. There was no answer to that, but Mr. Ryang's wife came shuffling out in rubber shoes, her voice somewhat welcoming,
"Who is it? Isn't it Teacher Chang?" She stood facing him in the dark doorway, backlit by the light spilling from inside. Even in the dimness, Chin'ha recognized the Kwibun from several years ago.
"Yes— But how did you know?"
Chin'ha couldn't help but feel pleased to see this woman he had once taught. Now, she was, so to speak, his *Samo* (師母 - teacher's wife) and *Ŭihyŏngsu* (義兄嫂 - sworn older brother's wife), but in the past, they were teacher and student (師弟), and she was almost his wife-to-be. Chin'ha tried to remain composed, but couldn't help feeling unsettled.
"Please come in. Would I forget your voice, Teacher? I missed seeing you when you came last year too..." Kwibun smiled as if genuinely happy to see him and led the way.
"I'll be leaving shortly," Chin'ha said, yet he had no choice but to follow her inside.
"Why leave so soon? It's terribly lonely guarding the house alone these days."
Whether she was welcoming him so warmly because she was lonely or because he was her former teacher and the man she once dreamt would be her husband, Chin'ha didn't know. But hearing her say she was guarding the house alone made his heart sink further, and he lost the desire to step up onto the veranda.
"Where has the Master gone? How are you staying here alone? Is the maid not here either?" Chin'ha deliberately used more formal language to create distance between them while trying to appear indifferent with his questions. Indeed, the young maid he saw last year was nowhere to be seen.
"He sent Kannan back to the countryside home. As for the Master, I don't know where he went either; it's been almost a week already, and I have no idea where he is. At first, Kannan's mother said she was sending her daughter as a prospective daughter-in-law, so he left with her, saying he'd drop her off at the country house on his way, but there's been no word at all."
Kwibun expressed this worry, but she didn't seem overly distressed.
"If you wait, I'm sure he'll be back soon. I didn't know he had gone down to his family home. I happened to meet your older brother on the street yesterday and heard something rather strange, so I came hoping to hear the details from the Master, but what on earth is going on?"
"You met my older brother? Just here in Seoul?"
Kwibun now seemed to understand why Chin'ha had suddenly appeared, nodding slightly, but her expression remained blank. There was no sign of surprise, nor any hint of resentment towards her brother.
However, Kwibun lowered her head, thought for a moment, then suddenly looked frightened.
"What did my older brother say?" she asked.
"He didn't say much specifically..." Chin'ha trailed off.
In fact, Chin'ha had met Kwibun's younger brother, Sŏkt'ae, on a corner in Sadong the day before. Sŏkt'ae had told him he had cut ties with Mr. Ryang and his wife. Since it was on the street and Sŏkt'ae was about to leave, Chin'ha didn't have time to hear the detailed story. However, Sŏkt'ae had seemed extremely agitated, cursing Mr. Ryang as a shameless fellow (얌체 빠진 자식) and a disloyal scoundrel (의리부동한 놈), accusing him of luring and corrupting (타락) his sister, and grinding his teeth, threatening to sue him for fraud and embezzlement (사긔횡령) and bigamy (重婚罪). It had been four years since Mr. Ryang got involved with his sister, which led to Mr. Ryang being driven out of his hometown and coming to Seoul. Moreover, Sŏkt'ae had treated Mr. Ryang as his brother-in-law and sworn brother until now. So, it seemed ridiculous <49> for him to suddenly spew such unspeakable curses and talk about lawsuits. Chin'ha could guess that some other incident must have occurred in the meantime. But when Chin'ha pressed for details, Sŏkt'ae refused to answer.
"What's the point of talking about it? It only soils my mouth, so I won't. And if you knew, you'd only be heartbroken too. Anyway, seeing you now makes me feel even more ashamed. But friends, everything— I don't care anymore. Let's meet again someday if there's a chance..." he had said, then abruptly jumped onto a streetcar and fled.
"Anyway, please come up. I have things to ask you and things to discuss."
Kwibun, who had been standing absently on the stone step, now seemed to remember herself and urged him inside, leading the way onto the wooden floor (maru). Chin'ha felt cautious and awkward about sitting face-to-face in a room alone with a young woman in this quiet house. However, firmly refusing to enter seemed less natural, and he too had many questions, making it impossible to continue the conversation standing outside indefinitely. So, he decided to follow her in.
Taking the seat offered in the warmer part of the room near the ondol floor (아랫목), he looked around. The furnishings seemed much sparser than when he visited last year. He thought there had been a paulownia wood chest of drawers, but that was gone too, and more than half of the books that had been piled up seemed to have disappeared. Wicker trunks and wooden chests were placed haphazardly, and the folded bedding and clothes strewn about messily caught his eye. A young woman living alone was one thing, but putting aside the untidiness, the place somehow felt like they were moving out. Though he hadn't seen the dwellings of women who supposedly eat, sleep, and do nothing else day or night, perhaps occasionally fetching leftover rice, that was the sort of feeling the place evoked, and Chin'ha unconsciously frowned.
Kwibun sat down below the door, forming an 'L' shape with Chin'ha. Looking closely under the bright lamplight, she hadn't aged much since she was sixteen or seventeen, five or six years ago. That face, seemingly vacant and foolish in one corner, yet attractive to men, was still there. If anything, perhaps due to age (낫 갑슬 하느리고 - lit. paying the price of days), her face had filled out a bit, showing her proper age, but instead, the oily sheen on her skin and her sensual mouth seemed to have transformed even more into the type of a voluptuous or wanton woman (淫婦). ... (To be continued) <50>

**Summary**

Chin'ha visits the home of his former mentor and sworn brother, Ryang Sŏnsaeng, for the second time in a year, prompted by hearing Ryang is ill and encountering Kwibun's agitated brother who threatened legal action against Ryang. Ryang is absent, supposedly having taken the maid to the countryside a week prior with no word since. Chin'ha finds himself alone with Ryang's wife, Kwibun—his former student whom he nearly married. Kwibun invites him in, expressing loneliness. The house appears sparsely furnished and disordered. Chin'ha observes Kwibun's appearance, noting she retains her allure but seems changed, perhaps more sensual or wanton. The story ends here, hinting at underlying marital strife, financial trouble, and the complex history between the three main characters. From a historical perspective, the story reflects the intellectual ferment and changing social mores of 1920s colonial Korea, touching on radical ideas like "wife-sharing," the tension between traditional values and modern intellectualism, evolving gender dynamics, and hints of economic precarity. The complex relationships and the discussion of taboo subjects like bigamy and unconventional marital philosophies provide insight into the personal and social anxieties of the educated class during this period.

**Named Entities**

廉想涉	염상섭	Yŏm Sangsŏp
진하	진하	Chin'ha
량선생	양선생	Ryang Sŏnsaeng
서대문	서대문	Sŏdaemun
XX고등보통학교	XX고등보통학교	XX High School
서장 (西藏)	서장	Sŏjang (Tibet)
귀분	귀분	Kwibun
론산	논산	Nonsan (likely modern spelling)
석태	석태	Sŏkt'ae
사동	사동	Sadong
서울	서울	Seoul

**Glossary**

胡桃	호도	Walnut (Archaic/Hanja representation of 호두)
량선생	양선생	Mr. Ryang (Older spelling of 양)
가티	같이	Like, as (Older spelling)
뎐차	전차	Streetcar, tram (Older spelling)
뎜심	점심	Lunch (Older spelling)
하얏섯다	했었다	Did, had done (Older spelling/form of 하였다/했었다)
찻지 안코	찾지 않고	Without looking for/visiting (Older spelling of 찾지)
안핫다	않았다	Did not (Older spelling)
련해	연해	Continuously, one after another (Older spelling of 연하여)
공처주의 (共妻主義)	공처주의	Wife-sharing ideology
골생원님	골생원님	Stubborn traditional scholar (Derogatory nuance possible)
한학 (漢學)	한학	Chinese Classics/Studies
녀자	여자	Woman (Older spelling)
몰질시 (物質視)	물질시	Viewing as material objects
성뎍행위 (性的行爲)	성적행위	Sexual act (Older spelling of 적)
뎜	점	Point, aspect (Older spelling)
도리어	도리어	Rather, on the contrary
다처주의 (多妻主義)	다처주의	Polygyny (Having multiple wives)
다부주의 (多夫主義)	다부주의	Polyandry (Having multiple husbands)
지배권 (支配權)	지배권	Right of control, dominance
어드랴	얻으랴	Seeking to obtain/get (Older spelling/form of 얻으려고)
대ㅅ구	대꾸	Retort, reply back (Older spelling)
실혀서	싫어서	Disliking, being reluctant to (Older spelling)
듯고	듣고	Hearing, listening (Older spelling)
망녕	망령	Nonsense, senile talk
긔색	기색	Sign, indication, look (Older spelling)
되집어지이는 수작	뒤집어지는 수작	Condescending/insulting talk (Older spelling of 뒤집어지-)
낫빗	낯빛	Facial complexion, expression (Older spelling)
적조하야서	적조하여서	Being distant/estranged (Older spelling of -하여서)
왓으나	왔으나	Came, but (Older spelling)
압헤	앞에	In front of (Older spelling)
엇재든	어쨌든	Anyway, in any case (Older spelling)
웃으웟다	우스웠다	Was funny, amusing, ridiculous (Older spelling)
엄섯다	없었다	Was not present, did not exist (Older spelling)
무르댜니까	묻자니까	As (I) asked (Older spelling/dialect form of 묻자 하니까)
륜년	윤년/수년	Several years (Ambiguous, could mean leap year (윤년) but context suggests 'several years' (수년), possibly older form/typo)
니저 버렷겟습니까	잊어 버렸겠습니까	Would I have forgotten? (Older spelling of 잊어)
오서요	오세요	Please come (Older spelling/dialect form of 오세요)
뵈엇지요	뵈었지요	I saw/met (you), didn't I? (Older spelling of 뵈다)
압장	앞장	Leading the way
밧게	밖에	Outside of, other than (Older spelling)
직히기	지키기	Guarding, keeping (Older spelling)
한칭	한층	Even more, much more (Older spelling)
올러갈	올라갈	To go up (Older spelling)
게서요	계세요	Are (you) here? (Honorific, older spelling/dialect)
암니다만은	압니다마는/압니다만	I know, but... (Older spelling/form)
웨들	왜들	Why (plural subject implied) (Older spelling)
밋며누리	밑며느리	Prospective daughter-in-law (Not standard, possibly 밑- 'preliminary' + 며느리)
씨우는	싸우는/씌우는	Fighting/Causing (Here: causing worry - 애가 쓰이는) (Ambiguous spelling)
의절	의절	Cutting off relations
듯고	듣고	Hearing (Older spelling, repeated)
얌체 빠진 자식	얌체 빠진 자식	Shameless fellow (Insult)
의리부동한 놈	의리부동한 놈	Disloyal/unrighteous scoundrel (Insult)
유인 (誘引)	유인	Luring, seducing
타락 (墮落)	타락	Corruption, fall from grace
식혀	시켜	Making (someone) do (Causative, older spelling of 시키어)
사긔횡령 (詐欺橫領)	사기횡령	Fraud and embezzlement
중혼죄 (重婚罪)	중혼죄	Bigamy
부끄러우이	부끄러우니	Because (I am) ashamed (Older spelling/form of 부끄러우니까/부끄러워서)
엇잿든	어쨌든	Anyway (Older spelling, repeated)
활	할	To do (Older form of 할 것)
젹적한	적적한	Quiet, desolate, lonely (Older spelling)
안젓술	앉았을	Having sat (Older spelling/form of 앉았을)
알에ㅅ목	아랫목	Warmer part of an ondol floor (Older spelling)
돌려다 보니	둘러보니	Looking around (Older spelling/form of 둘러보니)
괴짝나부렁이	궤짝나부랭이	Old wooden chests and the like (나부랭이 adds a dismissive nuance)
느러 노힌	늘어놓인	Spread out, strewn about (Older spelling of 늘어놓인)
찝흐렷다	찌푸렸다	Frowned (Older spelling)
미테	밑에	Below, under (Older spelling)
뷔인 듯이	빈 듯이	As if empty (Older spelling of 빈)
낫 갑슬 하느리고	낮값을 하느라고	Paying the price of days (Idiom: showing one's age)
모혀서	모여서	Gathering, becoming fuller (face) (Older spelling)
념량	염량/연령	Age (Likely 염량(炎凉), fig. passage of time/age, or typo for 연령(年齡))
드러도 보엿스나	드러나 보였으나	Was revealed/showed, but (Older spelling)
번즐번즐한	번질번질한	Shiny, oily (Older spelling)
가타얏다	같았다	Was like, seemed (Older spelling)
음부 (淫婦)	음부	Lewd woman, wanton woman


---------------------------


잡지명	삼천리 제1호
발행일	1929년 06월 12일
기사제목	썩은 胡桃
필자	廉想涉
기사형태	소설

썩은 胡桃
						廉想涉
一
진하가 량선생 집에를 차저 간 것은 이번이 두번재 이엇다.
작년 여름에 뎐차 속에서 량선생을 3,4년 만에 만나서 뎜심을 가티 먹으랴 가자고 하야 서대문께서 나려서 어느 청료리ㅅ집에를 끌려간 일이 잇잇다. 량선생의 샌님틔는 언제 보나 한결 가타얏지만 그 바자윈 규모로서는 큰 턱이라 할만치 한 턱을 내인 것도 어렷슬 때부터의 의형뎨라는 교분을 생각한 것이요 또 한아는 얼마人 동안 진하의 학비를 조금씩 보조하야 주든 정리로 이엇든 것은 진하도 짐작 하얏섯다. 사실 진하로서는 녯날의 은인이요 의형님이든 량선생을 오래ㅅ동안 찻지 안코 량선생이 서울로 올러온 뒤에도 이때것 무신하게 지낸 것을 속으로는 미안히 생각하얏스나 엇전지 녜전가티 형님이라는 말이 거침업시 나오지는 안핫다. 그것은 고사하고 진하를 놀라게 한 것은 량선생의 입에서 련해 공처주의 (共妻主義)를 찬미하는 말이 나오든 것이엇다. 소학교선생님 때부터 골생원님으로 유명하얏고 그 후에도 자긔 싀골서 교원생활을 하면서 한학(漢學)연구에 골들하든 량선생 지금도 서울와서 XX고등보통학교의 한문선생으로 잇는 량선생이 공처주의를 찬미한다는 것은 엄청나게 놀라울 일이엇다. 3,4년 동안에 조선사회도 변하얏다면 변하얏겟지만 량선생가티 변한 사람은 차즈랴야 차즐 것 갓지 안타고 생각하얏다.
「지금도 서장(西藏)에는 실제로 공처제도가 실행하야 잇고 서양의 어느 교파에도 그런 풍속이 남앗다데만은 아마 인류의 원시뎍 상태가 그러하고 인류본연성(人類本然生)이 역시 그러하다고 나는 생각하네. 하여간 쉬운 례로 보아도 공산제도를 창하는 세상이면야 공처주의라고 배척할 리유야 업지 안흔가? 물론 녀자를 몰질시(物質視)하고 허는 말은 아닐세만은 위선 성뎍행위(性的行爲)의 비밀을 개방하는 뎜으로만도 도리어 도덕상 조흘 줄 아네. 즉 말하면 비밀로 말미암아 생기는 여러가지 성뎍 부자연한 병페와 죄악에서 인류를 구원할 수 잇스리라고 생각하네... 다처주의(多妻主義)가 실제에 시인되면야 다부주의(多夫主義)가 부도덕할께 무언가? 생각해 보게그려- 만일 우리의 사회를 원시사회와 가티 녀자가 지배권(支配權)을 가지고 잇다면 엇더하겟나?...
량선생은 이러한 소리를 하면서 진하의 동의를 어드랴 하얏다. 진하는 처음에는 「이 량반이 미첫나? 혹은 넘어 공부를 하야 정신에 이상이 생겻나?」하는 생각으로 별로 진담으로 대ㅅ구를 하기가 실혀서 허허허 웃기만 하면서 듯고 나서
「형님 망녕의 말씀이시구려. 요새ㅅ 사회의 풍긔물란한 것을 보시고 반동뎍으로 그러한 극단의 생각을 하시나 보구려?」하며 깁히 리론을 캐어서 반박을 하랴고도 아니 하얏더니 량선생은 도리어 역정을 내는 듯 하면서 여전히 착은 착은한 어됴로
「이 사람 내가 실업슨 소리를 하는 줄 아나? 자네가튼 신지식에 밝은 사람이면 얼마쯤은 내 말에 찬성할 줄 아랏더니 역시 이 사회 환경에서 자라난 그대로의 소위 현대뎍 인텔리겐챠에 불과 하이그려...」
하며 되집어지이는 수작이엇다. 그러나 진하는 그래도 량선생이 자긔를 시험해 보랴고 이러한 소리를 하거나 그러치 안흐면 량선생 자신에게 무슨 번민이 잇서서 저러는 것이 아닌가? 하는 생각을 하며 말끗을 돌려버리랴고 하니까 잠간 잠잣고 안젓든 량선생은 얼른 말을 막으며
「참 그런데 나는 그동안 귀분이하고 결혼을 하얏네-」하고 다소간 열적은 낫빗이엇다.
「네- 그건 벌서 들어 알지요...」하며 진하는 말을 끈흐랴다가 량선생이 겸연적어하는 것이 미안하야
「...아무러면 엇덧슴니까. 난 잘 되엇다고 생각하얏섯세요」하고 의미 업시 웃어 보엿다. 량선생은 잠잣고 고개만 끄덕끄덕 하야 보이다가
「하여간 한번 놀라오게. 넘어 그러케 적조하야서 되겟나!」하며 량선생도 껍질만 남은 듯한 깜안 두불에 주름을 잡혀보이며 마조 웃엇다.
