**Header Section:**
Magazine Title: 三千里 제2호
Publication Date: 1929년 09월 01일
Article Title: 名士의 멘탈테스트(其二), 朝鮮日報社長 申錫雨氏 (Mental Test of a Notable (Part 2), Chosŏn Ilbo President Mr. Sin Sŏgu)
Author: Not specified
Article Type: 소식 (News/Report)

**Body Text Translation:**
Mental Test of a Notable

The position of a newspaper president is both a silk cushion and a cushion of needles. Unless one is exceptionally broad-minded (豪放), bold (大胆), spirited (氣槪), skilled in diplomacy (外交), and also meticulous, it is a job one cannot hold even for a single day. Yet, Mr. Sin has already occupied this position for three years (3個星霜). His extraordinary ability lies herein. This exceptional quality, nurtured by the skilled diplomacy honed on the main stage (本舞臺) of Shanghai and the hundreds of thousands in assets inherited from his father (父傳의 수십만 財貨) serving as its two main wings (兩翼), is something that will be displayed even more greatly when the main stage opens up in the future. On top of that, his clear and sharp tone (淸冽한 語勢) and eloquence (宏辯) skilled in judgment (裁斷) have already made his name renowned as one of Chosŏn's famed orators (名議長).

While displaying his aristocratic features (貴族的 容모) day after day (련일) on the streets during the hottest days of summer (3伏의 街頭), rushing about east and west (東馳西驅), we found Mr. Sin at the Chosŏn Ilbo building in Kyŏnji-dong (堅志洞 朝鮮日報社屋) and, apologetically (罪悚한대로), placed him on the cutting board (도마 우에) of the "mental test."

"If there were something our Chosŏn (조션) could wish for from the world, what would it be?"

"What, wishing again? We ended up in this state by wishing day and night (밤낫)... ..."

His impassioned tone (격한 語勢), seeming both to scold and to reason, flowed for a moment. I was glad to have broken, through a surprise attack (奇襲), the principle (志操) he was said to have vowed upon entering the country from Shanghai: "No speaking (不語), no writing (不書)." His theory of rejecting external forces (他力排斥論) reached up to XXX... then abruptly stopped.

"Why do you stop?" "Because it's unnecessary." "Why is that?"

"If I cannot say all that I wish to say, what's the use of expressing such opinions? If I cannot write all that I wish to write, what's the use of picking up the brush? Isn't that so (그려치 안어요)?"

His words are true, yet not true. They are too dismissive of Chosŏn's reality (現實) to be true, and yet it is not a path an overly upright person of character (강직한 인격자) can take for them not to be true.

"Then please tell us just one word about the path we should take."

"There is only unified cooperation (一致協力)!"

Leaving behind this single phrase laden with implied meaning (言中有言의 千*一語), his mouth hardened once more. As suggested by his appearance like an immortal sage (仙風道骨格) and his large physique (巨驅), Mr. Sin does not well know life's hardships (艱難). That is to say, not having been born into the lowest stratum (최하층) of society, he grew up unfamiliar with life's grime (塵애); this is both a weak point (약점) and a strong point (강점). He always seems to possess the vigor (패기) and strategic wisdom (智略) befitting a political party leader (政黨受領式). Excuse the impoliteness, but if compared to an animal (동물), perhaps he could be called half-tiger, half-something else formidable, emerging from the forest (出林하는 半虎半態). - Today's score (今日採点): 8 points (8点), a pass (及第) - <25>

**Summary**

This 1929 article profiles Sin Sŏgu (申錫雨), the president of the Chosŏn Ilbo newspaper. The interviewer portrays him as a capable and imposing figure, whose diplomatic skills were honed in Shanghai and who benefits from inherited wealth. Sin Sŏgu expresses frustration with the inability to speak or write freely, advocating for self-reliance and unified cooperation (一致協力) as the path forward for Korea (Chosŏn), while being reluctant to elaborate further due to constraints. The article notes his aristocratic background may leave him detached from common hardships but also contributes to his strong leadership presence, comparing him to a formidable creature emerging from the woods. For historians, the article offers insights into the mindset of a prominent Korean elite figure under Japanese colonialism, particularly his guarded nationalism, emphasis on self-strengthening (他力排斥論), frustration with censorship, and the complex interplay between privilege and leadership perceived by contemporaries. The mention of Shanghai and the censored portion regarding his "theory of rejecting external forces" are also points of interest regarding transnational connections and political limitations.

**Named Entities**

朝鮮日報	조선일보	Chosŏn Ilbo
申錫雨	신석우	Sin Sŏgu
上海	상해	Shanghai
朝鮮	조선	Chosŏn
堅志洞	견지동	Kyŏnji-dong

**Glossary**

名士	명사	Notable person, celebrity
멘탈테스트	멘탈테스트	Mental test (loanword)
社長	사장	Company president
豪放	호방	Generous, broad-minded, magnanimous
大胆	대담	Bold, daring
氣槪	기개	Spirit, mettle, backbone
長하며	장하며	Being skilled at (older verb form)
치밀하지	치밀하지	Not meticulous (older form)
하로라도	하로라도	Even for one day (older spelling of 하루라도)
星霜	성상	Years, time (lit. stars and frost)
在位하엿다	재위하였다	Was in the position/reigned (older conjugation)
비범	비범	Extraordinary, uncommon
本舞臺	본무대	Main stage, center stage (here referring to Shanghai)
能爛한	능란한	Skilled, proficient (older spelling of 능란한)
外交	외교	Diplomacy
父傳	부전	Inherited from one's father
財貨	재화	Wealth, goods, assets
兩翼	양익	Two wings
압흐로	앞으로	In the future (older spelling)
발휘될	발휘될	Will be displayed, demonstrated
淸冽한	청렬한	Clear and sharp/pure
語勢	어세	Tone or force of speech
裁斷	재단	Judgment, decision
宏辯	홍변	Eloquence, great oratorical skill
名議長	명의장	Famous chairman or speaker
벌서	벌써	Already (older spelling)
일홈이 놉다	이름이 높다	Name is high, i.e., famous (older spelling/form)
귀족적	귀족적	Aristocratic
용모	용모	Appearance, features
3伏	삼복	The three hottest days of summer (Sambok)
街頭	가두	Street corner, streets
련일	연일	Day after day, consecutively (older spelling)
東馳西驅	동치서구	Rushing about east and west; very busy
찻고	찾고	Finding (older spelling)
罪悚한대로	죄송한 대로	Apologetically, feeling sorry but doing it anyway
도마 우에	도마 위에	On the cutting board (older spelling of 위에)
올러노타	올려놓다	To place upon (older spelling/form)
조션	조선	Joseon, Korea (older spelling)
엇든 것이겟슴니까	어떤 것이겠습니까	What kind of thing would it be? (older spelling/grammar)
발해	바라(다)	Wishing, hoping (older verb form)
밤낫	밤낮	Night and day (older spelling)
꾸젓는 듯	꾸짖는 듯	As if scolding (older spelling)
타일느는 듯	타일르는 듯	As if reasoning with/persuading (older spelling)
격한	격한	Fierce, intense, passionate
호른다	흐른다	Flows (older spelling)
入國	입국	Entering a country
不語	불어	Not speaking
不書	불서	Not writing
맹세하엿다든	맹세하였다던	Which one had vowed (older conjugation)
志操	지조	Principle, integrity, fidelity
奇襲	기습	Surprise attack
깨친 것을	깨친 것을	That (I) broke (it) (older verb form)
깃버하잇다	기뻐하였다	Was glad, rejoiced (older spelling/conjugation)
他力排斥論	타력배척론	Theory/argument for rejecting external forces/help
미치다가	미치다가	Reaching up to, extending to
문득	문득	Suddenly, unexpectedly
엇재	어째	Why (older spelling)
십흔	싶은	Wanting to (older spelling)
못할 바에	못할 바에야	If one cannot do it fully/properly
그까짓	그까짓	Such trivial, insignificant
무얼하며	무얼하며	What is the use of doing X? (rhetorical)
못쓸 바에	못 쓸 바에야	If one cannot write it fully/properly
붓들면	붓 들면	If one holds a brush (i.e., writes)
무엇하오	무엇하오	What's the use?, What good is it? (older form)
그려치 안어요	그렇지 않아요	Isn't that so? (older spelling/form)
진리면서	진리이면서	While being the truth
現實	현실	Reality, actuality
무시하엿고	무시하였고	Ignored (older conjugation)
강직한	강직한	Upright, uncompromising, straightforward
인격자	인격자	Person of character
취할	취할	To take, adopt (a path, stance)
나갈 길	나아갈 길	The way forward, the path to take
한마듸만	한마디만	Just one word (older spelling)
말슴하여	말씀하여	Speak (honorific, older spelling)
一致協力	일치협력	Unified cooperation, concerted effort
言中有言	언중유언	Words within words, implied meaning
