Magazine Title: 삼천리 제5호
Publication Date: 1930년 04월 01일
Article Title: ◇支社設置社告 (Company Announcement Regarding Branch Establishment)
Author: None specified
Article Type: 사고·편집후기 (Announcement/Editorial Note)

◇Company Announcement Regarding Branch Establishment
○
One, Name: Chŏngju Branch (定州支社)
Two, Location: Chŏngju-ŭp, North P'yŏngan Province (平北定州邑)
Three, Responsible Person: Kim Tohyŏn (金道賢)
○
One, Hamyang Branch (咸陽支社)
Two, Hamyang-ŭp, South Kyŏngsang Province (慶南咸陽邑)
Three, Im Ok-tol (林玉乭)
○
One, Yongjŏng Branch (龍井支社)
Two, District 4, Block 27, Sinjang, Yongjŏng, North Kando (北間島龍井新場四區二十七統五)
Three, Kim Hyŏng-nyŏ (金亨麗)
○
One, Wando Branch (莞島支社)
Two, Within Wando-ŭp, South Chŏlla Province (全南莞島邑內)
Three, Paek T'ae-yun (白泰胤)
○
One, T'ongch'ŏn Branch (通川支社)
Two, Sŏ-ri, Within T'ongch'ŏn-ŭp, Kangwŏn Province (江原道通川邑內西里)
Three, Ch'oe Hak-un (崔鶴雲)
○
One, Kaesŏng Branch (開城支社)
Two, Sŏngmun Kwan, Namdaemun-t'ong, Kaesŏng (開城南大門通誠文舘)
Three, U Sang-gŭn (禹相瑾)＜26＞
○
One, Chinju Branch (晋州支社)
Two, Sungnam Sŏgwan Branch Store, Myŏnjŏng, Chinju-myŏn, South Kyŏngsang Province (慶南晋州面面町, 崧南書舘支店)
Three, Yi Po-yŏng (李普永)
○
One, Yŏngdong Branch (永同支社)
Two, Pon-chō, Yŏngdong, Kyŏngbu Line (京釜線永同本町)
Three, Kim Tong-sin (金東信)
○
One, Ch'ŏlsan Branch (鐵山支社)
Two, 123 Chungbu-dong, San, Ch'ŏlsan, North P'yŏngan Province (平北鐵山山中部洞一二三)
Three, Kim Wŏn-sik (金元植)
○
One, Pusan Branch (釜山支社)
Two, Ch'ŏnmyŏng Tang, 582 Ch'oryang-chō, Pusan Prefecture (釜山府草梁町五八二, 天命堂)
Three, Ko T'ae-jun (高泰俊)
○
One, Pyŏngyŏng Branch (兵營支社)
Two, Pyŏngyŏng, Ulsan County, South Kyŏngsang Province (慶南蔚山郡兵營)
Three, Song Wŏn-sŏk (宋原錫)
○
One, Chinnamp'o Branch (鎭南浦支社)
Two, Within Chinnamp'o-ŭp (鎭南浦邑內)
Three, Han Yong-su (韓龍水)
○
One, Kaesŏng Branch (開城支社)
Two, 74 Pukpon-chō, Kaesŏng (開城北本町七四)
Three, Yi Ch'ang-yŏng (李昌永)
○
One, Haeju Branch (海州支社)
Two, Chongno, Haeju-ŭp, Hwanghae Province (黃海道海州邑宗路)
Three, O In-myŏng (吳仁明)＜27＞

**Summary**

This document is a company announcement (社告) from the magazine *Samch'ŏlli* (삼천리), dated April 1, 1930, listing the establishment of fourteen new branch offices (支社). For each branch, it provides the name, location (address), and the name of the responsible person. The branches are geographically dispersed across the Korean peninsula, including locations in North P'yŏngan, South Kyŏngsang, North Kando (Manchuria), South Chŏlla, Kangwŏn, Kaesŏng, North Ch'ungch'ŏng (implied by Yŏngdong), Pusan, and Hwanghae provinces. Historians might find this list valuable as it maps the expanding distribution network and influence of a major Korean cultural magazine during the colonial period. The inclusion of a branch in North Kando (Yongjŏng) highlights the magazine's reach into Korean communities outside the peninsula, and the specific addresses provide details about local infrastructure and businesses (like bookstores Sŏngmun Kwan and Sungnam Sŏgwan, and Ch'ŏnmyŏng Tang) involved in distribution. The list also documents the names of individuals involved in cultural dissemination at a local level across Korea and Manchuria.

**Named Entities**

定州支社	정주지사	Chŏngju Branch
平北定州邑	평북정주읍	Chŏngju-ŭp, North P'yŏngan Province
金道賢	김도현	Kim Tohyŏn
咸陽支社	함양지사	Hamyang Branch
慶南咸陽邑	경남함양읍	Hamyang-ŭp, South Kyŏngsang Province
林玉乭	임옥돌	Im Ok-tol
龍井支社	용정지사	Yongjŏng Branch
北間島龍井新場四區二十七統五	북간도용정신장사구이십칠통오	District 4, Block 27, Sinjang, Yongjŏng, North Kando
金亨麗	김형려	Kim Hyŏng-nyŏ
莞島支社	완도지사	Wando Branch
全南莞島邑內	전남완도읍내	Within Wando-ŭp, South Chŏlla Province
白泰胤	백태윤	Paek T'ae-yun
通川支社	통천지사	T'ongch'ŏn Branch
江原道通川邑內西里	강원도통천읍내서리	Sŏ-ri, Within T'ongch'ŏn-ŭp, Kangwŏn Province
崔鶴雲	최학운	Ch'oe Hak-un
開城支社	개성지사	Kaesŏng Branch
開城南大門通誠文舘	개성남대문통성문관	Sŏngmun Kwan, Namdaemun-t'ong, Kaesŏng
禹相瑾	우상근	U Sang-gŭn
晋州支社	진주지사	Chinju Branch
慶南晋州面面町	경남진주면면정	Myŏnjŏng, Chinju-myŏn, South Kyŏngsang Province
崧南書舘支店	숭남서관지점	Sungnam Sŏgwan Branch Store
李普永	이보영	Yi Po-yŏng
永同支社	영동지사	Yŏngdong Branch
京釜線永同本町	경부선영동본정	Pon-chō, Yŏngdong, Kyŏngbu Line
金東信	김동신	Kim Tong-sin
鐵山支社	철산지사	Ch'ŏlsan Branch
平北鐵山山中部洞一二三	평북철산산중부동일이삼	123 Chungbu-dong, San, Ch'ŏlsan, North P'yŏngan Province
金元植	김원식	Kim Wŏn-sik
釜山支社	부산지사	Pusan Branch
釜山府草梁町五八二	부산부초량정오팔이	582 Ch'oryang-chō, Pusan Prefecture
天命堂	천명당	Ch'ŏnmyŏng Tang
高泰俊	고태준	Ko T'ae-jun
兵營支社	병영지사	Pyŏngyŏng Branch
慶南蔚山郡兵營	경남울산군병영	Pyŏngyŏng, Ulsan County, South Kyŏngsang Province
宋原錫	송원석	Song Wŏn-sŏk
鎭南浦支社	진남포지사	Chinnamp'o Branch
鎭南浦邑內	진남포읍내	Within Chinnamp'o-ŭp
韓龍水	한용수	Han Yong-su
開城北本町七四	개성북본정칠사	74 Pukpon-chō, Kaesŏng
李昌永	이창영	Yi Ch'ang-yŏng
海州支社	해주지사	Haeju Branch
黃海道海州邑宗路	황해도해주읍종로	Chongno, Haeju-ŭp, Hwanghae Province
吳仁明	오인명	O In-myŏng
平北	평북	North P'yŏngan Province
慶南	경남	South Kyŏngsang Province
北間島	북간도	North Kando (Region in Manchuria)
龍井	용정	Yongjŏng (City in North Kando/Jiandao)
全南	전남	South Chŏlla Province
江原道	강원도	Kangwŏn Province
開城	개성	Kaesŏng
晋州	진주	Chinju
京釜線	경부선	Kyŏngbu Line (Seoul-Pusan Railway Line)
永同	영동	Yŏngdong
釜山府	부산부	Pusan Prefecture
蔚山郡	울산군	Ulsan County
鎭南浦	진남포	Chinnamp'o
黃海道	황해도	Hwanghae Province
海州	해주	Haeju

**Glossary**

支社	지사	Branch office
設置	설치	Establishment, installation
社告	사고	Company announcement, public notice from a company
名稱	명칭	Name, designation
位置	위치	Location, position
邑	읍	Town (administrative unit, often translated as 'eup')
責任者	책임자	Person in charge, responsible person
北間島	북간도	North Kando (Pukkan-do), a region in Manchuria with a significant Korean population during this period.
邑內	읍내	Within the town
里	리	Village (administrative unit, often translated as 'ri')
面	면	Township (administrative unit, often translated as 'myeon')
