**Header Section:**
Magazine Title: 삼천리 제6호
Publication Date: 1930년 05월 01일
Article Title: 伯林郊外의 裸體國訪問 (A Visit to the Nudist Land in the Suburbs of Berlin)
Author: 巴里新聞紀者 고와이에 手記 (Notes of Paris Newspaper Reporter Kowai-e)
Article Type: 잡저 (Miscellaneous Writing/Essay)

**Body Text Translation:**
A Visit to the Nudist Land in the Suburbs of Berlin
						Notes of Paris Newspaper Reporter Kowai-e

Men and women, old and young, are all naked

I have come to a country where only stark naked people live. In this country, for all twenty-four hours of the day, whether male or female, old or young, virgin maidens or bachelors, everyone goes about completely bare without a single thread on their bodies. They calmly come and go on main streets like, say, Chongno Intersection in Seoul, mingle together to bathe, dance, play sports like tennis or football, and also sit together at one table to eat meals.

I thought this was something one could only see in the Garden of Adam and Eve from the old Bible, but who would have known? It exists in this world where you and I live, and what's more, it's only about a twenty-hour journey from Paris. Truly, it must be called a mystery. It must also be called a marvel of modern times. So, are you asking where such a dreamlike village is located? It is right in the suburbs of the German capital, Berlin. Now, I will reveal this country of mystery in detail, exactly as I saw it directly. <42>

The Benefits of Nude Life

You have likely seen, perhaps in photographs, the scenery of Switzerland (瑞西), which has many lakes (湖水). The place in question that I sought out in the suburbs of Berlin is indeed a country of nudity, a villa-like building with pointed roofs, arched windows, stone steps where ivy vines haphazardly climb, situated on a mountainside where a clear lake, like a Swiss scene, stretches far into the distance. My heart pounding, I climbed the stone steps and, as visitors customarily do, jangled the bell hanging at the gate a couple of times. Immediately, the door opened inward with a smile, and a flower-like maiden, looking about eighteen or nineteen years old, completely nude—truly, a young woman of marriageable age without a single thread even in what might be considered the most private places—smiled brightly and asked the purpose of my visit. While startled, I requested to meet Professor "Yugo-," the leader of this nudism movement. Indeed, shortly after, the professor who appeared in the reception room (應接室) was also completely nude. The professor spoke to me about the nudist movement and its history as follows:

First - Physical Education (體育): This began in 1855 when Mr. "Likiri" (리끼리氏) of Austria (奧太利) advocated <43> and put into practice the idea: "Expose every mechanism (機構) of the human body thoroughly to the sun's rays. Then, human life will be healthy."

Second - The Youth Revolution Movement of the "Steguritz" Faction (스테구릿츠派) in 1877, which urged people to cast off all prejudices and preconceived notions of shame and live life deeply and joyfully.

Third - The movement of artists aiming to realize the balanced physique (均齊된 육체) seen in painting (繪畵) or sculpture (彫刻).

Fourth - The movement for a return to German instinct (獨逸式本能), as advocated by Pastor "Waideman" (와이데맨氏), stating that nudity is pure (淸淨) like the Bible (聖書). <44>

Their Dazzling Life

Based on all these four reasons (理由), approximately 160,000 nudists, some from a medical standpoint, some from a religious (信仰上) standpoint, are continuing a pure nude life (裸體生活), completely stark naked within certain special areas. From what I saw, a nude factory worker (工場勞動者) and a nude bank teller (銀行出納係) were playing tennis in broad daylight (白晝) where everyone could see (萬人所視). Also, a nude telephone operator and a nude Berlin businessman were playing with a boat floated on the lakeside. And a nude pastor (牧師) and a naked maiden were offering prayers (긔도) together in church. Truly, wherever one went, there were only the pink, lustrous bodies of men and women, old and young—what an astonishing sight!

Hearing this much, some of you might already be interpreting matters of public morals (風紀上), such as romance (戀愛) <44> and sexual life (性生活), in a rather erotic way, but according to what the professor said earlier, there are absolutely no such scandals (醜聞). Rather, because everyone is nude, various sexual imaginations disappear, and they say they feel nothing special among themselves. It's because people deliberately wear clothes and create secret places that various embarrassments and excitements arise; if everything is completely exposed (아모 밋두리 코두리 개방하여 노흐면), only pure thoughts arise, and things like rape (強姦) or deviant sexual desires (變態性慾) do not occur even in the slightest, he claims. Moreover, because the entire body is exposed to sunlight (햇빗), physical development (發達) improves, and people become remarkably healthy, he says. <45>

Spreading Gradually to Various Countries Too

I heard that because this movement has many benefits in various aspects, the nudist movement is gradually spreading. Already, nudist villages (裸體村) are reportedly appearing here and there in various places in Denmark (丁抹) and Finland (芬蘭), and accordingly, a new sexual morality (性道德) is being newly constructed (建節). How about it? Youths of Chosŏn (朝鮮) in the East of Asia (亞細亞), perhaps you should undertake a movement regarding this... <45>
<42-45>

**Summary**

This 1930 article from the Korean magazine *Samch'ŏlli* reports on a visit by a "Paris newspaper reporter" to a nudist colony near Berlin. The reporter describes the shock and wonder of seeing men, women, and children living completely naked, engaging in everyday activities like sports, bathing, and eating together. The article outlines the justifications for nudism presented by a leader named Professor "Yugo-," citing health benefits (sun exposure), liberation from prudishness, aesthetic ideals (classical physique), and religious purity (return to nature/instinct). The reporter notes the absence of sexual scandal, arguing nudity reduces erotic imagination, and mentions the movement's spread to Denmark and Finland. The piece concludes with a provocative suggestion for Korean youth to consider such a movement.

For historians of colonial Korea, this article is interesting as it showcases the introduction and discussion of radical Western social movements and ideas (nudism) during a period of significant cultural change. It reflects contemporary fascination with European modernity, perceived liberalism, and alternative lifestyles. The reporter's tone—a mix of astonishment and admiration—and the final call to action for Korean youth highlight debates about tradition versus modernity, bodily norms, and social reform circulating among Korean intellectuals at the time. It offers a glimpse into how Koreans were processing and selectively appropriating foreign concepts, framing them in terms of health, liberation, and progress, even within the constraints of colonial society.

**Named Entities**

伯林	백림	Pŏllim (Berlin)
巴里	파리	P'ari (Paris)
獨逸	독일	Togil (Germany)
瑞西	서서	Sŏsŏ (Switzerland - older term)
奧太利	오태리	Ot'aeri (Austria - older term)
스테구릿츠派	스테구릿츠 파	Sŭt'egurich'ŭ P'a (Steguritz Faction - speculative)
리끼리氏	리끼리 씨	Rikkiri Ssi (Mr. Likiri - speculative)
와이데맨氏	와이데맨 씨	Waidemaen Ssi (Mr. Waideman - speculative)
유고- 교수	유고- 교수	Yugo- Kyosu (Professor Yugo- - likely Hugo)
아담	아담	Adam
이부	이부	Ibu (Eve)
丁抹	정말	Chŏngmal (Denmark - older term)
芬蘭	분란	Pullan (Finland - older term)
亞細亞	아세아	Asea (Asia)
朝鮮	조선	Chosŏn (Korea)
고와이에	고와이에	Kowai-e (Reporter's name - likely foreign)

**Glossary**

버서	벗어	Taking off (clothes); naked (older spelling/form of 벗어)
왓슴니다	왔습니다	Came; Have come (older polite verb ending)
하로	하루	One day (older spelling)
녀자	여자	Woman (older spelling)
모다	모두	All, entirely (older form)
아조	아주	Very, completely (older spelling)
빨가숭이	발가숭이	Stark naked person (slight variation in spelling)
-가튼	-같은	Like, such as (older spelling)
석기어	섞이어/섞여	Mixed together (older spelling/form of 섞여)
딴스	댄스	Dance (loanword, older transcription)
풋뽈	풋볼	Football (loanword, older transcription)
마조 안저서	마주 앉아서	Sitting facing each other (older spelling/form of 마주 앉아서)
먹슴니다	먹습니다	Eat (older polite verb ending)
녯날	옛날	Old days, ancient times (older spelling)
알엇더니	알았더니	I thought/knew, but... (older verb ending)
엇지	어찌	How, why (older spelling)
알엇스리까	알았으리까	How could one have known? (older rhetorical question form)
세샹	세상	World (older spelling)
밧게	밖에	Only; outside of (older spelling)
잇슴니다	있습니다	There is/are; exists (older polite verb ending)
잇사외다	있사외다/있습니다	There is/are; exists (archaic polite verb ending)
속속드리	속속들이	Thoroughly, in detail (older spelling)
캐여	캐어	Digging out; uncovering (older spelling/form of 캐어)
보이겟슴니다	보이겠습니다	Will show (older polite future tense ending)
만흔	많은	Many, much (older spelling)
서서	스위스	Switzerland (older Hanja-based name 瑞西)
보섯슬 듯함니다	보셨을 듯합니다	It seems you have seen (older polite conjectural ending)
차즌	찾은	Found; sought out (older spelling/form of 찾은)
처소	처소	Place, location (Hanja: 處所)
가르노여	가로놓여	Lying across; stretched out horizontally (older spelling/form of 가로놓여)
산별애	산비탈에	On the mountainside/slope (dialectal/older form)
집웅	지붕	Roof (older spelling)
버더오름	뻗어오른	Stretched up; climbed up (vine) (older spelling/form of 뻗어오른)
돌충계	돌층계	Stone steps (older spelling)
라체	나체	Nudity; naked body (Hanja: 裸體)
문깐	문간	Gate area; entrance (older spelling)
달닌	달린	Hanging; attached (older spelling/form of 달린)
저섯슴니다	저었습니다	Stirred; rang (a bell) (older spelling/form of 저었습니다)
그랫드니	그랬더니	Upon doing so; Then (older spelling/form of 그랬더니)
열니며	열리며	Opening (older spelling/form of 열리며)
꼿가튼	꽃같은	Flower-like (older spelling)
전라체	전나체	Completely nude (Hanja: 全裸體)
우스며	웃으며	Smiling; Laughing (older spelling/form of 웃으며)
뭇슴니다	묻습니다	Asks (older polite verb ending)
놀나면서	놀라면서	While being surprised (older spelling/form of 놀라면서)
맛나기로	만나기로	To meet (older spelling/form of 만나기로)
하엿슴니다	하였습니다	Did; Have done (older polite verb ending)
조곰	조금	A little, slightly (older spelling)
잇다가	있다가	After a while; later (older spelling)
력사	역사	History (Hanja: 歷史 - older pronunciation/spelling)
아래와 가치	아래와 같이	As follows (older spelling/form of 같이)
말말하엿슴니다	말하였습니다	Spoke; Said (Likely typo for 말하였습니다; older ending)
기구	기구	Mechanism; structure; apparatus (Hanja: 機構)
쏘이게하라	쬐게 하라	Make it be exposed to sun (older spelling/form of 쬐다)
업시	없이	Without (older spelling)
고창	고창	Advocacy; loudly proclaiming (Hanja: 高唱)
선입주인	선입견의	Preconceived; prejudiced (based on 先入主)
깁부게	기쁘게	Happily, joyfully (older spelling)
사라가자	살아가자	Let's live (older spelling/form of 살아가자)
증화	회화	Painting (Hanja: 繪畫 - older reading/usage)
균제된	균형 잡힌	Balanced; symmetrical (Hanja: 均齊된)
제창	제창	Proposal; advocacy (Hanja: 提唱)
청정	청정	Pure, clean (Hanja: 淸淨)
복귀	복귀	Return; reversion (Hanja: 復歸)
리유	이유	Reason (older pronunciation/spelling of 이유)
신앙장	신앙상	Religious; from a faith perspective (信仰上)
견지	견지	Standpoint; viewpoint (Hanja: 見地)
엇든	어떤	Some; certain (older spelling)
한구역	한 구역	One area/zone (Hanja: 一區域)
행활	생활	Life; living (older pronunciation/spelling of 생활)
로동자	노동자	Laborer, worker (older pronunciation/spelling of 노동자)
은행출납계	은행 출납계	Bank teller (Hanja: 銀行出納係)
백주	백주	Broad daylight (Hanja: 白晝)
만인소시	만인이 보는 앞에서	In front of everyone; where all people watch (Hanja-based phrase: 萬人所視)
호수까	호숫가	Lakeside (older spelling)
띄여노코	띄워놓고	Having floated (a boat) (older spelling/form of 띄워놓고)
