Magazine Title: 삼천리 제7호
Publication Date: 1930년 07월 01일
Article Title: 近世敎育의 開拓者 李鍾浩先生 (Yi Chong-ho Sŏnsaeng, Pioneer of Modern Education)
Author: 金東煥 (Kim Tong-hwan)
Article Type: 회고·수기 (Reminiscence/Memoir)

Yi Chong-ho Sŏnsaeng, Pioneer of Modern Education
Kim Tong-hwan

1
Teacher Yi Chong-ho (李鍾浩) is the person who, already 25 or 26 years ago, founded the comprehensive educational institution comprising Posŏng College (普成專門), Posŏng Middle School (普成中學), and Posŏng Elementary School (普成小學), which were called modern schools for the first time in Chosŏn. He also established the social enlightenment institution Posŏnggwan (普成舘), inviting emerging scholars of the time such as Hyŏn Ch'ae (玄采) to publish monthly magazines like *Yare* (夜雷) and *Pŏpchŏng Hakke* (法政學界). On the other hand, he had textbooks such as *Tongguk Saryak* (東國史略) and *Yunyon Simdok* (幼年心讀), used in elementary, middle, and high schools nationwide, compiled, printed, and distributed. Based at the Sŏbuk Hakhoe (西北學會), he was busy with the movement for national development and progress (開國進取運動). Meanwhile, continuing the aspirations and work of his father and grandfather, he unsparingly threw in a huge fortune of hundreds of thousands of won to establish numerous schools in various parts of the peninsula, striving painstakingly to nurture the second generation of citizens.

Looking back from today, the establishment of several educational institutions might not seem so astonishing. However, pioneering this direction in Chosŏn society during the era of 25 or 26 years ago, which was like the Middle Ages, is truly an indelible record in history. Just as countless unnamed small stones lie beneath and support a large, brilliantly colored monument that rises high, the path of any shining society built is paved underneath with the precious blood of nameless pioneers who exhausted their blood and bones. When we think about having even this much culture today, how much painstaking effort (心血) of foresightful predecessors must have been poured beneath it? Teacher Yi Chong-ho was an "immortal pillar of sacrifice (人柱)" buried underground for the sake of erecting the monument that is us, and also the nameless weeds and nameless earth and stones themselves.

Even if it is with a pen that cannot discourse freely, recording a part of the work of Teacher Yi Chong-ho, the great benefactor of modern education, will likely not be a meaningless effort in this regard.

Teacher Yi was born 44 years ago from now in Ha-ga-myŏn (下加面), Myŏngch'ŏn-gun (明川郡), Hamgyŏng North Province (咸鏡北道), with the modern-era eccentric Yi Yong-ik (李容翊) as his grandfather and Mr. Yi (李0氏), who later met an unnatural end in Siberia (西伯利亞), as his father. After studying Chinese Classics (漢學) in his youth, he came to Seoul (上京) and associated with Yi Kap (李甲), Yi Tong-hwi (李東輝), and others who would later be sworn allies in the Sŏbuk Hakhoe.

Then, in the winter of the Kyemyo year (癸卯年, 1903), as the situation in East Asia became urgent, Japan and Russia finally started a war centering on the peninsula. In the spring of the following Kapchin year (甲辰年, 1904), his grandfather Yi Yong-ik, who was then the Minister of Finance (度支部大臣), was for some reason suddenly abducted onto a Japanese warship (日軍艦) and taken straight to Tokyo (東京), only returning in the winter of that year after the war ended.

The result of the war finally awakened the peninsula from its deluded dream. Therefore, people with purpose initiated a call to "Go among the masses!" and new ideas of national development and progress began to surge like waves everywhere. Among these, one of the bravest groups of workers was Teacher Yi Chong-ho. Teacher Yi, like others, pledged to devote his life to the country and society and resolved to abandon his wife, children, and vast private fortune in a single morning. At that time, believing that the only way to rectify the declining trend was through the enlightenment of the people's wisdom (民智), he and his comrades focused their main efforts on establishing schools above all else. Finally, in the spring of the Ŭlsa year (乙巳年, 1905), Posŏng College,<25> which taught politics, economics, law, and modern science, was constructed on the site of the Foreign Language School (外國語學校) in Chŏn-dong (磚洞), which is now the affiliated school building of the Normal School in Susong-dong (壽松洞). Subsequently, Posŏng Elementary School was opened at the site of the Seminary (神學校) in Sae-mun-an (새문안) and at Ch'ŏnyŏnjŏng (天然亭) outside Sae-mun-bat (새문밧), striking the first chord for nurturing talented youth. And the following year, Posŏng Middle School was also founded, thus the model of university, middle school, and elementary school can be said to have been completely cast from Teacher Yi's hands.

Prior to this, the outcome of Japan's victory in the Russo-Japanese War decided the fate of Yi Yong-ik, a leading figure of the pro-Russian faction (親露派). He entrusted his affairs to his descendants and acquaintances and abruptly departed for Russia (路西亞).

From this point, Teacher Yi Chong-ho, though merely 18 years old, had a tragic resolve in his heart. Lying in a warm place one day, without a moment's rest, he truly traveled far and wide (南船北馬) with his comrades, dedicating all his energy to establishing schools. To count just one or two examples, first, together with Mr. Chŏng An-rip (鄭安立), who is now in North Manchuria (北滿), he went to Ch'ungju (忠州) in Ch'ungch'ŏng Province (忠淸道) and established a Posŏng Middle School there. Then, he went to various places like Kilchu (吉州) and Myŏngch'ŏn (明川) in Hamgyŏng North Province and jointly funded the creation of Posŏng Elementary Schools with local influential figures (有志). Thus, by around the Kyŏngsul year (庚戌年, 1910), the number of middle and elementary schools established by his hand exceeded ten, and his investment amounted to no less than 300,000 to 400,000 wŏn.

Was that all? Even when the tide turned against him and he had to flee abroad for his life, wandering through Beijing (北京), Qingdao (靑島), Shanghai (上海), and Vladivostok (海參威), wherever his footsteps reached, he would find even a few small rooms (數間斗屋) to establish village schools (書堂) and schools before moving on.

2
So, what and how did he intend to educate then? What kind of individuals did Teacher Yi and his comrades aim to nurture after building schoolhouses and recruiting students? Did they intend to create gentlemen with developed intellect and virtue like in England (英吉利)? Did they intend to create talented individuals for social interaction like in France (佛蘭西)? No, no. The purpose of their education was just one thing. It was to produce politically useful individuals for that era, that is, politicians. They devoted all their efforts to producing, as quickly as possible, numerous workers who could directly guide the lives of the social masses. Naturally, they emphasized "history" education, teaching the traces of rise and fall throughout history to make their blood boil. They also taught military-style drills (兵式操練), including carrying rifles and shooting, almost daily. Given the circumstances of the times, one can sufficiently glimpse the anxious and tense psychology of the educators back then.

Thus, in all 13 provinces, motivated individuals (有志者) holding the torch of enlightenment rose up like bees, and every nook and cranny was filled with groups of young students carrying book bags, setting out to learn modern science.

Teacher Yi, who persuaded and encouraged the descendants of stubborn aristocratic families (士大夫), who disliked cropped hair (斷髮) and considered school like an enemy's mansion (怨府), avoiding education, even buying them books, lunch, and shouldering the cost of school supplies himself, must have finally let out a smile of satisfaction (會心) upon seeing this sight.

What is particularly noteworthy, as briefly alluded to earlier, is the investment of over 100,000 wŏn to establish Posŏnggwan. Realizing the need to borrow the power of printing and publishing for the dissemination of culture, Teacher Yi deliberately dispatched people<26> to Tokyo to purchase numerous sophisticated machines and typesets. At the same time, he acquired many books from the West (泰西) and materials on the newly rising civilization of Japan at the time. He had newly returned scholars (新進學徒) who had studied in Japan and the West translate them meticulously into our script, printing tens or hundreds of thousands of copies and distributing them free of charge to various schools and youth organizations. Among those who worked extensively centered around Posŏnggwan at that time, Hyŏn Ch'ae (玄采) should be mentioned first; he is the respected father of Mr. Hyŏn Kong-nyŏm (玄公廉). Not only was he a great scholar (碩儒) well-versed in Chinese Classics (漢學), but he was also knowledgeable about Eastern and Western history, so his writings were particularly valued as history textbooks (歷史敎料書) in various schools. Besides him, when students sent by the Korean government (韓國政府派遺) to study in Japan returned, they immediately took up teaching posts, even if only for one or two classes, at Posŏng College, while also engaging in translating books for Posŏnggwan (普書舘). At that time, Teacher Yi was the founder (校主) of the school and the head (舘主) of Posŏnggwan. Separately, T'ae Myŏng-sik (太明軾), who had served as a judge in the courts of the time and was an authority in the legal field, was invited as the chief editor (主幹). The president of Posŏngsa (普成社) was Kim Chu-byŏng (金疇柄), who has now returned to his hometown. And the principal of Posŏng College was Sin Hae-yŏng (申海永), who had been the supervisor of students studying abroad. Thus, the lineup was adorned with numerous talented individuals (濟濟多士).

From this point, the sound of pickaxes pioneering new culture resonated with accelerating speed everywhere. If only time had allowed this passion to continue for even five more years, wouldn't everyone have stood upright in the light (光明)? However, the Kyŏngsul year (庚戌年, 1910) arrived suddenly, and Teacher Yi's shadow faded and faded, until finally it could no longer be reflected in these mountains and rivers, and his lonely figure (悄悄한 孤影) disappeared abroad.

3
After that, Teacher Yi continued endless wandering and endless efforts, only to become a body that had lost its freedom again. He returned to his old land, received a one-year residency restriction, stayed in the mountain valleys, and in recent years came up to Seoul, merely gazing blankly at the changed streets here and there, so it is said.

According to hearsay, perhaps the pine wind crying on Pugak Mountain (北岳) hurts Teacher Yi's heart, or perhaps the waters of the Han River (漢江) pitifully reflect his shadow; the children in Seoul (京童) say that Teacher Yi hardly goes out these days.

In any case, seeds sown will sprout; flowers watered will surely bloom. Teacher Yi dedicated his life to education; for his pioneering spirit and passion, we can only hold respect. <27>

**Summary**

This article by Kim Tong-hwan is a retrospective tribute to Yi Chong-ho, hailed as a pioneer of modern Korean education in the early 20th century. It details Yi's founding of the Posŏng school system (elementary, middle, college) and the Posŏnggwan publishing house around 1905, funded by his family's wealth. Motivated by the national crisis following the Russo-Japanese War, Yi aimed to cultivate politically aware and capable citizens through modern education, emphasizing history and even military drills. He collaborated with prominent intellectuals like Hyŏn Ch'ae. However, his ambitious projects were cut short by the Japanese annexation in 1910 (Kyŏngsul Year), forcing him into exile and later a restricted life upon return.

From a historical perspective, the article is valuable for documenting the indigenous efforts to establish modern educational institutions in Korea before formal annexation, driven by patriotic fervor and a desire for national strengthening. It highlights the specific focus on practical, nation-building education (politics, history, modern science, physical training) as a response to perceived national weakness and external threats. Yi's personal sacrifice, the collaborative nature of these early educational movements involving intellectuals returning from abroad, and the abrupt curtailment of these efforts by Japanese colonization are points of significant interest to historians studying the late Chosŏn/early colonial period.

**Named Entities**

李鍾浩先生	이종호 선생	Yi Chong-ho Sŏnsaeng
金東煥	김동환	Kim Tong-hwan
普成專門	보성전문	Posŏng Chŏnmun
普成中學	보성중학	Posŏng Chunghak
普成小學	보성소학	Posŏng Sohak
普成舘	보성관	Posŏnggwan
玄采	현채	Hyŏn Ch'ae
夜雷	야뢰	Yare (Magazine Title)
法政學界	법정학계	Pŏpchŏng Hakke (Magazine Title)
東國史略	동국사략	Tongguk Saryak (Textbook Title)
幼年心讀	유년심독	Yunyon Simdok (Textbook Title)
西北學會	서북학회	Sŏbuk Hakhoe
咸鏡北道	함경북도	Hamgyŏng Pukto
明川郡	명천군	Myŏngch'ŏn-gun
下加面	하가면	Ha-ga-myŏn
李容翊	이용익	Yi Yong-ik
西伯利亞	서백리아	Sŏbaekria (Siberia)
李0氏	이모씨	Mr. Yi
李甲	이갑	Yi Kap
李東輝	이동휘	Yi Tong-hwi
癸卯年	계묘년	Kyemyo year (1903)
東洋	동양	Tongyang (East Asia/Orient)
日俄	일아	Il-A (Japan-Russia)
甲辰年	갑진년	Kapchin year (1904)
度支部大臣	탁지부대신	T'akchibu Taesin (Minister of Finance)
日軍艦	일군함	Il Kunkam (Japanese Warship)
東京	동경	Tongyang (Tokyo - Note: Korean reading used, refers to Tokyo)
乙巳年	을사년	Ŭlsa year (1905)
壽松洞	수송동	Susong-dong
師範學校	사범학교	Sabŏm Hakkyo (Normal School)
磚洞	전동	Chŏn-dong
外國語學校	외국어학교	Oegugŏ Hakkyo (Foreign Language School)
새문안	새문안	Sae-mun-an
神學校	신학교	Sinhakkyo (Seminary/Theological School)
새문밧	새문밧	Sae-mun-bat
天然亭	천연정	Ch'ŏnyŏnjŏng
親露派	친로파	Ch'illo-p'a (Pro-Russian Faction)
路西亞	로서아	Nosia (Russia)
鄭安立	정안립	Chŏng An-rip
北滿	북만	Pukman (North Manchuria)
忠淸道	충청도	Ch'ungch'ŏng-do
忠州	충주	Ch'ungju
咸北	함북	Hambuk (Hamgyŏng North Province)
吉州	길주	Kilchu
明川	명천	Myŏngch'ŏn
庚戌年	경술년	Kyŏngsul year (1910)
北京	북경	Pukkyŏng (Beijing)
靑島	청도	Ch'ŏngdo (Qingdao)
上海	상해	Sanghae (Shanghai)
海參威	해삼위	Haesamwi (Vladivostok)
英吉利	영길리	Yŏnggilli (England)
佛蘭西	불란서	Pullansŏ (France)
泰西	태서	T'aesŏ (The West/Occident)
玄公廉	현공렴	Hyŏn Kong-nyŏm
韓國政府派遺	한국정부파견	Han'guk Chŏngbu P'agyŏn (Dispatched by the Korean Government)
普成普專門	보성보전문	Posŏng Po Chŏnmun (Likely typo for 普成專門 Posŏng Chŏnmun)
普書舘	보서관	Posŏgwan (Likely typo for 普成舘 Posŏnggwan)
太明軾	태명식	T'ae Myŏng-sik
普成社	보성사	Posŏngsa
金疇柄	김주병	Kim Chu-byŏng
申海永	신해영	Sin Hae-yŏng
北岳	북악	Pugak (Mountain)
漢江	한강	Han-gang (Han River)
漢水	한수	Hansu (Han River water)
京童	경동	Kyŏngdong (Children of Seoul/Capital)

**Glossary**

근대적	근대적	Modern
창설하엿든	창설하였던	(He) who founded (Older past descriptive form)
사회교화기관	사회 교화 기관	Social enlightenment institution
영하야	영하여	Inviting (Older connective form)
간행케	간행케	To have published (Older causative form)
밋	및	And / As well as (Older spelling)
앗김업시	아낌없이	Unsparingly, generously (Older spelling)
업시	없이	Without (Older spelling)
반도	반도	Peninsula (Referring to Korea)
數多한	수다한	Numerous (Older form)
第二世 國民養成	제2세 국민 양성	Nurturing the second generation citizens
刻苦奮鬪하든	각고분투하던	(He) who strove painstakingly (Older past descriptive form)
안저	앉아	Sitting (Older spelling)
그러틋	그렇게	Like that, so (Older spelling)
업지만은	없지마는	Although there isn't (Older spelling)
中古	중고	Middle Ages
개척하엿다함은	개척하였다 함은	To say that (he) pioneered (Older nominalizing construction)
아니되잘 수 업다	아니 될 수 없다	Cannot but be, must be (Older spelling/form)
혼히	흔히	Commonly, often (Older spelling)
밋바닥에는	밑바닥에는	At the very bottom (Older spelling)
짜작돌들	자작돌들	Small stones, pebbles (Possibly dialectal or older term for 자갈돌)
떠바치고	떠받치고	Supporting from below
자최	자취	Trace, footprint (Older spelling)
픠	피	Blood (Older spelling)
귀여운	귀한	Precious, valuable (Older usage, now means 'cute')
만혼	많은	Many (Older spelling)
선지자	선지자	Forerunner, pioneer (Lit. 'one with prior wisdom')
엇더케	어떻게	How (Older spelling)
부어젓섯슬고	부어졌었을꼬	Must have been poured (Older interrogative/exclamatory past perfect)
파뭇긴	파묻힌	Buried (Older spelling)
붓자루	붓자루	Pen, writing brush handle (Here metaphor for writing itself)
놀니지	논하지	Discuss, discourse (Older spelling)
무의미한	무의미한	Meaningless
함은	함은	Doing ~ is / The act of doing ~
세상에	세상에	In the world
한학	한학	Chinese Classics studies
상경하여	상경하여	Coming to the capital (Seoul)
교유하엿다	교유하였다	Associated with, befriended (Older form)
끗끗내	끝끝내	Finally, in the end (Older spelling)
반도를 중심삼고	반도를 중심 삼고	Centering on the peninsula
전란	전란	War, hostilities
익년	익년	The following year
까닭인지	까닭인지	For some reason
귀국하엿다	귀국하였다	Returned to the country (Older form)
깨우치게 하엿다	깨우치게 하였다	Caused to awaken (Older form)
뜻잇는	뜻있는	Meaningful, purposeful / Having will or intention (Older spelling)
부르지즘	부르짖음	Cry, appeal, slogan (Older form, lit. 'shouting')
돌기 비롯하엿다	돌기 비롯하였다	Began to circulate (Older form)
가치	같이	Like, together with (Older spelling)
결심하엿다	결심하였다	Resolved, decided (Older form)
기우려지는	기울어지는	Leaning, declining
바로 잡을	바로잡을	To correct, rectify
계발	계발	Enlightenment, development (of knowledge/talent)
너흔	넣은	Put in, invested (Older spelling)
마츰내	마침내	Finally, at last (Older spelling)
전수케 하는	전수케 하는	Which teaches/transmits (knowledge) (Older causative form)
되엿고	되었고	Became, was established (Older spelling)
개설되어	개설되어	Was opened, established
첫소리는 치고 말엇다	첫소리는 치고 말았다	Struck the first sound (idiom for beginning something) (Older form '말엇다')
되엇스니	되었으니	Since it became / As it was established (Older spelling)
주조되어	주조되어	Was cast, molded
선시하야	선시하여	Prior to this (Archaic connector)
운명	운명	Fate, destiny
결하게 되어	결하게 되어	Came to be decided
표연히	표연히	Abruptly, suddenly
후사	후사	Later affairs, matters after one's departure/death
자손	자손	Descendants
지기	지기	Close friend, confidant
탁하고	탁하고	Entrusting (Older form of '탁하고')
출발하고 말엇다	출발하고 말았다	Departed (Emphatic completion, older form '말엇다')
약관	약관	Young man (around 20 years old)
비장한	비장한	Tragic, sorrowful yet heroic
닷뜻한	따뜻한	Warm (Older spelling)
불 사이업시	불 사이 없이	Without pause, ceaselessly (Lit. 'without time to blow [on food]') (Older spelling '업시')
남선북마	남선북마	Traveling far and wide (Idiom: South boat, North horse)
유지	유지	Influential local figure, person of intention
합자하야	합자하여	Jointly funding (Older form)
이리하야	이리하여	Thus, in this way (Older spelling)
산하게 되엿스며	셈하게 되었으며	Came to be counted (Older spelling '되엿스며')
불하하게 되엇섯다	불하하게 되었었다	Did not fall below, was no less than (Older past perfect '되엇섯다')
글너진	글러진	Gone wrong, failed (Older spelling)
목숨을 해외에 피하야	목숨을 해외에 피하여	Fleeing abroad for one's life (Older form '피하야')
전전할	전전할	Wandering from place to place
하다못해	하다못해	If unable to do more, at the very least
수간두옥	수간두옥	A small house of just a few rooms
지낫다	지났다	Passed by, went through (Older spelling)
엇더케	어떻게	How (Older spelling)
엇더한	어떠한	What kind of
양성하여 내려하엿는가	양성하여 내려 하였는가	Did (they) intend to nurture (Older form)
宗旨	종지	Principle, aim, tenet
오직 한마듸라	오직 한마디라	Is just one word/phrase (Older spelling '마듸')
속성으로	속성으로	Quickly, through a fast track
아모쬬록	아무쪼록	By all means, as much as possible (Older spelling)
자최	자취	Trace, remains (Older spelling)
끌케하는	끓게 하는	Making (it) boil
치중함	치중함	Placing emphasis on
층메고	총 메고	Carrying a rifle (Older spelling '층')
병식조련	병식 조련	Military-style drill
가르첫스니	가르쳤으니	Since (they) taught (Older spelling)
시세	시세	The times, current situation
초조	초조	Anxious, impatient
엿볼 수 잇다	엿볼 수 있다	Can glimpse, can infer (Older spelling '잇다')
교화	교화	Enlightenment, cultural influence
봉기하고	봉기하고	Rose up (like bees swarming)
책보메고	책보 메고	Carrying a book bundle (Older spelling '보메고')
나니는	나서는	Setting out, going forth (Possibly older form or dialect)
찻섯다	찼었다	Was full of (Older spelling)
단발	단발	Cropped hair (Symbol of modernization)
끄리고	꺼리고	Disliking, avoiding (Older spelling)
원부	원부	Enemy's mansion (Metaphor for something hated/feared)
알어서	알아서	Knowing, considering (Older spelling)
교육밧기를	교육받기를	Receiving education (Older spelling '밧기를')
꺼리든	꺼리던	Who disliked/avoided (Older past descriptive form)
케케묵은	케케묵은	Old-fashioned, stale, stubborn
설지권지하여	설지권지하여	Persuading and encouraging
자담하여서까지	자담하여서까지	Even to the extent of personally shouldering the cost
회심의 미소	회심의 미소	Smile of satisfaction
흘렷슬 것이다	흘렸을 것이다	Must have shed/let out (Older spelling)
악가	아까	A short while ago (Older spelling)
비최엇지만은	비치었지마는	Although it was alluded to (Older spelling)
만히	많이	Many, much (Older spelling)
