Magazine Title: 삼천리 제9호
Publication Date: 1930년 10월 01일
Article Title: 명문의 향미(3) (The Flavor of Fine Writing (3))
Article Type: 문예기타 (Literary Miscellaneous)

The Flavor of Fine Writing
From *Ch'unhyangjŏn*

(Excerpt from original text) At this time, the Royal Secret Inspector (御使道), his heart heavy with thoughts of Ch'unhyang, descended without delay (遲滯). When was this time? It was the 4th or 5th month, the transplanting season (移種時). Countless people (億兆蒼生 萬民) all tucked their reed raincoats (도롱이) under their arms and, wearing rush hats (갈삿갓), transplanted rice seedlings in the wide fields. The sound of transplanting songs (移秧聲) rang out loudly.

Duri-dungdung kkaengkkaengkkaengkkaeng eŏllŏllŏl sangsadio-yŏ-ŏru sangsadio.
Establishing village schools (庠序學校) and learning the teachings of the sages (聖訓) is the work of a virtuous gentleman (道德君子).
Eŏ-yŏ yŏru sangsadio
Enjoying wealth in lofty houses with red gates and peach/plum blossoms (朱門桃李) is our work.
Eŏ-yŏ-yŏru sangsadio
Amusing oneself with horse racing and cockfighting (走馬鬪鷄) among flowers and on paths (花間陌上) in late spring is the work of gallant youths (豪俠少年).
Eŏ-yŏ-yŏru sangsadio
Though there are many tasks for a man (丈夫) in the world, do we farmers (農夫) only work, eat, drink, and sleep?
Eŏ-yŏ-yŏru sangsadio
One farmer stepped forth and led a fast-paced farmer's song (자진 농가), giving the lead verse as the "Song of a Great Man's Deeds" (丈夫事業歌). <67>
Eŏ-yŏroru sangsadio
A great man (大丈夫) in the world sheds the faults of wine and women (酒色之累), holds noble aspirations, and in dealing with others (待人接物), has not a speck of selfishness (一毫私曲). Thus, speaking openly to others about all one's lifelong actions (平生之所爲事) is the work of a great man.
Eŏllŏllŏl sangsadi
Whipping a swift horse that runs a thousand li (千里駿驄) to see the famous sights of the world (天下名勝), crossing far over the seas (個海), and after achieving timeless literary fame (萬古文章), stirring the whole world (驚動一世) everywhere (到處) with powerful words and vigorous brushstrokes (雄詞健筆) is also the work of a great man.
Eŏllŏllŏl sangsadi
Becoming a leader (領袖) in society (社會), not violating the scope of the law (法律範圍), knowing oneself and others (知彼知己) in every action (一動一靜), guiding according to the situation (因其勢面導之), and reforming customs (改良風俗) is also the work of a great man.
Eŏllŏllŏl sangsadi
Gathering the nation's youth (國內青年), putting them into the educational world (敎育界), teaching (敎授) various studies (各種學問), and after cultivating talent (人材養成), becoming a master of the academic world (學界主人) is also the work of a great man.
Eŏllŏllŏl sangsadi
Donating generously without begrudging thousands in gold (不惜千金捐助) to support various societies (各社會), receiving the heaven-endowed will for love of life (天賦好生), broadly relieving (廣濟) the poor and wretched people (窮部殘民), and then becoming a charitable living Buddha (慈善活佛) is also the work of a great man.
Eŏllŏllŏl sangsadi
Researching statecraft and relief for the people (經國濟民), gaining the profits of the world (天下利益), filling the coffers (金庫に滿樍), controlling business fluctuations (商業低仰) at will, and becoming a great economist (經濟大家) is also the work of a great man.
Eŏllŏllŏl sangsadi
When managing the affairs of the world (天下事), even if one reaches the ends of the earth (地盡頭), not retreating (退步) but advancing (前進), matters will surely be successfully accomplished (事必寬成). Thus, persevering in the face of difficulty (臨難) is also the work of a great man.
Eŏllŏllŏl sangsadi <68>
Singing the song of the great man, the meaning is deep, and one feels earnest longing; the heart is heavy (畓畓), and the throat is dry.
Eŏllŏllŏl sangsadi
Let's fetch water from an icy cave's cold spring (氷穴冷泉), drink it refreshingly, and then strive for the great foundation of the world (天下大本).
Eŏllŏllŏl sangsadi
While planting seedlings for a while and drinking liquor, looking off to one side, what does one see? A farmer, carrying a hoe (홈이) on his shoulder, wearing a rush hat (삿갓), with a raincoat (도롱이) tucked at his side, has set up a charcoal brazier (질화로) with a side fire (겻불). He takes out a dog-leather tobacco pouch (개가죽쌈지), taps out powdered tobacco (가루담배) into his left palm, holds it firmly, grinds it vigorously with his thumb (엄지 장가락), pulls out the steatite pipe (곱돌대) he always keeps tucked away, fills it heaping full (담북) with the powdered tobacco, pokes it into the side fire, and puffs hard on the pipe like bellows (풀무 담배).
(From *Ch'unhyangjŏn*)

Resentful Voices Rise High (怨聲高)
Yi Mongnyong (李夢龍)

Fine wine in golden cups (金樽美酒) is the blood of a thousand people (千人血);
Jade platters of fine delicacies (玉盤佳肴) are the fat of myriad families (萬姓膏).
When the candle drips tears (燭淚落時), the people's tears fall (民淚落);
Where the sounds of song are high (歌聲高處), the sounds of resentment are high (怨聲高).

(From *Ch'unhyangjŏn*) <69>

**Summary**

This article presents two excerpts from the famous Korean narrative *Ch'unhyangjŏn*. The first is a lively depiction of farmers transplanting rice, featuring a work song (*nongbuga*) where one farmer sings about the diverse deeds of a "great man" (大丈夫), encompassing traditional virtues alongside modern ideals like social reform, education, philanthropy, and economic power. The second excerpt is a short, powerful poem attributed to the hero Yi Mongnyong, starkly contrasting the luxury of the powerful with the suffering of the common people, ending with the line "Where the sounds of song are high, the sounds of resentment are high." From a colonial history perspective, the expanded definition of a "great man's" work in the *nongbuga* to include modern social, educational, and economic leadership is particularly interesting, reflecting the changing aspirations and societal discourse in 1930s Korea under Japanese rule. The poem's theme of social critique, while traditional to *Ch'unhyangjŏn*, could easily resonate with contemporary grievances against exploitation under the colonial regime.

**Named Entities**

春香傳	춘향전	Ch'unhyangjŏn
御使道	어사도	Ŏsado (Royal Secret Inspector)
李夢龍	이몽룡	Yi Mongnyong

**Glossary**

御使道	어사도	Royal Secret Inspector (historical title)
가삼	가슴	Heart, chest (older spelling)
遲滯	지체	Delay
移種時	이종시	Rice transplanting season
億兆蒼生	억조창생	Countless living beings, the masses
萬民	만민	All the people
갈삭갓	갈삿갓	Hat made of rushes/reeds (likely 갈삿갓)
도롱이	도롱이	Traditional straw/reed raincoat
엽헤	옆에	Beside, next to (older spelling/pronunciation)
移秧聲	이앙성	Sound of rice transplanting songs
庠序學校	상서학교	Traditional village schools
셩훈	성훈	Teachings of the sages (older spelling)
배호기는	배우기는	To learn (older spelling/form)
道德君子	도덕군자	Virtuous gentleman
朱門桃李	주문도리	Red gates and peach/plum blossoms (metaphor for wealthy/noble house)
놉흔	높은	High (older spelling)
花間陌上	화간맥상	Among flowers and on field paths
走馬鬪鷄	주마투계	Horse racing and cockfighting
논일기는	노닐기는	To stroll, play, amuse oneself (older spelling/form)
豪俠少年	호협소년	Gallant youth, chivalrous young man
丈夫	장부	Man, great man, husband
만컨만은	많건만은	Although there are many (older spelling/form)
농부	농부	Farmer
나셔며	나서며	Stepping forward (older spelling/form)
자진 농가	자진 농가	Fast-paced farmer's song
먹이는대	메기는데	Leading the song (older form/spelling of 메기다)
事業歌	사업가	Song of deeds/work
쥬것다	주었다	Gave (older spelling)
酒色	주색	Wine and women, sensual pleasures
累	루	Fault, trouble, entanglement
高尙	고상	Noble, lofty
待人接物	대인접물	Dealing with people, social interaction
一毫私曲	일호사곡	Even a tiny bit of selfishness or dishonesty
업슴으로	없음으로	Because there is not (older spelling)
平生	평생	Lifelong
所爲事	소위사	Things done, deeds, actions
千里駿驄	천리준총	Fine horse that can run a thousand li
天下名勝	천하명승	Famous sights under heaven (the world)
個海	개해	Sea (meaning uncertain, possibly 四海 'four seas' or just 'sea')
녀려	내려	Go down, cross over (context suggests crossing)
萬古文章	만고문장	Writing/literature famous for all ages
然後	연후	Afterwards
到處	도처	Everywhere
雄詞健筆	웅사건필	Powerful words and vigorous brushstrokes (strong writing)
驚動一世	경동일세	To startle/amaze the whole world
社會	사회	Society
領袖	영수	Leader
法律範圍	법률범위	Scope of the law
違越	위월	To violate, transgress
一動一靜	일동일정	Every move, every action
知彼知己	지피지기	Know the other and know oneself
因其勢面導之	인기세면도지	Guide according to the situation/momentum
改良風俗	개량풍속	Improving customs and manners
國內青年	국내청년	Youth of the nation
敎育界	교육계	Educational world/field
各種學問	각종학문	Various kinds of learning/studies
敎授	교수	To teach
人材養成	인재양성	Cultivating talented people
學界主人	학계주인	Master of the academic world
不惜千金	불석천금	Not begrudging a thousand pieces of gold (generous)
捐助	연조	Donation, contribution
各社會	각사회	Various societies/organizations
天賦好生	천부호생	Heaven-endowed love of life/nature to cherish life
窮部殘民	궁부잔민	The poor and wretched people
廣濟	광제	Broadly relieve/save
慈善活佛	자선활불	Charitable living Buddha
經國濟民	경국제민	Governing the state and relieving the people
天下利益	천하이익	Profits/benefits of the world
金庫	금고	Safe, treasury, coffer
滿樍	만적	To accumulate fully (樍 is a variant of 積)
商業低仰	상업저앙	Business fluctuations (rise and fall)
經濟大家	경제대가	Great economist, master of economy
天下事	천하사	Affairs of the world
地盡頭	지진두	Ends of the earth
退步	퇴보	Retreat, regress
前進	전진	Advance, progress
事必寬成	사필관성	Matters will surely be successfully accomplished (possibly 事必貫成)
臨難	임난	Facing difficulty/danger
가심	가슴	Heart, chest (older spelling)
畓畓	답답	Stifling, frustrating, heavy (heart)
氷穴冷泉	빙혈냉천	Cold spring in an ice cave
기러다가	길어다가	Drawing (water) (older form of 길다)
天下大本	천하대본	The great foundation under heaven (often refers to agriculture, or fundamental principles)
홈이	호미	Korean hand hoe
삿갓	삿갓	Conical hat made of straw or reeds
질화로	질화로	Earthenware brazier
겻불	곁불	Side fire, embers kept aside
개가쥭쌈지	개가죽쌈지	Dog-leather pouch (likely for tobacco)
가로 담배	가루 담배	Powdered tobacco
옴켜쥐고	움켜쥐고	Grasping tightly (older spelling)
엄지 장가락	엄지손가락	Thumb (장가락 is an older/dialectal term for finger)
부버젹부비젹	부비적부비적	Rubbing vigorously (onomatopoeia, older spelling)
곱돌대	곱돌대	Pipe made of steatite (soapstone)
빼여내여	빼어내어	Pulling out (older spelling/form)
담북	듬뿍	Heaping full, generously
담어	담아	Putting in, filling (older spelling)
담배ㅅ대	담뱃대	Tobacco pipe (uses older genitive marker ㅅ)
풀무 담배	풀무 담배	Smoking hard like bellows (metaphorical)
怨聲高	원성고	Resentful Voices Rise High (title of the poem)
金樽美酒	금준미주	Fine wine in golden cups
千人血	천인혈	Blood of a thousand people
玉盤佳肴	옥반가효	Fine delicacies on jade platters
萬姓膏	만성고	Fat/grease of myriad families (metaphor for exploitation)
燭淚落時	촉루락시	When the candle drips tears
民淚落	민루락	The people's tears fall
歌聲高處	가성고처	Where the sounds of song are high


---------------------------


잡지명	삼천리 제9호
발행일	1930년 10월 01일
기사제목	명문의 향미(3)
기사형태	문예기타

명문의 향미
春香傳에서
