잡지명	삼천리 第十號
발행일	1930년 11월 01일
기사제목	巴里講和會議에 갓다가 (Having Gone to the Paris Peace Conference)
필자	呂運弘
기사형태	회고·수기 (Memoir/Recollection)

巴里講和會議에 갓다가
						呂運弘
1. 푸린스톤大學과 休戰記念日
It was indeed November 11, 1918. On this day, around two o'clock in the afternoon, while I was engrossed in Western philosophy, my major, within a research room at Princeton University graduate school in America, suddenly the bells from all the factories and temples in the city of Princeton began to ring clamorously, shaking heaven and earth. Thousands of citizens danced, shouted "Manse!" (Long Live!), and passed flood-like in front of our school in a state of frenzy. The armistice agreement had been concluded! When you think about it, how long had all of humanity yearned for this day? The Great European War, which opened its prelude with a single pistol shot fired by a young man from Serbia (塞維耳) on June 28, 1914, had erased 13 million precious lives and a huge sum of 400 billion won in wealth, staging the largest and worst tragedy since human history began. Yet, as if that were not enough, the tragedy showed no sign of ending, and the entire world was truly submerged in blood and tears.
Although both the Allied powers like Britain (英), France (佛), and Russia (露), and the Central Powers like Germany (獨), Austria (墺), and Italy (伊), as well as the some 30 other participating nations, were all covered in wounds (滿身瘡痍) and exhausted by the ravages of war, and although the cry for peace on earth was fervently shouted from the mouths of all people everywhere, the two great imperialist powers, locked in a life-or-death struggle politically and economically, showed little sign of laying down their arms (干戈), bringing despair time and again until recently. But now, the armistice agreement had finally been signed.
At that time, America had also entered the war, and from this Princeton University where I was, many fellow students had been drafted and sent out to the European front.<2>
It goes without saying that we too threw down our book bundles, shouted "Manse!", joined the citizens' ranks, and surged out into the entire city, dancing wildly (狂舞雀躍). However, even that couldn't fully contain our joy, so many university professors, students from our school, and citizens took the train to New York City, which could be reached in an hour. New York City was entirely as if boiling with fever; every single person seemed to have rushed out into the streets, kissing, dancing, making a huge commotion. The city everywhere was a truly unprecedented scene of chaos with flags of all nations, "Extras" (newspaper extras - 엑쓰추라), and illuminations. That night, I even participated in New York City's armistice celebration meeting, staying up all night, and then rushed back to Princeton University the next morning. A great current flowed through my heart. My fists clenched, my teeth ground, and I discovered myself leaping forward (勇躍) before this immense joy. That is, I thought, "For what purpose have I been here in America (美洲) for several years? Was it not solely in anticipation of this day?" Having vowed to dedicate myself to that cause, I immediately ran into the room where a university professor was and asked him to write me a letter of introduction to the American President, Mr. Wilson. At that time, Wilson, promoting slogans like national self-determination, territorial non-compensation, and the League of Nations, was drawing the attention of the entire world to himself through his advocacy for a peace conference. As he was an alumnus of this very Princeton University,<3> had previously served as a political science professor and even president, and naturally had close ties with the university even after becoming President, he had quite a deep connection with us. Perhaps my earnestness finally moved the university professor's heart, for I obtained a strong letter of introduction from the president and rushed off again to Washington. I abandoned even the goal of entering graduate school to obtain a doctorate after completing the four-year undergraduate course.<4>

2. 東京을 거처서
A few days later, I was able to meet President Wilson upstairs in the White House (白堊館) in Washington. And through his secretary, Mr. "Glass" (글라스), I conveyed my various resolutions. Mr. Wilson seemed to be extremely busy with preparations to attend the Paris Peace Conference (巴里媾和會議) at that time, so it appeared difficult for him to spare me much time.
After leaving the White House, I went straight to New York and met Mr. Hulbert (헐버트). He was someone who had put in much effort during the Hague Secret Affair Incident (海牙密事事件). When I told him my purpose and that I intended to go to the Paris Peace Conference straight away, he said that although he happened to be heading to France (佛蘭西) in charge of American YMCA work and accompanying me wouldn't be difficult, it would be useless for me to go empty-handed (白手). (Omission - original text) To declare the resolution regarding [omitted part] both domestically and internationally, he told me to return to my home country, gather the signatures of one million people, and then come to Paris. Finding this plausible, I rushed again to where Mr. An Ch'angho (安昌浩) was in Los Angeles (로샌젤스) city and explained my intention to return home for this purpose, asking for money for travel expenses. Messrs. Min Ch'anho (閔贊鎬), Chŏng Han'gyŏng (鄭漢卿), Yi Sŭngman (李承晩), and Yi Taewi (李大偉) gathered, held an X meeting, and on that occasion, Tosan's (島山 - An Ch'angho's pen name) proposal for the expenditure of $300 for secret use passed without issue. Receiving that money, I obtained a passport after immense hardships, secured passage on a ship, and arrived in Tokyo (東京), Japan, on February 1st. In Tokyo, I met Mr. Ch'oe P'al-X (崔八X군), heard about his preparations, and while deeply sympathizing with his purpose, I entered Seoul again on February 18th. There, I met Messrs. Yi (李), Sŏng (成), Ch'oe (崔), etc., who told me that preparations regarding the petition were already complete, so I should quickly go where I needed to go. I heard that at that time, Chang Tŏk-mo (張德某) had already gone to Japan, Kim Mo (金某) to Shanghai, Yŏ Mo (呂某) to Siberia, and another Kim Mo (金某) was traveling internally, all pursuing the same objective. On February 28th, unbeknownst to anyone, I left Seoul, passed through Antung County (安東縣) without a trace, and safely reached Shanghai. There, I met Messrs. Ch'oe O-sik (崔O植) and Hyŏn O (玄O), etc., and in early May, I left Shanghai and embarked on the originally intended sea route to Europe. Thinking back, I still cannot forget the events of that time. On a fog-shrouded morning, as the British M Line (M號) steamship of over 10,000 tons, bound for Marseille (말세유), docked at the Shanghai (上海) quay, fearing something might happen, I, having disguised myself beforehand, was about to board the ship when a certain Chinese youth blocked my way, bowed politely, and asked in English if I was Mr. Yŏ (呂先生). I denied it flatly and turned my head away. Only then did he let out his characteristic laugh once and say,
"I know who you are, why are you acting like this? Your friend is waiting over there right now, please go meet him briefly and come back."
Instantly realizing he was a spy sent from the XX Consulate General, I shouted loudly in English,
"You rascal! If he were my friend, he would come here to find me, what nonsense is this?"
I even stamped my foot and just boarded the ship. A little later, sure enough, a group of police officers from a certain country came rushing up, apparently looking for me.<4> I quickly slipped out through the back door, went into a toilet stall, bolted the lock from the inside, and sat there for a full two hours until the ship departed. May in Shanghai is quite hot, so naturally, my body was completely drenched in sweat. Even so, even if I were to faint from smelling the ammonia odor in the toilet, I was someone who could not go outside the door.
Finally, the gong (銅鑼) sounded. The steamship at last left the Shanghai pier behind and set out on its ocean voyage. Only then did I quietly slip out of the toilet stall, enter my cabin, and lie down. Thinking back, until I crossed the border on February 27th, the authorities of a certain country were completely unaware of the matter, so our movements were relatively safe. However, in the meantime, the March 1st Movement (三一運動) had erupted everywhere, and from now on, the vigilance in that regard was anything but light (여간 엄중한 것이 아니었다). I finally let out a long sigh of relief.<5>

3. 上海에서 馬耳塞까지
Three days after leaving Shanghai, our ship finally entered the port of Hong Kong (香淃). No sooner had the ship docked at the pier than two British policemen from the water police station burst into my cabin. Is this what they mean by "One difficulty departs, only for another worry to arrive; drive out one tiger, only for another wolf to pursue"? Just when I thought I had barely escaped the fearsome hand of a certain country, now the poisonous hand of Britain stood watching me, sending a chill down my spine. Finally, the British officer said,
"It's an order from the police chief, come with us!"
I resisted, saying there was no need for me to go, but observing my speech and actions, he adopted a reassured demeanor and said, "This is off the record, but we received a telegram from the XX Consul General in Shanghai stating that a Korean named Yŏ (呂) embezzled *0,000 won (*萬圓) and is now fleeing to Europe (歐蘿巴) aboard the M Line, asking for his immediate arrest. That's why we came to arrest you. However, seeing you, you are clearly not the type of person to commit a shameless crime like embezzlement; you must be a figure traveling secretly for political reasons. In that case, international public law (國際公法) dictates that political offenders should be protected, so don't worry. Just bring any documents you have that can prove you are merely a political figure; that would be best." Finding his words advantageous, I took various related documents from the American XXX (美洲XXX), my Princeton University diploma, etc., from my bag and went down.
As soon as I set foot in the British Government Office (英國政廳), two detectives from a certain country were already sitting there. The British police chief immediately asked,
"Are you Korean?"
"No. I am Chinese."
"How can you prove you are Chinese?"
"And how can you prove I am not Chinese? Look here, isn't this a travel permit issued by the Chinese Foreign Affairs Office (中國交涉署)? If you cannot trust this travel permit, doesn't that mean you cannot trust China as a whole?"
As I presented the documents and diploma I had brought earlier, he smiled faintly and said,
"Look here! Don't worry. We asked knowing full well what business you are on, where you are going, and even which country you are from. However,<5> it is only right to protect political offenders, so please hurry back to your ship."
He even assigned two officers to escort me. Since 8,000 OOO [Koreans? - OOO used in original] were living in Hong Kong, they knew that acting rashly could lead to big trouble. Under their protection and guidance, I visited two or three English-language newspaper offices in Hong Kong, met with the editors there, and then boarded the ship. I truly felt the joy of having escaped a tiger's den (虎穴).
After that, even though the ship docked at various ports like Singapore (新乫坡) or Colombo (컬넘버스), and despite continuing the sea voyage for many days, longing for land, I did not dare think of going ashore into the cities. Indeed, until reaching Marseille (말세-유) on French soil, I was confined like being in a cage (籠鳥).<6>

4. 巴里에서 다시 美國으로
Having spent over 40 days traveling by ship and train, I arrived in Paris (巴里) on June 20th. By that time, the Peace Conference (媾和會議) was almost half finished. Lloyd George, Clemenceau, Wilson, etc., were only coming and going frequently, but the substance of the conference had mostly been decided.
Meanwhile, Dr. Kim Kyusik (金奎植) and Yi O-yong (李O鎔), who had arrived earlier, were very active (Omission - original text). I, together with Dr. Kim, stayed at Mr. Toubal's house at Satteu-ttaun Street, Drouot, Louis (No. 32) [?] (巴里 「쌋트, 따운」街 드라운, 루이(32번지) 미스터 투밸씨 집) in Paris, and from dawn till deep night, clenched our fists (Omission - original text). So, during the official conference sessions (Omission - original text).
I don't remember the exact date, but one evening at one of the most famous first-class restaurants in Paris, we invited delegates from various countries and newspaper reporters, and on that occasion, we (Omission - original text).
We continued day and night, focusing our efforts on propaganda, translating our materials into French, English, and Italian.
Dr. Kim Kyusik, a linguistic genius fluent in six languages including English, German, Japanese, and Chinese, was particularly active in this field. (Omission - original text).
After that, I crossed over to America. There, using a Magic Lantern (幻燈) (abbrev.). Thinking back, around that time, truly 1 million won was collected by the hands of our compatriots overseas and used for the expenses of this movement. (Omission - original text).
The sun and moon have flowed by, flowed by, and already 10 years have interposed themselves. When I realize that white hairs are already appearing on the heads of the delegates who were young then, should I say human affairs are fleeting, or that the days and months are fleeting?<6>

**Summary**

This memoir by Yŏ Unhong recounts his journey from Princeton University to the Paris Peace Conference in 1919, driven by the news of the WWI Armistice and Woodrow Wilson's ideals of self-determination. He details his meetings with Wilson and Hulbert, his covert return trip to Korea via Japan to coordinate efforts, his tense departure from Shanghai evading surveillance, his near-arrest in Hong Kong where British authorities ultimately let him go as a political refugee, and his eventual arrival in Paris to join Kim Kyusik and others in lobbying for Korean independence, albeit late in the conference proceedings. The article highlights the intense global atmosphere surrounding the Armistice, the interconnectedness of the Korean independence movement across America, Japan, Korea, China, and Europe, and the personal risks activists undertook, including deception, disguise, and enduring difficult travel and surveillance. For historians, it offers a valuable first-person perspective on the practical challenges, international networking, and fundraising efforts involved in representing Korea's case on the world stage immediately post-WWI, and the mix of hope and danger experienced by activists like Yŏ.

**Named Entities**

呂運弘	여운홍	Yŏ Unhong
푸린스톤大學	프린스턴대학	P'urinsŭt'on Taehak (Princeton University)
塞維耳	세르비아	Serbia
歐洲	유럽	Yuju (Europe)
英	영국	Yŏng(guk) (Britain)
佛	프랑스	P'ŭl(angsŭ) (France)
露	러시아	Ro(sia) (Russia)
獨	독일	Tok(il) (Germany)
墺	오스트리아	O(sŭt'ŭria) (Austria)
伊	이탈리아	I(t'allia) (Italy)
美國	미국	Miguk (America)
歐羅巴	유럽	Yurop'a (Europe)
紐育市	뉴욕시	Nyuyok-si (New York City)
윌손	윌슨	Wilson
巴里	파리	Pari (Paris)
華盛頓	워싱턴	Hwasŏngt'on (Washington)
白堊館	백악관	Paeg'akkwan (White House)
글라스	글래스	Glass (?)
헐버트	헐버트	Hŏlbŏt'ŭ (Hulbert)
海牙密事事件	해아밀사사건	Hae'a Milsa Sagŏn (Hague Secret Affair Incident)
佛蘭西	프랑스	P'ŭransŏ (France)
로샌젤스市	로스앤젤레스시	Rosaenjelsŭ-si (Los Angeles City)
安昌浩	안창호	An Ch'angho
閔贊鎬	민찬호	Min Ch'anho
鄭漢卿	정한경	Chŏng Han'gyŏng
李承晩	이승만	Yi Sŭngman
李大偉	이대위	Yi Taewi
島山	도산	Tosan
日本	일본	Ilbon (Japan)
東京	도쿄	Tonggyŏng (Tokyo)
崔八X군	최팔X군	Ch'oe P'al-X Kun
서울	서울	Sŏul
李	이	Yi
成	성	Sŏng
崔	최	Ch'oe
張德某	장덕모	Chang Tŏk-mo
金某	김모	Kim Mo
呂某	여모	Yŏ Mo
西伯利亞	시베리아	Sibŏria (Siberia)
安東縣	안동현	Andonghyŏn (Antung County)
上海	상하이	Sanghae (Shanghai)
崔O植	최O식	Ch'oe O-sik
玄O	현O	Hyŏn O
歐洲	유럽	Yuju (Europe)
馬耳塞	마르세유	Marsaeyu (Marseille)
英國	영국	Yŏngguk (Britain)
M號	M호	M-ho (M Line / Ship M)
中國	중국	Chung(guk) (China)
呂先生	여선생	Yŏ Sŏnsaeng (Mr. Yŏ)
香淃	홍콩	Hangkong (Hong Kong)
朝鮮	조선	Chosŏn (Korea)
中國交涉署	중국교섭서	Chungguk Kyosŏpsŏ (Chinese Foreign Affairs Office)
英國政廳	영국정청	Yŏngguk Chŏngch'ŏng (British Government Office)
美洲	미주	Miju (America)
新乫坡	싱가포르	Singgap'o (Singapore)
컬넘버스	콜롬보	K'ŏllŏmbŏsŭ (Colombo)
金奎植	김규식	Kim Kyusik
李O鎔	이O용	Yi O-yong
쌋트, 따운	사트, 타운	Sattŭ, Ttaun (?)
드라운, 루이	드루오, 루이	Tŭruo, Rui (Drouot, Louis?)
투밸	투밸	T'ubael (Toubal?)
伊太利	이탈리아	It'alli (Italy)

**Glossary**

잇슬 때에	있을 때에	When there is/was (older spelling)
되엇슬가	되었을까	Had it become? (older spelling)
압흘	앞을	In front of (accusative; older spelling)
홍수가치	홍수같이	Like a flood (older spelling)
잇섯든가	있었던가	Was there? / Had there been? (older spelling/form)
말미아마	말미암아	Due to / Because of (older spelling)
업새고	없애고	Getting rid of / Erasing (older spelling)
끈칠줄	끊일 줄	Sign of stopping/ending (older spelling)
잇든	있던	Who/which was/were (older adjectival form)
업섯건만	없었건만	Although there wasn't (older spelling)
불너지지	불러지지	Being called out / Shouted (older spelling)
갓지도	같지도	Not even seeming like (older spelling)
몃	몇	Several / How many (older spelling)
이르럿다	이르렀다	Reached / Arrived at (older spelling)
뽑히여서	뽑혀서	Being chosen/drafted (older spelling)
깃붐을	기쁨을	Joy (accusative; older spelling)
업서서	없어서	Because there isn't/wasn't (older spelling)
갓다	갔다	Went (older spelling)
끌는드시	끓는듯이	As if boiling (older spelling)
잇섯나	있었나	Was I/he/she/it there? (older spelling)
깃븜의	기쁨의	Of joy (older spelling)
하엿스니	하였으니	Because (I/he/she/it) did (older spelling/form)
맹서한	맹세한	Having sworn/vowed (older spelling)
달나고	달라고	Asking for (older spelling)
끄을고	끌고	Dragging / Drawing (attention) (older spelling)
마츰	마침	Just / Exactly / By chance (older spelling)
갓가운	가까운	Close / Near (older spelling)
움지기게	움직이게	To move (causative; older spelling)
되엇슴인가	되었음인가	Was it because...? (older spelling/form)
어더쥐고	얻어 쥐고	Getting and holding (older spelling)
엇고저	얻고자	Wanting to get/obtain (older spelling)
밋나 보다	만나 보다	To meet (older spelling)
되엿다	되었다	Became (older spelling)
어러웟든	어려웠던	Which was difficult (older spelling)
맛낫다	만났다	Met (older spelling)
쓰든	쓰던	Who/which used/wrote (older adjectival form)
가겟노라	가겠노라	(I declare) I will go (older volitional form)
맛고서	맡고서	Taking charge of (older spelling)
잇는 대로	있는 데로	To the place where (someone) is (older spelling)
달나한	달라 한	Asked for (indirect quotation; older spelling)
바더	받아	Receiving (older spelling)
엇고서	얻고서	Having obtained (older spelling)
어더	얻어	Getting / Obtaining (older spelling)
맛나보고	만나 보고	Meeting and seeing (older spelling)
듯고	듣고	Hearing (older spelling)
깁히	깊이	Deeply (older spelling)
드러오기는	들어오기는	Entering (topic marker; older spelling)
맛나	만나	Meeting (older spelling)
되엿스니	되었으니	Because it has become (older spelling/form)
드른즉	들은즉	Upon hearing / When heard (older form)
즁이엿다	중이었다	Was in the middle of (older spelling/form)
가치	같이	Together / Like (older spelling)
갓다	갔다	Went (older spelling)
맛나 보고	만나 보고	Meeting and seeing (older spelling)
올낫다	올랐다	Boarded / Went up (older spelling)
이저지지를	잊혀지지를	Being forgotten (emphatic object marker; older spelling)
아츰에	아침에	In the morning (older spelling)
잇글어	이끌어	Leading / Guiding (older spelling)
엇든	어떤	A certain / Some (older spelling)
뭇는다	묻는다	Asks (older spelling/form - used in narrative)
돌니엿다	돌렸다	Turned (older spelling)
다알고	다 알고	Knowing everything
웨	왜	Why (older spelling)
기대리니	기다리니	Because (someone) is waiting (older spelling)
차저	찾아	Finding / Looking for (older spelling)
잣말이냐	잔말이냐	Is it idle talk / unnecessary words? (older spelling)
글느고	구르고	Rolling (stamping foot; older spelling)
올나	올라	Going up / Boarding (older spelling)
찻는	찾는	Looking for / Seeking (older spelling)
얼는	얼른	Quickly / At once (older spelling)
드러가서	들어가서	Entering (older spelling)
안저	앉아	Sitting (older spelling)
잇섯다	있었다	Was/were (older spelling)
아니여서	아니어서	Because it is not (older spelling)
그러터래도	그렇더라도	Even so / Nevertheless (older spelling)
맛기에	맡기에	Because of smelling (older spelling)
밧게	밖에	Outside (older spelling)
마츰내	마침내	Finally / At last (older spelling)
고요히	고요히	Quietly / Silently
드러와	들어와	Entering (older spelling)
누엇다	누웠다	Lay down (older spelling)
잇서서	있어서	Because there is/was (older spelling)
왓작 터지자	와짝 터지자	As soon as it burst out (onomatopoeia + verb; older spelling)
지금으로부터는	지금부터는	From now on (older form)
如罕 엄중한 것	여간 엄중한 것	Something not ordinarily strict (i.e., extremely strict) (如罕 likely typo for 여간)
휘-내쉬엿다	휘 내쉬었다	Heaved a sigh (older spelling)
닷기	닿기	Touching / Docking (older spelling)
뛰여	뛰어	Jumping / Rushing (older spelling)
지켜섯고	지켜섰고	Stood watching / Guarding (older spelling)
잇섯구나	있었구나	So there was! (realization; older spelling)
벗틔엿더니	버티었더니	When (I/he) resisted (older spelling)
밋지	믿지	Trusting / Believing (negative form; older spelling)
가저온	가져온	Brought (older spelling)
내여	내어	Presenting / Taking out (older spelling)
어듸로	어디로	To where (older spelling)
맛당할	마땅할	Which is right/proper (older spelling)
올너가게	올라가게	To go up / Board (older spelling)
부치여	붙여	Attaching / Assigning (older spelling)
잇슴으로	있음으로	Because there is/are (older spelling)
덤비엿다가는	덤비었다가는	If one were to recklessly confront (older spelling)
들너	들러	Stopping by / Visiting (older spelling)
깨달엇다	깨달았다	Realized (older spelling)
그립은	그리운	Yearned for / Missed (older adjectival form)
하엿다	하였다	Did (older spelling/form)
끗나든	끝나던	Which was ending (older spelling)
거지	거의	Almost / Nearly (older spelling)
되엿섯다	되었었다	Had become (older spelling)
만히	많이	Many / Much (older spelling)
가히	같이	Together / With (likely intended meaning; older spelling)
부르쥐고	부르쥐고	Clenching (fists) (older form)
너엇섯다	넣었었다	Had put in / Inserted (older spelling)
커섯다	컸었다	Had been big/great (older spelling)
건너갓다	건너갔다	Crossed over / Went across (older spelling)
거치어서	걷히어서	Being collected (older spelling/form)
되엿든	되었던	Which had become / Which was (older spelling)
흘너	흘러	Flowing (older spelling)
막엇다	막았다	Blocked / Interposed (older spelling)
젊든	젊던	Who/which was young (older adjectival form)
깨닷게	깨닫게	To realize (older spelling)
덧업다	덧없다	Fleeting / Transient (older spelling)


---------------------------


잡지명	삼천리 제10호
발행일	1930년 11월 01일
기사제목	巴里講和會議에 갓다가
필자	呂運弘
기사형태	회고·수기

巴里講和會議에 갓다가
						呂運弘
1. 푸린스톤大學과 休戰記念日
그것은 실로 1918년 11월 11일이엇다. 이 날 나는 미국 푸린스톤 대학원의 연구실 안에서 전공하든 서양철학에 몰두하고 잇슬 때에 오후 두 시쯤이나 되엇슬가, 불시에 전 푸린스톤 시가의 공장과 사원에서는 천지를 뒤흔드는 종소리가 요란히 울려 나오자 수천의 시민들은 춤추면서 만세부르며 우리 학교 압흘 홍수가치 열광하며 지나간다. 휴전조약이 성립된 것이다! 생각건대 전세계 인류는 이 날이 오기를 얼마나 고대하고 잇섯든가. 1914년 6월 28일에 塞維耳 一청년이 터트린 피스톨 한 방으로 말미아마 서막을 열어제친 저 歐洲大戰亂은 1,300만명의 귀중한 인명과 4,000억원이란 거액의 재화을 업새고 인류 역사가 생긴 이후 최대 최악의 대참극을 연출하면서도 오히려 부족하야 아직도 그 참극이 끈칠줄 몰라서 전세계는 그야말로 피와 눈물 속에 잠기어 잇든 터이엇다.
연합군측인 英佛露나 동맹군측인 獨墺伊나 其外 참전 국가 30여가 어느 것인들 滿身瘡痍를 입어 戰禍에 지치지 안은 것이 업섯건만 또 그러고 땅에는 평화의 요구 소리가 모-든 민중의 입에서부터 열열히 불너지지 안는 곳이 업섯건마는 정치적 경제적으로 사력을 다하야 結抗하고잇는 兩大 제국주의적 세력은 좀처럼 干戈를 거둘 것 갓지도 아니하야 몃 번이나 절망을 주어 최근에 이르럿다. 그러다가 이제 휴전조약이 비로소 체결된 것이엿다.
