Magazine Title: 삼천리 제13호
Publication Date: 1931년 03월 01일
Article Title: 動亂의 上海, 一音樂家가 愛兒屍體를 안고 울든 記錄 (Record of Shanghai in Turmoil, a Musician Weeping While Holding Her Beloved Child's Corpse)
Author: 朴慶姬
Article Type: 회고·수기 (Memoir/Reminiscence)

動亂의 上海, 一音樂家가 愛兒屍體를 안고 울든 記錄
						朴慶姬
From Tokyo to Shanghai

It was the spring of 1927 when I, who had been studying voice at the Tokyo Music School, decided to go to China, driven by a desire to study far away in Italy and also to follow my husband (Reporter's Note = Mr. Yi Yŏsŏng) who was then taking refuge abroad, and finally took my first deeply moving steps onto the Shanghai docks. From then on, after finding a small rented room in an "apartment" (아바-트, 멘트) on Chap'uk Posan-ro (閘北寶山路), the two years we spent living in Shanghai were truly a continuous, most tense sequence of fear, wonder, and hardship from the first day to the last.
Now, as I gaze at the swallows returning south at the beginning of spring, I recall with a wistful feeling, and already four years have passed since then. Sitting in a sunny spot, drowsy in the spring light, weaving together this piece of reminiscence—is this too not a meaningful task?

The Activities of the Women Warriors

At that time, in the French Concession (佛蘭西租界), the famous director of the Russian Imperial Music School, Mr. "Ma-shin" (마-신), had fled the "Revolution" (革命) and hastily arrived in Shanghai, where he was teaching music.
There were about 40 young vocalists receiving private lessons from this foreign old musician, who had the fierce appearance of a Northern European (北歐人); among them, young British and American men and women were the most numerous. I too, upon arriving in Shanghai, immediately knocked on his door and arranged to receive lessons.
That day too, after stopping by the hospital, I was passing through the British Concession (英租界) intending to knock on Mr. Ma-shin's door as usual when, ah! Suddenly, the large crowd walking briskly along the pavement (푸-브, 멘트) in front and behind me surged like rushing water, like a sweeping storm, shouting "Waa-" and following frantically behind me. Startled, I turned around; the smell of gunpowder hit my nose, and directly across from me, the sound of gunfire erupted like popping beans.
It was the scene of the Chinese army being routed and fleeing from the Kuomintang's (國民黨) plainclothes units (便衣隊). Along the roadside, corpses of soldiers soaked in dark blood lay scattered here and there, and many citizens who couldn't find a way to escape in time were also falling down, killed instantly by stray bullets. <35>
As the situation became so desperate, wasn't it natural for the thousands of Chinese men (王大人) and young women (小姐) walking the streets to weep and wail as they ran towards the safety of the Concession? Shops instantly closed their shutters entirely, the rickshaws and cars that had seemed to cover the whole city abruptly vanished, and the sounds of advertising bands from department stores and fabric shops fell silent.
The fear of death flowed into every corner of the city, robbing all the citizens of their courage. Caught in this midst, while feeling my mind gradually grow faint, I suddenly thought of my husband who had gone towards Pukcham (北站 - Shanghai North Station) earlier. What had happened to him?
The staccato sound of machine guns grew louder. The footsteps of the scattering crowd became more urgent. Just then, someone grabbed my arm. How could I have known? It was my husband. He had turned back from his way to the station and had run searching for me.
"Come on! This way, this way!"
Only these two fragmented phrases escaped our lips; there were no other words. Afterwards, we took refuge in the basement of a certain Chinese primary school nearby.
Outside, military trucks filled with British Army (英國陸軍) soldiers and armed Indian soldiers (印度兵) were deploying forward, forward. War! War! War! Turmoil!
It was then that I saw the female plainclothes units (女子 便衣隊) of the Chinese Kuomintang. Like the male units, they wore ordinary clothes, but carried guns. They had pistols, long spears, and clubs. I have no way of knowing how skilled their shooting was, but wherever the muzzles of their guns pointed, the soldiers of the warlord Sun Ch'uan-fang (軍閥孫傳芳) collapsed. Although female, their figures possessed a fierce spirit. They all ran well and were, above all, brave. Ah, even the women of this foreign land were so courageous.

Performing at the Carlton Cafe

One evening at the Carlton Cafe (칼톤, 캅페), considered first-rate in Shanghai, a grand festival called "Festival Ball" (패스트뺄니), held once a year, took place, and on that day, I found myself going onto the stage, led by my respected teacher, Mr. Ma-shin. The "Festival Ball" was the biggest annual event eagerly anticipated by the foreigners here in Shanghai, and despite the admission ticket for this day being a minimum of 6 yuan, about 2,000 people gathered. Probably British and American people were the most numerous. The Koreans present were me, my husband, and my relative Mr. Kim Seyong (金世鎔).
Here, I wore for the first time in my life a strange costume. As you may have occasionally seen in medieval scenes in motion pictures, the waist was tied very narrow and cinched, and the skirt was puffed out roundly like a hot air balloon filled with wind, and I wore a large crown on my head – it was like the clothing of an 18th-century French (什›蘭西) woman. Then, as instructed, I opened the main door of the stage, took one step, two steps, walking like a person in utmost despair, and sang a song. The title of the song that night was "Lost Love" (失戀), requiring the expression of a young person's disappointment, gloom, and anguish after losing love, accompanied by a subdued, trembling, and sorrowful voice.
Since this piece was something I had regularly learned from Mr. Ma-shin, I could sing it with all my might, but portraying the actions of sorrow was truly difficult. I hadn't even practiced this performance once and went straight onto the stage due to lack of time.
On my left and right, like the two wings of a bird, beautiful British and American women in splendid attire stood watching, and as soon as my song ended, they immediately began to dance.
That one night, I was truly immersed in a foreign atmosphere.
After that, I went on stage whenever I had the chance. Once, I happened to perform on a stage where Chinese people had gathered, and at their special request to sing a "Korean song" (까우리노래), I sang "Half Moon" which goes "Blue sky, Milky Way..." (푸른하늘 銀河水) and one other song.

Holding My Beloved Child's Corpse

I gave birth for the first time in Shanghai. Whether to call it a miscarriage or a premature birth, I delivered at eight months, and perhaps because it was my first time, the labor pains lasted for four days, truly making me walk the line between life and death. <36>
Perhaps the reason for such a premature birth was because the house where we lodged was on the third floor, and leading my frail body, I had to go down to the dining room on the lower floor every morning and evening, getting exhausted from climbing up and down those stairs, and also because, at that time in Shanghai, my tuition fees didn't arrive regularly, so even in the cold winter, we often couldn't light the stove well, and ate simple food (粗食).
My husband brought a doctor from the first day. Firewood was prepared in the room, and the fire began to burn brightly.
The duty of childbirth, imposed upon women with no escape except perhaps for nuns (女石人) – this is a pain truly unimaginable for women without experience of childbirth. The pain of labor. Could there be any physical suffering greater than this?
Day and night, for eight cycles, that is, on the evening of the fourth day, I finally gave birth to the baby in that distant foreign land after enduring the pain. Lying there, my whole body in a daze, I vaguely heard the midwife telling my husband it was a girl.
Then I heard the baby cry "kyae-kyae" five or six times. At this sound, I smiled faintly for no reason and fell into a deep sleep.
I learned later that the newborn baby died in less than five minutes. Even though it was just a lump of flesh, didn't it have properly formed eyes, nose, mouth, and ears, and unlike a plaster doll (石膏人形), wasn't it a living being possessing a fluttering life? It disappeared merely five minutes after coming into the world. Since I never saw its smiling face, it's unlikely that deep affection would have attached itself. Since I never heard it call "Mommy, Daddy," motherly love likely hadn't formed either. Yet, somehow, it felt desolate.
In Shanghai, when a young child dies, complicated procedures are required for burial. One must go to the Municipal Council (工部局) – now the Public Security Bureau (公安局) – to obtain a burial permit, and also make prior arrangements with the Crematorium (火葬場). But on that day, it was already getting dark.
My husband went outside and came back having bought a blanket. He tightly wrapped the little corpse in it, laid it under the bed (寢台), and we, the couple, slept on that bed.
Somehow, even though the child's breath had stopped, because it came from my body, I felt a sense of loss and pity, and wanted to hold it close to my body and sleep with it for just one night. If my husband hadn't strongly dissuaded me, saying it wasn't good for my postpartum body, wouldn't I have stayed up all night weeping, holding that dead body?
The next day, having thought about it, we donated this body to the university hospital there. The university hospital decided to dissolve it in alcohol and keep it in a glass jar.
We wept quietly in Shanghai, with the joy of having made a contribution to human culture. (End) <37>
<35-37>

**Summary**

Pak Kyŏnghŭi, a Korean vocalist studying in Tokyo, recounts her move to Shanghai in 1927 to join her husband, Yi Yŏsŏng, and continue her music studies with a Russian émigré teacher. She describes the chaos and fear during the arrival of the Kuomintang forces, witnessing street fighting, civilian casualties, and notably, armed female KMT plainclothes soldiers displaying bravery. Amidst this turmoil, she also recalls participating in Shanghai's expatriate social life, performing at the prestigious Carlton Cafe. The memoir culminates in the painful memory of giving premature birth after a difficult four-day labor, only for the infant daughter to die within minutes. Due to bureaucratic hurdles and the late hour, she and her husband kept the baby's corpse under their bed overnight before deciding to donate it to a university hospital for medical study, finding a bittersweet sense of contributing to "human culture."

From a historical perspective, the article offers a rare female Korean voice describing life in Shanghai during the turbulent late 1920s. It provides a vivid ground-level view of the Northern Expedition's impact on the city, including the often-overlooked role of women in the conflict (KMT plainclothes units). The juxtaposition of political violence with the expatriate cultural scene (Carlton Cafe, Russian émigré teacher) highlights the complex layers of colonial-era Shanghai. Furthermore, the personal tragedy of childbirth and infant death, coupled with the decision to donate the body, offers insights into personal coping mechanisms, modernizing attitudes towards medicine/science among some Koreans abroad, and the specific difficulties faced by Koreans living outside the peninsula during this period.

**Named Entities**

東京	도쿄	Tokyo
上海	상하이	Shanghai
伊太利	이태리	Italy
李如星	이여성	Yi Yŏsŏng
閘北寶山路	갑북보산로	Chap'uk Posan-ro
佛蘭西租界	불란서조계	Pullan'sŏ Choge (French Concession)
露西亞	노시아	Nosia (Russia)
帝室音樂學校長	제실음악학교장	Cheshil Ŭmak Hakkyo-jang (Imperial Music School Director)
마-신	마신	Ma-shin
北歐人	북유인	Pugyu-in (Northern European)
英美國	영미국	Yŏngmiguk (Britain and America)
英租界	영조계	Yŏng Choge (British Concession)
國民黨	국민당	Kungmindang (Kuomintang)
中國 군대	중국군대	Chungguk Kundae (Chinese Army)
王大人	왕대인	Wang Taerin (Term for Chinese men)
小姐	소저	Sojŏ (Term for Chinese young women)
北站	북참	Pukcham (North Station)
英國육군	영국육군	Yŏngguk Yuk'kun (British Army)
印度兵	인도병	Indo Pyŏng (Indian Soldiers)
便衣隊	편의대	Pyŏn'ŭidae (Plainclothes Unit)
軍閥 孫傳芳	군벌 손전방	Kunbŏl Son Chŏnpang (Warlord Sun Chuanfang)
칼톤, 캅페	칼톤카페	K'alt'on K'ap'e (Carlton Cafe)
패스트뺄니	패스트뺄니	P'aesŭt'ŭppaenni (Festival Ball)
金世鎔	김세용	Kim Seyong
什›蘭西	프랑스 (implied)	P'ŭrangsŭ (France)
工部局	공부국	Kongbubuk (Shanghai Municipal Council)
公安局	공안국	Kong'an'guk (Public Security Bureau)
火葬場	화장장	Hwajangjang (Crematorium)

**Glossary**

잇다가	있다가	while being; (older spelling of 있다가)
십픈	싶은	wanting to; (older spelling of 싶은)
게시든	계시던	who was staying/residing (honorific); (older form/spelling of 계시던)
마츰내	마침내	finally, eventually; (older spelling of 마침내)
옴기어논	옮겨놓은	moved (something) onto; (older spelling/form of 옮겨놓은)
엇슴니다	없습니다	there is not / am not / do not have (formal); (older spelling of 없습니다)
끗날	끝날	last day, final day; (older spelling of 끝날)
안저	앉아	sitting; (older spelling of 앉아)
끄을니어서	이끌려서 (implied); 졸려서 (context)	being led; drowsy/sleepy (context suggests drowsiness from spring sun); (unclear spelling, likely 이끌리어서 or 졸리어서)
회상	회상	reminiscence, recollection
역금	엮음	weaving together, compiling
租界	조계	concession (foreign settlement area in China)
쫏기어서	쫓기어서	being chased/driven out; (older spelling of 쫓기어서)
倉慌히	창황히	hastily, in panic
밧고잇는	받고있는	receiving; (older spelling of 받고있는)
두다려	두드려	knocking; (older spelling of 두드려)
들너서	들러서	stopping by; (older spelling of 들러서)
가티	같이	like, as, together with; (older spelling of 같이)
압 뒤	앞뒤	front and back
거러가든	걸어가던	who were walking; (older spelling of 걸어가던)
다수한	다수한	numerous, many
딸아옴니다	따라옵니다	follows (formal); (older spelling of 따라옵니다)
도라보니	돌아보니	turning around and looking; (older spelling of 돌아보니)
觸鼻하며	촉비하며	hitting the nose (smell)
마즌편	맞은편	opposite side; (older spelling of 맞은편)
복는드시	볶는듯이	as if roasting (beans - describing rapid gunfire sound)
쪽기어	쫓기어	being chased; (older spelling of 쫓기어)
패주	패주	rout, fleeing after defeat
너머지는	넘어지는	falling down; (older spelling of 넘어지는)
만터이다	많더이다	there were many (narrative); (older form/spelling of 많더이다)
되오매	되매	as it becomes; because it became
다름박질	달음박질	running, dashing
맛당치 안으리까	마땅치 않으리이까	Wouldn't it be natural/right?; (older form of 마땅하지 않겠습니까)
철시	철시	closing shops
덥다십히	덥다시피	as if covering; (older spelling of 덥다시피)
자최	자취	trace, tracks; (older spelling of 자취)
끈처지더이다	끊어지더이다	ceased, was cut off (narrative); (older spelling of 끊어지더이다)
심담	심담	heart and gall bladder (metaphor for courage)
빼아서	빼앗아	snatching away, robbing
업섯소이다	없었소이다	there was not (narrative polite); (older spelling of 없었소이다)
엇더케	어떻게	how; (older spelling of 어떻게)
되엇슬가	되었을까	what might have happened?; (older spelling of 되었을까)
흐터지는	흩어지는	scattering; (older spelling of 흩어지는)
아렷스랴	알았으랴	How would I have known?; (older form/spelling)
차저	찾아	searching for, finding; (older spelling of 찾아)
단속적	단속적	intermittent, discontinuous
마듸	마디	word, phrase, joint; (older spelling of 마디)
밧가트	바깥	outside; (older spelling of 바깥)
실니여	실리어	being loaded; (older spelling of 실리어)
잇글니어	이끌리어	being led; (older spelling of 이끌리어)
만헛지요	많았지요	there were many, weren't there?; (older spelling of 많았지요)
아저씨	아저씨	uncle; term for a married man or male relative older than oneself
밧슴니다	봤습니다	saw (formal); (older spelling of 보았습니다)
불넛나이다	불렀나이다	sang (narrative polite); (older spelling of 불렀나이다)
불늘수	부를 수	able to sing; (older spelling of 부를 수)
어럽더이다	어렵더이다	it was difficult (narrative); (older spelling of 어렵더이다)
나흘	나흘	four days
미치어	미치어	reaching, lasting for
경계선	경계선	boundary line
도라단엿든	돌아다녔던	wandered around; (older spelling of 돌아다녔던)
란로	난로	stove, heater
조식	조식	simple meal, coarse food
대려다	데려다	bringing (a person); (older spelling of 데려다)
작만되고	장만되고	being prepared/procured; (older spelling of 장만되고)
붓기	붙기	catching (fire); sticking
업시	없이	without; (older spelling of 없이)
과하여진	과하여진	imposed, levied
여들애	여드레	eight days (*Error in original text? Context says '나흘'=4 days. Possibly misspoken or typo for 나흘? Or meant 8 intervals? Used 'eight cycles' in translation assuming intervals*)
나엇나이다	낳았나이다	gave birth (narrative polite); (older spelling of 낳았나이다)
혼돈하여	혼돈하여	being confused, dazed
드럿나이다	들었나이다	heard (narrative polite); (older spelling of 들었나이다)
버리엿나이다	버렸나이다	discarded, ended up (narrative polite); (older spelling of 버렸나이다)
말엇나이다	말았나이다	ended up (dying); (older spelling of 말았습니다)
업겟지요	없겠지요	there probably isn't/won't be; (older spelling of 없겠지요)
생겻슬리도	생겼을 리도	there's no way it would have formed; (older spelling of 생겼을 리도)
엇전지	어쩐지	somehow, for some reason; (older spelling of 어쩐지)
맛고	맡고	receiving, obtaining (permission); (older spelling of 맡고)
저물엿더이다	저물었더이다	it got dark (narrative); (older spelling of 저물었더이다)
사왓더이다	사왔더이다	bought and came back (narrative); (older spelling of 사왔더이다)
묵거서	묶어서	tying up, binding; (older spelling of 묶어서)
침대	침대	bed (loanword)
잣섯나이다	잤었나이다	slept (narrative polite); (older spelling of 잤습니다)
앗갑고	아깝고	feeling it's a waste/pity; (older spelling of 아깝고)
십더이다	싶더이다	wanted to (narrative); (older spelling of 싶더이다)
업섯드라면	없었더라면	if there hadn't been; (older spelling of 없었더라면)
새이지 안엇스리까	새우지 않았으리이까	Wouldn't I have stayed up all night?; (older form of 새우지 않았겠습니까)
잇서	있어	being, having (thought); (older spelling of 있어)
알골	알코올 (implied)	alcohol (likely misspelling/old form 알코올)
절구어서	절여서 (implied)	pickling, preserving (in alcohol); (unclear spelling, likely 절여서)
너허두기로	넣어두기로	deciding to put in and keep; (older spelling of 넣어두기로)
깃붐	기쁨	joy, gladness; (older spelling of 기쁨)
우섯나이다	웃었나이다	laughed, smiled, wept (context implies weeping); (older spelling of 웃었나이다)


---------------------------


잡지명	삼천리 제13호
발행일	1931년 03월 01일
기사제목	動亂의 上海, 一音樂家가 愛兒屍體를 안고 울든 記錄
필자	朴慶姬
기사형태	회고·수기

動亂의 上海, 一音樂家가 愛兒屍體를 안고 울든 記錄
						朴慶姬
東京에서 上海로
내가 東京音樂學校에서 성악을 배우고 잇다가 멀니 伊太利로 공부가고 십픈 생각과 또한 그 당시 몸을 해외에 피하고 게시든 남편(記者註=李如星氏)의 뒤를 따르고저 中國行을 결심하고 마츰내 上海埠頭에 감명 깁푼 첫발자곡을 옴기어논 것은 1927년 봄이엇슴니다. 그로부터 閘北寶山路의 「아바-트, 멘트」에 조고마한 세방을 어더가지고 우리들이 2년동안이나 지내든 그 上海의 생활은 첫날부터 끗날까지 실로 공포와 경이와 고난의 가장 긴장된 연속이엇슴니다.
이제 첨아끗헤 날려드는 강남제비를 바라봄애 撫然한 생각에 回憶하니 벌서 4년의 日月이 그 사이를 흘럿슴니다그려. 陽地짝에 안저 봄빗에 끄을니어서 一片의 이 회상을 역금이 또한 뜻업는 일이릿가.

娘子軍의 活躍

