Magazine Title: 삼천리 제13호
Publication Date: 1931년 03월 01일
Article Title: 京城 獨身女性 合宿所風景 (Scenes from a Kyŏngsŏng Single Women's Boarding House)
Author: 草士 (Ch'osa)
Article Type: 소식 (News/Report)

京城 獨身女性 合宿所風景
						草士

I met Ms. M, carrying her husband, heading towards Ch'anggyŏngwŏn for an outing in front of Posin'gak Pavilion on Chongno.

"Where is the 'apartment,' the one where only women live, having cast aside men?"

"Ah, yes. Where on earth did you hear about it already?" she asked, raising a finger and pointing towards the side alley next to Hwasin Department Store. Ms. M's husband holds a Master's degree (碩士). I seem to recall hearing Ms. M proudly mention some time ago, as a sort of discourse on fidelity (守節論), that he too lived alone for six years in a rented room in an "apartment" while studying abroad in America (亞米利加). If one were to ask the painter (畵伯) Mr. SC to express this, he would likely belong to the category that says, "I like 'Menthol,' jazz band, mannequin girls, and 'apartment'."

The day is warm. The warmth of March creeps quietly down like a cat's steps and settles onto my back. For the first time this year, I took off my overcoat (外套) and slung it over my shoulder.

As I turned the corner of the three-story department store, a delivery man (配達夫) from the Imunan Seolleongtang restaurant passed by, carrying steaming earthenware bowls (뚝벅이그릇) on his shoulder. Since I didn't know, I had no choice but to ask, but he seemed unaware of this fresh and nimble collective living unit of the new era, shaking his head sideways. Having no other choice, I trusted Ms. M's words and set off. Listening to the sound of the rotary press (輪轉機) from Taedong Printing Company (大東印刷會社), I passed the Kongp'yŏng Liquor Store (公平酒店), passed by the Chŏndong Restaurant (典洞食堂)... and the signboard (看板) reading "Kŭnhuhoe Headquarters" (槿友會本部) caught my eye. Oh dear, I thought it wasn't this far... and turned my right foot back. Which house could it be?

According to stories heard from people recently returned from Tokyo (東京), Japan has countless boarding houses (合宿所) where single women live together.<46> In Aoyama (靑山), in Shibuya (澁谷)... So, women from all working strata (勤勞層), from female bank and company clerks, female teachers, waitresses (女給), to female activists of proletarian parties (無産政黨) and accomplished female writers (閨秀文士), all find a place of carefree, stable residence in large, three- or four-story "apartments" and focus wholeheartedly on their professions. The organization of these "apartments" likely varies, but generally, places with over a hundred rooms have communal dining halls (共同食事場), communal bathing places (共同沐浴場), and communal laundries (共同洗濯場). Libraries (圖書室) or newspaper reading rooms (新聞閱覽室) are usually present, and more well-equipped places even have "childcare homes" (育兒홈-) to look after the young children of working women throughout the day. The larger they are, the more complete they become, like a comprehensive miniature (縮圖) of human communal living. Even in smaller boarding houses with only a few dozen rooms, they usually provide at least a recreation room (娛樂室). Some offer communal meals, while others operate on a system of renting out only rooms.

The facilities of "apartments" develop as life becomes more complex and civilization advances. How many communal residences are there in the pleasant suburban areas with good air and water in every major American city, let alone in Russia (露西亞)...?

But what kind of facilities does the Seoul "apartment" I am currently seeking possess? Lacking even the slightest preliminary knowledge about it, I even feel some hesitation (躊저) about visiting this "apartment."

From somewhere, a verse of the "Panga T'aryŏng" (방아타령 - Milling Song) drifts quietly. It seems to flow from an electrically recorded musical score (電氣叭入한 音譜) played by the hands of Messrs. Paek Myŏng-gon, Ch'oe Ho-yŏng, and others of the "Korean Jazz Band" (코리앤, 째즈빤트)...

The first spring day of March tempts one to lean against a roadside wall and take a nap. My body feels endlessly weary.

The machinery at the Taedong Printing Company, well-oiled, continues to turn smoothly.

Just then, a young woman resembling a female bank or company clerk, holding a book bundle (冊褓), bustled out from a Western-style door (洋式또아) over there and headed towards the Chongno intersection, startling my retina (膜綱). "Perhaps..." I thought, and went right up to the house she had emerged from. The address only read Kongp'yŏngdong... (公平洞...), with no owner's nameplate (門碑). However, being a single-story Western-style house with red paint on the walls and pillars adorned with *tanch'ŏng* (丹靑), and a building where lines and points intersected in a notably unusual way, a confidence and sixth sense arose within me that if there were an "apartment" in Seoul, this house must certainly be it, unless there were none at all.

I blindly turned the doorknob (또아를 틀엇다).

Inside, it was quiet. The structure resembled the rooms of a hospital. That is, a hallway stretched endlessly in a 凵 shape, and along this hallway, numerous rooms with only sliding doors (미다지만) were visible.

From the room nearest the entrance (문깐방), the hushed voices of women could be heard, but then, perhaps startled by the intrusion of a man into this 'men forbidden' (男性禁制) garden, the conversation abruptly stopped, and silence fell as if washed over by water.

Since I could clearly see all the way to the rearmost door at a glance, I couldn't very well shout "Is anyone home?" (이리오너라), so, like an old village schoolmaster (老訓長) clearing his throat before scolding students, I coughed very solemnly a couple of times,<47> and asked,
"Is anyone here?" (누가 게심니까)

A failing grade? There was no answer. Perhaps because it was a women's realm (女人國), only the scent of cosmetics (脂粉냄새) pierced my nose. An indescribable atmosphere unique to women seemed to be fermenting (醱酵하고) within the room.

I called out once more.

Only then did a presence stir in the room closest, likely "Number One," and then a half-moon-like white face peeked out halfway, and then,
"Who are you looking for?" (누구를 찻슴니까?)

I saw it was Ms. Sim Ŭn-suk (沈恩淑). A fierce female activist (女流猛鬪士) of the Kŭnhuhoe (槿友會). Only then,
"Ah, why have you come? Who are you looking for?"
"Ms. Sim, you live here too?"
And I stepped up onto the wooden floor (마루). Over there—at a point situated diagonally about 60 degrees away, as if Ms. Sim Ŭn-suk's room here were Inch'ŏn and that point were Shanghai—another room door opened, and
"Oh my, what is this?"
exclaimed Ms. U Pong-un (禹鳳雲), stepping out with both arms abruptly raised, still bare – also a veteran activist (老鬪士) of the Kŭnhuhoe.
"I was just polishing utensils (기명), that's why my arms are all rolled up like this."
Indeed, she appeared to have been polishing utensils, her hands and arms covered in the blue abrasive powder used to remove tarnish (녹) from metalware. On her head, she wore a white kerchief (힌골보) tied tightly, like a P'yŏngyang woman doing laundry at Yŏn'gwangjŏng Pavilion (練光亭).

Other rooms – perhaps more than ten small households in total – seemed clearly occupied, but remained quiet. Or perhaps they were empty. If they were female teachers or bank clerks, it being exactly one o'clock in the afternoon, they would likely be standing at the classroom podium asking,
"Pok-sun, explain why the Earth is round."
"Yes, Teacher, because you said it's round."
wrestling with students' hair (머리를 뜻고 - likely means dealing with students), or else sitting at their desks working the abacus, saying,
"Fifty chŏn, sir. Nine wŏn and ninety-nine chŏn." (오십전나리오, 구원구십구전얘요.)
At such a time, it's unlikely anyone would be in their rooms. When the sun sets in the west and the moon rises in the east (日落西山, 月出東嶺) – no, that would be too late. When the wall clock (壁上에 掛鍾) strikes four (넉점) – ding, ding – and the wheels (박휘) of the Taedong Printing machinery next door (겻집) grind to a halt (뚝 끈으면), they will likely return home with brisk steps from work (仕退) and prepare their evening meals.

I didn't know how many households (家口) lived in this house. Nor did I know if all the "members" were single women like Ms. U Pong-un. And even if it was communal living, how did it work – for instance, did they cook rice together and take their portions in their own rice containers (밥통) to eat alone facing the wall in their rooms? Were facilities like a laundry area (빨내터) or childcare space (育兒場) provided?

Furthermore, I didn't know how they managed their way of life (生活의 方式). That is, if there were five people living in this house, did they pool their daily earnings from their jobs and distribute the sum equally to buy rice and firewood?

There were no definite answers to these various questions, even when asked. It seems that since the establishment is recent, the rules and methods haven't been fully formulated yet.

Therefore, it would be natural to say that the outline (輪廓) of this "apartment" will become clearer in the future (來日), but for today, it remains unknown.<48> Wouldn't it be correct to see the "apartment," a clear tentacle of new era living, as now attempting to reign over the unique Korean way of life...?

However, the outline (아웃트, 라인) of this house, as grasped by my sixth sense, seemed to be as follows:
For now, it appears rooms are rented out, and Ms. U, Ms. Sim, and the others have each secured a room. Thus, cooking, laundry, buying rice and firewood are all done individually, with their own money. And while it wasn't restricted to single women (獨身婦人), ultimately, the majority, starting with Ms. U Pong-un, are single women. Also, although it wasn't explicitly agreed that only working women would live there, naturally, female teachers, female clerks, and female activists from the social movement front have gathered to live together.

Nevertheless, even though it is still in its nascent stage (胎生期), the fact that it is shaping itself into the form of a modern "apartment" is undeniable, and one cannot help but call it a surprising existence (驚異的 存在) in Korea.

Where might Ms. M, whom I met earlier at Posin'gak, be now, perhaps looking at flowers in the botanical garden (植物園)?
-(End)-＜49＞

**Summary**

The article describes the author's search for and brief visit to a newly established women's communal living space, referred to as an "apartment," in Kyŏngsŏng (colonial Seoul) in 1931. Inspired by similar facilities for single working women in Tokyo and the West, this Kyŏngsŏng version appears rudimentary. The author finds a building housing several women, including prominent Kŭnhuhoe activists Sim Ŭn-suk and U Pong-un, but notes the lack of formalized communal systems (like shared finances or meals) typical of established apartments. It seems more like individual room rentals primarily occupied by single, working women.

From a historical perspective, the article is interesting as it documents the very early emergence of new, Western-influenced lifestyles for Korean women in the colonial capital, specifically the concept of independent living for single working women. It reflects the social changes and aspirations among educated and socially active women, contrasting this "modern" living arrangement with traditional expectations. The mention of Kŭnhuhoe activists residing there highlights the connection between women's social movements and changing living patterns. The reporter's curiosity and slight bewilderment also capture the novelty of such an establishment in 1930s Korea.

**Named Entities**

京城	경성	Kyŏngsŏng
獨身女性	독신여성	Single Women (as a concept/group)
草士	초사	Ch'osa
鍾路	종로	Chongno
普信閣	보신각	Posin'gak
昌慶苑	창경원	Ch'anggyŏngwŏn
M女史	M여사	Ms. M
和信百貨店	화신백화점	Hwasin Department Store
亞米利加	아미리가	Amirika (America)
SC氏	SC씨	Mr. SC
大東印刷會社	대동인쇄회사	Taedong Printing Company
公平酒店	공평주점	Kongp'yŏng Liquor Store
典洞食堂	전동식당	Chŏndong Restaurant
槿友會本部	근우회본부	Kŭnhuhoe Headquarters
槿友會	근우회	Kŭnhuhoe
東京	동경	Tonggyŏng (Tokyo)
日本	일본	Ilbon (Japan)
靑山	청산	Ch'ŏngsan (Aoyama)
澁谷	삽곡	Sŏpkoku (Shibuya)
露西亞	노서아	Nosia (Russia)
白命坤	백명곤	Paek Myŏng-gon
崔虎永	최호영	Ch'oe Ho-yŏng
코리앤, 째즈빤트	코리앤 재즈밴드	Korean Jazz Band
公平洞	공평동	Kongp'yŏngdong
沈恩淑	심은숙	Sim Ŭn-suk
禹鳳雲	우봉운	U Pong-un
平壤	평양	P'yŏngyang
練光亭	연광정	Yŏn'gwangjŏng

**Glossary**

아빠-드, 멘트	아파트먼트	Apartment (loanword, early form)
合宿所	합숙소	Boarding house, dormitory
携帶하고	휴대하고	Carrying (older usage with 하다 verb)
들엇서요	들었어요	Did you hear? (older spelling)
엽골목	옆골목	Side alley (older spelling '엽')
안헤	아내	Wife (older spelling)
守節論	수절론	Discourse on fidelity/chastity (used humorously)
畵伯	화백	Painter, artist
外套	외투	Overcoat
억개에	어깨에	On the shoulder (older spelling)
설넝탕	설렁탕	Seolleongtang (beef bone soup, older spelling)
뚝벅이그릇	뚝배기 그릇	Earthenware bowl (older spelling)
질머메고	짊어 메고	Carrying on the shoulder/back (older spelling/phrasing)
밋고	믿고	Believing, trusting (older spelling)
輪轉機	윤전기	Rotary press
드르며	들으며	While listening (older spelling)
엽흘	옆을	Beside, the side of (older spelling)
看板	간판	Signboard
이약이	이야기	Story, talk (older spelling)
엇더케	어떻게	How (older spelling)
만흔지	많은지	How many, many (older spelling)
女給	여급	Waitress, female employee (term used in this era)
無産政黨	무산정당	Proletarian party
閨秀文士	규수문사	Accomplished female writer (somewhat archaic term)
勤勞層	근로층	Working class/strata
共同食事場	공동식사장	Communal dining hall
共同沐浴場	공동목욕장	Communal bathing place
共同洗濯場	공동세탁장	Communal laundry place
圖書室	도서실	Library
新聞閱覽室	신문열람실	Newspaper reading room
育兒홈-	육아홈	Childcare home, nursery (early use of 'home')
縮圖	축도	Miniature, reduced scale drawing, epitome
貰를 주는	세를 주는	To rent out (using older particle '를')
차저가는	찾아가는	Going to look for, seeking (older spelling)
엇든	어떤	What kind of, some (older spelling)
업스니만치	없으니만치	As there is none (older spelling/grammar)
躊저	주저	Hesitation
어대서	어디서	From where (older spelling)
흘너들닌다	흘러들린다	Drifts in, flows in (older spelling)
빤트	밴드	Band (music, early loanword spelling)
십흔	싶은	Wanting to (older spelling)
끗업시	끝없이	Endlessly (older spelling)
冊褓	책보	Book bundle, cloth wrapper for books
奔走히	분주히	Busily
막강	망막	Retina (here used metaphorically for 'eyes')
놀래인다	놀래킨다	Surprises, startles (older causative form)
나오든	나오던	Who came out (older spelling)
차저가니	찾아가니	Went to look for (older spelling)
업다	없다	To not exist, to lack (common older spelling)
섯슬	섰을	Would have stood (older spelling)
類달니	유달리	Unusually, particularly
빼어노코는	빼놓고는	Excluding, except for (older phrasing)
잇슬	있을	Will be, likely to be (older spelling)
갓지	같이	Like, as if (older spelling)
미다지	미닫이	Sliding door
문깐방	문간방	Room near the entrance gate/door
드러왓간데	들어왔기에	Because (someone) entered (dialectal/older grammar)
이약이	이야기	Story, talk (older spelling)
씨슨 듯	씻은 듯	As if washed
불늘수도	부를 수도	Cannot even call (older spelling)
업서서	없어서	Because there isn't (older spelling)
기츰	기침	Cough
게심니까	계십니까	Is anyone here? (older polite interrogative)
脂粉	지분	Face powder and rouge; cosmetics
얼골	얼굴	Face (older spelling)
찻슴니까	찾습니까	Are you looking for? (older polite interrogative)
엇재	어째	Why, how come (older spelling)
오섯서요	오셨어요	Did you come? (older spelling)
올나섯다	올라섰다	Stepped up (older spelling)
닥느라고	닦느라고	While polishing/cleaning (older spelling)
게시든	계시던	Who was (doing something - honorific, older spelling)
힌골보	흰 수건	White kerchief/headcloth (likely interpretation)
掛鍾	괘종	Wall clock
넉점	넉 점	Four o'clock (older spelling of '넉')
겻집	옆집	House next door (older spelling)
박휘	바퀴	Wheel
끈으면	끊으면	If it stops (older spelling)
거름	걸음	Step, walk
몃	몇	How many, several (older spelling)
몰낫다	몰랐다	Did not know (older spelling)
엇젓지도	어떤지도	How it is (older spelling)
잡스시는지	잡수시는지	Whether they eat (honorific, older spelling)
업섯다	없었다	There was not (older spelling)
안어서	않아서	Because not (older spelling)
짜이어지지	짜여지지	Not organized/formed (older spelling)
안는듯하다	않은 듯하다	Seems not to be (older spelling)
아웃트, 라인	아우트라인	Outline (loanword)
엇더들고	얻어 들고	Renting and living in (older phrasing)
잇다하여도	있다 하여도	Even though it exists (older spelling)
驚異的 存在	경이적 존재	Surprising/marvelous existence
맛나든	만나던	Whom I met (older spelling)


---------------------------


잡지명	삼천리 제13호
발행일	1931년 03월 01일
기사제목	京城 獨身女性 合宿所風景
필자	草士
기사형태	소식

京城 獨身女性 合宿所風景
						草士
鍾路普信閣압헤서 男便을 携帶하고 昌慶苑으로 놀너가는 M女史를 만낫다.
「아빠-드, 멘트」가 어데잇서요. 男子들만 가리어 던지고 女性들만 사시는?」
「올치 올해. 대관절 벌서 어듸서 들엇서요?」
하고 손까락을 드러 和信百貨店의 엽골목을 가르친다. M女史의 男便은 碩士다. 그도 亞米利加에 가서 留學할 때에는 「아빠-드, 멘트」에 방한간을 세를 주고 어더들고서 6년을 獨身으로 지냇다는 守節論을 얼마전에 그 안헤 M女史의 입에서 자랑삼아 들은 법하다. 萬一 畵伯SC氏더러 이 말을 表現하라하면
「아이, 라이크, 멘치폴, 째즈벤드, 마네킹껄크, 앤드 「아빠-드, 멘트」
라하는 部類에 氏도 屬할 것이다.
날은 땃듯하다. 3월의 陽氣는 고양이 거름으로 고요히 기어내려와 등에 업힌다. 금년 처음으로 外套를 버서 억개에 메엇다.
3층 百貨店 모통이를 돌자 리문안설넝탕집으로 配達夫가 김이 무럭무럭나는 뚝벅이그릇를 질머메고 지나가는 것이잇다. 내사 모르니 무를밧게, 그러나 그는 새 時代의 이 新鮮하고도 輕快한 集團生活的 單位體를 모르는 모양으로 골을 모로 흔든다. 할수업시 M女史의 말만 밋고 작고 나간다. 大東印刷會社의 輪轉機 도는 소리를 드르며 公平酒店을 지나 典洞食堂 엽흘 지나... 눈에는 「槿友會本部」라는 看板이 덜컥 나진다. 앗불사 여기까지 아니가고 잇다든데... 하고 도로 우향右便 발을 돌닌다. 어느 집인가?.

요지간 東京서 나온 사람의 이약이를 들르면 日本에는 獨身女子들이 모아사는 合宿所가＜46＞ 엇더케 만흔지 모른다고 한다. 靑山에도, 澁谷에도... 그래서 銀行會社의 女事務員으로부터, 女敎員, 女給, 또 無産政黨의 女流鬪士와 閨秀文士들까지 모든 勤勞層에 속하는 婦女들이 모다 크다라케 3,4層으로 지은 「아빠-트」속에 실음 업는 安住의 터를 잡고서 마옴노코 제 職業에 힘쓴다고 한다. 「아빠-트」의 組織은 各其 다르겟지만 大槪 房이 百餘個되는 곳에는 그안에 共同食事場, 共同沐浴場, 共同洗濯場이 잇고 圖書室이나 新聞閱覽室은 依例 잇고 또 좀더 完備한 곳이면 「育兒홈-」까지 두어서 勤勞婦人을 위하야 終日 그 어린 아해들을 마터 길너준다고 한다. 크면 클사록 人類共同生活의 한 縮圖가티 綜合型으로 完備하여 질 것이나 그러치안코 房도 數十밧게 아니되는 合宿所에 이르러도 서로 娛樂室쯤은 둔다고 한다. 그래서 食事까지 함께 하는 곳도 잇고 그러치 안코 房만 貰를 주는 制度도 잇다고 한다.
「아빠-드」의 施設은 生活이 複雜하고 文明이 高度化할사록 發展된다. 亞米利加 큰 都市마다 空氣 좃코 물맛 조흔 郊外地에 엇더케나 만흔 共同住宅이 잇스며 더구나 露西亞에랴...
그런데 내가 지금 차저가는 서울「아빠-드」는 엇든 施設을 가진 곳인가. 나는 여기 대한 豫備智識이 조곰치도 업스니만치 「아빠-드」訪問에 대한 躊저까지 생긴다.
어대서 「방아타령」의 한구절이 고요히 흘너들닌다. 白命坤, 崔虎永씨등 「코리앤, 째즈빤트」손에서 電氣叭入한 音譜로부터 흘너나옴인 듯...
