Magazine Title: 삼천리 제14호
Publication Date: 1931년 04월 01일
Article Title: 떠나가는 大利權(三), 開城人蔘의 前途 - 年産數量15萬斤 - (The Great Right Departing (3), The Future of Kaesŏng Ginseng - Annual Production 150,000 Kŭn -)
Author: 朴尹錫
Article Type: 논설 (Editorial/Op-Ed)

The Great Right Departing
						Pak Yun-sŏk
Korean ginseng is a world-class super-specialty product. Ginseng, a miraculous elixir of Western medicine (泰西醫學界 靈材仙藥) that cannot yet be scientifically proven, truly revives the dying and amazes Eastern and Western people as a nourishing tonic. Among all the shrinking products of Korea, ginseng can still boast of being a unique specialty. Centered around Songdo, about 150,000 kŭn [斤, approx. 600g unit] are produced annually, along with over 13,000 kŭn from the vicinity of Kŭmsan in Chŏnbuk. However, under the Government-General's monopoly system (總督府專賣制度), its sale is restricted. The Monopoly Bureau buys it from private cultivators, prepares red ginseng (紅蔘) and other products, and then the Mitsui Company takes over the entire stock for sole distribution (一手販賣). It is mostly exported to China, where it is welcomed as an indispensable boudoir secret medicine (閨房秘藥) along with opium, and to other foreign countries. It has already been many years since this right was granted to Mitsui, establishing a monopoly. Regarding the unknown circumstances and inside story (裡面事情) of this, and the existence of a monopolistic system by a single conglomerate (資閥), various complaints have been growing among cultivators for years. Amidst an unprecedented great depression, the sharp fall of the silver exchange rate in China, and the revision raising tariff rates, the Mitsui Company, which exported heavily abroad, suffered significant losses. While racking their brains (勞心焦思) for countermeasures (補塡策), they finally demanded that the Monopoly Bureau, their supplier, reduce the payment amount (拂下額) by about 500,000 won, citing the 480,000 won increase due to the high tariff rates imposed by their company. The authorities, perhaps concerned about the significant impact on the monopoly, stated that the requested 500,000 won reduction would also greatly affect government revenue. Using the falling Chinese silver price and plummeting commodity prices as a pretext, they revised the purchase price, aiming to transfer the 500,000 won deficit onto the cultivators for compensation (轉嫁辨償). Trying to infringe upon others' rights to protect one's own interests cannot be considered anything but a vice. The cultivators' discontent regarding this is not simple; it is likely a protest against the attitude of the Mitsui Company conglomerate rather than just an issue with the authorities. It seems inexplicable why, for the sake of the inevitable phenomenon of financial market fluctuations and Mitsui's temporary predicament, the compensation price (賠償金價格) is being lowered, and this huge amount is being shifted onto the cultivators who are already suffering losses in their production balance. Regardless of the ever-changing high and low prices, ginseng requires no less than 5 to 6 years, demanding immense labor and sacrifice, including high production costs (高價의 生費). Why should the price of this painstakingly cultivated and harvested ginseng, which the Monopoly Bureau purchases anyway, be drastically lowered, citing various circumstances, for the benefit of Mitsui, which holds the unique<48> right of sole distribution? The producers inevitably must point out the policy errors and demand reflection on the unfair and unreasonable system that has persisted covertly until now. In other words, the issue is that it should either be bought expensively and sold expensively. However, the Monopoly Bureau always buys cheaply from the cultivators and sells cheaply (歇價) to Mitsui, so the only ones who suffer losses are the cultivators, and the only one who profits is Mitsui.

Despite this, and making things worse, the prices for each grade of ginseng have now been revised downwards by about 10% or more. The weak private individuals and cooperative members cannot overlook this. Using this issue as a trigger, they have explained their accumulated dissatisfaction and grievances to the authorities. Since this is also a matter of life and death (死活上 危機) for all ginseng businesses, they are determined to expose the wrongdoing (非違), promote the authorities' understanding (諒解) and reflection, and ensure the correction (訂誤) of the planned policy. The flaws revealed on the surface are:
First, granting the ginseng sales rights exclusively to Mitsui is absolutely unreasonable. The conglomerate Mitsui, having held this right for over 20 years, displays an arrogant and tyrannical (高慢하고 橫暴한) attitude, acting with impunity (眼下無人). The net profit already obtained amounts to tens of millions of won, giving them a superior position capable of influencing the Ginseng Monopoly Act. Even if, as the Monopoly Bureau claims superficially, China's silver price has plummeted continuously since August of the year before last, considering Mitsui's transaction status and the authorities' revenue decrease, it might not be entirely illogical if the deficit were shared equally among Mitsui, the private sector, and the authorities. However, despite Mitsui having already reaped enormous profits from its unique position in the past, it is an unacceptable fact for the authorities to disregard the numerous cultivators and act coldly to overcome the current temporary downturn and difficult situation!
Second, there is the issue of the region where the monopoly system is implemented (實施地域問題). Currently, this law is enforced only in the areas of Kyŏnggi, Chŏnbuk, 2 provinces, 1 prefecture, and 6 counties, centered around Kaesŏng Prefecture, the special production area for ginseng. Therefore, just one step outside this area, anyone can freely cultivate and produce ginseng, which significantly affects the production of cultivators within the restricted monopoly zone. Furthermore, it allows for smuggling (密輸出) to China, ultimately reducing the effectiveness (效果) of the monopoly system that strictly exists only within the zone.
Third, dissatisfaction with grade inspection (等級鑑定)- When ginseng, cultivated with utmost care and sweat for 5-6 years, is delivered to the authorities under the Monopoly Ordinance, Mitsui employees invariably attend and unreasonably interfere (無理한 干涉) with the grade inspection. They often restrain (牽制) the inspection process, force strict selection (嚴選), and thereby directly and indirectly affect the cultivators' interests.
Fourth, change of loan source (資金貸出先變更) - Previously, low-interest funds for ginseng cultivation were provided by the Industrial Bank (殖産銀行). Some time ago, a change was decided upon. At the authorities' urging (慫慂), the Ginseng Growers' Cooperative (蔘業者組合) agreed (附託可決) to change the loan source to the Mitsui Bussan Company. The Mitsui Bussan Company promised to provide loans at an even lower interest rate than the Industrial Bank, guaranteeing benefits for cooperative members. However, this condition was only superficial (表面); it was discovered that, in reality (裡面), it ultimately caused great losses to the cooperative members.
Thus, facing difficulties and the hidden maneuvers of the great conglomerate from various angles, now, adding insult to injury (雪上加霜), the authorities' reduction of the compensation price (償金價格) will cause cultivators to suffer total losses estimated at least one million won. Even before this problem arose, looking at the actual income and expenditure (實際收支狀況) of cultivators, cultivating 1,000 p'yŏng [坪, approx. 3.3 sq meters unit] with utmost care for a minimum of 5 years yields about 1,800 kŭn of ginseng. Of this, about 400 kŭn are purchased for red ginseng processing: (Grade A) approx. 200 kŭn - market price about 1,440 won; (Grade B) approx. 200 kŭn - market price about 940 won. The remaining 1,400 kŭn, not selected, become white ginseng (白蔘) disposed of at the cultivator's discretion (任意로 處分) - market price 1,400 won. The total income reaches 3,780 won. However, the production cost for 1,000 p'yŏng is 4,800 to 5,000 won (per p'yŏng for 5 years: cultivation wages, fertilizer, land tax, miscellaneous expenses, approx. 4 won 80 chŏn to 5 won). Ultimately, this results in a loss (缺損) of over 1 won 30 chŏn per p'yŏng, totaling 1,300 won per thousand p'yŏng. Is there anyone to whom they can tell this bitter grievance? <49>

Thus, suffering actual losses on the balance sheet (實際算盤上), while the price of ginseng, cultivated diligently for many years regardless of fluctuations in wages, fertilizer, and other prices, is manipulated at the whim of the Mitsui Company due to the timely recession and the collapse of the silver exchange rate in China, the place of sale, ultimately pushing cultivators into a corner – this seems an impossible perspective no matter how you look at it. Furthermore, synthesizing various facts from before and after reveals various dissatisfactions and long-held grudges (宿感). On the 13th, about 300 members of the Ginseng Growers' Cooperative gathered to resolve the immediate issue. Under the chairmanship of Cooperative Head Son Pong-jo, they discussed countermeasures amidst tension. They intend to petition and protest (陳情抗辨) to political authorities about this issue, which is a matter of economic life and death for the entire Kaesŏng vicinity, and there are inauspicious (上書롭지 못한) signs that they might even resort to a cultivation strike (不栽培同盟) under certain circumstances. In response, the Government-General Monopoly Bureau hastily released a statement:

Summary of the Government-General Monopoly Bureau Statement
First, reason for price reduction - Since the Monopoly Bureau's red ginseng is almost entirely exported to China, due to the great crash of the silver exchange rate, the increase in Chinese import tariffs on January 1st of this year, and the sharp decrease in the Bureau's red ginseng monopoly revenue, this measure was unavoidable. Specifically, at the time of the red ginseng sale price agreement for the 1929 fiscal year (Showa 4), the exchange rate against the Japanese Yen was 80 taels [兩], but at the time of last year's agreement, it had fallen to 124 taels. Thus, red ginseng sales last year decreased by a total of 1,240,000 won compared to the year before last. However, the silver exchange rate continued to fall sharply, reaching 158 taels last January, meaning this year's revenue has already decreased by 450,000 won compared to last year.
Second, import tariff issue - The tariff rate has almost doubled compared to before, increasing the total amount by over 420,000 won. Adding this up, the total loss compared to 1929 (Showa 4) reaches over 2,120,000 won.
Third, red ginseng price in China - However, if the price of red ginseng in China had risen, there would be no issue one way or another (이럿튼 저럿튼). But since forcing a price increase equivalent to the huge loss incurred by the Bureau is impossible, there is ultimately no other way but for this loss to be mutually shared (互相 分擔) among the Monopoly Bureau, the seller, and the cultivators. Therefore, the compensation price for raw ginseng (水蔘賠賞償價格) has been revised downwards by about 10%, roughly 130,000 won.
Fourth, low-interest fund financing issue - It is true that ginseng requires at least 5 years from transplanting to harvest. To mitigate the various financial market impacts and unpredictable risks faced by cultivators during this long period, efforts were made to arrange (幹旋) financing. However, the Ministry of Finance's Deposit Bureau (大藏省預金部) was uncooperative, and the Industrial Bank (殖産銀行) also expressed reluctance, stating it could not provide loans at a lower interest rate. Fortunately, the Mitsui Company offered to provide funds at a low interest rate, so arrangements were made through them. Etc., etc.

Examining the content, it uses the peripheral issue (一枝葉問題) of the silver exchange rate crash as its sole excuse (口實), avoiding its own responsibility. That Mitsui, which has profited from the monopoly for many years, is not affected at all (조곰도 [...] 못하고 - ellipsis in original), while the private cultivators, who have sweated for 5-6 years and braved all economic risks, are further XX [oppressed/exploited - original text censored/illegible], isn't this an unacceptable policy? If, as the Monopoly Bureau Director now states, such anxiety is fostered (助長식히게) among cultivators by merely following temporary economic phenomena, the monopoly system is [...] (한 것이다 - ellipsis/illegible). And although they say the raw ginseng compensation price was reduced by only 10%, in reality:
4-p'yŏn grade (superior quality) per kŭn, which was 17 won 30 chŏn, was reduced by 2 won 30 chŏn to 15 won.
5-p'yŏn grade per kŭn, which was 16 won, was reduced by 2 won to 14 won.
Even this shows a revised reduction of over 20% [Note: Calculation seems off in the original text; 2.30/17.30 ≈ 13.3%, 2.00/16.00 = 12.5%]. Indeed, while it is true that China's silver exchange rate has fallen, as the Monopoly Bureau Director stated, if the financial world improves in the future and the silver exchange rate recovers, will the authorities raise the compensation price (賠償金) again? If, despite a surge (暴騰) in China's silver price, the compensation price for cultivators is not raised, isn't it ultimately a policy to further [...] (方策이 아닐가? - ellipsis/illegible) the single conglomerate Mitsui? (End) -(March 16th)-

Korean Ginseng Export Statistics: Over 4,000 Kŭn in 1 Month
Looking at the export statistics for Korean ginseng over the recent month:
Japan: 4,186 kŭn
China: 120 kŭn
Straits Settlements and other American countries etc.: 63 kŭn
Red Ginseng 4 kŭn price: 15,850 Won. Recently, exports to the Shanghai area have decreased sharply (激減), which is seen as related to the tariff revision. <50>

**Summary**

This 1931 editorial by Pak Yun-sŏk details the plight of Korean ginseng cultivators, primarily in the Kaesŏng region, under the Japanese colonial Government-General's monopoly system. The core issue is a planned reduction in the purchase price paid to cultivators by the Monopoly Bureau. This reduction is attributed to falling silver prices in China (the main export market) and increased Chinese tariffs, which reduced the profits of the Mitsui Company, the sole distributor holding exclusive rights granted by the government. The author argues this unfairly burdens the already struggling cultivators, who face long cultivation periods (5-6 years) and high costs, often resulting in net losses even before the price cut. The article outlines cultivator grievances: the injustice of the Mitsui monopoly itself, the limited geographic scope of the monopoly enforcement (allowing competition and smuggling), alleged interference by Mitsui in grade inspections, and dubious changes in financing arrangements favouring Mitsui. Cultivators are organizing and threatening a cultivation strike. The Monopoly Bureau's official statement justifying the price cut by citing market conditions and claiming shared burden is presented and criticized as self-serving and protective of Mitsui's interests.

From a historical perspective, the article offers valuable insights into the mechanisms of Japanese colonial economic policy, specifically the exploitative nature of the monopoly system favouring Japanese conglomerates like Mitsui at the expense of Korean producers. It documents Korean resistance through cooperative action and protest against unfair economic practices. The detailed breakdown of costs, prices, market factors (silver rates, tariffs), and specific grievances provides concrete data on the economic hardships faced by Koreans and the structure of colonial control over a key Korean product. Historians would find the articulation of anti-monopoly sentiment, the specific details of the Mitsui-Government-General relationship, and the cultivators' economic calculations particularly interesting.

**Named Entities**

朴尹錫	박윤석	Pak Yun-sŏk
朝鮮	조선	Chosŏn (Korea)
松都	송도	Songdo
開城	개성	Kaesŏng
全北	전북	Chŏnbuk (North Chŏlla Province)
錦山	금산	Kŭmsan
總督府專賣局	총독부 전매국	Chongdokpu Chŏnmae'guk (Government-General Monopoly Bureau)
三井會社	삼정 회사 / 미쓰이 회사	Samjŏng Hoesa / Mitsui Kaisha (Mitsui Company)
中國	중국	Chungguk (China)
殖産銀行	식산은행	Siksŏn Ŭnhaeng (Industrial Bank)
孫鳳祚	손봉조	Son Pong-jo
京畿	경기	Kyŏnggi (Province)
蔘業者組合	삼업자 조합	Sam'ŏpcha Chohap (Ginseng Growers' Cooperative)
大藏省預金部	대장성 예금부	Taejangsŏng Yegŭmbu (Ministry of Finance Deposit Bureau)
日本	일본	Ilbon (Japan)
海峽植民地	해협식민지	Haehyŏp Sikminji (Straits Settlements)
米洲	미주	Miju (The Americas)
上海	상해	Sanghae (Shanghai)

**Glossary**

大利權	대리권	Great right/privilege (here referring to the monopoly right)
人蔘	인삼	Ginseng
前途	전도	Future prospects
年産數量	연산수량	Annual production quantity
斤	근	Kŭn (unit of weight, approx. 600g)
超特産品	초특산품	Super-specialty product
泰西醫學界	태서의학계	Western medical world (older term)
靈材仙藥	영재선약	Miraculous elixir, panacea
滋養强壯劑	자양강장제	Nourishing tonic
萎縮	위축	Shrinking, contracting
獨特한	독특한	Unique, distinctive
名物	명물	Specialty product, famous item
總督府專賣制度	총독부 전매제도	Government-General monopoly system
販賣	판매	Sale, selling
買上	매상	Purchase (by authorities/monopoly)
紅蔘	홍삼	Red ginseng
調製	조제	Preparation, processing
引受	인수	Takeover, acquisition
一手販賣	일수판매	Sole distributorship, monopoly sale
閨房秘藥	규방비약	Boudoir secret medicine (implying aphrodisiac or women's remedy)
輸賣出	수매출	Export sale
獨占	독점	Monopoly
經緯	경위	Circumstances, details
裡面事情	이면사정	Inside story, hidden circumstances
資閥	자벌	Zaibatsu, financial conglomerate
不平	불평	Complaint, dissatisfaction
年來	연래	For years
未曾有	미증유	Unprecedented
大不況	대불황	Great depression
銀時勢	은시세	Silver exchange rate/market price
關稅率	관세율	Tariff rate
高騰改訂	고등개정	Revision upwards, raising
減收	감수	Decrease in revenue/income
補塡策	보전책	Countermeasure, compensation plan
勞心焦思	노심초사	Worrying oneself sick, racking one's brains
拂下額	불하액	Payment amount (from govt. to supplier like Mitsui)
當局	당국	The authorities
念慮	염려	Concern, worry
官有收入	관유수입	Government (-owned) revenue
憑藉	빙자	Using as a pretext/excuse
改訂	개정	Revision, amendment
缺損	결손	Deficit, loss
轉嫁辨償	전가변상	Shifting the burden of compensation
擁護	옹호	Protection, defence
侵害	침해	Infringement, violation
惡德	악덕	Vice, immorality
抗爭	항쟁	Struggle, resistance, protest
賠償金價格	배상금가격	Compensation price (price paid by monopoly for goods)
갓득이나	가뜩이나	Already, as it is (older spelling of 가뜩이나)
生產收支	생산수지	Production balance (income vs. expenditure)
理由	이유	Reason
那邊	나변	Where, which side (literary/older form)
不可解활	불가해할	Inexplicable, incomprehensible (older form incorporating '활')
不拘하고	불구하고	Regardless of, despite
乃至	내지	To, or (indicating a range)
要하야	요하여	Requiring (older form of 요하여/요구하여)
多大한	다대한	Immense, great
高價의 生費	고가의 생비	High production cost
애 터지게	애 터지게	Painstakingly, with great effort (idiomatic)
耕作收獲	경작수확	Cultivation and harvest
헐하게	헐하게	Cheaply
歇價	헐가	Cheap price (synonym of 싼 값)
等級	등급	Grade, class
引下	인하	Reduction, lowering
弱者	약자	The weak
組合員	조합원	Cooperative/union member
黙過	묵과	Overlook, condone
導火線	도화선	Fuse, trigger (lit. & fig.)
묵어오든	묵어오던	That has been accumulated/left unresolved (older spelling/form)
苦情	고정	Grievance, hardship
死活上 危機	사활상 위기	Life-or-death crisis
非違	비위	Wrongdoing, irregularity
諒解	양해	Understanding, consent
反省	반성	Reflection, reconsideration
促進	촉진	Promotion, encouragement
豫定	예정	Planned, scheduled
方針	방침	Policy, course of action
訂誤	정오	Correction (of errors)
缺陷	결함	Flaw, defect
高慢	고만	Arrogance
橫暴	횡포	Tyranny, oppression
眼下無人	안하무인	Arrogant, condescending (lit. no person beneath one's eyes)
純益金	순익금	Net profit
巨額	거액	Huge amount (of money)
左右	좌우	Influence, control (lit. left and right)
優越	우월	Superiority
再昨年	재작년	The year before last
去來狀況	거래상황	Transaction status/situation
平均負擔	평균부담	Equal sharing of burden
理論	이론	Theory, logic
一時的	일시적	Temporary
此現狀	차현상	This current situation
難局	난국	Difficult situation, crisis
打開	타개	Overcome, break through
多數	다수	Majority, numerous
無視	무시	Disregard, ignore
冷靜히	냉정히	Coldly, calmly
實施地域	실시지역	Implementation area/region
法令	법령	Law, ordinance
自由로	자유로	Freely
製品	제품	Product, manufactured good
密輸出	밀수출	Smuggling, illicit export
結局	결국	Ultimately, in the end
嚴然히	엄연히	Strictly, sternly
効果	효과	Effect, effectiveness
等級鑑定	등급감정	Grade inspection/appraisal
係員	계원	Official in charge, clerk (often used for company staff interacting with govt.)
臨場	임장	Attend, be present (at the scene)
干涉	간섭	Interference, meddling
往往	왕왕	Often, frequently
牽制	견제	Check, restraint, constraint
嚴選	엄선	Strict selection
强要	강요	Coercion, forcing
利害	이해	Interests (gains and losses)
資金貸出先變更	자금대출선변경	Change of loan provider/source
低利資金	저리자금	Low-interest funds
融通	융통	Financing, lending, circulation (of funds)
慫慂	종용	Urging, encouragement
附託可決	부탁가결	Entrustment and approval (decision to entrust)
表面	표면	Surface, superficial aspect
裡面	이면	Inside, hidden aspect
損失	손실	Loss, damage
發見	발견	Discovery
雪上加霜	설상가상	Adding frost to snow (idiom: adding insult to injury)
償金價格	상금가격	Compensation price (synonym for 賠償金價格)
實際收支狀況	실제수지상황	Actual income and expenditure situation
面積	면적	Area (measurement)
坪	평	P'yŏng (unit of area, approx. 3.3 sq meters)
最下	최하	Minimum
收納	수납	Delivery (to authorities), payment
甲	갑	Grade A
乙	을	Grade B
時價	시가	Market price
白蔘	백삼	White ginseng
入選	입선	Selection (being chosen/graded)
任意로 處分	임의로 처분	Dispose of at one's discretion
合計	합계	Total sum
耕作賃銀	경작임은	Cultivation wages
肥料	비료	Fertilizer
地稅	지세	Land tax
雜支出	잡지출	Miscellaneous expenses
算盤上	산반상	On the abacus (i.e., in calculation, financially)
賃銀	임은	Wages (older spelling/form of 임금)
賣行地	매행지	Place of sale, market
暴露	폭로	Exposure, revelation
宿感	숙감	Long-held grudge/feeling
會集	회집	Gathering, meeting
組合長	조합장	Cooperative/union head
司會	사회	Presiding over a meeting, MC
緊張	긴장	Tension
對策	대책	Countermeasure
講究	강구	Devising (a plan), seeking (a solution)
政界要路	정계요로	Important political circles/figures
陳情抗辨	진정항변	Petition and protest/remonstrance
或	혹	Perhaps, maybe, or
境遇	경우	Case, circumstance
不栽培同盟	부재배동맹	Cultivation strike alliance
上書롭지 못한	상서롭지 못한	Inauspicious, ominous (seems like a typo/misuse, possibly meaning '상스럽지 못한' - vulgar/unseemly, or just indicating a negative sign)
形勢	형세	Situation, state of affairs
聲明書	성명서	Statement, declaration
要旨	요지	Gist, main point
爲替	위체	Exchange rate (older term: 환율)
協定當時	협정당시	At the time of the agreement
依然히	의연히	Still, as before
지난	지난	Last (month, year, etc.)
稅率	세율	Tax rate
從來	종래	Conventionally, traditionally
倍額	배액	Double the amount
合算	합산	Sum total, aggregate
總損失	총손실	Total loss
이럿튼 저럿튼	이렇든 저렇든	One way or another, regardless
强要	강요	Force, compel
別道理	별도리	Other way, alternative
水蔘	수삼	Raw/fresh ginseng (undried)
移植	이식	Transplanting
推測	추측	Guess, speculation
圖謀	도모	Plan, scheme
幹旋	간선	Arrangement, mediation, good offices
不如意	불여의	Unsatisfactory, not going as planned
難色	난색	Reluctance, disapproval (lit. difficult color/expression)
幸히	행히	Fortunately
云云	운운	Etc., and so on (used when quoting or summarizing)
檢討	검토	Examination, review
一枝葉問題	일지엽문제	Peripheral issue, minor detail (lit. one branch and leaf problem)
唯一	유일	Only, sole
口實	구실	Excuse, pretext
回避	회피	Avoidance, evasion
自身	자신	Oneself
責任	책임	Responsibility
조곰도	조금도	Not even a little (older spelling of 조금도)
땀을 흘니고	땀을 흘리고	Sweating (older spelling of 흘리고)
무릅쓰며	무릅쓰며	Braving, risking
XX	XX	(Censored/illegible part in original)
萬一	만일	If by any chance
追隨	추수	Following, complying with
助長식히게	조장시키게	Fostering, encouraging (negative connotation) (older form '식히다' for '시키다')
表示	표시	Indication, display
果然	과연	Indeed, truly
復活	부활	Revival, recovery
境遇	경우	Case, situation
暴騰	폭등	Sudden surge, sharp rise (in price)
方策	방책	Plan, measure, scheme
輸出統計	수출통계	Export statistics
最近	최근	Recently
激減	격감	Sharp decrease


---------------------------


잡지명	삼천리 제14호
발행일	1931년 04월 01일
기사제목	떠나가는 大利權(三), 開城人蔘의 前途 - 年産數量15萬斤 -
필자	朴尹錫
기사형태	논설

떠나가는 大利權
						朴尹錫
