**Header Section:**
Magazine Title: 삼천리 제15호
Publication Date: 1931년 05월 01일
Article Title: 無産黨內閣 (Proletarian Party Cabinet)
Author: Unattributed (mentions "a Japanese commentator")
Article Type: 소식 (News/Report)

**Body Text Translation:**
Proletarian Party Cabinet

A certain Japanese commentator has published what the personnel would look like if a Proletarian Party cabinet were to be organized. As it is interesting, it is published here.

Prime Minister: Ōyama Ikuo

Minister of Home Affairs: Asō Hisashi
Vice-Minister: Yoshida Kunimori; Parliamentary Councilor: Tabei Kenji

Minister of Foreign Affairs: Kamei Kan'ichirō
Vice-Minister: Miyazaki Ryūsuke; Parliamentary Councilor: Koyama Hisao

Minister of Finance: Takahashi Kamekichi
Vice-Minister: Kōno Mitsu; Parliamentary Councilor: Tadokoro Teruaki

Minister of Justice: Katayama Tetsu
Vice-Minister: Nakamura Kōichi; Parliamentary Councilor: Hosono Michio

Minister of Railways: Nishio Suehiro
Vice-Minister: Mizutani Chōzaburō; Parliamentary Councilor: Sakaki Katsu

Minister of Commerce and Industry: Asahara Kenzō
Vice-Minister: Matsuki Yoshio; Parliamentary Councilor: Aratani Sōji

Minister of Agriculture and Forestry: Sugiyama Motojirō
Vice-Minister: Asanuma Inejirō; Parliamentary Councilor: Yamahana Hideo

Minister of Colonial Affairs: Kagawa Toyohiko
Vice-Minister: Suzuki Mosaburō; Parliamentary Councilor: Yamazaki Tsunekichi

Minister of Education: Kawakami Jōtarō
Vice-Minister: Ōmori Yoshitarō; Parliamentary Councilor: Tamefuji Gorō

Minister of Communications: Akamatsu Katsumaro
Vice-Minister: Ōya Shōzō; Parliamentary Councilor: Hirano Rikizō

Minister of the Army: Suzuki Bunji
Vice-Minister: Shimanaka Yūzō; Parliamentary Councilor: Kikukawa Tadao

Minister of the Navy: Yonekubo Mitsusuke
Vice-Minister: Kawamura Yasutarō; Parliamentary Councilor: Sakaki Kōzaburō

Director-General of the Cabinet Legislation Bureau: Hosako Kanemitsu

Chief Cabinet Secretary: Matsutani Yojirō

Governor-General of Korea: Abe Isoo

Governor-General of Taiwan: Yamakawa Hitoshi

Governor of the Kwantung Leased Territory: Yamazaki Kesaya

Governor of the South Seas Mandate: Sunaga Yoshi

Superintendent-General of the Metropolitan Police: Katō Kanjū

Director of the Police Affairs Bureau: Mochizuki Genji

President of the South Manchuria Railway: Matsuoka Komakichi

Mayor of Tokyo: Sakai Toshihiko<37>

**Summary**

This article from the May 1931 issue of Samch'ŏlli magazine presents a hypothetical cabinet lineup for a Japanese Proletarian Party government, as imagined by an unnamed Japanese commentator. It lists prominent socialist and labor movement figures of the time assigned to various ministerial posts, vice-ministerial positions, parliamentary councilor roles, and key administrative positions, including colonial governorships. For historians of colonial Korea, the inclusion of proposed Governors-General for Korea (Abe Isoo) and Taiwan (Yamakawa Hitoshi), both well-known socialist figures, is particularly interesting. It reflects contemporary speculation about how a leftist government in Japan might approach colonial administration and potentially alter the political landscape in the colonies, offering a glimpse into alternative political possibilities imagined during that period.

**Named Entities**

日本	일본	Nihon
大山郁夫	오야마 이쿠오	Ōyama Ikuo
麻生久	아소 히사시	Asō Hisashi
吉田邦守	요시다 구니모리	Yoshida Kunimori
田部井健二	타베이 겐지	Tabei Kenji
龜井貫一郞	가메이 간이치로	Kamei Kan'ichirō
宮崎龍介	미야자키 류스케	Miyazaki Ryūsuke
小山壽夫	고야마 히사오	Koyama Hisao
高橋龜吉	다카하시 가메키치	Takahashi Kamekichi
河野密	고노 미쓰	Kōno Mitsu
田所輝明	다도코로 데루아키	Tadokoro Teruaki
片山哲	가타야마 데쓰	Katayama Tetsu
中村高一	나카무라 고이치	Nakamura Kōichi
細野三千雄	호소노 미치오	Hosono Michio
西尾廣末	니시오 스에히로	Nishio Suehiro
水谷長三郞	미즈타니 조자부로	Mizutani Chōzaburō
坂木勝	사카키 가쓰	Sakaki Katsu
淺原健三	아사하라 겐조	Asahara Kenzō
松木義雄	마쓰키 요시오	Matsuki Yoshio
荒谷宗治	아라타니 소지	Aratani Sōji
杉山元治郞	스기야마 모토지로	Sugiyama Motojirō
淺沼稻次郞	아사누마 이네지로	Asanuma Inejirō
山花英雄	야마하나 히데오	Yamahana Hideo
賀川豊彦	가가와 도요히코	Kagawa Toyohiko
鈴木茂三郞	스즈키 모사부로	Suzuki Mosaburō
山崎常吉	야마자키 쓰네키치	Yamazaki Tsunekichi
河上丈太郞	가와카미 조타로	Kawakami Jōtarō
大森義太郞	오모리 요시타로	Ōmori Yoshitarō
爲藤五郞	다메후지 고로	Tamefuji Gorō
赤松克磨	아카마쓰 가쓰마로	Akamatsu Katsumaro
大矢省三	오야 쇼조	Ōya Shōzō
平野力三	히라노 리키조	Hirano Rikizō
鈴木文治	스즈키 분지	Suzuki Bunji
島中雄三	시마나카 유조	Shimanaka Yūzō
菊川忠雄	기쿠카와 다다오	Kikukawa Tadao
米窒滿亮	요네쿠보 미쓰스케	Yonekubo Mitsusuke (assuming typo for 米窪満亮)
川村保太郞	가와무라 야스타로	Kawamura Yasutarō
坂木孝三郞	사카키 고자부로	Sakaki Kōzaburō
細追兼光	호사코 가네미쓰	Hosako Kanemitsu (assuming typo for 細迫兼光)
松谷與二郞	마쓰타니 요지로	Matsutani Yojirō
安部磯雄	아베 이소오	Abe Isoo
朝鮮	조선	Chōsen
山川均	야마카와 히토시	Yamakawa Hitoshi
臺灣	대만	Taiwan
山崎今朝彌	야마자키 게사야	Yamazaki Kesaya
關東	관동	Kantō
須永好	스나가 요시	Sunaga Yoshi
南洋	남양	Nan'yō
加藤斟十	가토 간주	Katō Kanjū (assuming typo for 加藤勘十)
望月源治	모치즈키 겐지	Mochizuki Genji
松岡駒吉	마쓰오카 고마키치	Matsuoka Komakichi
滿鐵	만철	Mantetsu
堺利彦	사카이 도시히코	Sakai Toshihiko
東京	도쿄	Tōkyō

**Glossary**

無産黨內閣	무산당내각	Proletarian Party Cabinet
評論家	평론가	Commentator, critic
엇든	어떤	(Older spelling) 어떤; certain, some kind of
