Magazine Title: 삼천리 제16호
Publication Date: 1931년 06월 01일
Article Title: 朝鮮勞働運動의 當面한 새 過程 (The New Process Facing the Chosŏn Labor Movement)
Author: 李亮
Article Type: 논설 (Editorial/Essay)

The New Process Facing the Chosŏn Labor Movement
						Yi Yang
1. Starting Point of Theory
We currently have two theories.
One is viewing the world from Chosŏn, and the other is viewing Chosŏn from the world. That is, Chosŏn in the social XXX process viewed from the global proletarian situation, and the world in the social XXX process viewed from the Chosŏn proletarian X struggle—these are the two.
However, it is not that anyone can observe this monistically; rather, regarding the importance of the diverging points of these theories, there is a flaw in leaning excessively towards either the struggle method of the movement or the leadership techniques of the movement.
Moreover, if we speak of things in terms of cause and effect and believe in the historical materialism of social science, no one could insist on the independent nature of either theory.
Furthermore, as the various objective circumstances of the recent social movement increasingly speak to this connection, our starting point for theory must lie in judging the importance of these biased theories while discussing them from the process of the world situation and the process of the Chosŏn movement.
So, what must we do today regarding the struggle for acquiring daily benefits for the masses, or the struggle for acquiring political XX, which must be carried out in the Chosŏn mass XXXX? When the establishment, expansion, and strengthening of the main body of this struggle becomes a problem limited to the reality of Chosŏn in terms of struggle methodology, what approach should we take? Or what about the respective camps of the labor movement, peasant movement, and general national movement—what should be done about these? The issues truly hold important junctures respectively.
However, even if we view the respective camps of the domestic movement, which are unfolding and being practiced in this way, as part of the process of the pan-national movement according to their struggle growth, the social XX movement, with its global connections, is also an unfolding movement that must be emphasized here.
In other words, when the independent existence and independent facts on the X line of today's Chosŏn proletarian movement become the distinct nature that Chosŏn must possess as an undeniable reality, we cannot ignore the common problems of the global proletarian movement while valuing this uniqueness, nor can there be an independent Chosŏn camp separate from this global camp. Therefore, in the labor problem and peasant problem of the proletarian movement, one cannot help but seek global connections in the movement, departing from their unique rights or status in the process of the movement.
However, the problem is that today's proletarian movement in Chosŏn—the labor union and peasant union movement—cannot but recognize a certain uniqueness in its establishment, strengthening, and expansion. Thus, the problem truly demands a method of movement for Chosŏn, techniques of movement for Chosŏn. Therefore, the starting point of theory regarding the establishment, expansion, and operation of labor unions stems from this.

2. Where the Problem Lies
We have always spoken of the particularity (特殊性) in the Chosŏn proletarian movement. I also state this as the uniqueness (獨自性) of Chosŏn.
However, this particularity of Chosŏn, this uniqueness of Chosŏn, is not merely the particularity that various comrades have spoken of before—that Chosŏn is a colony, that agriculture is its basis with no industrial development, and therefore the modern industrial labor force is immature, leading to a particularity in the struggle methods of the labor problem. Rather, I cannot help but <6> stipulate this meaning as a more profound particularity, a uniqueness.
Then, what is this uniqueness? We can see facts that would place Chosŏn in the second group of the three major categories of movement methods in Mr. Kitayagŭrŭpssŭgi's (기다야그릅쓰기氏) work on the Eastern colonial movement. Namely, like Egypt (埃及), Turkey (土耳其), and Persia (波斯), agriculture is the basis, and although it is dominant, capitalism has already taken its first and second steps, factories have been established, an industrial proletariat has emerged, some labor movement has begun, the national movement has reached its crucial point, and the petit bourgeois (小뿔조아) and bourgeois (뿔조아的) middle class, represented by commercial capital, are participating or about to participate in the national XXXX.
But it is not just this. We can also see a powerful aspect of collective labor groups as in the countries of the third group he designates—India (印度) and China (中國)—so today's Chosŏn also belongs to this third group zone. Mr. Kitayagŭrŭpssŭgi saw the 150,000-strong general strike in Bombay (폰페), India, and the May 30th Movement and Hong Kong (香港) labor movement in China, but he did not see Chosŏn's XX and XX movement in the process of its social movement. In this third group, China and India, the possibility of labor class hegemony (헤게모늬) was already seen, but this has not yet been seen in Chosŏn. However, this too is not the entire story of the particularity or uniqueness of the Chosŏn proletarian movement.
Beyond this, Chosŏn has its own uniqueness.
1. The suzerain state strives for ethnic assimilation (同族融化) of the Chosŏn nation.
1. The labor force is XX under extremely thorough and meticulous XXX.
1. Chosŏn's major industrial facilities are under government (官營) or semi-government (半官營) operation.
1. Education in Chosŏn, originating from the purpose of the first point, thoroughly builds XXX.
1. There are no civil XX such as freedom of speech (言論自由), XX, etc.
1. There is no labor legislation whatsoever, regardless of effectiveness or other benefits/drawbacks (有利無利).--Etc.
Therefore, due to the particularity Chosŏn possesses—following this particularity, the labor movement in Chosŏn must first begin with government-run labor unions (官業勞働組合) for its functional effect; similarly, the peasant union movement must be based on the movement for acquiring immediate daily benefits, such as issues with irrigation associations (水利組合問題) and elementary school tuition fees (普通學校月謝金問題), for the tenant fee struggle (小作料鬪爭) to also see realistic effects.
Although this may seem like a severely degenerated theory in some sense, because we are seeing increasing differentiation in the labor problem movement and the peasant problem movement in Chosŏn, we will inevitably see differentiation, either as groups or individuals, from these government-established labor unions and these reformist peasant union movements, and necessarily witness the leading hegemony of the labor class and peasant class.
While this is extremely dangerous, we can discover the uniqueness of Chosŏn, the appropriate method for the movement. No, it is not a discovery, but rather the current state of Chosŏn increasingly endorses this. (Following 3 lines deleted - original text)
The epoch-making Wŏnsan General Strike (元山大罷業) in the history of the Chosŏn labor movement did not happen under the guidance of any conscious leading elements, nor due to the infiltration of any ideological foundation or systematic assertions. Rather, where the strength of those already formed as a labor class (a kind of wedge) gathered, the class instinct of the labor masses, the desire for survival (生存慾), exploded and extended, and the workers themselves drove forward on the 'path' they needed to take. Looking at this, labor organizations like those in Taegu (大邱), P'yŏngyang (平壤), and Kunsan (群山), while in one sense company unions (御用團體) and in another sense union movements scheming for the interests of extremely few workers, when they go against the grain of the labor class even slightly, the workers get angry like bulls and find strength like bulls. If we are leaders of the labor class movement,<7> we must exert effort in the movement to acquire the right to organize (團結權)—that right to freedom.
Throughout the history of the world labor movement until now, we have seen the apostasy of its leaders and their backroom dealings, but the labor class—with its originally strong emotionalism, stubborn aggressiveness, and voice like clanging iron—takes the most sincere attitude, even if its demands are simple and fragmented.
Therefore, to give workers solidarity, we must advocate for acquiring compromise, reformism, and other usable conditions.
This principle has long been observed. The process of worker cohesion—concerning political freedom, the initial demand of socialism is political freedom, and the freedoms of election, assembly, and speech that follow—this does not immediately relieve the pain of poverty and XX for the labor class, but because workers handle their own interests themselves, they demand the power of solidarity based on their own principles. Therefore, in the current Chosŏn situation, where will they seek the freedom of solidarity?
Hence, the most urgent task for the Chosŏn proletarian movement lies in the expansion and strengthening of true worker combination, the formation of unions.
Therefore, regarding government-run labor (官業勞働), which constitutes the majority of Chosŏn industry, there is a realistic movement to strive for the freedom of solidarity under usable conditions, regardless of whether it is reformism or compromise. Of course, how this should be evaluated from the ultimate goal of the labor movement—there is no need to discuss or observe that here. The labor process of historical materialism will simply traverse its course towards its end.

3. Extension of Past Struggles and Future Struggles
We have received various kinds of training in the past. We have also fought struggles consistent with our purpose—our spirit—amidst various errors. And amidst internal and external contradictions, we have made desperate sacrifices unnecessarily, not cherishing our bodies. And we have wiped away a page stained with blood in the process of the Chosŏn proletarian movement. We have steadily walked long years and short years in the struggle for ideology, in overcoming reality, in the cart of transition. Particularly, our footprints from 1926 to the spring of 1930 were most valuable. And the spring of 1930 was a day (Abbreviated - original text) in our labor movement history, starting from the Wŏnsan Strike.

3A. Consciousness Process of the Movement
3B. Organization Process of Movement Groups
Reflecting on this, the process largely involved seeking the political course of struggle through ideological battles and consciousness struggles, then sparked by the Wŏnsan Strike, again the organization or reorganization of the XXX Party, and organizational changes—amidst this path, under numerous sacrifices, lies the current issue of the reorganization, downfall, or dissolution of the Sin'ganhoe (新幹會).
While none of this is a valueless process on our movement's timeline, it failed to bring about the true reality of the process, especially for the labor movement and the peasant movement. This is because, in the labor movement and peasant movement, the driving elements forming their constituent body were extremely few; only Marxists produced by the current state of Chosŏn society became the main body of the organizations and their machinery through their field of ideological struggle.
This is decidedly not the mainstream of the labor movement itself, nor is it the fundamental issue. Rather, these actors in ideological struggle from such ideological groups, these actors in consciousness struggle, are apostles tasked with injecting the philosophy of social science—Marxism, which teaches the clearest path—and these leading elements, calculating its ebbs and flows, have a grave task in the process and demand XX hegemony as their necessary overall leadership. This definitely cannot have a direct relationship with the labor movement. And if it does, it is apt to misconstrue the mission of the labor movement—especially the labor union.
Therefore, we arrive at the question of how to extend the past movement, or how to synthesize the processes that have long passed. Although our movement process was not solely focused on ideological and consciousness struggles, the method of the labor movement—especially the union movement—was largely not approached with conscious effort, rather it was neglected.
This is becoming the current practical issue. That is, the unfolding of future struggles depends crucially, moment by moment, on the application of practical issues, or how the movement proceeds, reaching urgent goals.

4. Conclusion
From this, stemming from the issue of the Sin'ganhoe's decline (新幹會轉落問題), a new phase of the movement will be seen, and indeed, significant progress is already visible in the peasant union movement. Therefore, regarding the labor union movement, the vanguard of the proletarian movement, we must again consider the reality of Chosŏn—the possible labor union based on acquiring the immediate XXXX that can be XX—this is by no means a deformed shape (畸形態). Nor is it an apostasy that yields our XX to X.
We must absolutely discard the disease of Chosŏn social movement activists, the chronic ailment (痼疾) of the traditional left wing. (Drafted May 1, 1931)<9>

**Summary**

Yi Yang argues for a pragmatic shift in the Chosŏn labor movement strategy in 1931. He critiques the overemphasis on abstract theory ('viewing Chosŏn from the world') and ideological struggles led by intellectuals, which he believes have neglected the practical needs and organizational development of actual workers and peasants. Yi emphasizes Chosŏn's unique colonial conditions (e.g., assimilation policy, lack of civil rights, government-controlled industries) as distinct from other colonies discussed by theorists like 'Kitayagŭrŭpssŭgi'. He proposes focusing on achievable goals like securing the right to organize, even potentially starting with government-run unions (官業勞働組合) and reformist peasant unions focused on daily issues (like irrigation fees), seeing these as necessary steps to build class consciousness and eventually genuine worker hegemony, despite the inherent risks and appearances of compromise. This practical approach, grounded in Chosŏn's reality, is presented as the necessary 'new process' following the Wŏnsan General Strike and amidst debates surrounding the Sin'ganhoe.
For historians, this article is significant as it reflects internal debates within the Korean socialist/nationalist movement during a period of intense Japanese suppression. It highlights the tension between adhering to international communist directives or theories (like those potentially from the Comintern, though not explicitly named) and adapting strategies to the specific, harsh realities of colonial Chosŏn. The willingness to consider seemingly 'compromised' tactics like engaging with government-run unions showcases a desperate search for viable organizational methods under severe restrictions, moving away from purely ideological or vanguard party approaches that had led to significant arrests and setbacks. The mention of 'Kitayagŭrŭpssŭgi' and the typology of colonies points to engagement with contemporary Marxist analyses of imperialism.

**Named Entities**

朝鮮	조선	Chosŏn
李亮	이량	Yi Yang
埃及	애급	Ejip't'ŭ (Egypt)
土耳其	토이기	T'ŏrk'i (Turkey)
波斯	파사	P'asŭ (Persia)
印度	인도	Indo (India)
中國	중국	Chungguk (China)
香港	홍콩	Hongk'ong (Hong Kong)
元山	원산	Wŏnsan
大邱	대구	Taegu
平壤	평양	P'yŏngyang
群山	군산	Kunsan
新幹會	신간회	Sin'ganhoe

**Glossary**

勞働運動	노동운동	Labor movement
當面	당면	Facing, immediate
過程	과정	Process
理論	이론	Theory
世界	세계	World
無産階級	무산계급	Proletariat (class)
社會	사회	Society
情勢	정세	Situation, circumstances
鬪爭	투쟁	Struggle, fight
方法	방법	Method
技術	기술	Technique, skill
唯物史觀	유물사관	Historical materialism
客觀的	객관적	Objective
狀勢	상세	Situation, state of affairs (older form of 상태/상황)
關聯的	관련적	Related, connected
倚偏	의편	Biased, leaning to one side
利益獲得	이익획득	Acquiring benefits/interests
政治的	정치적	Political
主體	주체	Main body, subject
確立	확립	Establishment
擴大	확대	Expansion
强化	강화	Strengthening
現實	현실	Reality
局限	국한	Limitation, restriction
取扱	취급	Handling, treatment (older spelling/Hanja usage for 취급)
農民運動	농민운동	Peasant movement
民族的	민족적	National, ethnic
陣營	진영	Camp, faction
成長	성장	Growth
全民族的	전민족적	Pan-national
獨自性	독자성	Uniqueness, distinctiveness
性質	성질	Nature, characteristic
可重	가중	Valuable, worthy of consideration (less common term)
共通問題	공통문제	Common problem
無視	무시	Ignoring, disregarding
權利	권리	Right(s)
地位	지위	Status, position
設置擴大	설치확대	Establishment and expansion
運用	운용	Operation, management
特殊性	특수성	Particularity, special characteristic
植民地	식민지	Colony
農業	농업	Agriculture
本位	본위	Basis, standard
産業的	산업적	Industrial
發達	발달	Development
近代産業的	근대산업적	Modern industrial
勞働群	노동군	Labor group/force
幼穉	유치	Immature, childish
意味	의미	Meaning
深刻	심각	Serious, profound
議定	의정	Stipulate, decide
東洋	동양	The East, Orient
範疇	범주	Category
指稱	지칭	Designation, referring to
支配的	지배적	Dominant
資本主義	자본주의	Capitalism
工場	공장	Factory
設立	설립	Establishment
工業的	공업적	Industrial
發生	발생	Emergence, occurrence
多少	다소	Somewhat, to some extent
始作	시작	Beginning, start (older spelling 시작)
重點	중점	Crucial point, focus
商業資本	상업자본	Commercial capital
代表	대표	Representative
小뿔조아	소부르주아	Petit bourgeois (Korean phonetic rendering)
뿔조아的	부르주아적	Bourgeois (Korean phonetic rendering + 的 suffix)
中間階級	중간계급	Middle class
參加	참가	Participation
集團的	집단적	Collective
强力	강력	Powerful
地帶	지대	Zone, area
大罷業	대파업	General strike
헤게모늬	헤게모니	Hegemony (Korean phonetic rendering)
可能	가능	Possibility
全的	전적	Entire, total
事實	사실	Fact
宗主國	종주국	Suzerain state
同族融化	동족융화	Ethnic assimilation (of the same race)
周到綿密	주도면밀	Thorough and meticulous
有數	유수	Prominent, leading
産業機關	산업기관	Industrial facility/organization
官營	관영	Government-operated
半官營	반관영	Semi-government operated
敎育	교육	Education
趣志	취지	Purpose, objective
起因	기인	Originating from, caused by
徹底히	철저히	Thoroughly
言論	언론	Speech, press
自由	자유	Freedom
公民的	공민적	Civil (rights)
効果	효과	Effect, effectiveness
有利無利	유리무익	Advantageous/disadvantageous (lit. benefit/no benefit)
別	별	Distinction, difference
立法	입법	Legislation
機能作用	기능작용	Functional effect/action
當面日常利益獲得運動	당면일상 이익획득운동	Movement for acquiring immediate daily benefits
水利組合問題	수리조합문제	Irrigation association issue
普通學校月謝金問題	보통학교 월사금문제	Elementary school tuition fee issue
基因	기인	Based on, stemming from
小作料鬪爭	소작료투쟁	Tenant fee struggle
如實히	여실히	Realistically, truly
作用	작용	Effect, action
隨落	수락	Degenerated, fallen (likely means 타락)
分化作用	분화작용	Differentiation
改良的	개량적	Reformist
團體	단체	Group, organization
個人	개인	Individual
必然	필연	Inevitably, necessarily
指導的	지도적	Leading
危險千萬	위험천만	Extremely dangerous
適當方法	적당방법	Appropriate method
發見	발견	Discovery
情狀	정상	Situation, circumstances (older term)
裏書	이서	Endorsement, confirmation (lit. backing signature)
削除	삭제	Deletion
劃期的	획기적	Epoch-making
元山大罷業	원산대파업	Wŏnsan General Strike
意識	의식	Consciousness
指導分子	지도분자	Leading elements/figures
思想的	사상적	Ideological
基流	기류	Foundation, underlying current
浸出	침출	Infiltration, seepage
體系	체계	System
主張	주장	Assertion, claim
形成	형성	Formation
集合	집합	Gathering, assembly
本能	본능	Instinct
生存慾	생존욕	Desire for survival
瀑發	폭발	Explosion, outburst (older Hanja for 폭발)
延長	연장	Extension
勞働者	노동자	Worker
馳驅	치구	To drive forward, run about
御用團體	어용단체	Company union (lit. government-patronized group)
極히	극히	Extremely
少數勞働者	소수노동자	Minority of workers
利益	이익	Interest, benefit
圖謀	도모	Scheme, plan
組合運動	조합운동	Union movement
一段	일단	Slightly, somewhat; once
비위	비위	Temperament, disposition (here: going against the grain)
勞力	노력	Effort, exertion
團結權	단결권	Right to organize
自由權獲得運動	자유권획득운동	Movement to acquire rights to freedom
變節	변절	Apostasy, betrayal
裏功	이공	Backroom dealings, hidden efforts (uncommon term)
强烈	강렬	Strong, intense
感激性	감격성	Emotionalism, tendency to be deeply moved
頑强	완강	Stubborn, tenacious
突擊性	돌격성	Aggressiveness, tendency to charge forward
口調	구조	Tone of voice
要求	요구	Demand, request
素朴	소박	Simple, naive
斷片的	단편적	Fragmentary
眞摯	진지	Sincere
態度	태도	Attitude
妥協的	타협적	Compromising
其他利用	기타이용	Other uses/utilization
諸般條件	제반조건	Various conditions
獲得	획득	Acquisition
高調	고조	Advocate, emphasize, heighten
結束過程	결속과정	Process of cohesion/solidarity
政治的 自由	정치적 자유	Political freedom
社會主義	사회주의	Socialism
最初要求	최초요구	Initial demand
選擧自由	선거자유	Freedom of election
集會自由	집회자유	Freedom of assembly
言論自由	언론자유	Freedom of speech
貧窮	빈궁	Poverty
苦痛	고통	Pain, suffering
自己스스로	자기스스로	Oneself, by oneself
處斷	처단	Handle, manage, dispose of
原則스스로	원칙스스로	Based on principle itself
結束	결속	Solidarity, cohesion
最急先務	최급선무	Most urgent task
結合	결합	Combination, union
組合結成	조합결성	Union formation
太半	태반	Majority, greater part
官業勞働	관업노동	Labor in government-run industries
條件下	조건하	Under conditions
改良主義	개량주의	Reformism
妥協主義	타협주의	Compromise-ism
現實運動	현실운동	Realistic movement
終局目的	종국목적	Ultimate goal
評價	평가	Evaluation
必要	필요	Necessity
觀察	관찰	Observation
歷涉	역섭	Traverse, go through (less common)
過去	과거	Past
訓練	훈련	Training
誤謬	오류	Error
目的	목적	Purpose
精神	정신	Spirit
一貫	일관	Consistent
內的	내적	Internal
外的	외적	External
諸矛盾	제모순	Various contradictions
犧牲	희생	Sacrifice
必死	필사	Desperate, life-risking
폐-지	페이지	Page (phonetic rendering)
思想戰取	사상전취	Ideological battle/struggle (戰取 likely means 쟁취 - struggle/acquisition)
現實克服	현실극복	Overcoming reality
轉換	전환	Transition, conversion
歲月	세월	Years, time
足跡	족적	Footprints, traces
價値	가치	Value
火花	화화	Spark (as in trigger)
組織	조직	Organization
再組織	재조직	Reorganization
變更	변경	Change
多數	다수	Numerous, majority
方今問題中	방금문제중	Currently at issue
轉落	전락	Downfall, decline
解消	해소	Dissolution
價値업는	가치없는	Valueless (older spelling)
實際	실제	Reality, actuality
構成體	구성체	Constituent body
原動分子	원동분자	Driving elements/force
産出	산출	Produced
맑쓰主義者	마르크스주의자	Marxist (Korean phonetic rendering + 者)
戰取分野	전취분야	Field of struggle/acquisition (戰取 likely means 쟁취)
體軀	체구	(Main) body, physique (used metaphorically for organization)
機械	기계	Machine, mechanism (used metaphorically)
決코	결코	Never, decidedly not (older spelling)
自體	자체	Itself
本流	본류	Mainstream
根本問題	근본문제	Fundamental issue
思想團體	사상단체	Ideological group
役者	역자	Actor (here: agent, role-player)
意識戰取役者	의식전취역자	Agent of consciousness struggle (戰取 likely means 쟁취)
社會科學	사회과학	Social science
明確	명확	Clear, distinct
맑쓰이즘	마르크스이즘	Marxism (Korean phonetic rendering)
哲學	철학	Philosophy
注入役者	주입역자	Injector, agent of infusion
使徒	사도	Apostle
任	임	Task, mission (likely abbreviation of 임무)
起伏	기복	Ups and downs, fluctuations
算	산	Calculation
重大	중대	Grave, serious
任務	임무	Task, mission
指導分子	지도분자	Leading elements/figures
總領必要	총령필요	Necessary overall leadership (uncommon phrasing)
直面的	직면적	Direct
關係	관계	Relationship
誤謬	오류	Error, mistake
適宜	적의	Appropriate, suitable
延長	연장	Extension
歸納	귀납	Induction, synthesis
等閑視	등한시	Neglect, disregard
只今	지금	Now (older spelling)
應用	응용	Application
運動如何	운동여하	How the movement proceeds
今後	금후	Henceforth, future
展開	전개	Unfolding, development
刻一刻	각일각	Moment by moment
緊切	긴절	Urgent, pressing
目標	목표	Goal, target
基因	기인	Stemming from, caused by
局面	국면	Phase, aspect
長足	장족	Significant (progress, lit. long strides)
푸로레타리아運動	프롤레타리아운동	Proletarian movement (Korean phonetic rendering)
前衛	전위	Vanguard
可能	가능	Possible
畸形態	기형태	Deformed shape, abnormal form
引讓	인양	Yield, hand over
病	병	Disease, illness (used metaphorically)
傳統的	전통적	Traditional
左翼	좌익	Left wing
痼疾	고질	Chronic ailment, deep-seated problem
揚棄	양기	Sublation (philosophical term: overcome while preserving), discard


---------------------------


잡지명	삼천리 제16호
발행일	1931년 06월 01일
기사제목	朝鮮勞働運動의 當面한 새 過程
필자	李亮
기사형태	논설

朝鮮勞働運動의 當面한 새 過程
						李亮
1. 理論의 出發點
우리의게 지금 두가지 理論이 잇다.
한가지는 朝鮮으로 世界를 보는 것과 또 한가지는 世界로 朝鮮을 보는 것이니 卽 社會XXX過程에 잇서서 世界的 無産階級의 情勢로 보는 社會XX過程의 朝鮮, 또 한가지는 朝鮮無産階級X爭으로 보는 社會XX過程의 世界-이것이다.
