Magazine Title:	삼천리 제16호
Publication Date:	1931년 06월 01일
Article Title:	新興中國展望, 中國現下 運動과 統計 (Prospects for the New China, Current Movements and Statistics in China)
Author:	金東煥 編 (Kim Tonghwan, Compiler)
Article Type:	논설 (Editorial/Essay)

Prospects for the New China, Current Movements and Statistics in China
						Compiled by Kim Tonghwan
The essays and statistics gathered here have been appropriately arranged and compiled for reference, drawing from materials investigated and published by Chinese commentators, Japanese critics, or the Japan-China Joint Investigation Committee. Therefore, there are both translations and references included.

Anti-Imperialist Movement
The Anti-Imperialist Movement is primarily led by the Chinese Communist Party, mobilizing students and laborers. There are two main currents within it: one is the destruction of the capitalism of the Powers (列國資本主義) led by the Communist Party, and the other is the movement for national liberation based on the Nationalist Party's (Kuomintang) nationalism.
When this movement manifests on the surface, it becomes the Anti-Cultural Aggression Movement, aiming for the recovery of rights and interests, boycott of foreign goods, and abolition of unequal treaties. Thus, the Anti-Imperialist Great Alliance began to form when talk of joint management of China by the Powers was high, and was established in 1923 with the participation of over 200 representatives from various organizations. They established an Anti-Imperialism Week and advocated for a World Federation of Oppressed Peoples. The flames first ignited in Peking (北平) by groups like the Chinese Students' Alliance for Treaty Abrogation, the Hunan Anti-Imperialist League, and the Shanghai Anti-Imperialist League swept across China's 400 prefectures <30>. Currently, all these movements are being carried out under the direction of the Nationalist Party.

Anti-Cultural Aggression Movement
The Anti-Cultural Aggression Movement refers to the resistance movement against cultural aggression by foreigners. The Anti-Cultural Aggression Great Alliance in Peking was formed in the summer of 1921, primarily organized among students from various schools. Its methods included students from church schools withdrawing en masse and transferring to native schools, urging all citizens not to join the YMCA, requiring foreigners establishing schools in China to obtain permission from the Ministry of Education and prohibiting the inclusion of religious thought in the curriculum, government supervision of social enterprises run by churches, and prohibiting missionaries in the interior from concurrently engaging in business.
When the Sino-Japanese Joint Committee for Cultural Works was held in Peking in Taishō 14 (1925), the Oppose Japanese Cultural Aggression Alliance indeed formed, with 40 organizations participating. The reason given was not opposition to Japan's cultural efforts towards China itself, but opposition to its methods. That is, they proposed that the Japanese government should not be directly involved in cultural enterprises, but rather, like the United States and Russia, an independent body completely free from interference by both the Japanese and Chinese governments should be created by committee members from both countries.

Labor Movement
China's labor movement began around 1918 in the South China region, gradually spread to the Shanghai vicinity, reached the entire Yangtze River area, and also arose in North China. This movement was greatly accelerated around 1921, with strikes <31> occurring everywhere, simultaneous significant progress in union organization, and frequent strikes accompanying the expansion of unions.
However, the labor movement achieved a nationwide network system only after the Communist Party began guiding it. As a result of the May 30th Incident (5·30事件) of Taishō 14 (1925), labor unions expanded nationwide and their organization became unified.
But since the split between the Nationalist Party and the Communist Party four years ago in the summer, Communist-affiliated unions have been dissolved and replaced by Nationalist Party-affiliated unions. The movement has become moderate and conciliatory, and a policy of labor-capital cooperation has been adopted. Labor-Capital Mediation Regulations have also been implemented.

Anti-Christian Movement
Because the church, on one hand, served as a tool for capitalist aggression and, on the other hand, sought to nationalize Chinese culture according to its own ways, the Anti-Christian Movement arose to break down these two aspects. The Anti-Christian Movement was triggered by the World Student Christian Federation conference held in April 1919, arising in Shanghai and Peking in opposition to it, and its influence spread throughout the country. The first voice of the Anti-Christian Movement was the opposition movement by the Shanghai Non-Christian Student Alliance against the World Student Christian Federation conference held in Peking. The purpose of this alliance was to label Christianity as a running dog (走狗) of capitalism and to destroy it. Responding to Shanghai, the Non-Religious Great Alliance emerged in Peking. It also opposed religion, stating that it contradicted science and truth <32>.
Generally, in Central and Southern China, Christianity was rejected as a running dog of capitalism and imperialism, while in North China [Correction: The text says 南中國 here, but context implies North based on Peking/Non-Religious Great Alliance], religion was rejected from a scientific standpoint as superstitious.
Later, following fierce movements immediately after the May 30th Incident, currently in Shanghai, even shop clerks, in addition to students, have formed the Shanghai Shop Clerks' Non-Christian Alliance. In Kwangtung (廣東), student associations, military associations, and the Revolutionary Youth Great Alliance have gathered to organize and operate the Anti-Christian General Alliance. The movement for students to leave church-established schools is occurring in various places.

Promotion of National Products (國貨提唱)
The movement to promote national products, running parallel to the boycott of foreign goods, has become extremely vigorous recently. Moreover, as the Nationalist Revolution emphasized nationalism (나슌날이즘), the movement to encourage domestic production became very strong, and consequently, the budding of capitalism in China has also increased. The promotion of national products began during the nationwide boycott of foreign goods following the May 30th Incident of 1925 [Correction: text says 1920, but May 30th was 1925], with the National Products Promotion Association organized in Shanghai, centered around the General Chamber of Commerce. Later, due to the Jinan Incident (濟南事件), the anti-Japanese promotion of national products became more concrete, and the national products movement also came to be planned by the government. Specifically, the Nationalist Government, together with the Shanghai Special Municipality's Bureau of Agriculture, Industry, and Commerce, established a National Products Movement Week, held a National Assembly (國民大會) to support the general movement, established a National Products Investigation Committee within the Ministry of Industry, set up a National Products Exhibition in Shanghai and National Products Display Centers in various locations, <33> established a National Products Bank, and even planned national product factories. Also, in fact, whenever there were anti-Japanese boycotts, China's industry progressively developed, showing marked increases in textiles, flour milling, matches, and other miscellaneous industries.

Literary Revolution Movement
The Literary Revolution advocates for the use of vernacular Chinese (白話文), that is, the colloquial style, in place of classical Chinese (時文) in China. The initiator of the Literary Revolution is Professor Hu Shih (胡適氏) of Peking University. As a free critic of Confucian doctrine, he first published "Tentative Proposals for the Improvement of Literature" (文學改良趨議) in the 5th year of the Republic (1916), advocating for a literary revolution. Hu Shih's argument was that literature should change with the times, and each era should rightfully have its own literature. Later, Chen Duxiu (陳獨秀) wrote "On the Literary Revolution" (文學革命論) in support. After that, vernacular poetry (白話詩) appeared, eventually leading to the current prevalence of the vernacular style.

Peasant Movement
The organized peasant movement began after the Communist Party joined the Nationalist Party. The peasant movement carried out by the Kwangtung (廣東) government at that time focused firstly on organizing Peasant Associations (農民協會), i.e., peasant unions, and secondly on establishing Cooperative Societies (合作社), i.e., credit unions, in rural areas. Other activities included holding agricultural product exhibitions. The main driving force behind this movement was the Communist Party members within the Nationalist Party. For peasant organization, they initially formed owner-farmer associations, tenant associations, hired laborer associations, and peasant self-defense groups. <34> Within the Peasant Associations, they established peasant night schools, peasant winter schools, and peasant lecture groups to guide and enlighten the peasants. However, this peasant movement faced obstruction from landlords and local garrison troops in organizing peasant associations, leading to bloody tragedies in various places. The peasant movement during the Kwangtung government era mainly focused on organizing peasant unions. However, after the Nationalist Government advanced to the Yangtze River, peasant unions expanded throughout the Yangtze region. Simultaneously, the movement turned towards practical actions such as reducing tenant rents, exempting heavy taxes, and improving rural finance, but conflicts between landowning capitalists and landlords persisted. Then, towards the end of the Wuhan (武漢) government period, the peasant movement progressed to carrying out land revolution, gradually leaning leftward and focusing mainly on peasant uprisings. Meanwhile, the Nationalist Party is also focusing on organizing peasant unions and credit unions.

Literacy Movement
Because compulsory education is not implemented in China, the majority of the population is illiterate. Therefore, to remedy this, a literacy movement arose among the people. The Nationalist Revolution gave further momentum to this movement. The Nationalist Revolution required propaganda for the masses, so a movement emerged to first teach the masses, who would receive the propaganda, a certain level of literacy in a short period. Among the populace, the Chinese National Association of the Mass Education Movement (中華平民敎育促進會) was established and took the lead. Using textbooks written with the 1,000 basic Chinese characters commonly used, called the "Thousand Character Lessons" (千字課), <35> schools were established in various places for education. It is said that the circulation of the "Thousand Character Lessons" reached 3 million copies, so its effect must have been considerable. Even now, the movement to eradicate illiteracy is actively underway. Furthermore, there are "Half-Day Schools" (半日學校), which provide elementary education, including writing tools, ink, clothing, etc., to those who cannot afford to attend primary school due to lack of funds. Students are divided into morning and afternoon classes, attending for half a day each. Teachers are generally police officers, and expenses are covered by donations from private citizens.

National Humiliation Commemoration (國恥紀念)
National Humiliation Commemoration refers to designating the days when China had incidents with foreign countries as National Humiliation Commemoration Days. On these days, student processions and lectures are held, serving as a means to promote the anti-imperialist movement. Initially, National Humiliation Commemoration Days included May 4th (5·4紀念日), the start of the Peking student movement, and May 9th (5·9紀念日) (May 9, Taishō 4 [1915]), when an ultimatum was issued to China during Sino-Japanese negotiations. Later, commemoration days increased with each incident like the May 30th Incident (5·30事件), Anti-Christian incidents (反基事件), and the Jinan Incident (濟南事件). Also, while initially all these commemorations were carried out by students, they are now conducted by the Nationalist Government. General schools close, and through lectures and demonstrations, nationalism is promoted.

National Language Unification Movement
There are significant differences between the languages of Northern and Southern China. There are even extreme cases where people from the North and South cannot converse at all. Therefore, for language unification, <36> a movement to spread the standard language of Nanking (南京) throughout the country is underway, and its effects are gradually appearing.

Student Associations (學生會)
The organization of student associations began around 1918 (during the May Fourth Movement, 5·4運動). At that time, the organization was scattered and guided by secretaries of the YMCA. Recently, however, the Communist Youth League and the Nationalist Party have begun guiding student associations, leading to more organized structure and control. Their activities have expanded beyond anti-imperialism, anti-Christianity, and anti-cultural aggression to include supporting the labor and peasant movements. They range from universities down to primary schools.

Cooperative Societies (合作社)
Cooperative Societies (合作社) means industrial unions (産業組合). As the Nationalist Government carries out mass movements, it is also promoting the cooperative society movement. Recently, the Nationalist Government has been focusing on organizing credit unions in rural areas, while also promoting consumer unions centered in Shanghai and credit union movements centered in Peking.

Hulutao Port Construction (胡蘆島築港)
The plan to construct Hulutao (胡蘆島) Port has been envisioned by the Chinese side since the Russo-Japanese War to compete with Dairen (大連), making it a 20-year-long project. The construction requires an expenditure of 30 million Yuan. This port construction is intended by China to serve as an outlet for lines parallel to the South Manchuria Railway (滿鐵), and upon completion, it will deal a major blow to Dairen. Located west of Chinchow (錦州) on the Pohai Bay (勃海灣), its distance from North Manchuria is several hundred miles shorter compared to Dairen. It is also an extremely important location as an outlet for goods from Eastern Mongolia (東部蒙口物物). <37>

**Summary**

This 1931 article compiled by Kim Tonghwan provides an overview of various socio-political movements transforming China. It details the Anti-Imperialist, Anti-Cultural Aggression, Labor, Anti-Christian, National Products Promotion, Literary Revolution, Peasant, Literacy, National Humiliation Commemoration, Language Unification, Student Association, and Cooperative Society movements. The article highlights the shifting roles of the Communist Party and the Nationalist Party (Kuomintang) in leading or co-opting these movements, the influence of key events like the May 30th Incident and the Jinan Incident, and specific initiatives like the "Thousand Character Lessons" and the Hulutao Port project aimed at strengthening China internally and economically against foreign influence, particularly Japanese. From a Korean colonial history perspective, the article is interesting as it reflects a Korean intellectual's engagement with and reporting on the revolutionary changes in neighboring China, a nation also grappling with imperialism. Historians might find the detailed breakdown of various Chinese nationalist and revolutionary movements, including the competition between the KMT and CCP, and the specific focus on anti-Japanese sentiment (e.g., boycotts, Hulutao port), valuable for understanding the regional context and potential inspirations or parallels perceived by Koreans under Japanese rule.

**Named Entities**

中國	중국	China
日本	일본	Japan
金東煥	김동환	Kim Tonghwan
中國共産黨	중국공산당	Chinese Communist Party
國民黨	국민당	Nationalist Party (Kuomintang)
中華學生廢約同盟會	중화학생폐약동맹회	Chinese Students' Alliance for Treaty Abrogation
湖南	호남	Hunan
上海	상해	Shanghai
北平	북평	Peking (Peiping)
基督敎靑年會	기독교청년회	Young Men's Christian Association (YMCA)
北京	북경	Peking
日中文化事業兩國總委員會	일중문화사업양국총위원회	Sino-Japanese Joint Committee for Cultural Works
米國	미국	United States
露國	노국	Russia
長江	장강	Yangtze River
世界基督敎學生同盟大會	세계기독교학생동맹대회	World Student Christian Federation Conference
上海非基督敎學生同盟	상해비기독교학생동맹	Shanghai Non-Christian Student Alliance
非宗敎大同盟	비종교대동맹	Non-Religious Great Alliance
廣東	광동	Kwangtung (Guangdong)
上海店員 非基督敎同盟	상해점원 비기독교동맹	Shanghai Shop Clerks' Non-Christian Alliance
革命靑年大同盟	혁명청년대동맹	Revolutionary Youth Great Alliance
反基督敎總同盟	반기독교총동맹	Anti-Christian General Alliance
國貨提唱會	국화제창회	National Products Promotion Association
總商會	총상회	General Chamber of Commerce
濟南事件	제남사건	Jinan Incident
國民政府	국민정부	Nationalist Government
上海特別市農工商局	상해특별 시농공상국	Shanghai Special Municipality's Bureau of Agriculture, Industry, and Commerce
國民大會	국민대회	National Assembly
工部	공부	Ministry of Industry
國貨調査委員會	국화조사위원회	National Products Investigation Committee
國貨銀行	국화은행	National Products Bank
胡適	호적	Hu Shih
孔子	공자	Confucius
陳獨秀	진독수	Chen Duxiu
農民協會	농민협회	Peasant Association
合作社	합작사	Cooperative Society
武漢政府	무한정부	Wuhan Government
中華平民敎育促進會	중화평민교육촉진회	Chinese National Association of the Mass Education Movement
南京	남경	Nanking
共産主義靑年團	공산주의청년단	Communist Youth League
胡蘆島	호로도	Hulutao
大連	대련	Dairen (Dalian)
日露戰爭	일로전쟁	Russo-Japanese War
滿鐵	만철	South Manchuria Railway
錦州	금주	Chinchow (Jinzhou)
勃海灣	발해만	Pohai Bay (Bohai Bay)
北滿	북만	North Manchuria
東部蒙口	동부몽구	Eastern Mongolia

**Glossary**

新興	신흥	Newly arising; emerging
展望	전망	Prospect; outlook
現下	현하	Currently; present situation
統計	통계	Statistics
編	편	Compiled by; edited by
論客	논객	Commentator; critic
按配	안배	Arrangement; allocation
參考	참고	Reference
編輯	편집	Editing; compilation
飜譯	번역	Translation
參照	참조	Reference; consultation
잇다	있다	To exist; to be (older spelling of 있다)
外人	외인	Foreigner
主體	주체	Main agent; core subject
움지기어	움직이어	To move; to mobilize (older form of 움직이어)
潮流	조류	Current; trend
列國	열국	The Powers; various nations
打破	타파	Overthrow; destruction
民族主義	민족주의	Nationalism
解放	해방	Liberation
利權回收	이권회수	Recovery of rights and interests
外貨排斥	외화배척	Boycott of foreign goods
不平等條約	불평등조약	Unequal treaty
撤廢	철폐	Abolition; repeal
놉든	높던	Was high (older spelling/form of 높던)
成立되엿다	성립되었다	Was established (older spelling of 되었다)
設	설	Establish; set up
提唱	제창	Advocacy; proposal
휩쓸고	휩쓸고	Sweeping through
反文化侵略	반문화침략	Anti-cultural aggression
夏間	하간	Summertime
實行方法	실행방법	Method of implementation; execution plan
一齊히	일제히	All at once; simultaneously
退校	퇴교	Withdrawal from school
轉入	전입	Transfer into (a school)
基督敎	기독교	Christianity
入會	입회	Joining an association
許可	허가	Permission; approval
課程	과정	Curriculum
混入	혼입	Mixing in; inclusion
經營	경영	Management; operation
監督	감독	Supervision
內地	내지	Interior (of a country)
宣敎師	선교사	Missionary
實業兼營	실업겸영	Concurrently engaging in business
열니자	열리자	As it opened (older spelling of 열리자)
果然	과연	Indeed; sure enough
理由	이유	Reason
對中文化	대중문화	Cultural activities towards China
가치	같이	Like; as (older spelling of 같이)
干涉	간섭	Interference
밧는	받는	Receiving (older spelling of 받는)
獨立機關	독립기관	Independent organization
委員	위원	Committee member
勞働運動	노동운동	Labor movement (勞働 is older form of 노동)
南中方面	남중방면	South China region
이러나서	일어나서	Arising; starting (older spelling of 일어나서)
漸次	점차	Gradually
펴지어	퍼지어	Spreading (older spelling of 퍼지어)
及하야	급하여	Reaching; extending to (older form)
促進	촉진	Promotion; acceleration
同盟罷業	동맹파업	Strike (by allied groups/union)
到處	도처	Everywhere
盛起	성기	Flourishing; rising vigorously
組合	조합	Union; association
進步	진보	Progress; advancement
擴大	확대	Expansion
頻發	빈발	Frequent occurrence
連絡系統	연락계통	Network system; communication line
指導	지도	Guidance; leadership
分裂	분열	Split; division
解散	해산	Dissolution; disbandment
代置	대치	Replacement
穩健妥協的	온건타협적	Moderate and conciliatory
勞資協調	노자협조	Labor-capital cooperation
採用	채용	Adoption; employment
勞資調停	노자조정	Labor-capital mediation
條例	조례	Regulation; ordinance
施行	시행	Implementation; enforcement
資本侵略	자본침략	Capitalist aggression
方便	방편	Means; expedient; tool
自國化	자국화	Nationalization (in the sense of making something conform to one's own country's ways)
走狗	주구	Running dog; lackey (derogatory)
趣旨	취지	Purpose; aim; purport
呼應	호응	Responding (in concert)
科學	과학	Science
眞理	진리	Truth
相反	상반	Contradictory; conflicting
잇서	있어	Being; existing (older spelling of 있어)
排斥	배척	Rejection; exclusion; boycott
迷信的	미신적	Superstitious
猛烈	맹렬	Fierce; intense
經하야	경하여	Going through; via (older form)
店員	점원	Shop clerk; store employee
成立되엿다	성립되었다	Was formed; was established (older spelling)
軍人會	군인회	Military association
離校	이교	Leaving school
各處	각처	Various places
國貨	국화	National products; domestic goods
並行	병행	Parallel; side-by-side
最近	최근	Recently
大端히	대단히	Extremely; greatly
盛하여	성하여	Becoming prosperous; flourishing
高調	고조	Highlighting; emphasizing
國産獎勵	국산장려	Encouragement of domestic production
發芽	발아	Budding; germination
增大	증대	Increase; growth
總商會	총상회	General Chamber of Commerce
엇다	였다	Was (older copula form)
具體化	구체화	Making concrete; embodiment
計劃	계획	Plan; project (計畫 is older form of 계획)
卽	즉	Namely; that is
設	설	Establish; set up
從應	종응	Support; respond affirmatively
展覽會	전람회	Exhibition
陳列所	진열소	Display center; showroom
事實	사실	Fact; reality
逐次	축차	Progressively; one after another
發展	발전	Development; progress
紡積	방적	Spinning (textiles)
爲始	위시	Beginning with; starting from
製粉	제분	Flour milling
燐寸	인촌	Matches (older term)
雜工業	잡공업	Miscellaneous industries
現著	현저	Marked; distinct; noticeable
增加	증가	Increase
보이엿다	보였다	Showed; displayed (older spelling)
文學革命	문학혁명	Literary Revolution
時文	시문	Classical Chinese prose/literature
代함에	대함에	In place of; substituting
白話文	백화문	Vernacular Chinese writing
口語體	구어체	Colloquial style
首唱者	수창자	Initiator; leading proponent
學說	학설	Doctrine; theory
自由批判者	자유비판자	Free critic
趨議	추의	Proposal; suggestion
唱導	창도	Advocacy; championing
올홀	옳을	Correct; right (older form of 옳을)
讚成	찬성	Approval; agreement
決局	결국	Eventually; in the end
今日	금일	Today; the present day
全盛	전성	Peak prosperity; heyday
至하엿다	지하였다	Reached (older form)
農民運動	농민운동	Peasant movement
組織的	조직적	Organized; systematic
始作	시작	Beginning; start
加入	가입	Joining; affiliation
當時	당시	At that time
農民協會	농민협회	Peasant Association
設置	설치	Establishment; installation
其他	기타	Other; etc.
開催	개최	Holding (an event)
主動力	주동력	Main driving force
黨員	당원	Party member
自作農	자작농	Owner-farmer
小作人	소작인	Tenant farmer
雇農	고농	Hired farm laborer
自衛團	자위단	Self-defense group
夜學校	야학교	Night school
冬期學校	동기학교	Winter school
講演團	강연단	Lecture group
啓發	계발	Enlightenment; development
當하엿다	당하였다	Undertook; was in charge of (older form)
地主	지주	Landlord
駐在軍隊	주재군대	Garrison troops
妨害	방해	Obstruction; hindrance
流血	유혈	Bloodshed
慘劇	참극	Tragedy
보왓다	보았다	Saw; witnessed (older spelling)
沒頭	몰두	Immersion; absorption
進出	진출	Advance; entry
以後	이후	After; henceforth
同時	동시	Simultaneously
小作料	소작료	Tenant rent
輕減	경감	Reduction; mitigation
重稅	중세	Heavy taxes
免除	면제	Exemption
金融	금융	Finance
整備	정비	Maintenance; improvement
實際運動	실제운동	Practical movement
向함에	향함에	Turning towards; heading for
至하엿스나	지하였으나	Reached, but (older spelling/form)
依然히	의연히	Still; as before
잇섯다	있었다	Existed; there was (older spelling)
末期	말기	End period; final stage
土地革命	토지혁명	Land revolution
左傾	좌경	Leaning leftward; left inclination
暴動	폭동	Riot; uprising
한편	한편	Meanwhile; on the other hand
識字運動	식자운동	Literacy movement
義務敎育	의무교육	Compulsory education
文盲	문맹	Illiteracy
救濟	구제	Relief; remedy
위하야	위하여	For the sake of (older spelling)
氣勢	기세	Momentum; vigor
놋는	돋우는	Boosting; enhancing (seems typo for 돋우는 or similar)
宣傳	선전	Propaganda; publicity
必要	필요	Necessary
밧을	받을	To receive (older spelling)
爲先	우선	First; primarily
程度	정도	Degree; extent
短時日	단시일	Short period of time
敎育식힐	교육시킬	To educate (older spelling/form)
民間	민간	Civilian; private sector
設立	설립	Establishment; foundation
압장을 섯다	앞장을 섰다	Took the lead (압장 = 앞장, 섯다 = 섰다)
千字課	천자과	Thousand Character Lessons
基本漢字	기본한자	Basic Chinese characters
씨운	쓰인	Written (older spelling of 쓰인)
敎科書	교과서	Textbook
發行部數	발행부수	Circulation; number of copies issued
達하엿다함	달하였다함	It is said to have reached (older form)
効果	효과	Effect; result (効果 is older form of 효과)
不小	불소	Not small; considerable
只今	지금	Now; currently (只今 is older form of 지금)
盛行	성행	Being popular; thriving
半日學校	반일학교	Half-Day School
學資	학자	School expenses; funds for study
업서	없어	Lacking; without (older spelling)
筆墨	필묵	Writing brush and ink; writing tools
衣服	의복	Clothing
等	등	Etc.; and so on
식히는	시키는	Making someone do; providing (older spelling)
班	반	Class; group
授業	수업	Class; instruction
大槪	대개	Generally; mostly
警官	경관	Police officer
經費	경비	Expenses; cost
有志	유지	Volunteer; interested person
寄附	기부	Donation; contribution
國恥紀念	국치기념	National Humiliation Commemoration
事端	사단	Incident; trouble; affair
이르킨	일으킨	Caused; started (older spelling)
紀念日	기념일	Commemoration day; anniversary
行列	행렬	Procession; parade
講演	강연	Lecture
手段	수단	Means; way; measure
始作	시작	Beginning; start
交涉	교섭	Negotiation
際하야	제하여	At the time of; during (older form)
最後通牒	최후통첩	Ultimatum
發하든	발하던	Issued (older spelling of 발하던)
其後	기후	After that; subsequently
反基事件	반기사건	Anti-Christian incidents
增加	증가	Increase
