Magazine Title	三千리 제16호
Publication Date	1931년 06월 01일
Article Title	新興中國展望, 國民會議後의 現下政局 (Prospects for Emerging China, The Current Political Situation After the National Assembly)
Author	李晶燮
Article Type	논설 (Editorial/Opinion Piece)

Prospects for Emerging China, The Current Political Situation After the National Assembly
						Yi Chŏng-sŏp
1
About two months before the historically significant National Assembly, a political tragedy that shocked the eyes and ears of the world like a bolt from the blue unfolded in Nanking (南京). This was the fact that Hu Han-min (胡漢民), the President of the Legislative Yuan (立法院), was imprisoned through Chiang Kai-shek's (蔣介石) coup d'état. Chiang Kai-shek advocated for convening the National Assembly and establishing a Provisional Constitution (約法) according to the late Dr. Sun's (故孫總理) final instructions, whereas Hu Han-min strongly opposed this. This was the direct reason for his imprisonment. So, why did Hu Han-min oppose the convening of the National Assembly and the establishment of the Provisional Constitution?

As Hu Han-min is a leading theorist in Chinese political circles, he laid out his arguments regarding this Provisional Constitution issue in a well-organized manner. - The Provisional Constitution was stipulated in the Revolutionary Strategy (革命方略) during Dr. Sun's Chinese Revolutionary Party (中華革命黨) era. There, the sequence of the revolution was indeed divided into three periods: Military Rule (軍法治), Rule by Provisional Constitution (約法治), and Constitutional Rule (憲法治). However, entering the National Revolution period, Dr. Sun taught and stipulated the principles and policies for achieving the revolution in the Fundamentals of National Reconstruction (建國大綱). The Fundamentals of National Reconstruction divides the revolutionary process into three periods: Military Administration (軍政), Political Tutelage (訓政), and Constitutional Government (憲政), but there is no provision for a Provisional Constitution. Therefore, in the current Political Tutelage period, it is sufficient to simply observe and implement the Fundamentals of National Reconstruction, and there is no need whatsoever to newly establish a Provisional Constitution. This is reportedly the meaning behind his opposition to Chiang's assertion.

However, there seems to be a consistent point in Sun Wen's (孫文) thought. In the above description, if Military Administration corresponds to Military Rule and Constitutional Government corresponds to Constitutional Rule, then Political Tutelage should correspond to Rule by Provisional Constitution. Yet, Sun Wen stated in his Fundamentals of National Reconstruction that the unification of the entire nation should be planned through the National Assembly, and when the results of Political Tutelage become apparent in more than half of the nation's provinces, a National Convention (國民大會) should be held, political power returned to the people, a Constitution established, and so forth. Therefore, interpreting it this way, the National Assembly should have already been convened right after Chiang Kai-shek completed the Northern Expedition three years ago to establish some kind of temporary fundamental law, thereby demonstrating the results of Political Tutelage. This temporary fundamental law would be the Provisional Constitution. Reasoning thus, it is clear that Sun Wen's Rule by Provisional Constitution ultimately refers to Political Tutelage, and consequently, regarding Chiang Kai-shek's call to convene the National Assembly to establish a Provisional Constitution aiming for peaceful unification, the weight of theory seems undeniably heavier than Hu Han-min's argument. This is especially true given Sun Wen's dying wish in Peking (北京) to "Realize the convening of the National Assembly and the abolition of unequal treaties in the shortest possible time."

Although the Provisional Constitution issue is cited as the cause of the Chiang-Hu conflict, it is said to be merely the triggering cause, with underlying latent causes existing separately. Some say that suppressing the Communist forces rising up everywhere cannot be done by military force alone, and there is no choice but to join hands with Wang Ching-wei (汪精衛) and collaborate with the leftists, but Hu Han-min opposed this. Others suggest that Chiang Kai-shek intended to submit a proposal for a Great President (大總統案) at the National Assembly and assume the position himself, and Hu Han-min was the biggest obstacle, leading Chiang to resort to final measures due to these various reasons. Many such rumors abound, but it seems difficult to readily trust them. It was only a fact that Hu Han-min was extremely dissatisfied with Chiang Kai-shek's authoritarianism. Thus, it was clear that if the National Assembly were held, Chiang's dictatorial position would be expanded, strengthened, and rationalized.<42> Isn't this perhaps the fundamental reason why Hu Han-min opposed Chiang's principle of convening the National Assembly?

Indeed, in reality, the recent National Assembly ended up strengthening and rationalizing Chiang Kai-shek's dictatorial position. In terms of being a founding father of the Republic's revolution, Chiang Kai-shek is in a position comparable to Sun Wen; moreover, as Chiang concentrates the entire popularity of the Kuomintang (國民黨) onto himself, and as the National Government (國民政府) can be seen as Chiang's government, the passage of the Provisional Constitution drafted by his government through the National Assembly could be nothing other than the strengthening and rationalization of Chiang's dictatorial position. Furthermore, although the 420 representatives attending the National Assembly were formally elected, in reality, almost all were officially selected (官選).

It was inevitable that the government-proposed Provisional Constitution would pass. Because this strengthening of Chiang's dictatorial position was apparent, the majority of the national representatives insisted on reducing the powers of the Chairman of the National Government. That is, they clamored for the amendment of Article 24 of the Provisional Constitution, which stated, "The Presidents of each Yuan, Ministers, and Chairmen shall be appointed by the National Government according to law upon the nomination of the Chief Executive of the National Government (國民政府首席)."

2
The imprisonment of Hu Han-min inevitably provoked ill feelings from the Cantonese faction, as Hu Han-min was the leader of the Cantonese group. The anti-Chiang drama began to unfold once again, centered around Canton (廣東), Kwangsi (廣西), and the Reorganization Clique (改造派). Thus, Ch'en Ming-shu (陳銘樞), Ch'en Chi-t'ang (陳濟棠), Ku Ying-fen (古應芬), Huang Shao-hsiung (黃紹雄), Li Tsung-jen (李崇仁), Pai Ch'ung-hsi (白崇禧), and representatives from Yunnan (雲南) held a meeting in Canton in late April. As a first step in the anti-Chiang movement, they demanded the release of Hu Han-min and Li Chi-shen (李濟探) from the central government. Then, on April 30th, Central Executive and Supervisory Committee members staying in Canton—Ku Ying-fen, Lin Sen (林森), Teng Tse-ju (鄧澤如), Chou Fo-hai (周佛悔), etc.—jointly sent a telegram to the Central Executive and Supervisory Committee (中央執監委員會), enumerating Chiang Kai-shek's Six Major Crimes (六大罪狀). According to it:
1. Chiang Kai-shek has treated the Kuomintang as his private property.
2. He has colluded with the Communist Party.
3. He has appointed petty individuals.
4. He has heavily relied on Sung Tzu-wen (宋子文), causing financial chaos.
5. He has bought off dissidents, disrupting party unity.
6. He has illegally imprisoned comrades. And so forth.

This Canton Incident, occurring right before the National Assembly, cast a great dark shadow over the Chinese political scene. Indeed. Even if this anti-Chiang movement did not directly have a major impact on the National Assembly, it was a fact that it at least worsened the central political situation. Key figures of the Cantonese faction, such as Railway Minister Sun K'o (孫科) and Central Training Department Head Ma Ch'ao-chün (馬超俊), stayed put in Shanghai (上海) on the eve of the pressing National Assembly, refusing to go to Nanking. Judicial Yuan President Wang Ch'ung-hui (王寵惠) also announced his retirement from politics to regain his freedom, stating that the drafting of the Provisional Constitution was complete. Thus, these key figures of the National Government treated the National Assembly like another country's meeting. In addition, even Communications Minister Wang Po-ch'ün (王伯群) remained in Shanghai, planning something together with Sun K'o and Wang Ch'ung-hui. Due to this, the central political situation became very chaotic, momentarily sharpening the public's sixth sense regarding the Chinese political situation considerably.

Upon receiving the anti-Chiang telegram, Chiang Kai-shek, truly following the Way of the Kingly Ruler (王天下之道), had the Central Executive and Supervisory Committee investigate whether he had committed such crimes. However, Chiang Kai-shek's Way of the Kingly Ruler was merely a facade. Why? Because even if it were true that Chiang Kai-shek had committed such crimes, given the timing and especially the Central Executive and Supervisory Committee being under Chiang Kai-shek's pressure, there was absolutely no chance they would send investigation results unfavorable to Chiang to the anti-Chiang faction in Canton. Chiang himself knew this better than anyone. As a matter of course, the Central Executive and Supervisory Committee members replied to the anti-Chiang faction that their words were nothing but rumors. Despite being enveloped in such an uneasy atmosphere, the National Assembly convened grandly as scheduled on May 5th at the new auditorium of Nanking Central University, with a large attendance of over 420 members. During this time, as Chang Hsüeh-liang (張學良) and Wu T'ieh-ch'eng (吳鐵城) mediated between Chiang and Ku Ying-fen & Ch'en Chi-t'ang, the situation suddenly eased significantly. On the 6th, Ku Ying-fen stated to Chiang Kai-shek, "Canton is by no means opposing the Central Government and Your Excellency. Especially regarding Your Excellency's softened stance towards Mr. Li Chi-shen and Mr. Hu Han-min, the Canton side is satisfied. Etc." This kind of easing of the situation can only be described as <43> typically Chinese. It seems to be a characteristic of the Chinese political situation that things seem poised for a major crisis but then suddenly fizzle out powerlessly; perhaps this phenomenon originates from the temperament of the Chinese people. Chinese people sometimes make a fuss over trivial matters, and when confronting others, they seem ready to commit murder, yet they often give up without any perseverance. Regardless of the direction of their temperament, looking at it logically, having righteously protested by enumerating Chiang's Six Major Crimes just days before, and then later claiming they were not opposing Chiang, is a disregard for the so-called law of contradiction found on the first page of logic textbooks, which is incomprehensible to us. Of course, we know well that this is political evasion, but this is truly the Chinese way; we would likely say we retract the previous telegram.

While Chang Hsüeh-liang, Wu T'ieh-ch'eng, and others were mediating between Canton and Chiang, on the other hand, Central Executive Committee members Wu Chih-hui (吳稚暉), Chang Jen-chieh (張人傑), Li Shih-tseng (李石曾), K'ung Hsiang-hsi (孔祥熙), etc., went to Shanghai, visited Wang Ch'ung-hui and Sun K'o there, and discussed a peaceful resolution to the situation. As a result, Sun K'o reportedly agreed to attend the National Assembly, and Wang Ch'ung-hui, who was supposed to go to Europe (歐羅巴) as an international judge, postponed his departure until after the National Assembly closed. Thus, the situation allowed for considerable optimism.

This was the Chinese political situation centered around the National Assembly up until the 9th of this month.

3
Turning to the situation at the National Assembly, the plenary session began on the 8th of this month. On the 9th, a proposal to declare the abolition of unequal treaties was submitted, and the representatives, amidst indignant grief, passed it unanimously, it is said. (Three lines redacted - original text) Amidst this, at the plenary session on the 11th, for some reason, Chang Hsüeh-liang and Sung Tzu-wen were absent. Chiang Kai-shek, arriving late, attended for only about 10 minutes before leaving immediately. Following him, Tai T'ien-ch'ou (戴天仇), Shao Li-tzu (邵力子), K'ung Hsiang-hsi, etc., also left. Furthermore, Yü Yu-jen (于右任), on the presidium platform, seemed restless, pacing back and forth. The assembly hall was reportedly filled with a very uneasy atmosphere.

At this point, rumors began to fly. Some said a serious conflict of opinion over the Provisional Constitution had arisen between the government and the representatives' side. Some claimed Chang Hsüeh-liang had developed rebellious intentions in light of the Canton situation. Others suggested a change had occurred in the Canton situation. It became difficult to judge which theory was right or wrong. However, in reality, Chang Hsüeh-liang never betrayed the Central Government, and it is difficult to speculate that such a serious difference of opinion arose between the representatives' side and the government side regarding the Provisional Constitution, as can be told from the fact that the government's original draft passed as submitted.

Could it be that the cadres caused such a commotion because compromise with the Canton faction had become hopeless? As evidence for this, K'ung Hsiang-hsi, who had gone to Shanghai to confer with Sun K'o, returned empty-handed without achieving any results and consulted with Chiang Kai-shek, Tai T'ien-ch'ou, and Shao Li-tzu on countermeasures. As a result, they reached a consensus to resolve the Canton issue with a decisive stance. Also, Chiang Kai-shek, speaking about the Canton issue at the Central Party Headquarters' (中央黨部) memorial week, made a direct attack in a speech, saying that Ch'en Chi-t'ang was conspiring with Kwangsi's Chang Fa-k'uei (張發奎) and others to become a second Ch'en Chiung-ming (陳炯明). These two facts occurred suddenly on the 11th, the very day the Central Government cadres filled the assembly hall with an uneasy atmosphere.

In any case, it is an undeniable fact that feelings between the Canton ± faction and the Central Government worsened once again. Wang Ch'ung-hui, who had been hesitating, resigned from his post as President of the Judicial Yuan with the blatant reason that it was difficult to work smoothly on anything because his opinions differed from those of the majority of current government officials. This was quite noteworthy. Indeed, the political situation changed drastically. Chiang Kai-shek is said to be busy preparing to subjugate Canton by force. In Canton, a Canton Military Government (廣東軍政府) formed by the coalition of the Canton, Kwangsi, and Reorganization cliques has reportedly been established, and key officials have even been appointed. According to reports, the Standing Committee members are Wang Ching-wei, Ku Ying-fen, Ch'en Chi-t'ang, Sun K'o, Li Tsung-jen, Lin Sen, Teng Tse-ju—seven people. Below the Standing Committee, Political, Military, Financial, and Foreign Affairs Committees are to be established. The Political Committee includes Wang Ching-wei, Sun K'o, Hsü Ch'ung-chih (許崇智); the Military Committee includes Ch'en Chi-t'ang, Chang Fa-k'uei, Ch'en Chi (陳箕); the Financial Committee includes Feng Chu-wan (馮祝萬), Lin Yün-ho (林雲核); the Foreign Affairs Committee includes Ch'en Yu-jen (陳友仁), T'ang Shao-i (唐紹儀). Anyway, it seems that wherever Wang Ching-wei goes, a drama of organizing a new government plays out once. (To page 41) <44>

At this point, if the Canton Military Government develops into a considerable force, a major clash between Canton and Nanking will be unavoidable.

Although such a dangerous low-pressure system lingers between Canton and Nanking, judging by the current situation, Chiang Kai-shek holds an unshakeable advantage. This is one reason to rejoice somewhat for the unification of the Republic of China. Another reason is that despite the Canton Incident occurring just before the National Assembly, its impact on the Assembly was minimal. The most important proposals, starting with the Provisional Constitution, the declaration to abolish unequal treaties, the six-year plan for building a new China, and the new salt law to increase revenue by 50 million yuan, were all passed. Now, the Republic of China is about to enter the construction phase, which is also something to rejoice for its future sound development.

Not only this National Assembly, but the entire process of China's unification has found its guiding thread amidst disorder and complexity. When the first warlord (軍閥) was about to disappear, a second warlord emerged; when the second warlord was about to disappear, a third warlord appeared. It seemed uncertain when that chaotic state would turn towards the light. However, in reality, each time a warlord fell, it illuminated the path to unification more brightly. Of course, it is undeniable that Chiang Kai-shek is also a new warlord. But whether new warlord or old warlord, what China feels most acutely at present is unification. Regardless of who unifies it, without order, it is difficult for the common people to live securely. In this sense, although major and minor political dramas unfolded centered around this National Assembly, it should be considered a great step forward for peaceful unification. <41>

**Summary**

This 1931 article by Yi Chŏng-sŏp analyzes the complex political situation in China surrounding the National Assembly convened by Chiang Kai-shek. It details the conflict between Chiang and Hu Han-min over the necessity of a Provisional Constitution, the subsequent imprisonment of Hu, and the resulting anti-Chiang movement led by the Canton faction. Despite threats and political maneuvering, the National Assembly proceeded, strengthening Chiang's power and passing key legislation like the Provisional Constitution and a declaration against unequal treaties, while a rival government formed in Canton, portending future conflict. The author concludes, however, that despite the turmoil and Chiang's own warlord-like status, the events represent progress towards the essential goal of Chinese unification. From the perspective of Korean colonial history, this article is interesting as it shows a Korean intellectual closely observing and analyzing the internal power struggles and nation-building efforts in neighboring China, likely drawing implicit parallels or seeking lessons for Korea's own situation under Japanese rule. Historians might find the detailed account of Chinese political factions, the commentary on Chinese political characteristics ("Chinese style" maneuvering), and the underlying theme of seeking national unity amidst fragmentation particularly relevant.

**Named Entities**

李晶燮	이정섭	Yi Chŏng-sŏp
南京	남경	Nanking
蔣介石	장개석	Chiang Kai-shek
胡漢民	호한민	Hu Han-min
孫總理	손총리	Dr. Sun (Sun Yat-sen)
孫文	손문	Sun Wen (Sun Yat-sen)
中華革命黨	중화혁명당	Chinese Revolutionary Party
國民革命期	국민혁명기	National Revolution period
建國大綱	건국대강	Fundamentals of National Reconstruction
國民會議	국민회의	National Assembly
國民大會	국민대회	National Convention
北京	북경	Peking
汪精衛	왕정위	Wang Ching-wei
國民黨	국민당	Kuomintang
國民政府	국민정부	National Government
廣東	광동	Canton
廣西	광서	Kwangsi
改造派	개조파	Reorganization Clique
陳銘樞	진명추	Ch'en Ming-shu
陳濟棠	진제당	Ch'en Chi-t'ang
古應芬	고응분	Ku Ying-fen
黃紹雄	황소웅	Huang Shao-hsiung
李崇仁	이종인	Li Tsung-jen
白崇禧	백숭희	Pai Ch'ung-hsi
雲南	운남	Yunnan
李濟探	이제심	Li Chi-shen
林森	임삼	Lin Sen
鄧澤如	등택여	Teng Tse-ju
周佛悔	주불해	Chou Fo-hai
中央執監委員會	중앙집감위원회	Central Executive and Supervisory Committee
宋子文	송자문	Sung Tzu-wen
孫科	손과	Sun K'o
馬超俊	마초준	Ma Ch'ao-chün
上海	상해	Shanghai
王寵惠	왕총혜	Wang Ch'ung-hui
王伯群	왕백군	Wang Po-ch'ün
南京中央大學	남경중앙대학	Nanking Central University
張學良	장학량	Chang Hsüeh-liang
吳鐵城	오철성	Wu T'ieh-ch'eng
歐羅巴	구라파	Europe
吳稚暉	오치휘	Wu Chih-hui
張人傑	장인걸	Chang Jen-chieh
李石曾	이석증	Li Shih-tseng
孔祥熙	공상희	K'ung Hsiang-hsi
戴天仇	대천구	Tai T'ien-ch'ou
邵力子	소력자	Shao Li-tzu
于右任	우우임	Yü Yu-jen
中央黨部	중앙당부	Central Party Headquarters
張發奎	장발규	Chang Fa-k'uei
陳炯明	진형명	Ch'en Chiung-ming
廣東軍政府	광동군정부	Canton Military Government
許崇智	허숭지	Hsü Ch'ung-chih
陳箕	진기	Ch'en Chi
馮祝萬	풍축만	Feng Chu-wan
林雲核	임운해	Lin Yün-ho
陳友仁	진우인	Ch'en Yu-jen
唐紹儀	당소의	T'ang Shao-i
中華民國	중화민국	Republic of China

**Glossary**

압두기	앞두기	To have something ahead, upcoming (older spelling/form)
假量	가량	Approximately, about
驚動	경동	To shock, startle
慘劇	참극	Tragedy, tragic event
演出	연출	To unfold, be staged, perform
遺訓	유훈	Final instructions, dying wish
召集	소집	To convene, summon
制定	제정	To establish, enact (a law, constitution)
極口	극구	Strongly, vehemently
政界	정계	Political world/circles
一流	일류	First-rate, leading
條理整然	조리정연	Well-organized, logical, coherent
論陳	논진	To state an argument, present a case
밥는다	밟는다	To tread, follow (here meaning 'to lay out' an argument)
規定	규정	To stipulate, provide for
順序	순서	Order, sequence
난호앗다	나누었다	Divided (older spelling/form)
達成	달성	Achievement, attainment
原理	원리	Principle
政策	정책	Policy
敎示	교시	To teach, instruct, indicate
過程	과정	Process
뿐이요	뿐이요	Only, merely (older particle form)
遵守	준수	To observe, comply with
履行	이행	To implement, fulfill
새삼스런세	새삼스레	Newly, afresh (older adverbial form)
意味	의미	Meaning, sense
傳한다	전한다	It is reported/said
終始一貫	종시일관	Consistent from beginning to end
該當	해당	To correspond to, be applicable
圖하되	도모하되	To plan, seek
半數	반수	Half the number
省區	성구	Province area
實績	실적	Actual results, performance
開催	개최	To hold, convene (a meeting)
政權	정권	Political power, regime
返還	반환	To return, give back
云云	운운	And so forth, et cetera
直後	직후	Immediately after
발서	벌써	Already (older spelling)
엇더한	어떠한	Some kind of, what kind of (older spelling)
根本法	근본법	Fundamental law
設定	설정	Establishment, setting up
곳	곧	Namely, that is (older spelling)
推理	추리	Reasoning, inference
結局	결국	Ultimately, in the end
말함이	말함이	Saying, referring to (older nominalizing form)
分明	분명	Clear, evident
딸하서	따라서	Therefore, consequently (older spelling)
爲하야	위하여	For the sake of (older spelling)
重量	중량	Weight, importance
훨신	훨씬	Much more (older spelling)
업지 안이하다	없지 아니하다	Not without, undeniably has (older negative form)
더구나	더구나	Moreover, furthermore
客死	객사	To die away from home
際	제	At the time of
遺言	유언	Last words, dying wish
撤廢	철폐	Abolition, repeal
最短期間	최단기간	Shortest period of time
實現	실현	Realization, actualization
잇슴에 잇서서랴	있음에 있어서랴	Especially given that... (rhetorical emphasis)
衝突	충돌	Conflict, clash
오히러	오히려	Rather, preferably (older spelling)
不過	불과	Merely, nothing more than
潛在	잠재	Latent, potential
蜂起	봉기	To rise up (like bees), revolt
鎭壓	진압	Suppression, quelling
한갓	한갓	Merely, only
握手	악수	To shake hands, join forces
合同	합동	Collaboration, union
妨害物	방해물	Obstacle, hindrance
理由	이유	Reason, cause
手段	수단	Means, measure
風說	풍설	Rumor, hearsay
만흐나	많으나	Although many (older spelling/form)
얼른	얼른	Readily, quickly
信憑	신빙	To trust, believe in
갓다	같다	Seems like, appears to be (older spelling)
獨裁主義	독재주의	Authoritarianism, dictatorship
不平滿滿	불평만만	Full of discontent/complaint
事實	사실	Fact, reality
元勳	원훈	Founding contributor, elder statesman
同架	동가	To be put on the same level, rank together
全人氣	전인기	Entire popularity
集中	집중	Concentration
一身	일신	One's own body/person
立案	입안	Drafting, planning
通過	통과	Passage (of a bill, etc.)
强化	강화	Strengthening, reinforcement
合理化	합리화	Rationalization
안이면 안될 것이다	아니면 안 될 것이다	Must be, cannot be otherwise than (strong assertion)
出席	출석	Attendance
代表	대표	Representative, delegate
形式	형식	Formality, form
實際	실제	Reality, actuality
官選	관선	Official selection/appointment
必然	필연	Inevitable, necessary
勢	세	Trend, force, situation
主席	주석	Chairman
權限	권한	Authority, power
縮少	축소	Reduction, curtailment
卽	즉	Namely, that is
提請	제청	Nomination, proposal
任命	임명	Appointment
修正	수정	Amendment, revision
부르지즌	부르짖은	Shouted, clamored for (older spelling)
惡感	악감	Ill feeling, animosity
까닭이다	까닭이다	It is the reason why
頭領	두령	Leader, head
幕	막	Act (of a play)
中心	중심	Center, focus
下旬	하순	End of the month (last 10 days)
先着手	선착수	First step, initiative
釋放	석방	Release, liberation
要求	요구	Demand, request
滯在	체재	Staying, residing
連名	연명	Joint names
列擧	열거	To list, enumerate
罪狀	죄상	Details of a crime, charges
通電	통전	To send a telegram
私有	사유	To possess privately
結托	결탁	Collusion, conspiracy
小人	소인	Petty person, inferior man
起用	기용	To appoint, employ
重用	중용	To rely heavily upon, appoint to important post
財政	재정	Finance, financial affairs
紊亂	문란	Disorder, chaos
異分子	이분자	Dissident element, outsider
買收	매수	To buy off, bribe
團結	단결	Unity, solidarity
어지럽게	어지럽게	To make disorderly, disrupt
不法	불법	Illegal, unlawful
監禁	감금	Imprisonment, confinement
目前	목전	Right before one's eyes, imminent
暗影	암영	Dark shadow
投하엿다	투하였다	Cast (older form)
그러타	그렇다	That is so, indeed (older form)
萬一	만일	If by any chance
影響	영향	Influence, impact
적어도	적어도	At least
險惡化	험악화	Worsening, deterioration
鐵道部長	철도부장	Minister of Railways
訓練部長	훈련부장	Head of Training Department
要人	요인	Key figure, important person
切迫	절박	Urgent, pressing
起臥	기와	Living, residing (lit. rising and lying down)
不肯	불긍	To be unwilling, refuse
終了	종료	Completion, end
以上	이상	More than, above / given the above
自由	자유	Freedom
引退	인퇴	Retirement
外	외	Besides, in addition to
交通部長	교통부장	Minister of Communications
주저안저	주저앉아	Sitting down, remaining (older spelling)
計劃	계획	Plan, scheme
어수선하게	어수선하게	Chaotically, disorderedly
因하야	인하여	Due to, because of (older spelling)
一時	일시	Temporarily, for a time
世人	세인	The public, people of the world
第六感	육감	Sixth sense, intuition
相當	상당	Considerable, substantial
날카롭게	날카롭게	Sharply
바든	받은	Received (older spelling)
그야말노	그야말로	Truly, indeed (older spelling)
王天下之道	왕천하지도	The Way of the Kingly Ruler
與否	여부	Whether or not
査辨	사변	Investigation and clarification
시켯다	시켰다	Made (someone) do, ordered (older spelling)
一片	일편	A piece of, mere
虛飾	허식	Pretense, ostentation
웨그러냐하면	왜 그러냐 하면	The reason is because (older spelling/form)
設或	설혹	Even if, supposing that
時期	시기	Time, period
威壓	위압	Pressure, coercion
不利	불리	Disadvantageous, unfavorable
萬無	만무	Absolutely no possibility
自身	자신	Oneself
道理	도리	Reason, logic
諸君	제군	Gentlemen, everyone
모도	모두	All, entirely (older spelling)
謠言	요언	Rumor, groundless talk
回答	회답	Reply, answer
不安	불안	Uneasy, anxious
雰圍氣	분위기	Atmosphere (older hanja usage)
쌔엇슴에도 不拘하고	싸였음에도 불구하고	Despite being enveloped in (older spelling/form)
豫定	예정	Schedule, plan
가치	같이	Like, as (older spelling)
多數	다수	Large number, majority
盛大	성대	Grand, magnificent
開會	개회	To open a meeting
이리하는 동안	이리하는 동안	While this was happening
새이에 서서	사이에 서서	Standing between, mediating
調停	조정	Mediation, arbitration
役	역	Role, part
갑작스럽게	갑작스럽게	Suddenly, abruptly
緩和	완화	Easing, relaxation
決코	결코	Never, by no means
貴下	귀하	Your Excellency (polite address)
態度	태도	Attitude, stance
滿足	만족	Satisfaction
時局緩利	시국완리	Easing of the political situation (likely a typo for 완화?)
엇데까지	어디까지	To what extent
야단	야단	Fuss, commotion
無氣力	무기력	Powerless, lethargic
후지부지	흐지부지	To fizzle out, end vaguely
特色	특색	Characteristic feature
氣質	기질	Temperament, disposition
由來	유래	Origin, derivation
現象	현상	Phenomenon
그닥지	그다지	So much, to that extent (older form)
진착치	진작치	(Likely related to 진작) Earlier action, promptness? (Context implies 'serious' or 'important') -> Translating as 'trivial'.
야단법석	야단법석	Uproar, fuss
뎀빌 때	덤빌 때	When attacking, confronting (older spelling)
殺人	살인	Murder
根氣	근기	Perseverance, persistence
주저안고	주저앉고	Sitting down, giving up (older spelling)
方向	방향	Direction
엇지 되엿든지	어찌 되었든지	Regardless of how it turned out (older spelling)
論理的	논리적	Logical
몃칠	며칠	A few days (older spelling)
늓�어	늘어놓아	Enumerating, listing (presumed meaning of typo/OCR error)
正正堂堂	정정당당	Fair and square, righteously
反抗	반항	Resistance, opposition
뒤에 와서	뒤에 와서	Coming later, afterwards
矛盾	모순	Contradiction
法則	법칙	Law, principle
無視	무시	Disregard, ignore
所以	소이	Reason, cause (classical usage)
吾人	오인	We, us (formal/literary)
理解	이해	Understanding
勿論	물론	Of course
政治的	정치적	Political
遁辭	둔사	Evasion, excuse
가트면	같으면	If it were like (us) (older spelling)
取情	취정	(Unclear term, context suggests 'retract' or 'cancel') -> Translating based on context.
他方	타방	On the other hand
赴하야	부하여	Going to (older form)
同地	동지	The same place
訪問	방문	To visit
平和的	평화적	Peaceful
解決	해결	Resolution, solution
相議	상의	Consultation, discussion
承諾	승낙	Consent, approval
國際裁判官	국제재판관	International judge
出發	출발	Departure
閉會	폐회	Closing of a meeting
延期	연기	Postponement
非常	비상	Exceedingly, very
樂觀	낙관	Optimism
許하엿든	허하였던	Allowed, permitted (older spelling/form)
本月	본월	This month
狀況	상황	Situation, state of affairs
本會議	본회의	Plenary session
開始	개시	Beginning, start
不平等條約	불평등조약	Unequal treaty
排除	배제	Exclusion, elimination
宣言	선언	Declaration
發表案	발표안	Proposal for announcement/declaration
悲憤慷慨	비분강개	Indignant grief, righteous anger
滿場一致	만장일치	Unanimous
可決	가결	Approval, passage (of a motion)
이르러서는	이르러서는	Reaching, arriving at (emphasized form)
웬일인지	웬일인지	For some reason
缺席	결석	Absence
遲參	지참	Late arrival/attendance
겨우	겨우	Barely, only
退場	퇴장	Exit, leaving
딸하	따라	Following (older spelling)
主席團	주석단	Presidium, platform members
坐不安席	좌불안석	Restless, unable to sit still (lit. sitting not on a peaceful seat)
왓다갓다하는	왔다 갔다 하는	Pacing back and forth
議場	의장	Assembly hall, chamber
퍽	퍽	Very, quite
어수선한	어수선한	Disorderly, uneasy
氣分	기분	Mood, atmosphere
가득하엿다고 한다	가득하였다고 한다	It is said it was full of
流言蜚語	유언비어	Rumors and slanders
始作	시작	Beginning, start
重大	중대	Serious, grave
意見	의견	Opinion, view
衝突	충돌	Conflict, clash
생겻다는 者	생겼다는 자	Those who said (it) occurred
鑑하야	감하여	In view of, considering (older form)
反意	반의	Rebellious intent
變化	변화	Change
 어느 說이	어느 설이	Which theory/account
올코글은	옳고 그른	Right and wrong (older spelling)
判斷	판단	Judgment, decision
어렵게 되엿다	어렵게 되었다	Became difficult (older spelling)
背反	배반	Betrayal, treason
낫스리라	났으리라	Would have occurred (older conjectural ending)
推測	추측	Speculation, conjecture
原案	원안	Original draft, proposal
그대로	그대로	As it is, without change
幹部	간부	Cadre, executive member
騷動	소동	Commotion, disturbance
妥協	타협	Compromise
絶望	절망	Despair, hopelessness
잇섯지 안흘가	있었지 않을까	Wasn't it in...? (older spelling/form)
考證	고증	Proof, verification
아무 結果를 엇지 못하고	아무 결과를 얻지 못하고	Without obtaining any result (older spelling/form)
허ㅅ도히	헛되이	In vain, fruitlessly (older spelling)
도라와	돌아와	Returning (older spelling)
對策	대책	Countermeasure, plan
協議	협의	Consultation, discussion
斷乎	단호	Decisive, firm
處地	처지	Stance, position
解決	해결	Resolution
一致	일치	Agreement, consensus
言及	언급	Mention, reference
相謀	상모	To conspire together
正面攻擊	정면공격	Frontal attack, direct criticism
演說	연설	Speech, address
突發	돌발	Sudden outbreak
엇재뜬	어쨌든	Anyway, in any case
再次	재차	Again, once more
惡化	악화	Worsening, deterioration
틀림업는	틀림없는	Undeniable, certain
엽대	여태	Until now, so far (older spelling?)
躊躇	주저	Hesitation
現政府	현정부	Current government
圓滿	원만	Smoothly, satisfactorily
