**Header Section:**
Magazine Title: 三千里 (Samch'ŏlli)
Publication Date: 1931년 06월 01일 (June 1, 1931)
Article Title: 新興中國展望, 中國當代의 代表人物 (Outlook on the New China, Representative Figures of Contemporary China)
Author: 朱耀翰 (Chu Yohan)
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
Outlook on the New China, Representative Figures of Contemporary China
						Chu Yohan

China encompasses a population of 400 million, so it has exceedingly many figures. It's impossible to choose based on any single standard, so I will fulfill my obligation to the Samch'ŏlli Company by introducing a few people based on the standard of having seen them at least once with my own eyes, even from afar.

Chiang Kai-shek
Chiang Kai-shek is the prodigy (麒麟兒) of the new China. With a longish, horse-like face, lanky height, sun-tanned complexion, and simply dressed in a military uniform without medals, his appearance is unremarkable. Only perhaps his broad, receding forehead gives the impression of someone capable of great deeds. His behavior lacks verticality (수직함 - possibly meaning 'stiffness' or 'formality') and is like that of an ordinary person (凡人), and his speech retains his native Zhejiang accent, making his oratory style not particularly impressive.

The reason he attained his current position lies, of course, in his military talent. When he was Commandant of the Whampoa Military Academy, military men senior to him sneered, wondering what such a child could accomplish. However, he possessed skills learned from both Japan and Russia, and among Sun Wen's military subordinates—no, among all Chinese warlords—he was the only military man with political insight. Looking at his speeches from the Guangdong era, it is clearly evident that he grasped not only the Three Principles of the People but also the theories of Communism.

His first practical involvement in the movement was joining the Tongmenghui in Tokyo and, after returning to China, participating in the attack on Shanghai under Ch'en Ch'i-mei (陳其義) during the Second Revolution. After its failure and the rise of Yuan Shikai's era, he temporarily changed direction, even working at the stock exchange in Shanghai. His association with the Zhejiang financial clique (浙江財閥) during this time laid the foundation for maintaining the Nanjing Government today with their money.

But could his great ambition (鵬志) have truly died? In 1923, when Sun Wen joined hands with Russia, reorganized the Kuomintang, and re-established the Nationalist movement based in Guangdong, he rushed to join his former teacher's staff and became his Chief of Staff. Sent by the Kuomintang, he studied at the military academy in Moscow, and his fame began to rise after becoming Commandant of the Whampoa Military Academy. Organizing the student army, he purged Zhejiang (浙江을 肅淸하니 - Note: Historically, Chiang consolidated power *in Guangdong* around this time; this reference to purging Zhejiang is geographically unclear in the context of Whampoa/Guangdong, potentially referring to dealing with rivals or influence from Zhejiang, or an error in the source). In the Kuomintang, he was elected to the Central Executive Committee, ranking second only to Wang Zhaoming.

During that time, he grasped the military power in Guangdong and skillfully manipulated the three forces of the Communist faction, the Kuomintang Left-wing, and the Right-wing, first ousting Borodin,<48> then Hu Hanmin, and finally Wang Zhaoming, establishing his own position.

In 1926, seizing the opportunity presented by the compromise between the Kuomintang and Communist Party, he set out on the path of the Northern Expedition and became its Commander-in-Chief.
What happened afterwards is well known to the world.

Wang Zhengting

The name of Wang Zhengting, Foreign Minister of the Nationalist Government, will leave an indelible mark on Chinese history. Even if he didn't orchestrate the drama of the Chinese delegation's non-signing at the Paris Conference, or even if the final act of the Wang-Karakhan negotiations resulted in Gu Weijun taking the credit, the recovery of tariff autonomy in 1928 and the retrieval of consular jurisdiction in 1931 will surely remain in history entirely as Mr. Wang's achievements.

He is criticized for conducting compromise diplomacy according to the policies of the Nanjing Government, deemed inferior to Chen Youren, but that should be attributed to the changing circumstances; even Chen Youren, faced with such times, likely could not have done otherwise. Although there are many figures in Chinese diplomacy, Wang is undoubtedly counted on the first hand as a truly persevering and capable diplomat.

Even considering Gu Weijun, Wu Chaoshu, Huang Fu, Shi Zhaoji, and Yan Huiqing, it seems rare to find someone who surpasses Wang.

With wide-set eyebrows, a broad nose, and rimless glasses, Mr. Wang looks every bit a Chinese man. A "Chinaman." His speeches are passionate, as expected of a Chinese person, but it's surprising that he doesn't gesture theatrically, swaying his body as Chinese people often do.

Born in 1882, he is now in the prime of his life at 50. His hometown is Ningbo, Zhejiang Province. After graduating from Beiyang University, he passed through Japan and graduated from Yale University in the United States. Upon returning, he first served as a secretary for the YMCA. When the revolution broke out, he immediately joined and became an important figure in the Nanjing Government. He served as Vice Minister of Agriculture, Industry, and Commerce, then Acting Minister, and later became Speaker of the Upper House.

When the National Assembly was dissolved by Yuan Shikai, he again became the National Secretary of the YMCA. In 1917, he joined the Guangdong Government, attended the Paris Peace Conference, and after returning, briefly immersed himself in the business world. From 1922, when he became the Shandong Negotiations Commissioner, he was continuously involved with the government, sometimes leading Sino-Russian negotiations, sometimes serving as Director-General of the Longhai Railway.

Wang's efforts were significant in successfully bringing about the alliance between Feng Yuxiang and Chiang Kai-shek in the 1920s (192년에 - likely a typo for mid/late 1920s, contextually ~1927).

After Chiang Kai-shek organized the Nanjing Government and Huang Fu resigned as Foreign Minister following the Jinan Incident, he succeeded him and has remained in the position to this day.

Two years ago, there was an incident where the Nanjing crowd, angered by diplomatic relations with a certain country, attacked Wang Zhengting's private residence. As a diplomat in actual authority, is Wang the only one to incur the dissatisfaction of the populace? His life might be in danger at some point. Didn't Ōkuma Shigenobu lose a leg due to a bomb? Shouldn't having just his house damaged be considered fortunate?<49>

Hu Shih
Hu Shih, renowned as a proponent of the New Literature, has now lost his luster. He is branded a liberalist by radical youth and faces expulsion orders from the Kuomintang as an opponent of the Three Principles of the People.

He recently published an essay titled "Which Road Should We Take?" (我們走那條路), clarifying his thoughts. He stated that China has five enemies to overthrow: Poverty (貧窮), Disease (疾病), Ignorance (愚眛), Corruption (貧汚 - likely means 貪汚 'corruption', but written as 'poor-filth'), and Disorder (擾亂). To overthrow these, merely shouting about revolution is useless. There is nothing but constant effort through self-aware reform.

It is natural that such ideas would incur the antipathy of the youth from various factions engrossed in the current political movements—the Kuomintang, the Communist Party, and the China Youth Party. However, his true character lies in boldly publishing his convictions regardless of such antipathy. This daring thinker, in appearance, looks less presentable than a train dining car boy. Short and thin, wearing strong prescription glasses and Chinese clothes, this 41-year-old man looks like a child of merely 24 or 25. Yet, every word he speaks possesses scholarly precision.

Born in Shanghai, he studied in the United States, winning first prize for his thesis on Browning at Cornell University and becoming a Doctor of Philosophy at Columbia.

After returning to China, he advocated the Literary Revolution, wrote the first vernacular poems, served as a professor at Peking National University, and then moved to Kwang Hua University in Shanghai. His writings include "An Outline of the History of Chinese Philosophy" (中國哲學大綱) and others.

Ms. Zheng Yuxiu (鄭毓秀女士)
Dr. Zheng Yuxiu, about whom the world gossips—appointed Minister to France, or President of the Shanghai Provisional Court—because she is a woman, is still a "Miss." However, though it may lack some respect, attempting to find "it" (잇트 - 'it factor'/sex appeal) in her nowadays will end in failure.

Now 38 years old, being Cantonese, her face is dark, and the two nostrils of her low nose will glare at you like two cannons.

However, in negotiations, she is by no means as blunt as her face suggests. As her profession is lawyer, she is skilled in conversation. She speaks Northern Mandarin without excessive difficulty (語塞 - lit. 'speech blockage').

Her office in the Shanghai French Concession is a quiet two-story Western-style house behind the French [consulate/building?], and the lady commutes by automobile.

Originally from a prominent family (名門), she unbound her feet at age 10, broke off an engagement with the son of a high official in Guangdong at 14, and ran away to Tianjin to enter school. An old member of the Tongmenghui, she was a fierce general (猛將) who entered Beijing carrying bombs during the 1911 Revolution.

She has authored a book in English titled "A Typical Chinese Family," and in French, "The Chinese Constitutional Movement" and "Recollections of Childhood and Revolution."<50>
<48-50>

**Summary**

This article by Korean intellectual Chu Yohan provides profiles of four prominent figures shaping China in 1931: Chiang Kai-shek, Wang Zhengting, Hu Shih, and Zheng Yuxiu. Chu offers personal observations on their appearances, demeanors, backgrounds, and significance, portraying Chiang as a militarily skilled but unassuming leader, Wang as a resilient diplomat achieving key successes, Hu Shih as a principled but increasingly marginalized intellectual, and Zheng Yuxiu as a formidable female lawyer and revolutionary figure. From the perspective of Korean colonial history, the article is interesting as it shows a Korean intellectual analyzing contemporary Chinese leadership during a period of intense nation-building and political turmoil in China, observed from the vantage point of colonized Korea. Chu's candid, sometimes critical, and impressionistic assessments of these major Chinese figures offer insight into Korean perspectives on China's struggles and modernization efforts under the shadow of Japanese imperialism.

**Named Entities**

三千里	삼천리	Samch'ŏlli
朱耀翰	주요한	Chu Yohan
蔣介石	장개석	Chiang Kai-shek
中國	중국	China
浙江	절강	Zhejiang
孫文	손문	Sun Wen (Sun Yat-sen)
日本	일본	Japan
露國	노국/로국	Russia (older term)
黃浦軍官學校	황포군관학교	Whampoa Military Academy
東京	동경	Tokyo
同盟會	동맹회	Tongmenghui
陳其義	진기의	Ch'en Ch'i-mei (Written as 陳其義 in text, potentially referring to 陳其美)
上海	상해	Shanghai
袁世凱	원세개	Yuan Shikai
南京	남경	Nanjing
廣東	광동	Guangdong
國民黨	국민당	Kuomintang (Nationalist Party)
모스코	모스크바	Moscow
汪兆銘	왕조명	Wang Zhaoming (Wang Jingwei)
보로듼	보로딘	Borodin (Mikhail Borodin)
胡漢民	호한민	Hu Hanmin
共産黨	공산당	Communist Party
王正廷	왕정정	Wang Zhengting (C.T. Wang)
巴里	파리	Paris
카라한	카라한	Karakhan (Lev Karakhan)
顧維鈞	고유균	Gu Weijun (Wellington Koo)
陳友仁	진우인	Chen Youren (Eugene Chen)
伍朝樞	오조추	Wu Chaoshu
黃浮	황부	Huang Fu
施肇基	시조기	Shi Zhaoji (Alfred Sao-ke Sze)
顔惠慶	안혜경	Yan Huiqing (W.W. Yen)
寧波	영파	Ningbo
北洋大學	북양대학	Beiyang University
米國	미국	United States (America)
예일大學	예일대학	Yale University
基督敎靑年會	기독교청년회	YMCA (Christian Youth Association)
山東	산동	Shandong
隴海鐵路	농해철로	Longhai Railway
馮玉祥	풍옥상	Feng Yuxiang
濟南	제남	Jinan
大隈重信	대외중신	Ōkuma Shigenobu
胡適	호적	Hu Shih
中國靑年黨	중국청년당	China Youth Party
코넬大學	코넬대학	Cornell University
컬넘비아	컬럼비아	Columbia University
北京國立大學	북경국립대학	Peking National University
光華大學	광화대학	Kwang Hua University
鄭毓秀	정육수	Zheng Yuxiu (Soumay Tcheng)
佛蘭西	불란서	France

**Glossary**

만흐다	많다	many, much (older spelling)
업스니	없으니	because there isn't/aren't (older spelling)
選擇할	선택할	to select/choose
紹介함으로	소개함으로	by introducing
責을 하련다	책임을 하련다	will fulfill the responsibility (older phrasing)
꺽다락하고	꺽다리하고	being lanky/very tall (colloquial/older form)
살빗에	살빛에	skin color/complexion (older spelling)
업는	없는	without/non-existent (older spelling)
업다	없다	is not/lacks (older spelling)
버서진	벗어진	bald/receding (referring to forehead)
가튼	같은	like/similar to (older spelling)
잇서	있어	having/being (older spelling)
안니하다	아니하다	is not (older spelling)
잇다	있다	is/has (older spelling)
잇슬	있을	that will be/have (older spelling)
첫섯다	쳤었다	used to strike/hit (here: used to sneer)
베와온	배워온	learned and brought back (older form)
잇섯고	있었고	had/there was (older spelling)
햇섯든	했었던	had done (older spelling)
밧아	받아	receiving (older spelling)
됨으로부터	됨으로부터	from becoming
오르기	오르기	rising/climbing
쫏고	쫓고	chasing away/expelling
쫏차	쫓아	chasing away/expelling
되엇다	되었다	became (older spelling)
바드나	받으나	although receiving (older spelling)
어찌할 수 업슬	어찌할 수 없을	cannot do anything about it (older spelling)
아지 못해도	알지 못해도	even if one doesn't know
곱게	꼽게	to count (on fingers)
갓다	같다	seems like/is like (older spelling)
넙적한	넓적한	wide and flat
안경	안경	glasses/spectacles
잇스나	있으나	although there is (older spelling)
안는	않는	not doing (older spelling)
卒業하고	졸업하고	graduating
것처	거쳐	via/passing through
잇다가	있다가	being there for a while, then... (older spelling)
되엇다가	되었다가	became, and then... (older spelling)
되매	되매	as it became
얼마둥안	얼마 동안	for some time (older spelling)
投身하다가	투신하다가	throwing oneself into (a field), and then...
되여서부터	되어서부터	from becoming (older spelling)
줄곳	줄곧	continuously
왓다	왔다	came/has come (older spelling)
잇섯다	있었다	there was (older spelling)
업거니	없거니	since... is gone/missing
빗치	빛이	light/luster (older spelling)
낡엇다	낡았다	became old/worn out (older spelling)
바드게	받게	to receive/get (older spelling)
박게	밖에	only/nothing but (older spelling)
잇는	있는	that exists/is (older spelling)
보아서	보아서	judging by appearance
썻고	썼고	wrote, and... (older spelling)
옴겻다	옮겼다	moved (older spelling)
되엇느니	되었느니	has become, or... (older form)
가티	같이	like/as (older spelling)
다라나	달아나	running away
들어갓다	들어갔다	entered (older spelling)
갓든	갔던	who had gone (older spelling)


---------------------------


잡지명	삼천리 제16호
발행일	1931년 06월 01일
기사제목	新興中國展望, 中國當代의 代表人物
필자	朱耀翰
기사형태	논설

新興中國展望, 中國當代의 代表人物
						朱耀翰
4億萬 人口를 包含한 中國이니 人物도 하도 만흐다. 그 어느 것을 標準해서 選擇할 수도 업스니 人物은 크던 적던 내 눈으로 멀리서라도 한번 보앗다는 것을 標準으로 해서 멧사람 紹介함으로 三千里社에 대한 責을 하련다.

蔣介石
蔣介石은 新中國의 麒麟兒다. 기름한 말상에 키가 꺽다락하고 해에 그른 살빗에 훈장도 업는 군복을 검소하게 입은 것이 풍채로는 보잘 것이 업다. 오직 쑥 버서진 이마가 한 일 잡을 사람가튼 인상을 준다고 할는지. 그의 행동은 수직함이 업고 凡人답고 그의 말도 故鄕인 浙江口音을 그대로 가지고 잇서 演說口調로 그리 신통치 안니하다.
그가 오늘의 地位를 차지한 原因은 勿論 그의 軍事的 才幹에 잇다. 黃浦軍官學校校長으로 잇슬 때에 그의 先輩되는 軍人들은 이가튼 어린애가 무엇을 하랴고 코우숨 첫섯다. 그러나 그는 日本과 露國의 兩處에서 베와온 技術이 잇섯고 또 孫文幕下 軍人中에서- 아니 全中國軍閥中에서 政治的 眼目을 가진 唯一한 軍人이엇다. 그의 廣東時代의 演說을 보면 三民主義는 勿論이요 共産主義의 理論까지도 把握햇섯든 것이 歷歷히 보인다.
東京서 同盟會에 加入하고 歸國後에는 第2次革命에 陳其義의 部下로 上海襲擊에 參加한 것이 그의 첫 번 實際運動이엇다. 그것이 失敗하고 袁世凱의 세상이 된 뒤에 그는 一時方向을 轉換하야 上海서 取引所에 奉職한 일까지 잇섯다. 이때에 浙江財閥과 交際한 것이 今日 南京政府를 浙江財閥의 돈으로 維持하는 基礎가 된 것이다.
그러나 鵬志가 아주 죽엇을 리가 잇으랴. 1923년 孫文이 露國과 握手하야 國民黨을 改造하고 廣東을 根據로 하야 國民運動을 再建하게 되매 그는 舊師의 幕下에 馳參하야 그 參謀將이 되엇다. 國民黨의 特派를 밧아 모스코의 陸軍士官學校에 留學하고 黃浦軍官學校의 校長이 됨으로부터 그의 名聲은 오르기 始作햇다. 學生軍을 組織하야 浙江을 肅淸하니 國民黨에서는 汪兆銘 다음가는 最高點으로 그를 中央執委에 選擧햇다.
그동안에 그는 廣東의 軍隊實力을 掌握해가지고 共産派, 國民黨左派, 右派의 三勢力을 巧妙히 操縱해서 먼저 보로듼을＜48＞ 쫏고 다음에 胡漢民을 쫏고 마지막으로 汪兆銘을 쫏차 自己의 地位를 確立햇다.
1926년에 國共兩黨의 妥協을 契機로 北伐의 길을 떠나서 그가 北伐軍總司令이 되엇다.
그후의 일은 世上이 잘 아는 것이다.

王正廷

國民政府 外交部長 王正廷의 일음은 中國歷史上에 不朽의 이름을 남기게 되엿다. 巴里會議에 人民代表로 가서 中國代表不調印劇을 꾸며낸 것이 아니라 할지라도 또는 王, 카라한交涉의 結果가 最後一幕에서 顧維鈞에게 功을 빼앗기게 되엇다 할지라도 1928년의 關稅自由回復과 1931년의 領事裁判權回收는 完全히 王君의 功으로 史上에 남을 것이다.
그가 南京政府의 政策에 의하야 妥協外交를 行한다 하야 陳友仁보다 못하다고 評을 바드나 그것을 周圍環境의 變遷에 따를 것이요 陳友仁이라 할지라도 그런 때를 當하면 더 어찌할 수 업슬 것이다. 中國外交界에 人物이 만흐다 하나 찹으로 근기잇고 實力잇는 外交家는 아지 못해도 王을 첫손고락 곱게 되엿다.
顧維均, 伍朝樞, 黃浮, 施肇基, 顔惠慶, 다 곱아보아야 王의 위를 칠 사람이 드믄 것 갓다.
兩眉間이 넓직하고 넙적한 코에 무테안경을 쓴 王君은 아모리 보아도 中國人이다. 「차이나만」이다. 그의 演說은 中國사람답게 熱이 잇스나 中國人이 항용하는 것처럼 打戱式으로 몸을 흔들지 안는 것은 意外다.
1882年生이니 今年 50歲의 壯年이다. 故鄕은 浙江省寧波, 北洋大學을 卒業하고 日本을 것처 米國예일大學을 卒業하고 돌아와서 처음에는 基督敎靑年會에 幹事로 잇다가 革命이 일어나매 卽時 加擔하야 南京政府의 重要人物이 되엇다. 農商工部의 次長으로 總長代理가 되엇다가 上議院議長이 되엇다.
袁世개에게 國會가 解散되매 다시 基督敎靑年會 全國幹事가 되엇다. 1917년 廣東政府에 加擔하야 巴里平和會義에 出席하고 돌아와서는 얼마둥안 實業界에 投身하다가 1922년에 다시 山東交涉委員이 되여서부터 줄곳 政府에 關連되어 或은 中露交涉에 先頭에 서고 或은 隴海鐵路督辨이 되엇다.
192년에 馮玉祥과 蔣介石의 提携를 成功케 하는데 王의 힘이 컷다.
蔣介石이 南京政府를 組織하고 濟南事件 後에 黃浮가 外長을 辭하매 그 뒤를 이어 今日까지 왓다.
再昨年에 南京群衆이 某國과의 外交關係에 憤慨하야 王正廷의 私邸를 襲擊한 일이 잇섯다. 實際當局에선 外交家로서는 民衆의 不滿을 사는 것이 어찌 王 뿐이랴. 어느때 그의 生命이 危險할는지도 모를 것이다. 大隈重信은 爆彈따문에 다리를 하나업거니 집간이나 부수어진 것은 양생이라고 아니할 것이냐.＜49＞

胡適
新文學提唱家로 이름이 노픈 胡適도 인제는 빗치 낡엇다. 急進靑年에게는 自由主義者의 烙印을 바드게 되고 國民黨으로는 三民主義 反對者로 追放命令까지 바드고 잇다.
그는 最近에 「我們走那條路」라는 論文을 發表하야 自己의 思想을 表明햇다. 曰 中國이 打倒해야할 敵이 다섯가지가 잇다. 卽 貧窮, 疾病, 愚眛, 貧汚, 擾亂이다. 이것을 打倒함에는 입으로 革命만을 떠들어도 所用이 업다. 自覺的 改革으로 不斷努力하는 것 박게 업다 하는 것이다.
이런 思想이 現在 政治運動에 熱中한 國民黨, 共産黨, 中國靑年黨의 各派靑年에게 嫌忌를 살 것은 勿論이다. 그러나 그 嫌忌를 不顧하고 自己의 所信을 堂堂히 發表하는데 그의 眞面目이 잇는 것이다. 이 大膽한 思想家는 風釆로 보아서 汽車食堂 뽀이만도 못하다. 短軀細身에 强度의 近視眼鏡을 쓰고 中國服을 입은 것이 今年41歲의 壯年이 겨우 24,5歲의 어린이로 보인다. 그러나 그의 말 한마듸 한마듸는 學者的 正確이 잇다.
上海出生으로 米國에 留學하야 코넬大學에서는 「부라우닝」에 관한 論文에 一等賞을 탓고 컬넘비아에서 哲學博士가 되엇다.
歸國後 文學革命을 主唱하야 白話詩를 처음 썻고 北京國立大學敎授로 잇다가 上海光華大學으로 옴겻다. 「中國哲學大綱」 其他의 著書가 잇다.

鄭敏秀女士
佛蘭西公使로 任命되엇느니 上海臨時法院長이 되엇느니하야 女子인 고로 世上이 떠드는 鄭毓秀博士는 아직도 「미쓰」다. 그러나 좀 敬意를 잇흘는지 모르나 요새 用語로 그에게서 「잇트」를 發見하려고 하면 失敗다.
今年38歲, 廣東人이니만큼 얼골이 검은데다가 나즌 코의 두구멍은 두 大砲와 가티 당신을 睥睨할 것이다.
그러나 그는 決코 交涉에 그 얼골과 가티 뚝뚝하지는 아니하다. 職業이 辯護士니만큼 對話는 能難하다. 北方官話는 過히 語塞치 안케 한다.
上海法租界에 잇는 그의 事務所는 佛蘭西 뒤 閑靜한 二層洋屋이며 孃은 自動車로 出入하신다.
