잡지명	三千理 제16호
발행일	1931년 06월 01일
기사제목	金剛山 菴子속의 悲戀의 無政府主義 女性 哀話, 리화녀자전문을 마치고 失戀한 나마에 금강산 비로봉 아래에 이르러 悠悠自適하는 (Sad Tale of an Anarchist Woman's Tragic Love in a Kŭmgangsan Hermitage; After Graduating from Ewha Women's College and Suffering Heartbreak, She Reaches the Foot of Kŭmgangsan's Pirobong Peak to Live Freely)
필자	草士
기사형태	문예기타 (Literary/Miscellaneous)

金剛山 菴子속의 悲戀의 無政府主義 女性 哀話, 리화녀자전문을 마치고 失戀한 나마에 금강산 비로봉 아래에 이르러 悠悠自適하는
						草士
A beautiful, flower-like young woman of about twenty, after graduating from Seoul's Ewha Women's College (梨花女子專門學校) amid the blessings and admiration of the capital's young ladies, not long after leaving the school gates, became deeply sympathetic to anarchist thought (無政府主義的 思想). Cursing the power and falsehoods of this world, she shaved her head, put on straw sandals, and reached the foot of the very Pirobong Peak (毘蘆峯)—said to be the most majestic, mysterious, and highest among the twelve thousand peaks of Kŭmgangsan. There, gathering grass and arrowroot vines, she built a small hermitage. Like Lao Tzu or Zhuang Tzu (老子莊子), she sits all day counting the clouds drifting across the sky, living alone for several years. Some of you may have seen this woman. Among the tens of thousands of readers of *Samch'ŏlli*, it is quite imaginable that several hundred, even several thousand, visit Kŭmgangsan, a scenic spot among the Eight Views of Kwandong, each year. Among them, could there possibly not have been someone who ate an early breakfast at Sin'gyesa Temple (神溪寺) and set off to see Pirobong Peak? If there were, surely ten out of a hundred, or one out of ten, feeling hungry and humming market tunes while crossing the pass, might have wandered off the main path onto a side trail hoping to pick wild berries, and stumbled upon this hermitage nestled among the trees below a rock?

Even if, perhaps having eaten a large breakfast, you weren't hungry enough to veer off into the mountainside for berries, in such rugged terrain, what if the strap of your straw sandal broke? While searching here and there for tough, pliable arrowroot vines, known for holding water well, to fix it, getting lost on the mountain path, wandering step by step, could you possibly have failed to see this three-kan thatched hermitage, neatly built on all four sides, in this uninhabited, seemingly otherworldly realm, a great primeval mountain valley (大原始山間)?

However, although Kŭmgangsan evokes a sense of nostalgic longing like one's own hometown scenery for everyone, there must be many who have not yet had the chance to visit. And even for those fortunate enough to have gone, perhaps due to haste or because their sandal straps never broke, they passed by Pirobong without seeing this hermitage. Therefore, I will now introduce the dwelling place of this young woman, at once a pitiful "Queen of Tragedy" and a "beautiful nihilist."

After Ideological Baptism, Where to Go Amidst Agony?
The woman's name is Pak Sŏnghŭi (朴聖姬) (pseudonym). She was twenty-one when she finished Ewha Women's College, making her twenty-seven or twenty-eight this year—anyway, <75> she will have to see the white snow cover the brow of Manmulsang (萬物相) two or three more times, and hear the faint temple bell sounds from Sin'gyesa morning and evening for several more years before turning thirty.
Since her student days, her beautiful features made the young men of the capital weep. A sharp, refreshingly raised nose ridge; two eyes always burning tenderly, as if having just cried a little; a gracefully extending nape.
Rather than an Eastern beauty, she seemed a representative woman shaped by the Westernization (歐化式) that came with Western culture after the Kabo Reforms, filtered through girls' school education. At first glance, she was an affectionate woman who gave an impression of intelligence, passion, and a clear, refreshing sensibility. Among those captivated by her modern beauty was Dr. M, who returned from America years ago; he was one who particularly adored her.
I heard that her father served as the principal of a middle school in a large city in Sŏgwan (西關), striving to ignite the passion of this country's youth, but disappeared overseas around the time of the annexation year (1910). She had only one older brother, but he too, not long after their father left, said he was heading for Siberia (西伯利亞). One morning, he bid farewell to his young sister Sŏnghŭi under the willow embankment at the village entrance, and there has been no news since. Was it the year before or the year before that of the Kimi Year (1919)? News from afar said he had become a flight officer in R Country (R國 飛行將校 - perhaps Russia?), but who knows if this is reliable?
Miss Pak Sŏnghŭi was renowned even among students at school for being good at speeches, playing the piano well, and often taking the lead in various gatherings. Then, after graduation, like any affectionate and sensitive young person, Sŏnghŭi, feeling the loneliness and sorrow of separation from her father and brother, came into contact with the social thought (社會思想) flowing strongly as an undercurrent in this society, experiencing a strange tension. There, she saw the pitiful lower classes being crushed bit by bit, pressed by an overwhelmingly large force at every moment. She also saw the collapse of families caused by modern industry, and going further back, the aggression of X-ism (X主義 - likely Imperialism) for the acquisition of markets, territory, and slaves. Unemployment and poverty—she began to realize where this great tragedy stemmed from, and that it was not a problem solvable by the strength of one or two people. Her contemplative mind was most eager and precise in critiquing these matters. Now, instead of the girlish daydreams, her head began to fill with ideological and scientific knowledge. In her view, rather than longing for "love," "dressing well," or "eating well," the major social issues like the industrial condition of this land, population, and food appeared through a critical lens.
A great ideological upheaval! At this point, her path had only two options: either step out onto Chongno intersection and undertake great deeds, or completely submerge herself in a world of pleasure, like opium, devoid of consciousness. She could not help but connect her lost father and brother with the structure of this society, and doing so made her heart ache even more.
Her friends worried about her haggard face.
That June saw frequent rains. One afternoon, after the rain had stopped, in a corner of a Kyŏngwŏn Line train car sat a young woman holding only a jade-colored parasol and a willow box. It was Miss Pak Sŏnghŭi, heading towards Kŭmgangsan. She was embarking on this lonely journey to briefly rest her troubled mind in the quiet mountains.

To Kŭmgangsan, Far, Far Away to Rest Her Body
B Temple (B寺) in Kŭmgangsan, and a hermitage facing east, slightly separated from B Temple—this was Miss Pak Sŏnghŭi's residence. On her desk lay an English original of "Hamlet" she studied in school, famous ideological works, literary books, and volumes like "Monastery Diaries" (修道院日記).
However, Miss Pak developed a habit: every dawn, she would rise and go to the place in B Temple where several monks, clad in long robes (長衫), chanted sutras while striking a wooden fish (木鐸), and meditate quietly. It seems Buddhism holds a much stronger appeal for anyone suffering—just as Kōda Rohan (高山樗牛 - typo, likely meant Kōda Rohan 高田樗牛), diagnosed with tuberculosis, became a Buddhist, and recently even demonic school writers like Tanizaki Jun'ichirō (谷崎潤一郞) brush with Buddhist gates, it seems there is a philosophical depth before the images of Śākyamuni Buddha and Avalokiteśvara Bodhisattva that dissolves the 108 worldly desires.
At that time, as Miss Pak gradually became interested in Buddhism, a young monk clearly appeared before her. He was P, a lecturer at that seminary (請院 - likely 講院 Kangwŏn, seminary). Having studied at some Buddhist university in Japan, <76> he had reportedly been practicing the Way here for seven or eight years already. Monk P of B Temple was regarded as a man of noble character, and he became Miss Pak's teacher, instructing her in Buddhist scriptures.
From then on, being master and disciple, they must have had many opportunities to sit facing each other in one room. Being master and disciple, they likely rested their weary legs together in the woods after studying. Being master and disciple, they surely discussed life and cosmic issues frequently. And being master and disciple, they probably exchanged letters discussing scholarly matters from time to time.
However, they were young. Their bodies, clad in monk's robes (袈裟), holding prayer beads (百八念珠), and chanting sutras, were bodies made of the same stuff as worldly humans. In the end... the two reached the final point attainable between opposite sexes.
The quiet sound of the dawn bell, the faint murmur of sutra chanting—to their ears, it seemed to whisper the impermanence (無常) of human life, yet also promise its eternity and happiness. Who could scold them as apostates (背敎者)?
Time flowed on and on. In the mountains before and behind the hermitage, the autumn leaves suddenly turned as red as if stained with blood. Alas, for some reason, Miss Pak's body began to grow larger, catching the eyes of the temple monks. Rumors spread. "The master and disciple became lovers, resulting in pregnancy."
Miss Pak, blushing, stopped going to the lecture hall where she used to read scriptures and stayed hidden inside her hermitage all day. The footsteps of Monk P, who used to visit morning and evening, grew increasingly distant after this happened.
What is shameful about conceiving and bearing a child between loving people? And what is wrong with affection blossoming between a man and woman previously unknown to each other? Miss Pak called the young boy who cooked her meals and had him deliver a letter to her lover P, who sat all day in the main temple hall with eyes closed, counting his prayer beads. In the letter, she expressed her views on love and life, concluding that there was nothing whatsoever shameful about how they had arrived at this point. That night, P came. He remained silent all day, showing only signs of his own anguish. Miss Pak, disappointed, cried through the night.
Several days—several agonizing days for both—passed. Within the temple, the atmosphere grew thick with mocking glances. Had the young monk's suffering reached its peak? One morning, P vanished completely from the temple. While the shock among the dozens of monks was great, Miss Pak's disappointment was beyond compare.
Even after her trusted and hoped-for lover ran far away, the following year, as the first spring snow began to melt in patches here and there on the sunny slopes at the entrance to Kŭmgangsan valley, Miss Pak delivered the "seed of love" from her own body.
Giving birth in such a solitary place, moreover in this temple inhabited only by men—how immense must her suffering have been?
Three months later, Miss Pak left the temple, carrying the still blood-stained newborn on her back. Hearing that the child's father had fled (삀œ울잇단 말을 듯고 - contextual interpretation: fled/disappeared), she headed towards the old capital, Hanyang, to find her lover... (To be continued next issue) <77>
<75-77>

**Summary**

This 1931 article recounts the tragic story of Pak Sŏnghŭi (pseudonym), a graduate of Ewha Women's College who, disillusioned with society and influenced by anarchist thought, retreats to a hermitage in Kŭmgangsan. There, seeking solace in Buddhism, she falls in love with her teacher, a young monk named P. Their forbidden relationship leads to her pregnancy. Faced with societal judgment within the temple and P's eventual abandonment, she gives birth alone and then leaves Kŭmgangsan with her baby to search for him. The story highlights the struggles of an educated "new woman" grappling with modern ideologies (anarchism), personal disillusionment, traditional constraints (within Buddhism and society), and the consequences of defying social norms in colonial Korea. For historians, the article offers insight into the intellectual currents (anarchism's appeal), the complex position of educated women, the clash between modernity and tradition, social commentary on love and morality outside conventional bounds, and the use of Kŭmgangsan as a place of refuge and spiritual searching during a period of national hardship.

**Named Entities**

梨花女子專門學校	이화여자전문학교	Ihwa Yŏja Chŏnmun Hakkyo
金剛山	금강산	Kŭmgangsan
毘蘆峯	비로봉	Pirobong
老子莊子	노자장자	Lao Tzu and Zhuang Tzu
三千里	삼천리	Samch'ŏlli
神溪寺	신계사	Sin'gyesa
朴聖姬	박성희	Pak Sŏnghŭi
萬物相	만물상	Manmulsang
M박사	M박사	Dr. M
西關	서관	Sŏgwan
西伯利亞	서백리아	Siberia
R國	R국	R Country (likely Russia)
己未年	기미년	Kimi Year (1919)
B寺	B사	B Temple
P	P	P (Monk)
請院	청원	Ch'ŏngwŏn (Seminary, likely typo for 講院 Kangwŏn)
高山樗牛	고산저우	Kōda Rohan (Likely meant 高田樗牛 Takada Chogyū, another writer, or misspelled Kōda Rohan 幸田露伴)
谷崎潤一郞	곡기윤일랑	Tanizaki Jun'ichirō
釋迦如來	석가여래	Śākyamuni Buddha
觀世音菩薩	관세음보살	Avalokiteśvara Bodhisattva
한양	한양	Hanyang

**Glossary**

녀자전문학교	여자전문학교	Women's College (older spelling '녀자')
녀성	여성	Woman (older spelling '녀성')
잇지 안어서	있지 않아서	Not long after (older spelling and grammar)
암자	암자	Hermitage
놉다하는	높다하는	Said to be high (older spelling '놉다')
이르리	이르러	Reaching, arriving at (older form)
뜨더모아	뜯어모아	Gathering by picking (older spelling)
안저	앉아	Sitting (older spelling)
잇슬것이외다	있을 것이외다	Will likely be, probably exists (older polite ending)
잇섯다면	있었다면	If there were/was (older spelling)
드러간	들어간	Entered (older spelling)
어대	어디에	Where (dialectal/older form)
만히	많이	Many, much (older spelling)
끈어젓다고	끊어졌다고	Saying it broke (older spelling)
어더	얻어	Getting, obtaining (older spelling)
곤치려고	고치려고	Intending to fix/repair (older spelling)
일코	잃고	Losing (older spelling)
못보섯슬	못 봤을	Could not have seen (older spelling)
늣김	느낌	Feeling, sense (older spelling)
만켓고	많겠고	There would be many, and... (older spelling)
가보섯더래도	가봤더라도	Even if one had visited (older spelling)
애처리운	애처로운	Pitiful, pathetic (older spelling)
니히리스트	니힐리스트	Nihilist (loanword transcription)
묘녕	묘령	Marriageable age, young (often implies early 20s)
수물일곱인가	스물일곱인가	Is it twenty-seven? (older spelling '수물')
엇재든	어쨌든	Anyway, in any case (older spelling)
곳날	콧날	Bridge of the nose (older spelling)
비저낸	빚어낸	Molded, created, shaped (older spelling)
지예	지혜	Wisdom, intelligence (older spelling)
년전	몇 년 전	Some years ago (older form)
도라온	돌아온	Returned (older spelling)
사모하든	사모하던	Who adored/loved (older spelling)
드른즉	들은즉	According to what was heard (older spelling)
끄리기에	이끌기에	To lead, guide (older spelling '끄리다')
잇섯스나	있었으나	Although there was (older spelling)
하로아츰	하루아침	One morning (older spelling)
작벌한	작별한	Said farewell (older spelling)
밋어 조흘	믿어 좋을	Good to believe, reliable (older spelling '조흘')
압장을	앞장을	The lead, forefront (older spelling)
늣기는	느끼는	Feeling (older spelling)
흘너나려가는	흘러내려가는	Flowing down (older spelling)
되엿슴니다	되었습니다	Became (older spelling and ending)
눌니어서	눌려서	Being pressed, crushed (older spelling)
바사저가는	부서져가는	Crumbling, breaking apart (older spelling)
령토	영토	Territory (older spelling)
깨닷기	깨닫기	Realizing, understanding (older spelling)
사색젹	사색적	Contemplative, reflective (older spelling)
드리차기	들이차기	Filling up (older spelling)
압헛슴이다	아팠습니다	It hurt, was painful (older spelling and ending)
얼골	얼굴	Face (older spelling)
탓섯스니	탔으니	As (she) boarded (older spelling)
쉬이려고	쉬려고	Intending to rest (older spelling)
이러나	일어나	Getting up, rising (older spelling)
닑는	읽는	Reading (older spelling)
훨-신	훨씬	Much more, far (older spelling)
만엇든	많았던	Which were many (older spelling)
밧은	받은	Received (older spelling)
닥금이	닦음이	Practice, cultivation (older spelling)
함니다	합니다	Does, is (older polite ending)
잇섯스니	있었으니	As there was (older spelling)
마조	마주	Facing each other (older spelling)
안젓슬	앉았을	Would have sat (older spelling)
긔회	기회	Opportunity, chance (older spelling)
만헛겟고	많았겠고	There must have been many, and... (older spelling)
가치	같이	Together (older spelling)
밧엇겟지요	받았겠지요	Probably received (older spelling and ending)
말엇슴니다	말았습니다	Ended up doing (older spelling and ending)
들니엇슴니다	들렸습니다	Was heard as (older spelling and ending)
꾸지즐	꾸짖을	Who would scold (older spelling)
흘너흘너	흘러흘러	Flowing and flowing (older spelling)
엇전	어쩐	Some kind of, what sort of (older spelling)
펴지엇슴니다	퍼졌습니다	Spread (older spelling and ending)
얼골올	얼굴을	Face (object marker attached to older spelling)
무처잇섯슴니다	묻혀있었습니다	Was buried/hidden (older spelling and ending)
차저오든	찾아오던	Who used to visit (older spelling)
이러케되자	이렇게 되자	As it became like this (older spelling)
멀어저	멀어져	Becoming distant (older spelling)
갓슴니다	갔습니다	Went (older spelling and ending)
끼리에	끼리	Among themselves, between (emphasized form)
낫는	낳는	Giving birth to (older spelling)
생겻다함이	생겼다 함이	The fact that (it) arose/happened (older spelling)
불너	불러	Calling (older spelling)
자긔의	자기의	One's own (older spelling)
말하야	말하여	Saying, speaking (older form)
조곰치도	조금치도	Not even a little bit (older spelling)
업다는	없다는	Saying there isn't (older spelling)
왓슴니다	왔습니다	Came (older spelling and ending)
업고	없고	There isn't, and... (older spelling)
새엇슴니다	새웠습니다	Stayed up all night (older spelling and ending)
몃칠이	며칠이	Several days (older spelling)
차섯슴니다	찼습니다	Was full of (older spelling and ending)
이르럿슴인가	이르렀음인가	Had it reached? (older spelling and ending)
하로아츰은	하루아침은	One morning (topic marker attached to older spelling)
업섯슴니다	없었습니다	Did not exist, was gone (older spelling and ending)
컷거니와	컸거니와	Was large, and moreover... (older spelling)
다라난	달아난	Ran away, fled (older spelling)
풀니어나릴	풀려 내릴	Melting and flowing down (older spelling '풀니다')
갈너내엇슴니다	갈라내었습니다	Separated out, gave birth to (older spelling)
외따로운	외따로운	Solitary, isolated
절깐에서	절간에서	In a temple (colloquial/older form '절깐')
오직하엿겟슴니까	오죽하였겠습니까	How (immense) must it have been? (older spelling and ending)
갓난애을	갓난애를	Newborn baby (object marker attached to older spelling)
아해아버지	애 아버지	Child's father (older spelling '아해')


---------------------------


잡지명	삼천리 제16호
발행일	1931년 06월 01일
기사제목	金剛山 菴子속의 悲戀의 無政府主義 女性 哀話, 리화녀자전문을 마치고 失戀한 나마에 금강산 비로봉 아래에 이르러 悠悠自適하는
필자	草士
기사형태	문예기타

金剛山 菴子속의 悲戀의 無政府主義 女性 哀話, 리화녀자전문을 마치고 失戀한 나마에 금강산 비로봉 아래에 이르러 悠悠自適하는
						草士
서울 리화녀자전문학교(梨花女子專門學校)를 장안 각씨들이 우러러 축복하는 속에서 졸업하고난 이십여세의 꼿가튼 아릿다운 처녀 한분이 학교문을 나온 뒤 얼마잇지 안어서 무정부주의적 사상(無政府主義的 思想)에 열렬히 공명한배되어 이 세상의 권력과 허위를 저주하는 나마에 머리깍고 집신 신고 금강산 일만이천봉중에도 제일 장엄하고 신비스럽고 놉다하는 저 비로봉(毘蘆峯)아래에 이르리 풀입과 축넝쿨을 뜨더모아 조고마한 암자하나를 짓고 노자장자(老子莊子)모양으로 하늘우로 날려가고 오는 구름덩이를 종일 안저 헤면서 여러해를 외로히 살고 잇는 그 녀성을 혹 보신 이도 잇슬것이외다. 「삼천리」의 수만독자중 일년에도 여러 백명 여러 천명이 관동팔경의 승지인 이 금강산을 차저 보섯슬 것도 상상하기 족한 일이라, 그중 신계사(神溪寺)에서 일즉암치 조반을 하여 잡스시고 비로봉 구경을 떠나신 이가 엇지 업섯사오리까. 잇섯다면 백명중 열분이, 열명중 한분이 시장하여서 장타령을 하며 고개를 넘다가 산열매를 따먹고저 외골수길로 더듬더듬 드러간 것이 우연히 바위아래 나무숩속에 반조고레 싸히여 잇는 이 암자를 발견치 못하섯슬 법이 어대 잇섯사오리까.
행여 조반을 만히 잡숫고 떠나서서 시장하여 산열매따라 산골로 가르다라나지 안엇다 할지라도 험한 산골이라 신엇든 집신꼬리가 그만 끈어젓다고 물 잘오르고 진득진득한 질긴 측넝클을 어더 곤치려고 이리저리 헤매다가 산골길을 일코 한거름 두거름 방황하는 사이에 무인지경 별유천지가튼 대원시산간(大原始山間)에서 네귀 반듯하게 지은 이 초가삼간의 암자를 못보섯슬 리가 잇섯사오리까.
그러나 세상에는 저마다 제고향산천가튼 그리운 늣김을 주는 금강산이건만 아직 미처 가보지 뭇하신 이도 만켓고 또 요행 가보섯더래도 혹은 총총하여 혹은 신엇든 집신꼬리 끈어진 젹이 업서서 그대로 비로봉엽홀 지나서 이 암자를 못보시고 온 이도 만켓기에 나는 이제 한낫 애처리운 「비극의 녀왕」이자 「아름다운 니히리스트」의 이 묘녕 녀성의 둥주리를 소개하기로 하겟슴니다.

사상상 세레밧고 번민끗헤 어대로
