Magazine Title	三千理 第3卷 第9號
Publication Date	1931년 09월 01일
Article Title	中國財界의 首腦人物 (Leading Figures of China's Financial World)
Author	上海 岳陽樓居士 (Sanghae Akyangnu Kŏsa - Resident of Yueyang Tower in Shanghai)
Article Type	소식 (News/Report)

Leading Figures of China's Financial World
						By Sanghae Akyangnu Kŏsa

It is said that China has no zaibatsu (財閥). Why is that? Because, they say, there is nothing comparable to Japan's Mitsui or Mitsubishi. Indeed, as the consumer class (消費階級) constitutes the vast majority, and consequently, the populace is largely composed of peasants (農民), China, where cities have not developed (發達) enough to rival the countryside, is seen as having no possibility (可能) of producing great zaibatsu capable of moving the world economy, at least for some time. Just as the Qing Dynasty (淸朝時代) relied on the full financial power (全權) of Shanxi (山西), today's Nanjing Government (南京政府) cannot maintain itself without the full financial power of Zhejiang (浙江). Those who grasp this financial power form a clique based on China's unique shared connections (同居關係). If one calls this a zaibatsu, perhaps in a different sense, it could be called a zaibatsu. Many people classify these Chinese zaibatsu in this sense into the Zhejiang clique (浙江財閥), Guangdong clique (廣東財閥), and Jiangsu clique (江蘇財閥). However, the one holding the purse strings (金權) for the Nanjing Government today is the Zhejiang clique, the 'patrons' of Chiang Kai-shek (蔣介石) and Song Ziwen (宋子文). The Guangdong clique holds real power (實權) in trade relations (貿易關係) and department store management (百貨店經營), but does not possess full financial control. The Jiangsu clique also falls far short of the Zhejiang clique's power (到底히).

Chang Kung-ch'üan (張公權)

Born in Zhejiang, he was once active as the Deputy Manager (副經理) of the Bank of China (中國銀行) in Shanghai. In the 5th year of the Republic (1916), when Yüan Shih-k'ai (袁世凱) became President, and the Bank of China issued an order suspending specie payments (兌換停止令), he conspired with Sung Han-chang (宋漢章) to carry out the independence of the Shanghai branch (上海分行), suddenly resumed specie payments, and saved the Shanghai financial world from crisis. Since then, his name (일홈) became known for its importance (重함) in China. Afterwards, he was promoted (昇任) to Vice President of the Beijing Head Office (北京總行), but later was appointed (就任) Deputy Manager of the Shanghai Branch again. In June of the 17th year of the Republic (1928), when Nationalist Government (國民政府) Finance Minister Song Ziwen held the National Economic Conference (全國經濟會議) in Shanghai, he was selected (選拔) as a committee member (委員), made many proposals (建議) regarding financial and monetary issues, gained Song's trust (信任), and currently holds the important positions of Managing Director (常務董事 - meaning Director/理事) and Deputy Manager of the Bank of China Head Office. He is a key figure (中堅) of the Zhejiang clique.

Chang Ching-chiang (張靜江)

A wealthy gentleman (富紳) from Nanchen (南鎭), Wuxian County (吳縣), Zhejiang Province. Although he inherited several million yuan (數百萬元) from his ancestors (父祖), as a result of his dedication (心醉) to the revolution, he lost (이젓다) most of his assets (資産) helping the movements (運動) of Sun Wen (孫文), Ch'en Ch'i-mei (陳其美), and Chiang Kai-shek. He is a great contributor (大功勞者) to the so-called National Revolution (國民革命). Since the First National Congress (第一次 全國代表大會), he has always been appointed (運任) to the Central Executive Committee (中央執行委員), once served (就任) as Chairman of the Central Political Council (中央政治會議主席),<52> and currently holds the important positions of Standing Committee Member of the Central Supervisory Committee (中央監察委員會 常務委員), National Construction Committee (全國建設委員) member, Chairman (主席), and Chief (首席) of the Zhejiang Provincial Government (浙江省政府).

Yü Hsia-ch'ing (虞洽卿)

Born in Sanbei (三北), Ningbo (寧波), he is the leader (首領) of the Zhejiang clique. He currently holds the prominent positions (顯職) of Member of the Shanghai International Settlement Municipal Council (上海共同租界市參會員), Supervisor (監事) of the Central Bank (中央銀行), Chairman of the Board of Directors (理事長) of the Shanghai Stock and Commodities Exchange (上海證券物品交易所), General Manager (總理) of the Sanbei Steamship Company (三北輪船公司), Comprador (買辨) of the Commercial and Industrial Bank (商工銀行), and Chairman of the Standing Committee of the Shanghai Special Municipality Merchant Groups Reorganization Committee (上海特別市 商人團體整理委員會 常務委員主席). His assets are said to be 400,000 to 500,000 taels (兩). It is famous that he contended with Ch'uan Tzu-an (傳子庵), a giant of the Shanghai financial world born from the Zhejiang clique; publicly for the chairmanship (會長) of the Shanghai General Chamber of Commerce (上海總商會), and privately, challenging Ch'uan's position as manager (經理) of the China Merchants Steam Navigation Company (招商輪船總局) with his own position as General Manager of the Sanbei Steamship Company, almost achieving victory (勝利를 制한).

Li Ming (李銘)

A Zhejiang native, he once studied abroad (留學) in Japan, graduated (卒業) from Yamaguchi Higher Commercial School (山口高等商業學校), then entered the Yokohama Specie Bank (正金銀行) in Yokohama (橫濱) to gain practical experience (實務 見習). After returning home (歸國後), he worked (勤務) at the Zhejiang Bank (浙江銀行) and currently holds multiple important positions, including Director (董事) and General Supervisor (總監理) of the Zhejiang Industrial Bank (浙江實業銀行), Supervisor (監事) of the Central Bank, Chairman of the Board (董事長) of the Bank of China, and Chairman (主席) of the Jianghai Customs 2.5% Surtax Treasury Bonds Fund Custody Committee (江海關二五附稅國庫券基金保管委員會). He is extremely close (親密) to Song Ziwen, and his advice (獻策) to Song on financial and monetary issues is thoroughly accepted (삿삿치 들어 바듬이 되어), giving him extraordinary hidden influence (潛勢力) in the financial world.

Ch'ien Hsin-chih (錢新之)

Born in Shanghai, from a banking family (銀行家出). For many years, he worked at the Shanghai Bank of Communications (上海交通銀行), gaining a high reputation (令名이 노파섯다) as its manager (經理) and as a director (會董) of the Shanghai General Chamber of Commerce. In the 11th year of the Republic (1922), when Chang Ch'ien (張騫) became President (總理) of the Beijing Head Office of the Bank of Communications, Ch'ien Hsin-chih was selected (拔擢) as Head Office Assistant Manager (總行協理). In the 16th year of the Republic (1927), he rose (들어나) to important positions such as Vice Minister of Finance (財政部次長) and Acting Minister of Finance (代理財政部長) in the Nationalist Government, helping to overcome (打開) the financial difficulties (財政難局) of the Nationalist Government during the Northern Expedition (北伐戰爭). Currently, he holds important positions such as Member and Finance Department Director (財政廳長) of the Zhejiang Provincial Government Committee (浙江省政府委員), Managing Director (常務董事) of the Bank of Communications, Director (理事) of the Central Bank, General Manager (總經理) of the Zhongxing Coal Mining Company (中興煤礦公司), and Director (主任) of the Four Banks Joint Reserve Treasury (四行聯合準備庫) for Chung Nan (中南), Continental (大陸), Yien Yieh (鹽業), and Kincheng (金城) banks. He is extremely well-rounded (圓滿) and gentle (溫厚), and because he has many acquaintances (知友) in the Jiangsu clique (江蘇財閥), he is active in coordinating and facilitating connections (連絡融通) with the Zhejiang faction (浙江系). Born in Ningbo, he came from the native banking business (錢莊業出身). As manager (經理) of the Fu Yuan Native Bank (副源錢莊), he concurrently served as Chairman (會長) of the Native Bankers' Association (錢業公會) and Vice Chairman (副會長) of the Shanghai General Chamber of Commerce for 20 years. Currently, as a Standing Committee Member (常務委員) of the Native Bankers' Association, his reputation (聲聖) in the native banking world is very high. He attended the National Economic Conference in the 17th year of the Republic (1928) as a committee member, exerting great effort (奔走), and also rendered distinguished service (功勞多) in the Nationalist Government's treasury bond subscription drives (國庫券募集). Consequently, Finance Minister Song's trust (信用) in him is said to be extremely deep (두텁다), and his current important position as Supervisor (監事) of the Central Bank is said to be perhaps a reward (報酬) for his efforts.

Ch'in Shao-shan (秦少山)

A Cantonese (廣東人). In terms of regional ties (鄕土的 關係), he belongs outside the clique (閥外), but due to business management (經理), administrative relations (事務 的關係), and personal connections (個人的 關係), both he and others alike consider him part of the Zhejiang clique (浙江財閥에 認定밧고 잇다). He manages the Wenchenglong Trading House (文成隆號 - hardware [金物], general goods [雜貨], foreign paper [洋紙])<53> and is also a director (董事) of the Longzhang Paper Company (龍章造紙公司). Since being elected (選出) as a director (會董) in the Shanghai General Chamber of Commerce officer elections (役員改選) in the 9th year of the Republic (1920), he gained great fame (盛名을 날리엇다) by working hard (奔走) for the rescue (救出) of Chinese and foreign victims (被殺人) of the Lincheng Incident (臨城事件) and by attending the Tariff Conference (關稅會議) in Beijing. Especially when he advocated (提唱) for a merchant revolution (商人革命) against the election of Ts'ao K'un (曹錕) as President (大總統補選), he startled (耳目을 聳動시키고) Chinese and foreign observers and fully demonstrated (發揮하엿든 것이다) his character as a prominent figure (新人된 面目). Since the entry of the National Revolutionary Army into Shanghai in the spring of the 16th year of the Republic (1927), with the support (援助) of Yü Hsia-ch'ing and others, he collaborated (提携) with Lin K'ang-hou (林康侯), using the Shanghai General Chamber of Commerce as his base (根據), to wield extraordinary influence (異常한 勢力), giving the impression (뉘낌이 잇서섯다) for a time that his power dominated (風靡) the Shanghai financial world. He worked hard (奔走) for the Nationalist Government's treasury bond subscription drives and was highly regarded (重視된 바 되엇스나) by Chiang Kai-shek and Song Ziwen. However, in May of the year before last (1929), he engaged in a struggle for supremacy (爭覇戰) over leadership of the business community against the Shanghai National Salvation Association (上海國民救會), the Shanghai Special Municipality Merchants and Residents Association (上海特別市商民協會), and the Shanghai Special Municipality Guidance Committee (上海特別市指導委員會), ultimately resulting in victory (勝利에 돌아갓다) for him, the capitalist (資本家).

Lin K'ang-hou (林康候)

A Shanghainese (上海人). He once concurrently held positions such as Professor at Nanyang University (南洋大學敎授), Manager (經理) of Xinhua Savings Bank (新華貯蓄銀行), and Manager of the Shanghai Branch (上海分行經理) of Zhonghua Industrial Bank (中華興業銀行). Since the entry of the National Revolutionary Army into Shanghai, he, along with Feng Shao-shan (馮少山 - typo for 秦少山, Ch'in Shao-shan?), wielded considerable influence (만흔 勢力을 폇다) based in the General Chamber of Commerce (總商會). Currently, he concurrently holds important positions such as Director (董事) of the Bank of Shanghai (上海銀行), Vice Chairman (副主席) of the Jianghai Customs 2.5% Surtax Treasury Bonds Fund Custody Committee (江海關二五附稅國庫券基金 保管委員會), Supervisor (監事) of the Central Bank, and Chinese Advisory Committee Member of the Shanghai International Settlement Municipal Council (上海共同租界工部局華人顧問委員).

Shih Liang-ts'ai (史量才)

From Nanjing (南京人), but belongs to the Zhejiang clique (浙江閥) in a broad sense. He passed the imperial examination (科擧) in the late Qing (淸末). Since taking over (마튼以來) the Shen Bao newspaper office (申報舘) with the backing (後援) of Chang Ch'ien (張騫), he gradually became wealthy (富裕), then also seized real power (實權) at the Shi Shi Xin Bao newspaper office (時事新報舘), and subsequently acquired half the shares (株式一半) of the Xin Wen Bao newspaper office (新聞報舘) recently, aiming to build a newspaper "trust" (新聞「트라스트」) based on these three major Chinese newspapers. In a sense, he is a Chinese "fascist" (「파시-스트」). Besides the newspaper business, he holds importance (重함) in the business world (實業界) as a major shareholder (大株主) and director (董事) of the Chung Nan Bank (中南銀行) and the Wuzhou Great Pharmacy (五州大藥房).<54>

**Summary**

This 1931 article discusses the structure of financial power in China, arguing that unlike Japan with its dominant zaibatsu like Mitsui and Mitsubishi, China's power lies in regional financial cliques due to its largely agrarian economy. The piece focuses heavily on the Zhejiang clique, portraying it as the indispensable financial backbone of the Nationalist government in Nanjing, particularly supporting Chiang Kai-shek and Finance Minister Song Ziwen. It provides biographical sketches of prominent financiers connected primarily to this clique and Shanghai's banking and commercial sectors, detailing their rise, influence, connections, and roles in supporting the government and navigating the complex financial landscape of the era.

From the perspective of Korean colonial history, the article is interesting as it shows a Korean author providing a detailed analysis of the contemporary Chinese economic and political scene for a Korean audience. The direct comparison between Chinese financial cliques and Japanese zaibatsu reflects the pervasive influence and awareness of the Japanese economic model in colonized Korea. It highlights Korean interest in the internal power dynamics of China, especially the relationship between finance and the Nationalist regime. Historians might find the specific framing of Chinese capitalism (or lack thereof in the Japanese sense) and the focus on the Zhejiang clique's power insightful for understanding how neighboring countries, particularly one under Japanese rule, perceived China's development and political economy during this critical period.

**Named Entities**

三千理	삼천리	Samch'ŏlli
中國	중국	China
上海 岳陽樓居士	상해 악양루거사	Sanghae Akyangnu Kŏsa
日本	일본	Japan
三井	미쓰이	Mitsui
三菱	미쓰비시	Mitsubishi
淸朝	청조	Qing Dynasty
山西	산서	Shanxi
南京政府	남경정부	Nanjing Government
浙江	절강	Zhejiang
蔣介石	장개석	Chiang Kai-shek / Jiang Jieshi
宋子文	송자문	Song Ziwen / Sung Tzu-wen
浙江財閥	절강재벌	Zhejiang clique
廣東財閥	광동재벌	Guangdong clique
江蘇財閥	강소재벌	Jiangsu clique
張公權	장공권	Zhang Gongquan / Chang Kung-ch'üan
上海中國銀行	상해중국은행	Bank of China, Shanghai
民國	민국	Republic of China
袁世凱	원세개	Yuan Shikai / Yüan Shih-k'ai
中國銀行	중국은행	Bank of China
宋漢章	송한장	Song Hanzhang / Sung Han-chang
北京總行	북경총행	Beijing Head Office
國民政府	국민정부	Nationalist Government
全國經濟會議	전국경제회의	National Economic Conference
中央銀行	중앙은행	Central Bank
張靜江	장정강	Zhang Jingjiang / Chang Ching-chiang
吳縣	오현	Wuxian
南鎭	남진	Nanzhen
孫文	손문	Sun Wen / Sun Yat-sen
陳其美	진기미	Chen Qimei / Ch'en Ch'i-mei
中國國民黨	중국국민당	Chinese Nationalist Party / Kuomintang
中央執行委員	중앙집행위원	Central Executive Committee member
中央政治會議	중앙정치회의	Central Political Council
中央監察委員會	중앙감찰위원회	Central Supervisory Committee
全國建設委員	전국건설위원	National Construction Committee member
浙江省政府	절강성정부	Zhejiang Provincial Government
虞洽卿	우흡경	Yu Hia-ching / Yü Hsia-ch'ing
寧波	영파	Ningbo
三北	삼북	Sanbei
上海共同租界	상해공동조계	Shanghai International Settlement
上海證券物品交易所	상해증권물품교역소	Shanghai Stock and Commodities Exchange
三北輪船公司	삼북륜선공사	Sanbei Steamship Company
商工銀行	상공은행	Commercial and Industrial Bank
上海特別市 商人團體整理委員會	상해특별시 상인단체정리위원회	Shanghai Special Municipality Merchant Groups Reorganization Committee
傳子庵	전자암	Ch'uan Tzu-an / Fu Zong'an? (as written)
上海總商會	상해총상회	Shanghai General Chamber of Commerce
招商輪船總局	초상륜선총국	China Merchants Steam Navigation Company
李銘	이명	Li Ming
山口高等商業學校	야마구치고등상업학교	Yamaguchi Higher Commercial School
橫濱	요코하마	Yokohama
正金銀行	정금은행	Yokohama Specie Bank
浙江銀行	절강은행	Zhejiang Bank
浙江實業銀行	절강실업은행	Zhejiang Industrial Bank
江海關二五附稅國庫券基金保管委員會	강해관이오부세국고권기금보관위원회	Jianghai Customs 2.5% Surtax Treasury Bonds Fund Custody Committee
錢新之	전신지	Qian Xinzhi / Ch'ien Hsin-chih
上海交通銀行	상해교통은행	Bank of Communications, Shanghai
張騫	장건	Zhang Jian / Chang Ch'ien
北京交通銀行總行	북경교통은행총행	Bank of Communications, Beijing Head Office
交通銀行	교통은행	Bank of Communications
中興煤礦公司	중흥매광공사	Zhongxing Coal Mining Company
中南銀行	중남은행	Chung Nan Bank
大陸銀行	대륙은행	Continental Bank
鹽業銀行	염업은행	Yien Yieh Commercial Bank
金城銀行	금성은행	Kincheng Banking Corporation
四行聯合準備庫	사행연합준비고	Four Banks Joint Reserve Treasury
副源錢莊	부원전장	Fu Yuan Native Bank (Qianzhuang)
錢業公會	전업공회	Native Bankers' Association (Qianye Gonghui)
秦少山	진소산	Qin Shaoshan / Ch'in Shao-shan
廣東人	광동인	Cantonese person
文成隆號	문성륭호	Wenchenglong Trading House
龍章造紙公司	용장조지공사	Longzhang Paper Company
臨城事件	임성사건	Lincheng Incident
北京	북경	Beijing
關稅會議	관세회의	Tariff Conference
曹錕	조곤	Cao Kun / Ts'ao K'un
國民革命軍	국민혁명군	National Revolutionary Army
上海國民救會	상해국민구회	Shanghai National Salvation Association
上海特別市商民協會	상해특별시상민협회	Shanghai Special Municipality Merchants and Residents Association
上海特別市指導委員會	상해특별 시지도위원회	Shanghai Special Municipality Guidance Committee
林康候	임강후	Lin Kanghou / Lin K'ang-hou
上海人	상해인	Shanghainese person
南洋大學	남양대학	Nanyang University
新華貯蓄銀行	신화저축은행	Xinhua Savings Bank
中華興業銀行	중화흥업은행	Zhonghua Industrial Bank
上海銀行	상해은행	Bank of Shanghai
上海共同租界工部局華人顧問委員	상해공동조계공부국화인고문위원	Chinese Advisory Committee Member of the Shanghai International Settlement Municipal Council
史量才	사량재	Shi Liangcai / Shih Liang-ts'ai
南京人	남경인	Nanjing person
申報舘	신보관	Shen Bao (newspaper) office
時事新報舘	시사신보관	Shi Shi Xin Bao (newspaper) office
新聞報舘	신문보관	Xin Wen Bao (newspaper) office
五州大藥房	오주대약방	Wuzhou Great Pharmacy

**Glossary**

업다	없다	to not exist; to not have (older spelling of 없다)
웨그러냐하면	왜 그러냐 하면	if you ask why; because
對抗	대항	opposition; confrontation; rivalry
大多數	대다수	great majority
農民	농민	peasant; farmer
故로	고로	therefore; consequently (Hanja-based conjunction)
發達	발달	development; progress
못되는	못 되는	cannot become; unable to reach (a state)
움즉일만한	움직일 만한	capable of moving; able to influence
生起일	생기일	will arise; will be produced (older form, mix of 생기다 + future marker)
可能	가능	possibility
淸朝時代	청조시대	Qing Dynasty period
全權	전권	full authority; full financial power (in context)
背普	배포	backing; support (likely meaning, context-dependent; or maybe a name/place not easily identified)
維持	유지	maintenance; preservation
同居關係	동거관계	relationship based on shared background/origin/connections (specific nuance here)
맷고 잇다	맺고 있다	are forming; are connected
意味	의미	meaning; sense
金權	금권	financial power; power of money
貿易關係	무역관계	trade relations
百貨店經營	백화점경영	department store management
實權	실권	real power; actual authority
갓지 안헛다	갖지 않았다	did not possess (older spelling/form)
到底히	도저히	(not) at all; by no means (emphasizing impossibility)
힘에 못미친다	힘에 못 미친다	falls short of the power; cannot match the strength
나어	나서	being born in/at (older spelling of 나서)
언제는	언제는	once; formerly (used idiomatically)
副經理	부경리	deputy manager
活躍하얏스며	활약하였으며	was active and... (older spelling/conjugation)
되엇슬 때	되었을 때	when (he) became
兌換停止令	태환정지령	order suspending specie payment (conversion to silver/gold)
發布할지음	발포할 즈음	around the time of proclamation
꾀어	꾀하여	conspiring; devising (older form of 꾀하여)
分行	분행	branch office (of a bank)
獨立	독립	independence
決行하야	결행하여	carrying out decisively; implementing
危機	위기	crisis
救한 以來	구한 이래	since saving
일홈	이름	name (older spelling)
重함	중함	importance; weightiness
알엇다	알았다	came to know; learned (older spelling)
其後	기후	after that; afterwards
總行	총행	head office (of a bank)
副總裁	부총재	vice president; vice governor (of a bank)
昇任하엿스나	승임하였으나	was promoted, but... (older spelling/conjugation)
就任되엇다	취임되었다	was appointed
委員	위원	committee member
選拔되어	선발되어	being selected
建議	건의	proposal; suggestion
信任	신임	trust; confidence
어더	얻어	gaining; obtaining (older spelling)
現在	현재	currently; presently
常務董事	상무동사	managing director (董事 = director/trustee)
理事	이사	director; board member
中堅	중견	key figure; mainstay; backbone
富紳	부신	wealthy gentleman; local magnate
父祖	부조	father and ancestors; forefathers
遺産	유산	inheritance; legacy
이잇스나	이었으나	although he inherited (older spelling/form of 이었으나/이었지만)
心醉	심취	being captivated by; dedication to
運動	운동	movement; campaign
資産	자산	assets; property
이젓다	잃었다	lost (likely meaning 'lost' [잃었다] rather than 'forgot' [잊었다]; older spelling)
所爲	소위	so-called
더부러	더불어	together with; along with (older spelling)
功勞者	공로자	person of distinguished service; contributor
代表大會	대표대회	representative congress; national congress
恒常	항상	always; constantly
執行委員	집행위원	executive committee member
運任되어	운임되어	being appointed (seems related to 임명되다)
政治會議主席	정치회의주석	chairman of the political council
監察委員會	감찰위원회	supervisory committee
建設委員	건설위원	construction committee member
首席	수석	chief; head (position)
首領	수령	leader; head
生은	생은	birthplace is... (used to introduce place of origin)
租界市參會員	조계시참회원	member of the municipal council in a concession/settlement area
監事	감사	supervisor; auditor
交易所理事長	교역소이사장	chairman of the board of an exchange
總理	총리	general manager; premier (here, manager)
買辨	매판	comprador (agent managing foreign trade for a Chinese firm)
商人團體整理委員會	상인단체정리위원회	merchant groups reorganization committee
常務委員主席	상무위원주석	chairman of the standing committee
顯職	현직	prominent position; high office
맛고	맡고	taking charge of; holding (a position) (older spelling of 맡고)
資産	자산	assets (here used for amount of wealth)
잇다한다	있다 한다	it is said that there is/he has
抗爭하야	항쟁하여	contending; struggling against
會長	회장	chairman; president (of an association)
椅子	의자	chair; position (metaphorical)
잇서서는	있어서는	in the case of; regarding
經理	경리	manager; management
대하야	대하여	regarding; against
挑戰하야	도전하여	challenging
勝利를 制한 것	승리를 제한 것	the fact that (he) controlled the victory; achieved victory
留學	유학	studying abroad
卒業	졸업	graduation
勤務하야	근무하여	working at
見習하얏스며	견습하였으며	observed and learned practical skills; apprenticed
歸國後	귀국후	after returning to one's country
董事	동사	director; trustee (of a company)
總監理	총감리	general supervisor; chief superintendent
兼하고 잇다	겸하고 있다	is concurrently holding (positions)
極히	극히	extremely; very
親密하고	친밀하고	is intimate/close and...
獻策하는	헌책하는	advising; proposing a plan
삿삿치	샅샅이	thoroughly; exhaustively (older spelling)
들어 바듬이 되어	들어 받아들여져	being accepted; being listened to
財界	재계	financial world; business circles
潛勢力	잠재력	latent power; hidden influence
非常한 것이다	비상한 것이다	it is extraordinary
銀行家出이다	은행가 출이다	is from a banking family; banker background
多年	다년	for many years
其經理로서	기 경리로서	as its manager
會董	회동	director (of a chamber of commerce/association)
令名이 노파섯다	영명이 높아졌다	his reputation became high (older spelling/conjugation)
總理	총리	president; head (of a bank, here)
協理	협리	assistant manager; associate director
拔擢되어	발탁되어	being selected; being chosen (for a position)
次長	차장	vice minister; vice chief
代理	대리	acting (minister, etc.)
들어나	드러나/나서서	emerging; taking up (a position)
北伐戰爭中	북벌전쟁중	during the Northern Expedition War
財政難局	재정난국	financial difficulties; fiscal crisis
打開하얏다	타개하였다	overcame; broke through (older spelling/conjugation)
財政廳長	재정청장	director of the finance department/bureau
常務董事	상무동사	managing director
理事	이사	director (of Central Bank)
聯合準備庫主任	연합준비고주임	director of the joint reserve treasury
人物	인물	person; figure; personality (character)
圓滿	원만	harmonious; amicable; well-rounded
溫厚하며	온후하며	is gentle and warm-hearted, and...
知友	지우	acquaintance; friend
까닭에	까닭에	because; due to
連絡融通	연락융통	liaison and accommodation; coordination and facilitation
局에	국에	in the situation; role; capacity
活動하고 잇다	활동하고 있다	is active
錢莊業出身	전장업출신	originating from the native banking (Qianzhuang) business
經理로서	경리로서	as manager
兼任하야	겸임하여	concurrently holding the position(s) of
聲聖이 매우 크다	성망이 매우 크다	his reputation/prestige is very great (聲聖 likely means 聲望)
出席하야	출석하여	attending
만히	많이	much; greatly (older spelling)
奔走하얏고	분주하였고	busily worked for; exerted oneself and...
國庫券募集	국고권모집	treasury bond subscription drive/issue
功勞多하다	공로 다하다	rendered many meritorious services
따라	따라서	consequently; therefore
信用	신용	trust; credit
두텁다	두텁다	is deep; is thick (of trust, relationship)
일커르며	일컬으며	being called; being referred to as
報酬가 아닐가 말한다	보수가 아닐까 말한다	it is said that perhaps it is a reward
鄕土的 關係	향토적 관계	relationship based on native place; regional ties
閥外에 屬하나	벌외에 속하나	belongs outside the clique, but...
經理	경리	management (context: business management relations)
事務 的關係	사무적 관계	administrative relations; business relations
個人的 關係	개인적 관계	personal relationship
自他가 한가지로	자타가 한가지로	both oneself and others alike
認定밧고 잇다	인정받고 있다	is being recognized as (older spelling)
