잡지명	삼천리 제3권 제12호
발행일	1931년 12월 01일
기사제목	上海風景, 누-란 事件 (Shanghai Scenery, Noulens Incident)
필자	上海 洪陽明 (Shanghai Hong Yangmyŏng)
기사형태	소식 (News Report)

Shanghai Scenery, Noulens Incident
						Shanghai Hong Yangmyŏng

Regarding the truth of the Noulens Incident, not a small amount has already been published, so there is a sense of staleness, but Noulens himself is still confined in Nanjing, becoming the target of a fierce release movement by the world proletariat. Also, given that his activities and place of arrest were in Shanghai, it seems not entirely useless for this writer, who has various practical observations from being here, to add some superfluous remarks. Therefore, I will write a little about the events before and after his arrest amidst the scenery of Shanghai, where the waves of struggle were high. Furthermore, while Noulens has 7 or 8 aliases, concerning the name "Noulens" (누-란), there are those who attach different transliterations like "Nyuren," "Nyuran," "Nuren," etc., but these are unfounded transliterations. For this reason, some readers might wonder if these refer to different people. However, the pronunciation of "Noulens" is accurately transliterated as "Norenseu" in the English style and "Nuran" (누-란) in the French style. Since this name "Noulens" is the one used on the passport issued by the Belgian (白耳義) government, this writer has transliterated it as "Nuran" (누-란). I add this brief supplement lest there be misunderstanding.

The bizarre major port city of the East, where all the beauty and ugliness, good and evil, born of the modern world intertwine amidst intense neon signs and complex sounds!
There, all the wealth and culture of the vast continent with its 400 million huge population and over 400 provinces<37> are collectively expressed, and all the planned facilities for the Far East advance of international capitalism are laid out.
Therefore, the scenery appearing here is a mixture of the grotesque beyond grotesque, chaos, wonder, a microcosm of the world itself.
Listen to the rhythm of this metropolis, the hybrid child of the East born from the illicit union of 19th and 20th-century Eastern and Western civilizations. The Huangpu (黃浦) River, with its turbid, rolling currents, floats dozens, hundreds of steel monsters—these guardians of capital—with giant 32-sanchi cannons threateningly aimed at this city. Above it, amidst the ever-present dense fog, flutter flags, flags, flags... The Union Jack, the Star-Spangled Banner, the Hinomaru, and the Tricolore—flags symbolizing the financial capital of all the great powers rubbing shoulders side by side, and the tears of regret of the Blue Sky White Sun flag!
The forest of great buildings along the Bund, built with the blood and fat of the masses of the Central Plains (中原)! On the streets of Shanghai, singing the decadent dirge of the fin de siècle, the great throng of prostitutes from the human flesh market, driven from the countryside by warlord conflicts and capitalist invasion, wandering in search of a one-night customer on the brink of starvation!
Amidst the vast aspects of life, like a tangled mess of dozens of Yellow and White races, the incessant appearance of kidnapping and robbery gangs, open gambling, opium, and today, the gangs of the Green Gang (靑帮) and Red Gang (紅帮) chasing the dream of Liangshan Marsh in this world;不良mōbō (modern boys) in enamel shoes, frivolous dancing of mōkō (modern girls) in high-heeled kid shoes, cheap tears shed over American erotic movies!
However, in this landscape that forms the great territory of international capital, there is also another solemn side, unseen elsewhere, hidden in the shadows of blue and red lights: secret societies of the Philippine independence movement, associations of the national movements of India and Annam (安南), and groups of military spies from various countries sharpening their skills in undercover maneuvering, vying to steal military secrets.
From here, isn't the fact that Soviet Russia's G.P.U. is flashing its eagle-like red terror gaze something felt not just by White Russians alone?

In Shanghai, this strangely shaped cosmopolitan city born of the modern era, where all beauty and ugliness, good and evil intertwine amidst "light," "sound," "gold," and "power," the proletariat, also produced by the capitalism of this century, was likewise in rebellion.
Since the May 30th Incident, sometimes underground, sometimes on the surface, sometimes permeating, sometimes expanding, following the ebb and flow, sometimes slowly, sometimes rapidly, the class struggle here has developed in proportion to the "magnitude" of capital and the "degree" of exploitation, becoming the most acute and serious zone in the East as capitalism entered its third period. It was not only the base for all the world's national and various revolutionary groups and secret societies, but this point, the location of the central leadership of the Chinese Communist Party under unprecedented white terror where all activities were forbidden under penalty of death, also became, due to various geographical and human relations, the Comintern's (제3인터내슌앨) base of operations for the East and the communication center for the network aiming at the communization (赤化) of Eastern countries.
It was the autumn of 1930. The leadership policy of the Chinese Communist Party, after the adventurist Li Lisan (李立三) course—which advocated nationwide insurrection and resulted in the loss of many activists from Manchuria to the streets of Shanghai—was ruthlessly criticized and liquidated by the Comintern, shifted its goal to "victory first in one province or several provinces." As the Soviet zones were being consolidated and new work began in secret areas, the activities of organizers in this city commenced most tenaciously.
The central effort of the new activities was for the Party to strike deep roots among the laboring masses. This meant aligning the Party's platform with extracting the economic demands and grievances of individual workers in any small workplace or any small workers' circle, making all workers aware of the true nature of the proletarian party, and exposing the true character of the Kuomintang and imperialism. For this purpose, the leaders of the General Labor Union continued their clandestine movements day and night. However, since insufficient communication with Moscow was one reason for the error of the Li Lisan<38> course, future struggles had to be even more firmly linked with the Comintern and Profintern (푸로핀테른). (7 lines omitted - original text)

The summer of 1931 arrived. As the young green leaves turned deep green and the lush leaves of the plane trees in Jessfield Park released their warm fragrance, trampling on the Chinese coolies sleeping on the roadside during the humid Shanghai summer nights like stray dogs in sweat-soaked rags, the children of the bourgeoisie from powerful nations danced wildly all night long to the free-flowing jazz played by the Municipal Band—music like laughter, like weeping—baring splendid dresses and fat, mermaid-like white arms. Yet, historical logic is dialectical; the struggle of the trampled, their effort to live, still proceeded at a rapid tempo.
On one hand, despite report after report of victories in Chiang Kai-shek's (蔣介石) communist suppression campaign in Jiangxi (江西), the reality was merely the disastrous result of the annihilation of three divisions of his crack troops and the incessant advance of the Red Army, while the Soviets only continued to grow steadily.
On the other hand, in the North, the confrontation between Zhang Xueliang (張學良) and Japan intensified, and the world only increased its anxiety through economic collapse and the flood of unemployed, while conversely, the Soviet economy merely grew stronger day by day.
Following these turbulent changes in the situation, the Pan-Pacific Trade Union Secretariat based in Shanghai was ceaselessly active. Shanghai, under year-round white martial law with machine guns and pistols, was nevertheless, amidst the contradictions of opposing imperialisms, an exquisite location for them—the Third International—to gather information from all over the East, transmit directives to various countries, and maintain frequent communication with Moscow.
As the scorching June sun melted the asphalt on Shanghai's streets, the newspapers suddenly reported news like the following: "Noulens and his female secretary Vanderlissene arrested—chief figures of the Far East Communization Movement, secretary-general of the Pan-Pacific Trade Union Secretariat, and a member of the Third International's Far Eastern Bureau, who were carrying out important missions for the Red Labor Movement throughout the East."
Indeed, subsequent news gradually revealed the nerve center of an astonishingly organized movement, sufficiently chilling the investigating authorities and startling shallow journalists. Among the 211 secret documents in English, German, Russian, Chinese, and Japanese and the 1,081 papers found with him were important secret documents of the Chinese communist movement (73), as well as important secret documents concerning Korea (朝鮮) (13), the Philippines (比律賓) (14), Indochina (印度支那) (14), the Straits Settlements (10), Taiwan (臺灣) (1), and Indonesia (인도네시아) (1). The confiscated deposits of 256,000 yuan, 50,000 yuan in cash, and the abundant operational funds, averaging 130,000 yuan consumed monthly, also drew eyes of wonder. (It was later determined that the documents related to Japan were the most numerous.)
Furthermore, his five residences, seven telephone numbers, and eight central post office secret boxes spoke to how meticulously planned his activities were and what important secrets he possessed.
And the office where most of his documents were found was at No. 49 Nanjing Road, right in the middle of Shanghai's busiest district, lined with major British and American trading firms. That a proletarian office stood shoulder-to-shoulder, face-to-face, unknown to anyone, with major Anglo-American businesses is also a kind of irony.
Thus, after controversy over whether his nationality was Belgian (白耳義) or Swiss (瑞西) or elsewhere, he was eventually handed over to the Chinese side for reasons of uncertain nationality and is now detained at the Garrison Command in Nanjing. However, according to what has been heard and seen, although he possessed valid Belgian and Swiss nationalities and passports, the representatives of the permanent international court declared them forgeries, stating their countries had no such citizen and refused him. Furthermore, the Municipal Council (工部局) detective Mr. Tilter, the arresting officer, testified that he had been tracking Noulens<39> since his activities in London. Accordingly, when the trial opened at the Second Branch of the Jiangsu High Court, he appeared as a witness and even presented a telegram from London's Scotland Yard stating Noulens' nationality was forged.
When Noulens and his female comrade Vanderlissene appeared in court, their demeanor was dignified, not unbecoming of revolutionaries (OO자). He was fluent not only in English, French, Russian, and German, but judging by his appearance, he could be called an English gentleman.
Around the time of this incident, Xiang Zhongfa (向忠發), the General Secretary of the Chinese Communist Party, who was internationally trusted as the "Stalin of China," was arrested in the French Concession here and executed. Ms. Chen Ziying (陳子英?), head of the Party's Central Propaganda Department, the chief editor of the Party organ "Hongqi" (紅旗), and over 30 other important cadres were arrested and became victims of the brutal White Terror, and publishing organs were simultaneously destroyed.
Since this series of storms of White Terror in China occurred within a short period before and after Noulens' arrest, there was naturally a connection in these arrests. At the same time, one must not forget that coinciding with Mr. Noulens' arrest, there was a series of large-scale international arrests throughout East Asia. This series of international mass arrests unfolded as follows:

For guiding the masses in India, moving beyond the Swaraj movement; in Annam, harboring deep resentment towards French rule; and in the Dutch East Indies (蘭領 馬來諸島) across the South Seas, where Bolshevik influence grew with the weakening of Dutch political control, Singapore was a point of utmost importance for communication with Shanghai. As the national movements intensified entering the third period, the old capitalist power, Britain (英國), was busy day and night suppressing these movements.
One humid night in June 1931, the cafe "Black Sheen" near the docks in Singapore was suddenly surrounded by British authorities... Bang... Bang... Bang... Gunshots of intimidation shattered the tropical night's silence among the lush coconut trees! They came from the muzzles of British officials' guns. The natives engaged in primitive rendezvous under the blue Milky Way stars scattered in fright at the sound of gunfire.
This was a raid on a meeting where Chinese Communist Party members were discussing future communications with the Annam region for infiltration into Guangdong (廣東). Thus, through the stern investigation by British authorities, numerous incriminating documents emerged. Confidential telegrams from consulates of various countries were dispatched in all directions. To Hanoi, to Tokyo... And thus, also to Shanghai...
In the Shanghai International Settlement, there is a classical Western-style residential area called Kunshan Road (崑山路). Next to it is a small park, the Baby Garden, an international children's playground where children from all over the world, transcending race and nation, run and play together every single day.
Noulens and Vanderlissene lived on this Kunshan Road. It is said that whenever they had time, they came to this Baby Garden and smiled watching the young comrades play. Thinking of his own grave mission, watching the children play, he must have recalled the Pioneers of Britain and Russia... But the iron chains of capital finally<40> came to seize them.
On June 15th, the day after the arrests in Singapore, a corner of Kunshan Road where Noulens lived was suddenly surrounded by Municipal Council (工部局) authorities, and the two of them were arrested...
The children in the Baby Garden, playing in the rain-soaked grass, watched suspiciously as this uncle and auntie, who always watched them play with gentle smiles, were led away.
Thus, their various contact points were raided swift as wind and rain. Although some associates escaped the arrest net, many important and alarming documents were confiscated. The underground network of contacts established by his hand was unraveled strand by strand as the investigation progressed.... One line of that secret network crossed the East China Sea and connected far away to an office at Tokyo Imperial University.
Thus, following a swift telegram from the Japanese Consulate General in Shanghai, the doors of Tokyo Imperial University were opened, and office workers, etc.—the responsible person for the Pan-Pacific Trade Union Secretariat's Japan branch—were also arrested. Simultaneously, there were the pre-August 1st swift, storm-like mass arrests of the Japan Zenkyō network, and in Shanghai, many Communist Party members were arrested at eight secret offices including on Nanjing Road.

On the morning of August 14th, at Shanghai North Station, the flashing bayonets of the guards glittered in the morning sun, maintaining tense security. Surrounded by the brutal pistols wielded in the White Terror frenzy and poison swords hungry for slaughter, Noulens, with the same smile he used to give the children at the Baby Garden appearing on his face, was calmly led away. Vanderlissene's pale face seemed tinged with some sorrow, but there was no expression of fear. They gave light kisses to the young child entrusted to a Chinese amah and quietly boarded the death train bound for Nanjing.
Thus, two months have already passed. However, regarding his fate, since the outcome under the laws of this country—where there is no punishment other than death for this type of incident—is clear, during this time, left-wing organizations worldwide have fiercely protested to the Municipal Council and the Nanjing government, demanding immediate release, with no end in sight daily. Individually, too, long letters of protest have arrived from French writers Henri Barbusse (안리발퓨스) and Romain Rolland (로만, 로랑), Germany's Ernst Toller (에룬스트, 톨텔), Russia's Maxim Gorky (막심골키), and others, as well as from the secretary-general of the Paris League for the Defense of Human Rights.
Thus, the Noulens couple, central figures of the Far East communization network, deeply secluded under special treatment in the Nanjing Military Prison, remain protagonists of the riddle of life and death.<End><41>

**Summary**

This 1931 article by Hong Yangmyŏng reports from Shanghai on the arrest of Hilaire Noulens (referred to as 'Nuran'), the alleged head of the Comintern's Far Eastern Bureau and the Pan-Pacific Trade Union Secretariat. It details the context of Shanghai as a hub of international intrigue, revolutionary activity, and capitalist exploitation. The author describes Noulens's sophisticated operation, the discovery of extensive documents linking various communist movements across Asia (including China, Korea, Philippines, Indochina), the large sums of money involved, and his eventual arrest by Shanghai Municipal Council police in June 1931, followed by his transfer to Nanjing. The article links Noulens's arrest to subsequent crackdowns on communists in China (including Xiang Zhongfa) and internationally, notably in Singapore and Japan, and mentions the ongoing international campaign for his release.

From the perspective of Korean colonial history, the article is significant as it explicitly mentions the discovery of 13 secret documents related to Korea (朝鮮) among Noulens's possessions, directly linking the Korean communist/independence movement to the broader Comintern network coordinated from Shanghai. This highlights Shanghai's role not just for Chinese revolutionaries but as a crucial node for Korean activists operating abroad and coordinating with international communist organizations during the Japanese colonial period. The mention of the crackdown extending to Japan also reflects the interconnected nature of anti-colonial and communist suppression efforts by imperial powers in East Asia.

**Named Entities**

上海	상하이	Shanghai
누-란	누란	Noulens (Hilaire Noulens)
南京	난징	Nanjing
洪陽明	홍양명	Hong Yangmyŏng
白耳義	백의	Belgium
Noulens	누란	Noulens
黃浦강	황포강	Huangpu River
中原	중원	Central Plains
李立三	이립삼	Li Lisan
콤인테른	콤인테른	Comintern
푸로핀테른	푸로핀테른	Profintern
江西	장시	Jiangxi
蔣介石	장개석	Chiang Kai-shek
張學良	장학량	Zhang Xueliang
莫斯科	모스크바	Moscow
범태평양노동조합 서기국	범태평양노동조합 서기국	Pan-Pacific Trade Union Secretariat
제3인터내슌앨	제3인터내셔널	Third International
극동국	극동국	Far Eastern Bureau
반델니센	반델니센	Vanderlissene (Likely Tatiana Moissenko, Noulens' wife)
朝鮮	조선	Korea
比律賓	필리핀	Philippines
印度支那	인도지나	Indochina
臺灣	대만	Taiwan
인도네시아	인도네시아	Indonesia
瑞西	서서	Switzerland
工部局	공부국	Shanghai Municipal Council (SMC)
江蘇 고등법원	장쑤 고등법원	Jiangsu High Court
倫敦	런던	London
向忠發	향충발	Xiang Zhongfa
陳子英	진자영	Chen Ziying
紅旗	홍기	Hongqi (Red Flag - CCP journal)
佛國	불국	France
安南	안남	Annam (Vietnam)
蘭領 馬來諸島	난령 말레이제도	Dutch Malay Archipelago
씽가폴	싱가포르	Singapore
英國	영국	Britain
廣東	광둥	Guangdong
東京	도쿄	Tokyo
崑山路	쿤산로	Kunshan Road
日本	일본	Japan
南京路	난징로	Nanjing Road
안리발퓨스	앙리 바르뷔스	Henri Barbusse
로만, 로랑	로맹 롤랑	Romain Rolland
에룬스트, 톨텔	에른스트 톨러	Ernst Toller
막심골키	막심 고리키	Maxim Gorky
巴里	파리	Paris

**Glossary**

잇지마는	있지만은	Although there is (older spelling of 있지만)
안음으로	않으므로	Because it is not (older spelling/form of 않으므로)
아즉도	아직도	Still, yet (older spelling of 아직도)
밋	및	And, as well as (older spelling of 및)
被逮地	피체지	Place of arrest
만콤	만큼	As much as, to the extent that (older spelling of 만큼)
젹어보는	적어보는	To try writing (older spelling of 적어보는)
업는	없는	Non-existent, lacking (older spelling of 없는)
잇슬	있을	That will be, likely to be (older spelling of 있을)
부친	붙인	Attached, named (older spelling of 붙인)
일홈	이름	Name (older spelling of 이름)
잇스나	있으나	Although there is (older spelling of 있으나)
놉든	높던	Which was high (older spelling of 높던)
싸흔	쌓은	Piled up, built (older spelling of 쌓은)
갓흔	같은	Like, same as (older spelling of 같은)
쫏는	쫓는	Chasing (older spelling of 쫓는)
푸로레타리아	프롤레타리아	Proletariat
赤化	적화	Communization ("Red-ification")
盲動主義	맹동주의	Adventurism (lit. blind action-ism)
쏘베트	소비에트	Soviet
입히	잎이	Leaves (older spelling/form of 잎이)
갓치	같이	Like, as (older spelling of 같이)
짓밥고	짓밟고	Trampling (older spelling of 짓밟고)
쿨-늬-苦力	쿨리	Coolie (laborer)
내놋코	내놓고	Exposing, putting out (older spelling of 내놓고)
살녀고	살려고	Trying to live (older spelling of 살려고)
안인	아닌	Not being (older spelling of 아닌)
따러	따라	Following, according to (older spelling of 따라)
잇섯다	있었다	There was, existed (older spelling of 있었다)
밧든	받던	Received, regarded as (older spelling of 받던)
끌니워가는	끌려가는	Being dragged away (older spelling of 끌려가는)
탈출하얏스나	탈출하였으나	Although escaped (older spelling/form of 탈출하였으나)
만히	많이	Many, much (older spelling of 많이)
졸나	줄줄	In lines, one after another (sound-symbolic word)
풀녀갓는	풀려갔는	Was being unraveled (older form combining 풀리다 + 가다)
열녓슬	열렸을	When it was opened (older spelling of 열렸을)
검거되야	검거되어	Being arrested (older spelling of 검거되어)
되엿섯다	되었었다	Had become (older spelling of 되었었다)
잇섯든	있었던	Which had been (older spelling of 있었던)
가치	같이	Like, as (older spelling of 같이)
욱어진	우거진	Lush, overgrown (older spelling of 우거진)
놀내어	놀라서	Being surprised/startled (older spelling of 놀라서)
잇슨	있은	Which happened/was (older spelling of 있은)
번적이여	번쩍이며	Flashing, glittering (older spelling/form of 번쩍이며)
얼골에	얼굴에	On the face (older spelling of 얼굴에)
맷긴	맡긴	Entrusted (older spelling of 맡긴)
실헛다	실었다	Loaded, boarded (older spelling of 실었다)
깁히	깊이	Deeply (older spelling of 깊이)
되고 잇는	되고 있는	Is becoming (older spelling of 되고 있는)


---------------------------


잡지명	삼천리 제3권 제12호
발행일	1931년 12월 01일
기사제목	上海風景, 누-란 事件
필자	上海 洪陽明
기사형태	소식

上海風景, 누-란 事件
						上海 洪陽明
누-란事件의 진상에 대하야는 이미 발표된 바 적지 안음으로 좀 진부의 감도 잇지마는 아즉도 누-란 그 자신은 南京에 유폐된 채로 세계 푸로레타리아의 맹렬한 석방운동의 대상이 되여 잇는 점 또 그 활동 밋 被逮地가 上海인 만콤 이곳에 잇서 여러 가지 실제로 견문한 기관를 가진 필자로써 蛇足을 가함은 전연 無用한 일도 아닐 듯 함으로 그 체포 전후를 투쟁의 물결 놉든 上海 풍경속에서 약간 젹어보는 것이다. 또 누-란의 별명은 7,8종인 중 누-란이란 일명에 대하야도 뉴-렌, 뉴-란, 누-렌 등 別異한 譯音을 부친 이들이 잇스나 이것은 근거업는 역음이오 이 까닭으로 독자 중에는 各 異한 人이 아닐가 하는 의문도 잇슬 터이나 「Noulens」의 발음은 영어류로 하면 「노-렌스」 불어류로 하면 「누-란」이 정확한 역음이 되는데 이 「Nonlens」이란 일홈은 白耳義政府 발행의 여권에 쓰인 일홈임으로 필자는 이것을 「누-란」이라고 역음하야 온 것이다. 誤識 잇슬가 하야 잠간 補足하야 둔다.



현대의 세계가 나흔 一切의 美醜善惡을 강렬한 네온싸인과 복잡한 음향 속에 교착하고 잇는 동양의 기괴한 大商 埠地!
거긔에는 4억의 거대한 인구와 400여 州의 광활한 대륙의<37> 모든 富와 문화가 집결적으로 표현되여 잇고 국제 자본주의의 극동진출의 모든 설비의 계획이 노혀잇다.
그럼으로 이곳에 나타나는 풍경은 그로 이상의 그로의 취합이요 혼돈이요 驚異요 세계의 縮寫 그것이다.
19세기와 20세기와 동과 서의 문명의 野合으로 된 이 동방의 혼혈아의 都會의 리씀을 드르라. 32산치 거대한 포구를 이 도회에 향하야 威嚇하고 잇는 강철의 괴물―이 자본의 수호신들을 수십으로 수백으로 동동 띄우고 잇는 濁流滾滾의 黃浦강, 그 우로 항상 떠도는 濃霧 사이에 나붓기는 旗, 旗, 旗... 유니온 짹과 스타- 스팽글드와 일장기와 삼색기의 모든 열강의 금융자본을 씸볼하는 旗와 旗가 舷舷 相摩할 때의 靑天白日의 회한의 눈물!
中原 대중의 피와 膏血로 싸흔 뻔드 일대의 대건축물의 林立! 세기말의 頹廢한 挽歌를 부르는 환락의 밤의 上海 가두에 군벌혼전과 자본주의의 침입에 쫏겨 농촌으로부터 餓死線上 一夜의 객을 구하야 헤매이는 인육시장의 淫賣婦의 大群!
수십 종의 황백인종의 亂麻와 갓흔 넓은 生活部面 속에서 攫人 강도단의 不絶한 출몰 공공연한 도박 아편 그리고 오늘 세상에 梁山泊의 꿈을 쫏는 靑帮 紅帮의 徒黨 에나멜 구두를 신은 불량모보 굽놉흔 킷트구두를 신은 모꺼의 浮薄한 딴스, 아메리카 에로 영화에 흘니는 갑산 염가의 눈물!
그러나 이 반면에 국제자본의 대지주를 이룬 이따의 풍경에는 또한 푸른 등불 불근 등불의 그늘에 숨어 필릿핀 독립운동의 비밀결사가 잇고 印度와 安南과의 민족운동의 결사가 잇고 세계 각국의 군사스파이의 一團이 암중비약으로 鎬를 削하야 군사기밀을 奪合하고 잇는 달은 따에서 발견할 수 업는 달은 엄숙한 일면이 또한 잇는 것이다.
이름에서 쏘베트로서아의 게, 뻬, 우가 독수리 갓흔 적색테러의 안광을 번적이고 잇는 것은 반다시 白系露人만의 感得할 바이랴?



이러한 현대가 나흔 奇形의 코스모포리탄의 도시 一切의 美醜善惡이 「빗」과 「소리」와 「황금」과 「권력」 속에 교착되여 잇는 上海에도 역시 이 세기의 자본주의가 산출한 푸로레타리아가 반역하고 잇는 것이엿다.
5.30사건 이후 혹은 지면으로 혹은 표면으로 滲透되기도 하고 확대되기도 하면서 低潮 高潮에 따러 서서히 급급히 이따의 자본의 「大」와 착취의 「度」에 비례하야 발전하야온 이따의 계급투쟁은 자본주의가 제3기에 드러서면서 동양에 잇서 가장 첨예화하고 심각화한 지대가 된 것이엿다. 그것은 세계의 모든 민족과 여러 종류의 혁명단체 비밀결사의 본거지일 뿐만 아니라 모든 활동이 死의 공포로써 금단되여 잇는 역사 未曾有의 백색테러 하의 중국공산당의 중앙지도부의 소재지인 이 지점은 지리적 인문적 諸관계로 또한 제3인터내슌앨의 東洋策源地이며 동방 제국 赤化網의 연락 중심지가 되고 잇는 것이엿다.
1930년 가을이다. 전국적 폭동을 주장하야 滿洲에서 上海 가두에서 만흔 활동분자를 상실케 한 결과를 나흔 盲動主義의 李立三 코-스가 콤인테른에 의하야 냉혹하게 비판되고 청산된 중국공산당의 지도방침이 「一省 又는 數 省의 首先 승리」를 목표로 하야 쏘베트 구역의 충실화와 동시에 비밀지대에 대한 새로운 공작이 시작될 때에 이 거리의 조직분자의 활동은 가장 집요하게 개시된 것이다.
새로운 활동의 중심노력은 黨이 노동群衆 사이에 깁히 뿌리를 박는 일이엿다. 그것은 엇더한 적은 직장이나 엇더한 적은 노동자의 써-클에서나 黨의 강령이 이들 노동자의 개개의 분자의 경제적 요구와 불평불만을 추출함에 합치되는 일이오 모든 노동자가 푸로레타리아의 당의 진실한 자태를 알게 하고 국민당과 제국주의의 정체를 폭로하는 일이엿다. 이 일을 위하야 總工會의 지도자들은 밤낫업는 잠행운동을 계속하엿다. 그러나 李立三<38> 코-스의 오류로 모스코-와의 연락불충분이 그 一因이엿다는 점으로써는 今後의 투쟁은 콤인테른이나 푸로핀테른에 더욱 굿게 결합하지 안흐면 안될 것이오. (7행 략-원문)



1931년의 녀름이 왓다. 신록의 어린 입히 深綠으로 변하고 제스필트 공원의 푸라타너스의 욱어진 입이 훈훈한 향기를 放할 때에 땀과 취기에 축진 襤褸를 입고 들개와 가치 무더운 上海의 녀름밤을 길가에서 자는 中國의 쿨-늬-苦力-들을 짓밥고 밟어 찬란한 드레스와 기름진 인어와 갓흔 흰팔뜩을 내놋코 뮤니시팔뻔드의 吹奏하는 우슴과 갓흔 울음과 갓흔 자유자재한 째즈에 열강 각국의 불주아지의 자녀들은 밤을 새우며 난무할 때에도 역사의 논리는 변증법적이라 짓밟힌 자들의 살녀고 하는 노력 안인 이따의 투쟁은 여전히 급속한 템포로 나아가는 것이엿다.
一方 江西의 蔣介石씨의 공비토벌은 捷報에 첩보를 가함에 불구하고 사실은 직계군 3개 사단의 전멸과 적군의 不絶한 진격이란 비참한 결과를 生함에 불과하고 쏘베트는 의연히 생장을 더하야 갈 뿐이엿다.
他 方北에서는 張學良과 日本의 대립이 첨예화하여 가고 세계는 경제적 파탄과 실업자의 홍수만을 增長함으로써 불안을 증대할 뿐이오 이에 반하야 쏘베트의 경제는 나날히 强固한 발전을 더할 뿐이엿다.
上海에 잇는 범태평양노동조합 서기국은 이러한 정세의 격변에 따러 그 활동은 不眠不休엿섯다. 기관총과 피스돌로 年 중 백색계엄령 하에 잇는 上海는 그러나 대립된 제국주의의 모순 속에서 全 동양의 정보를 취하고 각국에 지령을 전달하고 莫斯科와의 빈빈한 정보 연락을 취하려는 彼等 제3인터내슌에 대하야는 절묘한 지점이엿다.
6월의 작열한 태양의 上海 거리거리의 아스팔트를 녹이고 잇슬 때 이따의 신문은 돌연 다음과 갓흔 뉴-스를 보도하얏다. 「極東 赤化運動의 主腦로 구성한 범태평양노동조합의 비서장과 제3인터내슌앨 極東局 위원의 一人으로써 全 동양에 在한 赤色勞働運動에 중대한 임무를 수행하고 잇든 누-란 及 그 여비서 반델니센 체포됨」
