잡지명	삼천리 제4권 제2호
발행일	1932년 02월 01일
기사제목	民族的 公敵인 分裂主義者 撲滅, 地方熱과 派爭打破論 (An Argument for Eradicating the Divisionists, Public Enemies of the Nation, and Overcoming Regional Fervor and Factional Strife)
필자	李鍾麟
기사형태	논설 (Editorial/Argument)

民族的 公敵인 分裂主義者 撲滅, 地方熱과 派爭打破論
						李鍾麟
1. The time when I took up this topic was January 1st, a moment when I intended to cast off all the multifaceted scenes where I had spent half my life, and soon become a solitary crane with a single zither (孤鶴隻琴), drifting freely (悠悠自適), ready to flutter my sleeves and depart aloofly (飄然 拂袖冷然長往) to some mountain of cultivation or waters of recitation. At that time, I was lying immersed in remorse for the past and anticipation for the future, a silent self that could not be broken by anything, be it gold like water or beauties like flowers (黃金如水美人如花). However, as this topic concerns the issue that has scattered our nation and reduced our country to ruins (邱墟), my silence could not remain unbroken.

2. Regional fervor and factional strife might seem an unavoidable principle for us humans who live gathered in groups (類聚群居). Does not regional passion grow into national unity, and does not factional struggle (黨派爭) expand to establish national control? If so, we should indeed cultivate this as a virtue nationally and protect it as a constant way (常道) for the state. Yet, why is it that because of this, our nation has become scattered, and because of this, our country has been reduced to ruins? There are two reasons for this: one is that regional unity was originally not unity for the benefit of the nation, but unity for the benefit of individuals, and factional struggle was never a struggle for the survival of the state, but a struggle for the survival of one's own faction (自黨). The other reason is that even if it were unity aimed at individual benefit and struggle centered on the survival of one's own faction, there should have been the virtue within it to draw the entire nation, consciously or unconsciously, or failing that, the strength to overcome any opposing faction. However, among them, until today, there has not been a single person possessing that virtue and strength.

3. The leaders of regional fervor and factional strife, unable even to influence the one wife embraced in their own bosom, how could they embrace the entire nation, no matter how much they flex their stunted arms? Who would be embraced in this bosom? Even if there were such people, they are like promiscuous women (淫婦) who would sell their chastity even for a single glance. Being promiscuous women, they invariably make jealousy their sole chastity, thus engaging in alienation and slander. What unity can there be in this? Unable even to control the children clinging beneath their knees, how could they control the entire nation, no matter how much they clench their dead fists? Who would be subdued under this fist? Even if there were such people, they are like cripples (병신들) who lose their minds just seeing their deceased father <8> in a dream. Being cripples, they invariably make superstition their sole destiny, thus engaging in fortune-telling and exorcism (占相 祈祓). What control can be established here? Look through the 500-year history of factional strife in the Yi Dynasty (李朝). Which page is not a record of the jealousy of promiscuous women, and which phrase is not the fatalism of cripples?
Released figures from the People's Convention

4. In a household where only cripples live, the healthy person becomes the madman instead. In a village where only promiscuous women live, the virtuous woman becomes the ugly woman instead. Similarly, in our society filled with the promiscuous women of regional fervor and the cripples of factional strife, isn't the person who sees north, south, east, and west as one region considered an unchaste ugly woman instead, and the person who sees the 23 million people as one party considered a senseless madman instead? Who can break down this regional fervor and factional strife that have completely transformed customs and character (移豐易性)? Suppose there is such a person. Those who promote regional fervor will inevitably attack them, and those who brew factional strife will inevitably reject them. Look! Our society is full of those who would break this down and full of those who encourage it. In a field where the bright moon and reed flowers blend into one color (明月蘆花 渾一色), how can we find the truly supra-regional, supra-factional person and the truly anti-regional, anti-factional theory, like searching for a white crane (皓鶴)? If we cannot trust the person first, how can we trust only their theory? If we do not accept the theory, how can we adopt only the method of that theory? Therefore, to break this down, more than any theory or method, we must first choose the person. And to choose the person, rather than eloquence, strategy, or financial power, we must choose a person of principle (主義) who cannot be cornered by any eloquence, dissolved by any strategy, or moved by any financial power. Once we have found such a person, we must absolutely believe in their theory and method. Believing means not trusting the person's individual self, but trusting the principle (主義) that the person believes in. A person with a thorough principle (主義) has no intimacy or enmity (親疎가 업고 恩仇가 업는) outside of that principle. Since there is no intimacy or enmity, what region or faction can there be? If there were intimacy or enmity, <9> it would be intimacy due to the principle; if there were enmity, it would be enmity due to the principle, never intimacy and enmity on a human level. In other words, people with the same principle are brothers even if they are strangers (超越), and people without the same principle are strangers even if they are brothers.
Worldly affairs (天下事), whatever theories or strategies are employed, are ultimately decided by power (力), and the powers of the world, whatever financial or military might is involved, the absolute strongest is solely principle (主義). Do not be surprised. Someone like Jesus (耶蘇), though a monotheist, embraces almost the entire world, does he not? Someone like Marx (맑쓰), though a materialist, now threatens the world, does he not? Therefore, before a strong principle (主義), there are no theories or strategies. There is no military power or financial power.

5. Generally, the origin (起因) of regional fervor began in regions where people, originally the same citizens performing the same duties (應役), could not enjoy the same rights. The starting point (起點) of factional strife began in the struggle for political power. As times changed and the national situation shifted, its downstream effects (末流) eventually led to causes tied even to the kindness of a single meal (一飯之恩) or the resentment from a single cup (一盃之怨), and relationships formed even from the displeasure of a single frown (一嚬之憾) or the affection of a single glance (一顧之情). Therefore, the bonds of these people can be sufficiently destroyed by a bowl of rice or a cup of wine, and they can also be united by a single frown or smile. However, ants gathered by a stench disperse when the stench is gone (聚羶之蟻 羶盡則散), and flies gathered by foulness leave when the foulness dries up (集腥之蠅 腥枯則去). Unless the fundamental nature of these sorts is eradicated, rather than breaking up their groups and allowing their contagion to spread in other directions, isn't it the soundest and most appropriate method to simply leave them alone and let even just two people, if they share the same principle (主義), form a separate bond, aiming for something, and taking care that there is no filth (汚穢物) or rottenness (臭腐性) around that principle that could attract those others? However, at this time when discussions about building a central organization and reconstructing a pan-national representative body are rising, proposing, even theoretically, that just two people with the same principle should form a separate <10> bond might be misunderstood as provoking factional strife. But unless it is a genuine union of principle (主義), no matter what gold signboard (金간판) is hung or what iron organization (鐵조직) is formed, that signboard will eventually fall, and that organization will surely break apart. Without needing to cite distant past examples, the recent Sin'ganhoe (新幹會) representatively demonstrates this. Not only that, but factions uniting with factions (종파종파끼리 결합) and classes confronting classes (계급계급끼리 대립) are principles and truths that cannot be moved by any theory or policy. Therefore, the main point of today's argument is not to beat down various factions (각 종파) to create a single lineage (宗統) or to break various classes (각 계급) to build a single party (파당), but solely to overcome the regional fervor and factional strife arising within a single faction or a single class.

6. However, as the saying goes, "Each person sweeps the snow before their own gate; never mind the frost on another's roof" (各人自掃門前雪 不管他人屋上霜), for groups with fundamentally different ideologies and objectives to interfere in the internal affairs of other groups might be considered excessively presumptuous (猥越). Yet, even between nations (國與國), there is mediation and restraint. If, setting aside who is right or wrong (孰是孰非), we ignore the fights among people of the same bloodline simply because we claim no connection, isn't this a society without authority as a society, a nation whose affection as a nation has dried up? If so, from now on, regardless of class or faction, if the strife is an unavoidable fight truly based on principle (主義), that may be understandable. But if it is a fight over power or emotion, it must be socially exposed and publicly restrained. The method (뮀©식 - likely 방식 'method' or 형식 'form') of restraint should be to establish a public agreement (공약) that assigns a corresponding period to the central figures of the strife, during which they are denied all rights as members of society. The only question is whether our society today indeed has such authority and courage. If only this could be implemented, the promiscuous women who sell jealousy as chastity would be driven away with other promiscuous women, and the cripples who see superstition as destiny would be cast out with other cripples.
Only after that will our society become a truly unified society, and our nation become a truly controlled nation. Only after that will there be some outcome, regardless of success or failure, gain or loss (成敗得失). <11>
<8-11>

**Summary**

Yi Chong-nin argues vehemently against regionalism ("regional fervor") and factionalism ("factional strife") in 1932 Korea, identifying them as the primary reasons for national division and weakness ("public enemies of the nation"). He contends that these divisions stem from personal gain and power struggles rather than genuine national interest or ideological commitment. He uses harsh metaphors ("promiscuous women," "cripples") to condemn leaders lacking virtue and strength. Yi proposes that true unity can only be achieved through adherence to strong, shared principles ("主義"), which transcend personal ties, regional loyalties, and even material power. He suggests that while different groups (classes, sects) will naturally exist, internal strife based on power or emotion within these groups must be publicly exposed and sanctioned by society, perhaps by temporarily stripping factional leaders of their social rights. He concludes that only by overcoming these divisions through principle-based unity can the Korean nation achieve genuine cohesion and strength.

Historically, this article is significant as it reflects the deep frustration among Korean intellectuals with internal divisions hindering nationalist efforts during the Japanese colonial period. The call for unity based on "主義" (principles/ideology) over personal or regional ties echoes broader debates within the nationalist and socialist movements of the time about the best path forward. The mention of the recently dissolved Sin'ganhoe (an attempt at a united front organization) underscores the practical difficulties and failures in achieving such unity. Yi's proposed solution of social sanction against divisive figures reveals a desire for internal discipline within the Korean community itself, even under colonial constraints.

**Named Entities**

李鍾麟	이종린	Yi Chong-nin
李朝	이조	Yi Dynasty
耶蘇	예수	Jesus
맑쓰	마르크스	Marx
新幹會	신간회	Sin'ganhoe

**Glossary**

民族的 公敵	민족적 공적	Public enemy of the nation
分裂主義者	분열주의자	Divisionist, separatist
撲滅	박멸	Eradication, extermination
地方熱	지방열	Regional fervor, excessive regional loyalty
派爭	파쟁	Factional strife, partisan conflict
논설	논설	Editorial, argument, discourse
마튼	맡은	(Older spelling) Took charge of, undertook
반생	반생	Half a lifetime
消受	소수	(Archaic) To spend, pass (time)
바리다	버리다	(Dialectal/Older form) To throw away, discard
孤鶴隻琴	고학척금	Solitary crane, single zither (metaphor for solitary, refined life)
悠悠自適	유유자적	Living freely and leisurely, carefree
飄然 拂袖冷然長往	표연 불수냉연장왕	Fluttering sleeves and departing aloofly (classical phrase for detachment)
悔悟	회오	Remorse, repentance
想望	상망	Hope, anticipation, longing
글처 누어서	걸쳐 누워서	Lying across/spanning (likely older spelling/usage)
업다	없다	(Older spelling) To not exist, to lack
이산하다	이산하다	To be scattered, dispersed
邱墟	구허	Ruins, desolate place (lit. mound and ruins)
잇다	있다	(Older spelling) To exist, to have
類聚群居	유취군거	Living gathered in groups of the same kind
黨派爭	당파쟁	Factional strife, party struggle (same as 派爭)
맛당히	마땅히	(Older spelling) Rightly, properly
배양하다	배양하다	To cultivate, foster
옹호하다	옹호하다	To protect, defend, advocate
常道	상도	Constant way, normal principle
何故	하고	Why, for what reason
利害	이해	Interests, gains and losses
존망	존망	Survival, existence or ruin
自黨	자당	One's own party/faction
부지불식 중	부지불식 중	Unconsciously, unknowingly
암우리	아무리	(Older spelling) No matter how much
벗엇슨들	벗었은들	(Older spelling) Even if one took off/flexed (arms)
슬하	슬하	Below the knee (referring to children under one's care)
끌려 잇는	끌려 있는	(Older spelling) Being dragged/led, attached to
부르쥔들	부르쥔들	(Older spelling) Even if one clenches (fist)
假使	가사	Supposing, even if
몽매간	몽매간	While dreaming
亡父	망부	Deceased father
＜8＞	<8>	Page number indicator
占相 祈祓	점상 기불	Fortune-telling (by appearance) and exorcism/purification rites
嫉妬錄	질투록	Record of jealousy
運命論	운명론	Fatalism, theory of fate
도로혀	도로혀	(Older spelling/form of 도리어) Rather, instead
精한 여자	정한 여자	Chaste/virtuous woman (精 likely used for 貞)
醜婦	추부	Ugly woman
移豐易性	이풍역성	To change customs and alter character
고취하다	고취하다	To inspire, incite, encourage
醞釀	온양	To brew, ferment (metaphorically, to foster strife)
배척하다	배척하다	To reject, exclude, boycott
明月蘆花 渾一色	명월노화 혼일색	Bright moon and reed flowers, all one color (classical phrase for ambiguity/indistinguishability)
皓鶴	호학	White crane
爲先	위선	First of all, to begin with
밋다	믿다	(Older spelling) To believe, trust
辯舌	변설	Eloquence, skill in speaking
책략	책략	Strategy, scheme, tactic
금력	금력	Financial power, power of money
窮치 아니하며	궁치 아니하며	(Older spelling) Not being cornered/stumped
녹지 아니하며	녹지 아니하며	(Older spelling) Not melting/being dissolved
動치 아니할	동치 아니할	(Older spelling) Not being moved/shaken
主義	주의	Principle, doctrine, ideology, "-ism"
엇은 이상에는	얻은 이상에는	(Older spelling) Once obtained/found
신봉하다	신봉하다	To believe in devotedly, adhere to
親疎	친소	Intimacy and distance, closeness and alienation
恩仇	은구	Favor and enmity, gratitude and grudge
갓흔	같은	(Older spelling) Same, like
超越	초월	Transcendence; here used contextually to mean stranger/outsider
便是	편시	(Archaic/Classical) Then it is, precisely is
天下事	천하사	Affairs of the world
理論策略	이론책략	Theories and strategies
필경은	필경은	In the end, ultimately
力	력	Power, strength (older form of 역)
금권무력	금권무력	Financial power and military power
오즉	오직	(Older spelling) Only, solely
勿驚하라	물경하라	Do not be surprised (classical imperative)
威嚇하다	위혁하다	To threaten, intimidate (variant of 위협)
起因	기인	Origin, cause
應役	응역	Obligatory service/duty (often labor or military)
향유하다	향유하다	To enjoy (rights, privileges)
기점	기점	Starting point
정권쟁탈	정권쟁탈	Struggle for political power
末流	말류	Downstream flow; later development, degenerate followers
마참내	마침내	(Older spelling) Finally, eventually
一飯之恩	일반지은	Kindness of a single meal
一盃之怨	일배지원	Resentment from a single cup (of wine)
매처지고	맺혀지고	(Older spelling) Being formed, tied
一嚬之憾	일빈지감	Displeasure/regret from a single frown
一顧之情	일고지정	Affection from a single glance
지여진	지어진	(Older spelling) Being built, formed
一椀飯	일완반	One bowl of rice
一盃酒	일배주	One cup of wine
괴멸식히다	괴멸시키다	To annihilate, destroy utterly
聚羶之蟻 羶盡則散	취전지의 전진즉산	Ants gathered by stench disperse when the stench is gone (classical idiom)
集腥之蠅 腥枯則去	집성지승 성고즉거	Flies gathered by foulness leave when the foulness dries up (classical idiom)
근성	근성	Fundamental nature, ingrained disposition
滅絶	멸절	Extermination, annihilation
방임하다	방임하다	To leave alone, let be, neglect
초래하다	초래하다	To cause, bring about, invite
汚穢物	오예물	Filth, impurities
臭腐性	취부성	Rottenness, putrid nature
此際	차제	At this time, on this occasion
＜10＞	<10>	Page number indicator
金간판	금간판	Gold signboard (metaphor for prestigious but possibly hollow appearance)
鐵조직	철조직	Iron organization (metaphor for strong, rigid structure)
„¤명하고	증명하고	(Likely typo/misprint for 증명) Proving, demonstrating
종파	종파	Sect, faction (often religious, but used more broadly here)
계급	계급	(Social) class
대립하다	대립하다	To confront, be opposed to
宗統	종통	Lineage of a sect/school, orthodox tradition
파당	파당	Faction, clique, party
各人自掃門前雪 不管他人屋上霜	각인자소문전설 불관타인옥상상	Each person sweeps the snow before their own gate; never mind the frost on another's roof (proverb: mind your own business)
猥越	외월	Presumptuous, going too far, improper interference
國與國	국여국	Nation and nation, between nations
조정	조정	Mediation, arbitration
제재	제재	Sanction, restraint
孰是孰非	숙시숙비	Who is right and who is wrong
도외시하다	도외시하다	To disregard, ignore, neglect
혈족	혈족	Blood relative, kin
권위	권위	Authority
애정	애정	Affection, love
금후	금후	From now on, hereafter
불문하고	불문하고	Regardless of, irrespective of
폭로식히다	폭로시키다	To expose, reveal
민중적	민중적	Popular, pertaining to the masses/people
뮀©식	방식/형식	(Likely typo/corruption of 방식 'method' or 형식 'form') Method, form
상응하다	상응하다	To correspond, be appropriate to
부처서	붙여서	(Older spelling) Attaching, assigning
許與치 안이하는	허여치 아니하는	(Older spelling/usage) Not permitting, not granting
공약	공약	Public pledge, agreement, covenant
용감	용감	Bravery, courage
쪼겨질	쫓겨질	(Older spelling) Will be chased out/expelled
成敗得失	성패득실	Success or failure, gain or loss
＜11＞	<11>	Page number indicator


---------------------------


잡지명	삼천리 제4권 제2호
발행일	1932년 02월 01일
기사제목	民族的 公敵인 分裂主義者 撲滅, 地方熱과 派爭打破論
필자	李鍾麟
기사형태	논설

民族的 公敵인 分裂主義者 撲滅, 地方熱과 派爭打破論
						李鍾麟
1. 내가 이 論題를 마튼 그때는 내가 나의 반생을 消受하야 바린 다각적 장면을 다 처 바리고 잠차 孤鶴隻琴, 悠悠自適의 몸이 되여 수양의 산이나 朗吟의 水, 어듸로든지 飄然 拂袖冷然長往하랴든 1월 1일이엇다. 이때의 나는 과거의 悔悟와 장래의 想望에 글처 누어서 黃金如水美人如花, 그 무엇으로든지 깨트릴 수 업는 침묵의 나이엿지마는 이 논제가 민족을 이산하고 국가를 邱墟한 문제임으로 나의 침묵은 깨여지지 아니할 수 업다.

