잡지명	삼천리 제4권 제3호
발행일	1932년 03월 01일
기사제목	莫斯科의 回想 (Recollections of Moscow)
필자	金世鎔
기사형태	기행문 (Travelogue)

莫斯科의 回想
						金世鎔

Minus 25 degrees Celsius. The vast snowfield of the North Country, where snow roars in the blizzard, continues endlessly. Skeletal forests of white birch appear as thin lines on the horizon, only to disappear again. The train we are riding is the "Maxim Gorky." This is the train that Maxim Gorky did not abandon, the one loved by the lumpenproletariat, the social dregs he cared for—but that's an old story. Now, it's a train carrying the freshest and most vibrant red cells of this country. Gazing out through the double-paned, frosted windows at the dark, gloomy, monotonous, oppressive, frozen winter twilight, someone starts a song, and our train car is enveloped in warmth and cheers. When a soldier's clumsy boot from the upper bunk kicks the belly of a Tatar friend lying on the lower bunk, peculiar sounds erupt, and mischief begins. A commotion arises when someone claims a Turkish friend stole their chocolate. An impromptu prosecutor files charges, and a judgment is delivered by a bald OO judge: three solo songs and tea service.

The train runs at 30 ri per hour through the dark night of the frozen snowfield. Someone says the train is currently running over tens of thousands of skulls. This friend is always gloomy and heavy, always speaking only the conclusion of stories rich in implied meaning, and when pressed for an explanation, opens his mouth with a tone of "Do you want to know?" His nickname is "Arctic Reviver."

Listening to the explanation: "This area used to be a basin, low-lying land with continuous great marshes. During the era of Tsar Ivan the Great... I don't remember exactly now... when they tried to lay a railway from Moscow, they employed hundreds of thousands of laborers. But due to starvation, hard labor, and disease, tens of thousands of workers perished. Countless people lay fallen by the time the railway reached where we are going.<58> Therefore, the number of railway sleepers is the same as the number of dead men's skulls—Gentlemen, do you know the laborers of the Tsarist era? (Excerpt-original text) After the storm of XX passed, these skull-sleepers ceased their ghostly cries even in the dead of night and sing XXX welcoming the new world"... Having finished speaking, the Reviver suggests, "For our comrades of the skulls, let us also sing XXX!"
The train car, from a solemn dirge, vibrated with the grand XXX.

From the time the salty scent of the Baltic Sea breeze, carried in from the Gulf of Finland, seemed to reach us, we bustled with preparations to disembark. There was chaos finding belongings, the sound of female comrades struggling to untie someone's mischievous knot binding luggage to a seat leg, the shouts of the group leader. We arrived 14 or 15 hours after leaving Moscow.
At the Fortress of Wandering—Leningrad.
The capital of the old era—the head of the oppressive and arrogant Tsarist regime, the face of Russia. Peel off the skin, and it's the face of the Tatars... This place, the great suction cup of European culture, the secret chamber of conspiracies, and the heart of the revolution.
From the statue of Alexander the Great (or perhaps Ivan the Great, I'm unsure), the historic main street, Nevskiy, stretched faintly white and frozen in the night snow towards the Winter Palace. Once, the dust of this street was washed with fresh blood, and when the blood-soaked white snow melted, the morning sun of the new century must have brightly illuminated this street. Nevskiy, the entrance to the destiny of the progressing new era, will be remembered by workers worldwide for Lenin's famous XXX aphorism in "What Is To Be Done?" (츠도·제-라찌).
Our dark procession walked onto the breast of the sleeping Nevskiy. Although amazed by the towering, uniformly aligned buildings on both sides of the wide, wide street (twice the width of Kwanghwamun Street), the XXX and endlessly XX folk songs pouring out from restaurants here and there deeply moved us.
Tomorrow, on a bright day, surrounded by a dark crowd, I shall close my eyes in meditation and walk this great Nevskiy.
Passing by the Winter Palace (집느이·드보레츠 - Zimniy Dvorets?), rising like a floating castle even in the dark night sky, I pictured the scene from the night of November 6th, read once in John Reed's "Ten Days That Shook the World." Crossing the bridge near the Winter Palace, I thought of the cruiser Aurora, which, from this Neva River, with cannon fire, drove out the final masters of the old era who had long sat in the gold-splendid ministerial chambers of the palace, announcing the advent of the new era.
Amidst memories, illusions, and emotions, the minus 30-degree cold felt refreshingly pleasant. Having remained silent for quite a while, perhaps bored, Mr. O—Lion Nose—walking beside me, poked my side as if to check if even my mouth had frozen shut.
"Ah, are you walking with me?" Only then did the chatter of the entire accompanying group enter my ears.
After getting off at the station, I don't know how far we walked, but past 11 o'clock, we stopped our march beside a large building. Dimly visible in the electric light were the gold letters "Oriental University."
Accommodation was assigned for our group of about 30, and I luckily ended up sharing a corner room on the third floor with the cheerful "Lion Nose." Seeing how beautifully decorated and clean the room was, it seemed not a place for rough men, but a dormitory room for female students. Lion Nose's "Bravo!"—already energetic—was quite a sight.
Warming our frozen insides with hot tea, we threw ourselves onto the soft beds. Listening to Lion Nose, who boasted from the start that we were the luckiest, I drifted into my first dream of Leningrad.

After touring the Winter Palace, seeing the political prison St. Paul (센트·파울 - Peter and Paul Fortress?), where Kropotkin escaped and thousands of fighters, including Trotsky, were imprisoned, <59> we returned to our lodging. Shortly after warming ourselves, three female students arrived.
"Comrades, do you know Japanese?" I was surprised by their words. I learned that these three lovely female students were students of the Japanese language department at this university, studying Japan with deep interest. With my clumsy, halting Russian—making me effectively mute without Lion Nose—how glad I was! Words I wanted to say poured out incoherently. Their conversation skills weren't fluent, but they understood quite well, and their pronunciation was very good. I told them what I knew about the current situation in Japan and particularly about various aspects of the Korean situation (朝鮮사정), which they rarely had a chance to hear about. They were exceedingly pleased and said they would introduce me to the Japanese language teacher at the school, so we went together to a room on the 4th floor. I have forgotten his name, but this teacher's knowledge of Japan was astonishingly proficient, and his Japanese was almost scholar-level fluent. He welcomed our visit warmly, and when the female students said they would take me away, he pleaded like a child for me to stay and talk a little longer.
According to the female students, a welcome party for our group was to be held in the auditorium that evening, and they had been preparing for it with a general mobilization of female students for the past 2-3 days.
The welcome party began at 6 o'clock. Around a long table laden generously with Russian delicacies, including foot-long sausages (膓詰침), pickles piled high, and the famous black bread (초로너이 드레부 - chyorny khleb?), hosts and guests sat facing each other. On the walls, XXX slogans in various languages were decorated with flowers, and large portraits of Lenin and other leaders of the country hung at the front. After mutual greetings amidst cheers, the entertainment began.
Outside, a blizzard raged fiercely.
Inside, there was the fiery chorus of Demyan Bedny's (떼미안·베온너이) XX poetry, the Cossack dance that always makes the whole body stir, the valiant Caucasian sword dance, solo songs, balalaika ensembles... We drank, ate, and reveled heartily, forgetting the deepening night. The female student Anisa (아니-사), sitting beside me, her face charmingly flushed from the beer (비-투?), made a special request for a Korean song. Who knew a Korean song? While some seemed confident they could deliver a line or two of a "speech" (연설말슴), whether good or bad, the request for a song seemed to make them quite nervous. At times like these, the bold Lion Nose was the right man. Pushed forward, he strode onto the stage, nostrils flaring, and belted out the song "Iron Arms" (무쇠팔둑). Regardless of melody or technique, his voice was loud and strong, and his demeanor lively, earning him great applause. I pleased Anisa with dishwater-weak singing (泗자水 - referring to poor quality).
As empty beer bottles cluttered the table, led by Anisa, we sang a familiar song together and dispersed around 12 o'clock.
The three female students took Lion Nose and me to their dormitory room. Listening to the zzz-zzz song of the samovar (사모왈), we engaged in interesting conversation until late into the night.
These young Russian women spoke earnestly about their lives and hopes, boasting about world affairs and their roles. We listened with genuine interest to the bizarre story of a love triangle incident involving a spy, a language school instructor of a certain country, and a female student from this university.
The beautiful and cheerful Anisa and I developed a special friendship during the two weeks I stayed in Leningrad.
Furthermore, Anisa advocated for transitional free love as a XX-ist. Whether the theory was right or wrong, she affirmed that the reality couldn't be helped, and Anisa, who practiced this, was certainly in error. Yet, in affirming this error while being unable to overcome it, one could see an aspect of the tendency in sexual life among the class to which this woman belonged. In gatherings of men and women, the topic naturally focused on sexual matters. They were Kolontayists (코론타이스트) (at that time, this 'ism' was prevalent and served as the logical standard for male-female relations) and did not pit physiological desires in love against social activities.
How many times was the samovar refilled? How many topics did our conversation drift through? As the white snow piled up, the blizzard night deepened <60> further.
Lion Nose began to doze off, and the other two female students also went to lie down on their beds, but Anisa and I put more water on for tea.
Anisa... "I am endlessly glad that your red blood and spirit, born in a distant, troubled place in the East, are thus strongly tied to our lives." (Excerpt-original text)
This woman, possessing boundless passion, sat on my lap and sang Demyan Bedny's (떼미안·베돈느이) "Red Storm." Accompanied by the samovar and Lion Nose's snoring.
We both raised the curtain, melted a circle on the frosty window with our breath, embraced shoulder-to-shoulder, and looked down at the faintly visible snowy dawn street.
Covering the exhausted Lion Nose, slumped over in his overcoat, we went to another room.<61>

**Summary**

This 1932 travelogue by Kim Se-yong recounts his journey from Moscow to Leningrad (St. Petersburg) in the Soviet Union. He describes the harsh winter landscape, the lively atmosphere among diverse passengers on the "Maxim Gorky" train, and reflections on Russia's revolutionary history evoked by Leningrad's landmarks like Nevskiy Prospekt and the Winter Palace. A significant portion details his stay at the "Oriental University" (likely KUTV), focusing on interactions with Russian female students, a welcome party, and late-night discussions covering cultural differences, Soviet life, politics, and controversial topics like free love, specifically with a student named Anisa.

For historians of Korean colonial history, this article is valuable because it documents a rare visit by a Korean intellectual to the USSR during Japanese rule, suggesting alternative political orientations and international connections sought by Koreans. The author's generally positive portrayal of the Soviet environment and youth, contrasted with mentions of Tsarist oppression, is noteworthy. His discussions about the "Korean situation" (朝鮮사정) with Soviet students interested in Korea offer insight into nascent international solidarity or interest. The censored 'XXX' likely indicates discussion of socialist or communist ideas, highlighting the political sensitivities of publishing such content in colonial Korea.

**Named Entities**

莫斯科	모스크바	Mosŭk'ŭba (Moscow)
金世鎔	김세용	Kim Seyong
막심·골키-	막심 고리키	Maksim Gor'kiy (Maxim Gorky)
韃?	달단?	Tat'an? (Tatar?) - Note: The Hanja used (韃) typically refers to Tatars.
土耳其	터키	T'ŏk'i (Turkey/Turkish)
이완 大帝	이반 대제	Ivan Taeje (Ivan the Great)
필란드 灣	핀란드 만	P'illandŭ Man (Gulf of Finland)
발틕 海	발트 해	Palt'ŭk Hae (Baltic Sea)
레-닌 그라-드	레닌그라드	Le-nin gŭra-dŭ (Leningrad)
露西亞	러시아	Rŏsia (Russia)
알랙싼다-大帝	알렉산드르 대제	Alleksandŭrŭ Taeje (Alexander the Great) - Author mentions uncertainty if it's Ivan.
넵후스키-	넵스키	Nepsŭk'i- (Nevskiy Prospekt)
冬宮	동궁	Tonggung (Winter Palace)
넹스키-	넵스키	Nengsŭk'i- (Nevskiy) - Variant spelling in text.
레-닌	레닌	Le-nin (Lenin)
츠도·제-라찌	츠토 델라티	Ch'ŭdo·Che-rach'i (Chto Delat? / What Is To Be Done?)
집느이·드보레츠	짐니 드보레츠	Chipnŭi·Tŭborŭch'ŭ (Zimniy Dvorets / Winter Palace) - Likely transliteration.
존·괴-드	존 리드	Chon·Koe-dŭ (John Reed)
네바 江	네바 강	Neba Kang (Neva River)
오로라艦	오로라함	Ororaham (Cruiser Aurora)
오리엔탈·유니벌스틔-	오리엔탈 유니버시티	Orient'al·Yunibŏlsŭt'ŭi- (Oriental University) - Likely KUTV.
日本	일본	Ilbon (Japan)
朝鮮	조선	Chosŏn (Korea)
크로포토킨	크로포트킨	K'ŭrop'ot'ok'in (Kropotkin)
또로츠키-	트로츠키	T'oroch'ŭk'i- (Trotsky)
센트·파울	상트 파울	Sent'ŭ·P'aul (St. Paul) - Likely Peter and Paul Fortress Prison.
떼미안·베온느이	데미안 베드니	T'emian·Peonnŭi (Demyan Bedny)
아니-사	아니사	Ani-sa (Anisa)
코론타이스트	콜론타이스트	K'oront'aisŭt'ŭ (Kolontayist/Follower of Alexandra Kollontai)
떼미안·베돈느이	데미안 베드니	T'emian·Pedonnŭi (Demyan Bedny) - Variant spelling in text.

**Glossary**

영하	영하	Below zero (temperature)
폭풍	폭풍	Storm, blizzard
포효하는	포효하는	Roaring
광막한	광막한	Vast, immense
대설원	대설원	Vast snowfield
한업시	한없이	Endlessly (older spelling of 한없이)
빼만나문	뼈만 남은	Reduced to bones, skeletal
백화	백화	White birch
고림	고림	Withered forest
지평선	지평선	Horizon
가느다란	가느다란	Thin, slender
일선	일선	A single line
되엿다가	되었다가	Becoming (older form of 되었다가)
버리지 안코	버리지 않고	Without abandoning (older spelling of 않고)
사회적 세전물	사회적 세전물	Social dregs/sediment
룬펜	룸펜	Lumpen (from Lumpenproletariat)
만히타든	많이 타던	That many rode (older spelling of 많이)
넷말이고	옛말이고	Is an old story (older spelling of 옛말이고)
생신하고	생신하고	Fresh, new (can also mean birthday celebration, but here means fresh)
활력	활력	Vitality, energy
어러부튼	얼어붙은	Frozen (older spelling)
이중창	이중창	Double-paned window
음울하고	음울하고	Gloomy, somber
단조한	단조한	Monotonous
압박적인	압박적인	Oppressive
빙결된	빙결된	Frozen solid
저물어가는	저물어가는	Growing dark, twilight approaching
음두	음두	Starting pitch, leading a song
양기	양기	Warmth, positive energy
환성	환성	Cheers, shouts of joy
싸워진다	싸인다	Is enveloped/wrapped (older form/spelling variation of 싸이다)
우층	위층	Upper level/bunk (older spelling of 위층)
투박스런	투박스러운	Clumsy, rough
병정 구두발	병정 구두 발	Soldier's boot-clad foot
아래층	아래층	Lower level/bunk
드러누은	드러누운	Lying down (older spelling)
거더차면	걷어차면	If one kicks up
기이한	기이한	Strange, peculiar
소래	소리	Sound (older spelling)
작난	장난	Mischief, prank (older spelling)
이러나서	일어나서	Arising, happening (older spelling)
임시	임시	Temporary, impromptu
대머리	대머리	Bald head/person
판결	판결	Judgment, verdict
나리되	내리되	Is delivered (command/literary form of 내리다)
독창	독창	Solo song
차수봉사	차수봉사	Tea service (serving tea)
시속	시속	Speed per hour
암야	암야	Dark night
구주한다	구주한다	Runs swiftly, gallops
해골	해골	Skull
닷고 잇다 한다	닿고 있다고 한다	Is said to be touching/running over (older spelling/grammar)
함축된	함축된	Implied, connotative
풍부한	풍부한	Abundant, rich
결론	결론	Conclusion
졸는 때에는	조를 때에는	When pressed/pestered (older spelling/form of 조르다)
알구십프냐	알고 싶으냐	Do you want to know? (dialectal/older form of 알고 싶으냐)
듯는데	듣는데	While listening (older spelling of 듣는데)
녯날	옛날	Old days, ancient times (older spelling)
분지	분지	Basin (geographical)
지대	지대	Area, region
낫고	낮고	Being low (older spelling of 낮고)
대소택	대소택	Great marsh/swamp
되엿든	되었던	Which used to be (older spelling of 되었던)
부설코저	부설하고자	Intending to construct/lay (railway)
기십만	기십만	Tens of thousands
공부	공부	Laborer (used in this historical context)
기아	기아	Starvation, famine
고역	고역	Hard labor, toil
걱구러지고	거꾸러지고	Falling down, perishing (older form/spelling)
눕어젓다	누워졌다	Lay down/fallen (older spelling of 누워졌다)
선로침목	선로침목	Railway sleeper
마찬가지다	마찬가지다	Is the same
제정시대	제정시대	Tsarist era
야음	야음	Dead of night
귀곡	귀곡	Ghostly cries, wailing
멈치고	멈추고	Stopping (older spelling)
마지한	맞이한	Welcoming, greeting
맛치고 나서	마치고 나서	After finishing (older spelling)
위하야	위하여	For the sake of (older spelling)
침통한	침통한	Solemn, sorrowful
조가	조가	Dirge, elegy
웅장한	웅장한	Grand, magnificent
진동하엿다	진동하였다	Vibrated, shook (older spelling)
바다드리는	받아들이는	Receiving, taking in (older spelling)
발틕 해	발트 해	Baltic Sea
석풍	석풍	Evening breeze / Sea breeze (汐風 - tide wind/sea breeze)
하차	하차	Getting off (a vehicle)
분망하엿다	분망하였다	Was busy, bustled (older spelling)
소지품	소지품	Belongings, personal effects
찻기에	찾기에	In finding (older spelling/form of 찾기)
북새가 나고	북새가 나고	Becoming chaotic/crowded
엇든	어떤	Some, certain (older spelling)
죄만은	죄 많은	Sinful, mischievous (lit. 'much sin')
빗그러 매여 노아	비끌어 매어 놓아	Having tied askew/awry (older form/spelling)
다리풀기	다리 풀기	Untying luggage (?) - Context suggests untying something bound to a leg (다리) of the seat.
여동지	여동지	Female comrade
다치는 소래	다투는 소리?	Sound of quarreling/struggling (context suggests struggling; 다치다 usually means 'get hurt', but here might imply forceful effort or conflict. 다투는 소리 fits better contextually than 'sound of getting hurt')
인솔자	인솔자	Group leader
호령	호령	Command, shout
순황보	순황보	Fortress of Wandering (?) - Likely a descriptive name for Leningrad/St. Petersburg.
폭압	폭압	Oppression, tyranny
오만	오만	Arrogance, pride
껍질	껍질	Skin, peel, shell
빗기면	벗기면	If one peels off (older spelling of 벗기면)
대흡반	대흡반	Great suction cup
음모	음모	Conspiracy, plot
밀실	밀실	Secret room
혁명	혁명	Revolution
심장	심장	Heart
미심	미심	Uncertain, doubtful
대가로	대가로	Main street, avenue
향하야	향하여	Towards (older spelling)
밤눈	밤눈	Snow falling at night / Snow seen at night
어러서	얼어서	Being frozen (older spelling)
히미-하게	희미하게	Faintly, dimly (older spelling)
가로 뻐치웟다	가로 뻗치었다	Stretched horizontally (older spelling)
일즉이	일찍이	Once, formerly
진애	진애	Dust
선혈	선혈	Fresh blood
세척되고	세척되고	Being washed
저즌	젖은	Wet, soaked (older spelling)
녹앗을 때	녹았을 때	When it melted (older spelling)
새 세기	새 세기	New century
아츰	아침	Morning (older spelling)
해발	햇발	Sunbeam, ray of sunlight
비초엿슬	비추었을	Would have shone on (older spelling)
진행하는	진행하는	Progressing, advancing
운명	운명	Destiny, fate
입구	입구	Entrance
경구	경구	Aphorism, witty saying
전세계	전세계	The whole world
노동자	노동자	Worker, laborer
기억하고 잇슬	기억하고 있을	Will be remembering (older spelling)
거문	검은	Black, dark (older spelling)
행열	행렬	Procession, line
가슴으로	가슴으로	Onto the breast/heart of
거러갓다	걸어갔다	Walked (older spelling)
광화문통	광화문통	Gwanghwamun main street (in Seoul)
양측	양측	Both sides
외연한	외연한	Towering, imposing
과즐	과즐	Orderly alignment (瓜櫛 - like teeth of a comb)
울니워터저 나오는	울려 터져 나오는	Bursting out loudly (sound) (older spelling/form)
한업이	한없이	Endlessly (older spelling)
감분케 하엿다	감분케 하였다	Deeply moved, stirred emotions (older spelling)
명상!하면서	명상하면서	While meditating
거러보리라	걸어보리라	I shall try walking (older spelling)
부성	부성	Floating castle
소사보히는	솟아보이는	Appearing to soar (older spelling)
지날 때	지날 때	When passing by
눈압헤	눈앞에	Before one's eyes (older spelling)
거려노코	그려놓고	Having pictured/drawn (older spelling)
엽	옆	Beside, next to (older spelling)
수발포탄	수발포탄	Volley of cannon fire (?) - Context suggests naval gunfire. 수발 could imply multiple shots.
금색찬연한	금색찬연한	Brilliantly golden
