Magazine Title: 三千리 제4권 제9호
Publication Date: 1932년 09월 01일
Article Title: 蔣介石이 指揮하는 中國 팟쇼團體 「藍衣社」 出現, 近衛兵을 잇글고서 (Appearance of the Chinese Fascist Group "Blue Shirts Society" led by Chiang Kai-shek, Leading His Bodyguards)
Author: Not specified
Article Type: 소식 (News)

Appearance of the Chinese Fascist Group "Blue Shirts Society" led by Chiang Kai-shek, Leading His Bodyguards

In these days when Fascist movements are in vogue, this movement has also arisen in China, and furthermore, it is steadily being organized and implemented with Chiang Kai-shek (蔣介石) at its center. Corresponding to Italy's "Blackshirts" and Germany's Brownshirts, China has named its group after the color blue, calling it the "Blue Shirts Society" (藍衣社), which is the Chinese fascist group that Mr. Chiang Kai-shek intends to lead as his bodyguards.

However, the formation of this Blue Shirts Society is causing great anxiety even within the Kuomintang party led by Chiang Kai-shek himself, and it is noteworthy that people seen as anti-Chiang elements within the party are worried about when they might be struck down by a coup d'état from this Blue Shirts Society.

Looking at its organization now, the basic membership of the Blue Shirts Society is set at a standard of 3,000 members, composed of 2,000 graduates from the Whampoa Military Academy (黃捕軍官學校) trained by Chiang's own hand, and an additional 1,000 others. The central cadres include formidable figures such as Ha Ch'ungbu (賀衷夫), Chin Kwabu (陳果夫), Chin Rippu (陳立夫), Chin Pujang (陳夫張), and Chang Toban (張道潘).

And its platform is as follows:

I. Nation-Building Movement—Here, members from the Whampoa Military Academy faction are placed within the national army and gradually acquire positions of advantage within the units. The tasks for this are:
(1) Monitoring the actions of each general
(2) Seizing military power from the generals
(3) Training for the fascization of the army
(4) Organization of the Blue Shirt units, and the indoctrination and liaison of each unit's cadres

II. Party-Building Movement—This utilizes the special service organization "C.C. Clique" (西西團) that Chiang Kai-shek possesses within the Kuomintang to violently expel anti-Chiang miscellaneous factions within the party.

III. Finance-Building Movement—This strives for the consolidation of finances, expulsion of foreign capital, encouragement of industry, and protection of domestic products, establishing China's finances to guarantee the livelihood of soldiers and thereby establish military administration.
(1) Confiscate land under the name of equal distribution of land, placing it under fascist control.
(2) Raise foreign debt under the name of promoting state-run industries<30> and create the economic foundation for fascist military power.
The details above are entrusted to the planning of Song Chawŏn (宋子文 T. V. Soong).

With Song Chawŏn as the responsible person, the implementation of the above three policies includes:
(1) Propaganda Organ: Appoint Chŏng Ch'ŏnbang (程天放), So Wŏnch'ung (邵元冲), and Chin P'oroe (陳布雷) as cadres to plan the unification of public opinion through its own publications.
(2) Silver Countermeasures: With Song Chawŏn as the responsible cadre, strive to incorporate all compradors and financiers in Shanghai under fascist rule.
(8) Education Policy: With Chu Kawŏn (朱家元) and Chin Kwabu (陳果夫) as respective responsible department cadres, abolish social sciences in schools and implement fascist education. Establish an internal committee for educational reform with Yang Kongdal (楊公達) and Ha Hoyak (河浩若) as members.

Above is the Three Constructions Movement of the Blue Shirts Society, but the Blue Shirts Society also has the following policies regarding foreign relations.
Regarding Japan, it tacitly accepts the current situation in Manchuria, effectively recognizing Japan's position, but in return, it is expected that Japan will provide practical assistance to the project of unifying China under fascism. Also, representatives are sent to the advanced fascist countries of Germany and Italy to plan for international fascist cooperation.

Finally, regarding the policy towards the communist army, it seems even the stalwart Chiang Kai-shek is troubled by this emerging force, and it has been decided to adopt a policy of compromise here.
They intend to conclude a non-aggression pact with the communist army. Then, fascist elements who graduated from the Whampoa Military Academy will infiltrate the communist army to promote reactionism. Communist Party members who surrender under the "Communist Party Surrender Law" promulgated by the National Government will be unconditionally pardoned, and from among these, assassination squads will be organized to carry out "terrorism" against political enemies. The terrorists marked for this blood sacrifice include:
Wang Chomyŏng (汪兆銘), Chŏng Rip (程立), Ho Hanmin (胡漢民), Ch'ae Chŏnghae (蔡廷楷), Chin Kongbak (陳公博), Chin Myŏngch'u (陳銘樞), Paek Ch'unghŭi (白崇禧), P'ung Oksang (馮玉祥), Yi Chesim (李濟深, original 李濟探).
Already, the Iron Blood Assassination Corps has been organized with its headquarters within the Whampoa Alumni Association at Nanjing Sandao Gaojing (南京三道 高井). On a certain day in July, simultaneously with the party's formation, the execution order was issued, and in Hankou (漢口), Ha Pohwa (何保華), Yu Kwangju (劉廣奏), and 50 others noted as reactionary elements were arrested. In Shanghai (上海) as well, under the command of Ko Sunjang (顧順章), preparations for a simultaneous roundup of Red elements and anti-Chiang Kai-shek elements who have infiltrated the foreign concessions are steadily progressing.<30>
<30-31>

**Summary**

This 1932 article from the Korean magazine *Samch'ŏlli* reports on the emergence of the "Blue Shirts Society" (藍衣社), a fascist organization in China led by Chiang Kai-shek. Modeled after European fascist groups, it aims to consolidate power through nation-building (military control), party-building (purging rivals within the Kuomintang via the C.C. Clique), and finance-building (economic control, expulsion of foreign capital). The article details its leadership (Whampoa graduates, key figures like T.V. Soong), its methods (surveillance, violence, propaganda, educational reform), and its complex foreign and domestic policies, including tacit acceptance of Japan's position in Manchuria in exchange for support, outreach to Germany and Italy, and a strategy of simultaneously negotiating with and infiltrating/undermining the Communist forces, using pardoned Communists for political assassinations against listed rivals. For historians studying Korean colonial history, this article offers a contemporary Korean perspective on the turbulent political landscape of China, the global rise of fascism, and its potential implications for regional power dynamics, including Sino-Japanese relations which directly impacted Korea. The detailed description of the Blue Shirts' organization, goals, and ruthless tactics provides insight into the political climate perceived by Koreans at the time.

**Named Entities**

蔣介石	장개석	Chang Kaesŏk
中國	중국	China
藍衣社	남의사	Namŭisa (Blue Shirts Society)
伊太利	이태리	Italy
獨逸	독일	Germany
黃捕軍官學校	황포군관학교	Hwangp'o Kun'gwan Hakkyo (Whampoa Military Academy)
賀衷夫	하충부	Ha Ch'ungbu
陳果夫	진과부	Chin Kwabu
陳立夫	진립부	Chin Rippu
陳夫張	진부장	Chin Pujang
張道潘	장도반	Chang Toban
西西團	서서단	Sŏsŏdan (C.C. Clique)
宋子文	송자문	Song Chawŏn (T.V. Soong)
程天放	정천방	Chŏng Ch'ŏnbang
邵元冲	소원충	So Wŏnch'ung
陳布雷	진포뢰	Chin P'oroe
上海	상해	Shanghai
朱家元	주가원	Chu Kawŏn
楊公達	양공달	Yang Kongdal
河浩若	하호약	Ha Hoyak
日本	일본	Japan
滿洲	만주	Manchuria
汪兆銘	왕조명	Wang Chomyŏng
程立	정립	Chŏng Rip
胡漢民	호한민	Ho Hanmin
蔡廷楷	채정해	Ch'ae Chŏnghae
陳公博	진공박	Chin Kongbak
陳銘樞	진명추	Chin Myŏngch'u
白崇禧	백숭희	Paek Ch'unghŭi
馮玉祥	풍옥상	P'ung Oksang
李濟探	이제탐	Yi Cheťam (Likely 李濟深 Yi Chesim)
南京三道 高井	남경삼도 고정	Nanjing Sandao Gaojing
黃浦同學會	황포동학회	Hwangp'o Tonghakhoe (Whampoa Alumni Association)
漢口	한구	Hankou
何保華	하보화	Ha Pohwa
劉廣奏	유광주	Yu Kwangju
顧順章	고순장	Ko Sunjang

**Glossary**

팟쇼	파쇼	Fascio / Fascist / Fascism
잇서	있어	Being / In (Older spelling of 있어)
이러나서	일어나서	Arising / Occurring (Older spelling of 일어나서)
더군다나	더군다나	Furthermore / Moreover
중심잡고	중심 잡고	Centering on / Focusing on
샤쯔	셔츠	Shirts (Loanword transliteration)
鳶色	연색	Brown color (Lit. kite color, referring to Nazi brownshirts)
일홈부처	이름붙여	Naming / Calling (Older spelling/form of 이름붙여)
잇글고서	이끌고서	Leading (Older spelling of 이끌고서)
근위병	근위병	Bodyguard / Guardsman
이르키고	일으키고	Causing / Inciting (Older spelling of 일으키고)
업새어지지	없어지지	Be eliminated / Disappear (Colloquial/older form of 없어지지)
안을가	않을까	Whether not / If not (Older spelling of 않을까)
길는	길러낸	Trained / Raised (Older form related to 기르다)
갓다	같다	Is like / Is as follows (Older spelling of 같다)
잇는	있는	Existing / Within (Older spelling of 있는)
획득하게한다	획득하게 한다	To make acquire / To enable acquisition
장령	장령	General / Commander
감시	감시	Surveillance / Monitoring
군권탈취	군권 탈취	Seizure of military power
파쇼화	파쇼화	Fascization
교화	교화	Indoctrination / Edification
특무기관	특무기관	Special service agency / Secret service
잡계	잡계	Miscellaneous factions / Mixed lineage
구축함	구축함	To expel (함 is nominalizing suffix)
외국자본	외국자본	Foreign capital
실업장려	실업 장려	Promotion of industry
국산보호	국산 보호	Protection of domestic products
확립함	확립함	To establish (함 is nominalizing suffix)
군정	군정	Military administration
평균	평균	Average / Equalization
몰수	몰수	Confiscation
외채	외채	Foreign debt
이르키고	일으키고	To raise / To incur (Older spelling of 일으키고)
작성함	작성함	To create / To draw up (함 is nominalizing suffix)
위함	위함	Entrusted to / Delegated to
책임자	책임자	Person in charge / Responsible person
선전기관	선전기관	Propaganda organ
간부	간부	Cadre / Executive
임명하야	임명하여	Appointing (Older spelling/form of 임명하여)
기관지	기관지	Organization's journal/paper
언론통일	언론 통일	Unification of public opinion
모할 것	모할 것	Will plan / Will scheme (것 indicates future plan/intention)
대책	대책	Countermeasure / Policy
매판	매판	Comprador
금융업자	금융업자	Financier
치하	치하	Under the rule of
가입식히기	가입시키기	To make join / To incorporate (Older spelling of 가입시키기)
사회과학	사회과학	Social science
폐지하고	폐지하고	Abolishing
개진	개진	Improvement / Reform
대외책	대외책	Foreign policy / External measures
가튼	같은	Like / Same as (Older spelling of 같은)
방침	방침	Policy / Course of action
묵인하야	묵인하여	Tacitly accepting / Condoning (Older spelling/form of 묵인하여)
인증하나	인증하나	Recognizes, but...
대가	대가	Compensation / Price
실력적	실력적	Based on actual power / Practical
원조되여잇다	원조되어 있다	Is being assisted / Is supported (Older spelling/form)
제휴	제휴	Cooperation / Alliance
굿세인	굳센	Strong / Stalwart (Older spelling of 굳센)
고심한	고심한	Troubled / Labored over
매즐려고한다	맺으려고 한다	Intends to conclude / Tries to form (Older spelling of 맺으려고 한다)
불가침 조약	불가침 조약	Non-aggression pact
잠입식혀서	잠입시켜서	Making infiltrate (Older spelling of 잠입시켜서)
반동화	반동화	Reactionism / Becoming reactionary
자수법	자수법	Surrender law
자수하야온	자수하여 온	Who have surrendered (Older spelling/form of 자수하여 온)
암살단	암살단	Assassination squad
정적	정적	Political enemy
테로리씀	테러리즘	Terrorism
혈제	혈제	Blood sacrifice
들닐만한	들릴 만한	Worthy of being offered / Likely to be offered (Older spelling/form)
테로리쓰트	테러리스트	Terrorist
벌서	벌써	Already (Older spelling of 벌써)
본거	본거	Headquarters / Base
철혈	철혈	Iron blood
결당	결당	Party formation
체포되고	체포되고	Being arrested
조계	조계	Concession (foreign settlement)
적계	적계	Red faction / Communist elements
검거	검거	Roundup / Mass arrest
진행되여잇다	진행되어 있다	Is progressing (Older spelling/form)


---------------------------


잡지명	삼천리 제4권 제9호
