Magazine Title: 삼천리 제4권 제12호
Publication Date: 1932년 12월 01일
Article Title: 女性이 본 名士諸氏 初印象 (First Impressions of Notables as Seen by a Woman)
Author: 金玉蓮 (Kim Okryŏn)
Article Type: 잡저 (Miscellaneous Writing)

女性이 본 名士諸氏 初印象
宋鎭禹 安在鴻 李光洙 許憲 朴熙道 金璟載 諸氏

First Impressions of Notables as Seen by a Woman
Messrs. Song Chin'u, An Chaehong, Yi Kwangsu, Hŏ Hŏn, Pak Hŭido, Kim Kyŏngjae

Having received the request to write my first impressions of notable gentlemen, I picked up my pen, but being no notable myself, I had few opportunities to meet such people. Even when I did, it was usually brief encounters related to my duties, and I rarely spent extended time with anyone. Therefore, I intend to jot down the fleeting impressions I gathered from these brief meetings, just as they occurred.

Song Chin'u (宋鎭禹)
If I were to describe Mr. Song's appearance in one word, "broad" seems most fitting.
My first meeting with him was on a cold day early last winter in the president's office at the Tonga Ilbo (東亞日報). Sitting broadly in a plush, comfortable armchair, his well-built physique and smiling face gave a considerably pleasant feeling to the person meeting him. The image of him wearing a black serge (?) suit, his face appearing fairer than average and perhaps slightly swollen, giving a somewhat sluggish impression, remains vivid in my memory. Some say he is quite arrogant (倨傲) and commonly gives an unpleasant feeling to those he meets, but I couldn't perceive such an attitude from him when I met him.
Even in several subsequent meetings, my initial impression remained exactly the same. In any case, I also remember that he possessed an air suitable for what one must call a politician (政客).

An Chaehong (安在鴻)
Meeting Mr. An on the street (街路), his stout physique (體軀), seemingly mismatched small head and small face – viewed from any angle, the impression wasn't particularly faint.
Meeting him again in the president's office at the Chosŏn Ilbo (朝鮮日報), he was seated in an armchair, wearing a long black cotton turumagi (무명두루막이). His voice was hoarse as if after giving a speech (演說), his eyes were long-slitted, blinking three or four times more than an ordinary person's, shining brightly. A large nose, a large mouth, and even more characteristic, a tendency to occasionally choke (꺽꺽 맥히는 증세) while speaking – these various aspects, the more one observed, were certainly enough to leave a deep impression on a first-time acquaintance.
However, after meeting him once or twice, this initial impression completely vanished. His hoarse voice, blinking eyes – all were erased by his seemingly kind-hearted expression, making him more likable than anyone. Yet, while it might be easy for observers to call him sly (음증갓다는), it seemed unlikely he would easily earn the description of a cheerful man (快男兒) who handles all matters briskly.

Yi Kwangsu (李光洙)
If Hyŏngsik from the novel *Mujŏng* (無情) was supposed to be Mr. Yi, he should have been slender, delicate, handsome, and young. But the Yi Kwangsu I actually met was the complete opposite: stout, round-faced, rather plain-looking (?), and aged. Thus, the image of him already imprinted in my mind was completely overwritten by the Mr. Yi standing before my eyes.
His soft and gentle tone (語調), seemingly guileless face, and pleasant smile – all put the person conversing with him at ease.
There was also a feeling that he was more like a religious figure (종교가) than an artist (예술가).
Perhaps because he was wearing a grey turumagi (회색 두루막이) when I met him, he even resembled a high monk (高僧) who had just stepped into the secular world (俗世) from deep mountains. <58>

Pak Hŭido (朴熙道)
The first time I met him was in the spring four years ago. The place was a dilapidated classroom (敎室) in a corner of Insadong (仁寺洞) at the old Chung'ang Kindergarten Normal School (中央幼稚師範). Having just finished the entrance exam subjects and entered the classroom for the oral examination (口頭試驗), there sat Mr. Pak, a man of enormous build (體軀), behind a table (테-불).
Just as I was relieved thinking the oral exam was over, he stated firmly, "It will be difficult to graduate in just one year (一箇年), so it would be better to do two years (二箇年) like everyone else." His manner of speaking, which seemed unbecoming of his imposing body, sounded disagreeable.
His extremely stern and cold attitude robbed me of even the courage to argue.
He seemed like an unfeeling (몰인정한) person incapable of understanding anyone's circumstances even in a dream.
His small eyes opened wide, scanning me from head to toe, his unusually booming voice, his overly large build – it was hard for him to leave a good impression on someone meeting him for the first time.
Especially at that moment, because of his harsh words, Mr. Pak looked like a tiger (호랑이) or an elephant (코키리) to me – hateful and frightening.
And yet, along with this unfavorable impression, there might remain a feeling that a dignity (위풍) not found in others, and a kindness (인자함) quietly hidden within, subtly flowed out here and there.
In reality (事實에 잇서서), Mr. Pak was not the person I initially perceived him to be ("엇덧타고" 늣긴 그대로의 氏가 아니엿다). He was more sympathetic (同情잇는), tearful (눈물만흔), and deeply humane (人情기픈) than anyone.
For this reason, while earning the nickname "Tiger" (호랑이) among the students, he became their truly irreplaceable guide and sympathizer (同情者) – this should be noted.

Hŏ Hŏn (許憲)
It was a hot afternoon one summer day. At a certain magazine company (某雜지사), someone spoke for several minutes about attending Kim Ch'an's (金燦) public trial (公判), using a Kwanbuk region (關北地方) dialect (사투리). I didn't know who he was, but judging by his strong dialect, I guessed he was someone who had just come up to Seoul (上京) from the provinces for Kim Ch'an's trial.
He had a plump build, a height that couldn't be called tall, and a less-than-fair complexion, but he gave a good impression (조흔 感) to those he met. Although his voice didn't sound particularly dignified (위엄잇게), viewed overall, he had handsome features (美男型) and seemed quite imposing (위풍이 양양해 보혓섯다) somewhere about him. Thus, on that day, I evaluated him in my own way without trying to find out who he was.
Several tens of days later (數十日 지나서), I happened to visit the Solar Ray Therapy Clinic (太陽光線治療院). There, the man with the good impression from a few days prior (몃츨 전에 印象조튼 일홈몰을 분) greeted me warmly in the reception room. Although I didn't know his name (성함), I couldn't help but say something due to his excessive kindness (물론 그이는 내가 누구임을 아는 모양이엿다 - of course, he seemed to know who I was), so I greeted him, "Sir (선생님), have you come here too?" After exchanging such greetings, I discovered he wasn't a visitor but the owner, and my face flushed red (불거젓섯다). He was undoubtedly Mr. Hŏ Hŏn (許憲氏), who served as something like an advisor (顧問格) to the Solar Ray Therapy Clinic.

Kim Kyŏngjae (金璟載)
I saw Mr. Kim walking down a street with three or four companions (세네동무), wearing a white mosu-turumagi (힌 모수두루막) and a straw hat (맥꼬모자).
I remember his gait was very unsteady (몹시 흔들엇고), his face was red, and he was short (키가 적엇든).
In a word, should I say he seemed neither cheerful (쾌활한) nor serious (진중한)? However, the Mr. Kim I came to know later was vastly different from the initial impression. Of course, his height hadn't increased, nor had his gait changed. But as I got to know him better, I felt his dignified character (점잔은 성격) and his unique, firm will (굿은 意志) were worthy of respect from anyone. (Recorded by Kim Okryŏn 金玉蓮記) -(Continued in the next issue 以下次號)-<59>
<58-59>

**Summary**

Written by Kim Okryŏn, this 1932 article provides her personal first impressions of six prominent Korean male figures of the time: Song Chin'u, An Chaehong, Yi Kwangsu, Hŏ Hŏn, Pak Hŭido, and Kim Kyŏngjae. She describes their physical appearances, mannerisms, and the initial feelings they evoked, often contrasting these first impressions with her later, more developed understanding of their personalities. The author notes how initial perceptions, sometimes negative or based on stereotypes (like Yi Kwangsu's appearance vs. his literary persona), often shifted upon further acquaintance, revealing deeper qualities like kindness, seriousness, or humanity beneath seemingly stern or unimpressive exteriors.

From a historical perspective, the article is interesting as it offers a rare female perspective on well-known male intellectuals and nationalists during the Japanese colonial period. It provides candid, personal observations that humanize these figures beyond their public roles as newspaper presidents, writers, lawyers, or educators. The descriptions of their attire (turumagi, Western suits), physical traits, speech patterns (including dialect), and the settings of their encounters (newspaper offices, schools) offer glimpses into the social milieu of Seoul's elite in the early 1930s. The mention of specific events like Kim Ch'an's trial and institutions like the Tong'a Ilbo or Chosŏn Ilbo grounds the observations firmly in the colonial context.

**Named Entities**

宋鎭禹	송진우	Song Chin'u
安在鴻	안재홍	An Chaehong
李光洙	이광수	Yi Kwangsu
許憲	허헌	Hŏ Hŏn
朴熙道	박희도	Pak Hŭido
金璟載	김경재	Kim Kyŏngjae
東亞日報	동아일보	Tong'a Ilbo
朝鮮日報	조선일보	Chosŏn Ilbo
仁寺洞	인사동	Insadong
中央幼稚師範	중앙유치사범	Chung'ang Yuch'i Sabŏm (Chung'ang Kindergarten Normal School)
金燦	김찬	Kim Ch'an
關北地方	관북지방	Kwanbuk Chibang (Kwanbuk Region)
太陽光線治療院	태양광선치료원	T'aeyang'gwang Ch'iryowŏn (Solar Ray Therapy Clinic)
金玉蓮	김옥련	Kim Okryŏn

**Glossary**

名士諸氏	명사제씨	Various notable gentlemen
初印象	초인상	First impression
잡저	잡저	Miscellaneous writing
몃	몇	Few; several (older spelling)
하로ㅅ날	하루날	One day (older form/spelling of 하루)
안저서	앉아서	Sitting (older spelling/form of 앉아)
세루	세루	Serge (fabric type, loanword)
하얏고	하얗고	Being white (older spelling of 하얗고)
늣김	느낌	Feeling, impression (older spelling)
업섯다	없었다	Did not exist, was not (older spelling)
갓다	같다	To be like, to seem (older spelling/form)
두루막이	두루마기	Traditional Korean overcoat (older spelling)
버든	뻗은	Stretched, extended (older spelling/form of 뻗은)
껌벅거리는	깜빡거리는	Blinking (older spelling/form)
맥히는	막히는	Getting blocked, choking (older spelling/form)
들사록	들수록	The more one hears/observes (older form of 들수록)
업새버리고	없애버리고	Get rid of, erase (older spelling/form)
조와젓섯다	좋아졌었다	Had become better/liked (older spelling/form)
음증갓다는	음흉하다는	Being sly/crafty (colloquial/older form)
快男兒	쾌남아	Cheerful/spirited man
백혓든	박혔던	Was imprinted/embedded (older spelling/form)
엡부고	예쁘고	Being pretty (older spelling)
늙어젓섯다	늙어졌었다	Had become old (older spelling/form)
눌리워버리고	눌려 버리고	Being pressed down/overwritten (older spelling/form)
좃케웃는	좋게 웃는	Smiling pleasantly (older spelling of 좋게)
우슴	웃음	Laughter, smile (older spelling)
종교가	종교가	Religious person
高僧	고승	High-ranking Buddhist monk
俗世	속세	Secular world
듸려노흔	들여놓은	Having brought in, stepped into (older spelling/form)
가텃다	같았다	Was like (older spelling/form)
녯날	옛날	Old days, past (older spelling)
敎室	교실	Classroom
드러갓드니	들어갔더니	When (I) entered (older spelling/form)
體軀	체구	Build, physique
테-불	테이블	Table (loanword, older transcription)
아페놋코	앞에 놓고	Placing in front (older spelling/form)
끗마추고	끝마치고	Finishing (older spelling/form)
口頭試驗	구두시험	Oral examination
맛첫다고	마쳤다고	(Thinking) it was finished (older spelling/form)
좃켓소	좋겠소	It would be good (older spelling/form, polite)
富大스런	부대스런	Burdensome, awkward (older spelling/form)
얼맛지안케	어울리지 않게	Unbecomingly, inappropriately (older spelling/form, possibly dialectal usage for 'unfitting')
업새바렷섯다	없애버렸었다	Had eliminated/removed (older spelling/form)
알어주지	알아주지	Understanding, recognizing (older spelling/form)
가탯다	같았다	Seemed like (older spelling/form)
조고마한	조그마한	Small, little (older spelling)
유달니	유달리	Unusually, particularly (older spelling)
뵈이고	보이고	Appearing, looking (older spelling/form)
밉쌀스럽고	밉살스럽고	Hateful, disagreeable (older spelling)
위풍	위풍	Dignity, imposing air
인자함	인자함	Kindness, benevolence
흘너나오는	흘러나오는	Flowing out (older spelling/form)
좃치못한	좋지 못한	Not good, unfavorable (older spelling)
잇슬	있을	Will be, might be (older spelling)
만흔	많은	Many, much (older spelling)
人情	인정	Human feeling, compassion
한태	한테	To (a person) (colloquial/older form of 에게/한테)
드러가면서도	들으면서도	While hearing (older spelling/form, context suggests 'hearing' the nickname)
同情者	동정자	Sympathizer
某	모	Certain, some (used before noun)
公判	공판	Public trial
사투리	사투리	Dialect
上京	상경	Going up to the capital (Seoul)
똥똥한	통통한	Plump, chubby (older spelling/form)
히지 못한	희지 못한	Not white, dark-complexioned (older spelling/form)
위엄잇게	위엄있게	Dignifiedly
들니지	들리지	Being heard (older spelling/form)
어듸인지	어디인지	Where it is, somewhere (older spelling)
보혓섯다	보였었다	Seemed, appeared (older spelling/form)
알러고	알려고	Trying to know (older spelling/form)
안엇다	않았다	Did not (older spelling/form)
몃츨	며칠	Several days (older spelling)
일홈몰을	이름 모를	Nameless, whose name is unknown (older form)
마저주엇다	맞아주었다	Greeted, welcomed (older spelling/form)
성함	성함	Name (honorific)
오섯슴니까	오셨습니까	Have you come? (older polite question form)
불거젓섯다	붉어졌다	Became red, flushed (older spelling/form)
틀님업시	틀림없이	Undoubtedly, certainly (older spelling)
顧問格	고문격	In the capacity of an advisor
힌	흰	White (older spelling)
모수두루막	모시두루마기	Ramie fabric turumagi (likely 모시 is meant by 모수)
맥꼬모자	밀짚모자	Straw hat (맥꼬 is likely an older/dialect term for 밀짚)
세네동무	서너 동무	Three or four companions/friends (older spelling/form)
거름거리	걸음걸이	Gait, way of walking (older spelling)
적엇든	작았던	Was small/short (older spelling/form)
진중한	진중한	Serious, solemn, deliberate
점잔은	점잖은	Dignified, gentle, well-behaved (older spelling)
굿은	굳은	Firm, determined (older spelling)
意志	의지	Will, volition
늣겻다	느꼈다	Felt (older spelling)
以下次號	이하차호	Continued in the next issue


---------------------------


잡지명	삼천리 제4권 제12호
발행일	1932년 12월 01일
기사제목	女性이 본 名士諸氏 初印象
기사형태	잡저

女性이 본 名士諸氏 初印象
宋鎭禹 安在鴻 李光洙 許憲 朴熙道 金璟載 諸氏

名士諸氏의 初印象記를 쓰라는 부탁을 밧고 붓은 잡기는 햇스나 내 自身이 名士가 못되고보니 名士를 접촉할 길이 별로 업섯고 간혹 잇섯다고 해야 職務上 관계로 장시간 對面한 분은 더구나 몃 분 안되는 까닭에 그야말노 그때그때 맛나서 잠간잠간 엇은 印象 그대로를 한슬적한슬적 적으려 한다.

宋鎭禹氏
氏의 外形을 보아서 한마듸로 평한다면 넙적하다고 함이 제일 적당할 것 갓다.
氏를 처음 맛나기는 작년 초겨을 추운 하로ㅅ날 東亞日報 社長室에서엿다. 푹신푹신한 안락의자에 넙적하게 안저서 풍채조흔상 시픈 얼골에 우슴띄는 양이 對面人에게 적지안은 유쾌한 感을 주든 것과 검정 세루? 양복입은 것이 보통사람 以上으로 하얏고 좀 부은듯한 얼골과 얼맛지안은 듯한 늣김을 주든 것이 머리에 똑똑히 남어잇다. 或者의 말에 의하면 氏는 퍽으나 倨傲해서 對面하는 사람에게 불쾌한 感을 주기가 예사라고 하드라만은 내가 맛나든 때의 氏에게선 그러한 氣色을 별로 엿볼 수 업섯다.
그 뒤에도 몃시간 맛나서도 어느 때나 똑가튼 처음의 인상 그대로엿다. 엇덧튼 氏는 政客이라고 일홈하지 안을 수 업는 거기에 적당한 氣風을 가젓든 것도 기억에 남어잇다.

安在鴻氏
街路에서 맛낫든 氏는 뚱뚱한 體軀에 조화가 덜 맛는 듯한 적은 머리 그리고 적은 얼골 어느편으로 보든지 그러케 印象이 열버보이지는 안엇섯다.
