잡지명	삼천리 제5권 제4호
발행일	1933년 04월 01일
기사제목	育兒門題와 吾人, 論客은 엇더한 態度를 가질 것인가 (The Problem of Child Rearing and Us, What Attitude Should We Commentators Take?)
필자	車士百
기사형태	논설 (Editorial/Argumentative Essay)

The Problem of Child Rearing and Us, What Attitude Should We Commentators Take?
						Cha Sa-baek
1
I am neither a commentator nor, of course, someone who writes well. I believe this is proven by the fact that you have seldom met me on any lecture platform and that it is very difficult to find my name in the few newspapers or magazines. However, it is not that I have never ascended the podium or taken up the pen on unavoidable occasions or necessary opportunities. This might seem like my own unimpressive self-introduction, but as someone like me, while serving the cause of childcare for Chosŏn children or performing duties for the Chosŏn Childcare Association (朝鮮保育協會), I published a very brief opinion in the *Tonga Ilbo*'s (東亞日報) fifth page, Home Education (家育欄) section, on July 14th last year. To be frank about this, it was certainly not a lecture on childcare theory, nor was it a systematically presented treatise detailing the particulars of childcare theory. In other words, it was not an academic (學的) discourse. Anyone who read that short piece with sincerity would have understood it themselves. It probably felt like a light promotional text. It was merely a few words hastily written and sent while busy with educational affairs, resulting from discussions with the *Tonga Ilbo* during the Chosŏn Childcare Association's first endeavor, the hosting of the 1st Summer Rhythmic Movement and Play Workshop (夏期 律運遊戱 講習會). It was agreed by them (彼等) that having some sort of introductory promotional text would be better than simply listing<103> the items like an advertisement. Furthermore, because it was written messily and mixed with Chinese characters (한문), it was kindly revised into pure Hangul by a *Tonga Ilbo* reporter for convenience, resulting in some typographical errors (誤字). Thus, things different from the author's original intent were published as they were. Saying this might sound like making tedious excuses or shifting responsibility, but it is merely a frank presentation of the facts as they transpired. However, among those who read this, Mr. Ch'oe Chin-sun (崔瑨涥 先生), who is engaged in the same work—childcare, more clearly holding the position (職) of a childcare school principal—possessed sincerity, excessive concern, and hypersensitive suspicion. It was unimaginable, something I hadn't dreamed of, that someone in the same field, moreover with the status of a so-called principal, would display an attitude that cannot be seen as appropriate, using phrases close to vulgarity, like sarcastic common speech used to nitpick. Let's assume, for argument's sake, that there was a theoretical error in childcare. Or let's say there were points of doubt. If so, as people engaged in the same enterprise, especially as members of the same Childcare Association, without saying a single word to the counterpart involved, to abruptly and incoherently publish in print, under the pretext of unifying theory or settling accounts (淸算), employing unjust and improper reasoning (論法) with an attitude resembling refutation (論駁)—his inner feelings become incomprehensible. I had intended to disregard it as unworthy of attention (不足介意하려고) and maintained silence until now. However, the reason I can no longer remain silent and take up the pen is due to the encouragement of several friends, their indignant urging asking why I haven't responded, and because he himself proposed to settle accounts and asked questions. Responding seems to be the way to treat Mr. Ch'oe (氏) respectfully, and thereby, I feel I can escape the awkwardness (未安 中) of being just the same kind of person. Thus, I take up this pen.

2
In the August issue of *Sinnyŏsŏng* (新女性), Mr. Ch'oe said, firstly, "Mr. Cha (referring to me) loudly proclaimed (高唱하엿다) that the significance of kindergarten education lies in supplementing the defects of home education." Then he added, "Mr. Cha listed five defects of home education, which seems to be a direct translation (譯하여) from pages 6-7 of the book 'Kindergarten Theory and Practice' (유치원의 이론과 실제) written (著) by Mr. Morikawa Masao (森川正雄氏)." He also stated, "Since the significance of kindergarten education beyond the home was not sufficiently explained, the explanation of the significance of kindergarten education is insufficient," and therefore, "there is a concern that the true meaning (眞意) of kindergarten education might be disregarded (沒却) or misunderstood." I do not intend to answer each point in detail, but I will say a few words generally.
1. I think this way. For example, everyone knows well that a year has spring, summer, autumn, and winter. However, not only do the four seasons (四季) have their characteristics, but each season (各季) performs its distinct function (職能). Similarly, if it is a fact that kindergarten education supplements the defects of home education,<104> then at certain times and in certain places, there will be a need to emphasize (力說), proclaim loudly (高唱), or detail (細說) this aspect more than the significance of kindergarten education beyond the home. How could doing so constitute a theoretical error in childcare or cause disunity (不統一)? However, considering the proportion of my short article, I consider it a sufficient explanation of the significance of home and kindergarten education. For Mr. Ch'oe to judge sufficiency or insufficiency based on his own standards is an overly arrogant attitude, seeing no one beneath his eyes (眼下無人), centered on his subjective view (主視中心的). And as an additional remark, I am convinced that in our current reality (現今 우리의 현실), there is a need to loudly proclaim the supplementation of home education defects.
Furthermore, isn't it true that creation (창작) is not so easy (容易치 못한) for anyone? Even learning through study (學而知之) is common, so what's wrong with having translated? Strangely making comments like 'it was taken directly from page X of someone's book' seems like something only someone seeking to slander (힐난하려고) others would do, hardly an issue otherwise.
2. If, in explaining the significance of kindergarten education, one aspect is sufficient and another insufficient, it seems unlikely that the insufficiency would lead to the disregard (沒却) or misunderstanding of the main intent. Of course, one might not escape responsibility for imperfection, inadequacy, insufficiency, etc., but disregard or misunderstanding—that would be like saying 'my horn broke because of your fence.'
Next, secondly, Mr. Ch'oe stated that "I (the author) said, 'The kindergarten period, from age three to six, is a time necessary for the body to grow. Therefore, the essence of childcare is to prioritize physical health, leaving matters of emotion or knowledge for later.'" Regarding this, he expressed doubts and grounds for criticism, then stated, as if making some new discovery (新發見), that the period between ages 3-6 is when humans develop most rapidly in the natural process of growth and development. Of course, if my words were "a time necessary (필요) for the body to grow," I myself am perplexed (몽농함니다) as to how that came about. The word 'necessary' is not appropriate there; if it was recorded that way, please understand it wasn't my original intent, though I will take responsibility even if it was a typo (誤字). However, the subsequent harsh remarks (폭언) such as asking if kindergarten-age children are treated by separating mind and body (심신을 분리하야), or that this is an old story (녯날 이야기), or that it can be guessed even with common sense (상식으로도)—I myself do not pay much mind (介意하지 아니함니다) to them. Because, as Mr. Ch'oe says, separating mind and body is absolutely unreasonable, but even looking at theory, just as when consuming the same nutrients, there are distinctions like drinking water and eating rice, or eating sour fruits (果實) before meals (食前으로) and sweet fruits after meals (食後로), there can be sequences difficult to distinguish even when simultaneous. Since I was speaking of sequence, what is the issue? Moreover, the point (論旨) of my argument was to attack and guide away from (排擊敎導하자는) practices currently happening in kindergartens (現 유치원)—for instance, forcing the teaching of reading Hangul like 'ka-gya-geo-gyeo' (가갸거겨), typical of school-age knowledge education (지식교육).<105> Therefore, it shouldn't be such a cause for concern or criticism. Comments like 'Conversation, drawing, singing, etc., are also intellectual education (智的敎育), so what should be done?' seem like an attitude that personally insults my character. I believe one should be deeply careful with words. And thirdly, regarding childcare matters (보육사항), merely listing childcare items is something known not just by those engaged in kindergarten childcare, but even by the children who are brought to kindergarten daily. For so-called childcare professionals to exchange questions or doubts about such things seems mutually inauspicious.
The third point might also seem laughable (가소롭게). However, the term 'manual work' (手工) among the items was definitely a misprint (誤植) for 'manual skill' (手技), so there's no need for lengthy discussion. I will respond regarding the separation of rhythmic movement (율동) and play (유희) into separate items (別項). Setting aside how someone in the past (녯날) might have done it, while they could be included in the same category, separating them aims to elevate the value of rhythmic movement itself, rather than treating it merely as play where children might just tumble down (쓰러 눗는 것 보다), to promote research into it, and because in our reality, rhythmic movement is far more misunderstood (沒理解되어) and looked down upon (천시하는) than play, to sweep away (一掃시키려) that atmosphere, etc.

3

Having provided some answers (若干한 답변) above, now, as indicated in the title, why do commentators (論客) or writers speak or write? It surely isn't to refute (論駁) or mock (嘲弄하려는) someone. The true intention (本意) is to sincerely (眞誠것) convey one's beliefs (소신) and thoughts (所思) to others, aiming for the overall improvement of humanity, building a better society, and enjoying the highest happiness. Why then, just because someone's opinion differs from one's own, or because one hasn't yet formed a complete view, would one utter harsh words and write recklessly (暴言荒筆) without hesitation? It is deeply regrettable (민망한).
One should be honest (정직하고), kind (친절하며), and cooperative (협동하여야 할 것이며), treating others as persons (人格 對하며) and respecting them. October 6th. <106>

**Summary**

Cha Sa-baek defends his earlier brief newspaper piece on childcare against criticisms made by Ch'oe Chin-sun, a fellow childcare professional, in the magazine *Sinnyŏsŏng*. Cha clarifies that his original article was promotional, not academic, and addresses Ch'oe's accusations point-by-point: justifying his emphasis on kindergarten supplementing home education, dismissing the criticism about potentially translating from a Japanese source (Morikawa Masao), defending his view on prioritizing physical development in early childhood (while clarifying a potential misprint), and explaining his rationale for separating 'rhythmic movement' and 'play' as distinct childcare activities. He concludes by lamenting the aggressive and disrespectful tone of Ch'oe's critique, advocating for honesty, kindness, cooperation, and respect among intellectuals and writers engaged in public discourse.

From a historical perspective, this article reveals the nascent stage of professional discourse on modern early childhood education (kindergartens) in colonial Korea. The debate between Cha and Ch'oe highlights disagreements on pedagogical theory (e.g., the role of kindergarten vs. home, the balance between physical and intellectual development) and the influence of Japanese educational models (mention of Morikawa Masao). The charged, personal tone of the disagreement also reflects the intensity of intellectual debates and perhaps personal rivalries within the small circle of Korean educators and intellectuals under colonial rule. The discussion about avoiding premature academic instruction ('ka-gya-geo-gyeo') points to concerns about developmentally appropriate practices.

**Named Entities**

車士百	차사백	Cha Sa-baek
朝鮮	조선	Chosŏn
朝鮮保育協會	조선보육협회	Chosŏn Childcare Association
東亞日報	동아일보	Tonga Ilbo
崔瑨涥 先生	최진순 선생	Mr. Ch'oe Chin-sun
森川正雄氏	모리가와 마사오 씨	Mr. Morikawa Masao
新女性	신여성	Sinnyŏsŏng (New Woman [magazine])

**Glossary**

育兒門題	육아문제	Child Rearing Problem
吾人	오인	We/Us (formal, slightly archaic)
論客	논객	Commentator, polemicist
엇더한	어떠한	What kind of (older spelling)
암니다	압니다	know (older polite ending form)
맛나신	만나신	met (older spelling)
업스신	없으신	do not have (honorific, older spelling)
몃	몇	a few, several (older spelling)
갓지마는	같지마는	although it seems like (older spelling)
兒只	아지	Child (archaic term, likely dialectal or specific usage here; modern is 아이)
위하야	위하여	for the sake of (older spelling)
가저오는	가져오는	bringing, having (older spelling)
잇섯슴니다	있었습니다	there was (older polite past tense form)
아니엇던 것이올시다	아니었던 것이올시다	it was not (older polite past tense form)
學的	학적	Academic
짤분	짧은	short (older spelling)
스사로	스스로	oneself (older spelling)
알아젓슬	알아졌을	would have been known/understood (older spelling)
가비여운	가벼운	light (older spelling)
늣기어 젓슬	느끼어졌을	would have been felt (older spelling)
첫 일노	첫 일로	as the first task/work (older spelling)
夏期 律運遊戱 講習會	하기 율동유희 강습회	Summer Rhythmic Movement and Play Workshop
교섭하는 중	교섭하는 중	in the midst of negotiating
彼等	피등	They/Them (formal, literary)
몃 마듸	몇 마디	a few words (older spelling)
석거서	섞어서	mixing (older spelling)
동아기자의	동아 기자의	of the Tonga [Ilbo] reporter
고치어	고치어	correcting, revising (older spelling form)
誤字	오자	Typographical error
區區히	구구히	Tediously, pointlessly, in detail (often implies fussiness)
것과 갓고	것과 같고	like (older spelling)
전가시키는	전가시키는	shifting (blame/responsibility)
가운대에	가운데에	among (older spelling)
보육학교장의 職	보육학교장의 직	Position/Job of a childcare school principal
者로써	자로서	as a person who... (older spelling)
업는	없는	non-existent, without (older spelling)
까자를 올니는 것과 갓흔	까자를 올리는 것과 같은	like nitpicking/finding fault (idiomatic, older spelling)
文句	문구	Phrase, wording
진정으로	진정으로	Sincerely, truly
가정합시다	가정합시다	let's assume
그러타면	그렇다면	if so (older spelling)
無頭無尾하게	무두무미하게	Abruptly, without beginning or end
紙上에	지상에	In print, on paper
미명아래서	미명 아래서	under the pretext of
올곳지 아니한	올곧지 아니한	not upright, improper (older spelling)
論法	논법	Method of argument, reasoning
論駁	논박	Refutation, rebuttal
不足介意하려고	부족개의하려고	Intending to disregard as unworthy of attention
웨	왜	why (older spelling)
催促	최촉	Urging, pressing
여하간	여하간	anyway, anyhow
뭇는다고	묻는다고	(he) asks (older spelling)
햇스매	했으매	because (he) did (older grammatical ending)
氏를	씨를	Mr./Ms. (referring to Ch'oe)
똑갓흔	똑같은	exactly the same (older spelling)
未安 中	미안 중	In awkwardness/embarrassment
버서날 것 갓헤서	벗어날 것 같아서	because it seems I can escape (older spelling)
첫재로	첫째로	firstly (older spelling)
高唱하엿다	고창하였다	proclaimed loudly (older spelling/form)
著	저	Written by
譯하여	역하여	translating (older spelling form)
갓슴니다	같습니다	it seems (older polite ending form)
그다지	그다지	so much, to that extent
충분이	충분히	sufficiently (older spelling)
眞意	진의	True meaning, real intention
沒却	몰각	Disregard, ignore
하엿슴니다	하였습니다	did (older polite ending form)
일일이	일일이	one by one, individually
대체로	대체로	generally, on the whole
몃 마듸씩만	몇 마디씩만	just a few words each (older spelling)
四季	사계	Four seasons
各季	각계	Each season
職能	직능	Function, role
力說	역설	Emphasize
細說	세설	Detail, explain finely
不統一	불통일	Disunity, lack of uniformity
비례로	비례로	In proportion to
自認하는	자인하는	admitting, acknowledging
主視中心的	주관중심적	Subjective-centered (likely means subjective/egocentric)
군더뎅이 말노	군더더기 말로	As an unnecessary remark, superfluously (older spelling)
現今	현금	The present time, nowadays
현실로는	현실로는	In reality
확신함니다	확신합니다	am convinced (older polite ending form)
창작	창작	Creation, original work
容易치 못한	용이치 못한	not easy (older form)
學而知之	학이지지	Learning through study (Confucian phrase)
번역을 하엿스면	번역을 하였으면	if one translated (older spelling)
어떠하단 말삼이오	어떠하단 말씀이오	what is wrong with that? (older form)
힐난하려고	힐난하려고	intending to slander/criticize
별노	별로	particularly, especially (older spelling)
업서도 조흘 것 갓슴니다	없어도 좋을 것 같습니다	it seems it would be fine even without it (older spelling/form)
미흡	미흡	Inadequate, insufficient
책임을 면할 수 잇슬는지 모르거니와	책임을 면할 수 있을는지 모르거니와	although one might be able to avoid responsibility (older spelling)
갓헤서	같아서	like, as (older spelling)
둘재	둘째	secondly (older spelling)
나종으로	나중으로	for later (older spelling)
요지임니다	요지입니다	is the main point/gist (older polite ending form)
의문이 잇고	의문이 있고	there are doubts and... (older spelling)
발달과정	발달과정	Developmental process
마니	많이	much, many (older spelling)
속히	속히	Quickly
발육하는	발육하는	developing, growing (physically)
新發見	신발견	New discovery
가티	같이	like, as (older spelling)
몽농함니다	몽롱합니다	am perplexed, confused (older polite ending form)
긔재되엿다면	기재되었다면	if it was recorded (older spelling)
책임은 내가 질 것이올시다	책임은 내가 질 것이올시다	I will take responsibility (older polite form)
심신을 분리하야	심신을 분리하여	separating mind and body (older spelling)
녯날	옛날	Old days, past (older spelling)
상식으로도	상식으로도	even with common sense
폭언은	폭언은	Harsh remarks are...
介意하지 아니함니다	개의하지 아니합니다	do not mind, pay no attention (older polite form)
영양	영양	Nutrition
섭취하는	섭취하는	consuming, taking in
果實	과실	Fruit
食前으로	식전으로	Before meals
食後로	식후로	After meals
분간키 어려운	분간키 어려운	difficult to distinguish
순차	순차	Sequence, order
論旨	논지	Point of argument, thesis
現 유치원	현 유치원	Current kindergarten
지식교육	지식교육	Knowledge education
例를 둘면	예를 들면	for example (older spelling)
가갸거겨	가갸거겨	Basic Hangul syllables (representing learning to read)
언문	언문	Hangul (older, sometimes slightly derogatory term)
敢行하게	감행하게	daringly carrying out, forcing
排擊敎導하자는	배격교도하자는	aiming to attack and guide away from (older spelling)
깁히	깊이	deeply (older spelling)
삼가	삼가	carefully, cautiously
셋재로	셋째로	thirdly (older spelling)
보육사항	보육사항	Childcare matters/items
나열하는 것쯤이야	나열하는 것쯤이야	merely listing...
아희 데불고	아이 데리고	bringing a child (older spelling/form)
아희들이라도	아이들이라도	even children (older spelling)
질문이니	질문이니	questions and such
상서롭지 아니한	상서롭지 아니한	inauspicious, unlucky
가소롭게	가소롭게	Laughably, ridiculously
항목 중	항목 중	among the items
手工	수공	Manual work, handicraft
手技	수기	Manual skill, dexterity
誤植	오식	Misprint, typographical error
別項으로	별항으로	As a separate item/clause
늘 수 잇스되	넣을 수 있으되	can be included but... (older spelling)
쓰러 눗는 것 보다	쓰러 눕는 것 보다	rather than falling/tumbling down (older spelling)
향상시키는	향상시키는	improving, elevating
촉진하려는	촉진하려는	intending to promote/accelerate
沒理解되어	몰이해되어	being misunderstood
천시하는	천시하는	looking down on, despising
공기로 一掃시키려	공기로 일소시키려	intending to sweep away the atmosphere
기인한 것이올시다	기인한 것이올시다	it originates from (older polite form)
若干한	약간한	Some, a little (older form)
嘲弄하려는	조롱하려는	intending to mock/ridicule
소신	소신	Belief, conviction
所思	소사	Thoughts, ideas (literary)
眞誠것	진정것	Sincerely (likely older form/typo for 진정껏)
도모하려는	도모하려는	intending to plan/aim for
건설하며	건설하며	building, constructing
누리랴는	누리려는	intending to enjoy
엇지하야	어찌하여	why, how come (older spelling)
暴言荒筆	폭언황필	Harsh words and reckless writing
거리낌 업시	거리낌 없이	without hesitation/reserve (older spelling)
내여 노을가	내어 놓을까	should one put forth/utter (older spelling)
민망한	민망한	Regrettable, embarrassing, pitiful
무릇	무릇	Generally speaking, indeed
친절하며	친절하며	being kind
협동하여야	협동하여야	must cooperate
人格 對하며	인격 대하며	treating as a person


---------------------------


잡지명	삼천리 제5권 제4호
발행일	1933년 04월 01일
기사제목	育兒門題와 吾人, 論客은 엇더한 態度를 가질 것인가
필자	車士百
기사형태	논설

育兒門題와 吾人, 論客은 엇더한 態度를 가질 것인가
						車士百
1
