**Header Section**
Magazine Title: 삼천리 제5권 제9호
Publication Date: 1933년 09월 01일
Article Title: 文人의 出世作 (A Writer's Debut Work)
Article Type: 회고·수기 (Reminiscence/Memoir)

**Body Text Translation**
A Writer's Debut Work

Ch'unwŏn's Mujŏng
Ch'unwŏn's debut work was "Mujŏng" (無情 - Heartlessness). It was serialized in the Maeilsinbo (每日申報) for over a year and a half, and at that time, people called this novel the "hayŏtta" (did) novel.
The reason was how many sentences ended with the word "hayŏtta"; perhaps two or three "hayŏtta"s were inevitably included in a single line. It received the welcome of the generation, and naturally, Ch'unwŏn received 3 Wŏn per month as manuscript fees from the newspaper company, which he used to supplement his school expenses.
After that, Ch'oe Yuktang's Sinmungwan (新聞館) published it as a standalone book, and it is said that it has gone through six editions to this day, with total sales exceeding 20,000 copies. Calculating based on the list price of 1 Wŏn 80 Chŏn per book, it showed sales amounting to 36,000 Wŏn, truly a man's satisfying achievement.

Sangsŏp's The Frog in the Specimen Room
Sangsŏp took his first step as a master of the Naturalist school by presenting "The Frog in the Specimen Room" (標本室의 개고리). The literary scene of the time, soaked in sentimentality and humanism, was truly startled ("hiyariyo" ひやリよ - gave a chill) by its ice-cold description and sharp observation <14> - a writing style resembling a biologist dissecting a dead frog placed on a specimen stand.
He subsequently published "Manse Chŏn" (萬歲前 - Before the Hurrahs). Judging by the title, it seems like an agitational novel heightening political consciousness, but even here, Mr. [Yŏm] silently held his scalpel, dissected, and thus did not abandon the attitude of analyzing and examining a "natural object" in terms of how many grams of fluid, how many grams of blood.
Perhaps if Ch'unwŏn or another writer had handled this title "Manse Chŏn," it might have become a work like Schiller's "Wilhelm Tell," but Sangsŏp's path was entirely different.
"The Frog in the Specimen Room"! This work still remains in the memory of many people.

Sŏhae's Escape Log
The late Sŏhae's debut work, published in the Chosŏn literary world (朝鮮文壇), was "Escape Log" (脫出記). Ch'unwŏn was the one who first discovered the value of "Escape Log" and strongly recommended him to the literary world.
It can be said that a writer who is not paired with a renowned critic <15> is insignificant. In this respect, Sŏhae was fortunate; in the first half of his decade in the literary world, there was Ch'unwŏn, and in the latter half, there was P'albong.

Im Hwa's Big Brother and the Brazier
Mr. Im Hwa established his foundation as a proletarian poet by publishing the single work "Big Brother and the Brazier" (옵바와 火爐), perhaps in the literary magazine "Chosŏn Munye" (朝鮮文藝). The one who discovered the true value of this poem was the renowned critic of the time, Mr. Kim Kijin.
"Big Brother and the Brazier" first astonished the poetry scene at the time with the novelty of its poetic form, and secondly, it gained the support of critics for the progressive attitude of its poetic thought.
Although he later wrote many tendency poems similar to "Big Brother and the Brazier," such as "The Yokohama Bride" (요꼬하마의 색시) and others, it is the established opinion that none followed his debut work "Big Brother and the Brazier."

Sowŏl's Golden Grass
Sowŏl's debut work was the folk song "Golden Grass" (금잔듸), written in a tender and soft tone starting with "Grass, grass, golden grass..." (잔듸 잔듸 금잔듸...). - At that time, this work was published in Kaebyŏk (開闢).
In any case, this folk song was very beautiful and lovely. At that time, many young people whistled along, singing "Golden Grass." <16> And it was often cited in literary criticism.
It has been many years since Sowŏl put down the pen of that beautiful folk song. Voices expressing regret are heard here and there (處處).

Hoewŏl's Mountain Sheepdog
Mr. Pak Yŏnghŭi is more renowned as a critic than as a writer. However, his taking up the critic's pen was something of the latter half [of his career]; before that, there was a time when he exclusively held the brush for creative writing.
Initially starting with Baudelaire-type sorrowful love poetry, he entered fiction, and when the French "Pascual" literary thought (佛蘭西의 「파스큐라」문예사상 - likely referring to Paskyula, a term associated with KAPF/proletarian literature, possibly influenced by Russian literary movements like RAPP rather than directly French, or perhaps a specific group/journal name like *PASCULA* (Proletarian Arts Study Group) which was active in the 1920s) entered Korea, Mr. [Pak] transformed and leaped forward into the proletarian literary movement. The representative work and debut work from that time was this "Mountain Sheepdog" (산양개).
A raw writing style that seems to leave the subject matter as it is, a composition with bold lines; although there was much controversy (物論) at the time, there is no doubt that it became Mr. [Pak]'s debut work.

Maeterlinck's Princess Maleine
We will continue with Korean works in the next issue, and now we will talk about the stories of how Western literary giants produced their debut works.
The first debut work of Belgium's (白耳義) Maeterlinck, the author of the famous play "The Blue Bird" (파랑새), was the play "Princess Maleine" (마레-누姬). At the time this work came out, Naturalism was sweeping all over Europe (全歐羅巴), so such a mystical and idealistic (唯心的) work could not easily be understood. <17> When the literary world (文壇) tried to ridicule Maeterlinck, he received the support of a famous critic named "Rilbo-" (릴보-) and later came to produce even "The Blue Bird."

Maupassant's Ball of Fat
The debut work of France's (佛蘭西) Maupassant, whose name is well-known even in the Korean literary world (朝鮮文壇) for works like "A Woman's Life" (女子의 一生), was the short story "Ball of Fat" (곱덩어리) (1880). Until that time, Maupassant, whether awake or asleep, wrote poetry. That poetry, too, in the typical Maupassant style, was so explicit that much of it could fall under disturbance of public morals (風俗壤亂). Therefore, his poetry was not welcomed. Then, under the strict mentorship (薰陶) of Flaubert (후로-벨), he finally emerged and debuted brilliantly in the literary world like the sun.

Hauptmann's Catiline
The famous Hauptmann, author of "Before Sunrise" (해뜨기 前), spent his days as a literary youth working as a pharmacy assistant (藥局生) in a small town in Norway (노-ㄹ웨이), initially writing poetry. After being a lyric poet singing of flowers and stars, he received a great social impulse, took up his pen, and wrote the play "Catiline" (카데리이나) (a work featuring a rebel from the late Roman Republic as the protagonist). He wrote it, but no one paid attention to an unknown playwright, so even amidst his poverty, he self-published it.
Thus, the circumstances when each literary giant produced their debut work were often miserable. <18>

**Summary**

This 1933 article reminisces about the debut works ("출세작") of several prominent Korean and Western writers. It highlights Yi Kwangsu's (Ch'unwŏn) "Mujŏng," Yŏm Sangsŏp's (Sangsŏp) "The Frog in the Specimen Room," Ch'oe Sŏhae's (Sŏhae) "Escape Log," Im Hwa's "Big Brother and the Brazier," Kim Sowŏl's (Sowŏl) "Golden Grass," and Pak Yŏnghŭi's (Hoewŏl) "Mountain Sheepdog." The article emphasizes the often-crucial role of critics like Ch'unwŏn, Kim Kijin (P'albong), and the unnamed "Rilbo-" (for Maeterlinck) in recognizing and promoting these works. It also briefly touches upon the Western authors Maeterlinck, Maupassant, and Hauptmann, noting their initial struggles and the nature of their breakthrough pieces. From a historical perspective, the article offers a valuable snapshot of the Korean literary scene in the early 1930s, revealing contemporary perceptions of major writers, the perceived importance of critical endorsement for success, the ongoing influence of Japanese terms (like "hiyariyo"), and the mixture of nationalist, naturalist, proletarian, and lyric trends. The inclusion of Western authors reflects the engagement with international literature during the colonial period.

**Named Entities**

春園	춘원	Ch'unwŏn
無情	무정	Mujŏng
每日申報	매일신보	Maeilsinbo
崔六堂	최육당	Ch'oe Yuktang
新聞館	신문관	Sinmungwan
想涉	상섭	Sangsŏp
標本室의 개고리	표본실의 개고리	P'yobonsil ŭi Kaegori
萬歲前	만세전	Manse Chŏn
씰렐	실러	Schiller (transliterated)
윌리암, 텔	윌리엄 텔	Wilhelm Tell (transliterated)
曙海	서해	Sŏhae
朝鮮文壇	조선문단	Chosŏn Mundan
脫出記	탈출기	T'alch'ulgi
八峰	팔봉	P'albong
林和	임화	Im Hwa
朝鮮文藝	조선문예	Chosŏn Munye
옵바와 火爐	옵바와 화로	Oppa wa Hwaro
金基鎭	김기진	Kim Kijin
요꼬하마의 색시	요코하마의 색시	Yokkohoma ŭi Saeksi
素月	소월	Sowŏl
금잔듸	금잔디	Kŭmjandi
開闢	개벽	Kaebyŏk
懷月	회월	Hoewŏl
朴英熙	박영희	Pak Yŏnghŭi
뽀-드렐	보들레르	Baudelaire (transliterated)
佛蘭西	불란서	Pullansŏ (France)
파스큐라	파스큘라	P'asŭk'yulla (PASKYULA - Proletarian Arts Study Group / related term)
산양개	산양개	Sanyanggae
메-텔링	메테를링크	Maeterlinck (transliterated)
白耳義	벨기에	Belgium (transliterated from Kanji rendering)
파랑새	파랑새	P'arangsae
마레-누姬	마레누 공주	Princess Maleine (transliterated)
歐羅巴	유럽	Europe (transliterated from Kanji rendering)
릴보-	릴보	Rilbo- (Likely referring to Octave Mirbeau, but transliterated as Rilbo)
모-팟상	모па상	Maupassant (transliterated)
女子의 一生	여자의 일생	Yŏja ŭi Ilsaeng
곱덩어리	곱덩어리	Koptŏngŏri (Boule de Suif)
후로-벨	플로베르	Flaubert (transliterated)
합트맨	하웁트만	Hauptmann (transliterated)
해뜨기 前	해뜨기 전	Haettŭgi Chŏn (Before Sunrise)
노-ㄹ웨이	노르웨이	Norway (transliterated)
카데리이나	카틸리나	Catiline (transliterated)
로-마	로마	Rome (transliterated)

**Glossary**

出世作	출세작	Debut work; breakthrough work that brought fame
無情	무정	Heartlessness; name of Yi Kwangsu's novel
連載	연재	Serialization (in a newspaper/magazine)
하엿다	하였다	Did; Older spelling/form of 하였다 (hayŏtta)
쎈텐스	센텐스	Sentence (loanword)
밧어서	받아서	Receiving; Older spelling of 받아서 (padasŏ)
學資	학자	School expenses; tuition
되엿슴	되었음	Became; It is that...; Older spelling of 되었음 (toeŏssŭm)
단행본	단행본	Standalone book; monograph
版	판	Edition (printing)
부수	부수	Number of copies
넘엇다하니	넘었다 하니	It is said it exceeded; Older spelling of 넘었다 하니 (nŏmŏtta hani)
정가	정가	List price; fixed price
販賣高	판매고	Sales figures; sales amount
보인세음써	보인 셈이어서	Being seen as; amounting to; Older spelling/form of 보인 셈이어서 (poin semiyŏsŏ)
快事業	쾌사업	A satisfying/gratifying undertaking or achievement
標本室	표본실	Specimen room
개고리	개구리	Frog; Older spelling of 개구리 (kaeguri)
自然主義派	자연주의파	Naturalist school/faction
첫거름	첫걸음	First step; Older spelling of 첫걸음 (chŏtkŏrŭm)
옴겻다	옮겼다	Moved; transferred; Older spelling of 옮겼다 (omgyŏtta)
차듸찬	차디찬	Ice-cold; Very cold; Older spelling of 차디찬 (chadichan)
묘사	묘사	Description; depiction
예리한	예리한	Sharp; keen
筆觸	필촉	Writing style; touch (of the pen)
감상	감상	Sentimentality; emotion
인도주의	인도주의	Humanism
저저오든	젖어오던	Being soaked in; steeped in; Older spelling of 젖어오던 (chŏjŏodŏn)
문단	문단	The literary world; literary circles
ひやリよ	(no Hangul)	Japanese expression: giving a chill, startling (hyari yo)
萬歲前	만세전	Before the Hurrahs (referring to the March 1st Movement); name of Yŏm Sangsŏp's novel
아지小說	아지소설	Agitation novel; propaganda novel (from 아지테이션 - agitation)
멧	몇	How many; Older spelling of 몇 (myŏt)
구람	그램	Gram (loanword)
안엇다	않았다	Did not; Older spelling of 않았다 (anatda)
하엿더라면	하였더라면	If (someone) had done; Older spelling of 하였더라면 (hayŏt tŏramyŏn)
되엿슬	되었을	Would have become; Older spelling of 되었을 (toeŏssŭl)
달럿다	달랐다	Was different; Older spelling of 달랐다 (tallatta)
남어잇는	남아있는	Remaining; Older spelling of 남아있는 (namaittnŭn)
脫出記	탈출기	Escape Log/Record; name of Ch'oe Sŏhae's work
되엿다	되었다	Became; Older spelling of 되었다 (toeŏtta)
極力推獎	극력추장	Strong recommendation; strong praise
잇섯다	있었다	There was/were; existed; Older spelling of 있었다 (issŏtta)
名評論家	명평론가	Renowned critic
불과하다	불과하다	To be insignificant; merely
푸로레타리아	프롤레타리아	Proletariat; Proletarian (loanword)
지반	지반	Foundation; base
詩形	시형	Poetic form
참신한	참신한	Novel; fresh; original
첫재	첫째	Firstly; first
경이	경이	Astonishment; wonder
삿고	샀고	Bought; gained; Older spelling of 샀고 (satko)
詩想	시상	Poetic thought; poetic inspiration
진취적	진취적	Progressive; enterprising
업섯다	없었다	There was not; did not exist; Older spelling of 없었다 (ŏpsŏtta)
定評	정평	Established opinion; accepted view
잔듸	잔디	Grass; turf; Older spelling of 잔디 (chandi)
연연하고	연연하고	Tender; affectionate; lingering
調	조	Tone; melody
민요	민요	Folk song
佳麗하엿다	가려하였다	Was beautiful and lovely; Older spelling/form (佳麗하다 - beautiful)
휘파람	휘파람	Whistle
불넛다	불렀다	Sang; called; Older spelling of 불렀다 (pullŏtta)
引例	인례	Citation; quotation; example
씨엿다	쓰였다	Was used; was written; Older spelling of 쓰였다 (ssŭyŏtta)
애석하여하는	애석해하는	Regretting; feeling sorry for
處處	처처	Here and there; everywhere
들닌다	들린다	Is heard; Older spelling of 들린다 (tŭllinda)
놉다	높다	Is high; is renowned; Older spelling of 높다 (nopta)
그러치만	그렇지만	However; but; Older spelling of 그렇지만 (kŭrŏch'iman)
評筆	평필	Critic's pen; critical writing
哀想的	애상적	Sorrowful; mournful; plaintive
轉身하여	전신하여	Transforming oneself; changing direction
躍進하엿다	약진하였다	Leaped forward; made rapid progress; Older spelling of 약진하였다 (yakchinhayŏtta)
소재	소재	Material; subject matter
生硬한	생경한	Raw; stiff; unpolished
굵은	굵은	Bold; thick
구상	구상	Composition; conception; plan
物論	물론	Controversy; public criticism (older usage, now usually 물의)
틀님	틀림	Mistake; error; being wrong (used here as 'no mistake' = undoubtedly)
唯心的	유심적	Idealistic; spiritual; subjective (as opposed to materialistic)
밧엇슬	받았을	Would have received; Older spelling of 받았을 (padassŭl)
