Magazine Title	삼천리 제5권 제9호
Publication Date	1933년 09월 01일
Article Title	처음 서울 오든 때 (The First Time I Came to Seoul)
Author	崔麟 (Ch'oe Rin), 呂運亨 (Yŏ Unhyŏng), 韓龍雲 (Han Yongun)
Article Type	회고·수기 (Memoir/Recollection)

The First Time I Came to Seoul
During the Hwalbindang Incident
Ch'oe Rin

I left my hometown Hamhŭng hoping for Seoul in the year Ŭlmi (1895). The year Ŭlmi was when Queen Min passed away, and Joseon began to awaken from its four-thousand-year slumber, with all political systems and cultural institutions starting on the path of transformation. Particularly, the topknot-cutting decree (斷髮令 - Tanballyŏng) was issued to the populace, causing tremendous turmoil.
The year I left home, I was eighteen. Until then, I had stayed put in a village school (私塾 - sasuk), studying the Analects, Mencius, and other Four Books and Three Classics (四書三經 - Sasŏ Samgyŏng). However, no matter how much I thought about it, it seemed unlikely that statesmanship (經國의 經綸 - kyŏngguk ŭi kyŏngnyun) would ever arise from those studies, even if I pursued them for a hundred years. So, one morning, I resolutely threw down my books and came up to the Hanyang (漢陽 - old name for Seoul) I had longed for.
However, once I actually arrived, I found no stage or foundation prepared for me. I couldn't start anything and just watched the changing winds of the world. I spent five or six years going back and forth between Seoul and Hamhŭng like this. At that time, rather than having found my purpose, I was more like a frustrated man, down on his luck and unfortunate (落魄不遇 - nakp'ak puru), rolling around in darkness (闇).

Then, the Hwalbindang (活貧黨) Incident burst onto the Seoul scene like a bolt from the blue. The Hwalbindang was a secret society that advocated slogans such as:
1. Abolition of social hierarchy (貴賤打破 - Kwich'ŏn t'ap'a)
2. Political reform of the Conservative Party (守舊黨 - Sugudang)
3. Equalization of wealth (貧富均衡 - Pinbu kyunhyŏng)
And intended to use radical actions as its means. Simultaneously with the discovery of the Hwalbindang Incident, the Ilsimhoe (一心會) Incident also popped up. The Ilsimhoe was centered around students studying abroad in Tokyo, particularly those attending the Military Academy (士官學校 - Sagwan hakkyo), and encompassed discontented individuals from all fronts. Its aim was the overthrow (顚伏 - chŏnbok) of the cabinet at the time. In other words, it was a conspiracy group plotting to instantly overturn the conservative cabinet of that era.
Political upheavals back then usually involved several thousand people forming mobs, storming the palace (宮中 - Kungjung) with a great roar like a huge wave in an instant, and killing a few high officials (高官大爵 - Kogwan taejak). Then, political power would naturally fall into their hands.
Therefore, to initiate such a movement, <90> military force made success easier. Coincidentally, instructors at Joseon's military training schools (武官學校 - Mugwan hakkyo) were mostly graduates of the Japanese Military Academy. Thus, Joseon students studying at the Japanese Military Academy anticipated their imminent return home. Upon returning, they would command hundreds or thousands of soldiers. Seeking to leverage this absolutely favorable condition for political reform, they had preemptively joined hands with political offenders in exile (亡命 中의 國事犯 - mangmyŏng chung ŭi kuksa pŏm) and organized the secret society called Ilsimhoe.
When this reached the government's ears, they were greatly alarmed, and an era of terror (恐怖時代 - kongp'o sidae) emerged, arresting everyone involved. Thus, the streets of Seoul and the servants' quarters (行廊 - haengnang) of noble houses buzzed with gossip about the Hwalbindang and Ilsimhoe incidents. It seemed that any discontented person in the capital was being arrested without question.
Because of this, if I stayed in Seoul even one more day, my life, already under constant scrutiny, felt endangered. Military police (軍奴 - kunno) were actively trying to arrest me, claiming I was directly or indirectly involved in both incidents.
I fled Seoul under the cover of night and went into exile in Tokyo via Inch'ŏn. My comrade Cho T'aekhyŏn (趙宅現) was caught just three days after I boarded the ship in Inch'ŏn and immediately vanished as dew on the scaffold (絞首臺 - kyosudae). Needless to say, many other discontented individuals were executed.
After I went over to Tokyo, a year later, a special pardon (特許 - t'ŭkhŏ) was issued by the Korean government at the time. It stated that the Ilsimhoe affair was the work of youths full of vigor (血氣方剛 - hyŏlgi panggwang). After the punishment of several individuals, the rest were declared not guilty (餘其勿罪 - yŏgi mulchoe), and we were all acquitted. So, I returned home again, just as the Russo-Japanese War (日俄戰爭 - Irŏ Chŏnjaeng) broke out with the Peninsula as its stage. Consequently, Itō Tōkan (伊藤統監 - Itō Hirobumi held the post of Resident-General later, Tōkan is Resident-General) advised the late Emperor Kojong (高宗) to select 50 sons of the nobility (貴族子弟 - kwijok chaje). I was included among these students dispatched by the Korean government to Japan, and thus went to study abroad in Tokyo once more.
There is no need to record what followed. My account of first coming to Seoul is generally as above.

The Plan for China Takes Root
Yŏ Unhyŏng

I came up to Seoul when I was nineteen. Wearing a topknot (상투 - sangt'u), a gat (갓 - traditional hat), and leggings (行纏 - haengjŏn), I was a shabby-looking, wretched young man from the countryside!
Looking back now, the reason I came to Seoul is interesting. During my boyhood, my thoughts were entirely shaped by the influence of my grandfather. My grandfather, whose name was Kyusin (圭信), could aptly be described as a kind of indignant patriot (慷慨之士 - kangaechisa) residing in the fields. His ideology was to attack China (中國). China prided itself on treating our Peninsula like a tributary state (屬國 - sokkuk), not only sending dictates (테-제 - t'eje, likely thesis/policy) on all political matters but also interfering in every affair, demanding tribute (朝貢 - chogong), and insisting on trade terms convenient only for themselves, thus traditionally disregarding our people. Saying, "Where is there a greater insult for a dignified nation?" he not only submitted a long petition (長文의 건의 - changmun ŭi kŏnŭi) to the Royal Court (朝廷 - Chojŏng) for the conquest of China (支那征討 - China jŏngt'o) himself but also joined hands with like-minded politicians out of office (在野의 정객 - chaeya ŭi chŏnggaek). He bustled about, forming some sort of association to achieve this goal. However, before the work bore fruit, the secret was exposed, and he was exiled (定配 - chŏngbae) to Yŏngwŏn (寧遠) in P'yŏngan Province (平安道), a place of high mountains, deep valleys, and no people (山高谷深 無人之處 - san'go koksim muin jich'ŏ).
Thus, my grandfather, tearfully separated from his descendants, departed afar. Fortunately, he returned after several years with his life intact.
On the day he returned, we went out to the village entrance (동구 밖 - tonggu pak) to meet him. His once fine appearance was gone, countless wrinkles lined his forehead, and his energy (氣力 - kiryŏk) was greatly diminished. We wept aloud in the grassy field.

However, the one thing about grandfather that hadn't changed was his spirit (氣慨 - kigae), still like green pines and bamboo amidst white eyebrows. It was his ideology. His integrity (志操 - chijo).
Even after returning, he did not abandon his strategy and thoughts of needing to chastise China (支那 - Jina/China) soon.
His desk (書案 - sŏan) was piled high with books on military strategy (兵書 - pyŏngsŏ). And using abacus beads <91> (주판살 가지 - chupan sal kaji), he studied mathematics (算學/數學 - sanhak/suhak). As it was a rudimentary era, mathematics wasn't done with Arabic numerals like today. He performed the four basic operations (加減乘除의 四則 - kagam sŭngje ŭi sach'ik) using Chinese characters for one, two, three. Based on those numbers, he researched things like fortress construction methods (築城法 - chuksŏng pŏp). One can imagine his mind and aspirations thirty-three or four years ago from now.
However, while he was engrossed in such research and contemplation, government surveillance was quite severe, and it seemed he had little opportunity even to converse with others (與人會談 - yŏin hoedam). Living such a life of misfortune and confinement (不遇 監禁 - puru kamgŭm), grandfather would often call me, his eldest grandson, have me stand before him, and tell me about the modern history of China and Joseon. He also constantly told me that the plan for a northern expedition (北征의 經綸 - pukchŏng ŭi kyŏngnyun) was by no means a misguided state policy (國策 - kukch'aek).
Although I was only a child of about ten then, how could I have understood these words? But the relationship between China and Joseon was profound (深切 - simchŏl), and somehow, a plan concerning China vaguely arose in my heart.

Thus, influenced by my grandfather, I realized this was not the time to remain buried in this mountain corner. I left my hometown, Yangp'yŏng (楊平) as it was called then, at the age of nineteen.
In Seoul, I enrolled in Paejae Haktang (培材學堂). It was here that my eyes began to open. Later, Hŭnghwa Haktang (興化學堂), established in Sujinbang-gol (壽進坊谷), and this Paejae Haktang truly occupy an important page in the history of modern Joseon's enlightenment (開化史 - kaehwa sa). Paejae Haktang was founded by the American Mr. Appenzeller (아편셀라氏 - Apyŏnsella Ssi), and Hŭnghwa Haktang was founded personally by Min Yŏnghwan (閔泳煥), who had been the minister to America (米國公使 - Miguk Kongsa), believing Western civilization must be imported. Many individuals who later became pillars (棟梁 - tongnyang) of our society graduated from those places at that time.
After experiencing various upheavals (波瀾 - p'aran), when my younger brother Unhong (運弘) suggested going to America (亞米利加 - Amerika), influenced by my grandfather's time, I cancelled the trip to America (米洲 - Miju) and went instead to Shanghai (上海), China.
The story of how I came up to the capital (京師 - Kyŏngsa) harboring ambitions in my youth is roughly like this.

To Seoul via Siberia
Han Yongun

I was eighteen when I left my hometown with aspirations, heading for Seoul. At that time, I didn't even know where Seoul was; I just set off with the vague idea that if I followed the main road northwest, I would eventually reach the great capital city (萬戶 長安 - manho changan). So, why did a young boy buried in a countryside corner back then, 30 years ago from now, head for Seoul?

My hometown is Hongju (洪州) in Ch'ungch'ŏng Province (忠清道). Now, times have changed, and its name has even become Hongsŏng (洪城), South Ch'ungch'ŏng Province. While in my hometown, I heard good words from my late father morning and evening. My father, while reading books, would sometimes call young me, have me stand before him, and teach me about the words and deeds of righteous heroes and patriots (義人傑士 - ŭin kŏlsa) who shone in history. He also explained the state of the world, and matters of the nation and society so I could understand. Hearing such words once or twice, a strange fire ignited in my heart, and the thought of admiration, "I wish I could become a great person like those righteous heroes!" strongly arose.
Then, that year was right before the Kapchin (甲辰) year (1904), when the tide of the peninsula began to turn. <92> News came that some treaty had been signed in Seoul, causing concerned people from the provinces to continuously head towards Seoul.
How could there have been newspapers or telegraph messengers (體電夫人 - ch'ejŏn puin - likely a misunderstanding or archaic term for telegraph operator/messenger?) back then? But the situation was unfolding on such a large scale that rumors traveled like the wind, causing a stir everywhere, regardless of countryside or Seoul.

So, after thinking for many days, I resolved,
"Now is not the time to be buried in this mountain village."
One morning, taking only a single tobacco pipe (담뱃대 하나 만들고 - literally 'making one pipe', but context means 'taking just one pipe') and dressed literally in rags and tatters (페포파이 - p'yep'o p'arip, 弊袍破笠), I left home and started on the road to Seoul.
I carried no travel money (路資 - noja). Yet my heart was calm. I didn't know the direction to Seoul either. But I was quite calm, thinking someone would show me the way.
However, the sun (혜 - hae) had already begun to set, my feet were weary from the road (勞毒 - nodok), and my stomach growled with hunger, making it unbearable to take even one more step. I entered a roadside tavern (酒幕 - chumak), used my arm as a pillow, and spent the night. Only then did the thought occur that this journey was too reckless. Achieve great ambitions? What knowledge did I have, with only a foundation in Chinese classics (漢學 - Han'hak), to achieve great things?
At the end of these thoughts, my mind was suddenly drawn to the "Scene of Great Sorrow" (痛哭一場 - t'onggok ilchang) in the Romance of the Western Chamber (西廂記 - Sŏsanggi), which I had read at age nine.
Isn't life transient? What remains after striving day and night, only for life to end? Is it fame? Is it wealth? Aren't they all regrettable? Doesn't everything eventually become empty (空 - kong), colorless (無色 - musaek), and formless (無形 - muhyŏng)? My doubts grew larger and larger. I realized my head was becoming endlessly confused because of these doubts.

"Bah! Let's first understand what life is, then act."
Reaching this conclusion, I then abandoned the road to Seoul. Hearing that there was a renowned enlightened monk (道士 - tosa) at Paektamsa Temple (百潭寺) on Mount Odaesan (五臺山) in Kangwŏn Province (江原道), I carved out a path through the mountain roads for several days and went there.
I immediately became a temple servant boy (童糧僧 - tongnyang sŭng), discarded all material desires (物慾 - muryok) and sensual desires (色慾 - saegyok), and spent several years just chanting prayers (念佛 - yŏmbul) and cultivating the Way (道 - To). However, even after being confined (묵겨 - mukkyŏ) in the monks' quarters (僧房 - sŭngbang) for several years, I ultimately didn't understand life well, nor could I suppress the ambitions of youth. As I began to agonize (煩悶 - pŏnmin) again, I happened upon a book called "*Hwanjiryag* (環地略? - *World Geography/Strategy*?)" through which I first recognized that there was a wide world beyond Joseon. Gathering my travel gear, I went via Wŏnsan to Siberia (서백리아 - Sŏbaengnia), where I spent several years in a transient wandering life (덧업는 방낭생활 - tŏdŏmnŭn pangnang saenghwal). I then returned home again and buried myself (파뭇겨 - p'amutkyŏ) in Sŏgwangsa Temple (釋王寺) in Anbyŏn (安邊), engaging in a life of Zen meditation (叅憚 生活 - Ch'amsŏn saenghwal).
Then, thinking that the center of East Asian civilization was Tokyo and intending to go there, I first set foot in Seoul the following spring.
My first arrival in Seoul was like this. <93>

**Summary**

This article presents the memoirs of three prominent Korean figures—Ch'oe Rin, Yŏ Unhyŏng, and Han Yongun—recounting their initial journeys to Seoul in their youth around the turn of the 20th century. Ch'oe Rin came seeking modern knowledge beyond classical studies, became embroiled in political turmoil surrounding the Hwalbindang and Ilsimhoe incidents, leading to temporary exile in Japan before returning amidst the Russo-Japanese War. Yŏ Unhyŏng was inspired by his grandfather's strong anti-Chinese sentiment and desire for national strength, leading him to Seoul for education at Paejae Haktang and later choosing China over America for further endeavors. Han Yongun, driven by a youthful desire for greatness inspired by historical figures but plagued by existential questions, initially abandoned his trip to Seoul for monastic life, later traveled widely including Siberia, and finally arrived in Seoul en route to Japan after realizing the world extended beyond Korea. From a historical perspective, these accounts offer valuable personal insights into the motivations driving young intellectuals during a period of immense upheaval—the decline of Joseon, burgeoning nationalism, the impact of foreign influence (Japan, China, West), early anti-Japanese resistance (Ilsimhoe), traditional education's perceived inadequacy, and the search for new paths through modern education, political action, or spiritual seeking. The memoirs reflect the complex intellectual and political currents shaping Korean society under increasing Japanese encroachment.

**Named Entities**

乙未年	을미년	Ŭlmi Year (1895)
서울	서울	Seoul
咸興	함흥	Hamhŭng
민비	민비	Queen Min
朝鮮	조선	Joseon
漢陽	한양	Hanyang
活貧黨	활빈당	Hwalbindang
活貧黨 事件	활빈당 사건	Hwalbindang Incident
守舊黨	수구당	Sugudang (Conservative Party)
一心會	일심회	Ilsimhoe
一心會 事件	일심회 사건	Ilsimhoe Incident
東京	동경	Tokyo
士官學校	사관학교	Military Academy (Japanese)
武官學校	무관학교	Military Training School (Korean)
宮中	궁중	Kungjung (Royal Palace)
軍奴	군노	Kunno (Military police/soldiers - derogatory term)
仁川	인천	Inch'ŏn
趙宅現	조택현	Cho T'aekhyŏn
韓國政府	한국정부	Korean Government
日俄戰爭	일러전쟁	Russo-Japanese War
半島	반도	Peninsula
伊藤統監	이토 통감	Itō Tōkan (Resident-General Itō Hirobumi)
高宗	고종	Kojong (Emperor Kojong)
呂運亨	여운형	Yŏ Unhyŏng
中國	중국	China
圭信	규신	Kyusin (Yŏ Unhyŏng's grandfather)
朝廷	조정	Chojŏng (Royal Court)
平安道	평안도	P'yŏngan Province
寧遠	영원	Yŏngwŏn
楊平	양평	Yangp'yŏng
培材學堂	배재학당	Paejae Haktang
米國	미국	Miguk (America/USA)
壽進坊谷	수진방골	Sujinbang-gol (Place name in Seoul)
興化學堂	흥화학당	Hŭnghwa Haktang
閔泳煥	민영환	Min Yŏnghwan
米國公使	미국공사	Miguk Kongsa (Minister to America)
運弘	운홍	Unhong (Yŏ Unhyŏng's brother)
亞米利加	아메리카	Amerika (America)
米洲	미주	Miju (The Americas)
上海	상해	Shanghai
京師	경사	Kyŏngsa (Capital City, i.e., Seoul)
韓龍雲	한용운	Han Yongun
忠清道	충청도	Ch'ungch'ŏng Province
洪州	홍주	Hongju
洪城	홍성	Hongsŏng
갑신(甲辰)년	갑신(갑진)년	Kapchin Year (1904)
江原道	강원도	Kangwŏn Province
五臺山	오대산	Odaesan (Mountain)
百潭寺	백담사	Paektamsa (Temple)
西廂記	서상기	Sŏsanggi (Romance of the Western Chamber)
*環地略	환지략	*Hwanjiryag (Book title, possibly World Geography/Strategy)
원산	원산	Wŏnsan
서백리아	시베리아	Siberia
安邊	안변	Anbyŏn
釋王寺	석왕사	Sŏgwangsa (Temple)

**Glossary**

오든	오던	coming; used to come (older verbal ending)
도라가시고	돌아가시고	passed away (honorific, older spelling)
잇섯스며	있었으며	and there was (older spelling)
드러안저서	들어앉아서	sitting inside
론어	논어	Analects (of Confucius)
갓지 안어서	같지 않아서	seemed not to be (older spelling)
하로 아츰	하루 아침	one morning (older spelling)
집어뿌리고	집어 뿌리고	throwing away (dialectal/older form)
올너 온	올라 온	came up (older spelling)
도라가는	돌아가는	turning; happening (older spelling)
오르내리면서	오르내리면서	going back and forth
어덧다기	얻었다기	rather than having obtained (older form)
구을어 다녓든	굴러 다녔던	rolled around; lived aimlessly (older spelling)
가치	같이	like; as (older spelling)
툭 튀어 나왓다	툭 튀어 나왔다	suddenly popped up/emerged
엇다	였다	was (copula, older form)
드러업자는	들어엎자는	let's overthrow (older spelling)
이르키자면	일으키자면	if one wants to start/initiate
마츰	마침	just then; coincidentally (older spelling)
자긔네들이	자기네들이	they themselves (older spelling)
되겟슴으로	되겠음으로	because they would become (older spelling)
하엿든	하였던	had done; which was (older spelling)
잡어드리는	잡아들이는	arresting (older spelling)
수선수선 하엿다	수선수선 하였다	was bustling with chatter/gossip
머물느게 되면	머무르게 되면	if one stays (older spelling)
늣끼엇다	느꼈다	felt (older spelling)
체포코저	체포하고자	intending to arrest (older form using -코저 for -하고자)
함이엇다	함이었다	it was that... (older spelling)
거처	거쳐	via; passing through
말엇다	말았다	ended up doing; stopped (older spelling)
밧게	밖에	besides; other than (older spelling)
만히	많이	many; much (older spelling)
갓더니	갔더니	after going; when one went
잇섯다	있었다	there was; existed (older spelling)
석기어	섞이어	mixed in; among (older spelling)
갓섯다	갔었다	had gone (older spelling)
업고	없고	and there isn't (older spelling)
갓노라	같노라	it is like this (archaic/literary ending)
올너왓다	올라왔다	came up (older spelling)
닥갓다	닦았다	cultivated; polished (older spelling)
적평이겟다	적평이겠다	would be a fitting evaluation/description
올닐	올릴	to submit upwards (older spelling)
갓치하는	같이하는	doing together; sharing (the same) (older spelling)
맛잡고	맞잡고	holding hands; joining hands
게시엇다	계시었다	was/were (honorific, older spelling)
맷기	맺기	bearing (fruit); forming
탈로되어	탈로되어	being revealed; exposed (older form)
갓든	갔던	who/which had gone (older spelling)
갈나지서	갈라져서	being separated (older spelling)
오섯다	오셨다	came (honorific, older spelling)
박게	밖에	outside (older spelling)
조튼	좋던	which was good (older spelling)
흘넛스며	흘렀으며	flowed; were etched (older spelling)
쇠하섯다	쇠하셨다	had weakened (honorific, older spelling)
울엇다	울었다	cried (older spelling)
그러치만	그렇지만	however; but (older spelling)
안으신	않으신	not (honorific suffix, older spelling)
눈속섭에도	눈썹에도	even in the eyebrows (older spelling of 눈썹)
가튼	같은	like; same as (older spelling)
하시겟다는	하시겠다는	that one must do (older spelling)
버리시지 안엇다	버리시지 않았다	did not discard (honorific, older spelling)
싸엿다	쌓였다	were piled up (older spelling)
업스시되	없으시되	although there wasn't/isn't (honorific, older spelling)
업스신	없으신	not having (honorific, older spelling)
세이고	세우고	making stand; setting up
말슴하여	말씀하여	speaking (honorific, older spelling)
들려 주시엇다	들려 주시었다	let hear; told (honorific, older spelling)
엇더케	어떻게	how (older spelling)
아라드럿스랴	알아들었으랴	how could [I] have understood? (older spelling)
만은	만은	but (postpositional particle, older form of 만)
엇지 하엿든	어찌하였든	anyway; somehow (older spelling)
떠 올낫다	떠 올랐다	rose up; occurred (to mind) (older spelling)
무처	묻혀	buried; stuck; immersed in (older spelling)
잇슬	있을	to be; that will be (older spelling)
엇고	얻고	getting; obtaining (older spelling)
엇든	어떤	some; a certain (older spelling)
차저가면	찾아가면	if one seeks and goes (older spelling)
나지겟지	나지겠지	would probably appear/come out (older spelling)
무첫든	묻혔던	who/which was buried/stuck (older spelling)
듯는	듣는	hearing; listening (older spelling)
이러나고	일어나고	arose; occurred (older spelling)
밧작 낫섯다	바짝 났었다	arose strongly/intensely (older spelling)
버러저가는	벌어져가는	happening; unfolding (older spelling)
업시	없이	without (older spelling)
끗헤	끝에	at the end (older spelling)
페포파이	폐포파립	in rags and tatters (likely misspelling/phonetic rendering of 弊袍破笠)
혜는	해는	the sun (archaic word for sun)
곱하	고파	hungry (older form of 고파서)
주우리어	주리어	being hungry (older form)
옴기어 드딀	옮기어 디딜	to move and step (older spelling)
업기에	없기에	because there isn't/aren't (older spelling)
드러가	들어가	entering (older spelling)
하로밤	하룻밤	one night (older spelling)
낫다	났다	arose; occurred (older spelling)
거름이	걸음이	step; journey (older spelling)
끗헤	끝에	at the end (older spelling)
쏠녀젓다	쏠려졌다	was drawn towards; was attracted to (older spelling)
업는	없는	non-existent; without (older spelling)
근근사자 하다가	근근이 살다가	barely managing to live (likely interpretation of 근근사자)
끗업시	끝없이	endlessly (older spelling)
깨달엇다	깨달았다	realized (older spelling)
그제는	그제야	only then (older spelling/form)
놉흔	높은	high; famous (older spelling)
듯고	듣고	hearing (older spelling)
패이어	파이어 / 패어	digging through; carving out (a path)
곳	곧	immediately; right away
외이며	외우며	reciting; chanting (older spelling)
닥기에	닦기에	in polishing/cultivating (the Way) (older spelling)
묵겨	묶여	tied down; confined (older spelling)
잇서도	있어도	even though being/existing (older spelling)
알녀지지도 안코	알려지지도 않고	not becoming known/understood (older spelling)
업서	없어	because there isn't (older spelling)
너른	넓은	wide; broad (older spelling)
잇는	있는	existing; which is (older spelling)
덧업는	덧없는	transient; futile; fleeting (older spelling)
방낭생활	방랑생활	wandering life (older spelling)
파뭇겨	파묻혀	buried in; engrossed in (older spelling)
叅憚 生活	참선 생활	Zen meditation life (likely 叅禪)
노앗다	놓았다	put; placed; set foot in (older spelling)


---------------------------


잡지명	삼천리 제5권 제9호
발행일	1933년 09월 01일
기사제목	처음 서울 오든 때
기사형태	회고·수기

처음 서울 오든 때
活貧黨 事件 때
崔麟

나는 乙未年에 서울을 바라고 고향 咸興을 떠나왓다. 을미년이라 하면 바로 민비께서 도라가시고 조선에는 사천년 자든 잠이 깨기 시작하여 모든 정치와 문물제도가 변혁의 길을 밟고 잇섯스며 특히 민간에는 단발령이 내리어 물론이 어마 어마하든 때이다.
고향을 떠나든 해가 내 나이 열 여덜 살 때이라 그때까지 사숙에 드러안저서 론어와 맹자 등 四書三經을 배우고 잇섯는데 아모리 생각하여도 도모지 그 문을 가지고는 백년을 간대도 經國의 經綸이 생길 것 갓지 안어서 하로 아츰 단연히 책을 집어뿌리고 동경하든 漢陽으로 올너 온 터이다.
그러나 정작 올너와 노코 보니 나를 위하야 무삼 무대와 지반이 준비되어 잇는 것이 아니어서 아모 일도 착수하지 못하고 세상 도라가는 풍운만 엿보며 지내다가, 이럭저럭 서울과 함흥사이를 오르내리면서 오륙년을 지내엇다. 그때는 내 몸 뜻을 어덧다기 보다도 落魄不遇한 한 不平男兒로 闇*에 구을어 다녓든 것이다.

그러다가 서울 장안에는 活貧黨 事件이 청천의 벽력가치 툭 튀어 나왓다. 活貧黨이라 함은
1, 貴賤打破
2, 守舊黨 政治改革
3, 貧富均衡
등을 슬로-간으로 걸고, 그 수단으로 과격한 행동을 취하려든 비밀결사엇다. 이 활빈당 사건이 발각됨과 동시에 또한 一心會 事件이란 것이 툭 튀어 나왓다. 一心會라 함은 東京留學生中 특별히 士官學校에 재학하는 류학생들이 중심이 되어 전선의 불평객을 망라하야 조직된 것으로 이것은 목적이 그때 내각의 顚伏에 잇섯다. 즉 그때의 수구파 내각을 일거에 드러업자는 음모 단체엿다.
그 당시의 정치상 정변이라 함은 대개 수천 명 군중이 성군작당하여 삽시간에 큰 물결가치 와-소리를 지르면서 宮中으로 몰려 드러가서 몃몃 高官大爵을 죽이기만 하면 정권이 저절로 이쪽에 드러오는 터이엇다.
그래서 이러한 운동을 이르키자면 ＜90＞ 무력을 가지고야 성공하기 쉬운데, 마츰 朝鮮의 軍事敎練하는 武官學校敎師는 대개 일본 사관학교 졸업생을 쓰는 때임으로 日本士官學校에 유학하는 朝鮮學生들이 멀지 안어서 자긔네들이 귀국하게 될 것과 귀국만 하면 자긔 수하에 수백 명, 수천 명의 군사를 거느리게 되겟슴으로 그 절대적 好조건을 정치개혁에 이용하려, 미리 亡命 中의 國事犯들과 악수하여 가지고 一心會라는 비밀결사를 조직하엿든 것이다.
이것이 그때 정부의 귀에 드러가서 크게 놀라 거기 관계자를 모조리 잡어드리는 恐怖時代가 出現하엿다. 그래서 서울거리거리와 대가집 행낭에서는 활빈당과 일심회 사변으로 인심이 수선수선 하엿다. 장안안 불평객은 아마 불문곡직하고 잡어드리는 판이다.
이러함으로 서울에 하로만 더 머물느게 되면 그만치 평시 주목을 밧고 잇는 나는 생명에 위험을 늣끼엇다. 나도 직접 간접으로 두 사건에 관계되엇다 하야 軍奴들이 체포코저 활동함이엇다.
나는 夜半에 서울을 탈출하여 仁川을 거처 東京으로 망명하엿다. 동지 趙宅現은 내가 仁川서 배탄지 사흘만에 잡혀 즉시 絞首臺의 이슬로 사라지고 말엇다. 그밧게 불평객들이 만히 사형을 당한 것은 물론이다.
동경 건너 갓더니 1년 뒤에 그때 韓國政府에서 特許가 잇섯다. 즉 一心會일은 血氣方剛한 청년들이 한 일이라. 數人 刑 後엔 餘其勿罪라 하야 우리들은 모다 無罪하게 되엇다. 그래서 다시 귀국하니 日俄戰爭이 半島를 무대로 터지엇다. 그래서 伊藤統監이 도라가신 高宗에 勸하서 貴族子弟 50人을 뽑아 韓國政府가 日本에 파견하는 유학생 중에 석기어 나는 다시 東京으로 유학을 갓섯다.
그 뒷일은 더 기록할 것 업고, 나의 첫 上京記는 大略 如上하다.

中國經綸이 發端되어
呂運亨

나는 열 아홉 살 때에 서울로 올너왓다. 상투 틀고 갓 쓰고 행전을 치고, 보잘 것 업는 형색이 초최한 한 시골 청년의 몸으로!
