잡지명	삼천리 제5권 제10호
발행일	1933년 10월 01일
기사제목	가을의 抒情 (Autumn Sentiments)
필자	李孝石
기사형태	문예기타 (Literary Miscellany)



**Autumn Sentiments**
						**Yi Hyosŏk**

While washing my face this morning, a willow leaf, blown from somewhere, fell onto the water in the basin. As I picked it up, the water felt cold, and the yellow-tinged willow leaf had a chilly sensation! Feeling autumn flow through my whole body, the withered flowerbed on the far side of the garden newly caught my eye. Sunflowers and cosmos, towering like guardian posts—unawares, autumn had deepened. Larkspur, aster, and bellflowers—cold and blue like the sky. Is the red color of snapdragons, cacalia (?), and salvia autumn's final passion? Rhodanthe—rough and lifeless like paper flowers, like the complexion of a maiden whose pulse has stopped—isn't this flower the very symbol of autumn? The messy crimson aftermath of the passion of half-rotted canna, gladiolus, and poppies, like their rotten flesh—sordid and unsuitable as autumn flowers. Autumn is cold and clear, like a seashell wet with seawater.

My two ears are not seashells, yet the sound of the longed-for sea comes through so clearly. This must be because the autumn sky is overly clear. Whether strolling through the flowerbed, lying in my room, or thinking about something, the sea sound always resonates clearly—a sea sound like dreary rain—a sea sound like a sobbing cry—the autumn sea is melancholy just to hear. Yesterday evening, too, while walking on the sand by the sea, if not for the child on my back, wasn't I almost drawn by the melancholy sound to walk straight into the blue sea? Even without that, my restless and confused mind feels like it could go mad just hearing the sound of the sea. Yet, the contradictory heart of autumn seeks the sea daily. A thread of memory pierces through the dizzy heart, stretching out straight. I strung countless seashells onto that thread of memory and sent them to him—wrapped the seashells bundle by bundle in a parcel and sent them far away to him in prison (차입하야)—but I wonder if he, confined within the four heavy walls, received it or not. If he received it, how much must he long for the sound of the sea, holding the seashells to his ear? Looking up at the moon and stars through the palm-sized high window, how much must he long for "home"? It's been two years since he was held at Sŏdaemun, and half a year since he was moved from Sŏdaemun to Taejŏn. I, who used to send him provisions while in Seoul, couldn't follow him to Taejŏn, so the day after he left, I had no choice but to come down to this hometown in the opposite direction.

The incidents and my heart were chaotic like a tangled ball of yarn. Everything flowed by like a dream within that chaos. Now, in my confused heart, only the passion for my husband's body, which I haven't touched even a finger to for three years, rises sharply like an awl. All resentment and blame seem to have been reduced to this single thread of physical passion. Despite the chilly autumn, the fire in my heart burns hotly. The bright red salvia blooming in the flowerbed—isn't its expression a direct translation of my heart? A single red flower blooming like a flame between the clusters spread open like a slightly open clam—this is precisely the symbol of my heart. <117> Thinking that this, too, is all brought about by the physical distance between my husband and me, my heart seethes even more painfully. As autumn deepens, my dreams become disturbed, my head feels heavy, and a hot fever rises throughout my body. When I lie down with a headache, my chest tightens, and groans escape my lips without realizing. There are many times when I suddenly fall asleep in broad daylight, have an embarrassing dream, and wake up startled, blushing. To cool the surging heat, I inevitably head to the sea every day. On the way to the sea, I pass a nursery (종묘장), and when passing the nursery, the pigpen there inevitably catches my eye. This crude scene of the pigpen—it fans my sensitive heart vigorously, like a magician.

In fact, I sometimes think that the agitation of my burning heart is entirely the fault of this peculiar scene at the pigpen. There is nothing there but primitive desire. However, seeing how that primitive form resembles one aspect of humans, there are even times when I find the appearance of people deliberately wearing masks more detestable. Outside the pen, several pigs attended by a breeding boar (씨돗) were tied daily to posts driven into the four corners. The massive boar moved among the crying and shouting pigs, overwhelming them one by one like a locomotive. Power and clamor—there lies the expression of life's utmost effort. Unknowingly, I stand staring blankly at that forbidden scene for a while, then suddenly come to my senses and leave the place flusteredly. Wondering if anyone saw me, I walk quickly with mincing steps for a while, my head bowed low. My flushed face doesn't easily subside, and my whole body burns like fire. I walk hurriedly in one dash to the seashore. The vivid scene imprinted in my chest like a seal stays alive like a vibrant flower, not easily extinguished even by the sea breeze. And my burning body—it won't cool down unless I plunge into the seawater. I regret having watched it every time, yet end up watching it again. It's a kind of magic—I can think of it no other way. Today too, passing that place, I did not avert my eyes from the scene. Reaching the sea, my mind was restless, and memories were sharp. Footprints were scattered on the sand, and the sea felt hot to my flushed eyes. My body didn't cool down even after circling the field and returning home. I put water in the basin and soaked my hands and the shells I picked up, but hasn't the chilly sensation of the basin from the morning faded away faintly, like a memory from the distant past? From a corner of the garden where dusk was falling, the scent of sesame leaves (깨ㅅ닙) drifted strongly. That rich fragrance also holds various memories. Walking listlessly (isn't that weak and unsteady form like that of a goblin or a scarecrow?), I plucked a sesame leaf, placed it on my fist, and struck it with my palm, and a soft, muffled sound broke the evening silence. This sound of the sesame leaf also carries various old stories. The smell of the crushed sesame leaf sharply pierced my nostrils. With that smell, my hot body feels even hotter and more distressed. On this quiet evening, how must my husband's feelings be, crouched within the four walls (네쪽의 복속에)? Moreover, wasn't he the one who used to ask for all sorts of things to be sent in when he was in Seoul? As he requested, I plucked a few hairs from my body and put them between the pages of the books I sent in—did he burn them or swallow them? As my feelings are now, I even have the regretful thought that I should have held onto him and stopped him three years ago when he was whispering and going around. How my friends would laugh at me and scold me if they heard this. But this is my true heart, without falsehood. I am now content to be a common wife (지에머) rather than an awkward hero wearing armor. I desire this for my dear husband too. An awkward hero and a common husband—which is more meaningful and valuable is another question. Leaving aside the question of meaning and value, my current feelings rise honestly and straightforwardly. For a person, telling the truth is <118> harder than plucking a star from the sky. There is always a great distance between what's in the heart and the words let out of the mouth. My confession now, content with being a common wife, is my pure heart itself, without a speck of dust or falsehood. But why on earth does a person's heart become so sincere when the hero's armor is cast off?

Thinking of my husband sitting, painfully twisting his body while gazing at the stars shining through the high window, my heart aches and feels wretched. Stars, you say—already stars have dotted the autumn sky thickly. Is that Orion? Its light is the purest and brightest, yet that star is always ill-fated and melancholy. The Cowherd and the Weaver Girl (견우와 직녀성)—with the long river between them, why do they look so dim and sad tonight—what are humans on this earth to do, who gaze clearly at each other yet cannot see each other for years?

Oh, the child laid down in the room is crying loudly. When did you wake up? At an age to know his father, the sight of the child growing without even knowing his father's face seems even more pitiful when he cries. My milk has already lessened like this. Just eat this meager milk and grow up strong. Suddenly, this noisy sound of insects! Why do autumn insects also cry so ill-fatedly? Unawares, I am soaked wet with the fallen dew. The dew is damp, the sky is clear, and the night is cold, but my body is still hot. The salvia in the flowerbed has closed up in the night air, but the red flower of my heart still remains open like a clam, not closing. A bright red star, like a fully ripened apple, is peeping through the open clam shell. The distant southern sky, under which he must be sleeping, burns red. Was the sky that clear—no, is that real? Is it a trick of my eyes? Why is my mind so dizzy? Might I go mad like this? The dizziness in my head feels like I might fall gravely ill. How will I pass this agonizing night again... <119>

**Summary**

This lyrical essay by Yi Hyosŏk, narrated by a woman in autumn, vividly portrays her intense loneliness and suppressed physical longing for her husband, imprisoned first in Sŏdaemun and then Taejŏn. The autumn landscape, with its dying flowers and chilly air, mirrors her internal state, yet her passion burns hot, symbolized by the red salvia and disturbed by the primal scene at a pigpen. She struggles with her separation, her role, and the contrast between the societal expectation of stoicism (the "hero's armor") and her raw desire for connection, finding solace only in the sea and poignant memories, culminating in a night of feverish anxiety under the indifferent stars. For historians, the piece offers a poignant glimpse into the personal cost of political imprisonment during the colonial era (mentioning specific prisons like Sŏdaemun), the narrator's frank expression of female desire and bodily longing which was uncommon for the time, and her explicit rejection of abstract "heroism" in favor of basic human connection ("common wife/husband"), reflecting a potential disillusionment or critique of nationalist ideals versus personal suffering.

**Named Entities**

李孝石	이효석	Yi Hyosŏk
서대문	서대문	Sŏdaemun
태전	태전	Taejŏn

**Glossary**

아츰	아침	Morning (older spelling)
닙새	잎새	Leaf (older spelling)
닙	잎	Leaf (older spelling)
떠러진	떨어진	Fallen (older spelling)
차거니와	차거니와	(It is) cold and... (older form)
누러케	누렇게	Yellowly (older spelling)
흘음을	흐름을	Flow (objective form, older spelling)
늣기자	느끼자	Feeling (older spelling/form)
여윈	여윈	Withered, thin
장성가티	장승같이	Like a village guardian post (tall, imposing) (older spelling)
지텃구나	짙었구나	(It has) deepened (older spelling)
꼿	꽃	Flower (older spelling)
하눌	하늘	Sky (older spelling)
마즈막	마지막	Last (older spelling)
조희꼿	종이꽃	Paper flower (older spelling)
업고	없고	Without, lacking (older spelling)
끈허진	끊어진	Severed, cut off (older spelling)
가튼	같은	Like, same as (older spelling)
썩어저	썩어져	Having rotted (older spelling)
육톄	육체	Body, flesh (older spelling)
뒤ㅅ꼴	뒷골	Aftermath, appearance from behind (older spelling)
추접하고	추접하고	Sordid, unseemly, dirty
바다ㅅ물에	바닷물에	In the seawater (older spelling with ㅅ genitive marker)
저즌	젖은	Wet (older spelling)
들녀온다	들려온다	Is heard (older spelling)
지나처	지나쳐	Excessively (older spelling)
누엇슬	누웠을	When lying down (older spelling)
울녀오는	울려오는	Resounding, echoing (older spelling)
구즌	궂은	Dreary, foul (weather) (older spelling)
늣겨우는 우름	느껴 우는 울음 / 늦겨우는 울음	Sobbing cry (interpretation of older form)
처량해	처량해	Melancholy, pitiful
어적게	어저께	Yesterday (older spelling)
바다ㅅ가	바닷가	Seaside, beach (older spelling with ㅅ genitive marker)
밧을	밭을	Field (object form, here referring to 모래밭 - sandy field/beach) (older spelling)
업은	업은	Carrying (a child) on the back
잇글녀	이끌려	Being led, drawn (older spelling)
안엇든가	않았던가	Didn't (I/one) almost...? (older negative interrogative ending)
밋처	미쳐	Going mad (older spelling)
찻는	찾는	Seeking, looking for (older spelling)
꿰둘고	꿰뚫고	Piercing through (older spelling)
곳게	곧게	Straightly (older spelling)
뻐치는	뻗치는	Stretching out (older spelling)
뀌여서	꿰어서	Having strung (older spelling)
보냇건만	보냈건만	Sent but... (older spelling)
멀니	멀리	Far away (older spelling)
차입하야	차입하여	Sending provisions/items into prison (older form of 차입하다)
갓처 잇는	갇혀 있는	Confined, imprisoned (older spelling)
바덧는지	받았는지	Whether (he) received (older spelling)
엇잿는지	어쨌는지	Or what happened (older spelling)
바덧스면	받았으면	If (he) received (older spelling)
오작이나	오죽이나	How much (emphatic)
놉흔	높은	High (older spelling)
치어다	쳐다	Looking up at (older spelling)
묵은지	묵은 지	Since staying/being held for (duration)
두해요	두 해 요	It is two years (older form)
잇서서	있어서	Being in (Seoul) (older spelling)
들든	들던	Who used to attend to/do (older retrospective modifier)
좃차	쫓아	Following (older spelling)
업서서	없어서	Being unable to (older spelling)
업시	없이	Without (older spelling)
나려온	내려온	Came down (older spelling)
얼크러진	얼크러진	Tangled
실뭉치가티	실뭉치같이	Like a ball of yarn (older spelling)
어수선하든	어수선하던	Which was chaotic (older retrospective modifier)
흘럿다	흘렀다	Flowed (older spelling)
육톄뎍	육체적	Physical (older spelling)
올을	오를	To rise (older spelling)
•˜다	하다	(Likely a typo or printing artifact for 하다) Seems to be/does
불구함고	불구하고	Despite (older spelling/form)
타올은다	타오른다	Burns up (older spelling)
샛밝안	새빨간	Bright red, crimson (older spelling)
노흔	놓은	Placed, set (translated here) (older spelling)
불꼿가티	불꽃같이	Like a flame (older spelling)
피어올으는	피어오르는	Blooming upwards (older spelling)
곳	곧	Precisely, right away (older spelling)
뒤끌는다	뒤끓는다	Seethes, boils
지틀수록	짙을수록	The deeper it gets (older spelling)
띵하고	띵하고	Feeling dizzy/heavy (head)
가삼이	가슴이	Chest (older spelling)
죄여지고	죄어지고	Tightens, feels constricted (older spelling)
새여 난다	새어 난다	Leaks out (older spelling)
붓그러운	부끄러운	Embarrassing, shameful (older spelling)
얼골을	얼굴을	Face (object form) (older spelling)
깜작 놀나	깜짝 놀라	Startled (older spelling)
만타	많다	Many, much (older spelling)
복바치는	복받치는	Surging up (emotion)
식히려	식히려	In order to cool down
종묘장	종묘장	Seedling farm, nursery
반다시	반드시	Certainly, surely (older spelling)
도야지	돼지	Pig (older spelling/dialect)
무례한	무례한	Crude, unrefined (contextual); originally rude/impolite
풍속	풍속	Scene (contextual); originally custom/manners
마법사와도 가티	마법사와도 같이	Like a magician (older spelling of 가티)
민첩한	민첩한	Sensitive (contextual); originally agile/nimble
활활 부처 준다	활활 부채질한다	Fans vigorously (older form of 부채질하다)
야릇한	야릇한	Strange, peculiar
업다	없다	There is not (older spelling)
면을 쓰는	가면을 쓰는	Wearing a mask
밉게	밉게	Hatefully, detestably
씨돗	씨돼지	Breeding boar (older spelling/term)
말똑에	말뚝에	To a post/stake (older spelling)
매엿다	매였다	Were tied (older spelling)
긔관차와도 가티	기관차와도 같이	Like a locomotive (older spelling)
엄습하얏다	엄습하였다	Attacked, overwhelmed (older spelling)
부르지즘과	부르짖음과	Crying out, clamor and... (older spelling)
섯다가	섰다가	Standing (older spelling)
누에게	누구에게	To whom (older spelling)
들니지나 안엇슬가	들키지나 않았을까	Wondering if I was seen (older spelling/form)
숙인채	숙인 채	With head bowed
종종거름으로	종종걸음으로	With mincing steps (older spelling)
재게 것는다	재게 걷는다	Walks quickly (older spelling)
꺼지지	꺼지지	Subside, go out (fire, blush)
불가티	불같이	Like fire (older spelling)
허둥허둥	허둥허둥	Hurriedly, flusteredly
내 것는다	내걷는다	Walks straight/fast (older spelling)
도장가티	도장같이	Like a seal/stamp (older spelling)
샛밝안	새빨간	Vivid, bright red (older spelling)
살어서	살아서	Alive (older spelling)
바다ㅅ 바람에도	바닷바람에도	Even in the sea breeze (older spelling)
식을리 업다	식을 리 없다	Unlikely to cool down (older spelling)
웨	왜	Why (older spelling)
보앗든가	보았던가	Did (I) watch? (older retrospective interrogative)
니르니	이르니	Reaching, arriving at (older spelling)
날카라웟다	날카로웠다	Was sharp (older spelling)
발자최가	발자취가	Footprints (older spelling)
상긔된	상기된	Flushed (older spelling)
무더웟다	무더웠다	Felt hot/sultry (older spelling)
도라 왓슬	돌아왔을	When (I) returned (older spelling)
줍어온	주워 온	Picked up (older spelling)
담엇스나	담갔으나	Soaked but... (older spelling)
아츰의	아침의	Morning's (older spelling)
싸늘하든	싸늘하던	Which was chilly (older retrospective modifier)
긔억과도 가티	기억과도 같이	Like a memory (older spelling)
살어저	사라져	Disappearing (older spelling)
저무러 가는	저물어 가는	Dusk falling (older spelling)
깨ㅅ닙	깻잎	Sesame leaf (older spelling)
놉흔	높은	High, rich (fragrance) (older spelling)
향긔	향기	Fragrance, scent (older spelling)
잇는	있는	Having, embracing (older spelling)
허전허전	허전허전	Listlessly, feeling empty
훳둥훳둥한	휘청휘청한	Unsteady, staggering (likely meaning, older form)
독개비나	도깨비나	Like a goblin or... (older spelling)
갓지 안엇슬까	같지 않았을까	Isn't it like...? (older spelling/form)
뜨더	뜯어	Plucking (older spelling)
언고	얹고	Placing on (older spelling)
둥글둥글한	둥글둥글한	Muffled (sound context); originally roundish
깨트렷다	깨뜨렸다	Broke (older spelling)
