Magazine Title	三千理 第六卷 第五號
Publication Date	1934년 05월 01일
Article Title	韓末人物의 回想, 생각나는대로 녯사람들을 (Recollections of Late Chosŏn Figures, Remembering Old Acquaintances as They Come to Mind)
Author	權東鎭
Article Type	회고·수기 (Memoir/Recollection)

Recollections of Late Chosŏn Figures, Remembering Old Acquaintances as They Come to Mind
						Kwŏn Tong-jin

My Circle of Friends

To speak honestly, I am not qualified to talk about the figures of the late Chosŏn period. This is not only because I cannot presumptuously critique my seniors with awe, but also because, in truth, the circle of friends I met and associated with was narrow, so I did not know many people.

This was inevitable because after experiencing the Eulmi Incident (乙未事變), I went into exile in Japan with several comrades and seniors, spending a long twelve years in places like Tokyo. When I finally returned to Seoul, perhaps because the situation had changed and the danger to my life had passed, I enlisted in the military. Thus, I spent my days associating only with military men, so my circle of friends naturally could not extend to the entire political world.

At that time, influence and career advancement mostly involved visiting the homes of powerful families. It was about visiting the house of some minister or high official. However, in my youthful spirit, such thoughts never crossed my mind. Full of pride, I spent my time discussing matters of state with fellow military men, so I had no opportunity to associate with many of the figures whose names were famous at the time.

However, looking back now, thinking of the various figures who created ripples, like one wave causing ten thousand waves, one flute leading ten thousand flutes, during the complex and eventful late Chosŏn period some 20 years ago, it seems that even within the scope of people I knew, quite many come to mind. Recalling those times doesn't seem meaningless, so I will try to retrieve these memories, however unclear they may be.<102>

Friends from My Youth

First, speaking of my friends from my youth, there were five graduates from the first class of the Military Academy (陸軍士官學校) at that time. There was Cho Ŭi-mun (趙義聞), who later served as Governor of Hwanghae Province after the annexation; Sin T'ae-hyu (申泰休), the father of Sin Sŏk-u (申錫雨氏) who would later be the Chief of Police (警務使); and then Ko, Hong, and myself. I went into exile in Japan after the infamous Eulmi Incident, the so-called Queen Min Incident (閔妃事件). At that time, it wasn't just me; many people, including Prime Minister Yu Kil-chun (兪吉濬氏), who headed the so-called pro-Japanese cabinet, flocked to Tokyo.

In fact, it was in Tokyo that I met many people, some of whom I respected as seniors and others I befriended as peers. The figures who were in exile in Tokyo at that time included:
Pak Yŏng-hyo (朴泳孝), Cho Ŭi-yŏn (趙義淵) (who had served as Minister of War), Chang Pak (張博) (a former minister), Yu Kil-chun (兪吉濬) (a former prime minister), Kwŏn Yŏng-jin (權濘鎭) (my elder brother, former Chief of Police), Yu Se-nam (柳世南) (who had served as Vice Minister of Home Affairs), Kim Ok-kyun (金玉均).

And among our peers were:
Cho Ŭi-mun (趙義聞), Yi Pŏm-nae (李範來), U Pŏm-sŏn (禹範善), Yi Tu-hwang (李斗璜), Yi Yu-hyŏk-ro (李柳赫魯), Sin Ŭng-hŭi (申應熙), Chŏng Nan-kyo (鄭蘭敎), Yun Hyo-jŏng (尹孝定), O Se-ch'ang (吳世昌).

Also, from the younger group who arrived a bit later than us:
Yi Sin (李申), Yu Tong-sŏl (柳東說), Ch'oe Sŏk-ha (崔錫夏), Yi Tong-hwi (李東輝).

Among these, there were some whom I only met once or twice, but most were people I met multiple times and with whom I planned things, so I could understand their character relatively well.

U Pŏm-sŏn and Others

After returning, I served as a Wiyŏng Ch'ogwan (衛營哨官). In today's terms, that would be about a Battalion Commander (大隊長). My colleagues at that time were Cho Ŭi-mun, Yi Pŏm-nae, U Pŏm-sŏn, Yi Tu-hwang, and others. They were all Battalion Commanders. In my view, among these military figures,<103>
U Pŏm-sŏn (禹範善) stood out. More than anything, U excelled in courage (憺力). He was bold and knowledgeable, particularly 뛰어낫섯는데 (excelling) in military science. This was not just him; his ancestors had also served as lower-ranking officers (下士), coming from a family with a military tradition (軍閥之家). It reached the point where even the Minister of War would often consult him before handling matters.

U had the appearance of a brave general (勇將), with eyes that rolled sharply and a healthy complexion. He excelled in destruction (破壤); he was the most suitable person for taking the lead in smashing anything, possessing boldness and courage. He was not suited to be a general focused on defense (守成).

He was also at the forefront during the Queen Min Incident (閔妃事變), playing an active role and contributing significantly to the event. Among the military men, he was the prime mover.

Yu Kil-chun and Others

Figures like Pak Yŏng-hyo (朴泳孝氏) are well-known to the world, so there's no need for me to elaborate. As for Cho Ŭi-yŏn (趙義淵), he was from the same first class of the Military Academy as me and served as Minister of War. Like Yu Kil-chun and Kim Hong-jip (金宏集), he was a prominent member of the Japan faction (日本黨) and was very active during the Sino-Japanese War.

Chang Pak (張博) was famous for his erudition (博識). He wasn't a great figure capable of handling the grand scheme of things (大局), but his broad knowledge was astonishing. He was a talent with extensive knowledge and a strong memory (博聞强記). During his 10 years in Japan, while he couldn't speak a word of Japanese, he was fluent in reading Japanese texts, missing nothing.

Speaking of talented individuals (才人), let me record one more: Kim Hak-u (金鶴羽). He was a respectful (恭順) and eloquent man, clear and bright like crystal (水晶). He could be called a genius in languages; at that time, he spoke Japanese better than the Japanese themselves, so well that one couldn't tell he was Korean. He could truly be called a rare talent (稀世의 才子).

Yu Kil-chun (兪吉濬) was the politician who observed the world situation (宇內의 대세) most keenly at that time. Having studied early at Keiō Gijuku (慶應義塾) and then gone to Washington D.C. in America to graduate from Boston University, he possessed rare new knowledge for his time.<104>
He was the son of a prestigious family (名門), had a brilliant mind (頭惱明석), and possessed the spirit of unwavering will (意志不屈), later rising to the cabinet (臺閣).

Furthermore, he was a pioneer (先覺者) who later initiated popular movements like the National Economic Association (國民經濟會). Among the younger generation (小壯派), figures like An To-san (安島山, An Ch'ang-ho), Yi Kap (李甲), Yi Tong-hwi (李東輝), Yu Tong-sŏl (柳東說), and Ch'oe Sŏk-ha (崔錫夏) all had profound insight, firm determination, and were fine men burning with righteousness (大義). To-san (島山) was famous for his eloquence (辨說) at that time.
Even today, there seem to be expectations for To-san from various quarters.

Kim, Son, Kim - Three Men

The above is, in extremely broad terms, what I know. However, besides these figures, there were three great men (傑物) of the late Chosŏn era whom I deeply felt were truly remarkable figures: Kim Ok-kyun (金玉均), Son Pyŏng-hŭi (孫秉熙), and Kim Hong-jip (金宏集).

The world knows too much about Kim Ok-kyun for me to add much. As I was a Wiyŏng Ch'ogwan (衛營哨官) during the Kapsin Coup (甲申政變), I had many opportunities to meet him. He had an embracing personality (包容性), outstanding strategic intelligence for planning affairs (謀事하는 智略), and his political insight (政治的 食見) was lofty, not of the common sort (凡人). I also saw him during his exile in Japan; at that time, Mr. Ok-kyun's circle of friends included prominent Japanese politicians.

Looking back at the Enlightenment Party (開化黨) movement from today, 30 years later, it's an unavoidable fact that there were flaws in his planning (謀事), but nevertheless, his ability to grasp the world situation (宇內의 대세) was astonishing. He was truly a great man (人傑).

Then there is Son Ŭi-am (孫義庵). To this day, there are few whom I have served as a teacher, but for 20 years, I regarded Ŭi-am as my master. He was a great man. He understood the situation well, possessed decisiveness (果斷性), and<105> never bowed his head to anyone. Although his formal education didn't even include completing middle school, he knew a great deal.

During his lifetime, at one point, the Ch'ŏndogyo (天道敎) had accumulated 500,000 wŏn in cash. Thus, 300,000 wŏn was spent to build this church building (敎堂), and the remaining 200,000 wŏn was used up sometime later for some other matter. On another occasion, saying it was unacceptable for the great Ch'ŏndogyo, with its 300,000 followers, to lack a place to gather and play, he purchased Sangch'unwŏn (賞春圓) outside the East Gate (東大門) for 50,000 wŏn. He raised that 50,000 wŏn and made the decision within two hours. His decisiveness was truly astonishing.

The decline of Ch'ŏndogyo today... if Ŭi-am were still here, whatever might have happened, it would not have become like this. I consider him to belong among the great men (人傑).

And Mr. Kim Hong-jip (金宏集氏). This man was a politician of fairness and utmost sincerity (至誠). As Prime Minister, he conducted renowned politics (名政治). He was someone who truly strove with sincerity to make Chosŏn a nation of enlightenment and civilization (開化文明).

He formed cabinets with his comrades and accomplished much. If one were to seek a politician worthy of the name in modern times, Kim Hong-jip would be the first one counted.

In general, it is difficult to evaluate figures. Especially people from the old days, and because there have been political changes since then, many figures who were highly regarded (仰視) at the time have gone astray. Also, comrades whose names were known, because they are outside [Korea], appear a certain way to our eyes today, but if they were to come inside, how they would turn out is unpredictable.

Yŏ Un-hyŏng (呂運亨) and An Ch'ang-ho (安昌浩) have also returned to the country after being abroad. How they will be evaluated in the future is unknown.

Now, as I close my eyes, the events of 30 or 40 years ago, when the winds of change blew fiercely (風雲急), pass by like a revolving lantern (走馬燈), and I feel deeply moved (感慨無量).<106>

**Summary**

Kwŏn Tong-jin, a military figure active during the late Chosŏn/Korean Empire period, reflects on prominent individuals he knew. He prefaces his recollections by stating his limited scope due to a 12-year exile in Japan following the 1895 Eulmi Incident and his subsequent military career restricting his interactions primarily to fellow soldiers. He discusses figures met in exile in Tokyo, including Yu Kil-chun, Pak Yŏng-hyo, and Kim Ok-kyun, and military colleagues like U Pŏm-sŏn, whom he notes was a prime mover in the Eulmi Incident. Kwŏn reserves special praise for Kim Ok-kyun (for his strategic mind), Son Pyŏng-hŭi (his mentor in Ch'ŏndogyo, lauded for decisiveness), and Kim Hong-jip (admired as a sincere reformist prime minister). He concludes by noting the difficulty of evaluating historical figures, especially given subsequent political changes, and mentions the recent return of Yŏ Un-hyŏng and An Ch'ang-ho, whose future legacies remain undetermined.

For historians, this article offers a valuable first-person perspective from a participant in the tumultuous events of the era. Kwŏn's candid assessments of figures like U Pŏm-sŏn (confirming his central role in the Queen Min assassination from a contemporary military perspective) and his high regard for Kim Hong-jip, Kim Ok-kyun, and Son Pyŏng-hŭi provide insights into the personal dynamics and reputations among the elite. His specific mention of military figures and the exile community in Tokyo adds detail to the social networks of the time. His concluding remarks on the difficulty of historical judgment and the uncertain status of returning nationalists like An Ch'ang-ho reflect the complexities of the colonial period.

**Named Entities**

乙未事變	을미사변	Ŭlmi Sabyŏn
日本	일본	Ilbon (Japan)
東京	동경	Tonggyŏng (Tokyo)
서울	서울	Sŏul (Seoul)
陸軍士官學校	육군사관학교	Yukgun Sagwan Hakkyo
黃海道	황해도	Hwanghae-do
趙義聞	조의문	Cho Ŭi-mun
警務使	경무사	Kyŏngmusa
申錫雨	신석우	Sin Sŏk-u
申泰休	신태휴	Sin T'ae-hyu
高	고	Ko
洪	홍	Hong
權東鎭	권동진	Kwŏn Tong-jin
閔妃事件	민비사건	Minbi Sagŏn (Queen Min Incident)
兪吉濬	유길준	Yu Kil-chun
朴泳孝	박영효	Pak Yŏng-hyo
趙義淵	조의연	Cho Ŭi-yŏn
軍部大臣	군부대신	Kunbu Taesin (Minister of War)
張博	장박	Chang Pak
權濘鎭	권영진	Kwŏn Yŏng-jin (Note: 濘 is likely a typo/variant for 寧 or 永, but used as written)
警務使	경무사	Kyŏngmusa
柳世南	유세남	Yu Se-nam
內務次官	내무차관	Naemu Ch'agwan (Vice Minister of Home Affairs)
金玉均	김옥균	Kim Ok-kyun
李範來	이범래	Yi Pŏm-nae
禹範善	우범선	U Pŏm-sŏn
李斗璜	이두황	Yi Tu-hwang
李柳赫魯	이유혁로	Yi Yu-hyŏk-ro
申應熙	신응희	Sin Ŭng-hŭi
鄭蘭敎	정란교	Chŏng Nan-kyo
尹孝定	윤효정	Yun Hyo-jŏng
吳世昌	오세창	O Se-ch'ang
李申	이신	Yi Sin
柳東說	유동설	Yu Tong-sŏl
崔錫夏	최석하	Ch'oe Sŏk-ha
李東輝	이동휘	Yi Tong-hwi
衛營哨官	위영초관	Wiyŏng Ch'ogwan
大隊長	대대장	Taedaejang
軍閥之家	군벌지가	Kunbŏl Chiga (Military Clique Family)
金宏集	김홍집	Kim Hong-jip
日淸戰爭	일청전쟁	Il-Ch'ŏng Chŏnjaeng (Sino-Japanese War)
金鶴羽	김학우	Kim Hak-u
慶應義塾	경응의숙	Kyŏngŭng Ŭisuk (Keiō Gijuku / Keio University)
米國	미국	Miguk (USA)
華盛頓	화성돈	Hwasŏngdon (Washington D.C.)
포스톤大學	포스톤대학	P'osŭt'on Taehak (Boston University)
臺閣	대각	Taegak (Cabinet)
國民經濟會	국민경제회	Kungmin Kyŏngjehoe (National Economic Association)
安島山	안도산	An To-san (An Ch'ang-ho's pen name)
李甲	이갑	Yi Kap
甲申政變	갑신정변	Kapsin Chŏngbyŏn (Kapsin Coup)
孫秉熙	손병희	Son Pyŏng-hŭi
義庵	의암	Ŭi-am (Son Pyŏng-hŭi's courtesy name)
天道敎	천도교	Ch'ŏndogyo
東大門	동대문	Tongdaemun (East Gate)
賞春圓	상춘원	Sangch'unwŏn
朝鮮	조선	Chosŏn
呂運亨	여운형	Yŏ Un-hyŏng
安昌浩	안창호	An Ch'ang-ho

**Glossary**

韓末	한말	Late Chosŏn period (literally 'end of Han [Korea]')
녯사람	옛사람	Old person, person from the past (older spelling)
交友	교우	Friendship, association
範圍	범위	Scope, range
畏濫	외람	Presumptuous, audacious
品騰	품평	Critique, evaluate (older/less common usage for 品評)
맛나보고	만나보고	To meet and see (older spelling)
만치	많이	Many, much (older form/dialectal variant of 많-)
亡命	망명	Exile, seeking political refuge
드러가서	들어가서	To enter, go into (older spelling)
업서젓기	없어졌기에	Because it disappeared/was gone (older spelling)
軍籍	군적	Military register, military service
日夕	일석	Day and night, constantly
追逐	추축	Associate with, follow (lit. chase)
미처젓슬 리가 업섯다	미쳐졌을 리가 없었다	Could not have reached/extended to (older spelling)
行勢	행세	Influence, power, wielding authority
權門勢家	권문세가	Powerful and influential families
차저	찾아	To look for, visit (older spelling)
靑年豪氣	청년호기	Youthful spirit, youthful vigor
氣高萬丈	기고만장	Full of spirit, extremely proud
더부러	더불어	Together with (older spelling)
날니든	날리던	Who were famous, who made a name (older spelling of 날리던)
사괴일 사이	사귈 사이	Opportunity to associate/befriend (older spelling)
먼-20년전	먼 20년 전	A distant 20 years ago
復雜多端	복잡다단	Complex and eventful
一波萬波	일파만파	One wave causing ten thousand waves (idiom: widespread effect)
波紋	파문	Ripples
추억되며	추억되며	Are recalled, come to mind as memories
뜻업는	뜻없는	Meaningless (older spelling)
분명치는 못한	분명치는 못한	Not clear
기억	기억	Memory
차저 내기로 하노라	찾아내기로 하노라	Will try to find/retrieve (older/formal ending)
몬저	먼저	First (older spelling)
잇섯다	있었다	Existed, was/were (common older spelling)
뒷날	뒷날	Later day, later on
嚴親	엄친	One's respected father
仲氏	중씨	One's elder brother (honorific)
同列	동렬	Peers, colleagues of the same rank
느저	늦어	Late (older spelling)
少壯派	소장파	Younger faction/group
諸人物	제인물	Various figures/persons
대면	대면	Face-to-face meeting
끈친	그친	Ended with, limited to (older spelling)
도모하여 본	도모하여 본	Attempted to plan/undertake
사람됨	사람됨	Character, personality
도라나와선	돌아나와선	After returning (older spelling)
될가	될까	Will it be? Would it be? (older spelling)
출중한 줄 알엇다	출중한 줄 알았다	Knew that (someone) was outstanding (older spelling)
憺力	담력	Courage, boldness
뛰어낫섯는데	뛰어났었는데	Excelled, was outstanding (older spelling)
下士	하사	Lower-ranking military officer/NCO
代代로	대대로	Generation after generation
軍閥之家	군벌지가	Family of military background/power
무러	물어	Asking (older spelling)
처리할 지경	처리할 지경	The point of handling/managing
눈방울	눈방울	Eyeball
구을고	구르고	Rolling (older spelling)
혈색	혈색	Complexion
조와	좋아	Good (older spelling)
勇將	용장	Brave general
破壤	파양	Destruction, breaking down
드러메엇다	드러메었다	Took the lead? Shouldered? (older usage, perhaps related to 들어메다 'lift/shoulder')
바스어 버리는데는	부수어 버리는 데는	In smashing/destroying (older spelling)
最適任	최적임	Most suitable person/role
守成	수성	Defending what has been achieved, maintaining stability
先鋒	선봉	Vanguard, forefront
主動者	주동자	Prime mover, central figure
屢屢히	누누이	Repeatedly
쟁쟁한	쟁쟁한	Prominent, distinguished
派	파	Faction, group
博識	박식	Erudition, extensive knowledge
大局	대국	The larger situation, grand scheme
担	담	Shoulder, bear (used for 擔 'carry')
博聞强記	박문강기	Extensive knowledge and strong memory
滯留	체류	Staying, sojourning
마듸	마디	Word, phrase (older spelling)
업시	없이	Without (older spelling)
능통이엇다	능통이었다	Was proficient/fluent (older spelling)
才人	재인	Talented person
恭順	공순	Respectful, deferential
透明玲瓏	투명영롱	Transparent and bright/clear
어학	어학	Language study, linguistics
稀世의 才子	희세의 재자	A rare talent (of the generation)
宇內의 대세	우내의 대세	The trend of the world situation
頭惱明석	두뇌명석	Brilliant mind (石 for 晰)
意志不屈	의지불굴	Unwavering will, indomitable spirit
先覺者	선각자	Pioneer, enlightened person
辨說	변설	Eloquence, oratory skill
식견	식견	Insight, knowledge, discernment
놉고	높고	High, lofty (older spelling)
굿고	굳고	Firm, resolute (older spelling)
大義	대의	Righteousness, great cause
好漢	호한	Fine fellow, valiant man
기대	기대	Expectation
槪括的	개괄적	General, broad
깁히	깊이	Deeply (older spelling)
눗긴	느낀	Felt (older spelling)
傑物	걸물	Great figure, outstanding person
包容性	포용성	Magnanimity, inclusiveness
謀事	모사	Planning affairs, scheming
智略	지략	Strategic intelligence, resourcefulness
高邁한 품	고매한 품	Lofty character/nature
凡人의 類	범인의 유	Common sort, ordinary person
有數한	유수한	Prominent, leading
開化黨	개화당	Enlightenment Party
欠点	흠점	Flaw, defect (used for 欠點)
엇잿든	어쨌든	Anyway, nevertheless (older spelling)
義庵	의암	Ŭi-am (Son Pyŏng-hŭi's style name)
스승으로 섬긴	스승으로 섬긴	Served as a teacher
모시엇다	모시었다	Served, attended upon (honorific, older spelling)
果斷性	과단성	Decisiveness
敎堂	교당	Church building, religious hall
남어지	나머지	The rest, remainder (older spelling)
업서 젓다	없어졌다	Disappeared, was used up (older spelling)
놀자리	놀 자리	Place to gather/play
쓰겟느냐	쓰겠느냐	Is it acceptable? Should we use? (older spelling)
사드렷다	사들였다	Bought (honorific/polite, older spelling)
만드러	만들어	Making (older spelling)
버리엇다	버렸다	Did completely (auxiliary verb, older spelling)
衰殘	쇠잔	Decline, decay
게섯더면	계셨더면	If (he) had been present (honorific, older spelling)
엇든 일이 잇든지간에	어떤 일이 있든지 간에	Whatever might have happened (older spelling)
이러하지는 안 엇슬 것이다	이러하지는 않았을 것이다	Would not have become like this (older spelling/construction)
至誠	지성	Utmost sincerity
名政治	명정치	Renowned politics/governance
開化文明	개화문명	Enlightenment and civilization
애쓴 분	애쓴 분	Person who strove/made effort
政治家 다운 政治家	정치가 다운 정치가	A politician worthy of the name
첫 손가락에 곱으리라	첫 손가락에 꼽으리라	Would count on the first finger (i.e., rank first) (older spelling)
넷날	옛날	Old days (older spelling)
變革	변혁	Change, upheaval, reform
仰視	앙시	Look up to with reverence
빗그러진 이	비뚤어진 이	Person who went astray/became distorted
만코	많고	Many (older spelling)
박갓헤	바깥에	Outside (older spelling)
잇스니까	있으니까	Because they are (older spelling)
그려케 비최나	그렇게 비치나	Although they appear that way (older spelling)
안에 들어와 잇게 된다면	안에 들어와 있게 된다면	If they were to come inside
엇더케 딀는지	어떻게 될는지	How they would become/turn out (older spelling)
豫斷	예단	Prejudgment, prediction
風雲急	풍운급	Winds and clouds are urgent (idiom: times of rapid change/turmoil)
走馬燈	주마등	Revolving lantern (metaphor for flashbacks)
感慨無量	감개무량	Deeply moved, overwhelmed with emotion
늣기어진다	느껴진다	Is felt (older spelling)


---------------------------


잡지명	삼천리 제6권 제5호
발행일	1934년 05월 01일
기사제목	韓末人物의 回想, 생각나는대로 녯사람들을
