Magazine Title: 삼천리 제6권 제7호
Publication Date: 1934-06-01
Article Title: 最近朝鮮의 轉變 25年間- (政治) 政治制度와 統治者의 變動 (Recent Transformations in Chosŏn over 25 Years - (Politics) Changes in Political Systems and Rulers)
Author: 李晶燮 (Yi Chŏngsŏp)
Article Type: 논설 (Editorial/Essay)

Recent Transformations in Chosŏn over 25 Years - (Politics) Changes in Political Systems and Rulers
By Yi Chŏngsŏp

The Residency-General politics can be broadly divided into three periods. This is not meant in the sense that there were three successive Residents-General, but rather, the intent is to divide it into three periods based on the system of Residency-General politics. The first period is the era of Resident-General Itō's politics based on the Five-Point Treaty of the 9th year of Kwangmu (1905). This treaty stipulated the transfer of Korea's diplomatic rights to Japan, and the Residency-General system was also established by this treaty. Article 3, which states, "The Government of Japan shall station under the Korean Emperor's palace one Resident-General. The Resident-General shall reside in Kyŏngsŏng <55> to solely manage diplomatic matters and shall have the right to have a private audience with the Korean Emperor," summarized the entirety of this treaty. As a result of this treaty, Korean legations stationed in Belgium, Qing China, Great Britain, the United States, Germany, Italy, France, Russia, and other countries were all abolished, and the Japanese Ministry of Foreign Affairs took their place. Therefore, from this period, the Resident-General primarily managed Korea's diplomatic affairs, while possessing only the right to advise on internal affairs according to the Japan-Korea Protocol of the 8th year of Kwangmu (1904). At least legally, they did not possess any enforcement power to interfere in internal affairs. Thus, this is referred to as the first period.

In June of the 11th year of Kwangmu (1907), as the attitude of the Japanese government became extremely forceful and the issue of Emperor Kojong's responsibility became intractable, he inevitably reached the point of abdication, passing the throne to Sunjong. The political storm in Korea at this time was swift and precipitous. On July 24th of the same year, a new agreement consisting of seven articles was concluded between Japan and Korea. Through this treaty, Resident-General Itō came to grasp all of Korea's internal administrative power. Consequently, a major change occurred in Korea's political system. Whereas in the era of the Five-Point Treaty, the Resident-General was an organ executing the right to offer advice on internal affairs, placing advisors (顧問) in diplomacy, finance, police affairs, and academic affairs, along with positions like Academic Policy Participation Officer (學政叅政官) and Justice Ministry Participation Officer (法部叅興官), under the Seven-Point Treaty, the Resident-General became the leader of general Korean administration. The enactment of laws and disposition of important administrative matters required the Resident-General's approval, the appointment and dismissal of high-ranking Korean officials required the Resident-General's consent, and furthermore, the Korean government was compelled to appoint Japanese individuals recommended by the Resident-General as Korean officials. For this reason, a major change in the political system was unavoidable. Based on this agreement, Resident-General Itō limited the scope of Japanese officials appointed by the Korean government to the level of Vice-Minister (次官) and below in each ministry, while State Ministers (國務大臣) continued to be appointed from among Koreans. Thus, practical political power henceforth came to be held by the Japanese Vice-Ministers.

Consequently, the governing organs, besides the Resident-General (統監) and Vice Resident-General (副統監), included the Director-General of General Affairs (總務局長官), Participation Officers (叅與官), Director of Foreign Affairs (外務部長), Inspector-General of Police (警視總監), Director of Police Affairs (警務局長), and Chief Tax Officer (總稅務司). In the Ministries of Interior (內部), Agriculture, Commerce, and Industry (農商工部), Education (學部), Imperial Household (宮內府), Finance (度支部), and Justice (法部), one Vice-Minister (次官) was placed in each. These individuals, in their capacity as Participation Officers, participated in the Resident-General's staff meetings internally and executed <56> various administrative tasks externally as Vice-Ministers of their respective departments. And on July 31st of the same year, the imperial edict dissolving the Korean army was promulgated.

On June 15, Meiji 42 (1909), Resident-General Itō resigned his post, returned to Japan, and was appointed Chairman of the Privy Council (樞密院議長). He was succeeded by Vice Resident-General Sone Arasuke, who became Resident-General. Soon after, a treaty was concluded stipulating the entrustment of Korea's judicial and prison affairs to the Japanese government. As a result, Korea's Ministry of Justice (法部) was permanently abolished, and in its place, a new entity called the Residency-General Judicial Office (統監部 司法廳) was established, coming to oversee Korea's courts and prisons.

Resident-General Sone, after only seven months in office, resigned due to an incurable illness. Army General Terauchi Masatake was appointed as the third Resident-General of Korea. Before his arrival, while still in Tōkyō, he issued an order to Ishizuka Eizō, who was then acting Director-General of General Affairs of the Residency-General: "In view of the current situation in Korea, the home government intends to dispatch an additional 1,000 military police (憲兵) to supplement the deficiency in police power and, at the same time, to ensure the complete maintenance of public order, transfer the Korean government's police organs to the Residency-General, and seek unification of police affairs in conjunction with the military police. For this purpose, take sufficient measures to promptly secure the approval of the Korean Prime Minister." Thus, Resident-General Terauchi, before arriving in Korea and while still in Tōkyō, arranged for the entrustment of Korea's police affairs to Japan through the treaty of June 24, Yung-hŭi 4 (1910). As a result, the Korean police system was completely abolished, and a new police system centered on the military police (憲兵本位) was born. According to this system, the Commander of the Military Police stationed in Korea was concurrently appointed as the Inspector-General of Police Affairs (警務總長) of the Residency-General. Police in the capital were placed under the direct control of the Residency-General, and in each province, the system of Police Department Chiefs (警察部長) under an Inspector (警視) was changed, with Military Police unit commanders (憲兵分隊長) concurrently serving as Provincial Police Chiefs (警務部長).

That is, during this period, Korea's administrative power, judicial power, and police power – essentially the entire state power concerning its governance – were transferred to Japan. Together with the transfer of diplomatic power during the first period of Residency-General politics, all that remained for Korea was merely the title of Emperor. Therefore, this period is marked as the second period of Residency-General politics.

It was the day of October 26, Meiji 42 (1909), when the north wind blew mournfully (朔風이 泝瀝한). At the Harbin railway station in Northern Manchuria, Duke Itō was assassinated by An Chunggŭn. With this acting as a fuse, the Korean question became a major concern for both the government and the public in Japan. It became clear that the Japanese government would impose some fundamental solution to the Korean problem. At that time, An Pyŏngjun and Yi Yonggu of the Ilchinhoe (一進會), a major political party in Korea, advocated for Japan-Korea unification (日韓合邦論), but it was not easily resolved. However, after the arrival of the new Resident-General Terauchi <57>, the issue of annexation (倂合問題) materialized. Finally, on August 22, Meiji 43 (Yung-hŭi 4, 1910), the Japan-Korea Annexation Treaty (日韓倂合條約) was concluded between Resident-General Terauchi and Prime Minister Yi Wanyong, bringing Korea to its end. The period from Duke Itō's assassination until this time was entirely dominated by the theory of Japan-Korea unification and the movement for annexation. Therefore, this is designated as the third period of Residency-General politics.

At its conclusion, the ordinance for the Government-General of Chōsen (朝鮮總督府 官制) was implemented, and the third Resident-General, Terauchi, became the first Governor-General (總督) to rule Chōsen. Briefly outlining the ordinance: The Government-General of Chōsen is established in Kyŏngsŏng to govern Chōsen. The Governor-General is appointed by the Emperor (親任), filled by an Army General (陸軍大將), reports directly to the Emperor (天皇), commands the army and navy within the scope of delegated authority, is concurrently responsible for the defense of Chōsen, oversees all political affairs of Chōsen in administration, reports to the throne through the Prime Minister (內閣總理大臣) and receives imperial sanction (裁可). The Political Affairs Superintendent (政務統監) is appointed by the Emperor, assists the Governor-General, manages the internal affairs of the Government-General, and supervises the affairs of each department and bureau. The Government-General has a Governor-General's Secretariat (總督官房) and five departments: General Affairs (總務), Internal Affairs (內務), Finance (度支), Agriculture, Commerce, and Industry (農商工), and Justice (司法), each with a Department Chief (長官). Provincial Governors (道長官) are subordinate to the Governor-General, execute laws and ordinances, manage administrative affairs within their jurisdiction, and are permitted to use police officers within their jurisdiction for the execution of provincial administration, while other police and sanitation affairs are executed by the Provincial Police Chief (道警務部長). Additionally, a Central Council (中樞院) was established as an advisory body to the Governor-General, tasked with investigating matters related to old customs and institutions concerning all of Chōsen.

In October, Taishō 5 (1916), Governor-General Terauchi relinquished his post, and Army General Hasegawa Yoshimichi was appointed as the second Governor-General. In July of the following year, the operations of Chōsen's state-owned railways were entrusted to the South Manchuria Railway Company (南滿洲鐵道株式會社), and a new Railway Bureau (鐵道局) was established within the Governor-General's Secretariat to handle general railway administration and affairs. Soon after, in March, Taishō 8 (1919), Governor-General Hasegawa resigned, taking responsibility for the outbreak of the political movement [March 1st Movement]. Following this, in September of the same year, Navy Admiral Saitō Makoto arrived in Chōsen as the third Governor-General, accompanied by Political Affairs Superintendent Mizuno Rentarō. Governor-General Saitō can be said to have implemented considerable reforms to the political system of the first two Governor-General eras. Listing just a few of the most important changes: first, the Governor-General could be appointed from either civilian or military officials; second, the previous Department Chiefs (部長官) were changed to Bureau Directors (局長), and six bureaus were established: Internal Affairs (內務), Finance (財務), Industry (殖産), Justice (法務), Education (學務), and General Affairs (總務). Additionally, <58> the former Secretariat's General Affairs Bureau (官房總務局) was renamed the Secretariat Department (庶務部), the Public Works Bureau (土木局) to the Public Works Department (土木部), and the Railway Bureau (鐵道局) to the Railway Department (鐵道部). In the local government system, the Provincial Governor (道長官) was renamed Provincial Governor (道知事). The abolition of the much-maligned military police system (憲兵警察制度) and its unification under a civilian police system (文官警察制度) was a significant event among the new political administrative structures. Furthermore, while all assembly and speech were prohibited during the first two Governor-General eras, Governor-General Saitō somewhat relaxed these restrictions, allowing the publication of private newspapers and granting a degree of freedom for assembly, which was a factual development.

Governor-General Saitō also changed the previous policy of centralized rule and initiated the realization of decentralization. This was the so-called Local Autonomy System (地方自治制度) implemented in Taishō 9 (1920). The main points of this Local Autonomy System were: first, the establishment of consultative bodies, Prefectural/Township Councils (府面協議會), in prefectures (府) and townships (面); second, for the general education of Koreans, the establishment of a School Fee System (學校費制度) in prefectures, counties (郡), and islands (島), with School Councils (學敎評議會) as their consultative bodies; and third, the establishment of Provincial Councils (道評議會) as consultative bodies for Provincial Local Expenditures (道地方費).

As Governor-General Saitō was appointed as Japan's Plenipotentiary to the Geneva Disarmament Conference and had to travel there, Army General Ugaki Kazushige served as Acting Governor-General in Saitō's absence during the spring of Shōwa 2 (1927). With the breakdown of the Geneva Disarmament Conference and Governor-General Saitō's return, General Ugaki resigned as Acting Governor-General. However, perhaps finding his eight years of life in Chōsen too tedious, Governor-General Saitō relinquished the Governor-General's seal shortly after returning from Geneva, at the end of Shōwa 2 (1927), and went to Tōkyō. His successor, the fifth Governor-General, was the famous General Yamanashi Hanzō. Since his arrival in early Shōwa 3 (1928), unpleasant rumors circulated, eventually culminating in the outbreak of an unprecedented major corruption scandal (大疑獄事件) centered around Governor-General Yamanashi, which became a criminal matter. Consequently, Governor-General Yamanashi was forced to resign in the latter half of Shōwa 4 (1929). The political system change during Governor-General Yamanashi's era could be considered the reduction of the Governor-General's authority resulting from the establishment of the Ministry of Colonial Affairs (拓務省), passed by both the House of Peers and the House of Representatives in Shōwa 4. That is, until then, the Governor-General of Chōsen reported to the throne and received imperial sanction via the Prime Minister, but was not under the Prime Minister's command and supervision. However, due to the establishment of the Ministry of Colonial Affairs, the Governor-General of Chōsen became an administrative official under the jurisdiction of the Minister of Colonial Affairs (拓務大臣). <59>

After Governor-General Yamanashi's resignation, the question of who would succeed him became a major topic of discussion in official circles. Ultimately, the elder Saitō was appointed Governor-General once again. If Governor-General Saitō made any changes to the political system upon returning to Chōsen for the second time, it would be the reform of the Local Autonomy System he had established 10 years prior during his tenure as the third Governor-General. Namely, transforming the previous consultative bodies of Provinces (道), Prefectures (府), and Towns (邑) into deliberative bodies (議決機關), thereby taking another step towards the ideal of local autonomy, and consolidating the three entities of Prefecture (府), School Fees (學校費), and School Association (學校組合) into the Prefecture – these two points were the key aspects of the revision, and this is also the current system.

When Governor-General Saitō resigned in early Shōwa 6 (1931), Army General Ugaki Kazushige, who was often named whenever there was a political upheaval as a "planet" of the central political world, perhaps due to some change of heart, turned his back on the central political stage and assumed the post of Governor-General of Chōsen, where he remains to this day. It has been a little over three years since Governor-General Ugaki came to Chōsen. During that time, changes to the governing administrative structure include separating the Agriculture Section (農務課) within the Industry Bureau (殖産局) to establish a new Agriculture and Forestry Bureau (農林局), abolishing the Finance Directors (財務部長) in each province, establishing Tax Supervision Bureaus (稅務監督局) in five locations – Kyŏngsŏng, P'yŏngyang, Taegu, Kwangju, and Hamhŭng – and further establishing 99 Tax Offices (稅務署) under them. Besides these, new systems like the Farmland Ordinance (農地令) and Income Tax Ordinance (所得稅令) have emerged, but since they are outside the purely political sphere, there is no need to discuss them.
(1934, 5, 3) <60>

**Summary**

This 1934 article by Yi Chŏngsŏp meticulously traces the evolution of Japanese political control over Korea from the establishment of the Residency-General in 1905 following the Protectorate Treaty, through the annexation in 1910, and up to the governorship of Ugaki Kazushige in 1934. It divides the Residency-General period into three phases based on the progressive stripping of Korean sovereignty: first, control over diplomacy (1905); second, control over internal administration, judiciary, and police (1907-1910); and third, the period leading directly to annexation driven by the assassination of Itō Hirobumi (1909-1910). The article then details the structure of the Government-General under successive Governors-General (Terauchi, Hasegawa, Saitō, Yamanashi, Saitō again, Ugaki), noting key administrative changes like the shift from military to civilian police (under Saitō), the introduction and later reform of a limited local autonomy system, the establishment of the Ministry of Colonial Affairs reducing the Governor-General's direct line to the Emperor, and bureaucratic reorganizations like the creation of the Agriculture and Forestry Bureau and Tax Supervision Bureaus under Ugaki.

For historians, this article offers a contemporary Korean perspective (albeit published under censorship) on the period's political shifts, systematically outlining the institutional mechanisms of Japanese colonial rule and the gradual tightening of control. Its periodization of the Residency-General era and detailed account of administrative restructuring, including specific treaties, ordinances, and personnel changes (listing key Japanese and Korean figures), provide valuable insights into the framework and evolution of colonial governance. The mention of Saitō's "cultural policy" reforms (allowing newspapers, reforming police, local councils) and subsequent centralizations/bureaucratic shifts reflects the changing strategies of Japanese rule.

**Named Entities**

伊藤	이토	Itō (Hirobumi)
白耳義	벨기에	Belgium
淸國	청국	Qing China
英國	영국	United Kingdom
米國	미국	United States
獨逸	독일	Germany
伊太利	이탈리아	Italy
佛蘭西	프랑스	France
露西亞	러시아	Russia
韓國	한국	Han'guk (Korea)
日本	일본	Ilbon (Japan)
京城	경성	Kyŏngsŏng
高宗	고종	Kojong
純宗	순종	Sunjong
日韓議定書	일한의정서	Japan-Korea Protocol
日韓兩國間	일한양국간	Between Japan and Korea
韓國政府	한국정부	Korean Government
曾禰荒助	소네 아라스케	Sone Arasuke
統監部 司法廳	통감부 사법청	Residency-General Judicial Office
寺内正毅	데라우치 마사타케	Terauchi Masatake
東京	도쿄	Tōkyō
石塚英藏	이시즈카 에이조	Ishizuka Eizō
隆熙	융희	Yung-hŭi
安重根	안중근	An Chunggŭn
北滿洲	북만주	North Manchuria
哈爾賓	하얼빈	Harbin
一進會	일진회	Ilchinhoe
安秉畯	안병준	An Pyŏngjun
李容九	이용구	Yi Yonggu
李完用	이완용	Yi Wanyong
明治	메이지	Meiji
朝鮮總督府	조선총독부	Government-General of Chōsen
樞密院	추밀원	Privy Council (Japan)
中樞院	중추원	Central Council (Chōsen)
大正	다이쇼	Taishō
長谷川好道	하세가와 요시미치	Hasegawa Yoshimichi
南滿洲鐵道株式會社	남만주철도주식회사	South Manchuria Railway Company
齊藤實	사이토 마코토	Saitō Makoto
水野練太郞	미즈노 렌타로	Mizuno Rentarō
宇垣一成	우가키 가즈시게	Ugaki Kazushige
제네바	제네바	Geneva
昭和	쇼와	Shōwa
山梨半造	야마나시 한조	Yamanashi Hanzō
拓務省	척무성	Ministry of Colonial Affairs (Japan)
平壤	평양	P'yŏngyang
大邱	대구	Taegu
光州	광주	Kwangju
咸興	함흥	Hamhŭng

**Glossary**

統監政治	통감정치	Residency-General Politics (Politics under the Japanese Resident-General, 1905-1910)
大畧	대략	Approximately, broadly
나늘수 잇슬 것이다	나눌 수 있을 것이다	Can be divided (Older spelling/phrasing)
繼續하엿다는	계속하였다는	Continued (Older spelling)
意味	의미	Meaning
나느고저 함이다	나누고자 함이다	The intention is to divide (Older spelling/phrasing)
條約	조약	Treaty
讓渡	양도	Transfer, Cession
創始되기도	창시되기도	Was also founded/established
闕下에	궐하에	Under the palace (Formal term referring to the Emperor's presence)
置함	둠	To place, establish (Older verb ending)
駐在하며	주재하며	Residing, Stationed
內謁	내알	Private audience (with the Emperor)
有함	유함	To possess, have (Older verb ending)
撤廢되고	철폐되고	Were abolished
代하게 되엿다	대하게 되었다	Came to replace (Older spelling)
專管하는	전관하는	To exclusively manage/control
議定書	의정서	Protocol, Agreement
忠告權	충고권	Right to advise
가저슬 따름이오	가졌을 따름이오	Merely possessed (Older spelling/phrasing)
關涉하는	관섭하는	To interfere in, be concerned with
强行權	강행권	Power of enforcement
가젓든 것은 아니엇다	가졌던 것은 아니었다	Did not possess (Older spelling)
깨옵서의	께서의	(Honorific possessive particle for Kojong) His Majesty's
容易치 안어	용이치 않아	Not easy, intractable (Older spelling)
드듸어	드디어	Finally, eventually (Older spelling)
退位	퇴위	Abdication
繼承시키시엇다	계승시키시었다	Caused to succeed (Honorific, older spelling)
風雲	풍운	Wind and clouds (Metaphor for turmoil, upheaval)
急轉直下	급전직하	Sudden, precipitous change
締結되엿스니	체결되었으니	Was concluded (Older spelling)
말미아마	말미암아	Due to, because of (Older spelling)
掌握하게 되엿다	장악하게 되었다	Came to grasp/control (Older spelling)
따러서	따라서	Therefore, consequently
이러낫스니	일어났으니	Occurred (Older spelling)
忠言權	충언권	Right to offer loyal advice
執行	집행	Execution, implementation
顧問	고문	Advisor
두웟고	두었고	Placed, established (Older spelling)
叅政官	참정관	Participation Officer (Colonial-era official title)
잇서슬 따름이더니	있었을 따름이더니	There were merely... (Older spelling/phrasing)
施政一般	시정일반	General administration
指導者	지도자	Leader
制定	제정	Enactment, establishment (of law)
處分	처분	Disposition, measure, action
承認	승인	Approval
經하여야 하며	경하여야 하며	Must go through, require
高等官吏	고등관리	High-ranking official
任免	임면	Appointment and dismissal
同意	동의	Consent
어더야 하며	얻어야 하며	Must obtain (Older spelling)
推薦	추천	Recommendation
任命	임명	Appointment
된 까닭에	된 까닭에	Because it became...
업섯든 것이다	없었던 것이다	Was unavoidable (Lit. Was not not possible) (Older spelling)
次官	차관	Vice-Minister
依然히	의연히	Still, as before
實權	실권	Real power, actual authority
總務局長官	총무국장관	Director-General of General Affairs
叅與官	참여관	Participation Officer
警視總監	경시총감	Inspector-General of Police
警務局長	경무국장	Director of Police Affairs
總稅務司	총세무사	Chief Tax Officer
度支部	탁지부	Ministry of Finance (Older name)
帷幕	유막	Staff headquarters (Lit. tent curtain)
叅하며	참하며	Participating (Older form of 참예하며)
諸般行政	제반행정	Various administrative tasks
解散	해산	Dissolution, disbandment
詔勅	조칙	Imperial edict
喚發되엿다	환발되었다	Was promulgated (Older spelling)
職을 辭하고	직을 사하고	Resigning from the post
歸國	귀국	Return to one's country
任命된 뒤를 이어	임명된 뒤를 이어	Succeeding after being appointed
未久에	미구에	Shortly after, before long
司法	사법	Judicial affairs
監獄事務	감옥사무	Prison affairs
委任	위임	Entrustment, delegation
廢止되고	폐지되고	Was abolished
統轄하기에	통할하기에	To supervise, control
이르럿다	이르렀다	Reached the point of (Older spelling)
在任	재임	Tenure in office
不治의 病	불치의 병	Incurable disease
赴任하게 되매	부임하게 되매	As he was appointed/arrived at his post
現時狀勢	현시상세	Current situation
鑑하야	감하여	In view of, considering (Older form of 감안하여)
增派하야	증파하여	Dispatching additionally (Older spelling)
補하는	보하는	Supplementing, compensating for
治安	치안	Public order, security
維持	유지	Maintenance
옴기며	옮기며	Moving, transferring (Older spelling)
相合하야	상합하여	In conjunction with, together with (Older spelling)
統一	통일	Unification
圖코저 하노라	도모하고자 하노라	Intend to plan/seek (Archaic/formal ending)
承認시컬	승인시킬	To make approve, secure approval (Older spelling)
手段	수단	Means, method
警察官制	경찰관제	Police system/ordinance
全廢되고	전폐되고	Was completely abolished
憲兵本位	헌병본위	Centered on the Military Police
出生한 바	출생한 바	Was born, came into existence
의하면	의하면	According to
駐剳	주찰	Stationed
司令官	사령관	Commander
兼任케 하야	겸임케 하여	Making someone concurrently hold a position (Older spelling)
首府	수부	Capital city
直轄	직할	Direct control
輕視	경시	Police Inspector (Rank, here seemingly used incorrectly or referring to rank associated with Police Dept Chief)
改하야	개하여	Revising, changing (Older spelling)
分隊長	분대장	Unit commander (Squad/Platoon leader)
其政	기정	Its administration/governance
國權全部	국권전부	Entire national sovereignty
나마잇다는 것은	남아있다는 것은	What remained was (Older spelling)
劃하야	획하여	Marking, demarcating (Older spelling)
朔風이 泝瀝한	삭풍이 소력한	When the north wind blew mournfully (Figurative/literary expression)
被弑되매	피살되매	As (he) was assassinated
導火線	도화선	Fuse (triggering event)
朝野	조야	Court and country (Government and public)
關心事	관심사	Matter of concern/interest
根本的 解決	근본적 해결	Fundamental solution
政黨	정당	Political party
提唱하엿스나	제창하였으나	Advocated, proposed (Older spelling)
合倂問題	합병문제	Annexation issue
具體化하야	구체화하여	Materialized, took concrete form (Older spelling)
終始하엿슴으로	종시하였으므로	Was characterized by from beginning to end (Older spelling)
끗헤	끝에	At the end (Older spelling)
官制	관제	Official organizational structure/ordinance
實施되어	실시되어	Was implemented
總督	총독	Governor-General
畧記하여 보면	약기하여 보면	Briefly noting/recording
管轄케 함	관할케 함	To have jurisdiction over (Older phrasing)
親任	친임	Imperial appointment (Directly by the Emperor)
陸軍大將	육군대장	Army General
充하며	충하며	To fill (a position)
直隸하야	직례하여	Reporting directly to
統率케 하고	통솔케 하고	To command, lead
防備	방비	Defense
掌하며	장하며	To be in charge of
統轄하며	통할하며	To oversee, supervise generally
內閣總理大臣	내각총리대신	Prime Minister (Japan)
經하야	경하여	Via, through (Older spelling)
上奏하며	상주하며	To report to the throne
裁可를 바드며	재가를 받으며	To receive imperial sanction/approval (Older spelling)
政務統監	정무총감	Political Affairs Superintendent (Chief civil administrator under the Governor-General)
輔佐하며	보좌하며	Assisting
統理하며	통리하며	To manage, administer
管督함	감독함	To supervise
總督官房	총독관방	Governor-General's Secretariat
部局	부국	Departments and bureaus
置하야	치하여	Establishing (Older spelling)
長官	장관	Chief, Head (of Dept./Bureau)
隸屬하야	예속하여	Being subordinate to
法令	법령	Laws and ordinances
管內	관내	Within the jurisdiction
衛生事務	위생사무	Sanitation affairs
執行케 한다는 것	집행케 한다는 것	That it is to be executed by (Older phrasing)
諮問機關	자문기관	Advisory body/organ
舊慣	구관	Old customs
印綬를 解하매	인수를 해하매	Relinquishing his post (Lit. Untying the seal cord)
翌年	익년	The following year
國有鐵道	국유철도	State-owned railway
業務	업무	Business operations, work
處理케 하엿다	처리케 하였다	Made handle/process (Older spelling)
이윽고	이윽고	Soon after, before long
政治運動勃發	정치운동발발	Outbreak of a political movement (Referring to March 1st Movement)
責任을 지고	책임을 지고	Taking responsibility
海軍大將	해군대장	Navy Admiral
伴하야	반하여	Accompanying (Older spelling)
相當한 改革	상당한 개혁	Considerable reform
加하엿다고	가하였다고	Implemented, added (Older spelling)
첫재	첫째	Firstly (Older spelling)
任用	임용	Appointment
何者이나	하자이나	Whichever, either
둘재로는	둘째로는	Secondly (Older spelling)
從來	종래	Previously, conventionally
改稱하엿고	개칭하였고	Renamed (Older spelling)
地方官制	지방관제	Local government system
道知事	도지사	Provincial Governor (Newer title)
말성만튼	말썽 많던	Much-troubled, problematic (Older spelling)
撤廢하고	철폐하고	Abolishing
文官警察制度	문관경찰제도	Civilian police system
職制	직제	Administrative structure/organization
緩和하야	완화하여	Relaxing, easing (Older spelling)
民間新聞	민간신문	Private newspapers
發刊되는	발간되는	Being published
集會	집회	Assembly, gathering
中央集權的	중앙집권적	Centralized
統治方針	통치방침	Governing policy
變改하야	변개하여	Changing, altering (Older spelling)
地方分權	지방분권	Decentralization of power
實現	실현	Realization, implementation
着手하엿스니	착수하였으니	Initiated, started (Older spelling)
地方自治制度	지방자치제도	Local Autonomy System
主眼點	주안점	Main point, focus
府面協議會	부면협의회	Prefectural/Township Consultative Council
普通敎育	보통교육	General/Ordinary education
府郡島	부군도	Prefectures, Counties, and Islands
學校費制度	학교비제도	School Fee System
學敎評議會	학교평의회	School Council (Older spelling of 학교)
셋재	셋째	Thirdly (Older spelling)
道地方費	도지방비	Provincial Local Expenditures
道評議會	도평의회	Provincial Council
軍縮會議	군축회의	Disarmament Conference
全權	전권	Plenipotentiary (Full authority representative)
被命되어	피명되어	Being ordered/appointed
彼地로	피지로	To that place, there
關係上	관계상	Due to the relationship/circumstance
臨時代理總督	임시대리총독	Acting Governor-General
不在中	부재중	During absence
椅子에 잇다가	의자에 있다가	Was in the chair (Held the position)
破裂	파렬	Breakdown, rupture
歸任	귀임	Return to one's post
辭免하엿스나	사면하였으나	Resigned (Older spelling)
支離햇는 모냥인지	지리했는 모양인지	Perhaps it was tedious/disjointed (Colloquial/Older phrasing)
갓섯다	갔었다	Went (Older spelling)
이여 온	이어 온	Succeeded, came after
滋味스럽지 못하더니	자미스럽지 못하더니	Was unpleasant/unsavory (Older spelling of 재미)
끗끗내	끝끝내	In the end, finally (Older spelling)
空前의	공전의	Unprecedented
大疑獄事件	대의옥사건	Major corruption scandal
突發하야	돌발하여	Broke out suddenly (Older spelling)
刑事問題化	형사문제화	Becoming a criminal matter
後半期	후반기	Latter half period
貴衆兩院	귀중양원	House of Peers and House of Representatives (Japan)
通過한	통과한	Passed
設置로 말미아마	설치로 말미암아	Due to the establishment of (Older spelling)
權限	권한	Authority, power
縮小된	축소된	Reduced, curtailed
經由하야	경유하여	Via, through (Older spelling)
마틀 뿐이오	맡을 뿐이오	Only responsible for (Older spelling)
指揮監督	지휘감독	Command and supervision
밧는 것이 아니엿스나	받는 것이 아니었으나	Was not receiving (Older spelling)
管轄下	관할하	Under the jurisdiction of
서게 되엿다는 그것이다	서게 되었다는 그것이다	It is that (they) came to stand under (Older phrasing)
退任	퇴임	Resignation, retirement from office
이드니	이더니	Was (Older connective ending)
結局	결국	Ultimately, in the end
翁	옹	Elderly man, respected old man (Referring to Saitō)
再次로	재차로	For the second time
創設한	창설한	Founded, established
改革한	개혁한	Reformed
議決機關	의결기관	Deliberative body (with power to decide)
理想	이상	Ideal
한거름	한걸음	One step
나아갓다는 것과	나아갔다는 것과	That it advanced (Older spelling)
學校組合	학교조합	School Association/Union
統一시킨 等	통일시킨 등	Such as unifying
改正	개정	Revision, amendment
要點	요점	Key point, gist
現行制度	현행제도	Current system
惑星	혹성	Planet (Figurative: unpredictable/influential figure)
政變	정변	Political upheaval, coup
指名되든	지명되던	Was often named/designated (Older spelling)
心境의 變化	심경의 변화	Change of heart/mind
舞臺를 등지고	무대를 등지고	Turning one's back on the stage (Leaving the central political scene)
就任하야	취임하여	Assuming office (Older spelling)
아직 까지도	아직까지도	Still, even now
