Magazine Title: 삼천리 제6권 제9호
Publication Date: 1934년 09월 01일
Article Title: 내가 본 巴里祭 (The Bastille Day I Saw)
Author: 巴里大學 金蓮金 (Kim Ryŏngŭm, Paris University)
Article Type: 기행문 (Travelogue)

The Bastille Day I Saw
						Kim Ryŏngŭm, Paris University

This is the first letter I am sending to you, teacher, back in my homeland, since entering Paris University. I was in America for a while, and finding a good friend to travel with, I took a ship from New York, crossed the Atlantic, and arrived in Paris just a couple of months ago.

When I say friend, please don't assume it's a male friend. She is actually the daughter of a big American watch merchant who studied with me in Washington. Her name is "Corubell." Although American girl students are often said to be tomboyish, this friend of mine, Corubell, is truly like an Oriental woman, very shy and humble, and her face, elongated like a willow leaf, has an Oriental beauty (東洋美). A Chinese girl student from Shanghai (上海), who attends the same professional school as me, also likes Corubell very much. Have you perhaps seen the movie "Mädchen in Uniform" (制服의 處女)? Doesn't it well depict the delicate psychology of young women having same-sex love <96> for each other? I have brought just such feelings of yearning (憧憬) for this Corubell. Now, to be heading to Paris, the city called the flower of Europe, crossing the distant Atlantic Ocean, cutting through the blue waves, on the same ship, in the same room, in the same bed (寢台) with the Corubell I longed for so much – where can I compare this joy?

Perhaps you, teacher, being male, cannot understand the light affection between us women before marriage.

However, as you requested when you saw me off at Kyŏngsŏng Station upon leaving the homeland, telling you about my life in Paris and sharing joy with my brethren back home, tens of thousands of ri away, must be my duty. Therefore, I will postpone the various beautiful stories gained during my travels for the next letter, and today I will tell you about the "Bastille Day" (巴里祭) that I experienced most joyfully.

Paris is originally a city of dreams and romance, but among them, this Bastille Day, held once a year, is truly a city of dreams within dreams, a picture within pictures, a flower within flowers. To this extent, the millions of men and women throughout Paris all become young, dance, sing, and play joyfully, joyfully. Could we ever have had such a happy day?

Song and Dance, and More Song

Bastille Day (巴里祭) is a festival held for three days, July 13th, 14th, and 15th, celebrated not only throughout France but also in all territories under French rule. The origin of this festival dates back to 1871 when the French Revolution was completed. To commemorate this day annually, the French people made it the "French Festival," singing, dancing, and enjoying themselves. Among these celebrations, the one in the capital, Paris, is the most representative and large-scale, so now it seems better understood worldwide as "Bastille Day" (巴里祭) rather than <97> "French Festival."

July in France corresponds to the season in our homeland, Korea, when the barley harvest is gathered, and people enjoy the late summer (末伏) festivities. The grapes dangling abundantly in the vineyards are harvested, the barley harvest is finished, and the weather is neither summer nor autumn, neither hot nor cold. Even without such a festival, it is human nature to want to enjoy oneself during this season. On top of that, encountering the day France was founded, the day the Tricolor flag (三色旗), symbolizing liberty, equality, and happiness, flies high – how could the passionate and emotional French people remain still?

On this day, Corubell and I left the school dormitory and went out to the Montmartre (만몬돌?) street. Rubber balloons and various flowers made of paper (조히) were flying high in the sky, carried gracefully by the July wind.

Below them, "Parisienne" ladies, beautifully dressed in new clothes made for the occasion, and French youths with prominent noses and broad, bright foreheads walked by, arm in arm, laughing.

Flower-selling girls (각씨) with carts full of flowers stood here and there, young men playing guitars (끼-타) and mandolins (만도링) were on the corners, and there were also places where stages (舞台) were set up for musical performances.

In any case, just stepping onto this street, one would sink into an indescribably pleasant mood, as if possessed (몽혼을 당한드시).

Everyone back home, and you too, teacher, please imagine Bastille Day like this:
In Kaesŏng (開城), on the eighth day of the fourth lunar month, isn't there the Lantern Festival (파일노리), where men and women, young and old, climb Songaksan mountain and enjoy themselves making flower pancakes (花煎)?
And on the Tano festival day in the fifth lunar month, isn't the Tano celebration (단오노리) held grandly in P'yŏngyang?
And on the Mid-Autumn Festival (Ch'usŏk) day in the eighth lunar month at the Hamhŭng Provincial Office (咸興監營), don't people enjoy the Ch'usŏk celebration (추석노리) so much that the railings of the Mansegyo Bridge (만세교란간) seem about to collapse?
Bastille Day (巴里祭) is like Kaesŏng's Lantern Festival, P'yŏngyang's Tano celebration, and Hamhŭng's Ch'usŏk celebration all rolled into one.
It is such a joyful and pleasant time. It is such a bustling and splendid festival. Parisian ladies are busy preparing new clothes to wear for this Bastille Day starting from May or June. By June, talk about the Bastille Day festivities is already on everyone's lips.
Then, on July 13th and 14th, they stay up all night celebrating. The human waves flow calmly like a dream, from wide streets to narrow alleys, from narrow alleys to wide streets.
The prosperity of the main streets is beyond words, but even in the narrowest and most secluded back alleys (행낭뒷골 아모리 좁고 치벽한 길속), every house hangs flower lanterns (꼿초롱) and has rubber balloons floating outside the windows.
And even the janitors cleaning the parks <98> and the servants cleaning the hotel windows wear beautiful clothes (염미복) and shiny shoes on this day, walking majestically as if the wide streets were too narrow for them.

Dream of Montmartre Street

Music is drifting from over there, on Montmartre (만몬돌) street. Soft, quiet music that seems to touch the very bottom of one's heart is drifting over. Everyone goes wild. Truly, everyone goes wild over that sound.
Especially for a woman like me, who has come from tens of thousands of ri away, I am intoxicated with an indescribable homesickness (鄕愁).
People pair up, man and woman, link arms, and begin to dance. Corubell and I also danced for a while to that rhythm (조자).
As the evening breeze begins to blow, even more Parisian citizens gather on this street. The music gets louder, and the dancing becomes more intricate. The excitement of the people deepens, and the fragrant smell of bodies and sweat from men and women, young and old, becomes thicker (걸다라케).
At that moment, a group of students from Paris University, where I attend, comes running, singing songs. The citizens shout, "Wow!"
The university students grab the flower-selling girls and dance wildly. I danced with the male students until that night ended, until that night turned to dawn.
A happy person! That must be a citizen of Paris who could dance on Bastille Day, July 14th.
Perhaps we too, in the old days, had such beautiful festivals of dance and song.

I am now leaving for Switzerland (스이스; 瑞西) with friends. I will spend the summer there and return to Paris in the autumn. When I come back, I will write to you again, Teacher Kim. Please send news from home occasionally. 1934. 7
-Respectfully from Kim Wangyŏp (金王葉拜上) in Paris- <99>
<96-99>

**Summary**

This travelogue, written by a Korean student named Kim Ryŏngŭm (signed Kim Wangyŏp) studying at Paris University in 1934, describes her experience of Bastille Day (July 14th) in Paris. She details the festive atmosphere, the joyous crowds, music, dancing (in which she participated enthusiastically), and decorations, comparing the scale and feeling of the celebration to major traditional Korean festivals in Kaesŏng, P'yŏngyang, and Hamhŭng combined. She also shares her close bond with an American friend, Corubell, referencing the film "Mädchen in Uniform" to describe her feelings, and contrasts the vibrant French celebration with a sense of lost tradition in Korea. From a historical perspective, the article offers a rare glimpse into the life and thoughts of a Korean woman studying in Europe during the colonial period. Her comparison of French festivity with Korean traditions, hinting at cultural loss under colonial rule, her relatively open discussion of intense female friendship bordering on homoeroticism (contextualized by contemporary cinema), and the discrepancy between the credited author and the signature are particularly interesting for historians studying colonial Korean society, gender expression, and cultural exchange.

**Named Entities**

巴里大學	파리대학	Paris University
金蓮金	김련금	Kim Ryŏngŭm
巴里	파리	P'ari
뉴-욕	뉴욕	Nyu Yok
태서양	태서양	T'aesŏyang
화신톤	화신톤	Hwasint'on (Washington?)
코루베-루	코루벨	K'oruberu (Corubell?)
아메리까	아메리카	Amerikka
생해	상해	Sanghae
制服의 處女	제복의 처녀	Chebok ŭi Ch'ŏnyŏ (Mädchen in Uniform)
구라파	구라파	Kurap'a (Europe)
경성역	경성역	Kyŏngsŏng Station
巴里祭	파리제	P'arije (Bastille Day)
불란서	불란서	Pullansŏ (France)
만몬돌	만몬돌	Manmondol (Montmartre?)
조선	조선	Chosŏn (Korea)
개성	개성	Kaesŏng
송악산	송악산	Songaksan
평양	평양	P'yŏngyang
함흥감영	함흥감영	Hamhŭng Kamyŏng (Hamhŭng Provincial Office)
만세교	만세교	Mansegyo (Bridge name)
스이스 (瑞西)	스위스	Sŭisŭ (Switzerland)
김선생	김선생	Teacher Kim
金王葉	김왕엽	Kim Wangyŏp

**Glossary**

녀성	여성	Woman (older spelling)
마츰	마침	Just, exactly (older spelling/form)
조흔	좋은	Good (older spelling)
잇서	있어	To be/exist (older spelling)
얼골	얼굴	Face (older spelling)
가치	같이	Together, like (older spelling)
녀학생	여학생	Female student (older spelling)
조와 함니다	좋아합니다	Likes (older spelling and spacing)
보섯는지요	보셨는지요	Have you seen? (older spelling)
안슴니까	않습니까	Isn't it? (older spelling)
그립든	그립던	Yearned for, missed (older spelling)
말슴	말씀	Words, speech (older spelling)
밧게	밖에	Outside, besides (older spelling)
깃붐	기쁨	Joy (older spelling)
겟슴으로	겠으므로	Because (future indicative ending, older form)
격근	겪은	Experienced (older spelling)
이약이	이야기	Story, talk (older spelling)
잇은	있는	Which is/exists (older spelling)
하리만치	하리만치	To the extent that (older form)
깁분	기쁜	Joyful, happy (older spelling)
잇섯스리까	있었으리까	Could there have been? (older rhetorical question form)
사흘동안	사흘 동안	For three days
불난서	프랑스	France (older phonetic transcription)
령토	영토	Territory
온갓	온갖	All kinds of
긔념	기념	Commemoration (older spelling)
터인데	터인데	It is the case that... but (connective ending)
서울서	서울에서	In Seoul (older particle form)
듯하더이다	듯하더이다	It seemed like (older narrative ending)
조선서	조선에서	In Korea (older particle form)
보리가슬	보리 가을걷이	Barley harvest (dialectal/older term?)
말복(末伏)	말복	Last of the three hottest days of summer
절긔	절기	Season, time of year (older spelling)
포도밧헤	포도밭에	In the vineyard (older spelling)
다람다람 달닌	다람다람 달린	Hanging abundantly/in clusters (onomatopoeic/mimetic)
일긔	날씨	Weather (used older term 日氣?)
녀름	여름	Summer (older spelling)
안인	아닌	Not being (older spelling)
이철	이 철	This season (older spelling)
당하야	당하여	Facing, encountering (older spelling/form)
십흔	싶은	Wanting to (older spelling)
상정	상정	Normal human feeling/nature (常情)
삼색기빨	삼색깃발	Tricolor flag (older spelling for flag)
놉히	높이	Highly, high (older spelling)
잇사 오리까	있사오리까	How could there be? (older rhetorical question form)
긔숙사	기숙사	Dormitory (older spelling)
만몬돌	몽마르뜨(?)	Montmartre (?) (phonetic transcription)
조히	종이	Paper (older spelling)
작만하여	장만하여	To prepare, make (older spelling)
파리짠	파리지앵/파리 사람	Parisian (phonetic rendering)
코이	코가	Nose (subject marker attached differently)
시언스럽게	시원스럽게	Coolly, refreshingly (older spelling)
비더 오른	빚어 오른 (?)	Sculpted, well-formed (?) (interpretation of older phrasing)
억개	어깨	Shoulder (older spelling)
우스면서	웃으면서	Laughing (older spelling)
구르마	구루마/수레	Cart, wagon (loanword from Japanese 車)
각씨	아가씨	Miss, young lady (older term)
끼-타	기타	Guitar (phonetic transcription)
만도링	만돌린	Mandolin (phonetic transcription)
드러노키만	들여놓기만	Just stepping in (older spelling/form)
몽혼을 당한드시	몽혼을 당한 듯이	As if possessed/bewitched (older phrase)
무에라	무어라	What (interrogative/indefinite pronoun, older form)
업는	없는	Without, non-existent (older spelling)
긔분	기분	Mood, feeling (older spelling)
잠기어 지더이다	잠기어지더이다	Became immersed (older passive/narrative form)
게신	계신	Who is/are (honorific, older spelling)
이러케만	이렇게만	Only like this (older spelling)
파일노리	초파일 놀이	Buddha's Birthday celebration (older term)
올나	올라	Climb up (older spelling)
화전(花煎)지지며	화전 지지며	Making flower pancakes
단오노리	단오 놀이	Tano festival celebration
추석노리	추석 놀이	Chuseok celebration
만세교란간	만세교 난간	Mansegyo Bridge railing (older spelling for railing)
꺼지게	꺼지게	To the point of collapsing
갓사외다	같사옵니다	Is like (humble/older polite ending)
오륙월절	오뉴월 철	May-June period (older expression)
벌서	벌써	Already (older spelling)
너른	넓은	Wide, broad (older spelling)
행낭뒷골	행랑 뒷골	Back alley behind the servants' quarters
치벽한	치벽한/외진	Secluded, remote (僻?)
꼿초롱	꽃초롱	Flower lantern
창압헤	창 앞에	In front of the window (older spelling/particle)
띄워 노코	띄워 놓고	Having floated (older spelling/spacing)
소제하는	청소하는	Cleaning (older term 掃除)
소제인부	청소 인부	Cleaning worker (older term 掃除人夫)
려관집	여관집	Inn, hotel (older spelling)
닥는	닦는	Wiping, cleaning (older spelling)
염미복(艶美服)	염미복/고운 옷	Beautiful/fancy clothes (likely meaning 'dressy attire')
윤나는	윤 나는	Shiny, glossy
거러 감니다	걸어갑니다	Walks (older spelling)
저리	저기	Over there (older form)
만밋바닥	맨 밑바닥	Very bottom
훌터놋듯한	훑어놓듯 한	As if sweeping/caressing (older form)
들녀 옴니다	들려옵니다	Is heard coming (older spelling)
미처요	미쳐요	Go crazy, be mad about (standard form, but context implies 'enchanted')
격한	떨어진	Distant, separated
향수(鄕愁)	향수	Homesickness, nostalgia
한짝씩되어	한 짝씩 되어	Becoming pairs
마처	맞춰	To match, in time with (older spelling)
첫슴니다	췄습니다	Danced (older spelling)
모여듬니다	모여듭니다	Gather (older spelling)
놉하 가고	높아 가고	Getting higher (older spelling)
복잡하여 감니다	복잡하여 갑니다	Getting complicated (older spelling)
깁허 가고	깊어 가고	Getting deeper (older spelling)
향그러운	향긋한	Fragrant (older spelling)
살냄새	살 냄새	Smell of skin/body odor
걸다라케	걸쭉하게/진하게	Thickly, intensely (?) (older adverbial form)
이떼	이때	At this time (older spelling)
한떼가	한 떼가	A group/crowd
달녀 옵니다	달려옵니다	Come running (older spelling)
우워!	우와!	Wow! (Exclamation)
춤추엇슴니다	춤추었습니다	Danced (older spelling)
열나흔날	열나흗날	Fourteenth day (older form)
